AvgEpLen,AvgDiscRet,VanillaAvgRet,renyi2,AvgRet,Bound,MinNormIw,MaxNormIw,IterType,VarJ,SamplesThisIter,AvgVanillaIw,ESSClassic,MinVanillaIw,VarDiscRet,VarVanillaIw,VarNormIw,AvgNormIw,ESSRenyi,J,BatchSize,VarRet,EpsThisIter,delta,MaxVanillaIw
206.611570248,2058.04351463,2058.04351463,nan,2058.04351463,4568.63,,0.0845012,1,19818.1,50000,2584.34,9.99998330847,,2050032.94875,2.09742e+10,1.65505e-06,2.29568e-05,nan,711612.0,100,2050032.94875,242,0.8,9.51263e+06
250.0,2492.73105102,2492.73105102,nan,2492.73105102,4612.04,,0.0831596,1,18166.8,50000,30779.6,12.0000000387,,2692403.03522,2.82945e+12,2.30447e-06,2.77778e-05,nan,761780.0,100,2692403.03522,200,0.8,9.21463e+07
171.232876712,1703.06751173,1703.06751173,nan,1703.06751173,4208.45,,0.0909343,1,15114.8,50000,4.97876e+22,9.95536764483,,1233344.24581,inf,1.57998e-06,1.90259e-05,nan,637857.0,100,1233344.24581,292,0.8,2.3796e+26
280.898876404,2801.66545799,2801.66545799,nan,2801.66545799,4570.2,,0.0926468,1,12803.2,50000,364.693,9.99999030307,,1837017.82801,3.65685e+08,2.67835e-06,3.1211e-05,nan,787499.0,100,1837017.82801,178,0.8,1.08256e+06
219.298245614,2184.52384906,2184.52384906,nan,2184.52384906,4466.13,,0.0346454,1,14917.4,50000,4251.62,7.06623931492,,1966716.48866,2.12469e+10,6.97866e-07,2.43665e-05,nan,714644.0,100,1966716.48866,228,0.8,6.04516e+06
260.416666667,2596.54383467,2596.54383467,nan,2596.54383467,4556.13,,0.00360404,1,16597.9,50000,21.211,4.02883983202,,2125631.42107,10692.4,1.98979e-08,2.89352e-05,nan,743629.0,100,2125631.42107,192,0.8,2641.95
223.214285714,2223.62965457,2223.62965457,nan,2223.62965457,4440.34,,0.0998904,1,17600.7,50000,1.20052e+07,10.0000016076,,1879882.04073,5.79705e+17,2.47417e-06,2.48016e-05,nan,693932.0,100,1879882.04073,224,0.8,4.83518e+10
250.0,2491.76674826,2491.76674826,nan,2491.76674826,4467.2,,0.0247913,1,15011.5,50000,72.7933,21.5670979288,,2282308.23714,2.62897e+06,3.82823e-07,2.77778e-05,nan,720736.0,100,2282308.23714,200,0.8,64967.0
280.898876404,2800.99237005,2800.99237005,nan,2800.99237005,4492.3,,0.0814233,1,14923.7,50000,959.357,11.9999996633,,2794967.90666,2.34543e+09,2.48243e-06,3.1211e-05,nan,754298.0,100,2794967.90666,178,0.8,2.50277e+06
221.238938053,2204.95242699,2204.95242699,nan,2204.95242699,4619.98,,0.0832263,1,20755.8,50000,17119.3,12.0000028345,,2861089.04967,9.90692e+11,2.04269e-06,2.45821e-05,nan,714143.0,100,2861089.04967,226,0.8,5.796e+07
235.849056604,2349.57420054,2349.57420054,nan,2349.57420054,4208.9,,0.0706539,1,14908.4,50000,9.38615e+21,8.56148776132,,1320030.91687,inf,1.52732e-06,2.62054e-05,nan,700798.0,100,1320030.91687,212,0.8,2.53065e+25
223.214285714,2224.15971725,2224.15971725,nan,2224.15971725,4554.33,,0.0748556,1,18005.6,50000,1484.35,9.99998715077,,2129275.19163,5.1785e+09,1.44575e-06,2.48016e-05,nan,710137.0,100,2129275.19163,224,0.8,4.48002e+06
193.798449612,1928.86872319,1928.86872319,nan,1928.86872319,4323.77,,0.0998843,1,18445.2,50000,1.79497e+11,9.99998884074,,1342690.18077,1.49251e+26,2.14792e-06,2.15332e-05,nan,650544.0,100,1342690.18077,258,0.8,8.3262e+14
252.525252525,2518.10749222,2518.10749222,nan,2518.10749222,4620.98,,0.00184822,1,17950.0,50000,17.9665,2.88266514845,,2568687.06562,3907.74,9.53067e-09,2.80584e-05,nan,740390.0,100,2568687.06562,198,0.8,1183.46
200.0,1992.27479428,1992.27479428,nan,1992.27479428,4628.14,,0.00107001,1,23881.9,50000,28.7507,1.89740008361,,2927222.8528,11479.5,6.85811e-09,2.22222e-05,nan,705091.0,100,2927222.8528,250,0.8,1384.36
280.898876404,2802.17354755,2802.17354755,nan,2802.17354755,4646.73,,0.0838461,1,17159.0,50000,62.2792,9.99985623491,,2756034.06881,8.73392e+06,2.1935e-06,3.1211e-05,nan,761948.0,100,2756034.06881,178,0.8,167309.0
274.725274725,2739.27890922,2739.27890922,nan,2739.27890922,4557.05,,0.00455216,1,16300.8,50000,10.6939,7.73463281632,,2981219.74139,1787.71,1.4566e-08,3.0525e-05,nan,763245.0,100,2981219.74139,182,0.8,1594.76
250.0,2493.94453432,2493.94453432,nan,2493.94453432,4690.4,,0.00180481,1,21258.1,50000,9.4765,6.81293484475,,3467516.78085,795.562,6.83555e-09,2.77778e-05,nan,738208.0,100,3467516.78085,200,0.8,615.717
247.524752475,2468.0464948,2468.0464948,nan,2468.0464948,4621.4,,0.00727794,1,18273.6,50000,10.6659,10.7240330745,,3566874.9772,3649.43,2.4265e-08,2.75028e-05,nan,738128.0,100,3566874.9772,202,0.8,2822.48
263.157894737,2623.4101699,2623.4101699,nan,2623.4101699,4466.23,,0.0779888,1,15371.3,50000,6384.34,12.0220967874,,2520136.64915,1.01875e+11,2.1369e-06,2.92398e-05,nan,737901.0,100,2520136.64915,190,0.8,1.70284e+07
328.947368421,3284.7355708,3284.7355708,nan,3284.7355708,4694.35,,0.000997881,1,15718.7,50000,5.097,3.13800960444,,3173821.2588,110.493,5.68167e-09,3.65497e-05,nan,787917.0,100,3173821.2588,152,0.8,139.158
231.481481481,2308.01804952,2308.01804952,nan,2308.01804952,4664.04,,0.0902981,1,20307.7,50000,180.925,10.0000078763,,3223017.23613,1.03759e+08,2.09689e-06,2.57202e-05,nan,717215.0,100,3223017.23613,216,0.8,635190.0
320.512820513,3199.49582907,3199.49582907,nan,3199.49582907,4664.71,,0.00191915,1,14296.0,50000,7.08145,3.99867013269,,2698980.28934,337.359,8.53205e-09,3.56125e-05,nan,788154.0,100,2698980.28934,156,0.8,381.617
284.090909091,2834.22663856,2834.22663856,nan,2834.22663856,4628.19,,0.00257936,1,14817.2,50000,13.0243,3.12266227501,,3067774.49271,2199.8,1.29213e-08,3.15657e-05,nan,766278.0,100,3067774.49271,176,0.8,1064.26
