OptimizationReturnMin,TimestepsSoFar,MaxIWNorm,MaxIW,InitialReturnMean,ReturnStepMax,EpThisIter,TimeElapsed,EpLenMean,LearnableVariance,EpRewMean,MeanIWNorm,Weights,InitialReturnMax,MinIWNorm,StdIWNorm,EmpiricalD2,MeanEntropy,VarianceInit,InitialReturnMin,ESSRenyi,MeanIW,ESSClassic,Iteration,OptimizationReturnMean,ReturnStepMaxmin,EpisodesSoFar,J_sample_variance,InitialReturnStd,InitialBound,StdIW,ReturnMeanIW,MinIW,Bound,OptimizationReturnMax
,123340,0.06423682,6.423682,280.8551,9.359981,100,240.28313994407654,30.39,,280.85511983359163,0.011161174,[ 6.139e-02  1.598e-01  8.096e-02  1.187e-02  1.850e-04  6.943e-02  2.749e-01 -3.098e-02  0.000e+00  0.000e+00  0.000e+00],557.9343,0.0025343553,0.008101675,1.2764616,0.4189424,-1.0,173.42468,78.34157,1.1161174,65.49208,48,107.43044,9.359981,4800,87223.49,68.30857,113.47481,0.81016743,327.3007,0.25343552,138.19344,384.50964
,126368,0.020839393,2.0839393,279.77286,9.359861,100,244.8431704044342,30.28,,279.7728448665234,0.010805525,[ 0.077  0.156  0.081  0.018  0.006  0.088  0.269 -0.032  0.     0.  0.   ],640.3981,0.0035043245,0.0033054824,1.0850886,0.4189424,-1.0,154.37878,92.15837,1.0805526,91.44288,49,125.394066,9.359861,4900,35646.312,72.404175,87.65344,0.33054826,300.71548,0.35043246,100.589325,486.0193
,129563,0.017517323,1.7517323,295.3071,9.35996,100,249.4800989627838,31.95,,295.3070961180215,0.010359108,[ 0.065  0.157  0.078  0.02   0.004  0.076  0.264 -0.029  0.     0.  0.   ],798.96106,0.0035489893,0.0023007377,1.0526189,0.4189424,-1.0,182.75505,95.001144,1.0359107,95.29913,50,112.55204,9.35996,5000,52657.332,93.20144,55.61876,0.23007378,312.78406,0.35489893,66.870514,616.206
,132769,0.05327144,5.327144,296.38126,9.359845,100,253.74506258964539,32.06,,296.38125951107446,0.011755636,[ 0.06   0.164  0.081  0.026  0.007  0.088  0.273 -0.03   0.     0.  0.   ],558.52936,0.0010832719,0.0076404056,1.4583771,0.4189424,-1.0,183.6662,68.56937,1.1755638,70.30293,51,112.715065,9.359845,5100,82411.04,74.993614,128.82246,0.7640406,366.06693,0.108327195,163.7174,374.86316
,135972,0.06617932,6.617932,296.08295,9.359954,100,258.3733992576599,32.03,,296.08293039856756,0.011102583,[ 0.06   0.163  0.082  0.02   0.007  0.065  0.281 -0.043  0.     0.  0.   ],907.10394,0.00082084176,0.006638346,1.2005101,0.4189424,-1.0,193.34393,83.29792,1.1102585,73.66503,52,102.739006,9.359954,5200,274016.34,95.730255,23.951752,0.6638346,368.50848,0.08208418,70.34036,713.76
,139154,0.47621727,47.621727,294.1938,9.359936,100,263.09990906715393,31.82,,294.19380052159426,0.015162069,[ 0.027  0.171  0.086  0.023  0.017  0.068  0.298 -0.051  0.     0.  0.   ],535.7169,0.0004712748,0.04749323,3.2322083,0.4189424,-1.0,174.08253,30.9386,1.516207,9.249198,53,120.11126,9.359936,5300,3018888.5,71.41465,133.47871,4.7493234,568.5767,0.04712748,279.63766,361.6344
,142457,0.02914128,2.914128,305.53796,9.359984,100,267.405969619751,33.03,,305.53795717542255,0.010366788,[ 0.014  0.166  0.083  0.021  0.007  0.03   0.293 -0.073  0.     0.  0.   ],620.4248,0.0020803106,0.0037495992,1.1224988,0.4189424,-1.0,210.3182,89.08696,1.0366789,88.43125,54,95.21976,9.359984,5400,58877.312,70.70135,119.41054,0.37495992,327.48444,0.20803106,130.28606,410.1066
,145785,0.02690756,2.690756,307.91614,9.359977,100,272.14881896972656,33.28,,307.9161353331699,0.0103126,[ 0.019  0.166  0.08   0.012  0.005  0.031  0.293 -0.081  0.     0.  0.   ],651.603,0.003571497,0.0035382076,1.0957357,0.4189424,-1.0,201.44528,91.262886,1.0312601,89.46828,55,106.470856,9.359977,5500,68526.05,85.06526,112.43524,0.35382074,331.749,0.35714972,127.124664,450.15775
,149248,0.029522762,2.9522762,320.50668,9.3598385,100,277.157598733902,34.63,,320.50666876877847,0.010570426,[ 0.041  0.163  0.081  0.007  0.003  0.036  0.301 -0.086  0.     0.  0.   ],605.55066,0.004393821,0.0035718046,1.0762964,0.4189424,-1.0,210.74933,92.9112,1.0570426,89.75209,56,109.75735,9.3598385,5600,59828.367,72.687614,138.84146,0.35718048,338.92325,0.4393821,150.45523,394.80133
,152723,0.039123688,3.9123688,321.7473,9.359962,100,281.8122615814209,34.75,,321.7473133601677,0.0116529055,[ 0.033  0.163  0.076  0.003 -0.004  0.023  0.282 -0.091  0.     0.  0.   ],652.3307,0.0028136575,0.0066810097,1.2892125,0.4189424,-1.0,211.12012,77.566734,1.1652907,75.26085,57,110.6272,9.359962,5700,77838.06,79.00361,126.04813,0.668101,377.70584,0.28136575,155.50214,441.21057
,156224,0.01782621,1.782621,324.10944,9.359912,100,286.2516269683838,35.01,,324.10944973503024,0.01012811,[ 0.024  0.16   0.073  0.01   0.001 -0.002  0.285 -0.1    0.     0.  0.   ],640.33105,0.004517715,0.0017520202,1.0369662,0.4189424,-1.0,193.82184,96.43516,1.012811,97.09453,58,130.28761,9.359912,5800,47022.61,72.37927,132.01013,0.17520203,332.69577,0.45177153,137.07808,446.50922
,159591,0.034231916,3.4231918,311.45953,9.359951,100,290.94927072525024,33.67,,311.45952561449593,0.010991688,[ 0.02   0.164  0.073  0.011 -0.001 -0.008  0.293 -0.105  0.     0.  0.   ],558.8685,0.0045647086,0.004415356,1.1414933,0.4189424,-1.0,212.38884,87.604546,1.0991689,86.10576,59,99.07069,9.359951,5900,62645.43,75.005585,143.79895,0.44153562,336.84952,0.45647088,157.71983,346.47968
,162894,0.04486851,4.486851,305.69373,9.359987,100,295.90595865249634,33.03,,305.6937145355714,0.0117360735,[ 0.026  0.158  0.074  0.011 -0.004  0.006  0.281 -0.101  0.     0.  0.   ],436.31296,0.0008961074,0.0081147095,1.5347965,0.4189424,-1.0,210.91745,65.15522,1.1736073,67.65534,60,94.77626,9.359987,6000,78024.29,51.426003,174.79982,0.8114709,369.30917,0.08961074,207.14879,225.39551
,166483,0.04222094,4.222094,332.34628,9.359903,100,300.1031527519226,35.89,,332.3462873819259,0.011115631,[ 0.036  0.152  0.073  0.019 -0.003 -0.001  0.3   -0.123  0.     0.  0.   ],651.9569,0.0014759075,0.0063956426,1.2281585,0.4189424,-1.0,220.61429,81.422714,1.1115632,75.12837,61,111.732,9.359903,6100,102830.32,78.65343,136.75922,0.63956434,378.73068,0.14759076,161.97658,431.34262
,169992,0.36525938,36.52594,324.9883,9.359793,100,305.02967500686646,35.09,,324.9883142048286,0.014225594,[ 0.062  0.155  0.078  0.031  0.006  0.009  0.325 -0.118  0.     0.  0.   ],612.61804,0.0008881444,0.03621506,2.6305335,0.4189424,-1.0,202.86224,38.015102,1.4225595,13.367314,62,122.12607,9.359793,6200,793783.0,74.9404,141.20291,3.621507,495.6141,0.088814445,197.53403,409.7558
