ReturnStepMax,MaxIWNorm,InitialReturnStd,Weights,ReturnMeanIW,ESSRenyi,ESSClassic,TimeElapsed,OptimizationReturnMin,MaxIW,EpRewMean,TimestepsSoFar,Iteration,Bound,StdIWNorm,StdIW,EpisodesSoFar,InitialReturnMean,EmpiricalD2,OptimizationReturnMean,EpThisIter,OptimizationReturnMax,InitialReturnMax,ReturnStepMaxmin,MeanEntropy,MeanIW,InitialReturnMin,MinIWNorm,VarianceInit,EpLenMean,InitialBound,LearnableVariance,MinIW,MeanIWNorm,J_sample_variance
9.359875,0.0274593,59.90761,[-0.009  0.174  0.055  0.013 -0.006 -0.04   0.352 -0.033  0.     0.  0.    -0.364],308.55807,78.97245,83.571144,43.67496943473816,,2.74593,264.22889022490097,63848,26,151.8096,0.005098358,0.5098358,2600,264.22888,1.2662643,146.978,100,347.07172,464.32263,9.359875,1.0402185,1.1498857,117.2509,0.0021521251,-1,28.64,124.9321,True,0.21521252,0.011498855,29877.512
9.359928,1.6106409,66.0724,[-0.016  0.192  0.059  0.002 -0.013 -0.049  0.394 -0.041  0.     0.  0.    -0.379],1196.7872,4.6052313,3.1850164,45.60304260253906,,161.06409,266.4068459135221,66735,27,510.63922,0.17954439,17.95444,2700,266.40683,21.714436,101.155304,100,325.56848,490.82,9.359928,1.0341234,3.2565398,165.25154,1.4466866e-06,-1,28.87,119.16084,True,0.00014466867,0.0325654,20136358.0
9.3597765,0.028396577,73.965164,[-1.374e-02  1.911e-01  8.128e-02 -7.023e-05 -2.141e-02 -1.264e-01  5.108e-01 -7.151e-02  0.000e+00  0.000e+00  0.000e+00 -3.848e-01],332.5369,80.63593,79.45689,48.23087501525879,,2.8396578,286.69179865712215,69840,28,102.43712,0.0055574733,0.55574733,2800,286.6918,1.2401419,113.31746,100,515.37195,688.7463,9.3597765,0.99871445,1.0929741,173.37433,0.0014672923,-1,31.05,80.06793,True,0.14672923,0.010929739,70487.664
9.359627,0.025625676,58.301723,[-0.021  0.185  0.083  0.004 -0.019 -0.157  0.533 -0.082  0.     0.  0.    -0.42 ],324.18204,80.23789,83.455734,51.3135712146759,,2.5625677,283.7229358181516,72911,29,165.37733,0.0048966883,0.48966888,2900,283.72293,1.2462939,109.15546,100,299.60013,474.1676,9.359627,0.97248954,1.0997826,174.56747,0.0019328615,-1,30.71,141.47269,True,0.19328615,0.010997826,49421.098
9.359755,0.016010627,65.50525,[-0.014  0.191  0.087 -0.007 -0.022 -0.163  0.572 -0.091  0.     0.  0.    -0.446],302.5647,95.41159,95.30367,53.845553398132324,,1.6010628,294.2654501976128,76098,30,128.25626,0.0022630177,0.22630177,3000,294.26544,1.0480907,100.93757,100,374.21375,567.5416,9.359755,0.95627916,1.0194429,193.32788,0.004994763,-1,31.87,124.00296,True,0.4994763,0.010194428,45725.188
9.359576,0.2733575,72.20007,[-0.007  0.196  0.09  -0.014 -0.015 -0.176  0.584 -0.095  0.     0.  0.    -0.463],487.24402,47.481945,18.263865,56.24172806739807,,27.33575,295.89004956927545,79303,31,207.57388,0.02937267,2.9372668,3100,295.89005,2.1060636,103.63861,100,450.1243,642.37573,9.359576,0.9287733,1.3884579,192.25143,0.0003737012,-1,32.05,103.17734,True,0.03737012,0.013884578,927892.4
9.3599415,0.028116584,56.67226,[-0.04   0.188  0.086 -0.006 -0.009 -0.264  0.575 -0.12   0.     0.  0.    -0.49 ],317.13666,86.319534,82.20346,59.34373331069946,,2.8116584,295.35588089140816,82501,32,162.81508,0.0050310395,0.503104,3200,295.35587,1.1584864,94.19148,100,276.7608,477.9252,9.3599415,0.9267022,1.0812722,201.1644,0.0046776067,-1,31.98,151.97829,True,0.46776068,0.010812722,52642.78
9.359621,0.051156625,62.986794,[-0.036  0.204  0.091  0.011  0.009 -0.253  0.585 -0.105  0.     0.  0.    -0.492],330.1036,83.81664,80.01498,61.828930139541626,,5.1156626,293.26584349046897,85676,33,159.40218,0.0055079972,0.5507997,3300,293.26584,1.1930804,74.08372,100,301.74988,520.932,9.359621,0.9315186,1.1021153,219.18213,0.0020809947,-1,31.75,136.98625,True,0.20809947,0.011021155,74713.63
9.3598995,0.023951482,50.41433,[-0.023  0.213  0.096 -0.003 -0.01  -0.235  0.61  -0.106  0.     0.  0.    -0.487],320.09903,87.3038,88.520134,65.01424026489258,,2.3951483,294.4747884533045,88864,34,174.64633,0.003935658,0.39356583,3400,294.4748,1.1454254,91.712395,100,250.25732,453.0197,9.3598995,0.93371046,1.0928738,202.76239,0.0041782274,-1,31.88,158.56886,True,0.41782275,0.010928738,53503.78
9.359665,2.5300581,57.6791,[-0.042  0.216  0.092  0.012 -0.002 -0.249  0.562 -0.126  0.     0.  0.    -0.485],1885.1942,1.4631126,3.2831767,67.83859658241272,,253.00581,295.06856342043204,92060,35,684.53357,0.28120905,28.120903,3500,295.06854,68.34744,102.52263,100,291.55722,484.10315,9.359665,0.9032547,5.181141,192.54593,5.9557715e-06,-1,31.96,149.83763,True,0.0005955772,0.05181141,30027800.0
