LearnableVariance,Iteration,OptimizationReturnMax,InitialReturnStd,MinIW,ESSClassic,ESSRenyi,J_sample_variance,MeanEntropy,MaxIWNorm,VarianceInit,InitialReturnMax,Bound,ReturnStepMaxmin,TimestepsSoFar,MeanIWNorm,ReturnMeanIW,MeanIW,OptimizationReturnMin,ReturnStepMax,InitialReturnMean,EmpiricalD2,MinIWNorm,InitialReturnMin,EpLenMean,StdIWNorm,MaxIW,TimeElapsed,EpRewMean,OptimizationReturnMean,EpThisIter,StdIW,EpisodesSoFar,InitialBound,Weights
,25,373.90424,71.94537,0.5140246,96.90392,96.16932,38368.566,0.4189424,0.013583407,-1.0,546.81335,112.73271,9.359845,59159,0.010056593,280.01196,1.0056593,,9.359845,272.3345,1.0398327,0.005140246,172.9091,29.47,0.0017975749,1.3583407,105.44781184196472,272.334514507397,99.42541,100,0.1797575,2500,108.29051,[ 4.596e-02  6.693e-02 -5.000e-05  1.785e-02  9.752e-03  5.158e-02  2.599e-02 -1.146e-01  0.000e+00  0.000e+00  0.000e+00]
,26,393.7562,71.95858,0.45971677,89.624214,91.96235,29119.584,0.4189424,0.021908201,-1.0,529.6278,113.820145,9.359782,62015,0.01056006,279.5066,1.056006,,9.359782,263.76602,1.0874015,0.0045971675,135.87161,28.56,0.0035930576,2.1908202,111.14086842536926,263.7659990668737,127.894394,100,0.35930574,2600,104.877655,[ 0.049  0.068 -0.004  0.015  0.008  0.052  0.029 -0.119  0.     0.  0.   ]
,27,309.04736,62.05595,0.7444756,97.84483,98.17379,29363.662,0.4189424,0.015336541,-1.0,463.28638,121.60297,9.359901,64798,0.010175391,261.8756,1.0175393,,9.359901,256.6973,1.0186018,0.0074447556,154.239,27.83,0.0015101614,1.5336542,116.51005220413208,256.69729411769436,102.45829,100,0.15101615,2700,117.711395,[ 0.049  0.081 -0.006  0.011 -0.005  0.061  0.044 -0.11   0.     0.  0.   ]
,28,362.12228,75.10159,0.11816509,90.59019,86.864235,34524.61,0.4189424,0.018264731,-1.0,507.24332,135.56949,9.359684,67769,0.010748917,298.8435,1.0748917,,9.359684,274.5722,1.1512218,0.0011816509,145.12103,29.71,0.0034642946,1.8264731,121.7705500125885,274.5721976446646,129.45116,100,0.34642944,2800,122.399216,[ 0.036  0.092 -0.009  0.006 -0.008  0.064  0.047 -0.106  0.     0.  0.   ]
,29,311.59247,79.45746,0.07531491,88.109566,83.63942,45714.566,0.4189424,0.021099774,-1.0,474.91742,164.09201,9.359829,70819,0.011125486,319.87994,1.1125486,,9.359829,281.97708,1.1956085,0.0007531491,163.32495,30.5,0.004087013,2.1099775,127.87700605392456,281.977076771609,118.65212,100,0.40870133,2900,139.50183,[ 0.042  0.096 -0.013  0.013 -0.003  0.064  0.051 -0.116  0.     0.  0.   ]
,30,572.29297,81.88859,0.55489063,94.23783,95.20178,45001.55,0.4189424,0.020083709,-1.0,745.49365,82.17323,9.359915,74018,0.010340056,311.38803,1.0340056,,9.359915,295.86728,1.0504005,0.005548906,173.20065,31.99,0.002556838,2.0083709,134.41177821159363,295.86728811262174,122.66663,100,0.25568384,3000,72.21919,[ 0.058  0.092 -0.01   0.023  0.004  0.07   0.067 -0.124  0.     0.  0.   ]
,31,450.72543,82.345436,0.1420955,67.14881,76.4956,49111.758,0.4189424,0.06335209,-1.0,586.7749,125.37543,9.359703,77135,0.011298862,326.64334,1.1298863,,9.359703,288.00165,1.3072648,0.001420955,136.04947,31.17,0.007902984,6.3352094,139.2251513004303,288.00164109562877,151.95218,100,0.79029846,3100,111.96919,[ 0.071  0.093 -0.008  0.017 -0.001  0.075  0.078 -0.12   0.     0.  0.   ]
,32,483.87003,84.67555,0.26229495,89.19421,85.680046,46278.812,0.4189424,0.02187192,-1.0,638.86786,128.89192,9.359822,80314,0.011190307,335.95013,1.1190306,,9.359822,294.0714,1.1671329,0.0026229494,154.99783,31.79,0.0038949465,2.1871922,144.74278092384338,294.07139081046705,139.07355,100,0.38949466,3200,102.41104,[ 0.074  0.082 -0.007  0.017  0.003  0.079  0.062 -0.131  0.     0.  0.   ]
,33,337.8263,63.78498,0.024075603,2.000144,10.580702,589784.7,0.4189424,2.3532288,-1.0,510.55252,246.6724,9.359773,83252,0.033396278,717.5461,3.3396277,,9.359773,271.4406,9.451169,0.00024075602,172.72624,29.38,0.23376538,235.32288,148.76955842971802,271.4406297574958,98.714386,100,23.376537,3300,118.27484,[ 0.073  0.092 -0.009  0.006 -0.008  0.089  0.076 -0.131  0.     0.  0.   ]
,34,315.06723,55.553402,0.47414964,97.469826,96.85419,18683.115,0.4189424,0.014386071,-1.0,433.33078,120.458984,9.359826,85928,0.010183159,252.55254,1.018316,,9.359826,247.02805,1.0324799,0.0047414964,118.26356,26.76,0.0016406757,1.4386071,153.03222155570984,247.0280581534073,128.7645,100,0.16406757,3400,117.028824,[ 0.063  0.102 -0.    -0.028 -0.034  0.096  0.081 -0.095  0.     0.  0.   ]
,35,438.85196,72.092545,0.25830323,79.09196,83.75946,50536.117,0.4189424,0.04127251,-1.0,547.2274,105.495346,9.359826,88643,0.010436711,284.87457,1.043671,,9.359826,250.77211,1.193895,0.0025830322,108.37546,27.15,0.005366042,4.127251,156.69988346099854,250.77209135997532,142.39664,100,0.53660417,3500,86.60387,[ 0.066  0.103 -0.006 -0.032 -0.037  0.091  0.085 -0.095  0.     0.  0.   ]
,36,337.47568,67.38348,0.16181135,78.66036,79.097466,46116.383,0.4189424,0.03637981,-1.0,502.61725,144.64418,9.35995,91641,0.011010162,314.1862,1.101016,,9.35995,277.20728,1.264263,0.0016181135,165.14157,29.98,0.0057346793,3.637981,160.91869139671326,277.20727912812737,112.065704,100,0.5734679,3600,126.422104,[ 0.044  0.119 -0.013 -0.026 -0.033  0.095  0.085 -0.102  0.     0.  0.   ]
,37,400.43127,80.23399,0.7197256,98.68713,98.12072,35860.15,0.4189424,0.015533118,-1.0,563.74396,115.44197,9.359952,94664,0.010134777,286.17706,1.0134778,,9.359952,279.38837,1.0191528,0.0071972557,163.31268,30.23,0.0011689449,1.5533118,164.9718177318573,279.38836605240476,116.075676,100,0.11689449,3700,110.26518,[ 0.042  0.116 -0.012 -0.014 -0.024  0.085  0.087 -0.108  0.     0.  0.   ]
