InitialReturnMean,MinIWNorm,EpisodesSoFar,StdIW,MeanEntropy,OptimizationReturnMin,J_sample_variance,OptimizationReturnMean,StdIWNorm,MaxIW,InitialReturnStd,ReturnMeanIW,EpThisIter,ReturnStepMaxmin,ESSClassic,MeanIW,EmpiricalD2,ReturnStepMax,EpLenMean,OptimizationReturnMax,Iteration,InitialReturnMax,LearnableVariance,MinIW,ESSRenyi,VarianceInit,MeanIWNorm,InitialReturnMin,Bound,TimeElapsed,Weights,InitialBound,EpRewMean,MaxIWNorm,TimestepsSoFar
244.04897,0.00035276904,2400,1.714973,0.4189424,,417768.12,126.12778,0.01714973,17.102682,64.71878,330.45352,100,9.359775,32.078506,1.1785846,1.7356268,9.359775,26.47,372.40002,24,490.32123,,0.035276905,57.616074,-1.0,0.011785847,117.92119,136.66408,98.17391729354858,[ 0.045  0.061  0.054  0.005  0.028  0.025  0.105 -0.056  0.     0.  0.   ],96.95259,244.04896574322117,0.17102681,52813
261.74005,0.0033632878,2500,0.36996093,0.4189424,,42899.137,98.40943,0.0036996095,2.3247106,69.780235,289.17026,100,9.359929,89.56552,1.0839047,1.1410573,9.359929,28.36,392.26816,25,555.59875,,0.33632877,87.63802,-1.0,0.010839048,163.3306,111.12262,102.56300354003906,[-0.001  0.075  0.062 -0.     0.012 -0.007  0.112 -0.06   0.     0.  0.   ],95.06044,261.74003897461387,0.023247106,55649
266.56696,0.0025358365,2600,0.5988217,0.4189424,,48532.824,120.82817,0.005988217,3.0573382,70.18158,325.27896,100,9.359952,79.29544,1.1718948,1.2876815,9.359952,28.89,359.98267,26,505.72147,,0.25358367,77.65896,-1.0,0.011718947,145.73878,153.11714,106.79396748542786,[ 0.001  0.07   0.063 -0.001  0.01  -0.028  0.119 -0.069  0.     0.  0.   ],114.850525,266.566949584837,0.030573381,58538
260.4958,0.005680598,2700,0.3082224,0.4189424,,34293.645,96.52252,0.003082224,2.633461,54.692215,271.8946,100,9.359367,91.949425,1.0416569,1.0687245,9.359367,28.25,280.9387,27,444.912,,0.5680598,93.56948,-1.0,0.010416568,163.9733,133.91075,110.18540740013123,[-0.003  0.081  0.067 -0.013  0.    -0.036  0.146 -0.06   0.     0.  0.   ],127.02223,260.4958098990463,0.02633461,61363
265.3078,0.00021411007,2800,115.65359,0.4189424,,17215342.0,92.550446,1.1565361,1162.7112,58.89562,2659.5312,100,9.359815,1.187745,12.679885,73.175156,9.359815,28.73,328.92337,28,501.68073,,0.021411007,1.3665841,-1.0,0.1267989,172.75735,1372.0809,113.601158618927,[ 0.003  0.087  0.067 -0.021 -0.003 -0.029  0.161 -0.051  0.     0.  0.   ],114.80362,265.3078155876585,11.627111,64236
237.58243,0.001725956,2900,0.6450015,0.4189424,,47213.598,91.93513,0.006450015,4.1425524,64.95583,281.70828,100,9.359881,75.13195,1.12112,1.3302927,9.359881,25.8,353.38382,29,499.03113,,0.1725956,75.171425,-1.0,0.011211199,145.64731,109.03606,116.92144393920898,[ 0.004  0.11   0.066  0.008  0.012  0.016  0.135 -0.004  0.     0.  0.   ],87.87311,237.58244486356227,0.041425522,66816
239.74345,0.0019329708,3000,0.6950932,0.4189424,,52723.168,112.68241,0.006950932,4.944025,65.64633,285.7295,100,9.3597555,72.18251,1.1196959,1.2614694,9.3597555,26.01,384.3053,30,511.36633,,0.19329709,79.27264,-1.0,0.011196959,127.061035,113.42694,120.13560056686401,[ 0.017  0.113  0.067  0.009  0.006  0.025  0.14  -0.014  0.     0.  0.   ],86.33354,239.74344498397295,0.04944025,69417
251.64711,0.0045011034,3100,0.3686557,0.4189424,,31561.088,115.11528,0.003686557,2.8770146,80.926796,266.1515,100,9.359845,88.74753,1.0353214,1.0838928,9.359845,27.28,440.2598,31,576.7916,,0.45011035,92.26005,-1.0,0.010353213,136.53183,86.00186,123.50644087791443,[ 0.014  0.145  0.064 -0.006 -0.004  0.048  0.156 -0.008  0.     0.  0.   ],78.60965,251.64711160605606,0.028770145,72145
234.43285,0.004563853,3200,0.84213424,0.4189424,,59727.01,107.28226,0.008421342,6.9952106,64.69905,264.50113,100,9.359621,63.137886,1.1021384,1.1587932,9.359621,25.45,391.78754,32,518.9381,,0.4563853,86.29668,-1.0,0.011021384,127.15059,96.91435,126.60307025909424,[ 0.019  0.145  0.067  0.003 -0.002  0.06   0.159 -0.011  0.     0.  0.   ],78.75142,234.4328499298217,0.06995211,74690
243.49504,0.001982593,3300,0.4082799,0.4189424,,30713.232,134.47589,0.004082799,2.2332194,74.43575,263.2694,100,9.359958,86.233215,1.0218306,1.1419848,9.359958,26.41,429.7481,33,538.7673,,0.1982593,87.56684,-1.0,0.010218305,109.01915,90.54544,129.85584902763367,[ 0.034  0.149  0.073 -0.003 -0.005  0.088  0.171 -0.002  0.     0.  0.   ],81.86485,243.49504558337762,0.022332193,77331
234.41252,0.0015311062,3400,1.6880002,0.4189424,,95422.32,107.36429,0.016880002,15.728113,49.319256,287.507,100,9.359872,33.24763,1.1912955,1.4826803,9.359872,25.43,253.12488,34,380.1731,,0.15311062,67.44542,-1.0,0.011912955,127.048225,148.63126,132.89728045463562,[ 2.836e-02  1.506e-01  7.632e-02 -4.516e-03  8.124e-05  9.316e-02  1.780e-01 -9.139e-03  0.000e+00  0.000e+00  0.000e+00],120.360565,234.41250820164987,0.15728113,79874
