MinIW,Weights,MeanIWNorm,EmpiricalD2,InitialReturnMin,MaxIW,StdIW,InitialReturnMax,OptimizationReturnMax,MaxIWNorm,ReturnStepMax,Iteration,InitialBound,MinIWNorm,StdIWNorm,VarianceInit,J_sample_variance,ESSRenyi,ReturnMeanIW,EpThisIter,Bound,EpisodesSoFar,EpLenMean,ESSClassic,OptimizationReturnMin,MeanIW,MeanEntropy,TimeElapsed,InitialReturnStd,TimestepsSoFar,EpRewMean,LearnableVariance,ReturnStepMaxmin,InitialReturnMean,OptimizationReturnMean
0.09723541,[ 0.057  0.106  0.077  0.011 -0.02   0.171  0.124 -0.075  0.     0.  0.   ],0.010822594,1.2610776,163.74622,3.5709314,0.50644386,484.0278,320.2816,0.035709314,9.359943,24,109.53961,0.0009723541,0.0050644386,-1.0,45757.465,79.29726,290.7469,100,127.681244,2400,27.57,82.03595,,1.0822594,0.4189424,127.21455335617065,60.91462,52742,254.7479437152931,,9.359943,254.74796,91.00174
0.017278334,[ 0.053  0.111  0.074  0.014 -0.02   0.173  0.131 -0.089  0.     0.  0.   ],0.014206854,2.3421166,153.81273,37.918854,3.8452623,482.7899,328.97717,0.37918854,9.359857,25,140.05968,0.00017278334,0.03845262,-1.0,968098.3,42.696423,443.95157,100,222.29343,2500,30.81,12.010836,,1.4206855,0.4189424,133.7481405735016,74.13985,55823,284.8966324094749,,9.359857,284.89664,131.08391
0.32652155,[ 0.05   0.097  0.076  0.034 -0.001  0.139  0.12  -0.09   0.     0.  0.   ],0.010835038,1.1272937,155.04092,3.4287467,0.5108026,498.5758,343.53488,0.034287468,9.359785,26,117.58501,0.0032652153,0.0051080263,-1.0,38085.168,88.70802,286.70874,100,127.90126,2600,28.91,81.81619,,1.0835036,0.4189424,140.57663130760193,68.52759,58714,267.15774459476523,,9.359785,267.15775,112.11683
0.57721734,[ 0.047  0.088  0.072  0.029 -0.01   0.122  0.111 -0.089  0.     0.  0.   ],0.01023321,1.0469267,144.84055,1.3767537,0.17089769,510.35922,365.51868,0.013767537,9.359821,27,123.31735,0.0057721734,0.0017089767,-1.0,30024.512,95.51767,286.79642,100,130.13742,2700,29.9,97.28668,,1.023321,0.4189424,147.350647687912,73.29463,61704,276.42513149189216,,9.359821,276.42514,131.5846
0.016208475,[ 0.051  0.089  0.07   0.035 -0.007  0.13   0.122 -0.092  0.     0.  0.   ],0.013425383,2.2056482,172.40689,22.637989,2.294182,605.6372,433.23032,0.22637989,9.359342,28,101.909805,0.00016208475,0.022941822,-1.0,469116.8,45.338146,446.6001,100,176.76285,2800,30.66,25.509342,,1.3425381,0.4189424,154.3860445022583,79.89912,64770,283.6009439052032,,9.359342,283.60095,111.19405
0.15337786,[ 0.053  0.083  0.068  0.024 -0.012  0.115  0.116 -0.122  0.     0.  0.   ],0.011276211,1.2189615,192.98256,2.9966588,0.49699247,576.99005,384.0075,0.029966587,9.359773,29,116.33641,0.0015337786,0.0049699247,-1.0,63804.844,82.03705,335.38083,100,144.27032,2900,31.28,83.73416,,1.127621,0.4189424,161.75811433792114,75.62694,67898,289.4334190593015,,9.359773,289.4334,96.45086
0.12280366,[ 0.082  0.068  0.07   0.018 -0.016  0.113  0.103 -0.137  0.     0.  0.   ],0.011470153,1.3472972,155.04218,8.21673,0.9481763,545.7002,390.65802,0.0821673,9.359814,30,121.86755,0.0012280366,0.009481763,-1.0,80988.96,74.22267,336.107,100,146.0836,3000,30.89,59.40555,,1.1470155,0.4189424,168.3534927368164,74.55137,70987,285.57759881598275,,9.359814,285.5776,130.53542
0.17680152,[ 0.066  0.08   0.064  0.009 -0.023  0.088  0.089 -0.134  0.     0.  0.   ],0.013308424,1.7886362,182.47496,29.78879,2.911939,801.59656,619.1216,0.2978879,9.359845,31,64.91597,0.0017680151,0.029119391,-1.0,3438264.5,55.90852,557.692,100,236.07568,3100,33.01,17.278538,,1.3308425,0.4189424,175.06934714317322,93.847275,74288,305.394938792123,,9.359845,305.39493,122.91998
0.70804656,[ 0.07   0.074  0.064  0.001 -0.032  0.07   0.085 -0.146  0.     0.  0.   ],0.010409256,1.032225,173.76208,2.1976185,0.19608991,648.3198,474.55774,0.021976184,9.359931,32,104.343414,0.0070804656,0.0019608992,-1.0,38788.043,96.878105,306.85782,100,109.252914,3200,32.29,96.57292,,1.0409257,0.4189424,183.16730904579163,78.33284,77517,298.8393336290545,,9.359931,298.83932,125.07725
0.5019188,[ 0.07   0.067  0.07  -0.004 -0.032  0.064  0.078 -0.145  0.     0.  0.   ],0.010190976,1.056605,173.11522,1.5712415,0.20447385,554.0718,380.95654,0.015712414,9.359971,33,131.36191,0.005019188,0.0020447383,-1.0,42597.54,94.642746,309.4092,100,138.54796,3300,32.17,96.130066,,1.0190976,0.4189424,190.0969955921173,82.96903,80734,297.5834592038447,,9.359971,297.58347,124.46824
0.57566786,[ 0.072  0.069  0.069 -0.005 -0.036  0.063  0.08  -0.154  0.     0.  0.   ],0.010102302,1.0203937,163.69638,1.425035,0.1330989,658.2512,494.55484,0.014250349,9.359861,34,100.483444,0.0057566785,0.0013309891,-1.0,36353.625,98.00139,305.01654,100,105.53772,3400,32.19,98.29379,,1.0102302,0.4189424,196.84177374839783,77.697945,83953,297.9587925565692,,9.359861,297.9588,134.26242
0.4348268,[ 0.081  0.062  0.07  -0.005 -0.037  0.06   0.083 -0.16   0.     0.  0.   ],0.010330221,1.0826981,183.2168,6.1773624,0.56185883,576.0002,392.7834,0.061773624,9.359805,35,134.42285,0.004348268,0.005618588,-1.0,97214.41,92.36185,335.52185,100,155.71858,3500,33.2,77.17091,,1.033022,0.4189424,203.68748354911804,85.15698,87273,307.22291419202486,,9.359805,307.2229,124.00611
0.3167608,[ 0.055  0.074  0.061 -0.    -0.038  0.061  0.075 -0.167  0.     0.  0.   ],0.010870435,1.1581597,182.482,2.3100677,0.38378358,611.96484,429.48285,0.023100676,9.359884,36,123.364044,0.003167608,0.0038378357,-1.0,56381.793,86.34387,342.2231,100,144.64812,3600,33.16,88.916855,,1.0870434,0.4189424,211.14227938652039,84.13101,90589,306.953518236175,,9.359884,306.95352,124.471535
0.54778326,[ 0.055  0.085  0.065 -0.007 -0.041  0.071  0.097 -0.172  0.     0.  0.   ],0.010180117,1.0858067,191.84883,3.110076,0.39952916,588.44794,396.59912,0.03110076,9.359956,37,139.61897,0.0054778326,0.0039952914,-1.0,72816.35,92.09742,339.9621,100,156.00967,3700,34.15,86.65321,,1.0180116,0.4189424,217.9321253299713,90.89306,94004,316.15339721108705,,9.359956,316.1534,124.30457
0.034652993,[ 8.963e-02  7.529e-02  6.878e-02 -1.232e-04 -3.225e-02  6.809e-02  9.765e-02 -1.732e-01  0.000e+00  0.000e+00  0.000e+00],0.015472331,3.4747634,181.80362,51.10118,5.060626,624.4659,442.66226,0.5110118,9.35986,38,142.46515,0.0003465299,0.05060626,-1.0,2274609.0,28.778938,596.3498,100,247.13504,3800,35.61,8.548571,,1.5472332,0.4189424,225.01056456565857,85.924286,97565,329.8049158855736,,9.35986,329.80493,148.0013
0.71346885,[ 0.054  0.101  0.064 -0.005 -0.033  0.057  0.117 -0.188  0.     0.  0.   ],0.010444153,1.046142,192.61389,2.6367605,0.23929445,677.66174,485.04785,0.026367605,9.359661,39,102.72505,0.0071346886,0.0023929444,-1.0,49529.145,95.58932,319.65674,100,111.720825,3900,33.06,95.01232,,1.0444154,0.4189424,232.34828758239746,75.95588,100871,306.02358379459963,,9.359661,306.0236,113.40969
0.2571919,[ 0.042  0.104  0.06  -0.003 -0.03   0.05   0.111 -0.184  0.     0.  0.   ],0.010697142,1.1219672,202.49693,2.7176592,0.40260607,723.91046,521.4135,0.027176592,9.359696,40,122.27945,0.002571919,0.004026061,-1.0,71471.875,89.129166,366.74747,100,136.71127,4000,36.65,87.5923,,1.069714,0.4189424,239.37738919258118,103.89892,104536,339.4525950635482,,9.359696,339.45258,136.95566
0.30029482,[ 0.02   0.112  0.052 -0.008 -0.03   0.062  0.107 -0.188  0.     0.  0.   ],0.010200361,1.0536375,211.37122,2.104113,0.22590871,673.79456,462.42334,0.02104113,9.359965,41,118.96901,0.0030029481,0.0022590873,-1.0,59530.895,94.9093,332.61093,100,125.12227,4100,34.67,95.32436,,1.020036,0.4189424,246.36725687980652,82.818054,108003,321.1073414263967,,9.359965,321.10733,109.73612
0.41261578,[ 0.022  0.113  0.05  -0.009 -0.029  0.056  0.104 -0.201  0.     0.  0.   ],0.010166369,1.0304993,201.9414,1.6068674,0.16833456,846.08704,644.1456,0.016068675,9.35992,42,97.27101,0.0041261576,0.0016833455,-1.0,57941.52,97.04034,358.86258,100,101.19479,4200,37.88,97.331474,,1.0166368,0.4189424,253.66382312774658,115.59205,111791,351.09710237669196,,9.35992,351.0971,149.1557
0.043897137,[ 0.02   0.114  0.049 -0.008 -0.027  0.053  0.104 -0.208  0.     0.  0.   ],0.011543654,1.5811639,212.2449,13.366129,1.3467749,667.5146,455.26968,0.13366129,9.359876,43,134.90796,0.00043897136,0.01346775,-1.0,313349.97,63.244553,437.9262,100,186.11766,4300,36.16,42.352394,,1.1543654,0.4189424,260.98942279815674,101.73285,115407,335.16233632380784,,9.359876,335.16235,122.917435
0.09752247,[ 0.009  0.122  0.046 -0.015 -0.032  0.068  0.109 -0.237  0.     0.  0.   ],0.013185816,1.9166812,221.28635,19.119392,2.1901808,680.72546,459.43912,0.19119392,9.359984,44,142.27774,0.00097522466,0.021901807,-1.0,449006.38,52.17352,493.24423,100,210.51663,4400,37.38,26.60308,,1.3185817,0.4189424,268.7729911804199,96.85693,119145,346.4953500075815,,9.359984,346.4953,125.20901
0.006366548,[-0.03   0.147  0.041  0.001 -0.018  0.054  0.107 -0.229  0.     0.  0.   ],0.10444512,59.691017,220.63022,953.0018,94.743355,749.34863,528.7184,9.530018,9.35991,45,137.55327,6.366548e-05,0.9474334,-1.0,43336920.0,1.6752939,3039.854,100,1303.0146,4500,39.1,1.2006947,,10.44451,0.4189424,276.6900691986084,111.26754,123055,362.35786041590495,,9.35991,362.35788,141.72763
0.41710302,[-0.03   0.14   0.049  0.031  0.008  0.022  0.115 -0.204  0.     0.  0.   ],0.010565896,1.0565373,212.40747,1.5424911,0.17955784,587.02026,374.6128,0.01542491,9.359916,46,156.97746,0.00417103,0.0017955784,-1.0,57810.23,94.64881,350.2346,100,169.21867,4600,35.97,97.193085,,1.0565896,0.4189424,284.83319067955017,77.391396,126652,333.0835416268699,,9.359916,333.08356,120.67607
0.17305803,[-0.033  0.139  0.043  0.036  0.014  0.018  0.105 -0.215  0.     0.  0.   ],0.012033446,1.4793162,201.95172,11.038349,1.1040835,798.0169,596.0652,0.11038349,9.359854,47,113.819,0.0017305803,0.011040835,-1.0,385022.06,67.5988,452.51227,100,161.33072,4700,38.12,54.293854,,1.2033447,0.4189424,292.1789195537567,108.03688,130464,353.2240705813328,,9.359854,353.2241,151.27235
0.17038725,[-0.014  0.139  0.046  0.045  0.024  0.027  0.124 -0.234  0.     0.  0.   ],0.012129119,1.6275611,212.00183,12.175282,1.384665,565.31946,353.31763,0.12175281,9.359963,48,153.57907,0.0017038725,0.01384665,-1.0,266343.4,61.441628,422.87354,100,206.51013,4800,34.87,43.416718,,1.2129118,0.4189424,299.1811673641205,75.48992,133951,323.1749394478086,,9.359963,323.17493,111.173096
0.7132565,[-0.061  0.142  0.044  0.049  0.026  0.05   0.106 -0.228  0.     0.  0.   ],0.010143999,1.0175965,182.24274,1.4186847,0.13913922,605.36865,423.12592,0.014186847,9.35985,49,145.46956,0.0071325647,0.0013913922,-1.0,44130.76,98.27078,331.48483,100,148.28336,4900,35.29,98.15335,,1.0143999,0.4189424,306.5208055973053,91.80902,137480,327.0801515705552,,9.35985,327.08017,144.83742
0.42576388,[-0.066  0.134  0.043  0.048  0.023  0.046  0.098 -0.228  0.     0.  0.   ],0.01059851,1.0988003,212.86218,2.834573,0.37302354,681.93823,469.07605,0.02834573,9.359873,50,122.14548,0.0042576385,0.0037302352,-1.0,63492.402,91.00835,351.57178,100,137.12195,5000,35.28,88.97789,,1.0598509,0.4189424,313.31191515922546,90.53666,141008,326.7269422870482,,9.359873,326.72696,113.86475
0.27411062,[-0.066  0.139  0.044  0.041  0.014  0.055  0.116 -0.215  0.     0.  0.   ],0.010708447,1.2317182,210.53284,5.3000236,0.60481614,619.0786,408.54578,0.053000234,9.359781,51,143.91257,0.002741106,0.0060481615,-1.0,109334.38,81.1874,375.7334,100,169.61217,5100,35.56,75.814865,,1.0708447,0.4189424,320.3263521194458,81.43238,144564,329.6361262754176,,9.359781,329.63614,119.103294
0.62696403,[-0.055  0.149  0.051  0.043  0.013  0.074  0.143 -0.223  0.     0.  0.   ],0.010389551,1.0584434,211.46854,2.26268,0.26193386,586.3887,374.92014,0.0226268,9.359808,52,154.6127,0.0062696403,0.0026193385,-1.0,57638.16,94.47836,343.12808,100,162.14389,5200,35.67,94.02376,,1.0389551,0.4189424,327.5881597995758,83.17939,148131,330.52928359869424,,9.359808,330.5293,119.060745
0.8585486,[-0.052  0.136  0.047  0.042  0.011  0.063  0.128 -0.232  0.     0.  0.   ],0.010119311,1.0082364,229.47897,1.2921792,0.09355056,632.95996,403.481,0.0129217915,9.359855,53,143.24728,0.008585486,0.0009355056,-1.0,60891.047,99.18309,335.35547,100,144.6871,5300,35.95,99.15259,,1.0119311,0.4189424,334.4687099456787,81.79551,151726,333.1352785388223,,9.359855,333.13528,103.656296
0.028668381,[-0.052  0.135  0.045  0.044  0.01   0.065  0.132 -0.227  0.     0.  0.   ],0.024659304,6.6156917,193.68938,154.63332,15.360872,716.49396,522.80457,1.5463331,9.359715,54,118.06503,0.00028668382,0.1536087,-1.0,13832801.0,15.115578,956.94305,100,404.07513,5400,35.94,2.512347,,2.4659305,0.4189424,341.98283672332764,91.82041,155320,333.0132017555218,,9.359715,333.0132,139.32382
0.18109244,[-0.035  0.122  0.043  0.037 -0.01   0.071  0.091 -0.19   0.     0.  0.   ],0.011445361,1.375539,211.49118,4.2122226,0.6791758,619.5604,408.06924,0.042122226,9.35984,55,137.34785,0.0018109244,0.006791758,-1.0,92847.625,72.69878,389.38687,100,171.39449,5500,34.89,73.95728,,1.1445363,0.4189424,350.0628480911255,82.5637,158809,323.215986768483,,9.35984,323.216,111.72481
0.03616667,[-0.032  0.118  0.04   0.038 -0.008  0.062  0.1   -0.211  0.     0.  0.   ],0.013088977,2.3681543,212.12378,16.783487,1.9322816,660.47784,448.35406,0.16783486,9.359719,56,163.21936,0.0003616667,0.019322814,-1.0,611260.6,42.22698,547.38885,100,242.46985,5600,39.0,31.452848,,1.3088977,0.4189424,358.28449964523315,101.7491,162709,361.36272484842965,,9.359719,361.36273,149.23895
0.65652066,[-0.005  0.108  0.044  0.021 -0.028  0.056  0.111 -0.239  0.     0.  0.   ],0.010166344,1.0231665,220.26376,1.5831826,0.14637306,779.6781,559.4143,0.015831826,9.359832,57,127.799866,0.0065652067,0.0014637308,-1.0,66123.65,97.7358,370.48108,100,133.88379,5700,39.02,97.96914,,1.0166345,0.4189424,366.87201380729675,102.37196,166611,361.70328339004357,,9.359832,361.70328,141.43951
0.07432205,[ 0.007  0.11   0.042  0.02  -0.03   0.059  0.119 -0.238  0.     0.  0.   ],0.013239942,1.7366991,239.52486,10.913596,1.5481901,613.6006,374.07574,0.109135956,9.35993,58,181.22406,0.0007432205,0.015481901,-1.0,126997.54,57.580498,464.2819,100,221.69391,5800,39.4,42.241505,,1.3239942,0.4189424,375.4280424118042,91.75238,170551,365.30422784111715,,9.35993,365.30423,125.77937
0.08704003,[ 0.021  0.109  0.048  0.035 -0.019  0.06   0.148 -0.228  0.     0.  0.   ],0.011350951,1.3943989,211.78137,4.829274,0.6868428,657.9602,446.17883,0.04829274,9.3599205,59,155.227,0.0008704003,0.0068684276,-1.0,118077.234,71.715485,428.51907,100,195.43404,5900,38.04,73.19881,,1.1350951,0.4189424,383.63627457618713,86.92302,174355,352.6150712594543,,9.3599205,352.61508,140.8337
