EpLenMean,VarianceInit,J_sample_variance,InitialBound,StdIW,ReturnMeanIW,MaxIWNorm,OptimizationReturnMean,EpRewMean,ReturnStepMax,Iteration,EmpiricalD2,InitialReturnMin,TimestepsSoFar,Weights,MeanIWNorm,ESSRenyi,Bound,TimeElapsed,MeanIW,ReturnStepMaxmin,MinIWNorm,ESSClassic,MaxIW,MeanEntropy,InitialReturnStd,InitialReturnMax,LearnableVariance,EpThisIter,StdIWNorm,OptimizationReturnMax,InitialReturnMean,MinIW,OptimizationReturnMin,EpisodesSoFar
27.85,-1,36112.086,64.70502,0.17912973,263.5122,0.016025929,83.81065,256.84205786773776,9.359644,24,1.0325291,173.0314,50108,[ 0.037  0.029  0.139  0.022 -0.009 -0.181  0.203 -0.163  0.     0.  0.    -0.28 ],0.01021848,96.84957,68.27518,241.6497359275818,1.021848,9.359644,0.0060148058,97.018616,1.6025928,1.140564,65.781906,640.4568,True,100,0.0017912973,467.42538,256.84204,0.6014806,,2400
27.34,-1,34464.254,135.73044,0.41079727,271.52972,0.021472007,96.17089,252.06169871283888,9.359349,25,1.1464406,155.89081,52842,[ 3.501e-02  2.820e-02  1.432e-01  3.941e-02  5.594e-06 -1.773e-01  2.028e-01 -1.661e-01  0.000e+00  0.000e+00  0.000e+00 -2.784e-01],0.010643425,87.226494,146.97157,252.89653038978577,1.0643424,9.359349,0.0031233828,87.03464,2.1472008,1.0915531,54.111916,387.7708,True,100,0.004107973,231.88,252.06172,0.3123383,,2500
29.39,-1,40580.832,116.32486,0.3441341,296.95114,0.020084597,107.85804,271.1762268966131,9.359943,26,1.1255391,163.31819,55781,[ 0.026  0.036  0.136  0.041  0.006 -0.18   0.185 -0.167  0.     0.  0.    -0.327],0.010734456,88.84631,132.66711,264.26437854766846,1.0734457,9.359943,0.004274214,90.680176,2.0084598,1.0916793,65.842384,516.1712,True,100,0.0034413408,352.85303,271.17624,0.42742142,,2600
27.52,-1,29947.676,108.95151,0.30128363,268.2204,0.022634784,107.92607,253.6758047645302,9.359482,27,1.0820175,145.74973,58533,[ 0.008  0.058  0.127  0.038  0.005 -0.182  0.182 -0.185  0.     0.  0.    -0.327],0.010628027,92.419945,117.678085,275.9574465751648,1.0628028,9.359482,0.0053793592,92.561646,2.2634785,1.1156662,61.86378,482.41434,True,100,0.0030128364,336.6646,253.67583,0.5379359,,2700
27.47,-1,117070.04,114.09296,1.8725601,344.9832,0.15382361,80.79734,253.57877580343094,9.359928,28,1.9460425,172.78143,61280,[ 0.006  0.049  0.121  0.021 -0.002 -0.201  0.166 -0.192  0.     0.  0.    -0.303],0.013143555,51.386337,150.3996,286.82046580314636,1.3143556,9.359928,0.0011438872,33.005863,15.382362,1.0961158,55.843533,464.95273,True,100,0.0187256,292.1713,253.5788,0.11438872,,2800
28.97,-1,30129.955,119.6765,0.31136516,279.87012,0.026156554,122.597786,267.60823729399795,9.359986,29,1.0673779,145.01045,64177,[ 0.014  0.047  0.102  0.029  0.012 -0.156  0.109 -0.207  0.     0.  0.    -0.323],0.010506025,93.68753,127.035965,298.1813077926636,1.0506023,9.359986,0.0060800603,91.92576,2.6156554,1.1021867,65.578636,493.10577,True,100,0.0031136516,348.09534,267.60825,0.60800606,,2900
28.14,-1,34116.28,78.25375,0.28736746,279.71533,0.02405516,114.74326,259.7767088355803,9.359587,30,1.08661,145.03345,66991,[-0.002  0.066  0.095  0.031  0.011 -0.138  0.097 -0.201  0.     0.  0.    -0.317],0.0106464485,92.02934,90.494736,308.8809757232666,1.0646449,9.359587,0.0055308775,93.20916,2.4055161,1.1075485,71.204704,605.07654,True,100,0.0028736745,460.0431,259.77673,0.5530878,,3000
28.98,-1,49825.312,69.54779,0.435826,296.46945,0.026787758,121.9082,267.38740391637083,9.359818,31,1.1559154,145.4792,69889,[ 0.001  0.07   0.091  0.049  0.026 -0.12   0.114 -0.2    0.     0.  0.    -0.311],0.010398533,86.51152,83.76514,319.3769805431366,1.0398532,9.359818,0.002081939,85.05833,2.6787758,1.0722657,74.31026,659.46545,True,100,0.00435826,513.98627,267.38742,0.2081939,,3100
28.09,-1,537671.5,72.28592,6.2693744,523.2314,0.5551261,103.324005,259.28010043004264,9.359784,32,4.3234606,155.95609,72698,[-0.018  0.083  0.089  0.051  0.032 -0.129  0.133 -0.208  0.     0.  0.    -0.347],0.019460483,23.12962,134.41565,331.4686071872711,1.9460483,9.359784,0.00016838765,8.788382,55.512608,1.1363535,72.63955,623.31396,True,100,0.062693745,467.35788,259.2801,0.016838765,,3200
30.46,-1,39919.6,106.985245,0.19325587,293.5607,0.01519481,107.84341,281.41483605690826,9.359822,33,1.0447425,173.57143,75744,[-0.018  0.08   0.089  0.046  0.035 -0.157  0.153 -0.262  0.     0.  0.    -0.283],0.01030517,95.71737,115.27161,345.4456877708435,1.0305171,9.359822,0.005933991,96.602615,1.5194811,1.1268137,75.84185,581.43195,True,100,0.0019325587,407.86053,281.41483,0.5933991,,3300
31.97,-1,97460.21,92.17636,0.585228,349.11603,0.033074837,113.352005,295.60920125060034,9.359522,34,1.2874278,182.2572,78941,[-0.021  0.069  0.08   0.044  0.031 -0.166  0.135 -0.277  0.     0.  0.    -0.292],0.011151147,77.67426,118.2912,358.68827080726624,1.1151147,9.359522,0.0011102279,78.40493,3.307484,1.1104566,93.996544,678.1095,True,100,0.00585228,495.8523,295.6092,0.11102279,,3400
31.81,-1,76405.99,106.59189,0.92110485,363.32025,0.050113685,128.7572,293.7879479173821,9.359594,35,1.4793456,165.03076,82122,[-0.013  0.081  0.082  0.06   0.049 -0.166  0.173 -0.289  0.     0.  0.    -0.308],0.012052132,67.59746,135.63676,371.50475215911865,1.2052133,9.359594,0.0015132688,63.12717,5.0113688,1.0501864,82.809,623.98694,True,100,0.009211048,458.95618,293.78793,0.15132688,,3500
31.39,-1,671456.4,134.28719,5.1902676,486.92572,0.5027587,126.94413,290.2919924293399,9.359742,36,2.9487426,163.34787,85261,[-0.007  0.09   0.083  0.038  0.014 -0.168  0.152 -0.288  0.     0.  0.    -0.369],0.017081534,33.912758,219.03577,383.69966197013855,1.7081537,9.359742,0.0009314389,9.772655,50.27587,1.0405091,67.671585,520.01605,True,100,0.05190267,356.66818,290.292,0.09314389,,3600
30.38,-1,42680.27,79.529526,0.27309075,292.83936,0.017321361,107.34522,280.5459703803845,9.359856,37,1.0626048,173.20074,88299,[ 0.001  0.107  0.092 -0.01  -0.05  -0.112  0.169 -0.241  0.     0.  0.    -0.378],0.010195783,94.10837,85.626144,396.6732265949249,1.0195783,9.359856,0.004430103,93.30604,1.7321362,1.0263109,79.5333,670.0548,True,100,0.0027309074,496.85406,280.546,0.44301033,,3700
31.24,-1,65727.805,154.80878,0.6736686,347.67795,0.04179262,107.03579,288.86651511230616,9.359935,38,1.3343592,181.83072,91423,[-0.002  0.1    0.088  0.004 -0.043 -0.125  0.161 -0.254  0.     0.  0.    -0.393],0.011725426,74.942345,192.82187,409.0122129917145,1.1725426,9.359935,0.00070231676,75.18275,4.179262,0.9795339,61.100372,446.85916,True,100,0.006736686,265.02844,288.86652,0.070231676,,3800
32.09,-1,45489.656,131.9506,0.34615487,310.05344,0.019877449,114.31699,296.8562872281154,9.359836,39,1.1008581,182.53929,94632,[-0.022  0.085  0.073 -0.003 -0.045 -0.172  0.095 -0.293  0.     0.  0.    -0.439],0.010286902,90.83823,137.03148,421.6124188899994,1.0286902,9.359836,0.0026433675,89.82848,1.9877449,0.9709639,69.11723,549.68555,True,100,0.0034615488,367.14624,296.8563,0.26433676,,3900
