AvgNormIw,VarJ,MinNormIw,delta,AvgVanillaIw,MinVanillaIw,AvgRet,MaxNormIw,J,EpsThisIter,Bound,ESSClassic,VarNormIw,AvgDiscRet,AvgEpLen,IterType,VarRet,VarVanillaIw,MaxVanillaIw,SamplesThisIter,BatchSize,ESSRenyi,VarDiscRet,renyi2,VanillaAvgRet
7.13349e-07,1826.09,2.85708e-10,0.6,1.52249,0.000609785,54.1704760436,0.0509111,11300.2,7788,391.531,3.77480024257,9.03155e-09,54.1704760436,6.42013353878,1,4262.73367568,41140.5,108659.0,50000,100,0.0213869656052,4262.73367568,8.45014,54.1704760436
7.89141e-07,36880.3,3.05759e-14,0.6,1561.52,6.05023e-05,60.9964967863,0.220863,58023.5,7040,4647.96,3.93294145003,1.56604e-07,60.9964967863,7.10227272727,1,23101.4126456,6.1318e+11,4.37035e+08,50000,100,0.0210794207318,23101.4126456,8.46463,60.9964967863
7.12251e-07,1828.97,1.13302e-09,0.6,1.07876,0.00171604,54.0664190217,0.0118414,10333.5,7800,390.567,8.54899635304,5.10173e-10,54.0664190217,6.41025641026,1,4419.95593274,1170.31,17934.7,50000,100,0.0209330198559,4419.95593274,8.4716,54.0664190217
7.21501e-07,968.983,5.83243e-09,0.6,2.95816,0.023913,54.8991137305,0.165495,10706.1,7700,565.751,4.02278511352,7.90436e-08,54.8991137305,6.49350649351,1,4842.31518214,1.32873e+06,678533.0,50000,100,0.0207929484289,4842.31518214,8.47831,54.8991137305
6.84856e-07,1314.26,2.39499e-09,0.6,1.13471,0.00396817,51.602106924,0.0295415,9915.76,8112,378.705,4.35347413546,2.39061e-09,51.602106924,6.16370808679,1,4126.98762771,6562.68,48946.2,50000,100,0.0205468038233,4126.98762771,8.49022,51.602106924
7.10429e-07,1024.98,6.0094e-12,0.6,210.964,0.00178451,53.9081031097,0.24882,10737.9,7820,969.233,4.00002598541,1.75934e-07,53.9081031097,6.39386189258,1,5316.88758235,1.5514e+10,7.38877e+07,50000,100,0.0204772028141,5316.88758235,8.49361,53.9081031097
7.10429e-07,1230.6,5.85902e-09,0.6,1.10499,0.00911298,53.9075074173,0.0237991,10157.3,7820,289.558,4.43079167297,1.60945e-09,53.9075074173,6.39386189258,1,4449.39658236,3893.58,37016.5,50000,100,0.0207277714893,4449.39658236,8.48145,53.9075074173
7.38378e-07,8336.38,2.56112e-10,0.6,1.16138,0.000402835,56.4219729367,0.0304545,12047.8,7524,810.964,4.31982972576,2.78692e-09,56.4219729367,6.64540138224,1,5711.6486568,6894.76,47901.5,50000,100,0.0208535772387,5711.6486568,8.4754,56.4219729367
7.05378e-07,1796.12,5.93178e-13,0.6,5.16842,4.34631e-06,53.4542239377,0.201652,11695.6,7876,1205.02,4.01002226538,1.14732e-07,53.4542239377,6.34840020315,1,6398.65552968,6.15966e+06,1.47754e+06,50000,100,0.0204356892949,6398.65552968,8.49564,53.4542239377
7.3331e-07,1295.21,1.4843e-08,0.6,1.17066,0.0236956,55.9664347929,0.0364927,10804.7,7576,281.816,4.25633209657,3.90611e-09,55.9664347929,6.59978880676,1,5151.3299765,9954.84,58257.4,50000,100,0.0206042580993,5151.3299765,8.48743,55.9664347929
6.87569e-07,4405.74,2.99265e-12,0.6,1.19851,5.21653e-06,51.8502539971,0.0216221,11148.1,8080,404.065,3.02769625333,1.88207e-09,51.8502539971,6.18811881188,1,3700.28416851,5718.59,37689.9,50000,100,0.020286346536,3700.28416851,8.50298,51.8502539971
7.01459e-07,1014.74,1.18771e-08,0.6,2.01112,0.0340522,53.1009080318,0.125646,10106.0,7920,179.949,4.04496941823,4.42954e-08,53.1009080318,6.31313131313,1,4660.16136978,364107.0,360234.0,50000,100,0.0206938397935,4660.16136978,8.48309,53.1009080318
7.06814e-07,893.607,1.24718e-07,0.6,0.999931,0.176439,53.5828341073,3.46481e-06,9705.13,7860,41.129,44.1395965669,2.9459e-15,53.5828341073,6.36132315522,1,4283.74334524,0.00589587,4.90167,50000,100,0.0203955217489,4283.74334524,8.49761,53.5828341073
