renyi2,J,MinNormIw,ESSClassic,BatchSize,ESSRenyi,SamplesThisIter,delta,MaxNormIw,AvgDiscRet,VarNormIw,IterType,MinVanillaIw,AvgEpLen,AvgNormIw,EpsThisIter,MaxVanillaIw,VarJ,VarDiscRet,Bound,VarRet,AvgVanillaIw,VanillaAvgRet,VarVanillaIw,AvgRet
nan,-9257.33,,2.56039984682,100,nan,50000,0.8,0.000210287,-64.5863539464,2.7873e-10,1,,92.936802974,1.03263e-05,538,25.4302,573.604,2372.66358283,-60.0201,2372.66358283,1.24877,-64.5863539464,4.07622,-64.5863539464
nan,-9979.39,6.35847e-39,5.88732902509,100,nan,50000,0.8,0.000223435,-62.4653185586,3.50694e-10,1,9.8891e-34,92.7643784787,1.03072e-05,539,34.75,144.456,274.724620348,-56.9832,274.724620348,1.60303,-62.4653185586,8.48276,-62.4653185586
nan,-5319.4,,5.52635520821,100,nan,50000,0.8,0.0355685,-57.384526936,2.15839e-07,1,,84.8896434635,9.43218e-06,589,6.86495e+14,457.197,95.8133416114,-14.654,95.8133416114,1.82047e+11,-57.384526936,8.04033e+25,-57.384526936
nan,-13354.8,,15.5183183175,100,nan,50000,0.8,0.00267504,-135.297037021,4.79652e-09,1,,178.571428571,1.98413e-05,280,204.404,980.473,18816.7022594,-72.5162,18816.7022594,1.5161,-135.297037021,28.0054,-135.297037021
nan,-9133.93,,8.82591156464,100,nan,50000,0.8,0.00159664,-64.080993754,5.19726e-10,1,,91.7431192661,1.01937e-05,545,198.218,652.381,2402.06941933,-59.1431,2402.06941933,1.26552,-64.080993754,8.01031,-64.080993754
nan,-10911.5,,6.0637976477,100,nan,50000,0.8,0.000170214,-77.1823115754,1.53503e-10,1,,111.35857461,1.23732e-05,449,14.4962,455.703,4794.21549565,-66.4656,4794.21549565,1.05376,-77.1823115754,1.11337,-77.1823115754
nan,-7501.16,,9.99999824887,100,nan,50000,0.8,0.0999478,-58.8077794146,9.60083e-07,1,,86.5051903114,9.61169e-06,578,4.95947e+22,234.122,68.5104720507,-45.922,68.5104720507,4.76938e+18,-58.8077794146,inf,-58.8077794146
nan,-10461.8,5.86929e-16,7.06521699405,100,nan,50000,0.8,6.60816e-05,-63.8926765979,5.96007e-11,1,6.5639e-11,92.5925925926,1.02881e-05,540,7.39021,267.014,909.960335671,-64.5432,909.960335671,1.15056,-63.8926765979,0.745426,-63.8926765979
nan,-9286.6,4.36504e-42,4.12400266694,100,nan,50000,0.8,0.000213979,-57.642050984,1.63283e-10,1,5.72762e-37,84.1750841751,9.35279e-06,594,28.073,455.283,243.419131164,-57.582,243.419131164,1.22704,-57.642050984,2.81045,-57.642050984
nan,-11031.8,,10.8179707791,100,nan,50000,0.8,0.00169901,-83.3969726732,7.32333e-10,1,,122.85012285,1.365e-05,407,142.26,532.894,5529.81891565,-65.2361,5529.81891565,1.14293,-83.3969726732,5.13431,-83.3969726732
nan,-10322.1,5.2717e-10,4.49879646493,100,nan,50000,0.8,5.92907e-05,-60.5657494397,4.24824e-11,1,5.74956e-05,88.809946714,9.86777e-06,563,6.46652,168.593,280.288116708,-64.827,280.288116708,1.07623,-60.5657494397,0.505332,-60.5657494397
nan,-9306.94,,2.1985422501,100,nan,50000,0.8,0.000828193,-58.2784425646,1.02263e-09,1,,85.0340136054,9.44822e-06,588,178.519,236.085,80.0624617896,-52.7067,80.0624617896,2.03658,-58.2784425646,47.514,-58.2784425646
