VarRet,MaxNormIw,VarNormIw,ESSClassic,Bound,AvgRet,MaxVanillaIw,MinNormIw,AvgDiscRet,EpsThisIter,eRenyi2,ESSRenyi,VarDiscRet,AvgVanillaIw,IterType,MinVanillaIw,VarVanillaIw,Delta,AvgNormIw,AvgEpLen,VarJ,VanillaAvgRet,BatchSize,J
45.2333142259,0.01,3.50449e-18,100.0,-58.3278,-58.3278189449,1.0,0.01,-58.3278189449,100,1.0,500.0,45.2333142259,1.0,2,1.0,,1.0,0.01,85.65,6.69186,-58.3278189449,500,-58.3278
49.3304774451,0.005,2.1793e-19,200.000000102,-58.4321,-58.5364285262,1.0,0.005,-58.5364285262,100,1.0,500.0,49.3304774451,1.0,2,1.0,,1.0,0.005,85.83,6.84251,-58.5364285262,500,-58.4321
1327.26114519,0.00333333,5.43914e-20,299.999969474,-59.8092,-62.5633828874,1.0,0.00333333,-62.5633828874,100,1.0,500.0,1327.26114519,1.0,2,1.0,,1.0,0.00333333,91.05,21.7486,-62.5633828874,500,-59.8092
1321.87888295,0.0025,5.4346e-20,400.0,-60.5906,-62.9347898059,1.0,0.0025,-62.9347898059,100,1.0,500.0,1321.87888295,1.0,2,1.0,,1.0,0.0025,91.56,26.1486,-62.9347898059,500,-60.5906
2582.81121897,0.0176688,3.32027e-06,273.462089728,-60.8318,-66.1253734918,8.32322,0.000890505,-66.1253734918,100,12308.8,0.0406214961976,2582.81121897,0.942139,1,0.41949,0.736789,1.0,0.002,94.53,22.3133,-66.1253734918,500,-60.8318
48.5812518288,0.01,3.50449e-18,100.0,-59.7366,-59.7365985374,1.0,0.01,-59.7365985374,100,1.0,500.0,48.5812518288,1.0,2,1.0,,1.0,0.01,88.38,6.93509,-59.7365985374,500,-59.7366
38.4995633167,0.005,2.1793e-19,200.000000102,-59.4126,-59.0885322233,1.0,0.005,-59.0885322233,100,1.0,500.0,38.4995633167,1.0,2,1.0,,1.0,0.005,86.5,6.57343,-59.0885322233,500,-59.4126
1323.27922797,0.00333333,5.43914e-20,299.999969474,-60.3827,-62.3228316449,1.0,0.00333333,-62.3228316449,100,1.0,500.0,1323.27922797,1.0,2,1.0,,1.0,0.00333333,90.63,21.6188,-62.3228316449,500,-60.3827
1338.57652608,0.0025,5.4346e-20,400.0,-60.6679,-61.5238415913,1.0,0.0025,-61.5238415913,100,1.0,500.0,1338.57652608,1.0,2,1.0,,1.0,0.0025,89.58,26.1165,-61.5238415913,500,-60.6679
40.3934946801,0.0165898,1.92926e-06,337.529859838,-59.4308,-58.0270035963,8.39505,0.00111613,-58.0270035963,100,inf,,40.3934946801,1.01207,1,0.564804,0.494033,1.0,0.002,85.18,15.2349,-58.0270035963,500,-59.4308
44.3177697231,0.01,3.50449e-18,100.0,-58.231,-58.2310518524,1.0,0.01,-58.2310518524,100,1.0,500.0,44.3177697231,1.0,2,1.0,,1.0,0.01,85.71,6.62379,-58.2310518524,500,-58.231
49.1715599842,0.005,2.1793e-19,200.000000102,-58.2,-58.1690363447,1.0,0.005,-58.1690363447,100,1.0,500.0,49.1715599842,1.0,2,1.0,,1.0,0.005,84.79,6.80281,-58.1690363447,500,-58.2
52.1222063186,0.00333333,5.43914e-20,299.999969474,-58.3548,-58.6643419203,1.0,0.00333333,-58.6643419203,100,1.0,500.0,52.1222063186,1.0,2,1.0,,1.0,0.00333333,86.4,6.93544,-58.6643419203,500,-58.3548
49.2762477191,0.0025,5.4346e-20,400.0,-58.3335,-58.2696680911,1.0,0.0025,-58.2696680911,100,1.0,500.0,49.2762477191,1.0,2,1.0,,1.0,0.0025,85.38,6.94784,-58.2696680911,500,-58.3335
1328.70147189,1.0,0.002,inf,-52.5127,-61.0990450048,3.74349e-36,,-61.0990450048,100,1.15023e+17,4.34693869894e-15,1328.70147189,7.48699e-39,1,,,1.0,0.002,88.8,,-61.0990450048,500,-52.5127
49.2593137972,0.01,3.50449e-18,100.0,-58.4556,-58.4556013992,1.0,0.01,-58.4556013992,100,1.0,500.0,49.2593137972,1.0,2,1.0,,1.0,0.01,85.8,6.98332,-58.4556013992,500,-58.4556
38.7697976625,0.005,2.1793e-19,200.000000102,-58.0958,-57.7360005297,1.0,0.005,-57.7360005297,100,1.0,500.0,38.7697976625,1.0,2,1.0,,1.0,0.005,84.31,6.61089,-57.7360005297,500,-58.0958
1355.88780976,0.00333333,5.43914e-20,299.999969474,-59.2692,-61.6160815342,1.0,0.00333333,-61.6160815342,100,1.0,500.0,1355.88780976,1.0,2,1.0,,1.0,0.00333333,89.23,21.8937,-61.6160815342,500,-59.2692
1340.95533174,0.0025,5.4346e-20,400.0,-59.7997,-61.3911749928,1.0,0.0025,-61.3911749928,100,1.0,500.0,1340.95533174,1.0,2,1.0,,1.0,0.0025,89.33,26.3103,-61.3911749928,500,-59.7997
1325.6651775,0.262545,0.000164106,11.9204960391,-57.5222,-62.3125086631,165.238,,-62.3125086631,100,inf,,1325.6651775,1.25874,1,,65.0036,1.0,0.002,90.5,25.6856,-62.3125086631,500,-57.5222
43.5575363325,0.01,3.50449e-18,100.0,-58.1211,-58.1210626139,1.0,0.01,-58.1210626139,100,1.0,500.0,43.5575363325,1.0,2,1.0,,1.0,0.01,85.04,6.56673,-58.1210626139,500,-58.1211
51.2618427414,0.005,2.1793e-19,200.000000102,-58.3603,-58.5995358607,1.0,0.005,-58.5995358607,100,1.0,500.0,51.2618427414,1.0,2,1.0,,1.0,0.005,86.61,6.85513,-58.5995358607,500,-58.3603
1342.86791365,0.00333333,5.43914e-20,299.999969474,-59.3855,-61.4358411404,1.0,0.00333333,-61.4358411404,100,1.0,500.0,1342.86791365,1.0,2,1.0,,1.0,0.00333333,89.3,21.8306,-61.4358411404,500,-59.3855
52.9387830962,0.0025,5.4346e-20,400.0,-59.1984,-58.6372735626,1.0,0.0025,-58.6372735626,100,1.0,500.0,52.9387830962,1.0,2,1.0,,1.0,0.0025,86.11,19.252,-58.6372735626,500,-59.1984
63.597105649,0.0227033,3.72071e-06,259.293358121,-58.5155,-58.4425190081,10.9188,0.000984684,-58.4425190081,100,inf,,63.597105649,0.961867,1,0.473568,0.86059,1.0,0.002,85.6,12.2112,-58.4425190081,500,-58.5155
44.4885060867,0.01,3.50449e-18,100.0,-58.6564,-58.6563806777,1.0,0.01,-58.6563806777,100,1.0,500.0,44.4885060867,1.0,2,1.0,,1.0,0.01,86.06,6.63654,-58.6563806777,500,-58.6564
2603.51683387,0.005,2.1793e-19,200.000000102,-61.6403,-64.624257969,1.0,0.005,-64.624257969,100,1.0,500.0,2603.51683387,1.0,2,1.0,,1.0,0.005,92.81,36.3272,-64.624257969,500,-61.6403
32.6664681798,0.00333333,5.43914e-20,299.999969474,-60.6846,-58.7731687586,1.0,0.00333333,-58.7731687586,100,1.0,500.0,32.6664681798,1.0,2,1.0,,1.0,0.00333333,86.1,29.8728,-58.7731687586,500,-60.6846
38.9509837085,0.0025,5.4346e-20,400.0,-60.1512,-58.5509120934,1.0,0.0025,-58.5509120934,100,1.0,500.0,38.9509837085,1.0,2,1.0,,1.0,0.0025,86.35,26.0726,-58.5509120934,500,-60.1512
56.6467744832,0.0206774,2.781e-06,295.183495444,-58.7355,-57.8750339767,10.2877,0.000868243,-57.8750339767,100,inf,,56.6467744832,0.995067,1,0.43198,0.688409,1.0,0.002,84.81,18.164,-57.8750339767,500,-58.7355
46.2669374921,0.01,3.50449e-18,100.0,-58.6082,-58.6081717339,1.0,0.01,-58.6081717339,100,1.0,500.0,46.2669374921,1.0,2,1.0,,1.0,0.01,86.28,6.76789,-58.6081717339,500,-58.6082
51.0781586192,0.005,2.1793e-19,200.000000102,-58.7011,-58.794022963,1.0,0.005,-58.794022963,100,1.0,500.0,51.0781586192,1.0,2,1.0,,1.0,0.005,86.25,6.94222,-58.794022963,500,-58.7011
36.3806827396,0.00333333,5.43914e-20,299.999969474,-58.251,-57.3506879608,1.0,0.00333333,-57.3506879608,100,1.0,500.0,36.3806827396,1.0,2,1.0,,1.0,0.00333333,83.82,6.67387,-57.3506879608,500,-58.251
36.1009985122,0.0025,5.4346e-20,400.0,-58.3425,-58.617171745,1.0,0.0025,-58.617171745,100,1.0,500.0,36.1009985122,1.0,2,1.0,,1.0,0.0025,86.09,6.50888,-58.617171745,500,-58.3425
1326.4540768,0.0304767,3.18856e-06,278.466948277,-58.9007,-62.5345504957,15.8949,0.00112854,-62.5345504957,100,inf,,1326.4540768,1.04309,1,0.588581,0.867311,1.0,0.002,90.71,13.1991,-62.5345504957,500,-58.9007
2590.16403817,0.01,3.50449e-18,100.0,-65.9541,-65.9540595528,1.0,0.01,-65.9540595528,100,1.0,500.0,2590.16403817,1.0,2,1.0,,1.0,0.01,94.52,50.6385,-65.9540595528,500,-65.9541
47.8792282114,0.005,2.1793e-19,200.000000102,-62.2726,-58.591133434,1.0,0.005,-58.591133434,100,1.0,500.0,47.8792282114,1.0,2,1.0,,1.0,0.005,86.0,36.3233,-58.591133434,500,-62.2726
53.3987327794,0.00333333,5.43914e-20,299.999969474,-61.2325,-59.1523486228,1.0,0.00333333,-59.1523486228,100,1.0,500.0,53.3987327794,1.0,2,1.0,,1.0,0.00333333,86.92,29.9896,-59.1523486228,500,-61.2325
2594.11225691,0.0025,5.4346e-20,400.0,-62.2335,-65.2366274127,1.0,0.0025,-65.2366274127,100,1.0,500.0,2594.11225691,1.0,2,1.0,,1.0,0.0025,93.52,36.326,-65.2366274127,500,-62.2335
2593.25920426,0.0369027,4.95848e-06,223.49959138,-61.0476,-65.3198481081,17.7833,1.32431e-05,-65.3198481081,100,inf,,2593.25920426,0.963791,1,0.00638177,1.15147,1.0,0.002,93.56,28.1894,-65.3198481081,500,-61.0476
44.932818192,0.01,3.50449e-18,100.0,-57.2262,-57.2261571476,1.0,0.01,-57.2261571476,100,1.0,500.0,44.932818192,1.0,2,1.0,,1.0,0.01,83.58,6.66959,-57.2261571476,500,-57.2262
38.0773936715,0.005,2.1793e-19,200.000000102,-57.969,-58.7117647678,1.0,0.005,-58.7117647678,100,1.0,500.0,38.0773936715,1.0,2,1.0,,1.0,0.005,86.3,6.45305,-58.7117647678,500,-57.969
49.3633776279,0.00333333,5.43914e-20,299.999969474,-58.0006,-58.0638541876,1.0,0.00333333,-58.0638541876,100,1.0,500.0,49.3633776279,1.0,2,1.0,,1.0,0.00333333,84.89,6.63725,-58.0638541876,500,-58.0006
1345.70585154,0.0025,5.4346e-20,400.0,-58.9765,-61.904149078,1.0,0.0025,-61.904149078,100,1.0,500.0,1345.70585154,1.0,2,1.0,,1.0,0.0025,89.79,19.2083,-61.904149078,500,-58.9765
1333.67840649,0.0944217,3.24202e-05,55.0125201068,-57.0016,-61.8134348433,45.4263,1.22792e-10,-61.8134348433,100,inf,,1333.67840649,0.962201,1,5.90754e-08,7.5039,1.0,0.002,89.9,15.9933,-61.8134348433,500,-57.0016
1329.5528522,0.01,3.50449e-18,100.0,-61.9385,-61.9384832956,1.0,0.01,-61.9384832956,100,1.0,500.0,1329.5528522,1.0,2,1.0,,1.0,0.01,89.36,36.2803,-61.9384832956,500,-61.9385
44.1188248109,0.005,2.1793e-19,200.000000102,-59.872,-57.8056219894,1.0,0.005,-57.8056219894,100,1.0,500.0,44.1188248109,1.0,2,1.0,,1.0,0.005,84.9,26.1579,-57.8056219894,500,-59.872
1327.71183031,0.00333333,5.43914e-20,299.999969474,-60.6183,-62.1107289387,1.0,0.00333333,-62.1107289387,100,1.0,500.0,1327.71183031,1.0,2,1.0,,1.0,0.00333333,89.88,29.9235,-62.1107289387,500,-60.6183
51.1989645115,0.0025,5.4346e-20,400.0,-60.1948,-58.9244912572,1.0,0.0025,-58.9244912572,100,1.0,500.0,51.1989645115,1.0,2,1.0,,1.0,0.0025,86.98,26.1682,-58.9244912572,500,-60.1948
48.1224475544,0.0375798,9.52632e-06,148.068398451,-58.8789,-57.496079115,20.154,2.89088e-14,-57.496079115,100,inf,,48.1224475544,1.0726,1,1.55038e-11,2.73992,1.0,0.002,84.04,23.6975,-57.496079115,500,-58.8789
2576.77794168,0.01,3.50449e-18,100.0,-66.5876,-66.5876073538,1.0,0.01,-66.5876073538,100,1.0,500.0,2576.77794168,1.0,2,1.0,,1.0,0.01,96.22,50.5075,-66.5876073538,500,-66.5876
53.6748068729,0.005,2.1793e-19,200.000000102,-62.3387,-58.0897834916,1.0,0.005,-58.0897834916,100,1.0,500.0,53.6748068729,1.0,2,1.0,,1.0,0.005,85.24,36.3336,-58.0897834916,500,-62.3387
55.0568153133,0.00333333,5.43914e-20,299.999969474,-61.0265,-58.4019563824,1.0,0.00333333,-58.4019563824,100,1.0,500.0,55.0568153133,1.0,2,1.0,,1.0,0.00333333,86.08,30.0283,-58.4019563824,500,-61.0265
1326.49863396,0.0025,5.4346e-20,400.0,-61.2787,-62.0353631732,1.0,0.0025,-62.0353631732,100,1.0,500.0,1326.49863396,1.0,2,1.0,,1.0,0.0025,90.2,31.6981,-62.0353631732,500,-61.2787
2600.39463572,0.0227408,3.85128e-06,254.985770675,-60.2529,-64.9331814106,11.7721,3.70297e-05,-64.9331814106,100,inf,,2600.39463572,1.03533,1,0.0191689,1.03204,1.0,0.002,93.11,26.0369,-64.9331814106,500,-60.2529
1328.57703185,0.01,3.50449e-18,100.0,-61.9947,-61.9947188558,1.0,0.01,-61.9947188558,100,1.0,500.0,1328.57703185,1.0,2,1.0,,1.0,0.01,89.67,36.2669,-61.9947188558,500,-61.9947
1322.34253568,0.005,2.1793e-19,200.000000102,-62.3096,-62.6245282991,1.0,0.005,-62.6245282991,100,1.0,500.0,1322.34253568,1.0,2,1.0,,1.0,0.005,91.1,36.2257,-62.6245282991,500,-62.3096
2579.00541615,0.00333333,5.43914e-20,299.999969474,-63.3627,-65.4688629436,1.0,0.00333333,-65.4688629436,100,1.0,500.0,2579.00541615,1.0,2,1.0,,1.0,0.00333333,93.94,41.5711,-65.4688629436,500,-63.3627
52.4847230572,0.0025,5.4346e-20,400.0,-62.5794,-60.2296623424,1.0,0.0025,-60.2296623424,100,1.0,500.0,52.4847230572,1.0,2,1.0,,1.0,0.0025,88.56,36.207,-60.2296623424,500,-62.5794
49.9622292675,0.0529939,1.44653e-05,108.481000618,-59.3669,-58.5078032015,24.1384,0.000164334,-58.5078032015,100,inf,,49.9622292675,0.910988,1,0.074853,3.0012,1.0,0.002,86.04,17.5362,-58.5078032015,500,-59.3669
2606.42861067,0.01,3.50449e-18,100.0,-64.8057,-64.80574857,1.0,0.01,-64.80574857,100,1.0,500.0,2606.42861067,1.0,2,1.0,,1.0,0.01,92.74,50.7973,-64.80574857,500,-64.8057
37.8235075504,0.005,2.1793e-19,200.000000102,-61.2173,-57.6288193093,1.0,0.005,-57.6288193093,100,1.0,500.0,37.8235075504,1.0,2,1.0,,1.0,0.005,84.87,36.3563,-57.6288193093,500,-61.2173
43.5958385023,0.00333333,5.43914e-20,299.999969474,-60.282,-58.4114806502,1.0,0.00333333,-58.4114806502,100,1.0,500.0,43.5958385023,1.0,2,1.0,,1.0,0.00333333,85.68,29.9554,-58.4114806502,500,-60.282
1335.88546031,0.0025,5.4346e-20,400.0,-60.7602,-62.1949025393,1.0,0.0025,-62.1949025393,100,1.0,500.0,1335.88546031,1.0,2,1.0,,1.0,0.0025,90.42,31.6909,-62.1949025393,500,-60.7602
2598.9790175,0.0144952,2.3104e-06,317.169484803,-60.2024,-65.6718627985,6.90258,5.2931e-05,-65.6718627985,100,inf,,2598.9790175,0.952396,1,0.0252056,0.523916,1.0,0.002,94.12,26.6519,-65.6718627985,500,-60.2024
44.0599738895,0.01,3.50449e-18,100.0,-57.8443,-57.8443138157,1.0,0.01,-57.8443138157,100,1.0,500.0,44.0599738895,1.0,2,1.0,,1.0,0.01,84.7,6.6045,-57.8443138157,500,-57.8443
46.6208771783,0.005,2.1793e-19,200.000000102,-57.3309,-56.8174806787,1.0,0.005,-56.8174806787,100,1.0,500.0,46.6208771783,1.0,2,1.0,,1.0,0.005,82.87,6.71942,-56.8174806787,500,-57.3309
1337.73617565,0.00333333,5.43914e-20,299.999969474,-58.7489,-61.585020501,1.0,0.00333333,-61.585020501,100,1.0,500.0,1337.73617565,1.0,2,1.0,,1.0,0.00333333,88.94,21.8077,-61.585020501,500,-58.7489
2611.37517488,0.0025,5.4346e-20,400.0,-60.1052,-64.1740010683,1.0,0.0025,-64.1740010683,100,1.0,500.0,2611.37517488,1.0,2,1.0,,1.0,0.0025,92.23,31.7571,-64.1740010683,500,-60.1052
43.4826268677,0.014063,2.86751e-06,291.46956097,-57.9104,-57.4695455754,6.85702,8.87693e-05,-57.4695455754,100,inf,,43.4826268677,0.975187,1,0.0432834,0.681745,1.0,0.002,84.1,13.9635,-57.4695455754,500,-57.9104
1328.29396899,0.01,3.50449e-18,100.0,-63.1449,-63.1449370745,1.0,0.01,-63.1449370745,100,1.0,500.0,1328.29396899,1.0,2,1.0,,1.0,0.01,91.64,36.2631,-63.1449370745,500,-63.1449
1332.04904251,0.005,2.1793e-19,200.000000102,-62.7048,-62.264747123,1.0,0.005,-62.264747123,100,1.0,500.0,1332.04904251,1.0,2,1.0,,1.0,0.005,90.56,36.2914,-62.264747123,500,-62.7048
45.0039694627,0.00333333,5.43914e-20,299.999969474,-61.916,-60.3383240655,1.0,0.00333333,-60.3383240655,100,1.0,500.0,45.0039694627,1.0,2,1.0,,1.0,0.00333333,88.86,29.9021,-60.3383240655,500,-61.916
43.3415627297,0.0025,5.4346e-20,400.0,-61.2486,-59.2464607498,1.0,0.0025,-59.2464607498,100,1.0,500.0,43.3415627297,1.0,2,1.0,,1.0,0.0025,86.77,26.1279,-59.2464607498,500,-61.2486
55.7099056202,1.0,0.002,inf,-41.5182,-59.667093105,5.57943e-28,,-59.667093105,100,329170.0,0.00151897066194,55.7099056202,1.11589e-30,1,,,1.0,0.002,87.77,,-59.667093105,500,-41.5182
44.6627467545,0.01,3.50449e-18,100.0,-59.1115,-59.1114497063,1.0,0.01,-59.1114497063,100,1.0,500.0,44.6627467545,1.0,2,1.0,,1.0,0.01,86.96,6.64952,-59.1114497063,500,-59.1115
35.0342396894,0.005,2.1793e-19,200.000000102,-59.1627,-59.2139841725,1.0,0.005,-59.2139841725,100,1.0,500.0,35.0342396894,1.0,2,1.0,,1.0,0.005,87.48,6.28113,-59.2139841725,500,-59.1627
1326.85590703,0.00333333,5.43914e-20,299.999969474,-60.3553,-62.7403813997,1.0,0.00333333,-62.7403813997,100,1.0,500.0,1326.85590703,1.0,2,1.0,,1.0,0.00333333,90.9,21.6104,-62.7403813997,500,-60.3553
1328.30826487,0.0025,5.4346e-20,400.0,-61.206,-63.7581617449,1.0,0.0025,-63.7581617449,100,1.0,500.0,1328.30826487,1.0,2,1.0,,1.0,0.0025,92.74,26.0995,-63.7581617449,500,-61.206
35.2188452306,0.0130347,8.48772e-07,412.619784373,-60.5053,-59.4237723304,6.11388,0.00150737,-59.4237723304,100,9.87597e+12,5.06279487397e-11,35.2188452306,0.938095,1,0.707026,0.186735,1.0,0.002,87.61,18.9652,-59.4237723304,500,-60.5053
42.6135777962,0.01,3.50449e-18,100.0,-59.368,-59.3680440979,1.0,0.01,-59.3680440979,100,1.0,500.0,42.6135777962,1.0,2,1.0,,1.0,0.01,87.31,6.49519,-59.3680440979,500,-59.368
52.4337892491,0.005,2.1793e-19,200.000000102,-59.1472,-58.9264094368,1.0,0.005,-58.9264094368,100,1.0,500.0,52.4337892491,1.0,2,1.0,,1.0,0.005,86.62,6.86274,-58.9264094368,500,-59.1472
49.4787088316,0.00333333,5.43914e-20,299.999969474,-59.2919,-59.5813305375,1.0,0.00333333,-59.5813305375,100,1.0,500.0,49.4787088316,1.0,2,1.0,,1.0,0.00333333,87.66,6.91144,-59.5813305375,500,-59.2919
49.6007770073,0.0025,5.4346e-20,400.0,-59.522,-60.2122193906,1.0,0.0025,-60.2122193906,100,1.0,500.0,49.6007770073,1.0,2,1.0,,1.0,0.0025,89.1,6.94701,-60.2122193906,500,-59.522
58.3185314262,1.0,0.002,1.0,-40.6725,-59.9709176575,938.549,,-59.9709176575,100,1195.94,0.418079658873,58.3185314262,1.8771,1,,1761.75,1.0,0.002,88.1,1.14616e-11,-59.9709176575,500,-40.6725
38.642891765,0.01,3.50449e-18,100.0,-58.5661,-58.5660693796,1.0,0.01,-58.5660693796,100,1.0,500.0,38.642891765,1.0,2,1.0,,1.0,0.01,86.36,6.18518,-58.5660693796,500,-58.5661
40.384609564,0.005,2.1793e-19,200.000000102,-59.0944,-59.6226746029,1.0,0.005,-59.6226746029,100,1.0,500.0,40.384609564,1.0,2,1.0,,1.0,0.005,88.12,6.27676,-59.6226746029,500,-59.0944
45.1502254883,0.00333333,5.43914e-20,299.999969474,-58.7745,-58.1346514171,1.0,0.00333333,-58.1346514171,100,1.0,500.0,45.1502254883,1.0,2,1.0,,1.0,0.00333333,85.09,6.4319,-58.1346514171,500,-58.7745
3799.0208479,0.0025,5.4346e-20,400.0,-61.571,-69.9607188156,1.0,0.0025,-69.9607188156,100,1.0,500.0,3799.0208479,1.0,2,1.0,,1.0,0.0025,99.81,31.5396,-69.9607188156,500,-61.571
42.6486813218,0.023297,2.12241e-06,326.895486977,-60.2254,-57.9654309565,11.8172,0.00139301,-57.9654309565,100,3.46182e+31,1.44432605865e-29,42.6486813218,1.01449,1,0.706596,0.546086,1.0,0.002,85.31,21.9701,-57.9654309565,500,-60.2254
1322.71227187,0.01,3.50449e-18,100.0,-63.7096,-63.7095934072,1.0,0.01,-63.7095934072,100,1.0,500.0,1322.71227187,1.0,2,1.0,,1.0,0.01,92.75,36.1868,-63.7095934072,500,-63.7096
50.0684708325,0.005,2.1793e-19,200.000000102,-61.5844,-59.4592914657,1.0,0.005,-59.4592914657,100,1.0,500.0,50.0684708325,1.0,2,1.0,,1.0,0.005,87.41,26.1542,-59.4592914657,500,-61.5844
2568.62215104,0.00333333,5.43914e-20,299.999969474,-63.454,-67.1931705101,1.0,0.00333333,-67.1931705101,100,1.0,500.0,2568.62215104,1.0,2,1.0,,1.0,0.00333333,96.66,36.2031,-67.1931705101,500,-63.454
1317.17425749,0.0025,5.4346e-20,400.0,-63.15,-62.2381082645,1.0,0.0025,-62.2381082645,100,1.0,500.0,1317.17425749,1.0,2,1.0,,1.0,0.0025,90.06,36.1839,-62.2381082645,500,-63.15
1335.64813204,0.876548,0.00153609,1.30122401622,-55.1041,-63.3105481097,2005.98,1.43931e-09,-63.3105481097,100,2209.68,0.22627678999,1335.64813204,4.57701,1,3.29387e-06,8044.87,1.0,0.002,91.98,15.2486,-63.3105481097,500,-55.1041
53.9789474257,0.01,3.50449e-18,100.0,-58.6128,-58.6128186253,1.0,0.01,-58.6128186253,100,1.0,500.0,53.9789474257,1.0,2,1.0,,1.0,0.01,86.19,7.31021,-58.6128186253,500,-58.6128
