MaxNormIw,VarJ,VanillaAvgRet,renyi2,AvgRet,VarDiscRet,SamplesThisIter,AvgEpLen,VarVanillaIw,VarNormIw,delta,AvgNormIw,MaxVanillaIw,Bound,ESSRenyi,BatchSize,AvgVanillaIw,AvgDiscRet,J,MinVanillaIw,ESSClassic,VarRet,EpsThisIter,MinNormIw,IterType
0.00891092,286.293,5.75836937558,nan,5.75836937558,162.471671869,50000,500.0,528.572,7.71721e-08,0.6,5.52486e-05,737.47,20.7966,nan,100,4.57239,5.75836937558,5337.01,2.82965e-35,0.997237964367,162.471671869,100,3.4191e-40,1
0.00441454,281.74,8.15388007213,nan,8.15388007213,189.94404783,50000,500.0,439.664,5.52475e-08,0.6,5.52486e-05,393.813,22.8312,nan,100,4.92862,8.15388007213,5837.64,7.80991e-29,0.651562082319,189.94404783,100,8.75472e-34,1
0.0327664,325.914,8.26035414265,nan,8.26035414265,185.023644012,50000,500.0,15798.6,4.20095e-07,0.6,5.52486e-05,6354.27,24.7079,nan,100,10.7141,8.26035414265,6726.34,4.16121e-35,0.745589335089,185.023644012,100,2.14577e-40,1
0.0676259,296.213,11.3191643916,nan,11.3191643916,181.390157553,50000,500.0,5101.98,5.86939e-07,0.6,5.52486e-05,6305.01,26.7134,nan,100,5.15103,11.3191643916,6613.08,8.09503e-18,1.84916946094,181.390157553,100,8.68251e-23,1
0.0200774,177.44,11.0490961869,nan,11.0490961869,163.65399437,50000,500.0,3179.08,1.68625e-07,0.6,5.52486e-05,2756.76,25.9803,nan,100,7.58598,11.0490961869,6335.18,,0.817447943141,163.65399437,100,,1
0.358084,235.207,10.6534998962,nan,10.6534998962,168.482374118,50000,500.0,5.45291e+07,1.45105e-05,0.6,5.52486e-05,694158.0,26.8325,nan,100,107.101,10.6534998962,7245.88,5.59192e-35,1.95264403062,168.482374118,100,2.88457e-41,1
0.00794251,174.453,9.51765143872,nan,9.51765143872,119.715799796,50000,500.0,1114.44,8.18937e-08,0.6,5.52486e-05,926.535,22.2454,nan,100,6.44504,9.51765143872,5402.87,,2.11788971053,119.715799796,100,,1
0.00575981,201.111,11.0040577681,nan,11.0040577681,143.794855861,50000,500.0,503.861,7.26083e-08,0.6,5.52486e-05,479.811,25.9796,nan,100,4.60239,11.0040577681,6156.36,2.55226e-32,0.855469349844,143.794855861,100,3.06382e-37,1
0.00728115,292.033,10.3647255658,nan,10.3647255658,164.48929763,50000,500.0,2100.21,1.06175e-07,0.6,5.52486e-05,1024.05,26.1849,nan,100,7.77037,10.3647255658,6868.26,,0.612564056289,164.48929763,100,,1
0.00430676,185.54,17.256193499,nan,17.256193499,216.961743318,50000,500.0,411.394,5.62072e-08,0.6,5.52486e-05,368.454,31.962,nan,100,4.72666,17.256193499,7548.16,5.9071e-27,1.05632574723,216.961743318,100,6.90465e-32,1
0.00526707,457.053,14.3249020503,nan,14.3249020503,201.19191175,50000,500.0,120.598,4.50157e-08,0.6,5.52486e-05,272.62,26.8176,nan,100,2.85963,14.3249020503,6947.79,5.79157e-24,0.604292553875,201.19191175,100,1.11894e-28,1
0.00784201,289.32,18.8716881211,nan,18.8716881211,296.149457029,50000,500.0,2895.52,1.0721e-07,0.6,5.52486e-05,1288.76,38.4607,nan,100,9.07961,18.8716881211,9559.78,9.51897e-26,0.798061103315,296.149457029,100,5.79221e-31,1
0.137244,520.094,16.8107945658,nan,16.8107945658,230.650924894,50000,500.0,139069.0,2.31368e-06,0.6,5.52486e-05,33647.8,31.4098,nan,100,13.5452,16.8107945658,9514.42,,1.82411590573,230.650924894,100,,1
0.00522579,226.606,22.764462351,nan,22.764462351,216.560269987,50000,500.0,177.967,4.70653e-08,0.6,5.52486e-05,321.345,34.9222,nan,100,3.39735,22.764462351,8331.33,3.13115e-29,0.499866316355,216.560269987,100,5.09196e-34,1
0.007058,347.746,25.7840214334,nan,25.7840214334,270.172373636,50000,500.0,135.601,4.40234e-08,0.6,5.52486e-05,391.715,38.5979,nan,100,3.06627,25.7840214334,9257.49,8.69684e-23,0.559860470845,270.172373636,100,1.56701e-27,1
0.00184561,151.318,26.5953616569,nan,26.5953616569,231.922137379,50000,500.0,83.5868,2.99073e-08,0.6,5.52486e-05,97.5711,39.1975,nan,100,2.9208,26.5953616569,8750.24,8.03049e-28,0.626194059483,231.922137379,100,1.51901e-32,1
0.00193118,161.951,26.0670868051,nan,26.0670868051,294.116519516,50000,500.0,112.672,3.26467e-08,0.6,5.52486e-05,113.452,39.6481,nan,100,3.24571,26.0670868051,8902.37,7.37696e-18,0.646931575297,294.116519516,100,1.25571e-22,1
0.00182049,240.616,32.8322496051,nan,32.8322496051,307.989733288,50000,500.0,18.6664,2.09259e-08,0.6,5.52486e-05,54.372,43.2134,nan,100,1.6501,32.8322496051,9626.33,8.68336e-20,0.997850040267,307.989733288,100,2.90737e-24,1
0.00200794,392.489,38.7044062756,nan,38.7044062756,256.656450266,50000,500.0,12.2702,1.82162e-08,0.6,5.52486e-05,52.1134,45.4038,nan,100,1.4339,38.7044062756,10331.3,2.2724e-17,0.737652109339,256.656450266,100,8.75563e-22,1
0.00188005,331.806,34.1122060337,nan,34.1122060337,290.698291018,50000,500.0,15.9424,2.18507e-08,0.6,5.52486e-05,50.7825,43.8346,nan,100,1.49233,34.1122060337,9978.73,4.2302e-17,0.593982225229,290.698291018,100,1.56609e-21,1
0.00144572,372.523,43.2167080848,nan,43.2167080848,261.502273009,50000,500.0,14.3406,1.67203e-08,0.6,5.52486e-05,42.3395,49.7895,nan,100,1.61802,43.2167080848,11310.0,2.19857e-15,0.526342600314,261.502273009,100,7.5072e-20,1
0.00135299,213.377,41.5392416769,nan,41.5392416769,204.691994441,50000,500.0,8.52587,1.56957e-08,0.6,5.52486e-05,31.5337,47.0151,nan,100,1.28766,41.5392416769,10283.3,3.65454e-15,0.888650697477,204.691994441,100,1.56803e-19,1
0.00166083,293.807,42.762095305,nan,42.762095305,233.002096485,50000,500.0,7.79065,1.56982e-08,0.6,5.52486e-05,36.9988,49.0966,nan,100,1.23079,42.762095305,10860.7,1.26246e-19,0.948104428017,233.002096485,100,5.66703e-24,1
0.00104422,222.378,46.6235521892,nan,46.6235521892,139.165321633,50000,500.0,6.35308,1.12783e-08,0.6,5.52486e-05,24.7836,49.931,nan,100,1.31127,46.6235521892,10776.2,4.70693e-13,0.740644781982,139.165321633,100,1.9832e-17,1
0.00107321,247.811,48.8934486586,nan,48.8934486586,185.488755159,50000,500.0,4.89138,1.06999e-08,0.6,5.52486e-05,22.9461,52.2176,nan,100,1.18126,48.8934486586,11256.4,4.88402e-14,1.01698273999,185.488755159,100,2.28429e-18,1
0.00140477,199.597,46.782489729,nan,46.782489729,209.419873134,50000,500.0,6.91455,1.29656e-08,0.6,5.52486e-05,32.4408,51.2271,nan,100,1.27587,46.782489729,11018.2,1.58724e-14,1.1272568183,209.419873134,100,6.87315e-19,1
0.000679576,108.775,49.3396189612,nan,49.3396189612,135.768593317,50000,500.0,3.2341,8.3765e-09,0.6,5.52486e-05,13.3531,51.0227,nan,100,1.08559,49.3396189612,10548.8,6.67198e-11,0.888183194453,135.768593317,100,3.39555e-15,1
0.00104762,141.331,50.0859930527,nan,50.0859930527,189.879432677,50000,500.0,3.08084,8.22441e-09,0.6,5.52486e-05,20.2761,52.6152,nan,100,1.06931,50.0859930527,10951.1,2.45463e-11,1.86558462074,189.879432677,100,1.26825e-15,1
0.000901806,140.657,49.0343103912,nan,49.0343103912,231.038269655,50000,500.0,3.63259,8.43117e-09,0.6,5.52486e-05,18.7188,52.1279,nan,100,1.14679,49.0343103912,10922.2,,1.46070453815,231.038269655,100,,1
0.000853859,170.716,52.2891382171,nan,52.2891382171,144.84214808,50000,500.0,5.20392,1.04162e-08,0.6,5.52486e-05,19.0852,54.0273,nan,100,1.2349,52.2891382171,11452.2,3.99972e-10,0.714786930808,144.84214808,100,1.78945e-14,1
0.000829714,196.035,51.9442408446,nan,51.9442408446,182.841009077,50000,500.0,4.44684,1.00637e-08,0.6,5.52486e-05,17.4412,55.3217,nan,100,1.16136,51.9442408446,11699.7,2.50252e-12,0.7370355179,182.841009077,100,1.1905e-16,1
0.00096008,247.023,51.0704747824,nan,51.0704747824,291.399656399,50000,500.0,5.38683,1.22673e-08,0.6,5.52486e-05,20.1187,56.2938,nan,100,1.15775,51.0704747824,12115.8,7.44099e-15,0.636668269783,291.399656399,100,3.55091e-19,1
0.000961441,176.531,55.3803671346,nan,55.3803671346,135.322186951,50000,500.0,4.72501,9.60096e-09,0.6,5.52486e-05,21.3288,57.2102,nan,100,1.22565,55.3803671346,12095.7,2.54412e-15,0.863002969967,135.322186951,100,1.14682e-19,1
0.00107751,180.395,54.0440569343,nan,54.0440569343,329.389010054,50000,500.0,7.29092,1.16745e-08,0.6,5.52486e-05,26.9274,59.4043,nan,100,1.38068,54.0440569343,12609.4,1.18576e-21,1.05659335599,329.389010054,100,4.74486e-26,1
0.000943656,302.644,59.2332655982,nan,59.2332655982,122.046356676,50000,500.0,4.69888,9.28675e-09,0.6,5.52486e-05,21.2265,59.1113,nan,100,1.24276,59.2332655982,12837.9,1.27339e-11,0.613621206767,122.046356676,100,5.66104e-16,1
0.000712225,155.454,57.9683849636,nan,57.9683849636,195.32515384,50000,500.0,4.24147,8.73511e-09,0.6,5.52486e-05,15.6943,60.3886,nan,100,1.21743,57.9683849636,12641.9,2.8406e-13,0.862507606704,195.32515384,100,1.2891e-17,1
0.000781079,154.679,57.3358446871,nan,57.3358446871,124.143024182,50000,500.0,5.02005,9.55456e-09,0.6,5.52486e-05,17.9037,58.5145,nan,100,1.2664,57.3358446871,12297.3,1.88486e-09,0.858694323602,124.143024182,100,8.223e-14,1
