LearnableVariance,MaxIWNorm,ReturnStepMaxmin,InitialReturnStd,ESSRenyi,StdIWNorm,MeanIW,MeanIWNorm,J_sample_variance,MaxIW,Bound,Weights,InitialBound,EpThisIter,InitialReturnMean,EmpiricalD2,TimestepsSoFar,EpLenMean,Iteration,OptimizationReturnMean,TimeElapsed,VarianceInit,MeanEntropy,StdIW,ESSClassic,OptimizationReturnMax,ReturnStepMax,EpRewMean,MinIWNorm,MinIW,OptimizationReturnMin,ReturnMeanIW,InitialReturnMax,EpisodesSoFar,InitialReturnMin
True,0.057752416,0.8633181,36.69125,7.9957166,0.009283611,0.583871,0.00583871,45611.53,5.775242,-107.64622,[-0.068  0.87  -0.373],-153.24954,100,-144.3461,12.506697,1050681,202.32,26,122.75736,1400.17121052742,-1,0.9923136,0.92836106,28.343596,183.14409,0.8633181,-144.34610291168093,2.9085354e-06,0.00029085355,,-76.15934,-83.959366,2600,-267.10345
True,0.058247823,0.86319125,33.67858,15.437641,0.009036494,0.737464,0.0073746406,70612.11,5.8247824,-115.553314,[ 0.119  0.865 -0.427],-140.30127,100,-130.81216,6.4776735,1069178,184.97,27,153.86108,1422.3365404605865,-1,1.0556078,0.9036495,39.9764,203.67088,0.86319125,-130.81216793641448,0.00022337402,0.022337403,,-91.40233,-81.002365,2700,-284.67325
True,0.08309532,0.86638284,36.49654,13.588717,0.010726423,0.7631351,0.007631351,64176.055,8.309532,-136.94337,[ 0.149  0.864 -0.363],-153.25047,100,-144.02419,7.3590465,1089284,201.06,28,132.76431,1452.8210923671722,-1,1.1194025,1.0726423,33.606262,204.74963,0.86638284,-144.0241929471493,0.0005160152,0.05160152,,-111.91471,-72.03888,2800,-276.7885
True,0.043773025,0.86178297,36.60157,6.1773195,0.008586364,0.59298426,0.005929842,40261.32,4.3773026,-117.47408,[ 0.156  0.861 -0.3  ],-161.98785,100,-153.18544,16.188251,1110746,214.62,29,110.88763,1486.8398122787476,-1,1.1418283,0.8586365,32.292637,179.75366,0.86178297,-153.18543536379934,1.3326416e-05,0.0013326416,,-82.057816,-84.3194,2900,-264.07306
True,0.052539937,0.8620321,33.091366,6.5894866,0.010277041,0.6372454,0.0063724546,49929.598,5.253994,-120.52431,[ 0.311  0.907 -0.277],-148.48476,100,-139.5815,15.175689,1130417,196.71,30,127.51576,1513.6997570991516,-1,1.0724955,1.0277041,27.770882,182.85703,0.8620321,-139.58150352120398,1.486531e-05,0.001486531,,-85.84085,-84.240234,3000,-267.09726
True,0.034801964,0.864344,33.68046,9.584693,0.007686421,0.62653536,0.0062653534,41853.09,3.4801965,-115.010315,[ 0.204  0.874 -0.346],-156.50421,100,-147.56548,10.433302,1150983,205.66,31,120.596985,1546.090539932251,-1,1.1033317,0.76864207,39.91902,182.62943,0.864344,-147.56546506330372,2.5571435e-05,0.0025571436,,-86.1376,-85.53302,3100,-268.16245
True,0.062283646,0.8575958,27.779179,10.359682,0.010214163,0.72452146,0.0072452147,30120.508,6.228365,-108.31825,[ 0.203  0.93  -0.316],-134.98856,100,-128.24248,9.652806,1169081,180.98,32,74.13998,1575.7155191898346,-1,1.1287221,1.0214164,33.473007,121.118835,0.8575958,-128.24247328281402,3.5004814e-05,0.0035004814,,-87.35888,-81.26361,3200,-202.38245
True,0.06698131,0.8656992,30.617947,15.483184,0.010073274,0.8459221,0.008459221,71617.89,6.698131,-123.18316,[ 0.191  0.992 -0.29 ],-133.82498,100,-125.24387,6.45862,1186682,176.01,33,132.18889,1595.8716440200806,-1,1.188904,1.0073276,41.356247,186.94467,0.8656992,-125.24388535648585,0.000344271,0.0344271,,-101.37533,-70.488106,3300,-257.43277
True,0.08050237,0.8585838,26.281002,7.609911,0.010004412,0.6561084,0.0065610833,23775.766,8.050237,-100.2551,[ 0.234  1.012 -0.23 ],-128.13344,100,-121.85572,13.1407585,1203772,170.9,34,66.47585,1617.071064710617,-1,1.2442175,1.0004413,30.074747,127.4214,0.8585838,-121.85570943832397,0.00015410522,0.015410523,,-77.49825,-60.910152,3400,-188.33156
True,0.07974182,0.8630069,28.768303,11.974403,0.012546757,0.71584404,0.0071584405,61042.89,7.974182,-106.8347,[ 0.06   1.05  -0.175],-134.72331,100,-126.67638,8.351147,1221549,177.77,35,114.73152,1642.9744899272919,-1,1.1695558,1.2546757,24.557741,170.53136,0.8630069,-126.67638437926769,2.1686172e-05,0.0021686172,,-83.58041,-70.87654,3500,-241.4079
