EpisodesSoFar,StdIW,ESSRenyi,J_sample_variance,ESSClassic,LearnableVariance,OptimizationReturnMin,MaxIWNorm,InitialBound,OptimizationReturnMean,MinIWNorm,Iteration,ReturnStepMaxmin,EmpiricalD2,TimestepsSoFar,InitialReturnMin,InitialReturnMax,MeanEntropy,MaxIW,TimeElapsed,MeanIWNorm,Weights,EpLenMean,ReturnStepMax,InitialReturnMean,StdIWNorm,OptimizationReturnMax,InitialReturnStd,ReturnMeanIW,MeanIW,EpRewMean,Bound,VarianceInit,EpThisIter,MinIW
1100,0.36935103,87.27035,168599.48,87.60914,True,,0.017828682,-426.82114,3.0332656,0.0026445943,11,0.84884375,1.1458646,550000,-415.98816,-406.01385,1.3294677,1.7828683,294.72817397117615,0.009821172,[-0.234  0.176 -0.083],500.0,0.84884375,-412.95493,0.0036935103,9.974304,1.906793,-406.09076,0.9821172,-412.9548947703838,-420.93393,-1,100,0.26445943
1200,0.11639708,98.747375,172278.08,98.6444,True,,0.012741047,-427.38196,2.4116616,0.007405939,12,0.8489591,1.0126852,600000,-415.92932,-408.84625,1.3269638,1.2741047,339.1276903152466,0.009929116,[-0.254  0.145 -0.089],500.0,0.8489591,-413.51767,0.0011639708,7.083069,1.494093,-410.63574,0.9929116,-413.51765999630095,-424.5877,-1,100,0.7405939
1300,0.81602186,20.476713,115126.69,49.753494,True,,0.039427884,-427.33643,2.2827892,0.0002954706,13,0.84892726,4.8835964,650000,-415.76056,-409.0674,1.3394777,3.9427884,382.7943387031555,0.008120087,[-0.289  0.142 -0.092],500.0,0.84892726,-413.47772,0.008160219,6.6931458,1.3977445,-336.44077,0.8120087,-413.47776658564806,-367.0669,-1,100,0.029547062
1400,1.0595844,2.6925066,42430.195,17.767368,True,,0.07947731,-428.51923,1.4667487,2.5630065e-06,14,0.8489432,37.140114,700000,-416.11545,-410.78998,1.2769041,7.947731,426.10238099098206,0.004925213,[-0.291  0.021 -0.079],500.0,0.8489432,-414.64868,0.010595844,5.32547,0.9635433,-204.263,0.4925213,-414.64869908809663,-288.79364,-1,100,0.00025630067
1500,0.56446844,2.826158,19959.957,26.368223,True,,0.03193974,-428.78452,1.2081399,0.00015268128,15,0.84886646,35.383724,750000,-416.12192,-412.90604,1.2762303,3.1939743,466.72210478782654,0.0033779056,[-0.073  0.004 -0.142],500.0,0.84886646,-414.9138,0.0056446847,3.2158813,0.6990556,-139.88942,0.33779052,-414.9137756754458,-222.39838,-1,100,0.015268128
1600,1.0700526,4.993612,60668.418,23.246292,True,,0.059120376,-426.11603,3.6572766,8.699745e-05,16,0.8489374,20.025585,800000,-415.90964,-403.9839,1.3173258,5.912038,510.67859292030334,0.0058888737,[-0.275  0.232 -0.143],500.0,0.8489374,-412.25238,0.010700526,11.925751,2.3691876,-241.88977,0.5888874,-412.25236074730753,-303.92957,-1,100,0.008699745
1700,0.66399205,2.4944086,24670.129,24.288635,True,,0.034043565,-423.07397,5.87298,1.3198205e-05,17,0.8489621,40.089664,850000,-415.10995,-401.7887,1.2857628,3.4043565,548.9851155281067,0.0037608314,[-0.261  0.318 -0.102],500.0,0.8489621,-409.237,0.0066399197,13.321259,2.7881455,-152.99312,0.37608314,-409.2369720998406,-240.604,-1,100,0.0013198205
1800,0.89516336,2.625612,27378.309,16.434414,True,,0.07847343,-416.32895,11.114603,5.6009035e-06,18,0.8501369,38.086357,900000,-413.65503,-392.03125,1.2218467,7.8473425,594.8217334747314,0.003969773,[-0.256  0.438 -0.133],500.0,0.8501369,-402.5404,0.008951633,21.62378,4.943474,-159.6743,0.3969773,-402.5404267975688,-244.76886,-1,100,0.00056009035
1900,2.553896,7.8594165,131638.25,10.146444,True,,0.22779106,-414.9507,11.816873,0.000211587,19,0.8501912,12.723591,950000,-413.00092,-383.98895,1.2359465,22.779106,638.6416296958923,0.008582078,[-0.249  0.445 -0.197],500.0,0.8501912,-401.18405,0.02553896,29.011963,5.3872523,-338.37125,0.8582079,-401.18403978317974,-387.47726,-1,100,0.0211587
2000,1.0080715,2.3670106,38431.387,18.077633,True,,0.059825487,-407.7448,15.065613,1.0078766e-06,20,0.8499094,42.247383,1000000,-409.1714,-369.54285,1.1716319,5.9825487,683.6872153282166,0.0047354465,[-0.226  0.516 -0.183],500.0,0.8499094,-394.10574,0.010080716,39.62854,6.8659973,-184.60123,0.47354463,-394.1057766754925,-273.2523,-1,100,0.00010078766
2100,0.9750538,20.085814,96679.44,37.72421,True,,0.05877053,-403.7527,15.904821,0.0005732435,21,0.8536007,4.978638,1050000,-406.12015,-367.14865,1.1792,5.8770533,727.598908662796,0.007588904,[-0.209  0.527 -0.247],500.0,0.8536007,-390.2153,0.009750537,38.971497,6.9202514,-293.22247,0.7588904,-390.21532635450365,-323.42816,-1,100,0.05732435
2200,1.0602149,7.3424115,71610.82,27.934805,True,,0.07643431,-399.21747,17.312305,2.0064397e-05,22,0.85320926,13.619504,1100000,-403.09335,-360.44623,1.1738292,7.643431,772.7968862056732,0.0066009103,[-0.377  0.557 -0.24 ],500.0,0.85320926,-385.7811,0.010602148,42.647125,8.102604,-258.62814,0.6600911,-385.78104666024444,-308.2148,-1,100,0.0020064397
2300,1.3330332,2.6052485,41547.895,11.693261,True,,0.104579456,-408.30362,17.78906,6.55936e-06,23,0.85026276,38.384056,1150000,-412.34775,-373.68637,1.12047,10.457946,816.513435125351,0.0048507834,[-0.474  0.507 -0.245],500.0,0.85026276,-394.5587,0.013330332,38.661377,6.05244,-188.98166,0.4850783,-394.5586851797998,-274.13815,-1,100,0.000655936
2400,1.0300972,4.2528415,57058.62,22.986639,True,,0.07494117,-399.34723,26.419687,3.3677752e-05,24,0.8530179,23.51369,1199925,-412.0325,-317.1729,1.1455034,7.4941177,860.9564251899719,0.005627726,[-0.483  0.551 -0.298],499.25,0.8530179,-385.61285,0.0103009725,94.85959,13.034329,-211.09726,0.5627726,-385.6128132584691,-277.69672,-1,100,0.0033677754
2500,0.8038683,4.109638,47324.145,31.296886,True,,0.04432242,-380.22397,31.631355,2.948384e-05,25,0.8575226,24.333042,1248916,-398.56967,-166.37115,1.1673112,4.432242,902.3328638076782,0.0054255943,[-0.505  0.602 -0.273],489.91,0.8575226,-366.93832,0.008038683,232.19852,33.989872,-208.03787,0.54255944,-366.93831496909263,-273.57407,-1,100,0.002948384
2600,0.98884165,3.4769294,41130.87,19.115578,True,,0.07364922,-401.50476,20.486153,5.6662986e-05,26,0.8588356,28.76101,1298810,-408.3783,-291.28168,1.173705,7.3649225,949.513768196106,0.0048071537,[-0.488  0.552 -0.252],498.94,0.8588356,-387.89212,0.009888415,117.09662,12.181962,-181.0085,0.48071536,-387.8921431156993,-254.01196,-1,100,0.005666299
2700,0.9252342,2.7106369,28906.389,15.76896,True,,0.059743743,-384.59183,30.772137,7.816267e-06,27,0.86120117,36.8917,1348336,-401.96512,-269.48294,1.1163975,5.9743743,992.8686656951904,0.0040032906,[-0.486  0.617 -0.245],495.26,0.86120117,-371.19296,0.009252342,132.48218,22.209072,-143.01698,0.40032908,-371.1929782359302,-224.39957,-1,100,0.0007816267
2800,1.6706711,5.5531535,201758.44,17.483618,True,,0.13797796,-349.6252,59.935837,2.3882856e-05,28,0.85823905,18.007786,1393975,-396.3494,-181.42068,1.0924038,13.797796,1030.738379240036,0.007690181,[-0.413  0.637 -0.303],456.39,0.85823905,-336.41354,0.016706709,214.92871,58.68997,-205.25684,0.769018,-336.4135562582314,-261.32123,-1,100,0.0023882857
2900,0.836635,6.02759,77472.02,38.823715,True,,0.049096633,-285.47232,103.24236,9.0539594e-05,29,0.8649532,16.59038,1432261,-376.1755,-124.7277,1.1044142,4.909663,1066.9688205718994,0.0066648913,[-0.376  0.683 -0.327],382.86,0.8649532,-272.93317,0.00836635,251.44781,64.92974,-167.82082,0.6664891,-272.9331546032429,-218.89453,-1,100,0.0090539595
3000,1.0151505,17.310677,173275.61,46.100918,True,,0.05370265,-240.22095,153.74977,0.00017367204,30,0.86858135,5.776782,1464284,-381.262,-113.93254,1.0954407,5.370265,1095.0023188591003,0.0093884645,[-0.337  0.728 -0.315],320.23,0.86858135,-227.51222,0.0101515055,267.32947,61.12939,-186.25146,0.9388464,-227.5122225432098,-216.79683,-1,100,0.017367205
3100,1.0527056,12.562837,127439.266,33.082645,True,,0.08580795,-209.12831,173.1075,4.4439734e-05,31,0.86144054,7.9599857,1491910,-369.90564,-94.124664,1.1288275,8.580795,1120.2094180583954,0.0074018054,[-0.4    0.77  -0.324],276.26,0.86144054,-196.79814,0.010527056,275.78098,54.405563,-133.85184,0.7401805,-196.79813417628407,-168.63954,-1,100,0.0044439733
3200,1.4571794,10.90197,106613.96,19.427454,True,,0.12100313,-189.45177,134.7287,3.7877682e-05,32,0.8633393,9.172654,1517088,-313.72302,-92.84575,1.0748292,12.100313,1140.394674539566,0.007155292,[-0.389  0.808 -0.29 ],251.78,0.8633393,-178.99434,0.014571793,220.87727,43.253952,-121.21936,0.71552926,-178.99433853566646,-152.89116,-1,100,0.0037877683
3300,1.0400795,9.4718895,80355.57,22.253101,True,,0.071361594,-198.81592,190.31625,5.1787272e-05,33,0.86204803,10.557555,1543215,-376.57953,-102.552246,1.0444524,7.13616,1161.0103709697723,0.005564424,[-0.33   0.775 -0.344],261.27,0.86204803,-186.26326,0.0104007935,274.02728,48.696697,-109.45436,0.55644244,-186.26327180370689,-150.24094,-1,100,0.005178727
3400,0.84817517,11.246925,95804.586,34.894283,True,,0.04850015,-233.38783,167.87665,4.97098e-05,34,0.86141324,8.891319,1574110,-388.32047,-115.22906,1.0714723,4.850015,1189.6708490848541,0.0062094494,[-0.39   0.729 -0.374],308.95,0.86141324,-220.4438,0.008481751,273.0914,59.280857,-117.54097,0.620945,-220.44382270976902,-156.13785,-1,100,0.0049709803
3500,1.2464944,15.685148,128038.75,24.621302,True,,0.0904086,-196.1826,156.72765,2.9621799e-05,35,0.86314267,6.375458,1600029,-341.52606,-94.716675,1.0108595,9.04086,1214.13876414299,0.0071239606,[-0.326  0.763 -0.347],259.19,0.86314267,-184.7984,0.012464944,246.80939,50.899467,-113.26157,0.7123961,-184.79841440975667,-142.0063,-1,100,0.00296218
3600,0.94022834,6.2491856,42751.34,20.417742,True,,0.07654652,-190.34862,132.56879,2.0787962e-05,36,0.85942125,16.002085,1625237,-312.50073,-92.609795,0.9554639,7.654652,1236.7890274524689,0.004762435,[-0.355  0.764 -0.408],252.08,0.85942125,-179.93193,0.009402284,219.89093,40.707993,-85.59019,0.47624347,-179.93193722933532,-127.259674,-1,100,0.0020787963
3700,1.3401437,12.12588,108969.63,20.679869,True,,0.113381594,-204.21246,150.36618,2.9032093e-05,37,0.86187,8.246824,1652276,-343.14066,-94.92594,0.90012956,11.33816,1260.1382384300232,0.0068427944,[-0.363  0.724 -0.463],270.39,0.86187,-192.77448,0.013401436,248.21472,45.69828,-123.581726,0.6842795,-192.77446904733776,-156.42862,-1,100,0.0029032093
3800,1.1276582,9.413801,116687.24,31.903568,True,,0.060352385,-208.03288,169.11467,1.1148211e-06,38,0.86212236,10.622702,1679609,-364.9815,-102.206154,0.8354494,6.0352387,1284.392464876175,0.007718538,[-0.29   0.707 -0.519],273.33,0.86212236,-195.86684,0.011276582,262.77536,52.75823,-140.96033,0.7718538,-195.86683536961675,-180.61252,-1,100,0.00011148211
3900,1.1144851,10.822591,62096.035,27.552212,True,,0.08172725,-184.45338,109.530205,6.0674007e-05,39,0.8571519,9.239932,1704057,-284.50024,-103.93631,0.8478815,8.172726,1306.4061090946198,0.0068729003,[-0.329  0.716 -0.583],244.48,0.8571519,-174.97003,0.011144852,180.56393,36.496853,-111.27333,0.68728995,-174.97004373699426,-140.10008,-1,100,0.006067401
4000,1.0279487,8.129209,62602.01,26.422438,True,,0.064796865,-172.43134,137.08896,7.453274e-06,40,0.86253947,12.301321,1726763,-299.5358,-102.8457,0.7711583,6.4796867,1327.0480484962463,0.0061600637,[-0.355  0.759 -0.571],227.06,0.86253947,-162.44682,0.010279487,196.6901,38.815365,-91.30367,0.6160063,-162.4468232962489,-126.32265,-1,100,0.00074532744
4100,1.0548792,8.429439,51810.523,25.583275,True,,0.07041632,-161.9335,116.51552,1.2841997e-05,41,0.8654949,11.863186,1748031,-269.4668,-82.622375,0.7415566,7.0416317,1344.8748908042908,0.006185084,[-0.358  0.757 -0.648],212.68,0.8654949,-152.95128,0.010548792,186.84442,35.015846,-86.288864,0.6185083,-152.95128483697772,-117.226326,-1,100,0.0012841998
4200,1.1684608,4.848015,24096.006,21.48977,True,,0.062878504,-138.85371,63.805805,7.0080466e-07,42,0.8637502,20.626999,1766518,-196.12213,-71.00939,0.6543288,6.2878504,1360.6978497505188,0.0061131762,[-0.397  0.802 -0.677],184.87,0.8637502,-132.31633,0.011684609,125.11274,27.359957,-77.19426,0.61131763,-132.3163239645958,-106.88516,-1,100,7.008047e-05
4300,1.0350376,10.986584,44981.59,32.52,True,,0.056306038,-141.4426,105.685646,4.2748015e-05,43,0.86640334,9.102011,1785370,-239.15637,-81.57745,0.6598147,5.630604,1378.8780217170715,0.0071852817,[-0.443  0.783 -0.765],188.52,0.86640334,-133.47073,0.010350376,157.57892,28.17117,-89.44789,0.7185282,-133.47072390124202,-113.49868,-1,100,0.004274802
4400,1.1209449,7.172694,36918.195,22.052876,True,,0.081721716,-141.66107,101.71789,1.67416e-05,44,0.8650911,13.941763,1803945,-235.52803,-85.13132,0.6372075,8.172172,1397.0942544937134,0.0059623406,[-0.433  0.822 -0.759],185.75,0.8650911,-133.81012,0.011209448,150.39671,28.940212,-78.21624,0.5962341,-133.8101313444972,-107.53059,-1,100,0.0016741601
4500,1.0792066,8.198986,46334.875,29.107687,True,,0.05612149,-145.61794,108.03471,2.088562e-05,45,0.861729,12.19663,1822963,-245.4703,-84.00577,0.5935606,5.6121492,1412.972974061966,0.006915265,[-0.376  0.776 -0.782],190.18,0.861729,-137.4356,0.010792065,161.46454,32.262383,-87.56096,0.6915266,-137.43560168415308,-116.13671,-1,100,0.0020885621
4600,1.1980573,11.101323,32934.598,29.33266,True,,0.09302071,-128.81941,68.5197,0.00011785194,46,0.86416733,9.007936,1839993,-190.97333,-70.228195,0.66451985,9.302071,1429.2797269821167,0.007718696,[-0.373  0.816 -0.825],170.3,0.86416733,-122.45362,0.011980573,120.74513,25.912455,-89.09003,0.77186966,-122.45362938359379,-108.19578,-1,100,0.011785194
4700,0.2207855,96.57214,37306.1,95.34028,True,,0.018009484,-134.01917,62.308483,0.0058322484,47,0.8628511,1.0354953,1857830,-189.9945,-71.07678,0.65518904,1.8009485,1444.6805164813995,0.009986835,[-0.338  0.814 -0.754],178.37,0.8628511,-127.68603,0.002207855,118.917725,25.313496,-126.63312,0.9986836,-127.68602788999677,-133.07768,-1,100,0.58322483
4800,0.9126353,8.785038,48061.504,34.673668,True,,0.046673417,-139.31293,126.49518,3.410323e-05,48,0.8556881,11.38299,1876104,-257.23364,-71.60008,0.6455611,4.6673417,1460.6594738960266,0.0066489493,[-0.336  0.816 -0.764],182.74,0.8556881,-130.73848,0.009126354,185.63356,35.02456,-80.13828,0.664895,-130.7384684510529,-109.06737,-1,100,0.003410323
4900,0.7702001,7.592243,20539.059,33.119923,True,,0.050615814,-122.04103,99.64252,2.6732152e-05,49,0.8684578,13.171338,1892259,-214.53247,-70.85986,0.62375474,5.0615816,1476.667631149292,0.0054200073,[-0.278  0.856 -0.773],161.55,0.8684578,-114.88996,0.0077020004,143.6726,24.865423,-61.50895,0.5420007,-114.88995210900903,-87.4619,-1,100,0.0026732152
5000,1.2491027,17.380518,28295.223,26.862701,True,,0.09217056,-122.08484,63.34883,2.8940261e-05,50,0.8579675,5.753568,1908549,-179.45193,-81.67986,0.55066144,9.217056,1489.3535559177399,0.007570134,[-0.106  0.836 -0.795],162.9,0.8579675,-116.1031,0.012491027,97.77207,22.540125,-83.28904,0.7570134,-116.1031054764986,-97.63718,-1,100,0.0028940262
5100,0.8892556,9.564395,26144.586,22.578306,True,,0.051066272,-130.44063,109.72575,1.9274456e-05,51,0.86413836,10.455444,1925670,-232.41908,-72.20457,0.4753497,5.1066275,1503.6522657871246,0.004802208,[-0.15   0.845 -0.868],171.21,0.86413836,-122.69334,0.008892556,160.21451,30.5142,-55.96971,0.4802208,-122.69333328634501,-81.02052,-1,100,0.0019274455
5200,1.021591,7.98523,32164.24,26.76001,True,,0.06086321,-126.64724,101.27528,2.291826e-05,52,0.8585205,12.523121,1942378,-220.57019,-71.88507,0.44198394,6.0863214,1519.885750055313,0.0061751283,[-0.076  0.832 -0.944],167.08,0.8585205,-119.2949,0.010215909,148.68512,28.768715,-69.85688,0.6175129,-119.29490315511822,-95.87536,-1,100,0.002291826
5300,0.90368533,15.994902,48868.184,38.81695,True,,0.048030112,-118.825714,136.64838,0.00039073592,53,0.8590257,6.251992,1957786,-247.23299,-70.874214,0.508637,4.8030114,1533.3595414161682,0.00719801,[-0.102  0.871 -0.977],154.08,0.8590257,-110.58461,0.009036853,176.35876,27.334818,-78.312294,0.71980095,-110.58461397960782,-98.91833,-1,100,0.039073594
5400,1.1623977,15.84159,65244.484,26.859844,True,,0.06967314,-119.705574,143.0393,0.000110467394,54,0.86237204,6.3124976,1973385,-254.26926,-61.2781,0.44555384,6.9673142,1548.248722076416,0.0070441486,[-0.099  0.861 -0.91 ],155.99,0.86237204,-111.22994,0.011623977,192.99115,31.913094,-73.85978,0.7044149,-111.22993545755745,-95.154564,-1,100,0.011046739
5500,0.59524727,8.805177,15004.54,42.087204,True,,0.026731202,-114.25955,98.396774,2.5333484e-05,55,0.86344695,11.356956,1988399,-205.79646,-62.05132,0.4771727,2.6731203,1559.9373078346252,0.005074405,[-0.04   0.876 -0.973],150.14,0.86344695,-107.39968,0.0059524723,143.74515,24.85244,-53.555622,0.5074405,-107.3996754744649,-76.67348,-1,100,0.0025333485
5600,0.67801553,6.746486,14354.547,41.522537,True,,0.031871032,-122.70219,75.76891,0.00030180166,56,0.8626926,14.822531,2004663,-192.0688,-72.148766,0.5431428,3.1871033,1573.6438646316528,0.0057133045,[ 0.053  0.846 -0.942],162.64,0.8626926,-116.2999,0.006780155,119.92004,24.609272,-69.19433,0.5713304,-116.29989392206073,-93.843185,-1,100,0.030180167
5700,1.4397613,12.434915,41403.133,18.563484,True,,0.101932704,-122.21279,87.966866,5.7874175e-05,57,0.8630914,8.041873,2020849,-203.39967,-71.905136,0.5227967,10.193271,1586.7269718647003,0.006874017,[ 0.104  0.823 -0.876],161.86,0.8630914,-115.4328,0.014397614,131.49454,27.24323,-74.137215,0.68740183,-115.43280172780156,-93.364044,-1,100,0.0057874178
5800,0.7496387,7.840221,28507.785,40.904076,True,,0.051879182,-119.42207,110.12813,0.0001619508,58,0.86341876,12.754743,2036558,-222.14536,-71.37013,0.5433962,5.187918,1601.5626769065857,0.006236725,[ 0.113  0.863 -0.896],157.09,0.86341876,-112.01723,0.007496387,150.77522,28.493385,-66.99269,0.6236724,-112.0172317622602,-93.438194,-1,100,0.01619508
5900,0.9561395,5.1442037,10252.496,19.544926,True,,0.077438064,-126.268684,68.91814,2.4975428e-05,59,0.8626464,19.439354,2053254,-188.89047,-72.26843,0.4815978,7.7438064,1615.7837979793549,0.0047126105,[-0.01   0.841 -0.876],166.96,0.8626464,-119.972336,0.009561394,116.62204,28.88185,-59.781315,0.47126102,-119.97233460500837,-87.54197,-1,100,0.0024975429
6000,1.0349833,8.802215,44270.047,26.120361,True,,0.04725922,-138.07774,121.90002,3.349489e-05,60,0.8651473,11.360778,2071274,-251.59137,-70.028244,0.40256727,4.725922,1631.5437166690826,0.006154043,[-0.027  0.803 -0.937],180.2,0.8651473,-129.69136,0.010349833,181.56313,36.76958,-75.1438,0.6154043,-129.69135755956174,-103.41072,-1,100,0.003349489
6100,1.3398398,13.472849,54226.254,27.21429,True,,0.09473247,-130.03142,93.52053,0.00025524758,61,0.8650614,7.422335,2088411,-216.34059,-72.49576,0.39553577,9.473248,1647.4280271530151,0.008192725,[ 0.005  0.789 -1.016],171.37,0.8650614,-122.82007,0.013398398,143.84483,31.328945,-88.06849,0.81927246,-122.82006733596324,-107.71507,-1,100,0.02552476
6200,1.3090749,7.9088554,29176.027,20.35177,True,,0.0801457,-123.251076,68.71778,1.6017273e-06,62,0.8618811,12.644054,2104706,-185.7763,-61.51364,0.33027616,8.01457,1661.3895571231842,0.0066172504,[-0.014  0.823 -1.023],162.95,0.8618811,-117.05853,0.01309075,124.262665,27.132378,-69.15037,0.661725,-117.05852973416448,-91.17011,-1,100,0.00016017273
6300,0.90336865,4.6863227,14608.656,22.775965,True,,0.055921968,-117.37484,70.92565,6.442154e-06,63,0.86181134,21.338692,2120186,-182.22627,-62.469154,0.27717245,5.592197,1675.0836055278778,0.004905996,[-0.032  0.852 -1.089],154.8,0.86181134,-111.30063,0.009033687,119.75712,27.623486,-52.5246,0.4905996,-111.30062678411603,-80.583694,-1,100,0.0006442154
6400,0.7731681,7.6228023,25013.334,29.51008,True,,0.04545406,-118.72166,126.6351,5.1008603e-05,64,0.8531641,13.118535,2135683,-237.44202,-71.326416,0.22184789,4.545406,1688.1760671138763,0.0050025987,[-0.045  0.816 -1.142],154.97,0.8531641,-110.80692,0.007731681,166.1156,26.469599,-53.7473,0.5002599,-110.80692406579853,-82.414085,-1,100,0.0051008603
6500,0.83076185,13.3652315,60325.227,41.947586,True,,0.043603223,-133.89302,158.66714,0.00018509477,65,0.8595921,7.4821,2152875,-283.12274,-71.45058,0.27505946,4.3603225,1701.6544909477234,0.0070618726,[-0.105  0.793 -1.197],171.92,0.8595921,-124.4556,0.008307619,211.67216,37.450073,-85.815605,0.7061873,-124.45559517741204,-111.630196,-1,100,0.018509477
6600,0.5221753,6.8229995,11667.956,35.458397,True,,0.02421038,-127.79335,118.03635,5.8678856e-06,66,0.861658,14.656311,2169672,-237.8997,-71.27284,0.24052823,2.4210382,1715.8100440502167,0.003870401,[-0.146  0.781 -1.144],167.97,0.861658,-119.86337,0.005221753,166.62686,28.375107,-49.241344,0.38704014,-119.86336107164621,-79.600174,-1,100,0.0005867886
6700,1.0323678,14.990087,43132.73,33.482483,True,,0.06434609,-134.43564,104.40298,0.00036540272,67,0.8644388,6.6710753,2187251,-231.13414,-73.858086,0.29975995,6.4346094,1731.889827489853,0.0073244544,[-0.065  0.754 -1.178],175.79,0.8644388,-126.731155,0.010323677,157.27606,32.694405,-89.85848,0.73244536,-126.73115783378482,-109.75792,-1,100,0.036540274
6800,0.87191796,12.135194,37892.383,26.53311,True,,0.074227385,-137.15392,140.51505,0.00015250352,68,0.8679103,8.240495,2205056,-268.71188,-71.99954,0.33476204,7.4227386,1747.7140958309174,0.0052399104,[-0.033  0.744 -1.119],178.05,0.8679103,-128.19685,0.008719179,196.71234,32.597317,-64.91701,0.52399105,-128.1968465554714,-90.62939,-1,100,0.015250352
6900,1.0641843,7.2502546,30499.74,25.246454,True,,0.064668044,-141.99924,83.93788,8.1213984e-05,69,0.8622947,13.792619,2223863,-218.64882,-82.18298,0.31654382,6.4668045,1764.5045416355133,0.0061844504,[-0.089  0.724 -1.084],188.07,0.8622947,-134.71094,0.010641843,136.46584,29.599745,-76.49062,0.61844504,-134.71093603685497,-103.5582,-1,100,0.008121398
