EpLenMean,Bound,MeanEntropy,LearnableVariance,OptimizationReturnMean,OptimizationReturnMax,StdWReturnMean,DivergenceHarmonic,MeanD2-0,InitialReturnMin,MinBehavPdf,WReturnMean,MinIW,EmpiricalD2Arithmetic,ReturnStepMaxmin,InitialReturnMax,ESSRenyiHarmonic,InitialBound,EpisodesSoFar,MaxIW,OptimizationReturnMin,Weights,InitialReturnStd,MeanIW,Inner Iteration,Iteration,ReturnMeanIW,Penalization,EpThisIter,StdIW,EmpiricalD2Harmonic,ReturnStepMax,InitialReturnMean,Epsilon,TimeElapsed,EpRewMean,MinTargetPdf,VarianceInitializer,TimestepsSoFar,ESSRenyiArithmetic
187.2,-1021147900.0,0.4189424,,119.75397,171.97072,,1051021300000.0,1.0,-254.36783,-157.88927,15542.399,0.019662108,1.0,0.86510986,-82.39711,100.0,-16528.203,1100,34494.758,,[-0.11   0.731],34.66102,765.48083,1,11,10514830.0,True,100,3935.2224,1.0,0.86510986,-134.61386,2.0,74.49866080284119,-134.61385881632566,-157.88927,-1.0,387688,100.0
178.18,-149726170000.0,0.4189424,,91.79664,146.54294,,4.3716767e+16,1.0,-219.75476,-124.17297,9472.305,0.07888017,1.0,0.85786647,-73.21182,100.0,-10188.137,1200,392722.84,,[0.006 0.778],32.33699,8004.092,1,12,56938430.0,True,100,41657.32,1.0,0.85786647,-127.958115,2.0,79.90141344070435,-127.95811558559537,-124.17297,-1.0,405506,100.0
154.4,-308341980.0,0.4189424,,105.46982,154.08418,,147980200000.0,1.0,-215.99823,-136.9465,11881.666,0.026514033,1.0,0.85672385,-61.914047,100.0,-12673.066,1300,13375.127,,[0.114 0.841],27.527872,345.20703,1,13,3905531.2,True,100,1563.5511,1.0,0.85672385,-110.52841,2.0,86.11404800415039,-110.52841426566243,-136.9465,-1.0,420946,100.0
148.07,-1.005977e+20,0.4189424,,68.481575,112.09312,,5.769029e+34,1.0,-173.8848,-107.660995,5193.134,0.024346428,1.0,0.8614223,-61.79168,100.0,-5611.964,1400,406411200.0,,[0.116 0.904],22.436764,4557855.0,1,14,35192740000.0,True,100,40427630.0,1.0,0.8614223,-105.40323,2.0,92.17787218093872,-105.40322717860342,-107.660995,-1.0,435753,100.0
133.34,-14334748.0,0.4189424,,63.411026,105.827934,,1339784600.0,1.0,-157.59236,-92.921295,4436.8013,0.046952244,1.0,0.86669135,-51.764427,100.0,-4810.12,1500,8524.936,,[0.352 0.986],20.392237,213.59251,1,15,670148.5,True,100,948.76685,1.0,0.86669135,-94.18135,2.0,97.43009829521179,-94.18133644536138,-92.921295,-1.0,449087,100.0
131.76,-45837370.0,0.4189424,,70.22117,101.44354,,17702840000.0,1.0,-163.55966,-100.890755,5382.286,0.017901735,1.0,0.8582216,-62.11612,100.0,-5725.3125,1600,18159.164,,[0.344 1.048],21.24319,221.64848,1,16,197010.78,True,100,1806.2288,1.0,0.8582216,-93.33849,2.0,103.38002920150757,-93.33848893627524,-100.890755,-1.0,462263,100.0
140.44,-35216090.0,0.4189424,,131.10338,169.2899,,862332700.0,1.0,-230.64272,-130.74753,17799.709,0.038802616,1.0,0.85917455,-61.352814,100.0,-18755.014,1700,21077.697,,[0.324 0.989],24.7308,313.11176,1,17,7163158.0,True,100,2101.7825,1.0,0.85917455,-99.53933,2.0,109.58537244796753,-99.53932974785566,-130.74753,-1.0,476307,100.0
142.94,-2010929700000000.0,0.4189424,,103.8341,142.4667,,8.8344593e+24,1.0,-205.15247,-102.061295,11226.887,0.010473745,1.0,0.8616352,-62.685753,100.0,-11903.447,1800,31142190.0,,[0.317 0.927],21.103659,612311.25,1,18,6338506000.0,True,100,3975902.8,1.0,0.8616352,-101.31836,2.0,115.2014708518982,-101.31835932418704,-102.061295,-1.0,490601,100.0
159.96,-45588560.0,0.4189424,,74.42361,114.83842,,2187694300.0,1.0,-188.6198,-111.350426,6389.7827,0.08050347,1.0,0.862741,-73.78138,100.0,-6829.38,1900,675413.56,,[0.396 0.83 ],29.170343,7286.7383,1,19,25027454.0,True,100,67166.23,1.0,0.862741,-114.19619,2.0,122.18066120147705,-114.19618807286024,-111.350426,-1.0,506597,100.0
144.11,-20475030.0,0.4189424,,62.643135,102.35769,,2549407500.0,1.0,-164.53767,-98.39749,4343.835,0.06905503,1.0,0.86633676,-62.179985,100.0,-4693.0723,2000,87441.31,,[0.397 0.892],20.485918,1228.9708,1,20,2841495.8,True,100,8868.886,1.0,0.86633676,-101.89453,2.0,128.71849179267883,-101.89453981891275,-98.39749,-1.0,521008,100.0
142.32,-3.3391104e+18,0.4189424,,80.03278,117.767654,,5.2167485e+31,1.0,-181.0462,-105.4801,6915.37,0.07936611,1.0,0.864045,-63.27855,100.0,-7377.6787,2100,4060379400.0,,[0.393 0.954],22.585928,58523320.0,1,21,251436840000.0,True,100,413058620.0,1.0,0.864045,-101.01343,2.0,135.02496981620789,-101.01342134326697,-105.4801,-1.0,535240,100.0
133.24,-3793427.0,0.4189424,,74.95515,108.81521,,79983610.0,1.0,-169.4236,-96.46079,6147.1094,0.018691279,1.0,0.8622639,-60.60839,100.0,-6541.8013,2200,894.5202,,[0.451 1.065],22.996424,43.70434,1,22,263559.16,True,100,127.25256,1.0,0.8622639,-94.46846,2.0,140.29992842674255,-94.46845417782664,-96.46079,-1.0,548564,100.0
123.87,-3191317.0,0.4189424,,50.620728,86.79384,,127007040.0,1.0,-137.68369,-83.60524,2886.6125,0.107178345,1.0,0.85810304,-50.889847,100.0,-3137.7173,2300,6198.7407,,[0.432 1.125],18.004293,210.40176,1,23,361420.94,True,100,811.79706,1.0,0.85810304,-87.06296,2.0,145.20461654663086,-87.0629573649168,-83.60524,-1.0,560951,100.0
119.91,-2.8360303e+16,0.4189424,,80.15504,113.28592,,4.3949828e+27,1.0,-164.01877,-94.31019,6790.4604,0.2365118,1.0,0.86308545,-50.73285,100.0,-7218.2495,2400,3450787600.0,,[0.446 1.186],19.12147,34694604.0,1,24,107546436000.0,True,100,343331900.0,1.0,0.86308545,-83.86373,2.0,150.3181631565094,-83.86373107209802,-94.31019,-1.0,572942,100.0
113.94,-3957679200000000.0,0.4189424,,59.39141,88.885414,,2.2583902e+26,1.0,-139.49973,-76.26463,3864.9263,1.2785317,1.0,0.8672708,-50.61431,100.0,-4128.2793,2500,444560930.0,,[0.216 1.285],18.373543,6316952.5,1,25,12376935000.0,True,100,47455490.0,1.0,0.8672708,-80.10832,2.0,155.04870176315308,-80.10831801980734,-76.26463,-1.0,584336,100.0
111.46,-198621460.0,0.4189424,,36.265564,63.448326,,2184075400000.0,1.0,-114.162964,-84.173004,1551.5292,0.0806221,1.0,0.8584862,-50.714638,100.0,-1685.7179,2600,10971.066,,[0.162 1.397],15.373294,268.00818,1,26,307671.0,True,100,1146.5262,1.0,0.8584862,-77.8974,2.0,159.81792902946472,-77.89740097850562,-84.173004,-1.0,595482,100.0
106.56,-6241684500.0,0.4189424,,42.08367,65.21744,,1924439400000000.0,1.0,-116.22026,-78.02608,1971.6927,0.018565783,1.0,0.86444426,-51.00282,100.0,-2113.4695,2700,1855906.1,,[0.411 1.416],14.165342,20169.686,1,27,22144182.0,True,100,184684.1,1.0,0.86444426,-74.13658,2.0,163.61544466018677,-74.13658303096891,-78.02608,-1.0,606138,100.0
111.2,-2662283.8,0.4189424,,59.71805,85.58201,,108779070.0,1.0,-137.15446,-80.11752,3797.8035,0.077332065,1.0,0.86712205,-51.572456,100.0,-4041.9458,2800,1610.1442,,[0.653 1.352],15.21705,43.39229,1,28,115944.01,True,100,180.18091,1.0,0.86712205,-77.43642,2.0,168.10544157028198,-77.43641926601529,-80.11752,-1.0,617258,100.0
109.37,-1.5955853e+18,0.4189424,,44.20689,67.75869,,1.086982e+32,1.0,-120.0082,-89.86316,2166.1155,0.023709795,1.0,0.85920024,-52.24951,100.0,-2319.1558,2900,24945054000.0,,[0.636 1.412],14.555648,332892580.0,1,29,348657000000.0,True,100,2538306600.0,1.0,0.85920024,-75.801315,2.0,173.3695924282074,-75.80131429478526,-89.86316,-1.0,628195,100.0
106.83,-1.3855152e+19,0.4189424,,75.84059,98.75191,,1.8166994e+33,1.0,-150.0853,-95.026184,6057.8555,0.056042057,1.0,0.8670546,-51.33339,100.0,-6382.9175,3000,12036100.0,,[0.623 1.537],17.494583,264417.2,1,30,887966500.0,True,100,1403735.8,1.0,0.8670546,-74.244705,2.0,177.535254240036,-74.2447083479166,-95.026184,-1.0,638878,100.0
106.38,-2.9378242e+18,0.4189424,,50.74875,73.29951,,2.690852e+32,1.0,-124.87398,-77.70209,2818.8267,0.06339457,1.0,0.85219586,-51.57447,100.0,-2997.9197,3100,526637820.0,,[0.687 1.644],15.601006,7277626.0,1,31,18776699000.0,True,100,53077930.0,1.0,0.85219586,-74.12523,2.0,182.07135319709778,-74.12522671848535,-77.70209,-1.0,649516,100.0
105.59,-1780254100000.0,0.4189424,,55.46199,76.11024,,8.499894e+19,1.0,-127.95731,-69.310295,3283.612,0.28431207,1.0,0.85709584,-51.847076,100.0,-3476.7026,3200,1367394.9,,[0.668 1.521],14.407621,23244.355,1,32,42398320.0,True,100,151241.72,1.0,0.85709584,-72.49532,2.0,186.55986785888672,-72.49532117083669,-69.310295,-1.0,660075,100.0
112.03,-2.1173192e+17,0.4189424,,51.430187,78.92444,,1.0398461e+30,1.0,-129.99112,-79.77875,2939.3071,0.13473569,1.0,0.8578905,-51.066677,100.0,-3146.9407,3300,1479891200.0,,[0.746 1.424],17.153536,18559664.0,1,33,11517041000.0,True,100,149623420.0,1.0,0.8578905,-78.56094,2.0,190.91134405136108,-78.5609394608438,-79.77875,-1.0,671278,100.0
112.86,-2.7304513e+18,0.4189424,,55.29906,82.310486,,1.4618092e+32,1.0,-134.06717,-77.50491,3309.3218,0.067004,1.0,0.8584864,-51.756683,100.0,-3535.1548,3400,1813933800.0,,[0.697 1.309],15.853581,26707090.0,1,34,91160880000.0,True,100,187439060.0,1.0,0.8584864,-78.76811,2.0,195.0562982559204,-78.76811202287674,-77.50491,-1.0,682564,100.0
127.69,-7079169.0,0.4189424,,56.589527,94.737366,,526085120.0,1.0,-146.95999,-92.58577,3710.154,0.070378885,1.0,0.8686903,-52.22263,100.0,-4009.326,3500,1981.3877,,[0.679 1.185],22.533968,73.95549,1,35,217190.2,True,100,225.88086,1.0,0.8686903,-90.37046,2.0,199.7691524028778,-90.37046488419175,-92.58577,-1.0,695333,100.0
120.6,-6.9404363e+19,0.4189424,,68.905525,99.47661,,4.42723e+34,1.0,-152.88893,-85.16411,5090.007,0.014633952,1.0,0.86340046,-53.412323,100.0,-5419.8584,3600,10061043000.0,,[0.689 1.247],18.494202,101209120.0,1,36,354607860000.0,True,100,1001003260.0,1.0,0.86340046,-83.9834,2.0,204.78686213493347,-83.98340430855751,-85.16411,-1.0,707393,100.0
126.52,-4001615.8,0.4189424,,61.08955,97.66605,,148122820.0,1.0,-149.78827,-104.22409,4087.5906,0.011280151,1.0,0.86415344,-52.122215,100.0,-4405.5454,3700,462.65338,,[0.634 1.135],18.858889,34.951004,1,37,131918.31,True,100,67.042305,1.0,0.86415344,-88.69872,2.0,209.6061294078827,-88.69872129350901,-104.22409,-1.0,720045,100.0
124.36,-4912781000000.0,0.4189424,,74.80002,110.346756,,1.4649998e+20,1.0,-162.50589,-118.80672,5987.175,0.12131191,1.0,0.86689675,-52.159134,100.0,-6393.054,3800,1410789.9,,[0.636 1.197],19.802326,18312.387,1,38,121799830.0,True,100,141389.44,1.0,0.86689675,-87.70587,2.0,213.82698512077332,-87.70587172389031,-118.80672,-1.0,732481,100.0
112.65,-5.8007974e+18,0.4189424,,60.2589,87.98891,,5.0524987e+32,1.0,-138.63684,-85.49117,3869.0176,0.0012373371,1.0,0.8516999,-50.647934,100.0,-4127.085,3900,593924540.0,,[0.397 1.272],15.423452,11630405.0,1,39,33811898000.0,True,100,72764450.0,1.0,0.8516999,-78.37794,2.0,218.0208761692047,-78.37794214591383,-85.49117,-1.0,743746,100.0
127.98,-6.5813e+18,0.4189424,,69.93934,108.216354,,2.8424589e+32,1.0,-160.16762,-100.69995,5390.804,0.118769646,1.0,0.86926115,-51.951263,100.0,-5781.164,4000,24292583000.0,,[0.407 1.147],22.344868,274790200.0,1,40,828696900000.0,True,100,2424375000.0,1.0,0.86926115,-90.22828,2.0,223.0816240310669,-90.22827972069382,-100.69995,-1.0,756544,100.0
120.64,-2.669486e+19,0.4189424,,64.562004,97.939545,,6.9705247e+33,1.0,-149.74393,-84.5344,4577.373,0.13510832,1.0,0.8661729,-51.80438,100.0,-4897.1113,4100,8324623000.0,,[0.457 1.262],20.226715,87059200.0,1,41,62674985000.0,True,100,828119100.0,1.0,0.8661729,-85.181915,2.0,227.94260549545288,-85.18191489040852,-84.5344,-1.0,768608,100.0
114.47,-3.0940171e+19,0.4189424,,73.25244,102.50256,,7.804571e+33,1.0,-153.23737,-92.89044,5723.2305,0.10831273,1.0,0.86059177,-50.734802,100.0,-6073.4546,4200,145189250.0,,[0.426 1.383],18.902658,3180320.8,1,42,11018341000.0,True,100,15836140.0,1.0,0.86059177,-79.98492,2.0,232.0635690689087,-79.98492239430547,-92.89044,-1.0,780055,100.0
117.72,-2615026.5,0.4189424,,47.542137,78.77198,,144012060.0,1.0,-130.02399,-84.647545,2546.3508,0.05453583,1.0,0.8682141,-51.252007,100.0,-2753.1846,4300,2760.661,,[0.412 1.259],16.914373,95.31958,1,43,132912.47,True,100,333.3296,1.0,0.8682141,-82.48184,2.0,236.67825412750244,-82.48184876903892,-84.647545,-1.0,791827,100.0
121.15,-1.1345182e+19,0.4189424,,112.54725,145.93999,,2.5536898e+32,1.0,-197.823,-105.85699,13236.534,0.56461596,1.0,0.8623986,-51.88301,100.0,-13946.484,4400,2302124800.0,,[0.404 1.197],23.86743,25899600.0,1,44,66852585000.0,True,100,229292030.0,1.0,0.8623986,-85.27575,2.0,241.26621055603027,-85.2757599362731,-105.85699,-1.0,803942,100.0
115.85,-1.1043672e+19,0.4189424,,66.02276,96.57243,,1.2619922e+33,1.0,-147.6279,-87.397705,4728.477,0.09069082,1.0,0.85856855,-51.05547,100.0,-5039.3506,4500,1221157600.0,,[0.405 1.322],19.22165,17092198.0,1,45,66741400000.0,True,100,122938850.0,1.0,0.85856855,-81.60513,2.0,246.2051980495453,-81.60513271793724,-87.397705,-1.0,815527,100.0
109.0,-12592855.0,0.4189424,,43.73727,68.43027,,6214158300.0,1.0,-119.817894,-76.48378,2165.998,0.19404529,1.0,0.8643502,-51.387623,100.0,-2322.0876,4600,2917.4858,,[0.426 1.445],15.907511,135.51747,1,46,288285.6,True,100,395.29126,1.0,0.8643502,-76.08062,2.0,250.95759892463684,-76.08061975225806,-76.48378,-1.0,826427,100.0
109.43,-158029600.0,0.4189424,,49.70548,75.2805,,672419550000.0,1.0,-126.32539,-82.91887,2683.761,0.15346499,1.0,0.86375004,-51.044895,100.0,-2872.6653,4700,69131.67,,[0.316 1.385],14.598833,1175.7198,1,47,3125148.5,True,100,7244.9023,1.0,0.86375004,-76.61991,2.0,255.14237880706787,-76.61991302326322,-82.91887,-1.0,837370,100.0
109.53,-3.4940954e+18,0.4189424,,43.933052,70.02774,,4.5691094e+32,1.0,-120.77851,-73.63031,2123.1924,0.013327821,1.0,0.86848974,-50.750774,100.0,-2286.655,4800,492504740.0,,[0.213 1.314],13.895293,7352590.0,1,48,16494674000.0,True,100,49209420.0,1.0,0.86848974,-76.84546,2.0,259.10184025764465,-76.8454575125873,-73.63031,-1.0,848323,100.0
109.89,-2.0883066e+19,0.4189424,,44.580597,70.56124,,1.5833108e+34,1.0,-121.66724,-74.70275,2198.8608,0.08653119,1.0,0.8579154,-51.105995,100.0,-2364.823,4900,722419900.0,,[0.235 1.437],14.540691,9929382.0,1,49,16453016000.0,True,100,74341416.0,1.0,0.8579154,-77.08665,2.0,263.0386323928833,-77.08664341062307,-74.70275,-1.0,859312,100.0
114.33,-3.753239e+19,0.4189424,,47.215878,75.69173,,3.8624353e+34,1.0,-126.83288,-85.066055,2443.4148,0.2551378,1.0,0.86649966,-51.14115,100.0,-2634.3892,5000,804651970.0,,[0.207 1.315],14.63134,23686602.0,1,50,56875598000.0,True,100,102181820.0,1.0,0.86649966,-79.617004,2.0,268.08768010139465,-79.61700287908316,-85.066055,-1.0,870745,100.0
121.79,-2449719.8,0.4189424,,52.780746,88.35205,,79525290.0,1.0,-139.3486,-93.760925,3148.2827,0.062778495,1.0,0.8609661,-50.99655,100.0,-3408.485,5100,3320.7324,,[0.204 1.191],19.0388,89.814255,1,51,129310.21,True,100,354.411,1.0,0.8609661,-86.56786,2.0,272.3432340621948,-86.5678578093648,-93.760925,-1.0,882924,100.0
124.57,-4427175.0,0.4189424,,63.121113,98.96541,,159279780.0,1.0,-150.54051,-82.20285,4325.257,0.024961274,1.0,0.8587961,-51.575104,100.0,-4651.7275,5200,1922.6552,,[0.204 1.128],18.465683,84.288925,1,52,306902.44,True,100,252.29503,1.0,0.8587961,-87.419395,2.0,276.62297654151917,-87.41939743623138,-82.20285,-1.0,895381,100.0
131.75,-13956513.0,0.4189424,,65.40488,98.11813,,1749877400.0,1.0,-158.83972,-101.0533,4711.2363,0.054622438,1.0,0.86220694,-60.721584,100.0,-5032.1426,5300,4436.7373,,[0.195 1.066],20.819197,127.867386,1,53,532539.44,True,100,527.91626,1.0,0.86220694,-93.43485,2.0,280.6784749031067,-93.4348471777141,-101.0533,-1.0,908556,100.0
123.18,-6185081300.0,0.4189424,,69.02029,105.12301,,281543060000000.0,1.0,-156.0252,-97.30397,5172.9277,0.063085295,1.0,0.8636612,-50.9022,100.0,-5541.2886,5400,52534.86,,[0.197 1.129],20.2269,1718.3824,1,54,4252068.5,True,100,6528.6167,1.0,0.8636612,-87.00491,2.0,285.6804337501526,-87.00491713047028,-97.30397,-1.0,920874,100.0
117.51,-4.0342436e+19,0.4189424,,56.65846,88.377594,,2.4010325e+34,1.0,-139.47742,-92.33442,3588.684,0.03028991,1.0,0.8651741,-51.099823,100.0,-3849.0366,5500,17962040000.0,,[0.099 1.207],19.455162,282251800.0,1,55,790682500000.0,True,100,1925459300.0,1.0,0.8651741,-82.818954,2.0,290.3414375782013,-82.81895989701152,-92.33442,-1.0,932625,100.0
113.99,-1.6195088e+16,0.4189424,,48.670963,77.36594,,6.58885e+27,1.0,-128.47063,-74.39711,2652.7173,0.06467056,1.0,0.86352104,-51.10469,100.0,-2852.2327,5600,561009500.0,,[0.138 1.326],16.848001,6030366.5,1,56,5849470500.0,True,100,55834170.0,1.0,0.86352104,-79.79967,2.0,295.0047724246979,-79.79966567456722,-74.39711,-1.0,944024,100.0
105.87,-5466904.0,0.4189424,,58.901405,82.16156,,449959040.0,1.0,-132.88693,-90.8313,3687.0059,0.09796744,1.0,0.8589491,-50.725376,100.0,-3912.022,5700,11099.881,,[0.078 1.436],14.752286,152.55254,1,57,693780.75,True,100,1107.6019,1.0,0.8589491,-73.98553,2.0,299.37095069885254,-73.98552371144295,-90.8313,-1.0,954611,100.0
109.85,-4.5063228e+18,0.4189424,,69.65933,95.76941,,2.1726004e+32,1.0,-146.62814,-79.83511,5095.724,0.005313224,1.0,0.85819656,-50.858734,100.0,-5401.4487,5800,25013280000.0,,[0.077 1.374],15.59809,331783260.0,1,58,316240460000.0,True,100,2605381600.0,1.0,0.85819656,-76.968796,2.0,304.5790684223175,-76.96880227982997,-79.83511,-1.0,965596,100.0
107.8,-574184600000000.0,0.4189424,,38.138805,62.493446,,1.9453943e+25,1.0,-113.17003,-70.18583,1686.7894,0.27633104,1.0,0.86453164,-50.676582,100.0,-1816.9695,5900,962346.75,,[0.076 1.499],15.238806,18378.832,1,59,18223334.0,True,100,99282.25,1.0,0.86453164,-75.03122,2.0,309.21391105651855,-75.0312258452177,-70.18583,-1.0,976376,100.0
106.41,-378707400000.0,0.4189424,,42.456833,65.65507,,6.935181e+18,1.0,-116.5134,-82.13655,2055.2202,0.008913196,1.0,0.8593328,-50.85833,100.0,-2198.9053,6000,29389384.0,,[0.156 1.595],15.894584,383035.84,1,60,313473700.0,True,100,2965144.0,1.0,0.8593328,-74.056564,2.0,313.3643488883972,-74.05656633779407,-82.13655,-1.0,987017,100.0
104.29,-7.351666e+17,0.4189424,,60.613594,82.72594,,1.0385975e+31,1.0,-133.42166,-81.91384,3887.142,0.69852275,1.0,0.86415005,-50.69572,100.0,-4115.2603,6100,106342730.0,,[0.07  1.505],14.599124,1472738.5,1,61,4117002200.0,True,100,10878622.0,1.0,0.86415005,-72.808075,2.0,317.3756654262543,-72.8080687879026,-81.91384,-1.0,997446,100.0
111.55,-17188110000.0,0.4189424,,72.16757,99.95489,,2561085200000000.0,1.0,-150.52043,-79.4338,5527.252,0.030746257,1.0,0.85941076,-50.565544,100.0,-5860.283,6200,5513304.0,,[0.027 1.387],17.863222,56236.54,1,62,334272100.0,True,100,548481.75,1.0,0.85941076,-78.352875,2.0,321.7434000968933,-78.35286887452007,-79.4338,-1.0,1008601,100.0
110.38,-3.496337e+18,0.4189424,,64.28665,91.51362,,1.5686495e+32,1.0,-141.54108,-84.89411,4465.233,0.0144564,1.0,0.85859066,-50.02746,100.0,-4744.39,6300,16579758000.0,,[0.116 1.299],18.233473,166904110.0,1,63,829806150000.0,True,100,1649560000.0,1.0,0.85859066,-77.254425,2.0,326.32658767700195,-77.25442615374922,-84.89411,-1.0,1019639,100.0
113.2,-6.5444664e+17,0.4189424,,42.97675,71.98112,,1.4358749e+31,1.0,-122.17562,-82.1308,2118.5393,0.45663512,1.0,0.86345017,-50.194504,100.0,-2291.248,6400,332017120.0,,[0.09  1.421],16.47842,6920747.0,1,64,7478831600.0,True,100,39924176.0,1.0,0.86345017,-79.19887,2.0,331.0062780380249,-79.19887273147702,-82.1308,-1.0,1030959,100.0
117.54,-26195460.0,0.4189424,,62.799854,94.38274,,7378682000.0,1.0,-144.90698,-96.617134,4304.923,0.034491494,1.0,0.8644197,-50.524246,100.0,-4601.859,6500,4392.682,,[0.045 1.305],19.002693,218.85338,1,65,688819.8,True,100,714.0281,1.0,0.8644197,-82.10714,2.0,335.18873953819275,-82.10713723093271,-96.617134,-1.0,1042713,100.0
115.97,-3.4288818e+19,0.4189424,,54.610016,86.30387,,1.9073323e+34,1.0,-136.32526,-92.57459,3263.4685,0.19414155,1.0,0.86839926,-50.021385,100.0,-3511.746,6600,1054182500.0,,[-0.204  1.332],16.769472,11615795.0,1,66,12508010000.0,True,100,104854890.0,1.0,0.86839926,-81.715256,2.0,339.5299355983734,-81.71524672314524,-92.57459,-1.0,1054310,100.0
107.74,-3708695.0,0.4189424,,38.6951,64.28874,,690701950.0,1.0,-113.618126,-86.44508,1714.0336,0.017316043,1.0,0.865095,-49.32938,100.0,-1851.801,6700,889.4978,,[-0.247  1.449],14.721516,64.21448,1,67,87983.0,True,100,147.05775,1.0,0.865095,-74.923035,2.0,344.1815333366394,-74.92302855104208,-86.44508,-1.0,1065084,100.0
