VarianceInitializer,MinTargetPdf,EpThisIter,Epsilon,EpRewMean,LearnableVariance,OptimizationReturnMin,MeanD2-0,MaxIW,TimeElapsed,EpLenMean,OptimizationReturnMean,EmpiricalD2Arithmetic,InitialReturnMax,ESSRenyiHarmonic,TimestepsSoFar,StdWReturnMean,InitialReturnMin,StdIW,ReturnMeanIW,InitialReturnStd,Weights,OptimizationReturnMax,WReturnMean,MinIW,InitialBound,ESSRenyiArithmetic,MinBehavPdf,EpisodesSoFar,ReturnStepMaxmin,Iteration,DivergenceHarmonic,MeanEntropy,Penalization,MeanIW,InitialReturnMean,Inner Iteration,ReturnStepMax,Bound,EmpiricalD2Harmonic
-1.0,-85.11693,100,2.0,-85.02718014895916,,,1.0,573893000.0,72.90949249267578,120.27,56.07092,1.0,-59.81165,100.0,429947,,-141.0981,69454540.0,34778513000.0,18.513222,[-0.164  1.143],81.28645,3486.6875,0.050068185,-3706.9368,100.0,-85.11693,1500,0.86217296,15,7.090784e+34,0.4189424,True,13365747.0,-85.027176,1,0.86217296,-5.8649217e+19,1.0
-1.0,-93.84163,100,2.0,-95.8475356002152,,,1.0,90635354000.0,76.70911574363708,134.95,73.58298,1.0,-51.215416,100.0,443442,,-169.43051,9016350000.0,5238453400000.0,22.693563,[-0.194  1.022],118.215096,5929.452,0.108225174,-6395.28,100.0,-93.84163,1600,0.86406064,16,1.6764878e+34,0.4189424,True,947201860.0,-95.84754,1,0.86406064,-6.0314933e+19,1.0
-1.0,-80.90079,100,2.0,-85.06072584539652,,,1.0,642572740.0,82.11038661003113,120.16,57.450573,1.0,-50.930744,100.0,455458,,-142.51129,82330780.0,20659760000.0,16.721895,[-0.238  1.139],91.58055,3580.1895,0.22459213,-3859.7556,100.0,-80.90079,1700,0.85755754,17,5.1277572e+35,0.4189424,True,14058130.0,-85.06072,1,0.85755754,-2.0019303e+20,1.0
-1.0,-102.98399,100,2.0,-82.06412720769644,,,1.0,4633703400.0,87.26354932785034,116.38,79.33225,1.0,-50.12672,100.0,467096,,-161.39638,460986600.0,5490710000.0,20.05935,[-0.209  1.261],111.26965,6695.9834,0.15313166,-7108.68,100.0,-102.98399,1800,0.8634521,18,3.925151e+31,0.4189424,True,47398108.0,-82.06413,1,0.8634521,-2.5855945e+18,1.0
-1.0,-75.55042,100,2.0,-75.52557521045208,,,1.0,19066928.0,93.15372848510742,108.34,46.897385,1.0,-49.81662,100.0,477930,,-122.42296,1900395.6,383347840.0,14.933301,[-0.159  1.375],72.60634,2422.368,0.084925525,-2598.0903,100.0,-75.55042,1900,0.86095434,19,4.0492093e+20,0.4189424,True,225969.73,-75.52557,1,0.86095434,-3536388400000.0,1.0
-1.0,-79.930275,100,2.0,-73.04023045688868,,,1.0,583544600.0,100.31902170181274,104.03,65.83474,1.0,-49.041565,100.0,488333,,-138.87497,59174010.0,32625009000.0,15.817215,[-0.235  1.474],89.833405,4584.397,0.10318964,-4853.3965,100.0,-79.930275,2000,0.86333185,20,5.728783e+33,0.4189424,True,7596648.5,-73.04023,1,0.86333185,-2.036037e+19,1.0
-1.0,-68.48468,100,2.0,-71.08455649375915,,,1.0,494.70255,105.58158683776855,101.89,38.65013,1.0,-49.532677,100.0,498522,,-109.73469,101.70466,68343.51,12.271177,[-0.23   1.599],60.20201,1644.4144,0.067770034,-1765.2233,100.0,-68.48468,2100,0.8640846,21,422227680.0,0.4189424,True,45.309418,-71.08456,1,0.8640846,-2550757.0,1.0
-1.0,-73.37281,100,2.0,-69.99514919012785,,,1.0,1235797500.0,111.24523067474365,100.92,40.6759,1.0,-49.67135,100.0,508614,,-110.67105,125027400.0,27058547000.0,13.892668,[-0.236  1.661],60.999702,1847.535,0.6412059,-1971.5665,100.0,-73.37281,2200,0.8634685,22,1.746731e+33,0.4189424,True,17857470.0,-69.99515,1,0.8634685,-5.183788e+18,1.0
-1.0,-71.873764,100,2.0,-71.72131597802043,,,1.0,4595680000.0,117.51310658454895,103.31,48.502094,1.0,-49.966652,100.0,518945,,-120.22341,457182240.0,70176120000.0,12.528669,[-0.251  1.785],70.25676,2509.421,0.09822489,-2673.9526,100.0,-71.873764,2300,0.86413866,23,2.0060519e+31,0.4189424,True,47912964.0,-71.72132,1,0.86413866,-7.369297e+17,1.0
-1.0,-59.54204,100,2.0,-68.39812505885959,,,1.0,477913150.0,122.69849038124084,98.82,33.511257,1.0,-49.79973,100.0,528827,,-101.909386,48740580.0,4520867000.0,11.303361,[-0.281  1.664],52.109657,1250.7705,0.034705304,-1341.2838,100.0,-59.54204,2400,0.85710096,24,1.4341932e+29,0.4189424,True,7080255.5,-68.398125,1,0.85710096,-3.4278286e+16,1.0
-1.0,-82.74548,100,2.0,-72.00318537265062,,,1.0,397211800.0,129.12391901016235,103.27,60.13243,1.0,-49.549206,100.0,539154,,-132.13562,39856444.0,5066912000.0,14.303744,[-0.241  1.782],82.58641,3820.5066,0.64024293,-4047.8545,100.0,-82.74548,2500,0.86826557,25,6.327932e+29,0.4189424,True,4939339.5,-72.00318,1,0.86826557,-1.8085346e+17,1.0
-1.0,-75.01323,100,2.0,-67.81060840442777,,,1.0,9112030000.0,134.98439693450928,97.78,40.761658,1.0,-49.99369,100.0,548932,,-108.572266,906439040.0,62653290000.0,13.874838,[-0.273  1.903],58.578575,1854.0238,0.25450012,-1968.4037,100.0,-75.01323,2600,0.8544849,26,1.353204e+33,0.4189424,True,94133016.0,-67.81061,1,0.8544849,-4.2076347e+18,1.0
-1.0,-73.85605,100,2.0,-68.94150754705072,,,1.0,688386600.0,140.86384749412537,99.56,43.20286,1.0,-50.093353,100.0,558888,,-112.14437,68504840.0,5621523000.0,12.400104,[-0.283  2.028],62.051018,2020.2499,2.1345482,-2148.5918,100.0,-73.85605,2700,0.8686092,27,1.3638728e+30,0.4189424,True,7424310.0,-68.94151,1,0.8686092,-1.4988683e+17,1.0
-1.0,-68.466705,100,2.0,-65.45024109095336,,,1.0,1526856300.0,147.21981239318848,94.71,32.985275,1.0,-49.71962,100.0,568359,,-98.43552,151913820.0,10808063000.0,12.570824,[-0.049  2.115],48.715897,1246.054,0.060170244,-1325.16,100.0,-68.466705,2800,0.86299616,28,1.7234407e+23,0.4189424,True,15334161.0,-65.45024,1,0.86299616,-32851955000000.0,1.0
-1.0,-58.166462,100,2.0,-64.6181495192647,,,1.0,1030579900.0,153.94172883033752,94.11,25.836266,1.0,-41.024162,100.0,577770,,-90.454414,122224616.0,16209458000.0,10.680337,[0.021 2.218],49.430252,781.58215,0.8903486,-863.02545,100.0,-58.166462,2900,0.8633448,29,6.688028e+33,0.4189424,True,18516930.0,-64.61815,1,0.8633448,-6.660602e+18,1.0
-1.0,-60.5813,100,2.0,-63.29774480134249,,,1.0,6157577.5,160.9830379486084,92.12,30.959631,1.0,-50.35329,100.0,586982,,-94.25738,1043875.0,199279120.0,10.133413,[0.028 2.343],43.904087,1061.1849,1.5661551,-1125.4353,100.0,-60.5813,3000,0.86329556,30,2.2886423e+25,0.4189424,True,262298.62,-63.297745,1,0.86329556,-307381600000000.0,1.0
-1.0,-66.87468,100,2.0,-64.5630672647059,,,1.0,1926.3845,167.70670866966248,94.42,26.596096,1.0,-40.798553,100.0,596424,,-91.159164,211.23532,37416.527,10.603198,[0.081 2.457],50.36061,819.78015,0.04635004,-904.3182,100.0,-66.87468,3100,0.8593527,31,93128184.0,0.4189424,True,63.663883,-64.563065,1,0.8593527,-853249.56,1.0
-1.0,-66.71194,100,2.0,-63.81077893152833,,,1.0,55452188.0,176.2284233570099,93.13,26.591236,1.0,-39.80537,100.0,605737,,-90.402016,6200954.5,641354750.0,9.734657,[0.076 2.519],50.596645,801.8574,0.063011706,-887.1882,100.0,-66.71194,3200,0.8679868,32,1.5396765e+33,0.4189424,True,1245378.4,-63.810776,1,0.8679868,-3.3483972e+18,1.0
-1.0,-63.040455,100,2.0,-64.94297838389873,,,1.0,1712178000.0,185.05768465995789,94.45,21.858374,1.0,-50.170338,100.0,615182,,-86.80135,170332800.0,3856602000.0,9.581885,[0.084 2.644],36.631016,569.60114,0.00025490296,-614.3277,100.0,-63.040455,3300,0.856964,33,1.7432854e+31,0.4189424,True,17691316.0,-64.942986,1,0.856964,-1.8675013e+17,1.0
-1.0,-60.33636,100,2.0,-62.969439456164835,,,1.0,480362340.0,194.12534713745117,91.84,25.045238,1.0,-40.226173,100.0,624366,,-88.01468,49496304.0,2028039600.0,10.006077,[0.057 2.522],47.788506,727.38556,0.10997225,-803.5082,100.0,-60.33636,3400,0.85578746,34,1.6834093e+30,0.4189424,True,7801043.0,-62.969437,1,0.85578746,-9.876896e+16,1.0
-1.0,-61.53068,100,2.0,-63.95129902943969,,,1.0,253740300.0,202.34845614433289,93.66,24.127588,1.0,-39.860825,100.0,633732,,-88.07889,26882494.0,767870340.0,9.621132,[0.073 2.646],48.218063,674.7067,0.07128132,-752.20447,100.0,-61.53068,3500,0.86040205,35,1.1278884e+27,0.4189424,True,4321867.0,-63.951298,1,0.86040205,-2602744300000000.0,1.0
-1.0,-61.3193,100,2.0,-63.804685872644185,,,1.0,16128892.0,210.69425916671753,93.16,22.505396,1.0,-40.39525,100.0,643048,,-86.31008,2068950.1,225118530.0,9.747555,[0.021 2.532],45.914833,601.5076,0.0041227858,-671.7787,100.0,-61.3193,3600,0.8540199,36,8.092427e+22,0.4189424,True,368209.16,-63.804684,1,0.8540199,-19990747000000.0,1.0
-1.0,-66.14112,100,2.0,-63.099271579831836,,,1.0,18298614.0,220.44459080696106,91.85,28.03888,1.0,-40.626194,100.0,652233,,-91.13815,2558758.5,349307650.0,9.438153,[0.087 2.638],50.51196,875.2576,0.08860079,-960.3034,100.0,-66.14112,3700,0.8600652,37,1.2163784e+25,0.4189424,True,455807.72,-63.099274,1,0.8600652,-296621100000000.0,1.0
-1.0,-65.22712,100,2.0,-62.24982953995466,,,1.0,660184000.0,232.33991742134094,89.82,24.591799,1.0,-50.22779,100.0,661215,,-86.84163,67090070.0,2227740000.0,9.97653,[0.041 2.755],36.61384,704.2878,0.02782444,-748.9721,100.0,-65.22712,3800,0.8616221,38,3.84844e+30,0.4189424,True,9266020.0,-62.24983,1,0.8616221,-8.766205e+16,1.0
-1.0,-56.869217,100,2.0,-63.17563506662846,,,1.0,1709032800.0,244.63102555274963,92.78,25.785738,1.0,-50.43168,100.0,670493,,-88.96137,170235250.0,4180363000.0,9.732175,[0.028 2.879],38.529694,759.6194,0.043704912,-809.10187,100.0,-56.869217,3900,0.8563495,39,1.1932958e+33,0.4189424,True,18774728.0,-63.17563,1,0.8563495,-1.7094008e+18,1.0
-1.0,-69.64296,100,2.0,-62.852119514644144,,,1.0,97265.44,254.58492517471313,91.4,32.894135,1.0,-49.994915,100.0,679633,,-95.746254,11487.017,2361007.2,10.93667,[0.056 2.757],45.75134,1201.6348,0.041312262,-1271.4052,100.0,-69.64296,4000,0.86036354,40,2.5604793e+17,0.4189424,True,2428.0286,-62.852116,1,0.86036354,-35308237000.0,1.0
-1.0,-70.53944,100,2.0,-63.47398771539331,,,1.0,68696023000.0,267.44343423843384,92.2,36.99902,1.0,-40.1616,100.0,688853,,-100.47301,6841950000.0,446615400000.0,10.669627,[-0.189  2.705],60.31141,1482.7684,0.12957108,-1604.013,100.0,-70.53944,4100,0.8573065,41,1.2548243e+30,0.4189424,True,734072500.0,-63.473995,1,0.8573065,-1.3582214e+17,1.0
-1.0,-64.72232,100,2.0,-63.07398924857378,,,1.0,4950811.0,277.9169750213623,91.48,31.72922,1.0,-41.006477,100.0,698001,,-94.80321,682986.94,109332664.0,10.999958,[-0.196  2.83 ],53.79673,1127.7424,0.0046250047,-1224.2084,100.0,-64.72232,4200,0.8576793,42,2.8976127e+28,0.4189424,True,152627.42,-63.07399,1,0.8576793,-1.6421419e+16,1.0
-1.0,-65.963394,100,2.0,-62.094575122892856,,,1.0,209717120.0,290.2964804172516,90.27,28.846714,1.0,-49.53223,100.0,707028,,-90.94129,20873574.0,166349650.0,9.798099,[-0.217  2.953],41.40906,928.13574,0.089344084,-985.2904,100.0,-65.963394,4300,0.85894525,43,1.6666597e+29,0.4189424,True,2472122.0,-62.094574,1,0.85894525,-2.3334203e+16,1.0
-1.0,-65.84908,100,2.0,-61.690448204129936,,,1.0,15482156.0,304.0161967277527,90.44,21.23869,1.0,-40.634857,100.0,716072,,-82.92914,2107606.0,64008140.0,8.4740715,[-0.229  3.077],42.29428,522.8918,0.10337087,-582.5157,100.0,-65.84908,4400,0.8621601,44,5.893821e+29,0.4189424,True,461670.38,-61.69045,1,0.8621601,-4.577628e+16,1.0
-1.0,-60.182518,100,2.0,-62.61640949830413,,,1.0,173808560.0,315.1145715713501,91.21,35.743546,1.0,-50.602085,100.0,725193,,-98.359955,18522432.0,2075720000.0,9.014079,[-0.203  2.955],47.75787,1358.8546,1.5744455,-1434.8785,100.0,-60.182518,4500,0.8605192,45,2.24103e+29,0.4189424,True,2882320.8,-62.616405,1,0.8605192,-3.5990885e+16,1.0
-1.0,-77.987114,100,2.0,-62.028658133000135,,,1.0,288498850.0,328.2664828300476,90.41,34.747562,1.0,-39.326954,100.0,734234,,-96.77622,28700842.0,645481600.0,9.42172,[-0.174  3.077],57.44927,1296.162,0.09024495,-1406.1718,100.0,-77.987114,4600,0.86308587,46,2.9214127e+26,0.4189424,True,2938831.8,-62.028656,1,0.86308587,-1880374500000000.0,1.0
-1.0,-63.215694,100,2.0,-62.498131413310766,,,1.0,145723020.0,339.77335000038147,90.96,34.17578,1.0,-50.20011,100.0,743330,,-96.67391,14512432.0,1267377900.0,8.739348,[-0.242  2.972],46.4738,1244.3602,0.12322229,-1316.3511,100.0,-63.215694,4700,0.85560465,47,4.966556e+29,0.4189424,True,1727466.5,-62.498135,1,0.85560465,-5.073677e+16,1.0
-1.0,-56.43756,100,2.0,-60.83394471719861,,,1.0,14475063.0,350.18770718574524,88.96,25.444798,1.0,-39.900955,100.0,752226,,-86.27874,1444178.4,123561120.0,9.110669,[-0.212  2.85 ],46.377785,730.4419,0.013873657,-802.13574,100.0,-56.43756,4800,0.8645301,48,1.9438243e+25,0.4189424,True,201357.16,-60.833946,1,0.8645301,-316102140000000.0,1.0
-1.0,-59.68828,100,2.0,-63.00770871981978,,,1.0,125791816.0,360.6380264759064,91.99,25.465826,1.0,-49.6633,100.0,761425,,-88.47353,21555332.0,1249397000.0,9.587005,[-0.149  2.958],38.810234,740.4189,0.117714174,-790.624,100.0,-59.68828,4900,0.8616242,49,3.4243422e+30,0.4189424,True,5004716.0,-63.007706,1,0.8616242,-9.2909446e+16,1.0
-1.0,-61.624306,100,2.0,-63.196794954240325,,,1.0,92910.51,371.07210206985474,92.2,28.844387,1.0,-49.2515,100.0,770645,,-92.04118,9268.115,588530.6,9.701762,[-0.164  2.834],42.789684,926.1229,0.02554259,-987.15295,100.0,-61.624306,5000,0.8633206,50,468804240000.0,0.4189424,True,1314.244,-63.1968,1,0.8633206,-42376636.0,1.0
-1.0,-68.46161,100,2.0,-61.841475868672134,,,1.0,37596.85,382.4672441482544,90.39,31.763687,1.0,-40.086235,100.0,779684,,-93.60516,3904.2861,288910.12,9.489985,[-0.061  2.905],53.51893,1098.9916,0.035492282,-1194.463,100.0,-68.46161,5100,0.85906804,51,1060200100.0,0.4189424,True,595.0067,-61.84148,1,0.85906804,-3397672.0,1.0
-1.0,-61.756638,100,2.0,-61.22041531547904,,,1.0,8780775.0,393.7321491241455,89.27,29.367212,1.0,-49.31091,100.0,788611,,-90.58762,1378178.1,129822460.0,9.739734,[-0.311  2.91 ],41.276714,957.2953,0.10622102,-1014.0852,100.0,-61.756638,5200,0.86162126,52,2.5999652e+29,0.4189424,True,379499.16,-61.22042,1,0.86162126,-2.8958278e+16,1.0
-1.0,-64.66774,100,2.0,-60.236683650910855,,,1.0,2020385.4,407.51976585388184,87.48,27.720806,1.0,-39.71427,100.0,797359,,-87.95749,292304.88,34417140.0,9.533522,[-0.329  3.034],48.243217,859.331,0.097749434,-936.90814,100.0,-64.66774,5300,0.8645865,53,5.9093528e+22,0.4189424,True,74313.58,-60.236683,1,0.8645865,-18859145000000.0,1.0
-1.0,-58.11509,100,2.0,-61.44000472858548,,,1.0,46441044.0,418.8281843662262,89.02,25.77987,1.0,-49.82637,100.0,806261,,-87.21987,4743957.5,54723510.0,9.858917,[-0.39   3.143],37.3935,761.7998,0.31645274,-808.407,100.0,-58.11509,5400,0.8634249,54,2.9179984e+27,0.4189424,True,603240.6,-61.440006,1,0.8634249,-2517755500000000.0,1.0
-1.0,-72.73226,100,2.0,-61.86912907376885,,,1.0,1959535400.0,430.4994933605194,90.14,24.335796,1.0,-40.574295,100.0,815275,,-86.204926,195826110.0,14121760000.0,9.434901,[-0.336  3.031],45.63063,681.24835,0.071229674,-750.6511,100.0,-72.73226,5500,0.85866886,55,1.0690501e+31,0.4189424,True,22493304.0,-61.869125,1,0.85866886,-2.269294e+17,1.0
-1.0,-73.583405,100,2.0,-61.46293839752674,,,1.0,101564340.0,441.52243971824646,89.98,23.44514,1.0,-40.260162,100.0,824273,,-84.90808,10713432.0,683650700.0,9.476312,[-0.338  3.156],44.64792,639.47516,0.1811159,-705.92035,100.0,-73.583405,5600,0.8635646,56,1.4729466e+36,0.4189424,True,1952927.5,-61.462936,1,0.8635646,-8.064449e+19,1.0
-1.0,-60.021805,100,2.0,-62.33005586236715,,,1.0,25145744.0,455.2091610431671,91.2,24.722153,1.0,-49.574257,100.0,833393,,-87.05221,3181218.0,213233860.0,8.988219,[-0.352  3.032],37.47795,691.97296,0.004942806,-738.7912,100.0,-60.021805,5700,0.8641578,57,4.006117e+26,0.4189424,True,651451.5,-62.33006,1,0.8641578,-937113750000000.0,1.0
-1.0,-62.121292,100,2.0,-61.087950566858055,,,1.0,1600660.4,469.4333429336548,89.32,22.86907,1.0,-40.10875,100.0,842325,,-83.95702,165031.5,10443938.0,9.235026,[-0.578  3.139],43.848274,608.28015,0.069856234,-672.3669,100.0,-62.121292,5800,0.86141384,58,9.153757e+17,0.4189424,True,23450.768,-61.087948,1,0.86141384,-61327802000.0,1.0
-1.0,-55.36102,100,2.0,-60.097591425478456,,,1.0,6776.219,480.23725748062134,87.35,35.412907,1.0,-49.78176,100.0,851060,,-95.5105,889.4521,240385.12,8.871434,[-0.495  3.046],45.728737,1332.7762,0.04919352,-1402.4777,100.0,-55.36102,5900,0.8634783,59,1170520300000.0,0.4189424,True,240.31905,-60.09759,1,0.8634783,-75653464.0,1.0
-1.0,-66.21051,100,2.0,-61.788324957191946,,,1.0,23279925000.0,490.96355843544006,90.33,24.576033,1.0,-49.476776,100.0,860093,,-86.36436,2774695700.0,93996470000.0,9.042447,[-0.251  2.99 ],36.88758,685.7472,0.20317549,-731.1018,100.0,-66.21051,6000,0.8601766,60,2.9725364e+27,0.4189424,True,389336960.0,-61.788326,1,0.8601766,-2472971800000000.0,1.0
-1.0,-61.52123,100,2.0,-60.57637532472611,,,1.0,42845556.0,501.9562609195709,88.4,32.204937,1.0,-49.984787,100.0,868933,,-92.78131,4840588.0,710649200.0,9.650212,[-0.201  3.104],42.796524,1130.2844,0.063088186,-1191.3336,100.0,-61.52123,6100,0.854175,61,7.885898e+31,0.4189424,True,923047.25,-60.57637,1,0.854175,-5.4215235e+17,1.0
-1.0,-61.85104,100,2.0,-62.40575458407402,,,1.0,7800970.0,513.3666455745697,91.15,24.210203,1.0,-40.58067,100.0,878048,,-86.61596,808045.9,25203420.0,9.026302,[-0.227  2.982],46.03529,667.6081,0.1702673,-738.24615,100.0,-61.85104,6200,0.8631399,62,5.1349892e+25,0.4189424,True,126502.9,-62.405758,1,0.8631399,-506209480000000.0,1.0
-1.0,-62.446346,100,2.0,-64.1544617126882,,,1.0,3322617900.0,525.7485153675079,94.03,34.083344,1.0,-39.857502,100.0,887451,,-98.23781,334459620.0,11210863000.0,10.38124,[-0.281  3.095],58.380306,1269.4446,0.26640877,-1383.0481,100.0,-62.446346,6300,0.8687712,63,8.50047e+31,0.4189424,True,42505724.0,-64.154465,1,0.8687712,-1.0474492e+18,1.0
-1.0,-57.242702,100,2.0,-61.23081815510988,,,1.0,226998880.0,536.7191395759583,89.3,24.20058,1.0,-50.17597,100.0,896381,,-85.4314,31007206.0,827022800.0,8.097576,[-0.286  3.22 ],35.25543,651.2387,0.14958094,-692.66876,100.0,-57.242702,6400,0.8602375,64,9.241549e+28,0.4189424,True,4643304.0,-61.23082,1,0.8602375,-1.2595144e+16,1.0
-1.0,-62.039036,100,2.0,-62.6996115270257,,,1.0,3515.349,549.9314274787903,91.6,40.323887,1.0,-40.434036,100.0,905541,,-103.0235,425.0138,181327.48,10.729395,[-0.255  3.341],62.589462,1741.1357,0.011385461,-1871.7115,100.0,-62.039036,6500,0.86019564,65,332255140.0,0.4189424,True,129.58185,-62.699608,1,0.86019564,-2561547.2,1.0
-1.0,-74.98328,100,2.0,-60.880974877178666,,,1.0,18757966000.0,563.1370222568512,88.47,36.10618,1.0,-49.696842,100.0,914388,,-96.98715,2001876000.0,230986150000.0,8.905835,[-0.15   3.274],47.29031,1382.97,0.11561895,-1457.5117,100.0,-74.98328,6600,0.8611971,66,8.293235e+29,0.4189424,True,268756860.0,-60.88097,1,0.8611971,-6.788698e+16,1.0
-1.0,-79.53969,100,2.0,-60.187358649671076,,,1.0,54243324.0,574.2744855880737,87.87,23.986486,1.0,-39.947334,100.0,923175,,-84.17384,6524840.5,374454660.0,8.451832,[-0.148  3.399],44.22651,646.7849,0.11307083,-711.9823,100.0,-79.53969,6700,0.8608142,67,2.6332314e+30,0.4189424,True,1304703.0,-60.18736,1,0.8608142,-1.058007e+17,1.0
