Weights,MinIW,LearnableVariance,InitialReturnMax,InitialBound,ReturnStepMaxmin,MaxIW,EpRewMean,MeanEntropy,ESSRenyi,StdIW,ReturnMeanIW,Iteration,MaxIWNorm,InitialReturnMean,StdIWNorm,MeanIW,Bound,MeanIWNorm,J_sample_variance,MinIWNorm,ESSClassic,TimestepsSoFar,InitialReturnStd,TimeElapsed,InitialReturnMin,OptimizationReturnMean,VarianceInit,EpThisIter,EpLenMean,ReturnStepMax,OptimizationReturnMax,EpisodesSoFar,OptimizationReturnMin,EmpiricalD2
[0.508 0.547],0.0015433481,,-140.89856,-270.327,0.8615775,4.604485,-257.44816060334443,0.4189424,7.0538316,0.9737834,-178.4552,26,0.04604485,-257.44815,0.009737834,0.7763765,-226.94656,0.007763766,122718.32,1.5433481e-05,38.862328,1257898,65.60195,1716.293442249298,-386.36526,128.9171,-1.0,100,356.66,0.8615775,245.4667,2600,,14.176692
[0.482 0.574],0.0010054635,,-109.10496,-236.595,0.8635454,6.320865,-225.0905162756145,0.4189424,12.864283,1.0780395,-162.80943,27,0.06320865,-225.09052,0.010780395,0.7591423,-194.88498,0.007591422,93112.46,1.0054635e-05,33.14974,1289260,49.193604,1763.5335462093353,-345.13437,120.043846,-1.0,100,313.62,0.8635454,236.02942,2700,,7.773461
[0.531 0.595],0.01261146,,-98.16793,-219.29546,0.85881543,3.9561303,-206.40914229139685,0.4189424,9.519102,0.7604277,-118.56193,28,0.0395613,-206.40913,0.0076042768,0.6133294,-160.3287,0.0061332937,81387.766,0.0001261146,39.413643,1317790,50.02344,1805.1124248504639,-386.5897,180.18054,-1.0,100,285.3,0.85881543,288.42175,2800,,10.505193
[0.505 0.624],0.7529369,,-87.036255,-197.15775,0.85789084,1.3005301,-185.61600897178053,0.4189424,99.09881,0.10649724,-185.21176,29,0.0130053,-185.61601,0.0010649724,1.0062385,-196.80586,0.010062384,126372.97,0.0075293686,98.89225,1343501,54.2625,1842.2079675197601,-346.25226,160.63626,-1.0,100,257.11,0.85789084,259.216,2900,,1.0090939
[0.502 0.626],0.018451229,,-108.191154,-195.28365,0.8546817,6.0948234,-183.64965846523643,0.4189424,20.896973,1.1459227,-144.87927,30,0.060948234,-183.64964,0.011459226,0.87896264,-170.32925,0.008789626,148878.92,0.00018451229,37.04129,1369044,48.3562,1880.2104675769806,-349.02,165.37033,-1.0,100,255.43,0.8546817,240.82883,3000,,4.7853823
[0.51  0.651],0.4389538,,-96.63609,-178.17271,0.8622477,3.3220882,-167.51003480747343,0.4189424,90.01669,0.37973866,-161.73192,31,0.033220883,-167.51004,0.0037973865,0.97892433,-172.97035,0.009789243,106268.94,0.004389538,86.92045,1392226,45.815475,1912.4657235145569,-319.88123,152.37119,-1.0,100,231.82,0.8622477,223.24513,3100,,1.110905
[0.495 0.658],0.0028711637,,-97.20952,-169.12561,0.8608003,3.9371154,-159.75073941230775,0.4189424,6.910651,0.78602237,-90.35971,32,0.039371155,-159.75075,0.007860223,0.5606158,-126.02176,0.0056061577,34065.848,2.8711636e-05,33.71773,1414441,44.483807,1937.4247596263885,-281.2464,121.49567,-1.0,100,222.15,0.8608003,184.03688,3200,,14.470416
[0.625 0.657],0.0028385094,,-96.84529,-178.78345,0.86409914,6.942323,-167.4171578337252,0.4189424,11.246065,1.0534085,-116.90736,33,0.06942323,-167.41714,0.010534084,0.7977415,-150.801,0.007977415,125168.195,2.8385093e-05,36.44727,1437645,46.491676,1965.2316272258759,-340.9886,173.57144,-1.0,100,232.04,0.86409914,244.1433,3300,,8.891999
[0.614 0.689],0.36108154,,-76.548836,-164.61102,0.8653819,2.2014806,-153.3757903340459,0.4189424,84.05984,0.39358762,-148.96484,34,0.022014806,-153.3758,0.0039358763,0.97274077,-161.21913,0.009727406,116036.9,0.0036108154,85.931694,1458930,39.1296,1997.8450119495392,-337.05707,183.68127,-1.0,100,212.85,0.8653819,260.50824,3400,,1.1896287
[0.582 0.694],0.013880533,,-84.08124,-159.05418,0.8557936,8.171903,-150.42925144135953,0.4189424,7.0872087,0.938945,-88.38036,35,0.081719026,-150.42926,0.00938945,0.5648401,-120.77837,0.0056484,36805.76,0.00013880534,26.572363,1479895,39.096493,2029.9074108600616,-258.7481,108.318855,-1.0,100,209.65,0.8557936,174.66687,3500,,14.109927
[0.595 0.658],0.020411314,,-97.70706,-183.25114,0.86154956,5.764408,-172.1449552078545,0.4189424,22.851305,1.094545,-132.17902,36,0.05764408,-172.14494,0.01094545,0.8678856,-155.41222,0.008678856,132809.36,0.00020411314,38.60212,1503738,49.41246,2057.999415397644,-333.18536,161.0404,-1.0,100,238.43,0.86154956,235.4783,3600,,4.3761177
[0.56  0.684],0.031279474,,-85.079384,-168.63493,0.85651886,4.8938274,-157.408497928977,0.4189424,40.18976,0.8212011,-117.23406,37,0.048938274,-157.40851,0.00821201,0.7845563,-134.94266,0.007845563,97446.8,0.00031279473,47.71911,1525661,44.200714,2088.1236510276794,-336.79315,179.38464,-1.0,100,219.23,0.85651886,251.71378,3700,,2.4881961
[0.495 0.698],0.009253887,,-76.427536,-156.72722,0.8608975,6.8200874,-147.1042289274931,0.4189424,18.410711,1.2092224,-119.30287,38,0.06820087,-147.10423,0.012092222,0.8651872,-141.73007,0.008651871,106162.14,9.2538874e-05,33.85923,1546143,38.27162,2112.1880230903625,-288.68985,141.58562,-1.0,100,204.82,0.8608975,212.26231,3800,,5.4316206
[0.52  0.726],0.0007274325,,-73.79614,-138.48051,0.8606868,5.7868924,-131.57375211596488,0.4189424,5.0817738,0.92406195,-80.474106,39,0.057868924,-131.57375,0.009240619,0.581103,-111.112595,0.00581103,18965.107,7.2743246e-06,28.339111,1564581,30.516066,2133.3962450027466,-207.20308,75.629326,-1.0,100,184.38,0.8606868,133.40694,3900,,19.67817
[0.572 0.686],0.009396208,,-85.739456,-160.96298,0.85656214,7.0612698,-151.91449922144412,0.4189424,7.3785157,0.94251746,-100.46408,40,0.0706127,-151.91449,0.009425174,0.6385668,-133.77542,0.0063856672,39194.906,9.396208e-05,31.460953,1585700,36.785667,2164.509288549423,-271.455,119.54049,-1.0,100,211.19,0.85656214,185.71553,4000,,13.552861
[0.656 0.656],0.689875,,-96.86978,-174.17725,0.85729134,1.3724687,-161.21556828781962,0.4189424,97.911674,0.14758019,-160.7541,41,0.013724687,-161.21558,0.001475802,1.0022588,-173.85329,0.010022586,156683.89,0.00689875,97.87783,1608325,44.87592,2194.9502170085907,-388.85062,227.63504,-1.0,100,226.25,0.85729134,291.98083,4100,,1.0213287
[0.663 0.658],0.0045581013,,-88.84318,-170.57066,0.85943973,5.3109145,-161.39514410570263,0.4189424,5.4966073,0.7823934,-87.31029,42,0.053109143,-161.39514,0.007823934,0.50242555,-126.44684,0.0050242557,26543.398,4.558101e-05,29.19731,1630815,40.570263,2224.435017824173,-275.26508,113.869934,-1.0,100,224.9,0.85943973,186.4219,4200,,18.19304
[0.649 0.622],0.083001755,,-98.49037,-193.3865,0.8599796,5.223952,-182.76770783290266,0.4189424,47.865677,0.87186617,-166.98311,43,0.05223952,-182.7677,0.008718661,0.9391052,-182.33151,0.009391053,106572.555,0.00083001755,53.707756,1656165,47.725616,2260.6173253059387,-318.56378,135.79608,-1.0,100,253.5,0.8599796,220.07341,4300,,2.0891798
[0.662 0.64 ],0.03998763,,-89.502014,-180.21455,0.8641889,12.680326,-170.56483564674855,0.4189424,47.9171,1.3503635,-151.06064,44,0.12680326,-170.56485,0.013503634,0.97869945,-165.00084,0.009786994,146345.47,0.0003998763,34.438602,1680009,37.74699,2288.5158262252808,-289.49146,118.92662,-1.0,100,238.44,0.8641889,199.98944,4400,,2.0869377
[0.669 0.658],0.017330384,,-98.57361,-167.66809,0.86297345,13.449377,-157.62859140619636,0.4189424,11.682197,1.545205,-116.178185,45,0.13449377,-157.6286,0.015452051,0.7463114,-145.55124,0.0074631143,112385.13,0.00017330384,18.915073,1702089,38.894657,2322.5082881450653,-301.18445,143.55586,-1.0,100,220.8,0.86297345,202.61084,4500,,8.560034
[0.679 0.626],0.007994897,,-97.59353,-191.60747,0.8554466,4.6087255,-180.48410281941295,0.4189424,12.850278,0.9042752,-116.80743,46,0.046087254,-180.4841,0.009042751,0.69982916,-147.83736,0.0069982926,83226.28,7.9948964e-05,37.458546,1727153,42.70506,2357.727070569992,-333.70157,153.21747,-1.0,100,250.64,0.8554466,236.10803,4600,,7.781933
[0.782 0.633],0.010954033,,-98.46491,-186.34518,0.8632339,5.8052964,-176.6964536754787,0.4189424,7.415069,0.94503385,-114.489006,47,0.058052965,-176.69644,0.009450338,0.6613337,-149.92235,0.006613336,51160.938,0.00010954033,32.87323,1751999,43.710316,2393.835192680359,-289.46164,112.7652,-1.0,100,248.46,0.8632339,190.99673,4700,,13.486051
[0.896 0.625],0.044806547,,-109.51425,-204.7317,0.85847163,5.9539833,-192.21427484691142,0.4189424,46.69584,1.072202,-153.17906,48,0.059539832,-192.21428,0.01072202,0.8910974,-171.49701,0.008910974,176536.05,0.00044806546,40.85333,1778950,48.96422,2426.289565563202,-375.5234,183.30914,-1.0,100,269.51,0.85847163,266.00916,4800,,2.1415184
[0.881 0.642],0.008015784,,-88.39345,-187.2953,0.8652649,9.106984,-174.8584683126211,0.4189424,12.130899,1.1602129,-124.26117,49,0.09106984,-174.85846,0.01160213,0.6375773,-159.96902,0.0063757724,94269.59,8.015784e-05,23.1944,1803252,47.631,2457.1289937496185,-373.1053,198.24681,-1.0,100,243.02,0.8652649,284.71185,4900,,8.243412
[0.844 0.614],0.010563273,,-99.316284,-204.03033,0.862483,4.3496637,-190.7321472477913,0.4189424,11.234343,0.8756248,-138.27594,50,0.043496635,-190.73215,0.008756247,0.8025431,-177.95102,0.008025431,151535.25,0.00010563273,45.6534,1829773,57.398445,2496.3957302570343,-398.94492,208.21277,-1.0,100,265.21,0.862483,299.62863,5000,,8.901278
[0.814 0.644],0.13278331,,-109.33489,-181.12744,0.8598298,5.7139874,-170.111555428952,0.4189424,56.467484,0.8255445,-160.61385,51,0.057139874,-170.11156,0.0082554445,0.96504164,-175.27335,0.009650417,122853.7,0.001327833,57.74358,1853523,37.06811,2530.8611402511597,-330.47592,160.36436,-1.0,100,237.5,0.8598298,221.14102,5100,,1.7709306
[0.818 0.66 ],0.007611971,,-87.918625,-169.79884,0.8579063,3.4912353,-160.40955542355775,0.4189424,7.8916364,0.7002379,-80.119095,52,0.03491235,-160.40958,0.0070023793,0.49708158,-113.54238,0.004970815,27509.033,7.611971e-05,33.507225,1875963,41.679005,2559.0608098506927,-281.67865,121.26909,-1.0,100,224.4,0.8579063,193.76003,5200,,12.671643
[0.809 0.626],0.008613832,,-111.35588,-200.46877,0.8583237,6.2297306,-189.83063353657724,0.4189424,13.866865,1.1123585,-155.11827,53,0.062297303,-189.83063,0.011123584,0.85495436,-183.68605,0.008549543,100643.18,8.613832e-05,37.136173,1902373,47.098164,2591.3460521698,-319.14417,129.31352,-1.0,100,264.1,0.8583237,207.78828,5300,,7.2114353
[0.815 0.655],0.008594836,,-98.42369,-178.10324,0.86454666,6.5414186,-168.14170570746063,0.4189424,8.568151,1.1637851,-118.4064,54,0.06541418,-168.1417,0.011637851,0.6880444,-152.43803,0.0068804445,66264.76,8.594836e-05,25.900257,1925855,40.369675,2627.0346059799194,-298.84607,130.70436,-1.0,100,234.82,0.86454666,200.42238,5400,,11.671129
[0.899 0.628],0.01351232,,-108.8678,-190.21341,0.85814524,4.3144736,-178.88854341223836,0.4189424,14.331529,0.81285036,-119.19868,55,0.043144736,-178.88853,0.008128503,0.64407164,-149.11353,0.006440716,63097.223,0.00013512319,38.56881,1951049,42.743725,2665.0315840244293,-339.74603,160.8575,-1.0,100,251.94,0.85814524,230.87823,5500,,6.9776225
[0.81  0.617],0.08777596,,-109.53525,-206.14148,0.85819584,6.669511,-194.91806113496423,0.4189424,47.53836,1.0565999,-173.80057,56,0.06669511,-194.91806,0.010565999,0.9639029,-190.07866,0.0096390275,146128.23,0.0008777596,45.421818,1978306,45.815403,2699.8814539909363,-336.70273,141.78467,-1.0,100,272.57,0.85819584,227.16748,5600,,2.1035643
[0.802 0.634],0.0076613305,,-98.27012,-193.83601,0.86240196,7.7536626,-182.84247430428863,0.4189424,10.649723,1.1571217,-135.23978,57,0.07753663,-182.84248,0.011571216,0.8180379,-168.9273,0.008180379,128965.69,7.66133e-05,33.324066,2003757,48.476765,2734.388703107834,-329.80682,146.96434,-1.0,100,254.51,0.86240196,231.53671,5700,,9.389915
[0.795 0.665],0.031656623,,-87.159775,-174.58595,0.86330634,10.142169,-164.5313544818759,0.4189424,29.724476,1.2044702,-146.15926,58,0.101421684,-164.53134,0.012044701,0.8396236,-164.60127,0.008396234,81601.414,0.00031656623,32.70225,2026611,36.487755,2764.319322347641,-301.63846,137.10712,-1.0,100,228.54,0.86330634,214.47868,5800,,3.3642309
[0.782 0.641],0.43558645,,-98.4167,-183.34665,0.8590121,3.760835,-173.30742475539446,0.4189424,88.946304,0.40445387,-170.3061,59,0.037608348,-173.30742,0.0040445384,0.9546515,-180.95087,0.009546515,86140.42,0.0043558646,84.78216,2050766,44.056503,2800.258540868759,-301.17667,127.86925,-1.0,100,241.55,0.8590121,202.75996,5900,,1.1242738
[0.783 0.634],0.073455766,,-86.02562,-186.96077,0.8592577,3.6889842,-177.85795415788888,0.4189424,47.02625,0.66053057,-150.42345,60,0.03688984,-177.85797,0.006605305,0.83546525,-163.69759,0.008354653,58912.125,0.00073455763,61.53579,2075508,40.530422,2836.5859384536743,-273.08502,95.22706,-1.0,100,247.42,0.8592577,187.0594,6000,,2.126472
[0.85  0.631],0.0106294025,,-99.429276,-189.27425,0.86118364,11.813667,-179.162308909446,0.4189424,11.33617,1.3657911,-129.77791,61,0.11813667,-179.16232,0.013657911,0.72786117,-159.81108,0.0072786123,85517.625,0.00010629402,22.118784,2100469,42.972496,2871.24356341362,-303.35815,124.19584,-1.0,100,249.61,0.86118364,203.92888,6100,,8.8213215
[0.768 0.613],0.0065470394,,-110.35594,-206.26595,0.86581165,9.119195,-194.9288194693625,0.4189424,13.23563,1.2659221,-130.67445,62,0.09119195,-194.92883,0.01265922,0.73315126,-161.83688,0.0073315124,125502.266,6.547039e-05,25.11651,2127499,44.982246,2905.5149431228638,-340.1142,145.18536,-1.0,100,270.3,0.86581165,229.75826,6200,,7.5553637
[0.771 0.642],0.0010334287,,-97.730896,-187.73605,0.8624836,7.0354815,-176.80070851624012,0.4189424,8.313046,1.2309359,-134.80429,63,0.07035481,-176.80072,0.012309359,0.7517385,-172.73163,0.0075173853,97330.516,1.0334287e-05,27.164682,2151955,44.065716,2941.1272563934326,-328.0603,151.25958,-1.0,100,244.56,0.8624836,230.3294,6300,,12.0292845
[0.8   0.608],0.0025759635,,-111.390274,-201.30919,0.8562972,5.2657013,-190.4869911764562,0.4189424,10.948244,1.0185038,-147.85574,64,0.052657012,-190.487,0.010185038,0.81170934,-180.56297,0.008117094,91380.27,2.5759635e-05,38.843506,2178593,50.34169,2970.753297328949,-324.66632,134.17934,-1.0,100,266.38,0.8562972,213.27605,6400,,9.133884
[0.783 0.637],0.047924846,,-88.04871,-182.71695,0.8595005,8.484879,-170.81754136636854,0.4189424,37.155346,1.1282136,-145.97832,65,0.084848784,-170.81757,0.011282136,0.91003114,-165.49991,0.0091003105,163251.8,0.00047924844,39.41684,2202466,44.802536,3000.945341348648,-356.98254,186.165,-1.0,100,238.73,0.8595005,268.93384,6500,,2.6914027
[0.834 0.652],0.012521684,,-85.87868,-170.50269,0.85460985,9.605756,-160.93883110940456,0.4189424,9.209442,1.1910394,-104.34514,66,0.09605756,-160.93883,0.011910394,0.6608579,-135.86,0.00660858,62765.746,0.00012521684,23.539656,2225001,40.203964,3036.1223726272583,-286.91507,125.97624,-1.0,100,225.35,0.85460985,201.03639,6600,,10.858421
[0.951 0.652],0.014068811,,-88.40115,-174.33798,0.8574,9.222822,-165.16637959226966,0.4189424,12.554556,1.4400997,-142.33284,67,0.09222822,-165.16638,0.014400996,0.93594086,-168.21765,0.009359408,107269.25,0.0001406881,29.695704,2248179,41.231922,3072.7509319782257,-275.14844,109.98206,-1.0,100,231.78,0.8574,186.74728,6700,,7.9652357
[0.919 0.683],0.009966359,,-88.13545,-166.73293,0.8579351,8.948867,-158.0209551373124,0.4189424,7.552309,1.1981791,-101.303116,68,0.08948866,-158.02095,0.01198179,0.6779983,-133.00447,0.006779982,61131.426,9.9663586e-05,24.253578,2270309,39.249706,3105.0758044719696,-261.35986,103.338905,-1.0,100,221.3,0.8579351,173.22441,6800,,13.240984
[1.012 0.703],0.21790607,,-86.84711,-164.7308,0.8555138,2.648905,-155.5078964973986,0.4189424,82.29597,0.47576118,-148.83005,69,0.02648905,-155.5079,0.0047576115,0.9740331,-158.99672,0.00974033,79250.89,0.0021790606,80.737755,2292034,39.492638,3132.542634010315,-276.68726,121.17935,-1.0,100,217.25,0.8555138,189.84015,6900,,1.2151264
[1.026 0.712],0.0063904393,,-88.291534,-165.23871,0.8567423,5.577954,-153.09559601396322,0.4189424,10.5553465,0.9591581,-114.387886,70,0.055779535,-153.0956,0.00959158,0.7018116,-151.76399,0.0070181163,103650.79,6.3904394e-05,34.86946,2313415,50.137,3164.3553981781006,-364.2936,211.19803,-1.0,100,213.81,0.8567423,276.00208,7000,,9.473872
[0.975 0.683],0.0055723544,,-98.75923,-167.05676,0.85809416,9.407029,-157.14076718494297,0.4189424,11.678183,1.1429347,-97.837524,71,0.09407029,-157.14078,0.011429346,0.6178925,-126.854294,0.0061789257,53698.297,5.5723543e-05,22.616745,2335325,37.467224,3197.5008907318115,-297.4801,140.33934,-1.0,100,219.1,0.85809416,198.72087,7100,,8.562976
