LearnableVariance,VarianceInit,MeanIWNorm,EmpiricalD2,Bound,EpThisIter,MinIWNorm,ReturnStepMaxmin,InitialReturnMean,ESSRenyi,EpisodesSoFar,StdIW,TimestepsSoFar,InitialReturnMax,OptimizationReturnMin,Iteration,Weights,InitialBound,MinIW,InitialReturnMin,EpLenMean,MaxIW,ESSClassic,MeanIW,ReturnMeanIW,InitialReturnStd,OptimizationReturnMax,StdIWNorm,J_sample_variance,EpRewMean,MeanEntropy,ReturnStepMax,TimeElapsed,MaxIWNorm,OptimizationReturnMean
True,-1,0.0067291874,30.426777,-356.36115,100,3.8513634e-05,0.84685117,-415.69165,3.286579,1700,1.3561182,850000,-414.32785,,17,[-0.122 -0.119 -0.328],-429.5748,0.0038513634,-416.4955,500.0,11.769964,19.757605,0.67291886,-279.78085,0.4198723,2.1676636,0.013561182,79344.31,-415.6916359633207,1.1413541,0.84685117,321.64298915863037,0.11769964,0.8038779
True,-1,0.005288362,27.787548,-293.06805,100,0.00010260718,0.84653497,-415.76566,3.5987341,1800,0.8843291,900000,-414.7865,,18,[-0.049 -0.217 -0.278],-429.64874,0.010260718,-416.49252,500.0,5.6718626,26.341368,0.52883625,-219.88492,0.36859518,1.7060242,0.008843291,49003.28,-415.7656703837216,1.1933585,0.84653497,343.3435912132263,0.056718625,0.72685456
True,-1,0.0072188,15.438023,-354.86856,100,3.4198005e-05,0.84689885,-415.88876,6.4775133,1900,1.3506198,950000,-415.0559,,19,[-0.066 -0.294 -0.226],-429.76736,0.0034198004,-416.3588,500.0,10.119009,22.219513,0.72188,-300.3377,0.26830447,1.302887,0.013506197,91249.62,-415.8887431822717,1.2269125,0.84689885,363.81211948394775,0.10119009,0.4700531
True,-1,0.0060567097,32.56841,-331.2108,100,6.452422e-05,0.8463382,-416.09827,3.07046,2000,0.881013,1000000,-415.40466,,20,[ 0.049 -0.491 -0.192],-429.98175,0.006452422,-416.50488,500.0,3.5565615,32.093666,0.605671,-251.97943,0.1827872,1.1002197,0.008810129,64280.61,-416.0982810795307,1.2823951,0.8463382,385.6807622909546,0.035565615,0.4065982
True,-1,0.007302301,12.898879,-353.71085,100,1.3480173e-05,0.8468039,-415.95813,7.7526116,2100,1.1575899,1050000,-414.80725,,21,[ 0.049 -0.468 -0.137],-429.83783,0.0013480174,-416.39212,500.0,7.875472,28.465816,0.7302301,-303.86176,0.25957656,1.5848694,0.0115759,93387.69,-415.9581175287068,1.305541,0.8468039,408.21804022789,0.078754716,0.43400055
True,-1,0.007139613,31.674206,-375.24887,100,4.288693e-06,0.8466515,-416.1363,3.157143,2200,1.8346664,1100000,-415.6097,,22,[ 0.106 -0.72  -0.113],-430.01886,0.00042886933,-416.47845,500.0,13.276989,13.1520815,0.71396136,-297.11774,0.15666024,0.8687439,0.018346664,89310.31,-416.13626304239034,1.244629,0.8466515,427.26791882514954,0.13276988,0.34219208
True,-1,0.007495489,9.492304,-354.75385,100,3.207378e-05,0.84646714,-416.10544,10.53485,2300,2.0482829,1150000,-415.4932,,23,[ 0.113 -0.63  -0.174],-429.9878,0.003207378,-416.47137,500.0,18.382006,11.8097515,0.74954903,-311.98282,0.18941513,0.97817993,0.020482829,98431.85,-416.1054499399662,1.1954945,0.84646714,446.2676284313202,0.18382005,0.36592042
True,-1,0.007070429,25.18303,-363.96005,100,1.9353962e-05,0.84677017,-416.1968,3.9709282,2400,1.3801008,1200000,-415.62692,,24,[ 0.074 -0.677 -0.223],-430.0823,0.0019353962,-416.56506,500.0,10.239374,20.78983,0.707043,-294.27887,0.16255282,0.93814087,0.013801008,87624.04,-416.19679121270775,1.2490807,0.84677017,467.1084830760956,0.10239374,0.3682724
True,-1,0.009219254,2.6518784,-406.29214,100,0.00037238133,0.84631467,-416.18414,37.70912,2500,1.1549417,1250000,-415.56622,,25,[ 0.086 -0.693 -0.17 ],-430.06854,0.037238132,-416.53302,500.0,7.4343977,38.919876,0.9219255,-383.68192,0.14748444,0.9667969,0.011549417,148955.31,-416.1841243454814,1.2175901,0.84631467,485.84859108924866,0.07434397,0.34889618
True,-1,0.007635625,10.805438,-363.45218,100,2.5230038e-05,0.8465359,-416.1875,9.2546,2600,1.6685332,1300000,-415.71097,,26,[ 0.073 -0.647 -0.201],-430.07086,0.0025230038,-416.50037,500.0,12.914384,17.315788,0.7635626,-317.81537,0.1674085,0.7893982,0.016685331,102161.18,-416.1874723638594,1.1685145,0.8465359,506.47733974456787,0.12914383,0.31289795
True,-1,0.008967557,3.1039557,-397.77902,100,7.524957e-05,0.8463818,-416.2674,32.216953,2700,1.3927003,1350000,-415.8922,,27,[ 0.038 -0.739 -0.25 ],-430.15207,0.007524957,-416.54013,500.0,9.773781,29.308815,0.89675575,-373.31696,0.12480583,0.6479187,0.013927003,140937.67,-416.26740315511825,1.1339067,0.8463818,524.7128300666809,0.097737804,0.27272582
True,-1,0.00771319,25.810091,-391.6248,100,1.6766e-05,0.8467459,-416.2762,3.8744535,2800,1.398974,1400000,-415.75455,,28,[ 0.037 -0.764 -0.285],-430.16183,0.0016766,-416.56833,500.0,8.915772,23.311865,0.771319,-321.08084,0.15480754,0.81378174,0.013989738,104281.27,-416.27622083351014,1.187699,0.8467459,543.697203874588,0.08915772,0.29210603
True,-1,0.006022008,26.796402,-322.54468,100,5.7244066e-05,0.84617716,-416.26453,3.7318442,2900,1.1033643,1450000,-415.73578,,29,[ 0.041 -0.774 -0.231],-430.14957,0.005724407,-416.55228,500.0,5.9897413,22.951418,0.60220087,-250.66823,0.1343043,0.8164978,0.011033643,63560.516,-416.26452593132854,1.2418059,0.84617716,563.5600075721741,0.05989741,0.28775084
True,-1,0.006222341,28.414143,-333.00787,100,1.5615501e-07,0.8465852,-416.20712,3.5193741,3000,1.3160477,1500000,-415.78415,,30,[ 0.043 -0.761 -0.177],-430.0914,1.5615502e-05,-416.52954,500.0,7.590874,18.27025,0.6222341,-258.99762,0.15428025,0.74539185,0.013160476,67852.42,-416.2071017414331,1.1816365,0.8465852,584.0377988815308,0.07590874,0.3224414
True,-1,0.005897945,27.475832,-318.28336,100,3.4443827e-05,0.8466084,-416.27103,3.6395621,3100,1.0559983,1550000,-415.7814,,31,[ 0.061 -0.841 -0.237],-430.15604,0.003444383,-416.55173,500.0,5.7820745,23.777159,0.58979446,-245.5015,0.13307106,0.7703247,0.010559984,60968.49,-416.27097324818374,1.2338707,0.8466084,603.0557112693787,0.057820745,0.2807556
True,-1,0.009652387,1.1488612,-416.71594,100,0.00462923,0.8467593,-416.30505,87.04272,3200,0.36017445,1600000,-416.02515,,32,[ 0.045 -0.951 -0.185],-430.1919,0.46292302,-416.60602,500.0,1.9751501,87.778,0.9652388,-401.8313,0.11823331,0.5808716,0.0036017445,163337.34,-416.30503626585005,1.244446,0.8467593,621.1307806968689,0.0197515,0.30098236
True,-1,0.005993453,32.905697,-329.15985,100,5.8677713e-05,0.8466958,-416.30063,3.0389874,3300,0.9357698,1650000,-415.94046,,33,[ 0.047 -0.989 -0.174],-430.18707,0.0058677713,-416.593,500.0,5.3693886,29.089046,0.5993453,-249.50241,0.13603368,0.65252686,0.009357697,62971.426,-416.3006246179342,1.2989966,0.8466958,639.0901293754578,0.053693883,0.29236266
True,-1,0.0057682656,32.016285,-318.6947,100,2.3774686e-05,0.8465227,-416.27426,3.1234105,3400,1.4653125,1700000,-415.73593,,34,[ 0.062 -1.078 -0.12 ],-430.15936,0.0023774686,-416.55365,500.0,9.607929,13.417192,0.5768266,-240.12862,0.12188195,0.8177185,0.014653124,58317.453,-416.274238679707,1.2386626,0.8465227,657.0174307823181,0.09607929,0.27940765
True,-1,0.004215187,21.241213,-239.49188,100,4.2337368e-05,0.8466106,-416.3376,4.707829,3500,0.6126367,1750000,-415.93686,,35,[ 0.06  -1.205 -0.18 ],-430.22418,0.004233737,-416.59824,500.0,3.5398824,32.129738,0.4215187,-175.49101,0.11668966,0.66137695,0.0061263675,31148.258,-416.3375907164812,1.2896609,0.8466106,673.4351198673248,0.035398822,0.26064727
True,-1,0.009902762,1.1312575,-427.03894,100,0.0035643172,0.8463062,-416.32257,88.3972,3600,0.34870836,1800000,-415.93774,,36,[ 0.01  -1.303 -0.129],-430.20654,0.35643172,-416.52087,500.0,2.249215,88.9682,0.9902763,-412.2718,0.10684673,0.5831299,0.0034870836,171850.62,-416.32255162999036,1.299923,0.8463062,691.3029050827026,0.022492148,0.19832337
True,-1,0.0068497746,15.794186,-340.35522,100,0.00016929062,0.84665775,-416.34152,6.331444,3700,1.6700368,1850000,-416.02985,,37,[-0.047 -1.334 -0.119],-430.2301,0.016929062,-416.65848,500.0,14.701039,14.400336,0.6849775,-285.1592,0.12244839,0.6286316,0.016700368,82277.28,-416.34152039691804,1.349476,0.84665775,708.6101229190826,0.14701039,0.3169577
True,-1,0.0035716563,36.624367,-232.74066,100,5.522764e-06,0.8461741,-416.30817,2.7304227,3800,0.8332814,1900000,-415.82663,,38,[-0.048 -1.288 -0.069],-430.19522,0.0005522764,-416.6123,500.0,7.2076335,15.520547,0.35716563,-148.69875,0.13111013,0.78567505,0.008332814,22365.035,-416.3081553770602,1.2857814,0.8461741,727.3586297035217,0.072076336,0.3041513
True,-1,0.0046186317,40.79459,-280.96008,100,3.895283e-06,0.84667134,-416.3376,2.4513054,3900,1.1251351,1950000,-416.07022,,39,[-0.05  -1.285 -0.133],-430.22464,0.00038952832,-416.6124,500.0,9.009859,14.420695,0.46186322,-192.2624,0.10744135,0.5421753,0.011251351,37398.906,-416.33756391227246,1.2211903,0.84667134,743.8159248828888,0.09009859,0.27482972
True,-1,0.006480938,43.347446,-361.29767,100,1.5498422e-06,0.8466474,-416.37582,2.306941,4000,1.687167,2000000,-415.98105,,40,[-0.046 -1.31  -0.198],-430.26263,0.00015498423,-416.60522,500.0,13.886003,12.858357,0.6480939,-269.8684,0.11184685,0.624176,0.016871668,73636.09,-416.37581817358733,1.1559459,0.8466474,761.1307077407837,0.13886002,0.22940888
True,-1,0.005868462,38.477882,-330.438,100,3.7804316e-06,0.8466155,-416.34705,2.5988955,4100,1.387566,2050000,-416.03183,,41,[-0.041 -1.319 -0.263],-430.23355,0.00037804316,-416.5951,500.0,10.62409,15.173114,0.5868461,-244.29926,0.11184994,0.56326294,0.013875659,60373.28,-416.3470442292094,1.0918578,0.8466155,777.5471608638763,0.1062409,0.2480481
True,-1,0.0063710893,32.227,-344.1192,100,4.9372844e-05,0.8465849,-416.37988,3.102988,4200,1.0852226,2100000,-416.00946,,42,[-0.05  -1.338 -0.327],-430.2659,0.0049372846,-416.57993,500.0,7.0027227,25.631706,0.6371089,-265.29,0.11915403,0.5704651,0.010852225,71152.34,-416.3799100731313,1.1452472,0.8465849,794.2541418075562,0.070027225,0.2000174
True,-1,0.00975116,1.0509866,-420.23654,100,0.005856393,0.84673506,-416.36658,95.14869,4300,0.25150326,2150000,-416.07852,,43,[ 0.035 -1.212 -0.274],-430.25357,0.5856393,-416.61176,500.0,2.0126731,93.762596,0.97511595,-405.99985,0.12115604,0.53323364,0.0025150327,166701.86,-416.36653822511437,1.1420854,0.84673506,811.8502435684204,0.02012673,0.2452182
True,-1,0.0043889107,34.564045,-264.3725,100,4.2602784e-05,0.8462539,-416.3573,2.89318,4400,0.7402688,2200000,-416.05038,,44,[ 0.034 -1.16  -0.277],-430.24402,0.0042602783,-416.60144,500.0,5.461559,26.008547,0.43889105,-182.73083,0.10703065,0.5510559,0.0074026883,33769.156,-416.3572838518023,1.1981074,0.8462539,827.6935646533966,0.054615587,0.24415772
True,-1,0.008110619,11.381697,-384.5238,100,3.8381615e-05,0.8465344,-416.3393,8.7860365,4500,1.7439348,2250000,-416.03946,,45,[ 0.033 -1.147 -0.221],-430.22574,0.0038381615,-416.59195,500.0,15.36353,17.783144,0.81106204,-337.67557,0.11963301,0.55249023,0.017439345,115317.52,-416.33932800114155,1.2441405,0.8465344,844.813426733017,0.1536353,0.25262392
True,-1,0.0074941725,11.403426,-358.8964,100,0.00014311707,0.84644103,-416.33313,8.769295,4600,1.6475925,2300000,-416.00522,,46,[ 0.006 -1.221 -0.175],-430.22006,0.014311707,-416.60797,500.0,13.399076,17.14268,0.74941725,-312.00168,0.116940156,0.6027527,0.016475925,98462.01,-416.3331323073804,1.2905766,0.84644103,862.7530930042267,0.13399076,0.27484468
True,-1,0.0048285546,27.059639,-273.24875,100,4.1936666e-05,0.84679514,-416.31546,3.695541,4700,0.8195528,2350000,-416.00888,,47,[-0.005 -1.28  -0.128],-430.20114,0.004193667,-416.57098,500.0,6.4861517,25.767595,0.48285544,-201.01689,0.123407245,0.5621033,0.008195528,40867.46,-416.3154393482208,1.3446528,0.84679514,878.8693096637726,0.06486151,0.25554383
True,-1,0.0062269988,25.213428,-328.99362,100,2.4652309e-06,0.8467992,-416.317,3.9661405,4800,1.6915896,2400000,-416.06482,,48,[-0.013 -1.311 -0.074],-430.20377,0.0002465231,-416.6033,500.0,13.66044,11.933747,0.6226998,-259.26398,0.10086904,0.53848267,0.016915895,67978.06,-416.31699255794285,1.2846031,0.8467992,896.920245885849,0.1366044,0.2863098
True,-1,0.0048136893,34.441498,-281.89267,100,5.7732505e-05,0.846734,-416.3295,2.903474,4900,0.9579122,2450000,-416.07266,,49,[-0.004 -1.291 -0.134],-430.21744,0.0057732505,-416.63718,500.0,6.3343234,20.161283,0.4813689,-200.38889,0.113730446,0.56451416,0.009579122,40629.242,-416.3295292063057,1.3136024,0.846734,913.6654958724976,0.063343234,0.30764252
True,-1,0.0037350368,20.100685,-217.6669,100,0.00015933448,0.84642684,-416.22452,4.9749546,5000,0.53414863,2500000,-415.8134,,50,[ 0.129 -0.869 -0.105],-430.10623,0.015933448,-416.45078,500.0,3.3177829,32.838627,0.37350368,-155.43001,0.123378575,0.63739014,0.005341486,24438.973,-416.2245664677024,1.3164828,0.84642684,929.4372582435608,0.033177827,0.22620697
True,-1,0.0071599125,22.819826,-364.10577,100,3.604512e-05,0.8464518,-416.00336,4.3821545,5100,1.54265,2550000,-415.35284,,51,[ 0.054 -0.455 -0.102],-429.88553,0.0036045122,-416.4638,500.0,13.690711,17.723732,0.7159912,-297.7907,0.24146532,1.1109619,0.015426499,89812.85,-416.00339312791823,1.3686514,0.8464518,945.3767719268799,0.1369071,0.4604123
True,-1,0.00608222,29.043434,-327.5817,100,8.464527e-06,0.8467939,-415.7815,3.443119,5200,1.3831259,2600000,-414.8108,,52,[ 0.072 -0.399 -0.05 ],-429.65884,0.0008464527,-416.32208,500.0,9.142765,16.204065,0.6082221,-252.79366,0.31453913,1.5112915,0.013831258,64767.453,-415.7814697405696,1.3209196,0.8467939,962.651581287384,0.09142765,0.54061127
True,-1,0.004365052,37.94695,-266.86847,100,4.027427e-06,0.8466143,-415.4074,2.635258,5300,0.9061395,2650000,-414.11377,,53,[ 0.305 -0.191 -0.098],-429.281,0.00040274273,-416.20654,500.0,6.8316503,18.834719,0.43650523,-181.40585,0.4760067,2.0927734,0.009061395,33339.96,-415.4074526838958,1.2582858,0.8466143,980.8317630290985,0.068316504,0.7990915
True,-1,0.004609397,25.002825,-260.84518,100,0.00017185812,0.84672475,-415.716,3.9995482,5400,0.9042876,2700000,-414.47125,,54,[ 0.334 -0.255 -0.161],-429.5933,0.017185813,-416.31937,500.0,6.1874557,20.623676,0.4609397,-191.4547,0.38199466,1.848114,0.009042876,37198.61,-415.7159916861355,1.2929201,0.84672475,998.97216629982,0.061874554,0.603374
True,-1,0.0051190145,33.26875,-292.4734,100,3.7266855e-05,0.8464508,-414.9237,3.0058239,5500,0.7929949,2750000,-413.08725,,55,[ 0.338 -0.039 -0.126],-428.7927,0.0037266854,-416.0689,500.0,5.480859,29.413828,0.51190144,-212.47852,0.6735781,2.981659,0.007929949,45821.9,-414.9237394747138,1.3458107,0.8464508,1016.6557624340057,0.054808587,1.1451727
True,-1,0.006226396,32.92989,-338.07953,100,6.972501e-06,0.84677064,-415.17477,3.0367548,5600,1.7366157,2800000,-413.34732,,56,[ 0.295 -0.117 -0.073],-429.04532,0.0006972501,-416.11667,500.0,15.862571,11.390582,0.6226396,-258.48392,0.55046767,2.7693481,0.017366158,67812.97,-415.17477279394865,1.2837514,0.84677064,1033.0783710479736,0.1586257,0.9418967
True,-1,0.0061292145,22.675613,-320.8642,100,2.9825369e-05,0.8467683,-415.38528,4.410024,5700,0.77056307,2850000,-414.0424,,57,[ 0.301 -0.159 -0.135],-429.25443,0.002982537,-416.07632,500.0,3.887533,38.75151,0.6129215,-254.82053,0.44407588,2.0339355,0.0077056303,65693.26,-415.385247785151,1.2922488,0.8467683,1048.781656742096,0.03887533,0.691077
True,-1,0.007375208,19.525846,-368.0119,100,9.1373884e-05,0.84691805,-415.89386,5.121417,5800,1.7534943,2900000,-414.96295,,58,[ 0.243 -0.41  -0.127],-429.77094,0.009137388,-416.31232,500.0,15.3608055,15.031366,0.73752075,-306.69177,0.27356634,1.3493652,0.017534941,95226.06,-415.8938612276316,1.34364,0.84691805,1065.4014937877655,0.15360805,0.41845644
True,-1,0.009859823,1.0773946,-424.4314,100,0.0052034543,0.84670806,-415.8989,92.816505,5900,0.27125758,2950000,-414.85925,,59,[ 0.249 -0.438 -0.075],-429.78214,0.52034545,-416.49713,500.0,1.8863105,92.963776,0.9859823,-410.02094,0.29979414,1.6378784,0.0027125757,170344.27,-415.8989125736058,1.349901,0.84670806,1079.954002380371,0.018863104,0.5982181
True,-1,0.005743086,51.50146,-338.4576,100,2.2950073e-06,0.8466616,-415.81445,1.9416925,6000,1.1609282,3000000,-415.0044,,60,[ 0.235 -0.401 -0.069],-429.69394,0.00022950073,-416.38486,500.0,6.9229054,19.661026,0.5743086,-238.85208,0.3167576,1.3804626,0.011609282,57762.824,-415.8144734960795,1.2838864,0.8466616,1095.1526403427124,0.06922905,0.5703836
True,-1,0.009387107,1.3152107,-406.36493,100,0.0025489847,0.84646684,-415.98074,76.03345,6100,0.5307026,3050000,-415.3802,,61,[ 0.252 -0.461 -0.135],-429.86414,0.2548985,-416.50168,500.0,3.3817549,75.77919,0.9387107,-390.44308,0.23123537,1.1214905,0.005307026,154405.38,-415.9807571800053,1.2983862,0.84646684,1112.3412637710571,0.03381755,0.5209238
True,-1,0.007538994,4.844367,-344.1062,100,0.00012245165,0.84668237,-415.88058,20.642532,6200,1.5140663,3100000,-415.03784,,62,[ 0.267 -0.416 -0.121],-429.76135,0.012245165,-416.4236,500.0,8.172667,19.867592,0.75389946,-313.5547,0.2788333,1.3857727,0.015140663,99555.39,-415.88057531610133,1.2571443,0.84668237,1128.3912842273712,0.08172666,0.54304105
True,-1,0.00545461,28.94886,-301.40436,100,0.00010446023,0.8469247,-415.94125,3.4543674,6300,1.1732634,3150000,-415.15457,,63,[ 0.255 -0.399 -0.162],-429.81976,0.010446023,-416.3544,500.0,7.930185,17.772665,0.54546094,-226.73236,0.22241546,1.1998291,0.011732635,52099.023,-415.9412706504762,1.2852658,0.8469247,1143.3676538467407,0.07930185,0.4131308
True,-1,0.0049967,36.873863,-291.75174,100,6.754272e-06,0.8466407,-415.28357,2.711948,6400,1.1888187,3200000,-413.60025,,64,[ 0.291 -0.121 -0.134],-429.1557,0.0006754272,-416.165,500.0,9.295,15.013599,0.49967003,-207.51459,0.58635324,2.5647583,0.011888186,43679.49,-415.2835385763645,1.2224854,0.8466407,1159.7675249576569,0.09295,0.8814661
True,-1,0.00864661,1.8633275,-378.056,100,0.0012517241,0.84656984,-415.25583,53.66743,6500,0.8911455,3250000,-412.8486,,65,[ 0.295 -0.071 -0.196],-429.1308,0.1251724,-416.2504,500.0,4.858725,48.49196,0.8646611,-359.1161,0.6073279,3.4017944,0.008911454,130848.65,-415.2558047901094,1.1977572,0.84656984,1175.9811706542969,0.04858725,0.9945935
True,-1,0.0089324005,2.5520153,-393.11356,100,0.00060170755,0.8462853,-415.4505,39.18472,6600,1.1803749,3300000,-412.81326,,66,[ 0.291 -0.099 -0.221],-429.3267,0.06017076,-416.28595,500.0,7.6978016,36.413445,0.89324003,-370.9463,0.56685084,3.4726868,0.011803748,139666.92,-415.4505290834606,1.1682298,0.8462853,1191.874034166336,0.07697801,0.8354196
True,-1,0.006126123,32.580574,-333.17355,100,8.639937e-05,0.8464727,-415.1716,3.0693135,6700,1.1251638,3350000,-412.90686,,67,[ 0.291 -0.049 -0.251],-429.04813,0.008639937,-416.29648,500.0,5.839228,22.865824,0.6126123,-253.96706,0.6523902,3.389618,0.011251637,65704.17,-415.17158912181856,1.2073934,0.8464727,1207.70849776268,0.05839228,1.1248873
True,-1,0.0046783173,34.50587,-274.62326,100,0.00017014748,0.8466574,-413.96472,2.8980575,6800,0.7679043,3400000,-409.53787,,68,[ 0.297  0.109 -0.212],-427.83618,0.01701475,-416.14453,500.0,4.6451354,27.06923,0.46783173,-193.1398,1.2864636,6.606659,0.007679043,38295.895,-413.9647303527594,1.1983031,0.8466574,1224.097416639328,0.046451353,2.179803
