DivergenceHarmonic,EpLenMean,WReturnMean,TimestepsSoFar,ESSRenyiArithmetic,Weights,MaxIW,EpisodesSoFar,Epsilon,EpThisIter,EpRewMean,InitialReturnMax,OptimizationReturnMean,StdWReturnMean,OptimizationReturnMin,VarianceInitializer,MinBehavPdf,StdIW,MeanD2-0,MeanEntropy,ReturnStepMaxmin,MinTargetPdf,EmpiricalD2Harmonic,Iteration,OptimizationReturnMax,LearnableVariance,ESSRenyiHarmonic,InitialReturnMin,Inner Iteration,ReturnStepMax,ReturnMeanIW,InitialBound,TimeElapsed,Penalization,Bound,MinIW,EmpiricalD2Arithmetic,MeanIW,InitialReturnStd,InitialReturnMean
313260450.0,116.46,4484.5728,555491,100.0,[0.118 1.234],4752.776,2500,2.0,100,-81.7351573126018,-50.84082,64.839226,,,-1.0,-111.31903,575.30286,1.0,0.4189424,0.8678007,-111.31903,1.0,25,95.73357,,100.0,-146.57439,1,0.8678007,593651.0,-4790.07,354.1228234767914,True,-6000696.5,0.06103205,1.0,133.85529,16.746569,-81.73516
132788376.0,121.34,2740.0044,567625,100.0,[0.106 1.173],614.888,2600,2.0,100,-85.77213457390665,-51.051594,49.119827,,,-1.0,-89.237976,118.57109,1.0,0.4189424,0.86389935,-89.237976,1.0,26,83.84038,,100.0,-134.89197,1,0.86389935,136449.06,-2974.3108,364.1547086238861,True,-2836458.0,0.089730725,1.0,53.675816,18.089958,-85.772125
98089530.0,125.39,12864.554,580164,100.0,[0.099 1.111],1945.0664,2700,2.0,100,-88.88024820700288,-58.9706,111.44849,,,-1.0,-101.80535,273.54752,1.0,0.4189424,0.8640126,-101.80535,1.0,27,141.35812,,100.0,-200.32872,1,0.8640126,961721.7,-13530.624,371.91637325286865,True,-7558495.5,0.034452833,1.0,83.42645,21.066374,-88.88024
1.4144541e+35,127.66,6454.5933,592930,100.0,[0.084 1.05 ],3199892500.0,2800,2.0,100,-90.78412092000247,-61.465614,77.809845,,,-1.0,-97.20513,318335700.0,1.0,0.4189424,0.86085093,-97.20513,1.0,28,107.12835,,100.0,-168.59396,1,0.86085093,39127100000.0,-6837.143,380.77146577835083,True,-1.438739e+20,0.012211834,1.0,36314604.0,20.005539,-90.78412
64775456.0,148.16,14633.02,607746,100.0,[0.073 0.925],9516.059,2900,2.0,100,-105.32279525831342,-61.252052,117.9038,,,-1.0,-115.90413,997.3448,1.0,0.4189424,0.8612133,-115.90413,1.0,29,161.97455,,100.0,-223.2266,1,0.8612133,2792630.2,-15507.547,392.0202603340149,True,-9831089.0,0.039546803,1.0,177.3308,27.050226,-105.32279
25952178000.0,151.68,19241.992,622914,100.0,[0.187 0.875],4878.2334,3000,2.0,100,-108.6210452312231,-60.439266,135.58801,,,-1.0,-115.56714,591.9149,1.0,0.4189424,0.8542289,-115.56714,1.0,30,183.76979,,100.0,-244.20906,1,0.8542289,3389100.5,-20367.705,402.81910371780396,True,-184737570.0,0.065758176,1.0,182.37935,29.289618,-108.621056
69298290000.0,160.35,19193.787,638949,100.0,[0.185 0.812],4838.351,3100,2.0,100,-114.80546793565154,-61.672005,134.79735,,,-1.0,-132.01788,695.0266,1.0,0.4189424,0.8655982,-132.01788,1.0,31,187.93082,,100.0,-249.60281,1,0.8655982,3881553.8,-20371.059,417.3141725063324,True,-313791870.0,0.039155312,1.0,226.57597,31.991623,-114.805466
20439038000.0,154.52,19811.254,654401,100.0,[0.183 0.875],27391.057,3200,2.0,100,-109.63188407942653,-64.38207,137.29437,,,-1.0,-143.38162,3718.161,1.0,0.4189424,0.86506826,-143.38162,1.0,32,182.54419,,100.0,-246.92625,1,0.86506826,11305603.0,-20922.004,430.2717776298523,True,-170103600.0,0.02321841,1.0,720.2271,31.008207,-109.63188
19338310000.0,142.43,5701.2695,668644,100.0,[0.194 0.936],1581.3882,3300,2.0,100,-101.10348736479878,-61.683144,71.628654,,,-1.0,-98.22851,244.25871,1.0,0.4189424,0.8673354,-98.22851,1.0,33,111.049,,100.0,-172.73215,1,0.8673354,362913.12,-6112.3335,442.20785689353943,True,-57526220.0,0.1837941,1.0,95.74126,23.887342,-101.103485
3395094800.0,134.2,5031.98,682064,100.0,[0.187 0.998],1995.9379,3400,2.0,100,-95.24157205075025,-51.210407,67.78616,,,-1.0,-94.27699,239.01387,1.0,0.4189424,0.8640643,-94.27699,1.0,34,111.81734,,100.0,-163.02774,1,0.8640643,309429.34,-5448.751,452.61756658554077,True,-24593586.0,0.07166466,1.0,85.20816,20.904915,-95.24157
8.688847e+33,125.17,4533.2744,694581,100.0,[0.181 1.06 ],18511585000.0,3500,2.0,100,-88.49377030044793,-60.771534,64.499084,,,-1.0,-88.758286,1841796500.0,1.0,0.4189424,0.8666792,-88.758286,1.0,35,92.22133,,100.0,-152.99286,1,0.8666792,645252800000.0,-4816.767,463.25215578079224,True,-2.642546e+19,0.038231652,1.0,189598780.0,19.316889,-88.49377
16378664000.0,139.29,6520.8154,708510,100.0,[0.119 0.952],2179.7842,3600,2.0,100,-98.62512834906578,-60.255676,77.76279,,,-1.0,-100.7753,354.86337,1.0,0.4189424,0.86417633,-100.7753,1.0,36,116.13223,,100.0,-176.38791,1,0.86417633,743734.9,-6970.3726,474.39759516716003,True,-58277596.0,0.04830427,1.0,141.25171,21.76616,-98.62514
2633279500.0,146.37,5713.804,723147,100.0,[0.123 0.889],25290.102,3700,2.0,100,-104.34476160019636,-61.367092,71.43665,,,-1.0,-118.416504,2519.0261,1.0,0.4189424,0.8625716,-118.416504,1.0,37,114.41432,,100.0,-175.78142,1,0.8625716,625381.7,-6150.16,485.8400514125824,True,-23017128.0,0.030582726,1.0,329.2959,24.710499,-104.34476
2.4249154e+27,169.16,12528.956,740063,100.0,[0.101 0.831],64718496.0,3800,2.0,100,-121.0216523014009,-71.16377,107.89861,,,-1.0,-124.39544,7231330.0,1.0,0.4189424,0.8573118,-124.39544,1.0,38,157.75648,,100.0,-228.92026,1,0.8573118,15316169000.0,-13358.529,500.9713819026947,True,-4.0850907e+16,0.27163836,1.0,1137925.1,29.77999,-121.02166
6710668300000.0,181.3,8062.51,758193,100.0,[0.177 0.732],11130.834,3900,2.0,100,-130.2782066206634,-83.90123,85.1426,,,-1.0,-128.31514,1410.755,1.0,0.4189424,0.8593673,-128.31514,1.0,39,131.51958,,100.0,-215.4208,1,0.8593673,1618442.5,-8639.094,516.190860748291,True,-1495246300.0,0.014336679,1.0,417.8001,28.517498,-130.27821
1014661600000.0,165.72,8765.664,774765,100.0,[0.176 0.795],5504.28,4000,2.0,100,-118.51241952747107,-74.22061,90.19305,,,-1.0,-113.02484,849.8418,1.0,0.4189424,0.8566704,-113.02484,1.0,40,134.48485,,100.0,-208.70546,1,0.8566704,1558019.4,-9368.539,528.6283311843872,True,-608833900.0,0.17968039,1.0,225.72368,25.117298,-118.51242
255746820000.0,187.54,14032.474,793519,100.0,[0.161 0.734],33588.914,4100,2.0,100,-134.9129456591606,-83.66194,113.985374,,,-1.0,-153.64136,3675.6433,1.0,0.4189424,0.8561387,-153.64136,1.0,41,165.23637,,100.0,-248.89832,1,0.8561387,9977752.0,-14942.582,544.5330817699432,True,-470229220.0,0.023188492,1.0,818.2657,32.24607,-134.91293
1.059691e+28,171.18,9622.824,810637,100.0,[0.157 0.796],104161830.0,4200,2.0,100,-123.23635520353913,-72.24475,92.77634,,,-1.0,-148.50668,13537718.0,1.0,0.4189424,0.85943466,-148.50668,1.0,42,143.76794,,100.0,-216.0127,1,0.85943466,16579584000.0,-10311.802,558.381844997406,True,-7.0923903e+16,0.53648794,1.0,2625088.5,31.86495,-123.23636
8436775400.0,146.5,7015.888,825287,100.0,[0.082 0.897],24501.535,4300,2.0,100,-104.65225007876754,-62.10637,80.409225,,,-1.0,-107.15661,3180.4202,1.0,0.4189424,0.84891075,-107.15661,1.0,43,122.95511,,100.0,-185.06148,1,0.84891075,3075780.0,-7519.8213,570.9343781471252,True,-49362900.0,0.0145726735,1.0,605.8755,23.45728,-104.652245
280814940000.0,135.54,6278.521,838841,100.0,[0.087 0.959],31953.104,4400,2.0,100,-95.98436568364501,-61.72937,75.60087,,,-1.0,-107.48534,3391.9253,1.0,0.4189424,0.8640758,-107.48534,1.0,44,109.855865,,100.0,-171.58524,1,0.8640758,3205812.8,-6680.799,582.9792103767395,True,-216380370.0,0.02180386,1.0,814.69653,23.728237,-95.98437
282463400.0,124.72,7072.606,851313,100.0,[0.197 1.019],841.8577,4500,2.0,100,-88.25037157043815,-60.01762,81.68942,,,-1.0,-102.80932,128.45297,1.0,0.4189424,0.8622696,-102.80932,1.0,45,109.922165,,100.0,-169.93979,1,0.8622696,304562.53,-7475.369,594.0407752990723,True,-7073654.0,0.017140178,1.0,51.54522,19.98613,-88.25038
