J,VarNormIw,ESSClassic,MaxNormIw,VarDiscRet,AvgNormIw,VarVanillaIw,Delta,AvgDiscRet,MinVanillaIw,VanillaAvgRet,MinNormIw,AvgEpLen,Bound,EpsThisIter,MaxVanillaIw,IterType,eRenyi2,VarJ,VarRet,ESSRenyi,AvgRet,AvgVanillaIw,BatchSize
4972.8647,3.7689538e-06,96.40294950947249,0.012223744,341745.489530835,0.01,0.036900066,0.15,4917.686609843468,0.23043816,4917.686609843468,0.002328902,491.8,3765.2163,100,1.2095042,1,1.0294694,195.06226,341745.489530835,97.13742130881683,4917.686609843468,0.9894712,100
4954.291,3.70982e-06,96.45737978523192,0.013376243,352119.398561279,0.010000002,0.034300663,0.15,4910.680600216616,0.41654038,4910.680600216616,0.0043319385,491.12,3746.0198,100,1.2862015,1,1.0305318,298.38693,352119.398561279,97.03728064518405,4910.680600216616,0.96155655,100
4967.7974,2.0899765e-06,97.97288149254658,0.01321328,252609.93750615782,0.01,0.020282991,0.15,4942.104867607387,0.53337204,4942.104867607387,0.0054142084,494.25,3766.8213,100,1.3016851,1,1.0181247,272.9237,252609.93750615782,98.21979570873361,4942.104867607387,0.98513395,100
4975.4634,1.0908582e-06,98.9315941687897,0.011453387,100494.43778870355,0.01,0.01073644,0.15,4961.319150653871,0.5737579,4961.319150653871,0.005783393,496.16,3779.4214,100,1.1362658,1,1.0097768,189.68825,100494.43778870355,99.0317830260871,4961.319150653871,0.9920783,100
4999.9297,3.5044917e-18,100.0,0.01,0.006410938809293948,0.009999998,,0.15,4999.9298273437325,1.0,4999.9298273437325,0.01,500.0,3809.6917,100,1.0,1,1.0,0.07967659,0.006410938809293948,100.0,4999.9298273437325,1.0,100
4999.8896,1.4233745e-10,99.99985883897902,0.010017238,0.03275052606284505,0.01,1.4230221e-06,0.15,4999.8892906939955,0.9933007,4999.8892906939955,0.009934229,500.0,3809.6514,100,1.0016005,1,1.0000006,0.17931056,0.03275052606284505,99.99994039539075,4999.8892906939955,0.9998769,100
4984.8726,2.8256622e-07,99.72102888969802,0.010774672,18771.148342575736,0.01,0.0028031156,0.15,4982.062853358026,0.79241514,4982.062853358026,0.007955957,498.24,3793.2937,100,1.0731598,1,1.0022545,116.5538,18771.148342575736,99.7750585190401,4982.062853358026,0.99600226,100
4999.892,1.096287e-12,99.99998855601658,0.010001632,0.013670209131794373,0.010000002,1.09644365e-08,0.15,4999.891351109584,0.9996771,4999.891351109584,0.009996678,500.0,3809.654,100,1.0001726,1,1.0,0.116318524,0.013670209131794373,100.0,4999.891351109584,1.0000094,100
4999.92,3.5044917e-18,100.0,0.01,0.009481677472760066,0.009999998,,0.15,4999.919590769789,1.0,4999.919590769789,0.01,500.0,3809.682,100,1.0,1,1.0,0.096891694,0.009481677472760066,100.0,4999.919590769789,1.0,100
4984.2236,9.209859e-07,99.09646858730366,0.011346043,86437.58183160682,0.01,0.009180179,0.15,4970.506961957258,0.53262603,4970.506961957258,0.0053348634,497.07,3788.6018,100,1.1327746,1,1.0090673,156.80115,86437.58183160682,99.10141801157044,4970.506961957258,0.9983874,100
4999.91,1.3363081e-12,100.00001525851607,0.010002332,0.011135461456020564,0.01,1.33622375e-08,0.15,4999.909784942388,0.9996938,4999.909784942388,0.009996758,500.0,3809.672,100,1.0002512,1,1.0,0.10500241,0.011135461456020564,100.0,4999.909784942388,1.000018,100
