MaxVanillaIw,J,eRenyi2,VarVanillaIw,AvgVanillaIw,VarJ,MaxNormIw,AvgDiscRet,BatchSize,EpsThisIter,VanillaAvgRet,Bound,IterType,Delta,VarDiscRet,MinVanillaIw,AvgRet,ESSClassic,VarNormIw,AvgEpLen,AvgNormIw,MinNormIw,ESSRenyi,VarRet
1.0,-60.1032,1.0,,1.0,26.2422,0.0025,-62.5328253251,500,100,-62.5328253251,-60.1032,2,1.0,1335.48037128,1.0,-62.5328253251,400.0,5.4346e-20,90.72,0.0025,0.0025,500.0,1335.48037128
20.4401,-58.038,inf,2.81545,1.01942,11.0778,0.0401015,-58.6911332658,500,100,-58.6911332658,-58.038,1,1.0,52.5860655361,1.2436e-26,-58.6911332658,134.997091197,1.08368e-05,86.57,0.002,2.43981e-29,,52.5860655361
1.0,-59.0386,1.0,,1.0,7.48437,0.01,-59.0386156847,500,100,-59.0386156847,-59.0386,2,1.0,56.5815971405,1.0,-59.0386156847,100.0,3.50449e-18,87.23,0.01,0.01,500.0,56.5815971405
1.0,-58.088,1.0,,1.0,7.5118,0.005,-57.1374111801,500,100,-57.1374111801,-58.088,2,1.0,55.5870496728,1.0,-57.1374111801,200.000000102,2.1793e-19,83.4,0.005,0.005,500.0,55.5870496728
1.0,-57.9161,1.0,,1.0,7.1949,0.00333333,-57.5723898581,500,100,-57.5723898581,-57.9161,2,1.0,42.6952984866,1.0,-57.5723898581,299.999969474,5.43914e-20,84.13,0.00333333,0.00333333,500.0,42.6952984866
1.0,-58.949,1.0,,1.0,19.3677,0.0025,-62.0473856944,500,100,-62.0473856944,-58.949,2,1.0,1345.79410425,1.0,-62.0473856944,400.0,5.4346e-20,89.82,0.0025,0.0025,500.0,1345.79410425
3.52946e-34,-39.7158,139641.0,,7.05892e-37,,1.0,-57.8726438904,500,100,-57.8726438904,-39.7158,1,1.0,71.2466846031,,-57.8726438904,inf,0.002,85.0,0.002,,0.0035806026669,71.2466846031
1.0,-56.854,1.0,,1.0,6.55905,0.01,-56.8540386686,500,100,-56.8540386686,-56.854,2,1.0,43.4556579533,1.0,-56.8540386686,100.0,3.50449e-18,83.03,0.01,0.01,500.0,43.4556579533
1.0,-57.0394,1.0,,1.0,6.80208,0.005,-57.2248393527,500,100,-57.2248393527,-57.0394,2,1.0,49.9463297981,1.0,-57.2248393527,200.000000102,2.1793e-19,83.87,0.005,0.005,500.0,49.9463297981
1.0,-57.1831,1.0,,1.0,6.86921,0.00333333,-57.4704968384,500,100,-57.4704968384,-57.1831,2,1.0,49.3915240327,1.0,-57.4704968384,299.999969474,5.43914e-20,84.26,0.00333333,0.00333333,500.0,49.3915240327
1.0,-58.3082,1.0,,1.0,19.2369,0.0025,-61.6832279545,500,100,-61.6832279545,-58.3082,2,1.0,1336.84835639,1.0,-61.6832279545,400.0,5.4346e-20,89.13,0.0025,0.0025,500.0,1336.84835639
12.6813,-57.4368,inf,0.953594,0.966493,11.8885,0.026242,-57.3179476231,500,100,-57.3179476231,-57.4368,1,1.0,56.2244812591,0.265528,-57.3179476231,247.669568508,4.08344e-06,83.9,0.002,0.000549468,,56.2244812591
1.0,-57.7079,1.0,,1.0,7.47667,0.01,-57.7079425147,500,100,-57.7079425147,-57.7079,2,1.0,56.4652044057,1.0,-57.7079425147,100.0,3.50449e-18,85.19,0.01,0.01,500.0,56.4652044057
1.0,-57.0905,1.0,,1.0,6.92433,0.005,-56.4729676041,500,100,-56.4729676041,-57.0905,2,1.0,39.6258605953,1.0,-56.4729676041,200.000000102,2.1793e-19,82.44,0.005,0.005,500.0,39.6258605953
1.0,-60.1717,1.0,,1.0,30.0496,0.00333333,-66.3342205064,500,100,-66.3342205064,-60.1717,2,1.0,2581.8954312,1.0,-66.3342205064,299.999969474,5.43914e-20,95.5,0.00333333,0.00333333,500.0,2581.8954312
1.0,-59.3913,1.0,,1.0,26.3318,0.0025,-57.049861086,500,100,-57.049861086,-59.3913,2,1.0,57.7789601511,1.0,-57.049861086,400.0,5.4346e-20,83.73,0.0025,0.0025,500.0,57.7789601511
318.196,-40.5249,3460.58,202.497,0.636438,0.0440892,0.999927,-62.0348257995,500,100,-62.0348257995,-40.5249,1,1.0,1317.18383236,,-62.0348257995,1.00014636133,0.00199971,90.22,0.002,,0.144484263844,1317.18383236
1.0,-57.9315,1.0,,1.0,6.79555,0.01,-57.9314782216,500,100,-57.9314782216,-57.9315,2,1.0,46.645888438,1.0,-57.9314782216,100.0,3.50449e-18,85.18,0.01,0.01,500.0,46.645888438
1.0,-58.3856,1.0,,1.0,7.16563,0.005,-58.8396348667,500,100,-58.8396348667,-58.3856,2,1.0,56.6673435305,1.0,-58.8396348667,200.000000102,2.1793e-19,86.59,0.005,0.005,500.0,56.6673435305
1.0,-58.4493,1.0,,1.0,6.78084,0.00333333,-58.5767585121,500,100,-58.5767585121,-58.4493,2,1.0,35.578458733,1.0,-58.5767585121,299.999969474,5.43914e-20,86.04,0.00333333,0.00333333,500.0,35.578458733
1.0,-58.0811,1.0,,1.0,6.72657,0.0025,-56.976394662,500,100,-56.976394662,-58.0811,2,1.0,41.8390061224,1.0,-56.976394662,400.0,5.4346e-20,83.43,0.0025,0.0025,500.0,41.8390061224
1.46139e-38,-53.7891,779692.0,,2.92283e-41,,1.0,-57.7709272386,500,100,-57.7709272386,-53.7891,1,1.0,52.2718054489,,-57.7709272386,inf,0.002,85.09,0.002,,0.000641278915366,52.2718054489
1.0,-57.6443,1.0,,1.0,6.63667,0.01,-57.644284133,500,100,-57.644284133,-57.6443,2,1.0,44.4903291828,1.0,-57.644284133,100.0,3.50449e-18,84.53,0.01,0.01,500.0,44.4903291828
1.0,-57.5938,1.0,,1.0,7.06695,0.005,-57.543223577,500,100,-57.543223577,-57.5938,2,1.0,56.3971303736,1.0,-57.543223577,200.000000102,2.1793e-19,84.07,0.005,0.005,500.0,56.3971303736
1.0,-57.5447,1.0,,1.0,6.8987,0.00333333,-57.4464698325,500,100,-57.4464698325,-57.5447,2,1.0,43.3110626128,1.0,-57.4464698325,299.999969474,5.43914e-20,84.26,0.00333333,0.00333333,500.0,43.3110626128
1.0,-58.2258,1.0,,1.0,19.2174,0.0025,-60.2693022539,500,100,-60.2693022539,-58.2258,2,1.0,1342.31370447,1.0,-60.2693022539,400.0,5.4346e-20,86.95,0.0025,0.0025,500.0,1342.31370447
333.318,-47.7734,inf,258.826,0.957136,61.646,0.696491,-57.1300584874,500,100,-57.1300584874,-47.7734,1,1.0,68.3181291131,,-57.1300584874,1.76701664837,0.00113011,83.44,0.002,,,68.3181291131
1.0,-57.464,1.0,,1.0,7.2722,0.01,-57.4640042143,500,100,-57.4640042143,-57.464,2,1.0,53.419153142,1.0,-57.4640042143,100.0,3.50449e-18,84.16,0.01,0.01,500.0,53.419153142
1.0,-57.4765,1.0,,1.0,7.33778,0.005,-57.4889314137,500,100,-57.4889314137,-57.4765,2,1.0,55.3541741621,1.0,-57.4889314137,200.000000102,2.1793e-19,84.1,0.005,0.005,500.0,55.3541741621
1.0,-57.4799,1.0,,1.0,7.81096,0.00333333,-57.4868203022,500,100,-57.4868203022,-57.4799,2,1.0,76.1082058638,1.0,-57.4868203022,299.999969474,5.43914e-20,84.44,0.00333333,0.00333333,500.0,76.1082058638
1.0,-58.1922,1.0,,1.0,19.4405,0.0025,-60.3290840046,500,100,-60.3290840046,-58.1922,2,1.0,1335.97679937,1.0,-60.3290840046,400.0,5.4346e-20,87.29,0.0025,0.0025,500.0,1335.97679937
9.38967,-57.5367,505.665,0.433698,0.97697,13.4731,0.019222,-57.3527210943,500,100,-57.3527210943,-57.5367,1,1.0,43.8518123052,0.552381,-57.3527210943,344.002718136,1.81754e-06,83.88,0.002,0.0011308,0.988796436663,43.8518123052
1.0,-58.0382,1.0,,1.0,8.24906,0.01,-58.0381637496,500,100,-58.0381637496,-58.0382,2,1.0,68.7342894452,1.0,-58.0381637496,100.0,3.50449e-18,85.63,0.01,0.01,500.0,68.7342894452
1.0,-57.4065,1.0,,1.0,7.26571,0.005,-56.7748718077,500,100,-56.7748718077,-57.4065,2,1.0,37.1071904903,1.0,-56.7748718077,200.000000102,2.1793e-19,82.64,0.005,0.005,500.0,37.1071904903
1.0,-57.9139,1.0,,1.0,6.96922,0.00333333,-58.9285688363,500,100,-58.9285688363,-57.9139,2,1.0,38.9742918295,1.0,-58.9285688363,299.999969474,5.43914e-20,86.73,0.00333333,0.00333333,500.0,38.9742918295
1.0,-59.0098,1.0,,1.0,19.2483,0.0025,-62.2976314792,500,100,-62.2976314792,-59.0098,2,1.0,1335.22022712,1.0,-62.2976314792,400.0,5.4346e-20,90.21,0.0025,0.0025,500.0,1335.22022712
2.36943e-30,-49.9493,12803.6,,4.73885e-33,,1.0,-57.3255105753,500,100,-57.3255105753,-49.9493,1,1.0,39.4958353997,,-57.3255105753,inf,0.002,83.83,0.002,,0.0390516013521,39.4958353997
1.0,-61.3975,1.0,,1.0,36.3316,0.01,-61.3974887028,500,100,-61.3974887028,-61.3975,2,1.0,1333.32060691,1.0,-61.3974887028,100.0,3.50449e-18,88.78,0.01,0.01,500.0,1333.32060691
1.0,-59.3888,1.0,,1.0,26.2094,0.005,-57.3800842774,500,100,-57.3800842774,-59.3888,2,1.0,46.2655752177,1.0,-57.3800842774,200.000000102,2.1793e-19,83.94,0.005,0.005,500.0,46.2655752177
1.0,-58.6607,1.0,,1.0,21.7842,0.00333333,-57.2043923183,500,100,-57.2043923183,-58.6607,2,1.0,47.0865137296,1.0,-57.2043923183,299.999969474,5.43914e-20,84.21,0.00333333,0.00333333,500.0,47.0865137296
1.0,-58.168,1.0,,1.0,19.1986,0.0025,-56.6900117439,500,100,-56.6900117439,-58.168,2,1.0,48.2661366683,1.0,-56.6900117439,400.0,5.4346e-20,83.0,0.0025,0.0025,500.0,48.2661366683
2.09956,-58.3745,79.5517,0.404842,1.11928,16.4885,0.00375161,-61.8975812751,500,100,-61.8975812751,-58.3745,1,1.0,1348.01268838,0.707121,-61.8975812751,378.071758152,1.29261e-06,89.77,0.002,0.00126353,6.28521744401,1348.01268838
1.0,-61.7024,1.0,,1.0,36.5213,0.01,-61.7023831123,500,100,-61.7023831123,-61.7024,2,1.0,1347.27827384,1.0,-61.7023831123,100.0,3.50449e-18,89.3,0.01,0.01,500.0,1347.27827384
1.0,-60.0502,1.0,,1.0,26.3883,0.005,-58.3980388483,500,100,-58.3980388483,-60.0502,2,1.0,53.9575700041,1.0,-58.3980388483,200.000000102,2.1793e-19,85.84,0.005,0.005,500.0,53.9575700041
1.0,-60.6811,1.0,,1.0,30.0808,0.00333333,-61.9429141352,500,100,-61.9429141352,-60.6811,2,1.0,1332.81491628,1.0,-61.9429141352,299.999969474,5.43914e-20,89.92,0.00333333,0.00333333,500.0,1332.81491628
1.0,-59.7463,1.0,,1.0,26.3,0.0025,-56.9417243649,500,100,-56.9417243649,-59.7463,2,1.0,42.1449088027,1.0,-56.9417243649,400.0,5.4346e-20,83.47,0.0025,0.0025,500.0,42.1449088027
94.7338,-56.755,400.719,35.7475,1.43884,26.5084,0.131681,-57.8462218221,500,100,-57.8462218221,-56.755,1,1.0,46.5311427945,0.707107,-57.8462218221,27.4234920162,6.90685e-05,84.44,0.002,0.000982884,1.24775841009,46.5311427945
1.0,-57.6612,1.0,,1.0,7.21576,0.01,-57.6612022009,500,100,-57.6612022009,-57.6612,2,1.0,52.5931604698,1.0,-57.6612022009,100.0,3.50449e-18,84.15,0.01,0.01,500.0,52.5931604698
1.0,-57.4157,1.0,,1.0,6.82965,0.005,-57.1702263138,500,100,-57.1702263138,-57.4157,2,1.0,41.5157064797,1.0,-57.1702263138,200.000000102,2.1793e-19,83.48,0.005,0.005,500.0,41.5157064797
1.0,-57.549,1.0,,1.0,7.16276,0.00333333,-57.8156797661,500,100,-57.8156797661,-57.549,2,1.0,61.13167416,1.0,-57.8156797661,299.999969474,5.43914e-20,84.62,0.00333333,0.00333333,500.0,61.13167416
1.0,-57.4898,1.0,,1.0,7.04356,0.0025,-57.3121378255,500,100,-57.3121378255,-57.4898,2,1.0,44.9390159741,1.0,-57.3121378255,400.0,5.4346e-20,83.96,0.0025,0.0025,500.0,44.9390159741
8.18432,-57.464,130.584,0.285664,1.00384,7.4701,0.0163061,-57.7779070333,500,100,-57.7779070333,-57.464,1,1.0,48.423739655,0.707107,-57.7779070333,389.737503461,1.13394e-06,84.55,0.002,0.00140881,3.828952127,48.423739655
1.0,-57.4313,1.0,,1.0,7.00693,0.01,-57.4312738925,500,100,-57.4312738925,-57.4313,2,1.0,49.5930226587,1.0,-57.4312738925,100.0,3.50449e-18,84.32,0.01,0.01,500.0,49.5930226587
1.0,-57.255,1.0,,1.0,7.12797,0.005,-57.0787093396,500,100,-57.0787093396,-57.255,2,1.0,52.9864028975,1.0,-57.0787093396,200.000000102,2.1793e-19,83.91,0.005,0.005,500.0,52.9864028975
1.0,-57.5213,1.0,,1.0,7.01504,0.00333333,-58.0539289899,500,100,-58.0539289899,-57.5213,2,1.0,46.0514708634,1.0,-58.0539289899,299.999969474,5.43914e-20,85.33,0.00333333,0.00333333,500.0,46.0514708634
1.0,-57.6801,1.0,,1.0,6.93461,0.0025,-58.1564695092,500,100,-58.1564695092,-57.6801,2,1.0,44.869044402,1.0,-58.1564695092,400.0,5.4346e-20,85.58,0.0025,0.0025,500.0,44.869044402
16.958,-57.1215,12.0016,58.8414,4.84999,13.0004,0.00699301,-57.906192241,500,100,-57.906192241,-57.1215,1,1.0,44.1942155722,,-57.906192241,142.999892044,1.0006e-05,84.98,0.002,,41.661163898,44.1942155722
1.0,-58.3087,1.0,,1.0,7.58864,0.01,-58.3086875069,500,100,-58.3086875069,-58.3087,2,1.0,58.1690871681,1.0,-58.3086875069,100.0,3.50449e-18,85.75,0.01,0.01,500.0,58.1690871681
1.0,-57.9199,1.0,,1.0,7.25677,0.005,-57.5311994506,500,100,-57.5311994506,-57.9199,2,1.0,47.9107662141,1.0,-57.5311994506,200.000000102,2.1793e-19,84.06,0.005,0.005,500.0,47.9107662141
1.0,-57.6832,1.0,,1.0,6.6733,0.00333333,-57.2097443978,500,100,-57.2097443978,-57.6832,2,1.0,28.2232944472,1.0,-57.2097443978,299.999969474,5.43914e-20,83.87,0.00333333,0.00333333,500.0,28.2232944472
1.0,-57.4563,1.0,,1.0,6.60809,0.0025,-56.775663961,500,100,-56.775663961,-57.4563,2,1.0,40.8595332467,1.0,-56.775663961,400.0,5.4346e-20,82.51,0.0025,0.0025,500.0,40.8595332467
1.0,-57.3604,1.0,,1.0,6.71469,0.002,-56.9768524565,500,100,-56.9768524565,-57.3604,1,1.0,51.0951344599,1.0,-56.9768524565,500.000006643,5.43187e-20,83.26,0.002,0.002,500.0,51.0951344599
1.0,-55.6428,1.0,,1.0,8.07361,0.01,-55.6428224757,500,100,-55.6428224757,-55.6428,2,1.0,65.8416612904,1.0,-55.6428224757,100.0,3.50449e-18,81.26,0.01,0.01,500.0,65.8416612904
1.0,-58.7803,1.0,,1.0,26.6133,0.005,-61.9178405835,500,100,-61.9178405835,-58.7803,2,1.0,1345.11138747,1.0,-61.9178405835,200.000000102,2.1793e-19,89.93,0.005,0.005,500.0,1345.11138747
1.0,-57.8403,1.0,,1.0,22.1284,0.00333333,-55.9602103692,500,100,-55.9602103692,-57.8403,2,1.0,47.64657706,1.0,-55.9602103692,299.999969474,5.43914e-20,81.89,0.00333333,0.00333333,500.0,47.64657706
1.0,-57.9239,1.0,,1.0,19.5102,0.0025,-58.1745967536,500,100,-58.1745967536,-57.9239,2,1.0,54.0380598358,1.0,-58.1745967536,400.0,5.4346e-20,85.49,0.0025,0.0025,500.0,54.0380598358
1.0,-57.8495,1.0,,1.0,17.6815,0.002,-57.5522191167,500,100,-57.5522191167,-57.8495,1,1.0,40.8886791766,1.0,-57.5522191167,500.000006643,5.43187e-20,84.49,0.002,0.002,500.0,40.8886791766
1.0,-57.8641,1.0,,1.0,6.24304,0.01,-57.8640681303,500,100,-57.8640681303,-57.8641,2,1.0,39.3692469112,1.0,-57.8640681303,100.0,3.50449e-18,85.24,0.01,0.01,500.0,39.3692469112
1.0,-58.4751,1.0,,1.0,6.72954,0.005,-59.0860725406,500,100,-59.0860725406,-58.4751,2,1.0,51.3649201328,1.0,-59.0860725406,200.000000102,2.1793e-19,87.0,0.005,0.005,500.0,51.3649201328
1.0,-57.9589,1.0,,1.0,6.94497,0.00333333,-56.9265245514,500,100,-56.9265245514,-57.9589,2,1.0,53.0561630985,1.0,-56.9265245514,299.999969474,5.43914e-20,83.28,0.00333333,0.00333333,500.0,53.0561630985
1.0,-58.0994,1.0,,1.0,7.16561,0.0025,-58.5211261044,500,100,-58.5211261044,-58.0994,2,1.0,61.059755129,1.0,-58.5211261044,400.0,5.4346e-20,86.18,0.0025,0.0025,500.0,61.059755129
1.0,-58.4938,1.0,,1.0,17.5361,0.002,-60.0711802216,500,100,-60.0711802216,-58.4938,1,1.0,1342.5000389,1.0,-60.0711802216,500.000006643,5.43187e-20,86.79,0.002,0.002,500.0,1342.5000389
1.0,-58.7057,1.0,,1.0,6.63444,0.01,-58.7057198624,500,100,-58.7057198624,-58.7057,2,1.0,44.4603393619,1.0,-58.7057198624,100.0,3.50449e-18,86.4,0.01,0.01,500.0,44.4603393619
1.0,-58.6505,1.0,,1.0,6.60211,0.005,-58.5952686256,500,100,-58.5952686256,-58.6505,2,1.0,43.5896754355,1.0,-58.5952686256,200.000000102,2.1793e-19,86.58,0.005,0.005,500.0,43.5896754355
1.0,-58.5705,1.0,,1.0,6.76884,0.00333333,-58.4104994306,500,100,-58.4104994306,-58.5705,2,1.0,50.7450630847,1.0,-58.4104994306,299.999969474,5.43914e-20,85.82,0.00333333,0.00333333,500.0,50.7450630847
1.0,-58.5019,1.0,,1.0,7.01937,0.0025,-58.2959741896,500,100,-58.2959741896,-58.5019,2,1.0,60.1799798266,1.0,-58.2959741896,400.0,5.4346e-20,85.82,0.0025,0.0025,500.0,60.1799798266
1.0,-58.8318,1.0,,1.0,17.5151,0.002,-60.1514990065,500,100,-60.1514990065,-58.8318,1,1.0,1348.11541287,1.0,-60.1514990065,500.000006643,5.43187e-20,86.52,0.002,0.002,500.0,1348.11541287
1.0,-61.4785,1.0,,1.0,36.3504,0.01,-61.4785220274,500,100,-61.4785220274,-61.4785,2,1.0,1334.70211725,1.0,-61.4785220274,100.0,3.50449e-18,89.02,0.01,0.01,500.0,1334.70211725
1.0,-60.1762,1.0,,1.0,26.172,0.005,-58.8739297885,500,100,-58.8739297885,-60.1762,2,1.0,45.6584727291,1.0,-58.8739297885,200.000000102,2.1793e-19,86.6,0.005,0.005,500.0,45.6584727291
1.0,-58.7773,1.0,,1.0,21.7923,0.00333333,-55.9794467762,500,100,-55.9794467762,-58.7773,2,1.0,43.4592208913,1.0,-55.9794467762,299.999969474,5.43914e-20,81.76,0.00333333,0.00333333,500.0,43.4592208913
1.0,-58.7346,1.0,,1.0,19.2609,0.0025,-58.6067141716,500,100,-58.6067141716,-58.7346,2,1.0,59.7884579524,1.0,-58.6067141716,400.0,5.4346e-20,86.03,0.0025,0.0025,500.0,59.7884579524
1.0,-58.7019,1.0,,1.0,17.5332,0.002,-58.5708726177,500,100,-58.5708726177,-58.7019,1,1.0,53.6563231607,1.0,-58.5708726177,500.000006643,5.43187e-20,86.4,0.002,0.002,500.0,53.6563231607
1.0,-58.5929,1.0,,1.0,6.89719,0.01,-58.5928757079,500,100,-58.5928757079,-58.5929,2,1.0,48.0517444656,1.0,-58.5928757079,100.0,3.50449e-18,86.31,0.01,0.01,500.0,48.0517444656
1.0,-57.9216,1.0,,1.0,6.69698,0.005,-57.2502575445,500,100,-57.2502575445,-57.9216,2,1.0,41.642982024,1.0,-57.2502575445,200.000000102,2.1793e-19,83.73,0.005,0.005,500.0,41.642982024
1.0,-59.3991,1.0,,1.0,21.7392,0.00333333,-62.354113414,500,100,-62.354113414,-59.3991,2,1.0,1328.26700662,1.0,-62.354113414,299.999969474,5.43914e-20,90.28,0.00333333,0.00333333,500.0,1328.26700662
1.0,-58.9005,1.0,,1.0,19.1356,0.0025,-57.4048210946,500,100,-57.4048210946,-58.9005,2,1.0,44.3579865043,1.0,-57.4048210946,400.0,5.4346e-20,84.19,0.0025,0.0025,500.0,44.3579865043
1.0,-58.544,1.0,,1.0,17.3816,0.002,-57.1177418911,500,100,-57.1177418911,-58.544,1,1.0,43.8216564367,1.0,-57.1177418911,500.000006643,5.43187e-20,83.86,0.002,0.002,500.0,43.8216564367
1.0,-61.7312,1.0,,1.0,36.5433,0.01,-61.7312314838,500,100,-61.7312314838,-61.7312,2,1.0,1348.90192704,1.0,-61.7312314838,100.0,3.50449e-18,89.85,0.01,0.01,500.0,1348.90192704
1.0,-60.4218,1.0,,1.0,26.3518,0.005,-59.1124589978,500,100,-59.1124589978,-60.4218,2,1.0,50.5029457678,1.0,-59.1124589978,200.000000102,2.1793e-19,87.05,0.005,0.005,500.0,50.5029457678
