script,env,policy,delta,gamma,njobs,seed,capacity,num_episodes,max_iters,iw_norm
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,705,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,938,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,563,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,925,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,29,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,173,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,542,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,899,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,175,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,152,1,10,5000,all
pbpomis/run,rllab.mountain-car,linear,0.05,1,1,210,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,749,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,728,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,524,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,215,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,455,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,920,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,635,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,930,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,402,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,705,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,938,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,563,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,925,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,29,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,173,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,542,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,899,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,175,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,152,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.99,1,1,210,1,1,50000,none
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,749,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,728,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,524,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,215,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,455,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,920,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,635,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,930,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,402,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,705,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,938,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,563,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,925,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,29,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,173,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,542,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,899,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,175,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,152,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.2,1,1,210,10,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,749,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,728,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,524,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,215,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,455,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,920,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,635,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,930,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,402,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,705,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,938,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,563,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,925,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,29,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,173,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,542,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,899,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,175,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,152,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,210,50,1,50000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,749,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,728,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,524,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,215,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,455,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,920,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,635,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,930,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,402,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,705,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,938,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,563,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,925,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,29,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,173,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,542,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,899,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,175,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,152,1,10,5000,all
pbpomis/run,rllab.inverted-pendulum,linear,0.1,1,1,210,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,749,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,728,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,524,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,215,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,455,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,920,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,635,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,930,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,402,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,705,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,938,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,563,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,925,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,29,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,173,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,542,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,899,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,175,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,152,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,210,1,1,50000,none
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,749,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,728,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,524,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,215,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,455,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,920,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,635,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,930,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,402,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,705,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,938,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,563,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,925,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,29,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,173,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,542,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,899,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,175,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,152,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.001,1,1,210,10,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,749,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,728,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,524,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,215,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,455,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,920,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,635,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,930,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,402,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,705,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,938,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,563,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,925,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,29,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,173,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,542,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,899,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,175,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,152,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.0005,1,1,210,50,1,50000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,749,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,728,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,524,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,215,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,455,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,920,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,635,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,930,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,402,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,705,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,938,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,563,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,925,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,29,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,173,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,542,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,899,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,175,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,152,1,10,5000,all
pbpomis/run,rllab.inverted-double-pendulum,linear,0.05,1,1,210,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.99,1,1,749,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,728,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,524,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,215,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,455,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,920,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,635,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,930,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,402,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,705,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,938,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,563,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,925,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,29,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,173,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,542,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,899,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,175,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,152,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.99,1,1,210,1,1,50000,none
pbpomis/run,rllab.acrobot,linear,0.01,1,1,749,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,728,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,524,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,215,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,455,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,920,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,635,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,930,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,402,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,705,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,938,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,563,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,925,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,29,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,173,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,542,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,899,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,175,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,152,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.01,1,1,210,10,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,749,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,728,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,524,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,215,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,455,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,920,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,635,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,930,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,402,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,705,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,938,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,563,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,925,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,29,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,173,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,542,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,899,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,175,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,152,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.05,1,1,210,50,1,50000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,749,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,728,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,524,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,215,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,455,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,920,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,635,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,930,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,402,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,705,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,938,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,563,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,925,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,29,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,173,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,542,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,899,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,175,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,152,1,10,5000,all
pbpomis/run,rllab.acrobot,linear,0.6,1,1,210,1,10,5000,all
