VarVanillaIw,MaxNormIw,IterType,AvgNormIw,AvgDiscRet,Bound,MinVanillaIw,EpsThisIter,J,MinNormIw,VarRet,ESSRenyi,AvgRet,ESSClassic,BatchSize,MaxVanillaIw,AvgEpLen,eRenyi2,VarNormIw,Delta,VarJ,VarDiscRet,VanillaAvgRet,AvgVanillaIw
,0.01,2,0.01,256.509337025,197.476,1.0,100,256.509,0.01,17863.3218562,400.0,256.509337025,100.0,400,1.0,27.76,1.0,3.50449e-18,0.6,132.984,17863.3218562,256.509337025,1.0
,0.005,2,0.005,229.404375432,184.82,1.0,100,242.957,0.005,19072.2621122,400.0,229.404375432,200.000000102,400,1.0,24.88,1.0,2.1793e-19,0.6,135.893,19072.2621122,229.404375432,1.0
,0.00333333,2,0.00333333,229.13925625,190.882,1.0,100,238.351,0.00333333,16130.6599739,400.0,229.13925625,299.999969474,400,1.0,24.83,1.0,5.43914e-20,0.6,132.954,16130.6599739,229.13925625,1.0
inf,0.999964,,0.0025,259.011085309,-500.872,0.00179529,100,72.0752,7.39883e-23,9502.83164353,3.09738403006,144.70574015,,500,2.42637e+19,15.81,161.427,0.00249982,0.6,0.000175317,25172.7975262,144.70574015,6.06614e+16
151.002,0.295077,1,0.002,124.861417525,353.704,1.68272e-17,100,487.171,1.95864e-20,6773.34106791,38.3580337264,124.861417525,9.60737845471,500,253.508,13.66,13.0351,0.000204583,0.6,3510.88,6773.34106791,124.861417525,1.71825
,0.01,2,0.01,258.819101861,198.157,1.0,100,258.819,0.01,18638.1179866,500.0,258.819101861,100.0,500,1.0,28.04,1.0,3.50449e-18,0.6,135.837,18638.1179866,258.819101861,1.0
,0.005,2,0.005,244.655675033,202.361,1.0,100,251.737,0.005,21355.372713,500.0,244.655675033,200.000000102,500,1.0,26.52,1.0,2.1793e-19,0.6,140.879,21355.372713,244.655675033,1.0
,0.00333333,2,0.00333333,245.541379615,207.126,1.0,100,249.672,0.00333333,17234.874863,500.0,245.541379615,299.999969474,500,1.0,26.6,1.0,5.43914e-20,0.6,137.577,17234.874863,245.541379615,1.0
,0.0025,2,0.0025,240.569015355,210.55,1.0,100,247.396,0.0025,14352.3668752,500.0,240.569015355,400.0,500,1.0,26.06,1.0,5.4346e-20,0.6,133.279,14352.3668752,240.569015355,1.0
3009.56,0.817614,1,0.002,231.643601955,517.894,3.88682e-17,100,775.56,2.59252e-20,13333.282479,8.17949661698,231.643601955,1.49225487257,500,1225.8,25.13,61.1285,0.00133893,0.6,1483.51,13333.282479,231.643601955,2.99849
,0.01,2,0.01,418.401209621,323.761,1.0,100,418.401,0.01,38328.1116519,500.0,418.401209621,100.0,500,1.0,45.15,1.0,3.50449e-18,0.6,194.794,38328.1116519,418.401209621,1.0
,0.005,2,0.005,377.822239002,325.785,1.0,100,398.112,0.005,32231.4095447,500.0,377.822239002,200.000000102,500,1.0,40.83,1.0,2.1793e-19,0.6,187.986,32231.4095447,377.822239002,1.0
,0.00333333,2,0.00333333,414.266403666,325.771,1.0,100,403.497,0.00333333,43332.0861839,500.0,414.266403666,299.999969474,500,1.0,44.75,1.0,5.43914e-20,0.6,194.722,43332.0861839,414.266403666,1.0
,0.0025,2,0.0025,384.11828683,331.339,1.0,100,398.652,0.0025,20072.1161273,500.0,384.11828683,400.0,500,1.0,41.49,1.0,5.4346e-20,0.6,182.964,20072.1161273,384.11828683,1.0
2711.42,0.746975,1,0.002,411.073050542,1027.97,9.41578e-12,100,1387.41,6.05185e-15,31334.287746,14.0275669002,411.073050542,1.78273789718,500,1162.18,44.34,35.6441,0.00112011,0.6,4464.27,31334.287746,411.073050542,3.1117
,0.01,2,0.01,526.697394696,318.951,1.0,100,526.697,0.01,125217.557675,500.0,526.697394696,100.0,500,1.0,56.97,1.0,3.50449e-18,0.6,352.087,125217.557675,526.697394696,1.0
,0.005,2,0.005,541.659451701,387.279,1.0,100,534.178,0.005,67087.1628523,500.0,541.659451701,200.000000102,500,1.0,58.48,1.0,2.1793e-19,0.6,308.621,67087.1628523,541.659451701,1.0
,0.00333333,2,0.00333333,507.965527382,405.498,1.0,100,525.441,0.00333333,78277.0833537,500.0,507.965527382,299.999969474,500,1.0,54.94,1.0,5.43914e-20,0.6,299.135,78277.0833537,507.965527382,1.0
,0.0025,2,0.0025,574.504545808,347.158,1.0,100,537.707,0.0025,273398.144017,500.0,574.504545808,400.0,500,1.0,62.12,1.0,5.4346e-20,0.6,367.735,273398.144017,574.504545808,1.0
8770.0,0.844349,1,0.002,512.585520767,2923.09,1.98233e-09,100,4066.01,7.99416e-13,78882.8570754,11.118503352,512.585520767,1.40115747591,500,2093.75,55.38,44.9701,0.00142624,0.6,11525.6,78882.8570754,512.585520767,4.95944
,0.01,2,0.01,792.402960621,547.57,1.0,100,792.403,0.01,315139.912562,500.0,792.402960621,100.0,500,1.0,85.81,1.0,3.50449e-18,0.6,558.559,315139.912562,792.402960621,1.0
,0.005,2,0.005,674.801257649,560.479,1.0,100,733.602,0.005,164157.538848,500.0,674.801257649,200.000000102,500,1.0,72.98,1.0,2.1793e-19,0.6,490.622,164157.538848,674.801257649,1.0
,0.00333333,2,0.00333333,704.261405358,563.242,1.0,100,723.822,0.00333333,190728.968268,500.0,704.261405358,299.999969474,500,1.0,76.22,1.0,5.43914e-20,0.6,472.869,190728.968268,704.261405358,1.0
,0.0025,2,0.0025,786.170080359,550.121,1.0,100,739.409,0.0025,387858.877282,500.0,786.170080359,400.0,500,1.0,85.1,1.0,5.4346e-20,0.6,514.225,387858.877282,786.170080359,1.0
2785.1,0.888084,1,0.002,836.935090312,2985.38,,100,4323.08,,610359.522022,8.12972074987,836.935090312,1.26717766759,500,1180.04,90.59,61.5027,0.00157747,0.6,7032.3,610359.522022,836.935090312,2.65748
,0.01,2,0.01,1801.46122831,1420.09,1.0,100,1801.46,0.01,987880.249501,500.0,1801.46122831,100.0,500,1.0,195.74,1.0,3.50449e-18,0.6,988.94,987880.249501,1801.46122831,1.0
,0.005,2,0.005,1785.0971943,1523.58,1.0,100,1793.28,0.005,1125198.96279,500.0,1785.0971943,200.000000102,500,1.0,193.8,1.0,2.1793e-19,0.6,1022.76,1125198.96279,1785.0971943,1.0
,0.00333333,2,0.00333333,1784.86037457,1569.95,1.0,100,1790.47,0.00333333,1059052.4653,500.0,1784.86037457,299.999969474,500,1.0,193.84,1.0,5.43914e-20,0.6,1023.16,1059052.4653,1784.86037457,1.0
,0.0025,2,0.0025,1793.44921379,1600.24,1.0,100,1791.22,0.0025,980267.670418,500.0,1793.44921379,400.0,500,1.0,195.15,1.0,5.4346e-20,0.6,1013.79,980267.670418,1793.44921379,1.0
298.192,0.526348,1,0.002,1908.36768798,3362.68,5.21266e-20,100,4307.21,7.3127e-23,1429728.57,16.3530732722,1908.36768798,3.39164613955,500,375.192,207.26,30.5753,0.000586858,0.6,4538.03,1429728.57,1908.36768798,1.42564
,0.01,2,0.01,3847.32514104,3465.39,1.0,100,3847.32,0.01,956687.663273,500.0,3847.32514104,100.0,500,1.0,416.4,1.0,3.50449e-18,0.6,973.201,956687.663273,3847.32514104,1.0
,0.005,2,0.005,3638.68826925,3472.94,1.0,100,3743.01,0.005,1423951.19955,500.0,3638.68826925,200.000000102,500,1.0,393.15,1.0,2.1793e-19,0.6,1090.55,1423951.19955,3638.68826925,1.0
,0.00333333,2,0.00333333,3553.00126517,3459.12,1.0,100,3679.67,0.00333333,1610140.67073,500.0,3553.00126517,299.999969474,500,1.0,384.57,1.0,5.43914e-20,0.6,1154.22,1610140.67073,3553.00126517,1.0
,0.0025,2,0.0025,3699.80263183,3493.7,1.0,100,3684.7,0.0025,1436705.31213,500.0,3699.80263183,400.0,500,1.0,399.94,1.0,5.4346e-20,0.6,1163.97,1436705.31213,3699.80263183,1.0
2.93104,0.0235839,1,0.002,3620.8728925,4184.17,3.38228e-13,100,4532.03,6.86084e-16,1327957.63335,120.64411117,3620.8728925,124.717798586,500,11.6264,391.68,4.14442,1.20603e-05,0.6,418.657,1327957.63335,3620.8728925,0.985965
,0.01,2,0.01,4403.9206254,4021.81,1.0,100,4403.92,0.01,590455.96824,500.0,4403.9206254,100.0,500,1.0,474.13,1.0,3.50449e-18,0.6,764.56,590455.96824,4403.9206254,1.0
,0.005,2,0.005,4570.03445257,4216.78,1.0,100,4486.98,0.005,147256.672543,500.0,4570.03445257,200.000000102,500,1.0,491.6,1.0,2.1793e-19,0.6,609.972,147256.672543,4570.03445257,1.0
,0.00333333,2,0.00333333,4569.15831384,4293.76,1.0,100,4514.37,0.00333333,157844.247111,500.0,4569.15831384,299.999969474,500,1.0,491.55,1.0,5.43914e-20,0.6,549.212,157844.247111,4569.15831384,1.0
,0.0025,2,0.0025,4504.50287204,4320.85,1.0,100,4511.9,0.0025,326265.888998,500.0,4504.50287204,400.0,500,1.0,484.83,1.0,5.4346e-20,0.6,554.071,326265.888998,4504.50287204,1.0
0.421309,0.00549617,1,0.002,4499.50454472,4423.09,0.00834607,100,4626.88,1.63995e-05,277048.22059,351.605961611,4499.50454472,355.655814792,500,2.79712,484.57,1.42205,1.62667e-06,0.6,140.505,277048.22059,4499.50454472,1.01784
,0.01,2,0.01,4613.8778308,4231.79,1.0,100,4613.88,0.01,54103.158711,500.0,4613.8778308,100.0,500,1.0,495.93,1.0,3.50449e-18,0.6,231.435,54103.158711,4613.8778308,1.0
,0.005,2,0.005,4622.94819596,4348.23,1.0,100,4618.41,0.005,45641.0766418,500.0,4622.94819596,200.000000102,500,1.0,496.79,1.0,2.1793e-19,0.6,222.248,45641.0766418,4622.94819596,1.0
,0.00333333,2,0.00333333,4596.29280805,4390.43,1.0,100,4611.04,0.00333333,125640.780628,500.0,4596.29280805,299.999969474,500,1.0,494.44,1.0,5.43914e-20,0.6,272.946,125640.780628,4596.29280805,1.0
,0.0025,2,0.0025,4642.41727507,4427.83,1.0,100,4618.88,0.0025,11923.8832223,500.0,4642.41727507,400.0,500,1.0,498.9,1.0,5.4346e-20,0.6,242.921,11923.8832223,4642.41727507,1.0
0.114479,0.00373328,1,0.002,4607.66659392,4463.81,0.0436206,100,4643.89,8.69271e-05,61730.1371825,450.292599193,4607.66659392,449.063323639,500,1.87339,495.25,1.11039,4.54624e-07,0.6,92.984,61730.1371825,4607.66659392,1.00361
,0.01,2,0.01,4652.42693684,4270.31,1.0,100,4652.43,0.01,5232.33468551,500.0,4652.42693684,100.0,500,1.0,499.46,1.0,3.50449e-18,0.6,71.9723,5232.33468551,4652.42693684,1.0
,0.005,2,0.005,4654.65725843,4383.34,1.0,100,4653.54,0.005,498.757470542,500.0,4654.65725843,200.000000102,500,1.0,500.0,1.0,2.1793e-19,0.6,53.2741,498.757470542,4654.65725843,1.0
,0.00333333,2,0.00333333,4608.56114586,4417.93,1.0,100,4638.55,0.00333333,83985.0307712,500.0,4608.56114586,299.999969474,500,1.0,494.94,1.0,5.43914e-20,0.6,173.369,83985.0307712,4608.56114586,1.0
,0.0025,2,0.0025,4653.95100182,4451.34,1.0,100,4642.4,0.0025,637.580171552,500.0,4653.95100182,400.0,500,1.0,499.95,1.0,5.4346e-20,0.6,150.814,637.580171552,4653.95100182,1.0
0.0445985,0.00293776,1,0.002,4633.13644045,4476.56,0.243359,100,4651.46,0.00048871,68895.6033557,477.359394615,4633.13644045,478.526336912,500,1.46289,497.28,1.04743,1.79858e-07,0.6,80.3225,68895.6033557,4633.13644045,0.995922
,0.01,2,0.01,4641.15863233,4259.07,1.0,100,4641.16,0.01,24083.7102152,500.0,4641.15863233,100.0,500,1.0,498.49,1.0,3.50449e-18,0.6,154.411,24083.7102152,4641.15863233,1.0
,0.005,2,0.005,4652.55276017,4376.66,1.0,100,4646.86,0.005,4357.86828563,500.0,4652.55276017,200.000000102,500,1.0,499.47,1.0,2.1793e-19,0.6,118.79,4357.86828563,4652.55276017,1.0
,0.00333333,2,0.00333333,4659.91727528,4430.59,1.0,100,4651.21,0.00333333,273.555427993,500.0,4659.91727528,299.999969474,500,1.0,500.0,1.0,5.43914e-20,0.6,97.6501,273.555427993,4659.91727528,1.0
,0.0025,2,0.0025,4652.24805445,4460.41,1.0,100,4651.47,0.0025,3566.00070293,500.0,4652.24805445,400.0,500,1.0,499.48,1.0,5.4346e-20,0.6,89.6351,3566.00070293,4652.24805445,1.0
0.0376155,0.00269725,1,0.002,4636.2370466,4483.2,0.223099,100,4657.1,0.000446245,28544.8622463,482.847548771,4636.2370466,481.905515412,500,1.34848,497.56,1.03552,1.50494e-07,0.6,41.6012,28544.8622463,4636.2370466,0.999893
,0.01,2,0.01,4637.4793253,4255.36,1.0,100,4637.48,0.01,37165.310187,500.0,4637.4793253,100.0,500,1.0,497.96,1.0,3.50449e-18,0.6,191.817,37165.310187,4637.4793253,1.0
,0.005,2,0.005,4660.71921631,4378.9,1.0,100,4649.1,0.005,355.174323762,500.0,4660.71921631,200.000000102,500,1.0,500.0,1.0,2.1793e-19,0.6,136.776,355.174323762,4660.71921631,1.0
,0.00333333,2,0.00333333,4661.5527998,4432.64,1.0,100,4653.25,0.00333333,255.135012856,500.0,4661.5527998,299.999969474,500,1.0,500.0,1.0,5.43914e-20,0.6,112.207,255.135012856,4661.5527998,1.0
,0.0025,2,0.0025,4659.35715883,4463.72,1.0,100,4654.78,0.0025,506.824949258,500.0,4659.35715883,400.0,500,1.0,500.0,1.0,5.4346e-20,0.6,97.8532,506.824949258,4659.35715883,1.0
0.018333,0.00242654,1,0.002,4662.20876949,4487.77,0.321219,100,4660.01,0.000649773,324.771158874,492.180078853,4662.20876949,490.813567752,500,1.19957,500.0,1.01589,7.50164e-08,0.6,32.9777,324.771158874,4662.20876949,0.988709
,0.01,2,0.01,4654.82596081,4272.74,1.0,100,4654.83,0.01,598.298501148,500.0,4654.82596081,100.0,500,1.0,500.0,1.0,3.50449e-18,0.6,24.3375,598.298501148,4654.82596081,1.0
,0.005,2,0.005,4646.44758685,4380.45,1.0,100,4650.64,0.005,16042.2002124,500.0,4646.44758685,200.000000102,500,1.0,498.68,1.0,2.1793e-19,0.6,90.8548,16042.2002124,4646.44758685,1.0
,0.00333333,2,0.00333333,4646.63790881,4428.69,1.0,100,4649.3,0.00333333,19662.0664114,500.0,4646.63790881,299.999969474,500,1.0,498.34,1.0,5.43914e-20,0.6,109.522,19662.0664114,4646.63790881,1.0
,0.0025,2,0.0025,4663.97371672,4461.92,1.0,100,4652.97,0.0025,293.954295071,500.0,4663.97371672,400.0,500,1.0,500.0,1.0,5.4346e-20,0.6,95.4433,293.954295071,4663.97371672,1.0
0.0185781,0.00265442,1,0.002,4660.32085666,4485.44,0.482513,100,4657.74,0.000960233,509.403503167,491.840022627,4660.32085666,490.986884674,500,1.33384,500.0,1.01659,7.35758e-08,0.6,55.4944,509.403503167,4660.32085666,1.00499
,0.01,2,0.01,4660.28713375,4278.21,1.0,100,4660.29,0.01,386.922119988,500.0,4660.28713375,100.0,500,1.0,500.0,1.0,3.50449e-18,0.6,19.5717,386.922119988,4660.28713375,1.0
,0.005,2,0.005,4664.27238244,4392.09,1.0,100,4662.28,0.005,129.013539908,500.0,4664.27238244,200.000000102,500,1.0,500.0,1.0,2.1793e-19,0.6,16.1046,129.013539908,4664.27238244,1.0
,0.00333333,2,0.00333333,4662.91223742,4441.88,1.0,100,4662.49,0.00333333,350.590421275,500.0,4662.91223742,299.999969474,500,1.0,500.0,1.0,5.43914e-20,0.6,16.9909,350.590421275,4662.91223742,1.0
,0.0025,2,0.0025,4632.57873631,4463.96,1.0,100,4655.01,0.0025,92286.6284145,500.0,4632.57873631,400.0,500,1.0,496.75,1.0,5.4346e-20,0.6,152.398,92286.6284145,4632.57873631,1.0
0.0203859,0.0024692,1,0.002,4655.48273384,4487.91,0.247619,100,4660.34,0.00049727,4054.45270165,491.061318038,4655.48273384,489.949975757,500,1.22956,499.38,1.0182,8.22139e-08,0.6,43.9592,4054.45270165,4655.48273384,0.995916
,0.01,2,0.01,4647.89272073,4265.79,1.0,100,4647.89,0.01,16804.6244831,500.0,4647.89272073,100.0,500,1.0,498.64,1.0,3.50449e-18,0.6,128.983,16804.6244831,4647.89272073,1.0
,0.005,2,0.005,4655.62361584,4381.57,1.0,100,4651.76,0.005,10474.824412,500.0,4655.62361584,200.000000102,500,1.0,498.92,1.0,2.1793e-19,0.6,116.268,10474.824412,4655.62361584,1.0
,0.00333333,2,0.00333333,4660.2055562,4433.97,1.0,100,4654.57,0.00333333,252.519738573,500.0,4660.2055562,299.999969474,500,1.0,500.0,1.0,5.43914e-20,0.6,95.4535,252.519738573,4660.2055562,1.0
,0.0025,2,0.0025,4649.89528548,4462.35,1.0,100,4653.4,0.0025,11452.8145454,500.0,4649.89528548,400.0,500,1.0,498.87,1.0,5.4346e-20,0.6,98.3474,11452.8145454,4649.89528548,1.0
0.0204874,0.00250647,1,0.002,4663.58402978,4486.98,0.395713,100,4659.57,0.000788787,325.141148784,490.173401758,4663.58402978,490.047031499,500,1.25743,500.0,1.02005,8.1404e-08,0.6,50.3541,325.141148784,4663.58402978,1.00335
,0.01,2,0.01,4662.5399998,4280.42,1.0,100,4662.54,0.01,365.593914072,500.0,4662.5399998,100.0,500,1.0,500.0,1.0,3.50449e-18,0.6,19.0247,365.593914072,4662.5399998,1.0
,0.005,2,0.005,4663.45914884,4392.8,1.0,100,4663.0,0.005,278.90461675,500.0,4663.45914884,200.000000102,500,1.0,500.0,1.0,2.1793e-19,0.6,17.8672,278.90461675,4663.45914884,1.0
,0.00333333,2,0.00333333,4661.4214593,4441.86,1.0,100,4662.47,0.00333333,1506.76499308,500.0,4661.4214593,299.999969474,500,1.0,499.62,1.0,5.43914e-20,0.6,26.6573,1506.76499308,4661.4214593,1.0
,0.0025,2,0.0025,4654.13594005,4469.33,1.0,100,4660.39,0.0025,6943.8068897,500.0,4654.13594005,400.0,500,1.0,498.9,1.0,5.4346e-20,0.6,47.5877,6943.8068897,4654.13594005,1.0
0.0174956,0.00248477,1,0.002,4650.06724484,4489.61,0.319009,100,4661.79,0.000641531,23517.5583147,492.544376864,4650.06724484,491.326542246,500,1.23558,498.37,1.01514,7.07552e-08,0.6,39.6649,23517.5583147,4650.06724484,0.994524
,0.01,2,0.01,4655.18972577,4273.08,1.0,100,4655.19,0.01,7725.95421965,500.0,4655.18972577,100.0,500,1.0,499.08,1.0,3.50449e-18,0.6,87.4568,7725.95421965,4655.18972577,1.0
,0.005,2,0.005,4666.74965481,4390.77,1.0,100,4660.97,0.005,94.7693661528,500.0,4666.74965481,200.000000102,500,1.0,500.0,1.0,2.1793e-19,0.6,62.4873,94.7693661528,4666.74965481,1.0
,0.00333333,2,0.00333333,4664.1849513,4441.43,1.0,100,4662.04,0.00333333,193.317018766,500.0,4664.1849513,299.999969474,500,1.0,500.0,1.0,5.43914e-20,0.6,51.6643,193.317018766,4664.1849513,1.0
,0.0025,2,0.0025,4664.31832549,4471.55,1.0,100,4662.61,0.0025,191.352765146,500.0,4664.31832549,400.0,500,1.0,500.0,1.0,5.4346e-20,0.6,45.2795,191.352765146,4664.31832549,1.0
0.00425737,0.00228867,1,0.002,4665.34622351,4492.7,0.688515,100,4663.95,0.00137863,197.399068826,497.912693289,4665.34622351,497.879791583,500,1.143,500.0,1.00419,1.70692e-08,0.6,29.7107,197.399068826,4665.34622351,0.998836
,0.01,2,0.01,4665.75901347,4283.66,1.0,100,4665.76,0.01,138.260282284,500.0,4665.75901347,100.0,500,1.0,500.0,1.0,3.50449e-18,0.6,11.6995,138.260282284,4665.75901347,1.0
,0.005,2,0.005,4664.53227854,4394.96,1.0,100,4665.15,0.005,147.388255659,500.0,4664.53227854,200.000000102,500,1.0,500.0,1.0,2.1793e-19,0.6,11.9068,147.388255659,4664.53227854,1.0
,0.00333333,2,0.00333333,4646.38186894,4438.28,1.0,100,4658.89,0.00333333,37747.5427004,500.0,4646.38186894,299.999969474,500,1.0,497.94,1.0,5.43914e-20,0.6,112.381,37747.5427004,4646.38186894,1.0
,0.0025,2,0.0025,4651.38315281,4465.95,1.0,100,4657.01,0.0025,14881.6971247,500.0,4651.38315281,400.0,500,1.0,498.72,1.0,5.4346e-20,0.6,114.743,14881.6971247,4651.38315281,1.0
0.0179309,0.00262466,1,0.002,4665.10228557,4490.17,0.390474,100,4662.48,0.000789643,127.221057863,491.776011676,4665.10228557,491.016360191,500,1.29788,500.0,1.01672,7.33293e-08,0.6,44.2345,127.221057863,4665.10228557,0.98899
,0.01,2,0.01,4663.64025962,4281.54,1.0,100,4663.64,0.01,219.334073921,500.0,4663.64025962,100.0,500,1.0,500.0,1.0,3.50449e-18,0.6,14.7357,219.334073921,4663.64025962,1.0
,0.005,2,0.005,4664.21765857,4393.74,1.0,100,4663.93,0.005,228.365349907,500.0,4664.21765857,200.000000102,500,1.0,500.0,1.0,2.1793e-19,0.6,14.8894,228.365349907,4664.21765857,1.0
,0.00333333,2,0.00333333,4652.8388275,4439.63,1.0,100,4660.23,0.00333333,13457.3860697,500.0,4652.8388275,299.999969474,500,1.0,498.79,1.0,5.43914e-20,0.6,67.9416,13457.3860697,4652.8388275,1.0
,0.0025,2,0.0025,4648.35463974,4466.21,1.0,100,4657.26,0.0025,34429.4258484,500.0,4648.35463974,400.0,500,1.0,498.03,1.0,5.4346e-20,0.6,109.589,34429.4258484,4648.35463974,1.0
0.0197172,0.00252719,1,0.002,4663.31038871,4489.89,0.428892,100,4662.23,0.000863328,279.905975124,491.584021138,4663.31038871,490.228312041,500,1.25548,500.0,1.01712,7.98916e-08,0.6,50.2682,279.905975124,4663.31038871,0.993579
,0.01,2,0.01,4667.87788125,4285.78,1.0,100,4667.88,0.01,148.149727457,500.0,4667.87788125,100.0,500,1.0,500.0,1.0,3.50449e-18,0.6,12.1106,148.149727457,4667.87788125,1.0
,0.005,2,0.005,4664.94860794,4396.22,1.0,100,4666.41,0.005,154.701753431,500.0,4664.94860794,200.000000102,500,1.0,500.0,1.0,2.1793e-19,0.6,12.3311,154.701753431,4664.94860794,1.0
,0.00333333,2,0.00333333,4665.78463127,4445.59,1.0,100,4666.2,0.00333333,143.005484928,500.0,4665.78463127,299.999969474,500,1.0,500.0,1.0,5.43914e-20,0.6,12.1922,143.005484928,4665.78463127,1.0
,0.0025,2,0.0025,4666.49196052,4475.22,1.0,100,4666.28,0.0025,157.979778459,500.0,4666.49196052,400.0,500,1.0,500.0,1.0,5.4346e-20,0.6,12.2721,157.979778459,4666.49196052,1.0
0.00165908,0.00221311,1,0.002,4665.08563439,4495.28,0.821185,100,4666.3,0.00163944,266.212159181,499.242144886,4665.08563439,499.17643424,500,1.10853,500.0,1.00152,6.61263e-09,0.6,12.6727,266.212159181,4665.08563439,1.00179
,0.01,2,0.01,4662.42752858,4280.33,1.0,100,4662.43,0.01,262.4963263,500.0,4662.42752858,100.0,500,1.0,500.0,1.0,3.50449e-18,0.6,16.1205,262.4963263,4662.42752858,1.0
,0.005,2,0.005,4663.40371358,4392.73,1.0,100,4662.92,0.005,317.557531721,500.0,4663.40371358,200.000000102,500,1.0,500.0,1.0,2.1793e-19,0.6,16.9518,317.557531721,4663.40371358,1.0
,0.00333333,2,0.00333333,4666.21035628,4443.4,1.0,100,4664.01,0.00333333,180.280004846,500.0,4666.21035628,299.999969474,500,1.0,500.0,1.0,5.43914e-20,0.6,15.9211,180.280004846,4666.21035628,1.0
,0.0025,2,0.0025,4664.36345004,4473.05,1.0,100,4664.1,0.0025,227.655860742,500.0,4664.36345004,400.0,500,1.0,500.0,1.0,5.4346e-20,0.6,15.6996,227.655860742,4664.36345004,1.0
0.0031153,0.00226039,1,0.002,4663.87640463,4493.42,0.727025,100,4664.56,0.00145519,140.696879947,498.550872098,4663.87640463,498.447961969,500,1.12931,500.0,1.00291,1.24807e-08,0.6,13.997,140.696879947,4663.87640463,0.999218
,0.01,2,0.01,4664.84043926,4282.72,1.0,100,4664.84,0.01,157.373795296,500.0,4664.84043926,100.0,500,1.0,500.0,1.0,3.50449e-18,0.6,12.482,157.373795296,4664.84043926,1.0
,0.005,2,0.005,4665.11242336,4394.78,1.0,100,4664.98,0.005,214.791097663,500.0,4665.11242336,200.000000102,500,1.0,500.0,1.0,2.1793e-19,0.6,13.5735,214.791097663,4665.11242336,1.0
,0.00333333,2,0.00333333,4666.48826396,4444.87,1.0,100,4665.48,0.00333333,146.533996012,500.0,4666.48826396,299.999969474,500,1.0,500.0,1.0,5.43914e-20,0.6,13.1031,146.533996012,4666.48826396,1.0
,0.0025,2,0.0025,4665.54972131,4474.44,1.0,100,4665.5,0.0025,138.516674107,500.0,4665.54972131,400.0,500,1.0,500.0,1.0,5.4346e-20,0.6,12.7692,138.516674107,4665.54972131,1.0
0.00193209,0.00213735,1,0.002,4664.79836683,4494.61,0.759734,100,4665.64,0.00152252,136.590038733,499.20857253,4664.79836683,499.033722404,500,1.06653,500.0,1.00159,7.75945e-09,0.6,12.1198,136.590038733,4664.79836683,0.997994
,0.01,2,0.01,4664.90650221,4282.8,1.0,100,4664.91,0.01,190.626244734,500.0,4664.90650221,100.0,500,1.0,500.0,1.0,3.50449e-18,0.6,13.7376,190.626244734,4664.90650221,1.0
