AvgEpLen,IterType,AvgRet,VarDiscRet,MaxVanillaIw,VanillaAvgRet,J,VarNormIw,VarVanillaIw,VarRet,MinVanillaIw,MaxNormIw,AvgNormIw,MinNormIw,BatchSize,ESSClassic,Bound,EpsThisIter,AvgDiscRet,eRenyi2,ESSRenyi,AvgVanillaIw,VarJ,Delta
500.0,1,4656.23075829,254.409273857,1.03481,4656.23075829,4656.17,3.95386e-09,0.000157814,254.409273857,0.961166,0.00517962,0.005,0.00481101,200,199.96847176,3664.3,100,4656.23075829,1.00014,199.971536873,0.998924,17.2295,0.1
500.0,2,4658.17864735,228.233147321,1.0,4658.17864735,4658.18,3.50449e-18,,228.233147321,1.0,0.01,0.01,0.01,200,100.0,3255.84,100,4658.17864735,1.0,200.0,1.0,15.0316,0.1
498.02,1,4636.63466038,35209.1363987,1.09553,4636.63466038,4651.98,1.30763e-07,0.0051717,35209.1363987,0.511888,0.00550872,0.005,0.00257396,200,198.964545023,3658.59,100,4636.63466038,1.0035,199.303012707,0.994359,70.2834,0.1
500.0,2,4656.43397127,491.983109879,1.0,4656.43397127,4656.43,3.50449e-18,,491.983109879,1.0,0.01,0.01,0.01,200,100.0,3253.72,100,4656.43397127,1.0,200.0,1.0,22.0695,0.1
499.77,1,4653.8980029,1205.759502,1.03632,4653.8980029,4655.66,1.74211e-08,0.000692053,1205.759502,0.824273,0.00519949,0.005,0.00413561,200,199.86143178,3663.57,100,4653.8980029,1.00044,199.911538168,0.996556,25.8352,0.1
500.0,2,4656.8512032,334.175046803,1.0,4656.8512032,4656.85,3.50449e-18,,334.175046803,1.0,0.01,0.01,0.01,200,100.0,3254.22,100,4656.8512032,1.0,200.0,1.0,18.1888,0.1
499.06,1,4651.86752048,9235.9147072,1.05605,4651.86752048,4655.69,3.61557e-08,0.00144227,9235.9147072,0.742526,0.00528747,0.005,0.00371772,200,199.712597159,3663.29,100,4651.86752048,1.00119,199.761532309,0.998631,52.1655,0.1
500.0,2,4659.69939244,235.857072021,1.0,4659.69939244,4659.7,3.50449e-18,,235.857072021,1.0,0.01,0.01,0.01,200,100.0,3257.71,100,4659.69939244,1.0,200.0,1.0,15.2807,0.1
496.64,1,4626.57034052,65324.8988677,1.14783,4626.57034052,4648.91,1.33656e-07,0.00530066,65324.8988677,0.633939,0.00576379,0.005,0.00318329,200,198.9417034,3654.77,100,4626.57034052,1.00476,199.051701759,0.995729,117.17,0.1
500.0,2,4658.95408983,261.722201549,1.0,4658.95408983,4658.95,3.50449e-18,,261.722201549,1.0,0.01,0.01,0.01,200,100.0,3257.01,100,4658.95408983,1.0,200.0,1.0,16.0968,0.1
496.09,1,4622.90992881,133540.312919,1.1232,4622.90992881,4653.42,2.8713e-07,0.0113033,133540.312919,0.319013,0.005661,0.005,0.00160785,200,197.740270925,3657.94,100,4622.90992881,1.00764,198.482950585,0.992052,84.6212,0.1
500.0,2,4656.37063528,295.474408225,1.0,4656.37063528,4656.37,3.50449e-18,,295.474408225,1.0,0.01,0.01,0.01,200,100.0,3254.27,100,4656.37063528,1.0,200.0,1.0,17.1032,0.1
497.67,1,4635.98877162,48637.6057738,1.09594,4635.98877162,4648.35,5.97109e-08,0.00237974,48637.6057738,0.804519,0.0054897,0.005,0.00402994,200,199.52585956,3655.65,100,4635.98877162,1.00203,199.595389414,0.998178,126.223,0.1
500.0,2,4658.75279846,316.771650398,1.0,4658.75279846,4658.75,3.50449e-18,,316.771650398,1.0,0.01,0.01,0.01,200,100.0,3256.75,100,4658.75279846,1.0,200.0,1.0,17.7088,0.1
500.0,1,4657.49623424,359.844146081,1.02498,4657.49623424,4658.29,5.68746e-09,0.000227315,359.844146081,0.917421,0.00512696,0.005,0.00458895,200,199.954726327,3666.48,100,4657.49623424,1.00018,199.963433277,0.999597,17.7489,0.1
500.0,2,4658.79770157,170.91884424,1.0,4658.79770157,4658.8,3.50449e-18,,170.91884424,1.0,0.01,0.01,0.01,200,100.0,3256.32,100,4658.79770157,1.0,200.0,1.0,13.0081,0.1
500.0,1,4656.54145076,741.817275207,1.03732,4656.54145076,4657.92,7.71642e-09,0.0003095,741.817275207,0.906274,0.00517953,0.005,0.00452519,200,199.938623277,3666.09,100,4656.54145076,1.00026,199.948419526,1.00136,20.0138,0.1
500.0,2,4660.19007611,198.492895402,1.0,4660.19007611,4660.19,3.50449e-18,,198.492895402,1.0,0.01,0.01,0.01,200,100.0,3258.03,100,4660.19007611,1.0,200.0,1.0,14.0181,0.1
500.0,1,4658.42892621,257.150901612,1.0285,4658.42892621,4659.43,3.78338e-09,0.000151302,257.150901612,0.946233,0.00514309,0.005,0.00473169,200,199.969891142,3667.72,100,4658.42892621,1.00012,199.97515987,0.99989,14.6557,0.1
500.0,2,4659.39320925,259.932934613,1.0,4659.39320925,4659.39,3.50449e-18,,259.932934613,1.0,0.01,0.01,0.01,200,100.0,3256.81,100,4659.39320925,1.0,200.0,1.0,16.0416,0.1
499.51,1,4649.85940406,3013.25058309,1.03315,4649.85940406,4655.15,1.53704e-08,0.00061227,3013.25058309,0.871148,0.00517647,0.005,0.00436479,200,199.877727458,3663.11,100,4649.85940406,1.00054,199.891745067,0.997926,36.6206,0.1
500.0,2,4656.92859286,382.721211568,1.0,4656.92859286,4656.93,3.50449e-18,,382.721211568,1.0,0.01,0.01,0.01,200,100.0,3254.83,100,4656.92859286,1.0,200.0,1.0,19.4652,0.1
500.0,1,4660.82990889,278.16789861,1.02776,4660.82990889,4659.03,5.02406e-09,0.00020065,278.16789861,0.945053,0.00514279,0.005,0.00472894,200,199.959928931,3667.38,100,4660.82990889,1.00016,199.968057013,0.999223,17.6008,0.1
500.0,2,4660.15173364,217.585129883,1.0,4660.15173364,4660.15,3.50449e-18,,217.585129883,1.0,0.01,0.01,0.01,200,100.0,3257.52,100,4660.15173364,1.0,200.0,1.0,14.6768,0.1
