ESSClassic,MaxVanillaIw,VarNormIw,MinVanillaIw,VarRet,VarVanillaIw,BatchSize,Delta,AvgEpLen,AvgNormIw,VanillaAvgRet,J,AvgDiscRet,AvgVanillaIw,MinNormIw,VarDiscRet,Bound,EpsThisIter,VarJ,eRenyi2,IterType,AvgRet,MaxNormIw,ESSRenyi
200.000000102,1.0,2.1793e-19,1.0,440.8463609,,500,0.9,500.0,0.005,0.475652439328,2.79723,0.475652439328,1.0,0.005,440.8463609,1.59684,100,17.8181,1.0,2,0.475652439328,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,244.839667316,,500,0.9,500.0,0.00333333,10.3370962406,5.31052,10.3370962406,1.0,0.00333333,244.839667316,4.33041,100,17.4667,1.0,2,10.3370962406,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,154.617911038,,500,0.9,500.0,0.0025,12.4059319042,7.08437,12.4059319042,1.0,0.0025,154.617911038,6.23557,100,16.629,1.0,2,12.4059319042,0.0025,500.0
10.1883540053,1897.3,0.000192688,2.75109e-06,239.862007493,70669.6,500,0.9,500.0,0.002,5.69324100182,46.1675,5.69324100182,38.3018,1.43653e-10,239.862007493,43.6262,100,2.07611,11.2041,1,5.69324100182,0.0990711,44.6263928724
100.0,1.0,3.50449e-18,1.0,710.316476083,,500,0.9,500.0,0.01,35.24372291,35.2437,35.24372291,1.0,0.01,710.316476083,32.3762,100,26.5182,1.0,2,35.24372291,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,465.961672746,,500,0.9,500.0,0.005,22.5367390619,28.8902,22.5367390619,1.0,0.005,465.961672746,26.8626,100,24.9524,1.0,2,22.5367390619,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,177.311229999,,500,0.9,500.0,0.00333333,20.8997358064,26.2267,20.8997358064,1.0,0.00333333,177.311229999,24.5712,100,22.0858,1.0,2,20.8997358064,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,246.864193884,,500,0.9,500.0,0.0025,23.1383368429,25.4546,23.1383368429,1.0,0.0025,246.864193884,24.0209,100,20.7057,1.0,2,23.1383368429,0.0025,500.0
12.3831440422,622.511,0.000157826,3.19923e-05,417.497076034,9088.58,500,0.9,500.0,0.002,27.49510879,85.3673,27.49510879,15.1771,4.21586e-09,417.497076034,81.3817,100,4.30964,9.65962,1,27.49510879,0.0820328,51.7618945741
100.0,1.0,3.50449e-18,1.0,646.991630965,,500,0.9,500.0,0.01,39.3777867636,39.3778,39.3777867636,1.0,0.01,646.991630965,36.6503,100,25.3085,1.0,2,39.3777867636,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,141.363354986,,500,0.9,500.0,0.005,24.6646514372,32.0212,24.6646514372,1.0,0.005,141.363354986,30.0926,100,21.0797,1.0,2,24.6646514372,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,422.058881656,,500,0.9,500.0,0.00333333,19.2803895508,27.7743,19.2803895508,1.0,0.00333333,422.058881656,26.1996,100,21.7161,1.0,2,19.2803895508,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,480.654929622,,500,0.9,500.0,0.0025,34.5994876517,29.4806,34.5994876517,1.0,0.0025,480.654929622,28.1168,100,21.9406,1.0,2,34.5994876517,0.0025,500.0
10.3319692033,1108.44,0.000189954,0.000115019,352.796045481,24114.1,500,0.9,500.0,0.002,23.1506567264,79.3734,23.1506567264,22.5342,1.02084e-08,352.796045481,75.8096,100,4.4263,8.53662,1,23.1506567264,0.098379,58.5711834353
100.0,1.0,3.50449e-18,1.0,538.92415359,,500,0.9,500.0,0.01,40.0854441726,40.0854,40.0854441726,1.0,0.01,538.92415359,37.2803,100,23.0984,1.0,2,40.0854441726,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,330.658300848,,500,0.9,500.0,0.005,40.4455138844,40.2655,40.4455138844,1.0,0.005,330.658300848,38.2122,100,20.7479,1.0,2,40.4455138844,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,518.64584939,,500,0.9,500.0,0.00333333,44.7477645144,41.7596,44.7477645144,1.0,0.00333333,518.64584939,40.0831,100,21.5082,1.0,2,44.7477645144,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,473.134354735,,500,0.9,500.0,0.0025,41.2110683565,41.6224,41.2110683565,1.0,0.0025,473.134354735,40.1706,100,21.5432,1.0,2,41.2110683565,0.0025,500.0
12.8855478247,998.143,0.000151516,0.00280733,347.090262636,23344.1,500,0.9,500.0,0.002,37.2432121593,72.4944,37.2432121593,24.825,2.2617e-07,347.090262636,69.7213,100,4.36999,4.5601,1,37.2432121593,0.0804143,109.646624661
100.0,1.0,3.50449e-18,1.0,479.321152872,,500,0.9,500.0,0.01,48.5347777204,48.5348,48.5347777204,1.0,0.01,479.321152872,45.9094,100,21.7837,1.0,2,48.5347777204,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,421.526913818,,500,0.9,500.0,0.005,46.6361072998,47.5854,46.6361072998,1.0,0.005,421.526913818,45.4947,100,21.1381,1.0,2,46.6361072998,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,314.174480438,,500,0.9,500.0,0.00333333,40.5510057256,45.2406,40.5510057256,1.0,0.00333333,314.174480438,43.5336,100,20.3114,1.0,2,40.5510057256,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,285.260073321,,500,0.9,500.0,0.0025,40.5707771642,44.0732,40.5707771642,1.0,0.0025,285.260073321,42.5948,100,19.5986,1.0,2,40.5707771642,0.0025,500.0
12.4744049072,922.683,0.000156642,0.00302189,480.93398306,19962.8,500,0.9,500.0,0.002,44.4255026387,88.055,44.4255026387,22.5781,2.67683e-07,480.93398306,85.0818,100,4.19707,5.05571,1,44.4255026387,0.0817326,98.8980434603
100.0,1.0,3.50449e-18,1.0,422.56830053,,500,0.9,500.0,0.01,60.404425952,60.4044,60.404425952,1.0,0.01,422.56830053,57.3688,100,20.4534,1.0,2,60.404425952,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,261.17906478,,500,0.9,500.0,0.005,52.0959672774,56.2502,52.0959672774,1.0,0.005,261.17906478,54.1037,100,18.8603,1.0,2,52.0959672774,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,131.452891981,,500,0.9,500.0,0.00333333,43.6116271121,52.0373,43.6116271121,1.0,0.00333333,131.452891981,50.2847,100,17.7769,1.0,2,43.6116271121,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,176.174609869,,500,0.9,500.0,0.0025,51.1707286643,51.8207,51.1707286643,1.0,0.0025,176.174609869,50.3029,100,16.7558,1.0,2,51.1707286643,0.0025,500.0
12.3040738323,304.158,0.000158866,3.77017e-16,408.51999752,2170.03,500,0.9,500.0,0.002,39.0355147575,90.6414,39.0355147575,7.39176,1.0201e-19,408.51999752,86.4428,100,2.84173,9.56502,1,39.0355147575,0.0822966,52.273792523
100.0,1.0,3.50449e-18,1.0,352.217824482,,500,0.9,500.0,0.01,43.0119319223,43.0119,43.0119319223,1.0,0.01,352.217824482,40.5911,100,18.6734,1.0,2,43.0119319223,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,444.281866862,,500,0.9,500.0,0.005,42.9681431812,42.99,42.9681431812,1.0,0.005,444.281866862,41.1765,100,19.8562,1.0,2,42.9681431812,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,278.654991286,,500,0.9,500.0,0.00333333,53.187728988,46.3893,53.187728988,1.0,0.00333333,278.654991286,44.7771,100,19.4399,1.0,2,53.187728988,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,165.38088238,,500,0.9,500.0,0.0025,45.1269108319,46.0737,45.1269108319,1.0,0.0025,165.38088238,44.6775,100,18.0184,1.0,2,45.1269108319,0.0025,500.0
18.6883259706,384.461,0.000103225,0.000410712,524.11170649,3649.72,500,0.9,500.0,0.002,61.2709033031,81.9723,61.2709033031,11.8923,6.90717e-08,524.11170649,79.2141,100,3.01221,4.82412,1,61.2709033031,0.0646569,103.645906797
100.0,1.0,3.50449e-18,1.0,256.305730678,,500,0.9,500.0,0.01,65.0662139276,65.0662,65.0662139276,1.0,0.01,256.305730678,62.2191,100,15.9293,1.0,2,65.0662139276,0.01,500.0
200.000000102,1.0,2.1793e-19,1.0,244.591923927,,500,0.9,500.0,0.005,51.7622840133,58.4142,51.7622840133,1.0,0.005,244.591923927,56.401,100,17.0937,1.0,2,51.7622840133,0.005,500.0
299.999969474,1.0,5.43914e-20,1.0,479.723367112,,500,0.9,500.0,0.00333333,58.8483745603,58.559,58.8483745603,1.0,0.00333333,479.723367112,56.8593,100,18.7922,1.0,2,58.8483745603,0.00333333,500.0
400.0,1.0,5.4346e-20,1.0,224.920414322,,500,0.9,500.0,0.0025,63.4022641042,59.7698,63.4022641042,1.0,0.0025,224.920414322,58.2978,100,18.0257,1.0,2,63.4022641042,0.0025,500.0
13.295803535,722.516,0.000146717,0.0202569,165.075018664,12222.8,500,0.9,500.0,0.002,60.842811884,84.6375,60.842811884,18.2547,2.21937e-06,165.075018664,81.9056,100,4.88115,4.30573,1,60.842811884,0.0791594,116.124253802
