MinVanillaIw,Delta,VarDiscRet,MaxVanillaIw,MinNormIw,IterType,ESSClassic,J,AvgNormIw,VanillaAvgRet,AvgRet,MaxNormIw,Bound,AvgDiscRet,AvgEpLen,eRenyi2,AvgVanillaIw,ESSRenyi,BatchSize,VarJ,VarNormIw,VarVanillaIw,VarRet,EpsThisIter
1.0,0.4,35106.455354,1.0,0.01,2,100.0,4633.13,0.01,4633.13545956,4633.13545956,0.01,4060.03,4633.13545956,498.02,1.0,1.0,500.0,500,186.428,3.50449e-18,,35106.455354,100
1.0,0.4,695.870868023,1.0,0.005,2,200.000000102,4642.15,0.005,4651.1599888,4651.1599888,0.005,4236.85,4651.1599888,500.0,1.0,1.0,500.0,500,133.429,2.1793e-19,,695.870868023,100
1.0,0.4,459.852008315,1.0,0.00333333,2,299.999969474,4645.65,0.00333333,4652.66491131,4652.66491131,0.00333333,4314.73,4652.66491131,500.0,1.0,1.0,500.0,500,109.751,5.43914e-20,,459.852008315,100
1.0,0.4,1365.10839812,1.0,0.0025,2,400.0,4646.87,0.0025,4650.53591304,4650.53591304,0.0025,4360.28,4650.53591304,499.69,1.0,1.0,500.0,500,96.8311,5.4346e-20,,1365.10839812,100
0.566568,0.4,9860.56537876,1.18876,0.00114087,1,494.978845139,4648.25,0.002,4641.5940489,4641.5940489,0.00239374,4390.84,4641.5940489,498.65,1.0084,0.993222,495.835590282,500,68.7125,4.06574e-08,0.010027,9860.56537876,100
1.0,0.4,358.501613573,1.0,0.01,2,100.0,4656.15,0.01,4656.14842825,4656.14842825,0.01,4083.1,4656.14842825,500.0,1.0,1.0,500.0,500,18.8392,3.50449e-18,,358.501613573,100
1.0,0.4,615.32269033,1.0,0.005,2,200.000000102,4654.96,0.005,4653.76235929,4653.76235929,0.005,4249.7,4653.76235929,500.0,1.0,1.0,500.0,500,21.9879,2.1793e-19,,615.32269033,100
1.0,0.4,458.65702041,1.0,0.00333333,2,299.999969474,4655.59,0.00333333,4656.86310315,4656.86310315,0.00333333,4324.69,4656.86310315,500.0,1.0,1.0,500.0,500,21.7825,5.43914e-20,,458.65702041,100
1.0,0.4,824.197640226,1.0,0.0025,2,400.0,4654.44,0.0025,4650.99722899,4650.99722899,0.0025,4367.85,4650.99722899,500.0,1.0,1.0,500.0,500,23.7445,5.4346e-20,,824.197640226,100
0.763864,0.4,1172.7926069,1.10763,0.0015269,1,498.630371067,4654.15,0.002,4649.81964968,4649.81964968,0.00221407,4397.5,4649.81964968,500.0,1.00242,1.00054,498.794963511,500,24.8827,1.10094e-08,0.00275531,1172.7926069,100
1.0,0.4,535.564668818,1.0,0.01,2,100.0,4653.45,0.01,4653.44953609,4653.44953609,0.01,4080.31,4653.44953609,500.0,1.0,1.0,500.0,500,23.0263,3.50449e-18,,535.564668818,100
1.0,0.4,392.551862637,1.0,0.005,2,200.000000102,4655.52,0.005,4657.59048286,4657.59048286,0.005,4250.23,4657.59048286,500.0,1.0,1.0,500.0,500,21.5338,2.1793e-19,,392.551862637,100
1.0,0.4,658.754704818,1.0,0.00333333,2,299.999969474,4655.06,0.00333333,4654.14262523,4654.14262523,0.00333333,4324.14,4654.14262523,500.0,1.0,1.0,500.0,500,22.9553,5.43914e-20,,658.754704818,100
1.0,0.4,778.505166595,1.0,0.0025,2,400.0,4654.45,0.0025,4652.60764727,4652.60764727,0.0025,4367.86,4652.60764727,500.0,1.0,1.0,500.0,500,24.2697,5.4346e-20,,778.505166595,100
0.801461,0.4,5397.40900208,1.11461,0.00159764,1,498.673484609,4653.96,0.002,4648.60832849,4648.60832849,0.00222188,4397.29,4648.60832849,499.18,1.00262,1.0033,498.693491594,500,34.3343,1.06609e-08,0.00268287,5397.40900208,100
1.0,0.4,673.528895788,1.0,0.01,2,100.0,4654.13,0.01,4654.12579286,4654.12579286,0.01,4080.96,4654.12579286,500.0,1.0,1.0,500.0,500,25.8223,3.50449e-18,,673.528895788,100
1.0,0.4,315.42622001,1.0,0.005,2,200.000000102,4655.99,0.005,4657.84880967,4657.84880967,0.005,4250.69,4657.84880967,500.0,1.0,1.0,500.0,500,22.2036,2.1793e-19,,315.42622001,100
1.0,0.4,368.286668542,1.0,0.00333333,2,299.999969474,4656.38,0.00333333,4657.15805929,4657.15805929,0.00333333,4325.45,4657.15805929,500.0,1.0,1.0,500.0,500,21.2251,5.43914e-20,,368.286668542,100
1.0,0.4,435.916832352,1.0,0.0025,2,400.0,4656.52,0.0025,4656.93087556,4656.93087556,0.0025,4369.93,4656.93087556,500.0,1.0,1.0,500.0,500,21.1146,5.4346e-20,,435.916832352,100
0.835019,0.4,314.175286377,1.05672,0.0016704,1,499.461442424,4657.04,0.002,4657.77981277,4657.77981277,0.0021139,4400.57,4657.77981277,500.0,1.00106,0.999785,499.470913584,500,19.9618,4.32105e-09,0.0010798,314.175286377,100
1.0,0.4,622.54158461,1.0,0.01,2,100.0,4655.78,0.01,4655.78009877,4655.78009877,0.01,4082.6,4655.78009877,500.0,1.0,1.0,500.0,500,24.8257,3.50449e-18,,622.54158461,100
1.0,0.4,58082.8418821,1.0,0.005,2,200.000000102,4643.07,0.005,4630.35460046,4630.35460046,0.005,4237.77,4630.35460046,497.43,1.0,1.0,500.0,500,170.941,2.1793e-19,,58082.8418821,100
1.0,0.4,555.319685923,1.0,0.00333333,2,299.999969474,4647.52,0.00333333,4656.4160453,4656.4160453,0.00333333,4316.59,4656.4160453,500.0,1.0,1.0,500.0,500,140.369,5.43914e-20,,555.319685923,100
1.0,0.4,489.563712777,1.0,0.0025,2,400.0,4648.86,0.0025,4652.88783068,4652.88783068,0.0025,4362.27,4652.88783068,500.0,1.0,1.0,500.0,500,122.082,5.4346e-20,,489.563712777,100
