AvgEpLen,AvgDiscRet,VarJ,AvgVanillaIw,Bound,BatchSize,VarVanillaIw,MinVanillaIw,ESSRenyi,VarDiscRet,VarNormIw,J,VarRet,ESSClassic,MinNormIw,MaxVanillaIw,MaxNormIw,eRenyi2,AvgNormIw,AvgRet
491.74,4916.883058126554,79.41358,0.9920828,4549.9204,100,0.09600183,0.14452355,92.99199570769063,231083.1534584018,9.754021e-06,4986.2993,231083.1534584018,91.19387916140974,0.0014567691,1.43624,0.014477017,1.0753614,0.010000002,4916.883058126554
500.0,4999.915318190724,0.08592813,1.0,4579.105,100,,1.0,100.0,0.007454891926413477,3.5044917e-18,4999.9155,0.007454891926413477,100.0,0.01,1.0,0.01,1.0,0.009999998,4999.915318190724
500.0,4999.910230411488,0.12420152,1.0,4579.0996,100,,1.0,100.0,0.015580585726341578,3.5044917e-18,4999.91,0.015580585726341578,100.0,0.01,1.0,0.01,1.0,0.009999998,4999.910230411488
500.0,4999.908631218913,0.13714011,1.0,4579.098,100,,1.0,100.0,0.01899743024881001,3.5044917e-18,4999.9087,0.01899743024881001,100.0,0.01,1.0,0.01,1.0,0.009999998,4999.908631218913
500.0,4999.914528837373,0.10182834,1.0,4579.104,100,,1.0,100.0,0.010476359142455554,3.5044917e-18,4999.9146,0.010476359142455554,100.0,0.01,1.0,0.01,1.0,0.009999998,4999.914528837373
500.0,4999.891826581888,0.11551037,1.0,4579.081,100,,1.0,100.0,0.013478500249767903,3.5044917e-18,4999.8916,0.013478500249767903,100.0,0.01,1.0,0.01,1.0,0.009999998,4999.891826581888
500.0,4999.918716242577,0.09269413,1.0,4579.108,100,,1.0,100.0,0.008681135602826788,3.5044917e-18,4999.9185,0.008681135602826788,100.0,0.01,1.0,0.01,1.0,0.009999998,4999.918716242577
500.0,4999.921460550199,0.08251036,1.0,4579.111,100,,1.0,100.0,0.006877320055606089,3.5044917e-18,4999.9214,0.006877320055606089,100.0,0.01,1.0,0.01,1.0,0.009999998,4999.921460550199
500.0,4999.911523103103,0.11992124,1.000408,4579.1016,100,2.3723956e-06,0.99529374,99.99997615814777,0.014611091096992409,2.3704683e-10,4999.912,0.014611091096992409,99.99975595941392,0.009948878,1.0031914,0.010027821,1.0000002,0.01,4999.911523103103
500.0,4999.878299679365,0.1927629,0.99998313,4579.0684,100,1.971681e-08,0.9993441,100.0,0.03756956501347077,1.97173e-12,4999.879,0.03756956501347077,100.0000038147617,0.00999361,1.0001909,0.010002078,1.0,0.01,4999.878299679365
