Delta,AvgDiscRet,Bound,VarRet,VarJ,MaxVanillaIw,eRenyi2,VarDiscRet,MaxNormIw,VarNormIw,AvgRet,AvgNormIw,AvgVanillaIw,J,EpsThisIter,VanillaAvgRet,IterType,ESSClassic,AvgEpLen,VarVanillaIw,ESSRenyi,MinNormIw,MinVanillaIw,BatchSize
0.3,-112.554880005,-186.57,1614.76947974,26.6126,1.33935,1.02308,1614.76947974,0.0134206,2.71652e-06,-112.554880005,0.01,0.997976,-110.658,100,-112.554880005,1,97.38105319,24.99,0.0270553,97.7441019299,0.00521981,0.520924,100
0.3,-107.594475185,-125.148,12.3093317156,3.5732,1.14798,1.00396,12.3093317156,0.0113907,3.93202e-07,-107.594475185,0.01,1.00783,-107.527,100,-107.594475185,1,99.6122522836,18.42,0.0039938,99.6059509411,0.00840877,0.847456,100
0.3,-107.79009591,-125.31,9.4503196206,3.06485,1.07049,1.00205,9.4503196206,0.0107096,2.23121e-07,-107.79009591,0.01,0.999562,-107.754,100,-107.79009591,1,99.7796109158,18.37,0.00222926,99.7953677035,0.00773324,0.772985,100
0.3,-107.724676945,-125.172,9.25383481062,2.99384,1.18184,1.00388,9.25383481062,0.0118044,4.79081e-07,-107.724676945,0.01,1.00118,-107.657,100,-107.724676945,1,99.5279604261,17.45,0.00480215,99.613733824,0.0079893,0.799875,100
0.3,-107.858544592,-125.375,7.54460634049,2.68336,1.36054,1.00321,7.54460634049,0.0136092,5.05425e-07,-107.858544592,0.01,0.999724,-107.803,100,-107.858544592,1,99.5021027857,19.51,0.00505145,99.6803875703,0.00817399,0.817173,100
0.3,-108.602637131,-130.791,25.4542799296,3.69091,1.22368,1.01481,25.4542799296,0.0125448,2.8305e-06,-108.602637131,0.01,0.975445,-108.215,100,-108.602637131,1,97.2742048971,20.59,0.026932,98.5405589293,0.00457749,0.446509,100
0.3,-107.51383105,-125.252,9.06819137851,2.95521,1.24939,1.00436,9.06819137851,0.012463,5.63734e-07,-107.51383105,0.01,1.00248,-107.435,100,-107.51383105,1,99.4450161199,18.68,0.0056653,99.5662984199,0.00883323,0.885511,100
0.3,-107.778680043,-125.314,9.27162163986,3.03661,1.20421,1.00422,9.27162163986,0.0119948,4.82311e-07,-107.778680043,0.01,1.00395,-107.706,100,-107.778680043,1,99.5247539514,18.52,0.00486124,99.5801389296,0.00848192,0.851538,100
0.3,-107.510968744,-125.129,10.0240485681,3.18113,1.18714,1.00303,10.0240485681,0.0118648,3.81817e-07,-107.510968744,0.01,1.00056,-107.458,100,-107.510968744,1,99.6234508207,17.95,0.00382243,99.6982054079,0.00872757,0.873244,100
0.3,-107.178525162,-124.654,12.38368334,3.56553,1.25468,1.00419,12.38368334,0.0124294,4.62332e-07,-107.178525162,0.01,1.00944,-107.107,100,-107.178525162,1,99.5443999183,18.68,0.00471104,99.5822549401,0.00839849,0.847779,100
0.3,-106.964276366,-124.349,8.76522583109,3.02293,1.18105,1.00321,8.76522583109,0.0117717,3.35955e-07,-106.964276366,0.01,1.00329,-106.909,100,-106.964276366,1,99.6684976873,17.87,0.00338172,99.6800677604,0.00879191,0.882087,100
