MaxVanillaIw,Bound,VanillaAvgRet,renyi2,BatchSize,J,AvgDiscRet,AvgEpLen,EpsThisIter,delta,VarRet,AvgRet,ESSClassic,AvgVanillaIw,VarVanillaIw,VarDiscRet,MinNormIw,MinVanillaIw,SamplesThisIter,VarNormIw,IterType,AvgNormIw,ESSRenyi,MaxNormIw,VarJ
9.70454e+22,1424.13,460.465825597,nan,100,312504.0,460.465825597,49.8007968127,1004,0.6,72291.7869812,460.465825597,3.99999925749,2.14876e+18,inf,72291.7869812,,,50000,1.38232e-06,1,5.53342e-06,nan,0.249908,13319.3
6.32631e+10,nan,441.542020762,nan,100,nan,441.542020762,47.7099236641,1048,0.6,58623.8873779,441.542020762,2.95824318603,2.14903e+06,1.14746e+17,58623.8873779,,,50000,6.98207e-07,1,5.3011e-06,nan,0.156054,nan
5.2068e+06,nan,462.731136474,nan,100,nan,462.731136474,50.0,1000,0.6,52820.532332,462.731136474,4.56156304359,226.732,7.00354e+08,52820.532332,,,50000,4.20481e-07,1,5.55556e-06,nan,0.127581,nan
3.49893e+14,1128.4,485.724560781,nan,100,245970.0,485.724560781,52.5210084034,952,0.6,69544.6439009,485.724560781,4.0,8.16744e+09,2.85767e+24,69544.6439009,,,50000,1.45889e-06,1,5.83567e-06,nan,0.25,13279.8
5.05732e+06,1111.34,485.609172841,nan,100,214594.0,485.609172841,52.5210084034,952,0.6,64829.6295349,485.609172841,3.94719544824,177.962,6.06908e+08,64829.6295349,,,50000,6.52603e-07,1,5.83567e-06,nan,0.165838,12273.8
1.80059e+09,1201.75,508.801078765,nan,100,246257.0,508.801078765,55.0660792952,908,0.6,79379.9373718,508.801078765,3.99842231474,45377.5,7.93766e+13,79379.9373718,,,50000,1.4431e-06,1,6.11845e-06,nan,0.242781,13951.4
268870.0,1124.29,513.54184937,nan,100,216534.0,513.54184937,55.5555555556,900,0.6,81748.18127,513.54184937,2.59282918576,30.6348,2.90585e+06,81748.18127,,,50000,1.17981e-07,1,6.17284e-06,nan,0.0541766,12590.7
1.03312e+06,1216.28,572.215537777,nan,100,255371.0,572.215537777,61.8811881188,808,0.6,93115.1521917,572.215537777,1.58902376012,151.796,9.94675e+07,93115.1521917,,,50000,2.04076e-07,1,6.87569e-06,nan,0.0467956,11422.3
827180.0,1157.97,521.015683688,nan,100,248469.0,521.015683688,56.3063063063,888,0.6,76688.9894691,521.015683688,1.85759337657,98.237,4.14689e+07,76688.9894691,,,50000,1.6819e-07,1,6.25626e-06,nan,0.0526793,14983.9
463391.0,1273.72,577.781488421,nan,100,261974.0,577.781488421,62.5,800,0.6,94977.0742279,577.781488421,3.35738741047,74.0977,1.1928e+07,94977.0742279,,,50000,1.04769e-07,1,6.94444e-06,nan,0.043429,13884.7
3.44004e+06,1175.5,523.230579437,nan,100,251491.0,523.230579437,56.5610859729,884,0.6,81807.4902715,523.230579437,3.22537842656,284.54,5.92239e+08,81807.4902715,,,50000,2.88909e-07,1,6.28457e-06,nan,0.0759794,15116.8
1.32056e+07,1243.05,552.306177503,nan,100,268531.0,552.306177503,59.8086124402,836,0.6,88732.491549,552.306177503,2.92748958727,861.025,6.4753e+09,88732.491549,,,50000,3.85719e-07,1,6.6454e-06,nan,0.101921,16319.0
5.72723e+07,1360.36,608.56313807,nan,100,292894.0,608.56313807,65.7894736842,760,0.6,107236.326228,608.56313807,3.96759608914,2068.98,9.66994e+10,107236.326228,,,50000,1.20709e-06,1,7.30994e-06,nan,0.20235,16681.2
109306.0,1000.94,555.58937026,nan,100,205585.0,555.58937026,60.0961538462,832,0.6,70119.322205,555.58937026,1.62421117445,16.2372,793547.0,70119.322205,,,50000,1.34201e-07,1,6.67735e-06,nan,0.0449506,12143.7
57640.6,1115.11,577.850208085,nan,100,227830.0,577.850208085,62.5,800,0.6,89503.3702071,577.850208085,3.98490166269,12.215,173557.0,89503.3702071,,,50000,5.60954e-08,1,6.94444e-06,nan,0.0327696,13825.3
1.69364e+07,1373.04,648.991511722,nan,100,294428.0,648.991511722,70.2247191011,712,0.6,113870.627117,648.991511722,2.92542824602,1019.41,1.2304e+10,113870.627117,,,50000,7.20845e-07,1,7.80275e-06,nan,0.129634,16273.9
253646.0,1467.32,656.079773349,nan,100,294779.0,656.079773349,71.0227272727,704,0.6,136637.248148,656.079773349,7.19418762398,55.627,6.50123e+06,136637.248148,,,50000,1.30838e-07,1,7.89141e-06,nan,0.035983,12537.2
2.49881e+10,1466.06,617.912899893,nan,100,322570.0,617.912899893,66.8449197861,748,0.6,112470.124071,617.912899893,3.99983936519,749052.0,1.85507e+16,112470.124071,,,50000,1.82385e-06,1,7.42721e-06,nan,0.247769,17672.9
464903.0,1400.38,637.940020267,nan,100,283803.0,637.940020267,69.0607734807,724,0.6,129273.228844,637.940020267,3.82682717521,75.0072,1.39436e+07,129273.228844,,,50000,1.45931e-07,1,7.67342e-06,nan,0.0475606,13607.8
3.27008e+16,1609.45,687.660848471,nan,100,353030.0,687.660848471,74.4047619048,672,0.6,151892.693432,687.660848471,4.0,1.08138e+12,3.5361e+28,151892.693432,,,50000,2.06675e-06,1,8.2672e-06,nan,0.25,16823.0
2.10277e+11,1540.85,628.416295153,nan,100,327492.0,628.416295153,67.9347826087,736,0.6,124697.312005,628.416295153,3.95653784212,7.02968e+06,1.34966e+18,124697.312005,,,50000,1.55615e-06,1,7.54831e-06,nan,0.22579,21020.0
550664.0,1272.03,575.015597733,nan,100,247436.0,575.015597733,62.1890547264,804,0.6,108992.821526,575.015597733,3.80441229475,37.0897,9.0387e+06,108992.821526,,,50000,3.13721e-07,1,6.90989e-06,nan,0.10259,13175.4
