AvgEpLen,AvgNormIw,VanillaAvgRet,MaxVanillaIw,Delta,VarVanillaIw,BatchSize,EpsThisIter,Bound,AvgDiscRet,VarJ,ESSClassic,VarDiscRet,VarRet,IterType,ESSRenyi,AvgRet,eRenyi2,MinNormIw,J,MinVanillaIw,VarNormIw,AvgVanillaIw,MaxNormIw
91.69,0.00333333,-63.2938842005,1.0,1.0,,500,100,-61.8515,-63.2938842005,30.0208,299.999969474,1338.74251856,1338.74251856,2,500.0,-63.2938842005,1.0,0.00333333,-61.8515,1.0,5.43914e-20,1.0,0.00333333
95.61,0.0025,-66.2636361496,1.0,1.0,,500,100,-62.9545,-66.2636361496,36.325,400.0,2585.53579541,2585.53579541,2,500.0,-66.2636361496,1.0,0.0025,-62.9545,1.0,5.4346e-20,1.0,0.0025
89.91,0.002,-62.263951848,1.93739e-21,1.0,7.00649e-45,500,100,-54.2188,-62.263951848,6.81518e-11,0.999836158676,1324.46379463,1324.46379463,1,0.00155694335431,-62.263951848,321142.0,,-54.2188,,0.002,3.87477e-24,1.0
93.6,0.01,-65.3710221772,1.0,1.0,,500,100,-65.371,-65.3710221772,50.6431,100.0,2590.63181922,2590.63181922,2,500.0,-65.3710221772,1.0,0.01,-65.371,1.0,3.50449e-18,1.0,0.01
97.09,0.005,-67.4433220147,1.0,1.0,,500,100,-66.4072,-67.4433220147,50.5949,200.000000102,2578.6088356,2578.6088356,2,500.0,-67.4433220147,1.0,0.005,-66.4072,1.0,2.1793e-19,1.0,0.005
92.59,0.00333333,-63.6290409419,1.0,1.0,,500,100,-65.4811,-63.6290409419,46.3094,299.999969474,1322.06309375,1322.06309375,2,500.0,-63.6290409419,1.0,0.00333333,-65.4811,1.0,5.43914e-20,1.0,0.00333333
86.49,0.0025,-58.7916660069,1.0,1.0,,500,100,-63.8088,-58.7916660069,40.3361,400.0,41.1859169637,41.1859169637,2,500.0,-58.7916660069,1.0,0.0025,-63.8088,1.0,5.4346e-20,1.0,0.0025
87.98,0.002,-59.8935812309,44.9997,1.0,4.9867,500,100,-60.1892,-59.8935812309,33.096,89.5491705653,46.9576555462,46.9576555462,1,,-59.8935812309,inf,1.02977e-07,-60.1892,5.36516e-05,1.83709e-05,1.04201,0.086371
100.05,0.01,-70.181352454,1.0,1.0,,500,100,-70.1814,-70.181352454,61.3709,100.0,3804.43330676,3804.43330676,2,500.0,-70.181352454,1.0,0.01,-70.1814,1.0,3.50449e-18,1.0,0.01
96.62,0.005,-67.0696172684,1.0,1.0,,500,100,-68.6255,-67.0696172684,56.2034,200.000000102,2572.13988446,2572.13988446,2,500.0,-67.0696172684,1.0,0.005,-68.6255,1.0,2.1793e-19,1.0,0.005
86.26,0.00333333,-59.4153385565,1.0,1.0,,500,100,-65.5554,-59.4153385565,46.2936,299.999969474,55.6364421331,55.6364421331,2,500.0,-59.4153385565,1.0,0.00333333,-65.5554,1.0,5.43914e-20,1.0,0.00333333
91.41,0.0025,-62.8587399428,1.0,1.0,,500,100,-64.8813,-62.8587399428,43.9965,400.0,1321.24420385,1321.24420385,2,500.0,-62.8587399428,1.0,0.0025,-64.8813,1.0,5.4346e-20,1.0,0.0025
88.06,0.002,-59.9516640821,11.2672,1.0,0.645499,500,100,-61.9212,-59.9516640821,26.1995,289.105573874,45.8231054166,45.8231054166,1,,-59.9516640821,inf,0.000128924,-61.9212,0.0605775,2.92374e-06,0.939742,0.0239793
95.56,0.01,-66.5184786309,1.0,1.0,,500,100,-66.5185,-66.5184786309,50.5247,100.0,2578.53565171,2578.53565171,2,500.0,-66.5184786309,1.0,0.01,-66.5185,1.0,3.50449e-18,1.0,0.01
98.9,0.005,-69.741142191,1.0,1.0,,500,100,-68.1298,-69.741142191,56.2987,200.000000102,3819.34160645,3819.34160645,2,500.0,-69.741142191,1.0,0.005,-68.1298,1.0,2.1793e-19,1.0,0.005
93.27,0.00333333,-63.9817435557,1.0,1.0,,500,100,-66.7471,-63.9817435557,50.5437,299.999969474,1326.69922329,1326.69922329,2,500.0,-63.9817435557,1.0,0.00333333,-66.7471,1.0,5.43914e-20,1.0,0.00333333
88.83,0.0025,-60.5005692989,1.0,1.0,,500,100,-65.1855,-60.5005692989,44.0188,400.0,57.954791588,57.954791588,2,500.0,-60.5005692989,1.0,0.0025,-65.1855,1.0,5.4346e-20,1.0,0.0025
88.64,0.002,-60.078276808,4.89747,1.0,0.363063,500,100,-63.1132,-60.078276808,30.7856,368.054610056,45.0473395848,45.0473395848,1,,-60.078276808,inf,0.00107692,-63.1132,0.54134,1.43685e-06,1.00535,0.00974285
89.98,0.01,-62.2263420358,1.0,1.0,,500,100,-62.2263,-62.2263420358,36.4255,100.0,1340.21998485,1340.21998485,2,500.0,-62.2263420358,1.0,0.01,-62.2263,1.0,3.50449e-18,1.0,0.01
90.49,0.005,-62.6368694259,1.0,1.0,,500,100,-62.4316,-62.6368694259,36.3652,200.000000102,1331.26135296,1331.26135296,2,500.0,-62.6368694259,1.0,0.005,-62.4316,1.0,2.1793e-19,1.0,0.005
94.84,0.00333333,-66.218317489,1.0,1.0,,500,100,-63.6938,-66.218317489,41.6684,299.999969474,2580.16201483,2580.16201483,2,500.0,-66.218317489,1.0,0.00333333,-63.6938,1.0,5.43914e-20,1.0,0.00333333
104.38,0.0025,-74.064839531,1.0,1.0,,500,100,-66.2866,-74.064839531,50.5665,400.0,4988.32407761,4988.32407761,2,500.0,-74.064839531,1.0,0.0025,-66.2866,1.0,5.4346e-20,1.0,0.0025
94.67,0.002,-66.0533113599,33.2238,1.0,12.3785,500,100,-60.2196,-66.0533113599,22.9815,42.2734663112,2585.69031832,2585.69031832,1,,-66.0533113599,inf,6.11797e-08,-60.2196,3.26744e-05,4.33978e-05,1.06815,0.0622084
92.74,0.01,-63.4697945037,1.0,1.0,,500,100,-63.4698,-63.4697945037,36.0482,100.0,1312.60174997,1312.60174997,2,500.0,-63.4697945037,1.0,0.01,-63.4698,1.0,3.50449e-18,1.0,0.01
97.5,0.005,-67.6078298584,1.0,1.0,,500,100,-65.5388,-67.6078298584,43.8391,200.000000102,2561.31048971,2561.31048971,2,500.0,-67.6078298584,1.0,0.005,-65.5388,1.0,2.1793e-19,1.0,0.005
92.58,0.00333333,-63.542271957,1.0,1.0,,500,100,-64.8733,-63.542271957,41.4289,299.999969474,1315.81548589,1315.81548589,2,500.0,-63.542271957,1.0,0.00333333,-64.8733,1.0,5.43914e-20,1.0,0.00333333
94.71,0.0025,-66.1188132952,1.0,1.0,,500,100,-65.1847,-66.1188132952,43.9063,400.0,2586.71134698,2586.71134698,2,500.0,-66.1188132952,1.0,0.0025,-65.1847,1.0,5.4346e-20,1.0,0.0025
92.96,0.002,-63.7858846125,66.2839,1.0,10.2275,500,100,-61.4337,-63.7858846125,43.7105,61.2839344331,1328.28754125,1328.28754125,1,,-63.7858846125,inf,0.000570449,-61.4337,0.340579,2.86924e-05,1.19407,0.111021
96.5,0.01,-67.1732217528,1.0,1.0,,500,100,-67.1732,-67.1732217528,50.4463,100.0,2570.5364318,2570.5364318,2,500.0,-67.1732217528,1.0,0.01,-67.1732,1.0,3.50449e-18,1.0,0.01
92.95,0.005,-64.0375689244,1.0,1.0,,500,100,-65.6054,-64.0375689244,43.8925,200.000000102,1316.514183,1316.514183,2,500.0,-64.0375689244,1.0,0.005,-65.6054,1.0,2.1793e-19,1.0,0.005
95.0,0.00333333,-66.1890244426,1.0,1.0,,500,100,-65.7999,-66.1890244426,46.2433,299.999969474,2587.88829973,2587.88829973,2,500.0,-66.1890244426,1.0,0.00333333,-65.7999,1.0,5.43914e-20,1.0,0.00333333
86.82,0.0025,-58.9430573265,1.0,1.0,,500,100,-64.0857,-58.9430573265,40.3234,400.0,53.84276439,53.84276439,2,500.0,-58.9430573265,1.0,0.0025,-64.0857,1.0,5.4346e-20,1.0,0.0025
102.93,0.002,-72.0296692628,9.03967,1.0,0.660805,500,100,-63.462,-72.0296692628,27.7437,288.321797486,3761.53242129,3761.53242129,1,,-72.0296692628,inf,0.000970921,-63.462,0.460105,2.94258e-06,0.947769,0.0190757
89.5,0.01,-60.665679615,1.0,1.0,,500,100,-60.6657,-60.665679615,6.8224,100.0,47.0153098412,47.0153098412,2,500.0,-60.665679615,1.0,0.01,-60.6657,1.0,3.50449e-18,1.0,0.01
111.8,0.005,-81.0171115384,1.0,1.0,,500,100,-70.8414,-81.0171115384,61.2699,200.000000102,7327.63574646,7327.63574646,2,500.0,-81.0171115384,1.0,0.005,-70.8414,1.0,2.1793e-19,1.0,0.005
86.58,0.00333333,-59.2365538533,1.0,1.0,,500,100,-66.9731,-59.2365538533,50.4955,299.999969474,52.1211434982,52.1211434982,2,500.0,-59.2365538533,1.0,0.00333333,-66.9731,1.0,5.43914e-20,1.0,0.00333333
97.67,0.0025,-68.9884055218,1.0,1.0,,500,100,-67.4769,-68.9884055218,53.4733,400.0,3823.36843887,3823.36843887,2,500.0,-68.9884055218,1.0,0.0025,-67.4769,1.0,5.4346e-20,1.0,0.0025
93.69,0.002,-64.0998607427,33.7981,1.0,4.51227,500,100,-63.0951,-64.0998607427,35.4695,87.6896463652,1331.84910339,1331.84910339,1,499.99797345,-64.0998607427,1.0,0.000846794,-63.0951,0.414355,1.88454e-05,0.978645,0.0690713
86.93,0.01,-59.2773226501,1.0,1.0,,500,100,-59.2773,-59.2773226501,7.52748,100.0,57.2353860372,57.2353860372,2,500.0,-59.2773226501,1.0,0.01,-59.2773,1.0,3.50449e-18,1.0,0.01
93.73,0.005,-64.3189966345,1.0,1.0,,500,100,-61.7982,-64.3189966345,26.2296,200.000000102,1319.80868812,1319.80868812,2,500.0,-64.3189966345,1.0,0.005,-61.7982,1.0,2.1793e-19,1.0,0.005
90.61,0.00333333,-62.5221074472,1.0,1.0,,500,100,-62.0395,-62.5221074472,29.9037,299.999969474,1319.55711338,1319.55711338,2,500.0,-62.5221074472,1.0,0.00333333,-62.0395,1.0,5.43914e-20,1.0,0.00333333
96.16,0.0025,-67.2524833046,1.0,1.0,,500,100,-63.3427,-67.2524833046,36.2488,400.0,2578.6119985,2578.6119985,2,500.0,-67.2524833046,1.0,0.0025,-63.3427,1.0,5.4346e-20,1.0,0.0025
101.15,0.002,-71.0079248692,40.9903,1.0,9.29586,500,100,-57.6951,-71.0079248692,34.1833,13.6095116943,3778.18561184,3778.18561184,1,,-71.0079248692,inf,3.69378e-11,-57.6951,9.40978e-09,0.000143243,0.509494,0.160906
95.37,0.01,-66.1170033211,1.0,1.0,,500,100,-66.117,-66.1170033211,50.6427,100.0,2590.59251019,2590.59251019,2,500.0,-66.1170033211,1.0,0.01,-66.117,1.0,3.50449e-18,1.0,0.01
100.83,0.005,-70.8227613461,1.0,1.0,,500,100,-68.4699,-70.8227613461,56.2497,200.000000102,3790.19204672,3790.19204672,2,500.0,-70.8227613461,1.0,0.005,-68.4699,1.0,2.1793e-19,1.0,0.005
91.89,0.00333333,-63.0598549131,1.0,1.0,,500,100,-66.6665,-63.0598549131,50.5159,299.999969474,1321.22318631,1321.22318631,2,500.0,-63.0598549131,1.0,0.00333333,-66.6665,1.0,5.43914e-20,1.0,0.00333333
90.19,0.0025,-62.5195894316,1.0,1.0,,500,100,-65.6298,-62.5195894316,47.4129,400.0,1336.83484452,1336.83484452,2,500.0,-62.5195894316,1.0,0.0025,-65.6298,1.0,5.4346e-20,1.0,0.0025
100.18,0.002,-70.2877763003,9.5713,1.0,0.190622,500,100,-58.9621,-70.2877763003,9.198,1.97347037685,3804.14105051,3804.14105051,1,,-70.2877763003,inf,2.95831e-24,-58.9621,4.0612e-23,0.00101147,0.0274562,0.697205
91.76,0.01,-63.0506462573,1.0,1.0,,500,100,-63.0506,-63.0506462573,36.1324,100.0,1318.73592711,1318.73592711,2,500.0,-63.0506462573,1.0,0.01,-63.0506,1.0,3.50449e-18,1.0,0.01
98.22,0.005,-69.3405722538,1.0,1.0,,500,100,-66.1956,-69.3405722538,50.5039,200.000000102,3814.10875942,3814.10875942,2,500.0,-69.3405722538,1.0,0.005,-66.1956,1.0,2.1793e-19,1.0,0.005
95.58,0.00333333,-66.5221906748,1.0,1.0,,500,100,-66.3045,-66.5221906748,50.535,299.999969474,2585.84910811,2585.84910811,2,500.0,-66.5221906748,1.0,0.00333333,-66.3045,1.0,5.43914e-20,1.0,0.00333333
94.84,0.0025,-66.261343403,1.0,1.0,,500,100,-66.2937,-66.261343403,50.5354,400.0,2579.76080196,2579.76080196,2,500.0,-66.261343403,1.0,0.0025,-66.2937,1.0,5.4346e-20,1.0,0.0025
98.94,0.002,-68.8075482146,13.3916,1.0,1.09397,500,100,-63.806,-68.8075482146,36.1678,228.055447384,2555.82792998,2555.82792998,1,,-68.8075482146,inf,0.000387384,-63.806,0.185336,4.77936e-06,0.956859,0.0279908
95.9,0.01,-66.8505520086,1.0,1.0,,500,100,-66.8505,-66.8505520086,50.6265,100.0,2588.9270147,2588.9270147,2,500.0,-66.8505520086,1.0,0.01,-66.8505,1.0,3.50449e-18,1.0,0.01
96.54,0.005,-66.9253664054,1.0,1.0,,500,100,-66.888,-66.9253664054,50.5042,200.000000102,2563.94149763,2563.94149763,2,500.0,-66.9253664054,1.0,0.005,-66.888,1.0,2.1793e-19,1.0,0.005
95.68,0.00333333,-66.5294345485,1.0,1.0,,500,100,-66.7684,-66.5294345485,50.4997,299.999969474,2574.99188454,2574.99188454,2,500.0,-66.5294345485,1.0,0.00333333,-66.7684,1.0,5.43914e-20,1.0,0.00333333
91.91,0.0025,-63.1199024501,1.0,1.0,,500,100,-65.8563,-63.1199024501,47.3758,400.0,1330.52721402,1330.52721402,2,500.0,-63.1199024501,1.0,0.0025,-65.8563,1.0,5.4346e-20,1.0,0.0025
85.58,0.002,-58.5104528046,21.4524,1.0,1.33896,500,100,-62.956,-58.5104528046,33.8084,213.35535597,47.7195829553,47.7195829553,1,,-58.5104528046,inf,1.79776e-05,-62.956,0.00896456,5.3848e-06,0.997306,0.0430206
98.97,0.01,-69.5394924378,1.0,1.0,,500,100,-69.5395,-69.5394924378,61.3784,100.0,3805.36493957,3805.36493957,2,500.0,-69.5394924378,1.0,0.01,-69.5395,1.0,3.50449e-18,1.0,0.01
87.31,0.005,-59.4040663964,1.0,1.0,,500,100,-64.4718,-59.4040663964,43.9436,200.000000102,43.8390826296,43.8390826296,2,500.0,-59.4040663964,1.0,0.005,-64.4718,1.0,2.1793e-19,1.0,0.005
99.67,0.00333333,-70.0055382538,1.0,1.0,,500,100,-66.3164,-70.0055382538,50.4938,299.999969474,3804.43510804,3804.43510804,2,500.0,-70.0055382538,1.0,0.00333333,-66.3164,1.0,5.43914e-20,1.0,0.00333333
89.47,0.0025,-61.7735235679,1.0,1.0,,500,100,-65.1806,-61.7735235679,47.397,400.0,1334.89031165,1334.89031165,2,500.0,-61.7735235679,1.0,0.0025,-65.1806,1.0,5.4346e-20,1.0,0.0025
97.59,0.002,-67.7176923612,40.4077,1.0,4.7887,500,100,-60.4838,-67.7176923612,48.6099,65.5716066307,2579.36073479,2579.36073479,1,,-67.7176923612,inf,1.64597e-13,-60.4838,6.9898e-11,2.65541e-05,0.849323,0.0951527
89.36,0.01,-61.7320313585,1.0,1.0,,500,100,-61.732,-61.7320313585,36.3503,100.0,1334.69427404,1334.69427404,2,500.0,-61.7320313585,1.0,0.01,-61.732,1.0,3.50449e-18,1.0,0.01
96.32,0.005,-67.2185732104,1.0,1.0,,500,100,-64.4753,-67.2185732104,44.0521,200.000000102,2570.47753536,2570.47753536,2,500.0,-67.2185732104,1.0,0.005,-64.4753,1.0,2.1793e-19,1.0,0.005
99.73,0.00333333,-70.3891427045,1.0,1.0,,500,100,-66.4466,-70.3891427045,50.5746,299.999969474,3806.95282648,3806.95282648,2,500.0,-70.3891427045,1.0,0.00333333,-66.4466,1.0,5.43914e-20,1.0,0.00333333
86.14,0.0025,-58.7043768825,1.0,1.0,,500,100,-64.511,-58.7043768825,44.0384,400.0,39.594504522,39.594504522,2,500.0,-58.7043768825,1.0,0.0025,-64.511,1.0,5.4346e-20,1.0,0.0025
88.1,0.002,-59.8330308579,7.71468,1.0,0.331493,500,100,-62.3252,-59.8330308579,28.2088,371.612728727,34.5004418439,34.5004418439,1,,-59.8330308579,inf,0.000692664,-62.3252,0.338906,1.38472e-06,0.978558,0.0157675
91.24,0.01,-62.9496556747,1.0,1.0,,500,100,-62.9497,-62.9496556747,36.2816,100.0,1329.65127241,1329.65127241,2,500.0,-62.9496556747,1.0,0.01,-62.9497,1.0,3.50449e-18,1.0,0.01
92.26,0.005,-63.4163658023,1.0,1.0,,500,100,-63.183,-63.4163658023,36.2678,200.000000102,1327.51380641,1327.51380641,2,500.0,-63.4163658023,1.0,0.005,-63.183,1.0,2.1793e-19,1.0,0.005
90.47,0.00333333,-62.5809566662,1.0,1.0,,500,100,-62.9823,-62.5809566662,36.2585,299.999969474,1326.36397373,1326.36397373,2,500.0,-62.5809566662,1.0,0.00333333,-62.9823,1.0,5.43914e-20,1.0,0.00333333
86.14,0.0025,-58.7077686566,1.0,1.0,,500,100,-61.9137,-58.7077686566,31.6719,400.0,55.2502270381,55.2502270381,2,500.0,-58.7077686566,1.0,0.0025,-61.9137,1.0,5.4346e-20,1.0,0.0025
92.34,0.002,-63.4431749029,11.4387,1.0,0.619005,500,100,-60.9728,-63.4431749029,23.2601,308.086211252,1333.75416733,1333.75416733,1,,-63.4431749029,inf,0.000724417,-60.9728,0.360707,2.49668e-06,0.995854,0.0229726
87.3,0.01,-59.4749330507,1.0,1.0,,500,100,-59.4749,-59.4749330507,7.40009,100.0,55.3144323612,55.3144323612,2,500.0,-59.4749330507,1.0,0.01,-59.4749,1.0,3.50449e-18,1.0,0.01
93.9,0.005,-64.3538975188,1.0,1.0,,500,100,-61.9144,-64.3538975188,26.2802,200.000000102,1327.91083202,1327.91083202,2,500.0,-64.3538975188,1.0,0.005,-61.9144,1.0,2.1793e-19,1.0,0.005
87.87,0.00333333,-59.9381585497,1.0,1.0,,500,100,-61.2557,-59.9381585497,21.9209,299.999969474,58.2562287822,58.2562287822,2,500.0,-59.9381585497,1.0,0.00333333,-61.2557,1.0,5.43914e-20,1.0,0.00333333
98.49,0.0025,-68.2039627957,1.0,1.0,,500,100,-62.9927,-68.2039627957,31.7091,400.0,2569.79075828,2569.79075828,2,500.0,-68.2039627957,1.0,0.0025,-62.9927,1.0,5.4346e-20,1.0,0.0025
91.75,0.002,-63.2942756855,119.097,1.0,58.9888,500,100,-53.474,-63.2942756855,9.56217,5.68507398483,1336.40736263,1336.40736263,1,,-63.2942756855,inf,,-53.474,,0.000348495,0.822842,0.289478
88.03,0.01,-59.7465696944,1.0,1.0,,500,100,-59.7466,-59.7465696944,6.6496,100.0,44.6638609194,44.6638609194,2,500.0,-59.7465696944,1.0,0.01,-59.7466,1.0,3.50449e-18,1.0,0.01
94.76,0.005,-66.0884847564,1.0,1.0,,500,100,-62.9175,-66.0884847564,36.1353,200.000000102,2572.9276843,2572.9276843,2,500.0,-66.0884847564,1.0,0.005,-62.9175,1.0,2.1793e-19,1.0,0.005
86.91,0.00333333,-59.41084454,1.0,1.0,,500,100,-61.7486,-59.41084454,29.8321,299.999969474,50.6492350512,50.6492350512,2,500.0,-59.41084454,1.0,0.00333333,-61.7486,1.0,5.43914e-20,1.0,0.00333333
92.84,0.0025,-63.8582480776,1.0,1.0,,500,100,-62.276,-63.8582480776,31.5491,400.0,1321.38243782,1321.38243782,2,500.0,-63.8582480776,1.0,0.0025,-62.276,1.0,5.4346e-20,1.0,0.0025
89.69,0.002,-60.8869443749,4.56251e-14,1.0,4.16329e-30,500,100,-50.1438,-60.8869443749,1.86998e-05,1.00000118817,53.4236735195,53.4236735195,1,0.198278693096,-60.8869443749,2521.7,,-50.1438,,0.002,9.12502e-17,0.999999
86.31,0.01,-58.5474988739,1.0,1.0,,500,100,-58.5475,-58.5474988739,7.4311,100.0,55.7790186483,55.7790186483,2,500.0,-58.5474988739,1.0,0.01,-58.5475,1.0,3.50449e-18,1.0,0.01
90.73,0.005,-62.5862345959,1.0,1.0,,500,100,-60.5669,-62.5862345959,26.2166,200.000000102,1324.4911274,1324.4911274,2,500.0,-62.5862345959,1.0,0.005,-60.5669,1.0,2.1793e-19,1.0,0.005
95.71,0.00333333,-66.7833728677,1.0,1.0,,500,100,-62.639,-66.7833728677,36.2713,299.999969474,2572.1537071,2572.1537071,2,500.0,-66.7833728677,1.0,0.00333333,-62.639,1.0,5.43914e-20,1.0,0.00333333
96.79,0.0025,-67.1913194761,1.0,1.0,,500,100,-63.7771,-67.1913194761,40.3108,400.0,2563.12349046,2563.12349046,2,500.0,-67.1913194761,1.0,0.0025,-63.7771,1.0,5.4346e-20,1.0,0.0025
91.13,0.002,-62.8437620384,1.22039e-35,1.0,,500,100,-50.1946,-62.8437620384,,inf,1326.41012801,1326.41012801,1,1.05660003736e-08,-62.8437620384,4.73216e+10,,-50.1946,,0.002,2.44077e-38,1.0
84.92,0.01,-58.2545263781,1.0,1.0,,500,100,-58.2545,-58.2545263781,5.82979,100.0,34.3297334874,34.3297334874,2,500.0,-58.2545263781,1.0,0.01,-58.2545,1.0,3.50449e-18,1.0,0.01
90.47,0.005,-62.1174944596,1.0,1.0,,500,100,-60.186,-62.1174944596,26.0722,200.000000102,1331.38958786,1331.38958786,2,500.0,-62.1174944596,1.0,0.005,-60.186,1.0,2.1793e-19,1.0,0.005
102.72,0.00333333,-73.2597059278,1.0,1.0,,500,100,-64.5439,-73.2597059278,46.3138,299.999969474,5011.55921485,5011.55921485,2,500.0,-73.2597059278,1.0,0.00333333,-64.5439,1.0,5.43914e-20,1.0,0.00333333
