VarNormIw,eRenyi2,J,MinNormIw,Bound,AvgNormIw,AvgRet,VarDiscRet,AvgDiscRet,AvgEpLen,ESSRenyi,VarJ,MaxVanillaIw,ESSClassic,VarRet,AvgVanillaIw,MinVanillaIw,MaxNormIw,VanillaAvgRet,VarVanillaIw,BatchSize
1.5122691e-06,1.3346848,-8.316405,0.0015409266,-9.362324,0.002,-8.63190610383805,57.870836485960005,-8.63190610383805,200.0,374.6202711861258,8.548631,12.07262,363.02613670072293,57.870836485960005,0.9946092,0.7663099,0.02427611,-8.63190610383805,0.3740021,500
3.601576e-06,1.6470598,-7.664485,0.0005727281,-8.832471,0.002,-8.137960022756886,53.468266434592856,-8.137960022756886,200.0,303.5712489213109,8.8049345,15.047555,263.3528498198882,53.468266434592856,0.97982556,0.2805868,0.030714763,-8.137960022756886,0.86443055,500
1.3359388e-06,1.313794,-8.1445675,0.0015484102,-9.186409,0.002,-8.481069731535813,51.74680308066522,-8.481069731535813,200.0,380.5771632324502,8.3398075,11.524944,375.0046284504286,51.74680308066522,1.0049723,0.7780547,0.022935843,-8.481069731535813,0.33731434,500
2.9974376e-07,1.0763017,-7.6230683,0.000106963096,-8.558121,0.002,-7.690803089516307,52.44184633212888,-7.690803089516307,200.0,464.55376111195966,7.5372257,1.2608322,465.20880409115347,52.44184633212888,1.0078373,0.053900696,0.0025020551,-7.690803089516307,0.07611514,500
6.9347607e-07,1.1904218,-7.2337346,4.653895e-06,-8.226361,0.002,-7.357069167016896,52.19371598797178,-7.357069167016896,200.0,420.019182890576,7.611953,1.4791337,426.2492965561482,52.19371598797178,1.0192914,0.0023718376,0.0029022782,-7.357069167016896,0.18012263,500
1.2534318e-06,1.3136742,-8.172716,6.325897e-05,-9.216597,0.002,-8.414178810702655,54.83363050244808,-8.414178810702655,200.0,380.61187136214875,8.350069,2.9071133,380.88530382035395,54.83363050244808,0.966299,0.03056354,0.0060170055,-8.414178810702655,0.2925929,500
8.44889e-07,1.2445403,-7.717247,0.0015489581,-8.733034,0.002,-7.982878345257805,51.37156037444896,-7.982878345257805,200.0,401.754757512983,7.826025,5.784932,412.95014906541587,51.37156037444896,1.0072724,0.7801113,0.011486332,-7.982878345257805,0.2143056,500
0.00012250815,4.072809,-6.4347157,0.0005902499,-8.264515,0.002,-8.363381297194904,55.51622349956066,-8.363381297194904,200.0,122.76538700197862,23.29559,165.12547,15.8399356284464,55.51622349956066,1.4066095,0.41512555,0.2347851,-8.363381297194904,60.597134,500
1.629422e-06,1.3527819,-7.1347427,0.00028096887,-8.1939335,0.002,-7.426012883488892,52.69353380798404,-7.426012883488892,200.0,369.6087322149705,8.840176,5.401728,355.48205764512744,52.69353380798404,1.0302153,0.1447292,0.010486602,-7.426012883488892,0.43234405,500
1.1353326e-06,1.3075849,-7.65066,8.344652e-05,-8.6924095,0.0019999999,-7.865037136655956,51.151762474371694,-7.865037136655956,200.0,382.3843537548306,7.845843,1.9859884,389.6310848504673,51.151762474371694,1.0268836,0.04284493,0.0038679915,-7.865037136655956,0.29929915,500
7.674316e-07,1.2226851,-8.063228,0.0015939123,-9.06492,0.002,-8.294884588020702,50.57477001077111,-8.294884588020702,200.0,408.93603803044005,7.566454,4.7245374,419.6482154788263,50.57477001077111,0.9997008,0.7967177,0.0094519025,-8.294884588020702,0.1917431,500
1.4949327e-07,1.0424209,-8.209932,0.0017781229,-9.139101,0.002,-8.26570285982014,53.54095180029476,-8.26570285982014,200.0,479.65271726327296,7.5837417,3.0864904,482.02127533486623,53.54095180029476,0.99323,0.88304245,0.006215057,-8.26570285982014,0.03686899,500
