BatchSize,ESSClassic,AvgRet,VarNormIw,J,eRenyi2,VanillaAvgRet,MinVanillaIw,VarJ,MaxVanillaIw,AvgVanillaIw,Bound,VarRet,EpsThisIter,IterType,MaxNormIw,AvgNormIw,AvgDiscRet,AvgEpLen,ESSRenyi,VarDiscRet,MinNormIw,VarVanillaIw
500,200.00000010221265,-0.9617843225865056,2.179301e-19,0.5471184,1.0,-0.9617843225865056,1.0,14.012309,1.0,1.0,-2.9614928,185.11519988544273,100,2,0.005,0.0049999994,-0.9617843225865056,500.0,500.0,185.11519988544273,0.005,
500,299.999969473632,-1.3937575638412694,5.4391416e-20,-0.099840194,1.0,-1.3937575638412694,1.0,12.887308,1.0,1.0,-2.9646091,104.08798915156655,100,2,0.0033333334,0.0033333336,-1.3937575638412694,500.0,500.0,104.08798915156655,0.0033333334,
500,400.0,-2.1454286255869532,5.434597e-20,-0.61123735,1.0,-2.1454286255869532,1.0,12.443556,1.0,1.0,-3.0922,119.17368918379468,100,2,0.0025,0.0024999997,-2.1454286255869532,500.0,500.0,119.17368918379468,0.0025,
500,1.078638957650215,-1.8188764715467451,0.0018538967,57.026863,22.962156,-1.8188764715467451,1.0655664e-05,42.071266,11114.032,23.085983,46.39348,134.92595976824177,100,1,0.9628382,0.0020000006,-1.8188764715467451,500.0,21.774958482099063,134.92595976824177,9.2312846e-10,247014.33
500,100.0,8.752115973404011,3.5044917e-18,8.752116,1.0,8.752115973404011,1.0,15.168778,1.0,1.0,3.8256316,232.41604793162404,100,2,0.01,0.009999998,8.752115973404011,500.0,500.0,232.41604793162404,0.01,
500,200.00000010221265,9.00288504508576,2.179301e-19,8.877501,1.0,9.00288504508576,1.0,16.016554,1.0,1.0,5.3939495,285.79458371056614,100,2,0.005,0.0049999994,9.00288504508576,500.0,500.0,285.79458371056614,0.005,
500,299.999969473632,6.561720872383594,5.4391416e-20,8.105575,1.0,6.561720872383594,1.0,15.6827,1.0,1.0,5.1732063,223.44048314250662,100,2,0.0033333334,0.0033333336,6.561720872383594,500.0,500.0,223.44048314250662,0.0033333334,
500,400.0,8.912124514821178,5.434597e-20,8.307211,1.0,8.912124514821178,1.0,15.9305935,1.0,1.0,5.7677054,279.6021026730648,100,2,0.0025,0.0024999997,8.912124514821178,500.0,500.0,279.6021026730648,0.0025,
500,1.1603622770340136,5.198337106936423,0.0017230454,43.32732,8.382816,5.198337106936423,5.700167e-06,37.501614,6585.386,14.188134,36.750908,216.2015505565465,100,1,0.9282949,0.002,5.198337106936423,500.0,59.64582560676767,216.2015505565465,8.0351187e-10,86713.625
500,100.0,14.665282914835682,3.5044917e-18,14.665282,1.0,14.665282914835682,1.0,18.933737,1.0,1.0,9.542622,362.10747066935784,100,2,0.01,0.009999998,14.665282914835682,500.0,500.0,362.10747066935784,0.01,
500,200.00000010221265,19.872809300046733,2.179301e-19,17.269047,1.0,19.872809300046733,1.0,19.767344,1.0,1.0,13.196485,413.58609046094955,100,2,0.005,0.0049999994,19.872809300046733,500.0,500.0,413.58609046094955,0.005,
500,299.999969473632,16.802323324809066,5.4391416e-20,17.113472,1.0,16.802323324809066,1.0,19.410572,1.0,1.0,13.190714,352.1918227313534,100,2,0.0033333334,0.0033333336,16.802323324809066,500.0,500.0,352.1918227313534,0.0033333334,
500,400.0,16.1785951452042,5.434597e-20,16.879753,1.0,16.1785951452042,1.0,19.567677,1.0,1.0,13.482545,404.6559572250343,100,2,0.0025,0.0024999997,16.1785951452042,500.0,500.0,404.6559572250343,0.0025,
500,1.3468466886049262,17.142013854835866,0.0014839178,55.766308,9.22879,17.142013854835866,5.433769e-05,68.31624,3008.9773,6.9855614,46.535503,358.5635867491719,100,1,0.8614847,0.0019999996,17.142013854835866,500.0,54.17828173103314,358.5635867491719,1.5557143e-08,18103.08
500,100.0,29.77435988714374,3.5044917e-18,29.774357,1.0,29.77435988714374,1.0,18.26719,1.0,1.0,24.279686,337.06088427052174,100,2,0.01,0.009999998,29.77435988714374,500.0,500.0,337.06088427052174,0.01,
500,200.00000010221265,29.73515484527276,2.179301e-19,29.754755,1.0,29.73515484527276,1.0,17.862154,1.0,1.0,25.556114,307.4970677543912,100,2,0.005,0.0049999994,29.73515484527276,500.0,500.0,307.4970677543912,0.005,
