J,AvgNormIw,VarJ,MinNormIw,MaxNormIw,eRenyi2,VanillaAvgRet,VarRet,VarDiscRet,ESSRenyi,AvgEpLen,AvgRet,Delta,AvgDiscRet,ESSClassic,AvgVanillaIw,VarNormIw,Bound,BatchSize,IterType,MinVanillaIw,EpsThisIter,MaxVanillaIw,VarVanillaIw
-85.4258,0.01,81.226,0.00940467,0.0125396,1.00564,-86.1766155839,7169.17941119,7169.17941119,99.4393487645,119.29,-86.1766155839,0.1,-86.1766155839,99.6287471274,0.994164,3.76402e-07,-210.919,100,1,0.934978,100,1.24664,0.00372022
-70.6136,0.01,48.7831,0.00834102,0.0122836,1.0025,-70.9185729858,2565.65048856,2565.65048856,99.7510922119,101.36,-70.9185729858,0.1,-70.9185729858,99.6738760492,1.01099,3.30511e-07,-195.908,100,1,0.843269,100,1.24186,0.00337816
-78.3665,0.01,68.9868,0.00962037,0.0125421,1.00208,-78.6333506142,5014.79571601,5014.79571601,99.7921623149,109.72,-78.6333506142,0.1,-78.6333506142,99.8118390401,0.995425,1.90418e-07,-203.639,100,1,0.957636,100,1.24847,0.0018868
-81.9038,0.01,76.8799,0.00683901,0.0154804,1.01918,-84.2820703515,7245.71184255,7245.71184255,98.1179170706,116.28,-84.2820703515,0.1,-84.2820703515,97.8261469576,0.996125,2.24459e-06,-208.242,100,1,0.681251,100,1.54204,0.0222722
-73.0982,0.01,51.4336,0.00576284,0.0127168,1.01592,-75.0903373556,3768.82668529,3768.82668529,98.4333360205,105.72,-75.0903373556,0.1,-75.0903373556,98.4288962719,1.00971,1.61233e-06,-199.232,100,1,0.58188,100,1.28403,0.016438
-74.1075,0.01,58.0445,0.00389948,0.0120758,1.02565,-77.7914900237,4979.75524843,4979.75524843,97.4988159309,108.28,-77.7914900237,0.1,-77.7914900237,96.7695435353,0.984687,3.37203e-06,-200.843,100,1,0.383977,100,1.18909,0.0326955
-84.3053,0.01,77.4053,0.00456106,0.0134212,1.0152,-86.5963088623,7154.14013918,7154.14013918,98.5028372116,119.12,-86.5963088623,0.1,-86.5963088623,98.3455253207,1.00779,1.6993e-06,-210.395,100,1,0.459659,100,1.35257,0.0172587
-73.5217,0.01,56.6642,0.00895543,0.0136181,1.00734,-74.4834077571,3800.04945608,3800.04945608,99.2710591045,104.72,-74.4834077571,0.1,-74.4834077571,99.1045523549,1.00489,9.12679e-07,-199.12,100,1,0.899921,100,1.36847,0.00921625
-78.4921,0.01,69.6044,0.00237421,0.0131683,1.03897,-84.5555803438,7227.33529017,7227.33529017,96.249048967,116.38,-84.5555803438,0.1,-84.5555803438,95.0370534296,0.956911,5.27486e-06,-206.048,100,1,0.227191,100,1.26009,0.0483008
-86.2675,0.01,82.0979,0.00635338,0.0126826,1.02337,-89.2582843898,8297.31281291,8297.31281291,97.716650407,122.31,-89.2582843898,0.1,-89.2582843898,97.8952625374,1.02032,2.17174e-06,-212.864,100,1,0.64825,100,1.29403,0.0226091
