VarVanillaIw,BatchSize,ESSClassic,MinVanillaIw,MaxVanillaIw,AvgNormIw,AvgDiscRet,ESSRenyi,eRenyi2,VarNormIw,VarDiscRet,AvgRet,VarRet,VarJ,AvgVanillaIw,MinNormIw,AvgEpLen,J,Bound,MaxNormIw
0.027510986,100,97.30807263579246,0.61865854,1.5460035,0.01,152.23525151876703,97.21145714140692,1.0286853,2.7943368e-06,1127.7332890898974,165.1280686744675,1643.151921360111,33.71215,0.9922331,0.006235012,17.52,153.16309,123.99199,0.015581051
0.031294107,100,96.79396156764551,0.5369307,1.2398679,0.01,154.70856623197955,96.76538874015358,1.0334274,3.345689e-06,1102.5491562940683,168.02453580109403,1623.3884014791486,31.438852,0.96713805,0.005551748,17.81,155.01038,126.78244,0.012819968
0.2621916,100,79.98995943562439,0.16699211,3.0554843,0.010000002,148.21763315321007,85.37399506071719,1.1713169,2.526837e-05,587.8497403230917,160.02773903802037,823.069081054567,25.53527,1.0186402,0.0016393631,17.01,152.02582,127.82635,0.029995719
0.30060783,100,75.88625739416753,0.08553115,4.022081,0.010000002,155.5931811998936,82.94100047597644,1.2056763,3.2097123e-05,1192.5606608683581,169.12626519834623,1740.5555926906782,41.15623,0.96775866,0.0008838067,17.92,162.2334,126.549515,0.041560784
0.14086656,100,88.5284317194781,0.607609,3.8232965,0.01,148.5753047316658,92.64791363472352,1.0793551,1.3088932e-05,693.4681192375766,160.5266545059532,995.503833227934,25.087934,1.0374134,0.0058569615,17.06,149.563,126.427795,0.03685413
0.052371655,100,95.56296949550706,0.5716437,1.6121975,0.01,159.5085462469936,95.47156381625946,1.0474323,4.689964e-06,1538.731409480974,174.02409974118694,2317.0623426268994,39.59121,1.0567284,0.0054095616,18.41,161.20285,126.51772,0.015256499
0.0852272,100,92.12077348120141,0.4813539,1.6970307,0.009999999,162.23265245046912,92.90770629514843,1.076337,8.639558e-06,1098.386410677353,176.92246313242242,1617.1350438965303,34.374947,0.9932151,0.0048464215,18.7,165.04578,134.35928,0.017086236
0.08156187,100,92.50861643145967,0.56370294,2.3241296,0.009999999,160.40174863244553,92.83052375726999,1.0772319,8.1798535e-06,1835.9464415117952,175.32533074969425,2843.0170969440924,47.442017,0.99855214,0.0056452025,18.54,164.37975,124.36534,0.023274994
0.078751594,100,92.31170987632123,0.34703255,1.8732413,0.01,159.51008276689512,93.22881970955348,1.0726297,8.412757e-06,1152.3040730710493,173.7233946199529,1671.955851419051,35.763096,0.9675213,0.0035868208,18.38,162.75693,130.96082,0.01936124
0.055905014,100,94.63791463419203,0.5629508,1.717965,0.010000002,160.16036210551283,95.20110229166309,1.050408,5.723114e-06,1052.4653895572358,174.4223195280507,1525.9779637978452,33.774574,0.9883463,0.0056958864,18.45,161.99234,132.87589,0.017382218
0.19309838,100,84.6449401342318,0.4130078,2.8815455,0.01,156.5711292682935,89.1414877218307,1.1218121,1.8323793e-05,1367.0530408651402,170.4243025504984,2056.850082531149,34.621094,1.0265535,0.0040232465,18.05,157.76714,125.47514,0.028070096
0.07934162,100,92.85146284841808,0.33698654,1.5669119,0.010000002,163.31380375435995,92.90345673712774,1.0763862,7.776655e-06,1599.478482820493,178.62171615514904,2518.060256812964,35.230125,1.0100762,0.003336249,18.87,163.2358,129.6781,0.01551281
0.025979979,100,97.5055009684082,0.73757255,1.6138574,0.01,171.46249585935732,97.14541944138716,1.0293846,2.584151e-06,1945.0131880516346,188.6219098040834,3033.333778236164,46.381832,1.0026757,0.0073560434,19.87,173.44986,134.37111,0.016095508
0.113757566,100,89.82141129237843,0.27657387,1.8699695,0.01,161.99795266690046,90.07276381149829,1.1102135,1.1446488e-05,1480.3129526394375,176.9210491096601,2184.241299750606,40.0682,0.9969055,0.0027743238,18.7,166.14494,129.63947,0.01875774
0.17295632,100,85.01960306299245,0.070007026,1.8937995,0.01,168.23477647495582,87.27325086671308,1.1458265,1.7797933e-05,1826.0259033008017,184.71725637590512,3036.6629762763478,38.69753,0.9857878,0.0007101632,19.48,169.29436,132.29585,0.019211026
0.041144256,100,96.23437075522914,0.50032413,1.5884535,0.010000002,168.57639865310756,95.86090982185425,1.0431781,3.952484e-06,1879.1813169137279,185.12003685545176,2966.1718759856367,43.186146,1.0202804,0.0049037905,19.52,170.16391,132.11813,0.015568795
0.055236254,100,94.56111428064305,0.3767292,1.8441907,0.01,172.1504085414817,95.2060833049597,1.050353,5.8098003e-06,1670.0803752205911,189.2181667299196,2531.4114692485205,43.12886,0.97506034,0.00386365,19.93,175.06763,137.78035,0.018913606
