Bound,ReturnStepMax,EmpiricalD2,ReturnMeanIW,InitialReturnStd,TimeElapsed,Weights,EpRewMean,EpisodesSoFar,MeanD2w0t,MinIW,StdD2w0t,InitialBound,InitialReturnMin,MaxIW,ReturnStepMaxmin,EpLenMean,MeanIW,InitialReturnMax,MaxD2w0t,EpThisIter,Iteration,MinD2w0t,TimestepsSoFar,StdIW,InitialReturnMean,J_sample_variance
49.08352,100.0,1.0716224,145.5667,13.508576,493.4796509742737,[-0.769 -0.597 -0.284 -0.75   0.092],-103.54673948540763,3400,0.103995115,0.54981,0.31310856,45.21727,-23.746597,2.3216145,94.83899,49.77,1.0450096,33.563232,1.3897647,100,34,,152601,0.25834355,5.2261353e-06,1150.4236
51.566086,100.0,1.0712625,145.25139,13.653967,508.42771577835083,[-0.746 -0.591 -0.27  -0.755  0.098],-103.5129522191863,3500,0.10307508,0.42616647,0.3112948,48.443176,-24.217041,2.964896,94.8143,49.46,1.0521127,35.57895,1.2785625,100,35,,157547,0.3342647,6.980896e-06,1511.9153
34.81761,100.0,1.005388,133.22649,15.180375,523.4673047065735,[-0.715 -0.603 -0.258 -0.771  0.102],-102.7856041502712,3600,0.10275986,0.8555085,0.30414036,34.54403,-25.35225,1.2959607,94.9873,51.23,1.0054027,58.740295,1.0203736,100,36,,162670,0.06301863,-6.5612794e-06,242.12038
62.76178,100.0,1.2191482,160.54924,13.015695,537.8003027439117,[-0.714 -0.603 -0.261 -0.771  0.104],-103.89357408441198,3700,0.10328811,0.33092758,0.3206434,56.113243,-21.28563,5.337965,94.61353,47.37,1.1096258,30.634132,1.6502472,100,37,,167407,0.61745596,3.890991e-06,4629.8315
28.189743,100.0,1.0838447,127.82911,11.973556,553.0877335071564,[-0.752 -0.604 -0.255 -0.77   0.118],-102.3364819391102,3800,0.1121104,0.37383252,0.32067347,25.53997,-25.691109,2.3672516,95.244545,54.5,1.0509071,39.217148,1.1981844,100,38,,172857,0.30400097,2.8991699e-06,816.4013
37.01445,100.0,1.0548229,135.37856,13.734515,568.7691321372986,[-0.773 -0.597 -0.253 -0.757  0.123],-103.12786670650026,3900,0.108098984,0.41648626,0.31602553,33.662262,-26.093048,1.9721799,95.06607,52.43,1.0606296,33.63212,1.2279384,100,39,,178100,0.22435261,1.04904175e-05,652.7118
26.625664,100.0,1.0477052,121.24864,14.088618,585.4116477966309,[-0.757 -0.616 -0.257 -0.767  0.111],-102.33890040375894,4000,0.11368789,0.48981515,0.32135022,25.613777,-28.163887,1.7734271,95.321396,55.64,1.0182219,37.856743,1.0933342,100,40,,183664,0.22455727,6.6375733e-06,574.08325
39.475563,100.0,1.0946238,138.12582,12.597538,600.0921795368195,[-0.76  -0.628 -0.259 -0.768  0.118],-102.56712303941127,4100,0.109944746,0.38879007,0.32221392,34.690063,-26.0887,2.1330235,95.075485,52.27,1.0800447,37.090508,1.4154141,100,41,,188891,0.29973638,3.5858154e-06,1154.2787
47.802643,100.0,1.1164759,144.5331,13.382077,615.0005519390106,[-0.733 -0.645 -0.256 -0.773  0.1  ],-103.43209713229133,4200,0.10494867,0.2928895,0.31509107,44.248764,-24.156319,2.5011454,94.86437,50.02,1.0553423,35.927578,1.2493799,100,42,,193893,0.3446462,-1.2969971e-06,1433.6957
47.446342,100.0,1.2312093,144.24887,13.539111,630.2634389400482,[-0.752 -0.66  -0.256 -0.779  0.094],-101.94905860044399,4300,0.11101455,0.29000905,0.32860908,38.449196,-26.070534,3.6323054,95.047714,51.59,1.1713351,40.222645,2.1242087,100,43,,199052,0.5518311,-1.7929077e-06,2641.8926
42.972122,100.0,1.0653358,139.19809,13.237343,645.9653134346008,[-0.714 -0.673 -0.262 -0.794  0.105],-103.72452274635064,4400,0.105369,0.5377677,0.31219837,40.26268,-26.268372,2.1383033,94.9451,51.16,1.0407726,31.345604,1.1448333,100,44,,204168,0.2396992,3.4332277e-07,684.41766
32.000496,100.0,1.0590342,129.26657,12.991039,661.5462152957916,[-0.709 -0.682 -0.256 -0.794  0.112],-102.92489789123782,4500,0.110480174,0.3979758,0.3189262,30.439888,-25.03759,1.8162427,95.15952,53.6,1.0240417,42.087776,1.1281095,100,45,,209528,0.25202867,5.41687e-06,911.3028
