InitialReturnStd,ReturnStepMax,TimestepsSoFar,StdD2w0t,InitialReturnMax,ReturnStepMaxmin,Iteration,MinD2w0t,Weights,EpLenMean,EmpiricalD2,J_sample_variance,StdIW,InitialBound,EpThisIter,MinIW,EpisodesSoFar,Bound,InitialReturnMin,MeanIW,TimeElapsed,InitialReturnMean,MaxD2w0t,EpRewMean,MeanD2w0t,MaxIW,ReturnMeanIW
11.007742,100.0,105726,0.26348317,-44.641174,99.00004,29,,[-0.807 -0.485 -0.454 -0.746 -0.004],37.42,1.0020249,130.18712,0.04799078,-378.35107,100,0.85324496,2900,-378.06784,-95.583115,0.9923482,326.8784816265106,-78.776634,1.0044531,-108.72354135015075,0.07493993,1.1186143,-78.22834
12.184326,100.0,109429,0.26250806,-37.816616,99.00001,30,,[-0.808 -0.484 -0.456 -0.745 -0.005],37.03,1.0041001,193.36781,0.05863498,-368.76416,100,0.8138288,3000,-368.32816,-95.42224,0.9847054,338.753621339798,-78.55052,1.0083629,-108.05575669016585,0.07423896,1.1589689,-77.69177
13.185259,100.0,113261,0.2665618,-40.669796,99.000046,31,,[-0.808 -0.484 -0.459 -0.744 -0.005],38.32,1.0041009,187.6626,0.06398956,-375.485,100,0.82146925,3100,-375.06772,-95.82385,0.9895615,349.95498847961426,-76.59659,1.0100976,-106.70231484049846,0.07679659,1.1493307,-75.78498
10.711143,100.0,116790,0.25807604,-55.656322,99.00047,32,,[-0.811 -0.483 -0.459 -0.741 -0.009],35.29,1.0114206,206.58064,0.112341054,-373.41754,100,0.6821265,3200,-371.70544,-96.46913,0.95740813,361.4107768535614,-80.61667,1.0292903,-109.2833852116867,0.07111684,1.2351831,-77.54762
13.757315,100.0,120427,0.26198834,-10.212637,99.00001,33,,[-0.804 -0.481 -0.453 -0.74  -0.017],36.37,1.0183018,253.32925,0.14344975,-383.35437,100,0.5634225,3300,-381.46613,-96.628716,0.955948,373.09813237190247,-79.38503,1.037091,-107.9601737831641,0.07337856,1.510774,-75.84448
11.372176,100.0,124045,0.25935975,-47.88855,99.00008,34,,[-0.804 -0.484 -0.449 -0.74  -0.023],36.18,1.0017493,153.18768,0.039028473,-361.437,100,0.8866844,3400,-361.23962,-95.06582,0.9933025,383.4352955818176,-78.016914,1.0034328,-107.02016467662207,0.072436444,1.0866102,-77.63821
12.35963,100.0,127545,0.25684115,-30.467392,99.00003,35,,[-0.805 -0.483 -0.449 -0.74  -0.018],35.0,1.0155833,204.66469,0.11816105,-370.9221,100,0.6734895,3500,-369.67593,-94.68755,0.9686897,393.08054757118225,-78.96368,1.0310799,-107.00074849790182,0.070462786,1.3511096,-76.46872
11.153374,100.0,131418,0.2678799,-44.450764,99.00019,36,,[-0.807 -0.485 -0.447 -0.738 -0.026],38.73,1.0046467,131.03795,0.067730606,-376.37012,100,0.79150236,3600,-375.87308,-93.95765,0.98737264,403.53632283210754,-77.481705,1.01184,-108.32317869025128,0.07762438,1.1907754,-76.50179
13.937945,100.0,135049,0.2600536,-3.802271,99.0,37,,[-0.809 -0.489 -0.447 -0.739 -0.029],36.31,1.0033358,205.03293,0.052736692,-386.8257,100,0.8270392,3700,-386.3452,-96.107254,0.9875549,413.79440426826477,-77.64984,1.0106286,-106.14855626973564,0.07276883,1.1520042,-76.72114
10.613031,100.0,138799,0.26354507,-52.775223,99.00003,38,,[-0.81  -0.493 -0.45  -0.742 -0.029],37.5,1.0008924,118.081894,0.027874837,-361.05518,100,0.89696413,3800,-360.94678,-94.71026,0.9970866,423.26647686958313,-78.70115,1.0031776,-108.77026049240682,0.07504072,1.0868134,-78.50144
12.711373,100.0,142637,0.26671517,-35.89583,99.0,39,,[-0.807 -0.495 -0.45  -0.743 -0.031],38.38,1.0037696,164.22278,0.05446384,-381.39957,100,0.8462184,3900,-381.0396,-94.91466,0.9901227,435.47455859184265,-77.43021,1.0078402,-107.62133429826832,0.07690324,1.1839604,-76.70569
11.576913,100.0,146026,0.25178227,-46.90285,99.0001,40,,[-0.805 -0.495 -0.448 -0.741 -0.033],33.89,1.0024148,144.9486,0.04427835,-376.00385,100,0.86827683,4000,-375.61945,-96.324905,0.99032915,445.1500549316406,-80.0204,1.0052794,-107.27119043445344,0.067892194,1.0962709,-79.31901
11.889621,100.0,149629,0.25872096,-36.09529,99.0,41,,[-0.81  -0.496 -0.451 -0.742 -0.036],36.03,1.0007406,143.50653,0.024867974,-377.2417,100,0.9263408,4100,-377.1403,-95.3986,0.99748045,455.7500903606415,-79.055046,1.0027524,-107.92057119803451,0.07209861,1.0743878,-78.85242
12.5236,100.0,153524,0.26822412,-41.772034,99.00005,42,,[-0.807 -0.495 -0.449 -0.741 -0.037],38.95,1.00137,170.47374,0.034748927,-378.55392,100,0.870152,4200,-378.37354,-94.7322,0.9942327,467.96505188941956,-77.652824,1.0036631,-108.29168473208262,0.07796273,1.0760856,-77.30397
11.950188,100.0,157535,0.2717162,-44.265297,99.0,43,,[-0.808 -0.496 -0.45  -0.743 -0.038],40.11,1.0004765,151.78351,0.021033837,-369.6152,100,0.9442969,4300,-369.56207,-95.48146,0.99788845,479.1081931591034,-76.81434,1.0009238,-108.59192415390997,0.080244415,1.0793741,-76.708496
10.724107,100.0,161081,0.2574402,-53.946213,99.00015,44,,[-0.807 -0.497 -0.451 -0.743 -0.037],35.46,1.0072373,108.989426,0.079460435,-368.409,100,0.83286375,4400,-367.8711,-95.79998,0.98894006,489.35377764701843,-80.02337,1.0128189,-108.65389224031618,0.071124256,1.3020756,-78.95708
10.514265,100.0,164726,0.26026407,-51.370033,99.00039,45,,[-0.809 -0.498 -0.448 -0.742 -0.037],36.45,1.0017108,126.757675,0.039423775,-373.7821,100,0.89308417,4500,-373.55377,-94.9319,0.9932858,500.17506980895996,-79.35344,1.0036155,-108.65993717043595,0.07297901,1.091915,-78.9197
12.258087,100.0,168341,0.25940117,-32.42257,99.0,46,,[-0.808 -0.498 -0.448 -0.743 -0.041],36.15,1.004038,166.19579,0.06493632,-368.6237,100,0.81535393,4600,-368.2398,-94.32574,0.9908415,511.9706392288208,-78.410065,1.0147628,-107.23854739184169,0.07241482,1.2590154,-77.72159
11.759366,100.0,171868,0.25636354,-37.02441,99.000824,47,,[-0.814 -0.495 -0.447 -0.74  -0.041],35.27,1.0019802,156.07019,0.043642513,-381.4092,100,0.8407835,4700,-381.08142,-94.413994,0.98990273,522.7625074386597,-79.23959,1.0066552,-107.30904448519766,0.07062749,1.0993973,-78.60236
11.136503,100.0,175492,0.2595323,-53.309715,99.00007,48,,[-0.811 -0.498 -0.447 -0.74  -0.043],36.24,1.0017154,134.94044,0.040282216,-366.95618,100,0.85932845,4800,-366.6902,-95.849434,0.99408937,534.7696499824524,-79.517235,1.007429,-108.6232590032715,0.07255305,1.1687219,-79.08911
11.492295,100.0,179596,0.27515996,-50.89682,99.0,49,,[-0.807 -0.498 -0.446 -0.743 -0.044],41.04,1.0036091,141.95355,0.058774218,-379.03577,100,0.8578562,4900,-378.587,-95.15434,0.9876403,546.1921720504761,-76.25286,1.0079311,-108.45657626524259,0.0822796,1.2538643,-75.34903
12.146862,100.0,183411,0.26575023,-49.657837,99.00002,50,,[-0.803 -0.499 -0.443 -0.744 -0.038],38.15,1.0016515,168.205,0.04154855,-377.59528,100,0.8765762,5000,-377.35153,-94.61865,0.99245954,557.8952276706696,-76.69419,1.0042089,-106.79326830553488,0.076380126,1.1172633,-76.22672
14.316627,100.0,187162,0.26430252,-27.522804,99.0,51,,[-0.801 -0.5   -0.444 -0.744 -0.042],37.51,1.0089607,239.66321,0.088729,-373.83344,100,0.7832005,5100,-373.2348,-94.85743,0.9830039,569.1022808551788,-77.09883,1.01572,-106.46020649947596,0.075268134,1.3354475,-75.889366
13.110331,100.0,191055,0.26824445,-36.16541,99.0,52,,[-0.805 -0.5   -0.443 -0.741 -0.04 ],38.93,1.0025053,194.15836,0.050940707,-377.43417,100,0.87398756,5200,-377.18988,-95.51321,0.9925637,581.258266210556,-77.18893,1.0040437,-108.03293203944959,0.07794626,1.1281309,-76.72694
13.112882,100.0,194767,0.26225123,-38.90272,99.000175,53,,[-0.805 -0.499 -0.444 -0.741 -0.037],37.12,1.0006576,171.21248,0.023303982,-389.9779,100,0.94838357,5300,-389.87418,-94.88723,0.9976444,591.3292436599731,-77.77794,1.0021414,-106.92660967605656,0.07426479,1.0851693,-77.58353
11.358493,100.0,198435,0.2626532,-41.014153,99.000336,54,,[-0.805 -0.5   -0.444 -0.742 -0.036],36.68,1.0184275,215.96184,0.13039741,-364.46677,100,0.6663245,5400,-363.09467,-95.21133,0.964802,601.5820524692535,-78.9895,1.0362779,-108.37191011002497,0.07389993,1.3630043,-76.30448
12.495443,100.0,202136,0.2621172,-34.376778,99.00001,55,,[-0.806 -0.507 -0.443 -0.742 -0.04 ],37.01,1.0019587,176.58586,0.038233116,-366.1482,100,0.8566423,5500,-365.93433,-94.385414,0.9928386,611.8139669895172,-77.76259,1.0053158,-107.08932727189877,0.07410813,1.1109014,-77.33686
10.545398,100.0,205660,0.25635856,-49.113327,99.00013,56,,[-0.809 -0.503 -0.443 -0.741 -0.042],35.24,1.0030367,120.97437,0.048054073,-375.4656,100,0.86197996,5600,-375.10632,-95.5512,0.99170005,623.5906369686127,-80.25065,1.0071776,-108.74283764364742,0.070592165,1.131607,-79.54947
11.479655,100.0,209547,0.26778483,-32.79759,99.00025,57,,[-0.811 -0.507 -0.444 -0.743 -0.044],38.87,1.0002372,134.207,0.014030083,-373.35934,100,0.96914715,5700,-373.3399,-94.670456,0.99947745,635.2593569755554,-77.37588,1.0004398,-108.29008835594026,0.077747546,1.0449994,-77.337814
11.8197365,100.0,213316,0.26486835,-49.33867,99.00007,58,,[-0.81  -0.507 -0.444 -0.744 -0.043],37.69,1.0043164,157.68378,0.060354043,-362.3887,100,0.8141093,5800,-361.77515,-94.3707,0.985235,646.0433855056763,-76.911446,1.01163,-106.91652791317723,0.075628616,1.1668438,-75.81049
11.925514,100.0,217146,0.26627636,-19.868177,99.000015,59,,[-0.805 -0.505 -0.439 -0.743 -0.045],38.3,1.0017996,174.79558,0.043179516,-378.25037,100,0.84044236,5900,-378.03064,-96.03005,0.99236876,658.4726266860962,-78.00514,1.0040152,-108.36014769132998,0.07669159,1.0979427,-77.56679
12.699476,100.0,220901,0.26389346,-29.9551,99.0,60,,[-0.806 -0.507 -0.442 -0.744 -0.048],37.55,1.0019212,164.98238,0.040941656,-370.5381,100,0.8966404,6000,-370.32733,-95.716446,0.99506736,670.370001077652,-77.73722,1.0055948,-107.51297211647092,0.0751984,1.1357982,-77.318726
14.6057,100.0,224604,0.26263896,-18.475588,99.00001,61,,[-0.801 -0.506 -0.439 -0.744 -0.049],37.03,1.0069526,220.0897,0.0753832,-389.30075,100,0.7622068,6100,-388.6937,-93.68373,0.98505795,681.4499843120575,-77.50522,1.0124737,-106.16992880246414,0.07427528,1.2522919,-76.27637
12.643111,100.0,228431,0.26695493,-40.55347,99.000015,62,,[-0.804 -0.507 -0.437 -0.743 -0.051],38.27,1.0103278,207.06355,0.09720659,-372.5089,100,0.7123913,6200,-371.28616,-96.75661,0.97154945,692.6314241886139,-77.29395,1.0235975,-107.46439492296962,0.07685165,1.265563,-75.25614
14.153787,100.0,232114,0.26158983,-27.910223,99.0,63,,[-0.813 -0.507 -0.436 -0.741 -0.055],36.83,1.0042304,200.71889,0.060003787,-395.19263,100,0.8193166,6300,-394.80493,-95.36109,0.9907931,704.2547733783722,-78.45425,1.0095352,-107.22940772097171,0.07376632,1.1650988,-77.72813
12.447861,100.0,235850,0.26298234,-39.0352,99.00004,64,,[-0.818 -0.508 -0.437 -0.74  -0.055],37.36,1.0003026,157.87762,0.01404974,-384.1976,100,0.9473416,6400,-384.16235,-93.303795,0.99879515,715.5239279270172,-78.54439,1.0008059,-108.01197254643152,0.074732386,1.047249,-78.46898
12.637697,100.0,239899,0.27401298,-44.347767,99.0,65,,[-0.817 -0.509 -0.437 -0.741 -0.055],40.49,1.0095085,206.38515,0.098562166,-373.3816,100,0.70187074,6500,-372.23584,-95.71342,0.9705256,726.5161945819855,-75.91271,1.0245262,-107.73311930941394,0.0813357,1.2436441,-73.88946
13.862601,100.0,244085,0.27718374,-27.064104,99.0,66,,[-0.823 -0.505 -0.435 -0.737 -0.061],41.86,1.0012059,190.36853,0.03629771,-377.80756,100,0.89324474,6600,-377.64627,-94.407486,0.9959422,738.9301927089691,-74.42485,1.0029758,-106.70029974460101,0.08378582,1.1320395,-74.11457
13.100452,100.0,248141,0.2730971,-27.55745,99.0,67,,[-0.824 -0.506 -0.435 -0.738 -0.061],40.56,1.0004421,177.2246,0.019976469,-382.79282,100,0.91320056,6700,-382.71594,-93.4442,0.997628,750.0977909564972,-76.077354,1.0019206,-107.36178489126938,0.08114215,1.0600277,-75.93382
13.901334,100.0,252004,0.26783833,-21.004335,99.0,68,,[-0.821 -0.507 -0.434 -0.738 -0.062],38.63,1.0040333,241.0437,0.05921042,-376.48013,100,0.77271235,6800,-375.78748,-94.31467,0.9788262,760.5917818546295,-76.90569,1.0164199,-106.94560158363558,0.07749947,1.1175433,-75.62566
10.724092,100.0,255600,0.2590987,-52.9787,99.08575,69,,[-0.824 -0.508 -0.437 -0.737 -0.057],35.96,1.0060048,135.7055,0.080345795,-368.87927,100,0.7489478,6900,-368.1376,-93.71761,0.9831855,771.7533032894135,-79.56896,1.0131165,-108.60677769097434,0.072129324,1.2068406,-78.2584
11.849627,100.0,259450,0.2669951,-39.23749,99.00014,70,,[-0.829 -0.51  -0.437 -0.738 -0.061],38.5,1.002647,149.3079,0.047625188,-364.9934,100,0.85878277,7000,-364.6407,-93.63148,0.9914872,783.1794219017029,-76.607796,1.009656,-107.04306777124343,0.07711525,1.1702671,-76.014626
12.461905,100.0,263234,0.26474044,-39.44738,99.00022,71,,[-0.823 -0.51  -0.435 -0.739 -0.058],37.84,1.0015196,163.95428,0.03498235,-365.1656,100,0.900219,7100,-364.99545,-94.579834,0.99522054,794.8803658485413,-77.72667,1.0042049,-107.8502379449706,0.07575354,1.0922813,-77.38575
12.995576,100.0,266926,0.26205245,-36.30251,99.00001,72,,[-0.824 -0.513 -0.436 -0.74  -0.059],36.92,1.0052562,183.69658,0.069570124,-377.91345,100,0.77416253,7200,-377.4101,-95.29401,0.98778325,806.045040845871,-77.66823,1.0112238,-106.853346572323,0.07399513,1.1778909,-76.69483
12.67536,100.0,270850,0.26979297,-38.902996,99.00011,73,,[-0.83  -0.515 -0.437 -0.741 -0.057],39.24,1.0088532,193.11209,0.08177358,-379.13873,100,0.77743196,7300,-378.49017,-94.42938,0.98151195,817.7955000400543,-77.59627,1.0160389,-108.50248735341322,0.07873396,1.1945776,-76.3168
14.29287,100.0,275028,0.27696183,-29.882591,99.00001,74,,[-0.827 -0.513 -0.438 -0.742 -0.058],41.78,1.0013026,217.07591,0.032582242,-378.85345,100,0.9043265,7400,-378.6802,-95.40982,0.9940247,830.070915222168,-74.31034,1.0039018,-106.45108575706634,0.08363293,1.0761021,-73.97108
12.333603,100.0,278594,0.25759542,-38.361103,99.0,75,,[-0.826 -0.514 -0.439 -0.741 -0.057],35.66,1.0016785,154.34587,0.0384658,-372.31067,100,0.8558673,7500,-372.0805,-95.396645,0.99434876,840.1094598770142,-78.68648,1.0067102,-107.09076865271201,0.07138527,1.1235576,-78.23017
11.628262,100.0,282591,0.27172717,-38.887424,99.00001,76,,[-0.832 -0.513 -0.439 -0.741 -0.058],39.97,1.0042024,163.28587,0.061807185,-372.2884,100,0.81951326,7600,-371.91364,-94.23826,0.98898435,852.456670999527,-76.30495,1.0070434,-107.89223739586463,0.08009745,1.1868879,-75.56731
12.139395,100.0,286360,0.26434633,-45.66932,99.0,77,,[-0.831 -0.513 -0.439 -0.743 -0.062],37.69,1.0032163,164.02763,0.05121514,-374.01654,100,0.8305539,7700,-373.68713,-95.61047,0.9904567,863.2291898727417,-78.03309,1.006764,-107.88359274860346,0.07547627,1.1152059,-77.442795
13.232598,100.0,289715,0.2508603,-22.35132,99.0,78,,[-0.828 -0.513 -0.44  -0.743 -0.06 ],33.55,1.0079236,165.40598,0.09248748,-379.15515,100,0.7389691,7800,-378.4986,-96.47302,0.98828155,873.7084677219391,-80.26675,1.0152066,-107.19350996327512,0.067278974,1.3508863,-79.0813
12.371095,100.0,293617,0.26901633,-41.95336,99.0,79,,[-0.832 -0.514 -0.439 -0.742 -0.06 ],39.02,1.0060883,153.41116,0.07036865,-367.28375,100,0.8042994,7900,-366.64362,-94.07834,0.98605925,885.4651229381561,-76.18761,1.0139681,-106.9338403339595,0.07826617,1.1811552,-75.00788
14.087891,100.0,297620,0.272215,-29.841755,99.00005,80,,[-0.837 -0.517 -0.439 -0.744 -0.059],40.03,1.0060765,215.9823,0.07487999,-380.84833,100,0.80842084,8000,-380.22888,-94.78464,0.982672,896.6460204124451,-75.74405,1.0125108,-106.5434144044685,0.0803056,1.2915512,-74.515175
12.606208,100.0,301531,0.2694094,-29.039125,99.00007,81,,[-0.84  -0.517 -0.439 -0.743 -0.053],39.11,1.0086877,219.91563,0.08485678,-383.9147,100,0.75610197,8100,-383.07578,-94.70633,0.9771197,908.8390898704529,-76.68537,1.019276,-107.2861338185978,0.07847763,1.1564847,-75.17148
13.458795,100.0,305439,0.2685998,-27.743153,99.00009,82,,[-0.833 -0.514 -0.437 -0.744 -0.055],39.08,1.0012953,204.87279,0.03569763,-382.6463,100,0.8897326,8200,-382.48868,-94.717735,0.99337983,920.2725880146027,-75.93086,1.0031217,-106.27562498038202,0.0782142,1.0708268,-75.63224
13.891126,100.0,309469,0.2724978,-16.545963,99.00001,83,,[-0.833 -0.515 -0.439 -0.744 -0.056],40.3,1.0022546,195.26877,0.047917575,-378.29755,100,0.84901047,8300,-378.06113,-96.31888,0.993835,931.4969840049744,-76.12794,1.0080825,-107.51073111785583,0.080683984,1.1321858,-75.69394
