J_sample_variance,MaxD2w0t,Weights,ReturnMeanIW,Iteration,MeanIW,EpisodesSoFar,EpThisIter,InitialReturnMean,InitialReturnMin,InitialBound,ReturnStepMax,StdIW,ReturnStepMaxmin,MeanD2w0t,EpRewMean,InitialReturnStd,StdD2w0t,TimestepsSoFar,Bound,EpLenMean,EmpiricalD2,MinIW,TimeElapsed,MinD2w0t,MaxIW,InitialReturnMax
5.988435,1.4262099,[-0.995 -1.5   -0.7   -0.997  0.266],10.283373,41,1.0936795,4100,100,-3.528595e-07,-8.57959,-23.480484,100.0,0.39693,95.733086,0.14300762,-107.07310197088502,2.2096202,0.36895502,189573,-23.256937,65.55,1.181951,0.2371979,536.3499095439911,,2.4484632,3.4901626
5.990704,1.1148704,[-0.994 -1.509 -0.687 -0.995  0.25 ],8.184965,42,0.9986179,4200,100,-2.002716e-07,-12.533677,-25.195713,100.0,0.18452841,96.06273,0.14916378,-107.3133430100537,2.3158448,0.3606292,196880,-25.17216,73.07,1.0366801,0.4595024,554.24613904953,,1.5179467,4.3638177
5.7234683,1.0735172,[-0.994 -1.506 -0.687 -1.001  0.25 ],9.783052,43,0.9863025,4300,100,7.6770783e-07,-10.684832,-23.612915,100.0,0.16284369,95.66182,0.13248181,-108.75776851609243,2.4340875,0.34228283,203396,-23.57147,65.16,1.0349455,0.5699965,570.3722295761108,,1.4635208,4.2113986
3.7337744,1.1053387,[-0.999 -1.512 -0.689 -0.996  0.251],8.562031,44,1.0167214,4400,100,1.8119812e-07,-7.50198,-24.841072,100.0,0.23525177,95.96443,0.14759786,-110.00915020549868,1.9821492,0.35853606,210644,-24.78925,72.48,1.0392247,0.5583361,587.9215717315674,,2.4907713,4.3832607
5.6087523,1.0569232,[-1.01  -1.519 -0.689 -0.995  0.247],9.037654,45,1.0206949,4500,100,5.5789945e-07,-11.896535,-24.338058,100.0,0.13705778,95.84636,0.13939904,-108.4857396390886,2.3940127,0.34900215,217524,-24.310429,68.8,1.0187835,0.7185343,605.1034684181213,,1.6530449,5.146799
3.6982105,1.0957094,[-1.006 -1.516 -0.692 -0.989  0.246],8.901374,46,1.0140408,4600,100,2.861023e-07,-7.8673396,-24.480492,100.0,0.16171181,95.969894,0.14558156,-107.93240609338862,1.8306415,0.3572013,224648,-24.454044,71.24,1.0333395,0.60800284,621.6777312755585,,1.5814946,3.8368785
2.868671,1.0599625,[-1.011 -1.517 -0.689 -0.996  0.244],8.006378,47,1.0159035,4700,100,-2.670288e-07,-5.3207912,-25.37953,100.0,0.13899957,96.143265,0.1530533,-107.49925536190817,1.690851,0.3636403,232174,-25.352158,75.26,1.0272971,0.58946437,638.2082059383392,,1.3337526,4.8029566
6.3600807,1.0986332,[-1.009 -1.518 -0.693 -0.993  0.234],9.499455,48,1.0096726,4800,100,1.335144e-07,-14.011446,-23.89873,100.0,0.16733158,95.80539,0.13891207,-108.77678543120672,2.5324183,0.34987536,238984,-23.86605,68.1,1.0304785,0.62296885,653.6345307826996,,1.999923,4.1938868
2.9728065,1.2707846,[-1.011 -1.519 -0.686 -0.997  0.231],9.900427,49,1.0289615,4900,100,-5.4359435e-07,-5.3818665,-23.587337,100.0,0.23368064,95.80408,0.14386812,-109.57210195292522,1.5017421,0.36118993,245841,-23.489954,68.57,1.07349,0.47984785,669.193196773529,,1.9108423,3.1174393
3.525613,1.2347277,[-1.015 -1.519 -0.679 -1.007  0.236],8.376489,50,0.9985743,5000,100,2.479553e-07,-8.729307,-25.107224,100.0,0.31695288,96.031525,0.15045284,-106.9985833667105,1.9221185,0.36682156,253050,-25.011547,72.09,1.084449,0.4438258,685.4704821109772,,2.560363,3.8209841
