ReturnMeanIW,TimestepsSoFar,Iteration,EpLenMean,Weights,EmpiricalD2,InitialBound,MaxD2w0t,InitialReturnMin,StdD2w0t,J_sample_variance,ReturnStepMax,ReturnStepMaxmin,MaxIW,EpRewMean,MeanD2w0t,Bound,MeanIW,InitialReturnMean,InitialReturnMax,StdIW,InitialReturnStd,MinIW,MinD2w0t,TimeElapsed,EpThisIter,EpisodesSoFar
3.4332204,264409,29,118.92,[-0.587 -0.649 -0.377 -0.299 -0.361],1.0,-6.6171575,1.0,-3.1528983,0.42576224,2.6608112,100.0,97.02402,1.0,-117.49166271763444,0.23784,-6.6171575,1.0,-8.2969666e-07,3.6063826,,1.6230229,1.0,,625.9561805725098,100,2900
3.1422436,276489,30,120.8,[-0.587 -0.649 -0.377 -0.299 -0.361],1.0,-6.9081345,1.0,-2.6469631,0.42804673,2.2117982,100.0,97.00645,1.0,-120.41460258655896,0.2416,-6.9081345,1.0,3.33786e-08,3.4359853,,1.4797567,1.0,,650.2858536243439,100,3000
3.8867989,288074,31,115.85,[-0.587 -0.649 -0.377 -0.299 -0.361],1.6616638,-6.354656,3.6647892,-2.8286476,0.5793493,4.0688877,100.0,96.899506,4.1863832,-121.67131895479154,0.3073436,-6.2562065,1.0507265,3.4332277e-07,3.8249662,0.67577106,1.5780048,0.104404464,,675.9627902507782,100,3100
4.458537,298695,32,106.21,[-0.587 -0.644 -0.384 -0.306 -0.363],1.0,-5.591853,1.0,-2.8803158,0.40901762,2.726978,100.0,96.75738,1.0001786,-119.09513404938883,0.21242,-5.5918407,1.0000008,-5.8174135e-07,3.714766,6.5781314e-05,1.6430613,0.99975866,,698.4148192405701,100,3200
5.1030807,308894,33,101.99,[-0.587 -0.644 -0.384 -0.306 -0.363],1.4203918,-5.0965447,2.5500503,-3.0132375,0.50925285,4.1383333,100.0,96.68643,3.882905,-117.9806241423805,0.25224984,-5.0258923,1.0154343,-3.3855437e-07,4.2016573,0.5553385,1.5402722,0.11489843,,719.4800174236298,100,3300
7.275262,317233,34,83.39,[-0.587 -0.639 -0.391 -0.311 -0.366],1.6476423,-3.0543976,4.2670884,-2.8110623,0.52853817,3.7861443,100.0,96.192535,10.477657,-117.05814573637775,0.2254391,-2.9018764,1.0613906,1.2397766e-07,4.8067327,0.8593185,1.4984212,0.21326077,,737.15984582901,100,3400
4.051053,328420,35,111.87,[-0.59  -0.644 -0.379 -0.311 -0.367],1.0,-5.999325,1.0,-2.9371877,0.41674381,2.9608366,100.0,96.87315,1.0,-118.96544839603473,0.22374,-5.999325,1.0,-7.2956084e-07,3.7138054,,1.7120831,1.0,,760.3546161651611,100,3500
4.518588,338889,36,104.69,[-0.59  -0.644 -0.379 -0.311 -0.367],1.0,-5.53179,1.0,-2.8571515,0.406859,2.5362973,100.0,96.73307,1.0,-118.66263379330277,0.20938,-5.53179,1.0,-1.7642975e-07,4.0430455,,1.5845928,1.0,,781.6934368610382,100,3600
5.323061,348741,37,98.52,[-0.59  -0.644 -0.379 -0.311 -0.367],1.0338023,-4.795478,1.0932213,-7.3479495,0.40603778,3.5433571,100.0,96.61005,1.7436554,-117.72948567480061,0.20110136,-4.734866,1.0028504,-9.775162e-08,4.1894264,0.16752623,1.8750558,0.591955,,802.9111564159393,100,3700
3.7200449,359990,38,112.49,[-0.592 -0.647 -0.38  -0.31  -0.377],1.0,-6.3303328,1.0,-3.0271363,0.41756725,2.1749556,100.0,96.92062,1.0,-116.95408286321225,0.22498,-6.3303328,1.0,-5.340576e-07,3.455252,,1.4673808,1.0,,827.476665019989,100,3800
3.9980545,371241,39,112.51,[-0.592 -0.647 -0.38  -0.31  -0.377],1.1937529,-6.169373,1.8515935,-12.807539,0.47536018,3.9683046,100.0,96.89395,3.307411,-118.47652030807993,0.25399616,-6.0776453,1.0079745,-6.67572e-08,3.3785658,0.37673783,2.1295683,0.22281852,,851.524661064148,100,3900
3.9901886,382404,40,111.63,[-0.595 -0.652 -0.385 -0.304 -0.383],1.0,-6.0601892,1.0,-2.646502,0.41643748,2.6739619,100.0,96.865685,1.0,-119.12704747387029,0.22326,-6.0601892,1.0,3.33786e-07,4.188111,,1.6270291,1.0,,876.9351773262024,100,4000
3.886715,393470,41,110.66,[-0.595 -0.652 -0.385 -0.304 -0.383],1.0,-6.163663,1.0,-3.1719174,0.4151432,2.832789,100.0,96.85314,1.0,-118.78957663227365,0.22132,-6.163663,1.0,9.536743e-09,3.9195611,,1.6746527,1.0,,898.6004960536957,100,4100
4.3352275,404376,42,109.06,[-0.595 -0.652 -0.385 -0.304 -0.383],1.0,-5.7151504,1.0,-3.0668216,0.41295624,2.81656,100.0,96.81783,1.0,-118.99525474916561,0.21812,-5.7151504,1.0,-5.00679e-07,4.2212305,,1.6698487,1.0,,921.4372601509094,100,4200
4.607826,415701,43,113.25,[-0.595 -0.652 -0.385 -0.304 -0.383],51.411564,-6.128275,1987.8625,-2.7856092,43.492077,22.149652,100.0,96.88217,16.542585,-119.9228986651071,4.195467,-5.8785534,1.1186607,-6.198883e-08,4.8555455,1.7829132,1.6503363,8.726397e-05,,945.8069055080414,100,4300
6.4861526,424450,44,87.49,[-0.597 -0.642 -0.396 -0.325 -0.385],1.446698,-3.7788777,2.423229,-4.497928,0.47346583,3.3623407,100.0,96.34848,10.439085,-115.9905320025393,0.21450078,-3.655879,1.1075127,-2.0980835e-07,3.8095517,0.83084774,1.7637453,0.3162415,,965.2842662334442,100,4400
6.301401,433487,45,90.37,[-0.599 -0.646 -0.387 -0.321 -0.385],1.0,-3.7489767,1.0,-3.3240442,0.38479418,2.6355374,100.0,96.390396,1.0,-117.91485613668432,0.18074,-3.7489767,1.0,-6.67572e-08,3.714858,,1.6152964,1.0,,985.5475509166718,100,4500
5.6384068,442775,46,92.88,[-0.599 -0.646 -0.387 -0.321 -0.385],1.0,-4.411971,1.0,-3.5029292,0.38890234,2.60039,100.0,96.48047,1.0,-117.0072641543037,0.18576,-4.411971,1.0,2.1457672e-07,3.7481298,,1.6044893,1.0,,1006.6447355747223,100,4600
5.7404437,451970,47,91.95,[-0.599 -0.646 -0.387 -0.321 -0.385],1.0,-4.309934,1.0,-3.004519,0.38739684,2.6006246,100.0,96.426125,1.0,-118.33451746330482,0.1839,-4.309934,1.0,4.1484833e-07,4.166434,,1.6045618,1.0,,1025.5600912570953,100,4700
