IterType,MinVanillaIw,Bound,BatchSize,ESSClassic,AvgVanillaIw,VanillaAvgRet,J,ESSRenyi,VarDiscRet,AvgNormIw,MaxNormIw,AvgDiscRet,MinNormIw,MaxVanillaIw,EpsThisIter,VarVanillaIw,Delta,eRenyi2,AvgEpLen,AvgRet,VarJ,VarNormIw,VarRet
2,1.0,3675.4492,500,400.0,1.0,3669.4685549001633,3675.4492,500.0,760494.0205129936,0.0024999997,0.0025,3669.4685549001633,0.0025,1.0,100,,1.0,1.0,367.83,3669.4685549001633,832.5191,5.434597e-20,760494.0205129936
1,0.029244104,3810.8433,500,202.9402277996135,0.954167,3687.7804591471636,3810.8433,,713634.5544824663,0.002,0.02926419,3687.7804591471636,6.1297666e-05,13.961462,100,1.3353465,1.0,inf,369.65,3687.7804591471636,1279.5387,5.8668525e-06,713634.5544824663
2,1.0,3694.7144,500,100.0,1.0,3694.7142881003156,3694.7144,500.0,633628.9467874147,0.009999998,0.01,3694.7142881003156,0.01,1.0,100,,1.0,1.0,370.38,3694.7142881003156,792.01807,3.5044917e-18,633628.9467874147
2,1.0,3743.931,500,200.00000010221265,1.0,3793.1476592688346,3743.931,500.0,702990.5777241165,0.0049999994,0.005,3793.1476592688346,0.005,1.0,100,,1.0,1.0,380.14,3793.1476592688346,814.89197,2.179301e-19,702990.5777241165
2,1.0,3732.2107,500,299.999969473632,1.0,3708.7689773830452,3732.2107,500.0,723549.6388948027,0.0033333336,0.0033333334,3708.7689773830452,0.0033333334,1.0,100,,1.0,1.0,371.76,3708.7689773830452,825.67883,5.4391416e-20,723549.6388948027
2,1.0,3736.3237,500,400.0,1.0,3748.6630250292737,3736.3237,500.0,669359.0423890384,0.0024999997,0.0025,3748.6630250292737,0.0025,1.0,100,,1.0,1.0,375.71,3748.6630250292737,822.81604,5.434597e-20,669359.0423890384
1,0.00025349157,3915.3293,500,169.99638061801957,1.0806475,3597.4112412615896,3915.3293,,812635.396314449,0.0019999999,0.036647726,3597.4112412615896,4.6914758e-07,19.801636,100,2.2715206,1.0,inf,360.63,3597.4112412615896,1431.219,7.780519e-06,812635.396314449
2,1.0,3771.6191,500,100.0,1.0,3771.6190290277195,3771.6191,500.0,739326.0058525637,0.009999998,0.01,3771.6190290277195,0.01,1.0,100,,1.0,1.0,378.03,3771.6190290277195,855.53064,3.5044917e-18,739326.0058525637
2,1.0,3779.8186,500,200.00000010221265,1.0,3788.0188034808643,3779.8186,500.0,746904.4780016305,0.0049999994,0.005,3788.0188034808643,0.005,1.0,100,,1.0,1.0,379.65,3788.0188034808643,857.75946,2.179301e-19,746904.4780016305
2,1.0,3750.8413,500,299.999969473632,1.0,3692.8858491158544,3750.8413,500.0,570900.5374068214,0.0033333336,0.0033333334,3692.8858491158544,0.0033333334,1.0,100,,1.0,1.0,370.17,3692.8858491158544,824.9712,5.4391416e-20,570900.5374068214
2,1.0,3765.138,500,400.0,1.0,3808.0289367471914,3765.138,500.0,734880.4907839673,0.0024999997,0.0025,3808.0289367471914,0.0025,1.0,100,,1.0,1.0,381.64,3808.0289367471914,832.4237,5.434597e-20,734880.4907839673
1,,4999.9976,500,inf,3.298968e-39,3717.81321822845,4999.9976,,560008.2931170906,0.002,1.0,3717.81321822845,,1.6494837e-36,100,,1.0,inf,372.67,3717.81321822845,,0.002,560008.2931170906
