AvgNormIw,AvgDiscRet,AvgEpLen,AvgVanillaIw,J,ESSRenyi,VarRet,VarNormIw,AvgRet,IterType,MaxNormIw,MaxVanillaIw,BatchSize,MinNormIw,ESSClassic,VanillaAvgRet,VarDiscRet,MinVanillaIw,EpsThisIter,eRenyi2,VarVanillaIw,Delta,VarJ,Bound
0.00333333,-61.6081797825,85.7,1.58193,-60.6216,246.909927529,47.3058344249,2.11942e-06,-58.5600837988,,0.00560943,2.66212,400,0.000157831,252.077089139,-58.5600837988,1335.85722924,0.0749033,100,1.62002,0.477348,1.0,20.669,-60.6216
0.0025,-58.3208449422,85.56,0.991554,-58.5129,,49.3093165183,1.21291e-05,-58.3208449422,1,0.0480557,19.0599,400,0.00102101,136.248925705,-58.3208449422,49.3093165183,0.404956,100,inf,1.90801,1.0,13.2513,-58.5129
0.01,-60.3004036801,88.93,1.0,-60.3004,400.0,53.4050302847,3.50449e-18,-60.3004036801,2,0.01,1.0,400,0.01,100.0,-60.3004036801,53.4050302847,1.0,100,1.0,,1.0,7.27124,-60.3004
0.005,-59.0586836863,86.74,1.0,-59.6795,400.0,47.3885521676,2.1793e-19,-59.0586836863,2,0.005,1.0,400,0.005,200.000000102,-59.0586836863,47.3885521676,1.0,100,1.0,,1.0,7.09072,-59.6795
0.00333333,-70.2518105294,99.84,1.0,-63.2036,400.0,3815.27949654,5.43914e-20,-70.2518105294,2,0.00333333,1.0,400,0.00333333,299.999969474,-70.2518105294,3815.27949654,1.0,100,1.0,,1.0,36.296,-63.2036
0.0025,-60.0235182519,85.56,1.51382,-61.4074,325.620298974,49.3093165183,1.10857e-06,-58.3208449422,,0.00407809,2.4694,500,8.6645e-05,339.867952451,-58.3208449422,32.8637831823,0.0524661,100,1.53553,0.406475,1.0,21.0542,-61.4074
0.002,-58.8567662528,86.69,1.02004,-58.5536,,47.2875305685,6.16472e-06,-58.8567662528,1,0.0349215,17.8108,500,0.000769019,196.997925945,-58.8567662528,47.2875305685,0.392217,100,inf,1.60358,1.0,12.3164,-58.5536
0.01,-59.5163651875,87.22,1.0,-59.5164,500.0,46.9812760329,3.50449e-18,-59.5163651875,2,0.01,1.0,500,0.01,100.0,-59.5163651875,46.9812760329,1.0,100,1.0,,1.0,6.81993,-59.5164
0.005,-60.7546071592,87.79,1.0,-60.1355,500.0,1328.04012865,2.1793e-19,-60.7546071592,2,0.005,1.0,500,0.005,200.000000102,-60.7546071592,1328.04012865,1.0,100,1.0,,1.0,26.0963,-60.1355
0.00333333,-59.9689711945,88.29,1.0,-60.08,500.0,58.0850362181,5.43914e-20,-59.9689711945,2,0.00333333,1.0,500,0.00333333,299.999969474,-59.9689711945,58.0850362181,1.0,100,1.0,,1.0,21.7529,-60.08
0.0025,-58.5194954589,86.0,1.0,-59.6899,500.0,45.3454120907,5.4346e-20,-58.5194954589,2,0.0025,1.0,500,0.0025,400.0,-58.5194954589,45.3454120907,1.0,100,1.0,,1.0,19.146,-59.6899
0.002,-65.3219747946,93.87,0.9332,-58.557,,2587.970343,1.24957e-05,-65.3219747946,1,0.0576388,26.8943,500,2.03849e-05,121.427884616,-65.3219747946,2587.970343,0.00951159,100,inf,2.7205,1.0,18.2825,-58.557
0.01,-62.1993981978,90.42,1.0,-62.1994,500.0,1330.68425601,3.50449e-18,-62.1993981978,2,0.01,1.0,500,0.01,100.0,-62.1993981978,1330.68425601,1.0,100,1.0,,1.0,36.2957,-62.1994
0.005,-61.917514572,89.88,1.0,-62.0585,500.0,1329.950022,2.1793e-19,-61.917514572,2,0.005,1.0,500,0.005,200.000000102,-61.917514572,1329.950022,1.0,100,1.0,,1.0,36.291,-62.0585
0.00333333,-58.2648850664,85.66,1.0,-60.7939,500.0,41.1574320503,5.43914e-20,-58.2648850664,2,0.00333333,1.0,500,0.00333333,299.999969474,-58.2648850664,41.1574320503,1.0,100,1.0,,1.0,29.9132,-60.7939
0.0025,-64.7973767996,93.07,1.0,-61.7948,500.0,2599.33353505,5.4346e-20,-64.7973767996,2,0.0025,1.0,500,0.0025,400.0,-64.7973767996,2599.33353505,1.0,100,1.0,,1.0,36.2966,-61.7948
0.002,-62.6468676195,91.15,1.52014e-20,-52.3023,0.000320587315963,1318.31197203,0.002,-62.6468676195,1,1.0,7.60072e-18,500,,1.0,-62.6468676195,1318.31197203,,100,1.55964e+06,1.15542e-37,1.0,1.86643e-13,-52.3023
0.01,-64.8652090396,94.43,1.0,-64.8652,500.0,1329.98241872,3.50449e-18,-64.8652090396,2,0.01,1.0,500,0.01,100.0,-64.8652090396,1329.98241872,1.0,100,1.0,,1.0,36.2861,-64.8652
0.005,-62.3431459117,92.12,1.0,-63.6042,500.0,81.1455444849,2.1793e-19,-62.3431459117,2,0.005,1.0,500,0.005,200.000000102,-62.3431459117,81.1455444849,1.0,100,1.0,,1.0,26.4594,-63.6042
0.00333333,-61.7565749885,91.41,1.0,-62.9883,500.0,52.7432147586,5.43914e-20,-61.7565749885,2,0.00333333,1.0,500,0.00333333,299.999969474,-61.7565749885,52.7432147586,1.0,100,1.0,,1.0,22.0204,-62.9883
0.0025,-66.8626075056,97.58,1.0,-63.9569,500.0,1313.91368788,5.4346e-20,-66.8626075056,2,0.0025,1.0,500,0.0025,400.0,-66.8626075056,1313.91368788,1.0,100,1.0,,1.0,26.2998,-63.9569
0.002,-66.5539233577,97.56,0.0328789,-41.3645,0.000771986836466,1320.56686129,0.002,-66.5539233577,1,1.0,16.4395,500,,1.0,-66.5539233577,1320.56686129,,100,647679.0,0.540512,1.0,1.21248e-07,-41.3645
0.01,-61.2429068723,90.27,1.0,-61.2429,500.0,47.1556285054,3.50449e-18,-61.2429068723,2,0.01,1.0,500,0.01,100.0,-61.2429068723,47.1556285054,1.0,100,1.0,,1.0,6.83257,-61.2429
0.005,-64.0143757205,93.69,1.0,-62.6286,500.0,1332.90942555,2.1793e-19,-64.0143757205,2,0.005,1.0,500,0.005,200.000000102,-64.0143757205,1332.90942555,1.0,100,1.0,,1.0,26.1735,-62.6286
0.00333333,-65.0727097213,95.21,1.0,-63.4433,500.0,1325.00931309,5.43914e-20,-65.0727097213,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.0727097213,1325.00931309,1.0,100,1.0,,1.0,29.9213,-63.4433
0.0025,-65.166930397,95.0,1.0,-63.8742,500.0,1314.97723475,5.4346e-20,-65.166930397,2,0.0025,1.0,500,0.0025,400.0,-65.166930397,1314.97723475,1.0,100,1.0,,1.0,31.5828,-63.8742
0.002,-60.6405951554,89.65,1.00274,-62.0956,,77.4815800138,1.20293e-05,-60.6405951554,1,0.0477575,23.9442,500,6.4824e-11,124.959388763,-60.6405951554,77.4815800138,3.25008e-08,100,inf,3.02382,1.0,41.3931,-62.0956
0.01,-62.5302266386,92.57,1.0,-62.5302,500.0,51.3694538909,3.50449e-18,-62.5302266386,2,0.01,1.0,500,0.01,100.0,-62.5302266386,51.3694538909,1.0,100,1.0,,1.0,7.13132,-62.5302
0.005,-63.1691433392,91.74,1.0,-62.8497,500.0,1315.9166297,2.1793e-19,-63.1691433392,2,0.005,1.0,500,0.005,200.000000102,-63.1691433392,1315.9166297,1.0,100,1.0,,1.0,26.0175,-62.8497
0.00333333,-65.2339915687,95.21,1.0,-63.6445,500.0,1313.03808704,5.43914e-20,-65.2339915687,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.2339915687,1313.03808704,1.0,100,1.0,,1.0,29.763,-63.6445
0.0025,-65.4100748795,95.22,1.0,-64.0859,500.0,1305.5383209,5.4346e-20,-65.4100748795,2,0.0025,1.0,500,0.0025,400.0,-65.4100748795,1305.5383209,1.0,100,1.0,,1.0,31.4338,-64.0859
0.002,-66.1113363658,96.8,0.881318,-63.1628,,1328.03832814,1.16194e-05,-66.1113363658,1,0.0670251,29.5352,500,0.000296194,128.236450065,-66.1113363658,1328.03832814,0.130521,100,inf,2.25627,1.0,26.6554,-63.1628
0.01,-65.1535806739,94.94,1.0,-65.1536,500.0,1316.62407967,3.50449e-18,-65.1535806739,2,0.01,1.0,500,0.01,100.0,-65.1535806739,1316.62407967,1.0,100,1.0,,1.0,36.1034,-65.1536
0.005,-65.0897004972,95.01,1.0,-65.1216,500.0,1345.18289328,2.1793e-19,-65.0897004972,2,0.005,1.0,500,0.005,200.000000102,-65.0897004972,1345.18289328,1.0,100,1.0,,1.0,36.2987,-65.1216
0.00333333,-61.5120454462,91.01,1.0,-63.9184,500.0,67.5157269907,5.43914e-20,-61.5120454462,2,0.00333333,1.0,500,0.00333333,299.999969474,-61.5120454462,67.5157269907,1.0,100,1.0,,1.0,30.0595,-63.9184
0.0025,-60.5507751879,89.63,1.0,-63.0765,500.0,64.7253382988,5.4346e-20,-60.5507751879,2,0.0025,1.0,500,0.0025,400.0,-60.5507751879,64.7253382988,1.0,100,1.0,,1.0,26.3785,-63.0765
0.002,-62.3156752431,92.15,1.16538,-55.3475,,63.1751539649,0.00123217,-62.3156752431,1,0.772173,449.937,500,,1.62112774735,-62.3156752431,63.1751539649,,100,inf,418.356,1.0,39.3219,-55.3475
0.01,-62.7330231515,93.05,1.0,-62.733,500.0,73.6691368769,3.50449e-18,-62.7330231515,2,0.01,1.0,500,0.01,100.0,-62.7330231515,73.6691368769,1.0,100,1.0,,1.0,8.54005,-62.733
0.005,-65.0532240488,95.43,1.0,-63.8931,500.0,1325.3102507,2.1793e-19,-65.0532240488,2,0.005,1.0,500,0.005,200.000000102,-65.0532240488,1325.3102507,1.0,100,1.0,,1.0,26.3409,-63.8931
0.00333333,-62.3575836973,92.79,1.0,-63.3813,500.0,79.4595755181,5.43914e-20,-62.3575836973,2,0.00333333,1.0,500,0.00333333,299.999969474,-62.3575836973,79.4595755181,1.0,100,1.0,,1.0,22.1203,-63.3813
0.0025,-61.8879088569,91.67,1.0,-63.0079,500.0,54.7431478849,5.4346e-20,-61.8879088569,2,0.0025,1.0,500,0.0025,400.0,-61.8879088569,54.7431478849,1.0,100,1.0,,1.0,19.5179,-63.0079
0.002,-61.0652569766,89.78,0.102754,-41.6915,0.869410084244,62.6419920068,0.00196517,-61.0652569766,1,0.991234,50.9268,500,,1.01768607244,-61.0652569766,62.6419920068,,100,575.103,5.18729,1.0,4.11349,-41.6915
0.01,-66.0204735523,96.76,1.0,-66.0205,500.0,1327.64265255,3.50449e-18,-66.0204735523,2,0.01,1.0,500,0.01,100.0,-66.0204735523,1327.64265255,1.0,100,1.0,,1.0,36.2542,-66.0205
0.005,-61.5828015769,90.95,1.0,-63.8016,500.0,69.0785743854,2.1793e-19,-61.5828015769,2,0.005,1.0,500,0.005,200.000000102,-61.5828015769,69.0785743854,1.0,100,1.0,,1.0,26.3875,-63.8016
0.00333333,-61.5927356891,91.17,1.0,-63.0653,500.0,58.4009239643,5.43914e-20,-61.5927356891,2,0.00333333,1.0,500,0.00333333,299.999969474,-61.5927356891,58.4009239643,1.0,100,1.0,,1.0,22.0126,-63.0653
0.0025,-69.33231618,99.95,1.0,-64.6321,500.0,2552.04010013,5.4346e-20,-69.33231618,2,0.0025,1.0,500,0.0025,400.0,-69.33231618,2552.04010013,1.0,100,1.0,,1.0,31.6609,-64.6321
0.002,-62.1399329026,91.83,1.02833,-63.1132,,65.9966330391,5.88918e-06,-62.1399329026,1,0.0323305,16.6233,500,0.000641967,202.482511669,-62.1399329026,65.9966330391,0.330078,100,inf,1.55691,1.0,19.6293,-63.1132
0.01,-60.8444857821,89.86,1.0,-60.8445,500.0,57.2372084618,3.50449e-18,-60.8444857821,2,0.01,1.0,500,0.01,100.0,-60.8444857821,57.2372084618,1.0,100,1.0,,1.0,7.52761,-60.8445
0.005,-65.3761831012,95.82,1.0,-63.1103,500.0,1323.60796638,2.1793e-19,-65.3761831012,2,0.005,1.0,500,0.005,200.000000102,-65.3761831012,1323.60796638,1.0,100,1.0,,1.0,26.2422,-63.1103
0.00333333,-69.7848163123,100.76,1.0,-65.3352,500.0,2545.80735347,5.43914e-20,-69.7848163123,2,0.00333333,1.0,500,0.00333333,299.999969474,-69.7848163123,2545.80735347,1.0,100,1.0,,1.0,36.1817,-65.3352
0.0025,-65.9387714913,96.47,1.0,-65.4861,500.0,1319.30230461,5.4346e-20,-65.9387714913,2,0.0025,1.0,500,0.0025,400.0,-65.9387714913,1319.30230461,1.0,100,1.0,,1.0,36.1723,-65.4861
0.002,-61.38411267,90.67,4.95122e-33,-51.6744,0.0677783687057,55.7613612287,0.002,-61.38411267,1,1.0,2.47561e-30,500,,inf,-61.38411267,55.7613612287,,100,7376.98,,1.0,,-51.6744
0.01,-65.4268097292,95.0,1.0,-65.4268,500.0,1312.49158467,3.50449e-18,-65.4268097292,2,0.01,1.0,500,0.01,100.0,-65.4268097292,1312.49158467,1.0,100,1.0,,1.0,36.0467,-65.4268
0.005,-61.4688749838,90.53,1.0,-63.4478,500.0,70.0248511565,2.1793e-19,-61.4688749838,2,0.005,1.0,500,0.005,200.000000102,-61.4688749838,70.0248511565,1.0,100,1.0,,1.0,26.2347,-63.4478
0.00333333,-64.1731264709,93.65,1.0,-63.6896,500.0,1331.50881928,5.43914e-20,-64.1731264709,2,0.00333333,1.0,500,0.00333333,299.999969474,-64.1731264709,1331.50881928,1.0,100,1.0,,1.0,29.9726,-63.6896
0.0025,-65.5517114286,96.05,1.0,-64.1551,500.0,1317.01157237,5.4346e-20,-65.5517114286,2,0.0025,1.0,500,0.0025,400.0,-65.5517114286,1317.01157237,1.0,100,1.0,,1.0,31.6287,-64.1551
0.002,-60.8567525719,89.5,0.661487,-55.1789,0.96770920244,61.613519378,0.00194779,-60.8567525719,1,0.986843,326.392,500,,1.02675216496,-60.8567525719,61.613519378,,100,516.684,213.07,1.0,0.678966,-55.1789
0.01,-66.4475286058,97.01,1.0,-66.4475,500.0,1318.28761396,3.50449e-18,-66.4475286058,2,0.01,1.0,500,0.01,100.0,-66.4475286058,1318.28761396,1.0,100,1.0,,1.0,36.1262,-66.4475
0.005,-62.3927155703,92.19,1.0,-64.4201,500.0,54.7378722405,2.1793e-19,-62.3927155703,2,0.005,1.0,500,0.005,200.000000102,-62.3927155703,54.7378722405,1.0,100,1.0,,1.0,26.1488,-64.4201
0.00333333,-62.4155189766,92.08,1.0,-63.7519,500.0,54.9324556869,5.43914e-20,-62.4155189766,2,0.00333333,1.0,500,0.00333333,299.999969474,-62.4155189766,54.9324556869,1.0,100,1.0,,1.0,21.7913,-63.7519
0.0025,-62.4693201123,92.07,1.0,-63.4313,500.0,74.2527725013,5.4346e-20,-62.4693201123,2,0.0025,1.0,500,0.0025,400.0,-62.4693201123,74.2527725013,1.0,100,1.0,,1.0,19.3605,-63.4313
0.002,-64.5572120994,94.45,1.29502,-62.9733,1.44558205015,1330.7796575,5.02729e-06,-64.5572120994,1,0.0151045,9.78028,500,0.000871472,221.797305039,-64.5572120994,1330.7796575,0.564285,100,345.881,2.10778,1.0,16.8167,-62.9733
0.01,-65.2101503602,95.06,1.0,-65.2101,500.0,1319.00417307,3.50449e-18,-65.2101503602,2,0.01,1.0,500,0.01,100.0,-65.2101503602,1319.00417307,1.0,100,1.0,,1.0,36.1361,-65.2101
0.005,-60.7346213943,89.81,1.0,-62.9724,500.0,62.2785060636,2.1793e-19,-60.7346213943,2,0.005,1.0,500,0.005,200.000000102,-60.7346213943,62.2785060636,1.0,100,1.0,,1.0,26.2439,-62.9724
0.00333333,-63.6194502942,92.37,1.0,-63.1881,500.0,1328.186672,5.43914e-20,-63.6194502942,2,0.00333333,1.0,500,0.00333333,299.999969474,-63.6194502942,1328.186672,1.0,100,1.0,,1.0,29.9592,-63.1881
0.0025,-65.2437418647,95.26,1.0,-63.702,500.0,1314.18685865,5.4346e-20,-65.2437418647,2,0.0025,1.0,500,0.0025,400.0,-65.2437418647,1314.18685865,1.0,100,1.0,,1.0,31.6105,-63.702
0.002,-68.6355631083,98.95,1.19115,-62.1215,1.22662788734,2563.47461684,8.59852e-06,-68.6355631083,1,0.0463085,27.5801,500,0.00109817,158.96587813,-68.6355631083,2563.47461684,0.65404,100,407.622,3.04997,1.0,25.5972,-62.1215
0.01,-64.2482102305,93.87,1.0,-64.2482,500.0,1330.76031211,3.50449e-18,-64.2482102305,2,0.01,1.0,500,0.01,100.0,-64.2482102305,1330.76031211,1.0,100,1.0,,1.0,36.2967,-64.2482
0.005,-61.9745575732,91.52,1.0,-63.1114,500.0,60.2723540202,2.1793e-19,-61.9745575732,2,0.005,1.0,500,0.005,200.000000102,-61.9745575732,60.2723540202,1.0,100,1.0,,1.0,26.2651,-63.1114
0.00333333,-73.3292679916,105.06,1.0,-66.5173,500.0,3752.60137616,5.43914e-20,-73.3292679916,2,0.00333333,1.0,500,0.00333333,299.999969474,-73.3292679916,3752.60137616,1.0,100,1.0,,1.0,41.4905,-66.5173
0.0025,-63.8489237438,93.28,1.0,-65.8502,500.0,1325.8244937,5.4346e-20,-63.8489237438,2,0.0025,1.0,500,0.0025,400.0,-63.8489237438,1325.8244937,1.0,100,1.0,,1.0,40.2563,-65.8502
0.002,-60.7817709813,89.97,1.13515,-63.5454,0.70854270531,48.6778123341,6.89504e-06,-60.7817709813,1,0.0182874,10.3795,500,5.85844e-10,183.802401411,-60.7817709813,48.6778123341,3.3251e-07,100,705.674,2.22117,1.0,37.7431,-63.5454
0.01,-67.8466880369,97.31,1.0,-67.8467,500.0,2552.24901304,3.50449e-18,-67.8466880369,2,0.01,1.0,500,0.01,100.0,-67.8466880369,2552.24901304,1.0,100,1.0,,1.0,50.2666,-67.8467
0.005,-65.3499665405,95.54,1.0,-66.5983,500.0,1321.94644912,2.1793e-19,-65.3499665405,2,0.005,1.0,500,0.005,200.000000102,-65.3499665405,1321.94644912,1.0,100,1.0,,1.0,43.8096,-66.5983
0.00333333,-64.5690849093,93.97,1.0,-65.9219,500.0,1321.85568261,5.43914e-20,-64.5690849093,2,0.00333333,1.0,500,0.00333333,299.999969474,-64.5690849093,1321.85568261,1.0,100,1.0,,1.0,41.4325,-65.9219
0.0025,-76.7372452052,108.89,1.0,-68.6257,500.0,4926.61717291,5.4346e-20,-76.7372452052,2,0.0025,1.0,500,0.0025,400.0,-76.7372452052,4926.61717291,1.0,100,1.0,,1.0,50.2868,-68.6257
0.002,-70.3275044443,101.74,0.987395,-67.6831,,2533.15380661,1.28593e-05,-70.3275044443,1,0.0670113,33.0833,500,0.000433106,118.810188378,-70.3275044443,2533.15380661,0.213823,100,inf,3.13429,1.0,43.4699,-67.6831
0.01,-71.4354059233,101.81,1.0,-71.4354,500.0,3789.73529766,3.50449e-18,-71.4354059233,2,0.01,1.0,500,0.01,100.0,-71.4354059233,3789.73529766,1.0,100,1.0,,1.0,61.2522,-71.4354
0.005,-65.8770927541,96.44,1.0,-68.6562,500.0,1305.9935439,2.1793e-19,-65.8770927541,2,0.005,1.0,500,0.005,200.000000102,-65.8770927541,1305.9935439,1.0,100,1.0,,1.0,50.3002,-68.6562
0.00333333,-65.7292642562,95.89,1.0,-67.6806,500.0,1315.95566624,5.43914e-20,-65.7292642562,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.7292642562,1315.95566624,1.0,100,1.0,,1.0,46.075,-67.6806
0.0025,-61.5283143118,90.23,1.0,-66.1425,500.0,55.6291912879,5.4346e-20,-61.5283143118,2,0.0025,1.0,500,0.0025,400.0,-61.5283143118,55.6291912879,1.0,100,1.0,,1.0,40.1628,-66.1425
0.002,-65.8607943647,96.13,1.95488,-57.1084,6.08050220084e-05,1325.48983035,0.000671501,-65.8607943647,1,0.575454,562.471,500,2.26884e-05,2.96666740732,-65.8607943647,1325.48983035,0.0221766,100,8.223e+06,641.545,1.0,65.4665,-57.1084
0.01,-71.8993140791,102.88,1.0,-71.8993,500.0,3770.5016581,3.50449e-18,-71.8993140791,2,0.01,1.0,500,0.01,100.0,-71.8993140791,3770.5016581,1.0,100,1.0,,1.0,61.0966,-71.8993
0.005,-63.0869114064,93.3,1.0,-67.4931,500.0,54.9520523472,2.1793e-19,-63.0869114064,2,0.005,1.0,500,0.005,200.000000102,-63.0869114064,54.9520523472,1.0,100,1.0,,1.0,43.738,-67.4931
0.00333333,-61.3202614836,89.97,1.0,-65.4355,500.0,46.5381956772,5.43914e-20,-61.3202614836,2,0.00333333,1.0,500,0.00333333,299.999969474,-61.3202614836,46.5381956772,1.0,100,1.0,,1.0,36.044,-65.4355
0.0025,-68.1686684765,98.4,1.0,-66.1188,500.0,2569.48373567,5.4346e-20,-68.1686684765,2,0.0025,1.0,500,0.0025,400.0,-68.1686684765,2569.48373567,1.0,100,1.0,,1.0,40.1463,-66.1188
0.002,-64.6897340816,94.52,0.997423,-63.3491,,1327.3811655,7.78106e-06,-64.6897340816,1,0.0404283,20.1621,500,4.33125e-10,169.988459738,-64.6897340816,1327.3811655,2.16005e-07,100,inf,1.93525,1.0,26.9381,-63.3491
0.01,-62.3062851106,92.14,1.0,-62.3063,500.0,77.7398149427,3.50449e-18,-62.3062851106,2,0.01,1.0,500,0.01,100.0,-62.3062851106,77.7398149427,1.0,100,1.0,,1.0,8.77282,-62.3063
0.005,-73.0260780728,104.63,1.0,-67.6662,500.0,3735.75754272,2.1793e-19,-73.0260780728,2,0.005,1.0,500,0.005,200.000000102,-73.0260780728,3735.75754272,1.0,100,1.0,,1.0,43.7768,-67.6662
0.00333333,-61.8907723448,91.57,1.0,-65.7411,500.0,57.3305180669,5.43914e-20,-61.8907723448,2,0.00333333,1.0,500,0.00333333,299.999969474,-61.8907723448,57.3305180669,1.0,100,1.0,,1.0,36.1101,-65.7411
0.0025,-62.9903311561,93.26,1.0,-65.0534,500.0,70.929177015,5.4346e-20,-62.9903311561,2,0.0025,1.0,500,0.0025,400.0,-62.9903311561,70.929177015,1.0,100,1.0,,1.0,31.5742,-65.0534
0.002,-65.6813841403,96.19,0.77747,-52.072,0.224256837151,1322.96571584,0.002,-65.6813841403,1,1.0,388.735,500,,1.0,-65.6813841403,1322.96571584,,100,2229.59,302.229,1.0,8.60642e-07,-52.072
0.01,-72.7142883526,103.68,1.0,-72.7143,500.0,3760.74576002,3.50449e-18,-72.7142883526,2,0.01,1.0,500,0.01,100.0,-72.7142883526,3760.74576002,1.0,100,1.0,,1.0,61.0175,-72.7143
0.005,-64.4050003877,94.04,1.0,-68.5596,500.0,1328.6490423,2.1793e-19,-64.4050003877,2,0.005,1.0,500,0.005,200.000000102,-64.4050003877,1328.6490423,1.0,100,1.0,,1.0,50.3638,-68.5596
0.00333333,-65.4582915343,95.71,1.0,-67.5259,500.0,1328.69319145,5.43914e-20,-65.4582915343,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.4582915343,1328.69319145,1.0,100,1.0,,1.0,46.1694,-67.5259
0.0025,-61.5993019059,90.69,1.0,-66.0442,500.0,55.9415674676,5.4346e-20,-61.5993019059,2,0.0025,1.0,500,0.0025,400.0,-61.5993019059,55.9415674676,1.0,100,1.0,,1.0,40.2386,-66.0442
0.002,-62.5429910074,92.96,1.50374,-64.6075,3.83916108332,64.9676491477,5.87437e-05,-62.5429910074,1,0.121836,91.605,500,0.00093035,31.9349461491,-62.5429910074,64.9676491477,0.699503,100,130.237,33.2085,1.0,30.9001,-64.6075
0.01,-66.3783426309,97.15,1.0,-66.3783,500.0,1318.43325193,3.50449e-18,-66.3783426309,2,0.01,1.0,500,0.01,100.0,-66.3783426309,1318.43325193,1.0,100,1.0,,1.0,36.1282,-66.3783
0.005,-60.1264151654,88.64,1.0,-63.2524,500.0,62.4353214267,2.1793e-19,-60.1264151654,2,0.005,1.0,500,0.005,200.000000102,-60.1264151654,62.4353214267,1.0,100,1.0,,1.0,26.3306,-63.2524
0.00333333,-61.9151758538,91.25,1.0,-62.8066,500.0,79.4963058806,5.43914e-20,-61.9151758538,2,0.00333333,1.0,500,0.00333333,299.999969474,-61.9151758538,79.4963058806,1.0,100,1.0,,1.0,22.1095,-62.8066
0.0025,-65.100269503,95.2,1.0,-63.38,500.0,1317.9317754,5.4346e-20,-65.100269503,2,0.0025,1.0,500,0.0025,400.0,-65.100269503,1317.9317754,1.0,100,1.0,,1.0,26.3401,-63.38
0.002,-67.9939732996,98.05,10.6701,-61.5495,13.9841099746,2566.64247093,1.82587e-05,-67.9939732996,1,0.0111111,59.2782,500,,90.0000474328,-67.9939732996,2566.64247093,,100,35.7549,519.691,1.0,19.3724,-61.5495
0.01,-62.5195797472,92.49,1.0,-62.5196,500.0,66.1662359642,3.50449e-18,-62.5195797472,2,0.01,1.0,500,0.01,100.0,-62.5195797472,66.1662359642,1.0,100,1.0,,1.0,8.09349,-62.5196
0.005,-61.5759698467,91.18,1.0,-62.0478,500.0,73.7729445481,2.1793e-19,-61.5759698467,2,0.005,1.0,500,0.005,200.000000102,-61.5759698467,73.7729445481,1.0,100,1.0,,1.0,8.33622,-62.0478
0.00333333,-65.4541017407,95.92,1.0,-63.1832,500.0,1322.40279581,5.43914e-20,-65.4541017407,2,0.00333333,1.0,500,0.00333333,299.999969474,-65.4541017407,1322.40279581,1.0,100,1.0,,1.0,22.0295,-63.1832
