AvgVanillaIw,AvgDiscRet,VarJ,VarDiscRet,Bound,ESSClassic,AvgEpLen,ESSRenyi,MinNormIw,IterType,BatchSize,eRenyi2,AvgNormIw,J,VanillaAvgRet,MinVanillaIw,Delta,MaxVanillaIw,EpsThisIter,AvgRet,VarVanillaIw,MaxNormIw,VarRet,VarNormIw
1.0,-67.0411288936,41.6694,2575.08241959,-64.3187,299.999969474,96.01,500.0,0.00333333,2,500,1.0,0.00333333,-64.3187,-67.0411288936,1.0,1.0,1.0,100,-67.0411288936,,0.00333333,2575.08241959,5.43914e-20
1.0,-61.9659435,40.4302,1338.6173557,-63.7305,400.0,89.71,500.0,0.0025,2,500,1.0,0.0025,-63.7305,-61.9659435,1.0,1.0,1.0,100,-61.9659435,,0.0025,1338.6173557,5.4346e-20
3.45665e-20,-67.1456887476,3.45567,2576.09281577,-50.1563,1.02427191188,96.69,0.00179819548835,,1,500,278057.0,0.002,-50.1563,-67.1456887476,,1.0,1.70765e-17,100,-67.1456887476,5.83235e-37,0.988037,2576.09281577,0.00195251
1.0,-58.4269030477,7.59411,58.2530635305,-58.4269,100.0,85.13,500.0,0.01,2,500,1.0,0.01,-58.4269,-58.4269030477,1.0,1.0,1.0,100,-58.4269030477,,0.01,58.2530635305,3.50449e-18
1.0,-56.8543024357,7.41671,51.6243031403,-57.6406,200.000000102,82.82,500.0,0.005,2,500,1.0,0.005,-57.6406,-56.8543024357,1.0,1.0,1.0,100,-56.8543024357,,0.005,51.6243031403,2.1793e-19
1.0,-58.5609678449,7.43653,55.8850421803,-57.9474,299.999969474,85.32,500.0,0.00333333,2,500,1.0,0.00333333,-57.9474,-58.5609678449,1.0,1.0,1.0,100,-58.5609678449,,0.00333333,55.8850421803,5.43914e-20
1.0,-58.8367529011,7.3827,52.0379334452,-58.1697,400.0,85.79,500.0,0.0025,2,500,1.0,0.0025,-58.1697,-58.8367529011,1.0,1.0,1.0,100,-58.8367529011,,0.0025,52.0379334452,5.4346e-20
0.940857,-57.7949239314,11.5714,46.7965069032,-57.1648,206.347373054,84.08,,,1,500,inf,0.002,-57.1648,-57.7949239314,,1.0,6.40919,100,-57.7949239314,1.26227,0.0136242,46.7965069032,5.70381e-06
1.0,-58.8532745352,8.29049,69.426525749,-58.8533,100.0,86.18,500.0,0.01,2,500,1.0,0.01,-58.8533,-58.8532745352,1.0,1.0,1.0,100,-58.8532745352,,0.01,69.426525749,3.50449e-18
1.0,-61.5864587691,26.3845,1333.14675758,-60.2199,200.000000102,88.56,500.0,0.005,2,500,1.0,0.005,-60.2199,-61.5864587691,1.0,1.0,1.0,100,-61.5864587691,,0.005,1333.14675758,2.1793e-19
1.0,-61.2516271119,30.0729,1333.4772752,-60.5638,299.999969474,87.86,500.0,0.00333333,2,500,1.0,0.00333333,-60.5638,-61.2516271119,1.0,1.0,1.0,100,-61.2516271119,,0.00333333,1333.4772752,5.43914e-20
1.0,-61.2908505045,31.8204,1350.12066315,-60.7456,400.0,88.23,500.0,0.0025,2,500,1.0,0.0025,-60.7456,-61.2908505045,1.0,1.0,1.0,100,-61.2908505045,,0.0025,1350.12066315,5.4346e-20
1.01698e-06,-56.7652088298,4.14027e-05,36.6767556985,-48.1278,1.00000022894,82.79,0.237585601292,,1,500,2104.5,0.002,-48.1278,-56.7652088298,,1.0,0.000508492,100,-56.7652088298,5.17129e-10,1.0,36.6767556985,0.002
1.0,-58.4926925641,6.91806,48.343028722,-58.4927,100.0,85.43,500.0,0.01,2,500,1.0,0.01,-58.4927,-58.4926925641,1.0,1.0,1.0,100,-58.4926925641,,0.01,48.343028722,3.50449e-18
1.0,-62.3591782402,26.5424,1367.33663937,-60.4259,200.000000102,89.84,500.0,0.005,2,500,1.0,0.005,-60.4259,-62.3591782402,1.0,1.0,1.0,100,-62.3591782402,,0.005,1367.33663937,2.1793e-19
1.0,-58.3797420228,22.07,49.9624790592,-59.7439,299.999969474,85.27,500.0,0.00333333,2,500,1.0,0.00333333,-59.7439,-58.3797420228,1.0,1.0,1.0,100,-58.3797420228,,0.00333333,49.9624790592,5.43914e-20
1.0,-56.9781503245,19.4701,49.8499530823,-59.0524,400.0,83.13,500.0,0.0025,2,500,1.0,0.0025,-59.0524,-56.9781503245,1.0,1.0,1.0,100,-56.9781503245,,0.0025,49.8499530823,5.4346e-20
1.02868,-57.7690113156,19.9142,50.7678694654,-57.3119,41.7588541086,84.25,499.997377409,0.000715717,1,500,1.00001,0.002,-57.3119,-57.7690113156,0.368122,1.0,73.4985,100,-57.7690113156,11.6353,0.142898,50.7678694654,4.3982e-05
1.0,-56.7757004759,7.24543,53.0265387975,-56.7757,100.0,82.28,500.0,0.01,2,500,1.0,0.01,-56.7757,-56.7757004759,1.0,1.0,1.0,100,-56.7757004759,,0.01,53.0265387975,3.50449e-18
1.0,-60.867428665,26.3827,1344.67461368,-58.8216,200.000000102,87.52,500.0,0.005,2,500,1.0,0.005,-58.8216,-60.867428665,1.0,1.0,1.0,100,-60.867428665,,0.005,1344.67461368,2.1793e-19
1.0,-57.0165531875,22.0049,58.9650525241,-58.2199,299.999969474,82.49,500.0,0.00333333,2,500,1.0,0.00333333,-58.2199,-57.0165531875,1.0,1.0,1.0,100,-57.0165531875,,0.00333333,58.9650525241,5.43914e-20
1.0,-58.1288638635,19.3746,49.3404270188,-58.1971,400.0,84.88,500.0,0.0025,2,500,1.0,0.0025,-58.1971,-58.1288638635,1.0,1.0,1.0,100,-58.1288638635,,0.0025,49.3404270188,5.4346e-20
0.818262,-61.9635716797,23.2524,1343.882531,-56.6377,17.3543681382,89.01,,7.71971e-10,1,500,inf,0.002,-56.6377,-61.9635716797,3.15837e-07,1.0,69.1321,100,-61.9635716797,18.6584,0.168973,1343.882531,0.000111468
1.0,-57.8646189561,6.80751,46.8103393155,-57.8646,100.0,83.83,500.0,0.01,2,500,1.0,0.01,-57.8646,-57.8646189561,1.0,1.0,1.0,100,-57.8646189561,,0.01,46.8103393155,3.50449e-18
1.0,-57.7891718253,7.39453,63.6494490236,-57.8269,200.000000102,84.24,500.0,0.005,2,500,1.0,0.005,-57.8269,-57.7891718253,1.0,1.0,1.0,100,-57.7891718253,,0.005,63.6494490236,2.1793e-19
1.0,-58.3620683585,7.29516,50.6154784033,-58.0053,299.999969474,85.18,500.0,0.00333333,2,500,1.0,0.00333333,-58.0053,-58.3620683585,1.0,1.0,1.0,100,-58.3620683585,,0.00333333,50.6154784033,5.43914e-20
1.0,-58.0865910439,7.24405,50.7492007374,-58.0256,400.0,84.94,500.0,0.0025,2,500,1.0,0.0025,-58.0256,-58.0865910439,1.0,1.0,1.0,100,-58.0865910439,,0.0025,50.7492007374,5.4346e-20
1.30004e-40,-58.8391508374,,54.0603882014,-38.9507,inf,85.84,,,1,500,inf,0.002,-38.9507,-58.8391508374,,1.0,6.50023e-38,100,-58.8391508374,,1.0,54.0603882014,0.002
1.0,-58.8288956557,7.8454,62.1720581231,-58.8289,100.0,86.14,500.0,0.01,2,500,1.0,0.01,-58.8289,-58.8288956557,1.0,1.0,1.0,100,-58.8288956557,,0.01,62.1720581231,3.50449e-18
1.0,-66.636696582,36.5201,2601.41429404,-62.7328,200.000000102,94.91,500.0,0.005,2,500,1.0,0.005,-62.7328,-66.636696582,1.0,1.0,1.0,100,-66.636696582,,0.005,2601.41429404,2.1793e-19
1.0,-62.5491801116,36.4586,1333.5618361,-62.6716,299.999969474,90.33,500.0,0.00333333,2,500,1.0,0.00333333,-62.6716,-62.5491801116,1.0,1.0,1.0,100,-62.5491801116,,0.00333333,1333.5618361,5.43914e-20
1.0,-56.4432294673,31.8835,49.9490346726,-61.1145,400.0,82.16,500.0,0.0025,2,500,1.0,0.0025,-61.1145,-56.4432294673,1.0,1.0,1.0,100,-56.4432294673,,0.0025,49.9490346726,5.4346e-20
0.00211478,-57.9113006735,2.54906e-06,64.9432656708,-49.5516,1.0,84.49,0.422379993708,,1,500,1183.77,0.002,-49.5516,-57.9113006735,,1.0,1.05739,100,-57.9113006735,0.00223615,1.0,64.9432656708,0.002
1.0,-60.8962484479,36.589,1352.27488944,-60.8963,100.0,87.21,500.0,0.01,2,500,1.0,0.01,-60.8963,-60.8962484479,1.0,1.0,1.0,100,-60.8962484479,,0.01,1352.27488944,3.50449e-18
1.0,-61.9351220159,36.6187,1356.13015557,-61.4157,200.000000102,89.43,500.0,0.005,2,500,1.0,0.005,-61.4157,-61.9351220159,1.0,1.0,1.0,100,-61.9351220159,,0.005,1356.13015557,2.1793e-19
1.0,-57.4881040296,30.1966,43.7963572329,-60.1065,299.999969474,83.82,500.0,0.00333333,2,500,1.0,0.00333333,-60.1065,-57.4881040296,1.0,1.0,1.0,100,-57.4881040296,,0.00333333,43.7963572329,5.43914e-20
1.0,-58.2708708471,26.4085,52.1206148331,-59.6476,400.0,85.11,500.0,0.0025,2,500,1.0,0.0025,-59.6476,-58.2708708471,1.0,1.0,1.0,100,-58.2708708471,,0.0025,52.1206148331,5.4346e-20
2.0908e-36,-57.7715981017,,51.8392371314,-51.1002,inf,83.45,3.92832051637e-20,,1,500,1.27281e+22,0.002,-51.1002,-57.7715981017,,1.0,1.0454e-33,100,-57.7715981017,,1.0,51.8392371314,0.002
1.0,-56.9430087322,7.12602,51.2931457752,-56.943,100.0,82.7,500.0,0.01,2,500,1.0,0.01,-56.943,-56.9430087322,1.0,1.0,1.0,100,-56.9430087322,,0.01,51.2931457752,3.50449e-18
1.0,-58.4521488351,7.37045,57.3012380473,-57.6976,200.000000102,85.55,500.0,0.005,2,500,1.0,0.005,-57.6976,-58.4521488351,1.0,1.0,1.0,100,-58.4521488351,,0.005,57.3012380473,2.1793e-19
1.0,-57.9533727768,7.3008,51.7315529306,-57.7828,299.999969474,84.34,500.0,0.00333333,2,500,1.0,0.00333333,-57.7828,-57.9533727768,1.0,1.0,1.0,100,-57.9533727768,,0.00333333,51.7315529306,5.43914e-20
1.0,-58.1311948805,7.30023,53.7144779201,-57.8699,400.0,84.89,500.0,0.0025,2,500,1.0,0.0025,-57.8699,-58.1311948805,1.0,1.0,1.0,100,-58.1311948805,,0.0025,53.7144779201,5.4346e-20
0.998356,-62.4261492757,14.4444,1334.60448647,-57.382,151.692815567,90.08,,0.000623042,1,500,inf,0.002,-57.382,-62.4261492757,0.311009,1.0,18.9566,100,-62.4261492757,2.29318,0.0379756,1334.60448647,9.20294e-06
1.0,-57.86316782,6.3069,40.1787495907,-57.8632,100.0,83.98,500.0,0.01,2,500,1.0,0.01,-57.8632,-57.86316782,1.0,1.0,1.0,100,-57.86316782,,0.01,40.1787495907,3.50449e-18
1.0,-61.9016819358,26.2351,1342.05127122,-59.8824,200.000000102,89.07,500.0,0.005,2,500,1.0,0.005,-59.8824,-61.9016819358,1.0,1.0,1.0,100,-61.9016819358,,0.005,1342.05127122,2.1793e-19
1.0,-61.5984331463,30.0205,1338.55795876,-60.4544,299.999969474,88.93,500.0,0.00333333,2,500,1.0,0.00333333,-60.4544,-61.5984331463,1.0,1.0,1.0,100,-61.5984331463,,0.00333333,1338.55795876,5.43914e-20
1.0,-63.0082033727,31.7789,1344.45700424,-61.0929,400.0,91.04,500.0,0.0025,2,500,1.0,0.0025,-61.0929,-63.0082033727,1.0,1.0,1.0,100,-63.0082033727,,0.0025,1344.45700424,5.4346e-20
0.996125,-58.7663583691,23.204,53.2178717535,-59.6348,327.517960809,85.32,,0.00108863,1,500,inf,0.002,-59.6348,-58.7663583691,0.542206,1.0,7.84036,100,-58.7663583691,0.523608,0.0157417,53.2178717535,2.11076e-06
1.0,-58.4729900992,6.97367,49.1233575772,-58.473,100.0,85.14,500.0,0.01,2,500,1.0,0.01,-58.473,-58.4729900992,1.0,1.0,1.0,100,-58.4729900992,,0.01,49.1233575772,3.50449e-18
1.0,-62.201632328,26.1863,1329.15141899,-60.3373,200.000000102,89.62,500.0,0.005,2,500,1.0,0.005,-60.3373,-62.201632328,1.0,1.0,1.0,100,-62.201632328,,0.005,1329.15141899,2.1793e-19
1.0,-58.3837602518,21.9023,65.8077031312,-59.6861,299.999969474,85.26,500.0,0.00333333,2,500,1.0,0.00333333,-59.6861,-58.3837602518,1.0,1.0,1.0,100,-58.3837602518,,0.00333333,65.8077031312,5.43914e-20
1.0,-58.8488247292,19.417,69.1102887123,-59.4768,400.0,85.87,500.0,0.0025,2,500,1.0,0.0025,-59.4768,-58.8488247292,1.0,1.0,1.0,100,-58.8488247292,,0.0025,69.1102887123,5.4346e-20
0.965823,-57.691339476,9.94285,57.4591199693,-58.1308,279.708067564,83.85,,2.36943e-06,1,500,inf,0.002,-58.1308,-57.691339476,0.00114422,1.0,9.43063,100,-57.691339476,0.736136,0.0195287,57.4591199693,3.15662e-06
1.0,-62.0489085367,36.4344,1340.87592976,-62.0489,100.0,89.63,500.0,0.01,2,500,1.0,0.01,-62.0489,-62.0489085367,1.0,1.0,1.0,100,-62.0489085367,,0.01,1340.87592976,3.50449e-18
1.0,-58.1643794508,26.3637,55.6379011291,-60.1066,200.000000102,84.73,500.0,0.005,2,500,1.0,0.005,-60.1066,-58.1643794508,1.0,1.0,1.0,100,-58.1643794508,,0.005,55.6379011291,2.1793e-19
1.0,-57.0007509115,21.99,54.7095753697,-59.0714,299.999969474,82.51,500.0,0.00333333,2,500,1.0,0.00333333,-59.0714,-57.0007509115,1.0,1.0,1.0,100,-57.0007509115,,0.00333333,54.7095753697,5.43914e-20
1.0,-58.7840664579,19.5539,79.4616402503,-58.9995,400.0,85.73,500.0,0.0025,2,500,1.0,0.0025,-58.9995,-58.7840664579,1.0,1.0,1.0,100,-58.7840664579,,0.0025,79.4616402503,5.4346e-20
1.01154,-62.9107794836,24.8485,1337.51866383,-58.4171,48.8551910034,90.73,,5.56927e-05,1,500,inf,0.002,-58.4171,-62.9107794836,0.0281677,1.0,49.6641,100,-62.9107794836,9.46762,0.098195,1337.51866383,3.70113e-05
1.0,-57.4608144704,7.5824,58.0734659096,-57.4608,100.0,83.53,500.0,0.01,2,500,1.0,0.01,-57.4608,-57.4608144704,1.0,1.0,1.0,100,-57.4608144704,,0.01,58.0734659096,3.50449e-18
1.0,-58.1428923161,7.61008,58.6882515527,-57.8019,200.000000102,84.6,500.0,0.005,2,500,1.0,0.005,-57.8019,-58.1428923161,1.0,1.0,1.0,100,-58.1428923161,,0.005,58.6882515527,2.1793e-19
1.0,-57.2025133686,7.38774,48.1514534708,-57.6021,299.999969474,83.2,500.0,0.00333333,2,500,1.0,0.00333333,-57.6021,-57.2025133686,1.0,1.0,1.0,100,-57.2025133686,,0.00333333,48.1514534708,5.43914e-20
1.0,-58.2579611942,7.54095,64.0451216352,-57.766,400.0,84.99,500.0,0.0025,2,500,1.0,0.0025,-57.766,-58.2579611942,1.0,1.0,1.0,100,-58.2579611942,,0.0025,64.0451216352,5.4346e-20
0.887861,-60.7287910753,12.6389,1358.60253765,-57.9812,287.937758642,87.42,499.994576036,0.000932681,1,500,1.00001,0.002,-57.9812,-60.7287910753,0.414045,1.0,8.62038,100,-60.7287910753,0.581733,0.0194183,1358.60253765,2.95185e-06
1.0,-58.136168119,7.37264,54.904905131,-58.1362,100.0,84.72,500.0,0.01,2,500,1.0,0.01,-58.1362,-58.136168119,1.0,1.0,1.0,100,-58.136168119,,0.01,54.904905131,3.50449e-18
1.0,-62.5215018234,26.3334,1336.28283345,-60.3288,200.000000102,90.14,500.0,0.005,2,500,1.0,0.005,-60.3288,-62.5215018234,1.0,1.0,1.0,100,-62.5215018234,,0.005,1336.28283345,2.1793e-19
1.0,-64.7485202797,36.4907,2621.0068766,-61.8021,299.999969474,92.1,500.0,0.00333333,2,500,1.0,0.00333333,-61.8021,-64.7485202797,1.0,1.0,1.0,100,-64.7485202797,,0.00333333,2621.0068766,5.43914e-20
1.0,-58.0475777765,31.8452,51.703480931,-60.8634,400.0,84.32,500.0,0.0025,2,500,1.0,0.0025,-60.8634,-58.0475777765,1.0,1.0,1.0,100,-58.0475777765,,0.0025,51.703480931,5.4346e-20
0.919456,-61.2017559746,22.3843,1347.57392361,-59.7698,242.792982211,87.61,,6.43917e-06,1,500,inf,0.002,-59.7698,-61.2017559746,0.00296027,1.0,13.3107,100,-61.2017559746,0.897383,0.0289533,1347.57392361,4.24596e-06
1.0,-59.0709625101,8.58297,74.4115644554,-59.071,100.0,86.24,500.0,0.01,2,500,1.0,0.01,-59.071,-59.0709625101,1.0,1.0,1.0,100,-59.0709625101,,0.01,74.4115644554,3.50449e-18
1.0,-65.8091327085,36.4703,2589.68785112,-62.44,200.000000102,93.69,500.0,0.005,2,500,1.0,0.005,-62.44,-65.8091327085,1.0,1.0,1.0,100,-65.8091327085,,0.005,2589.68785112,2.1793e-19
1.0,-66.9767086232,41.7616,2584.06149656,-63.9523,299.999969474,95.85,500.0,0.00333333,2,500,1.0,0.00333333,-63.9523,-66.9767086232,1.0,1.0,1.0,100,-66.9767086232,,0.00333333,2584.06149656,5.43914e-20
1.0,-59.1527010258,36.4062,52.8021698162,-62.7524,400.0,86.2,500.0,0.0025,2,500,1.0,0.0025,-62.7524,-59.1527010258,1.0,1.0,1.0,100,-59.1527010258,,0.0025,52.8021698162,5.4346e-20
0.96356,-63.0271915193,27.7853,1345.91175699,-61.7079,371.855247975,90.7,,0.0013328,1,500,inf,0.002,-61.7079,-63.0271915193,0.642118,1.0,6.55885,100,-63.0271915193,0.320592,0.0136138,1345.91175699,1.3812e-06
1.0,-61.3996090968,36.4763,1343.9632704,-61.3996,100.0,88.09,500.0,0.01,2,500,1.0,0.01,-61.3996,-61.3996090968,1.0,1.0,1.0,100,-61.3996090968,,0.01,1343.9632704,3.50449e-18
1.0,-60.4335976276,36.526,1350.82288134,-60.9166,200.000000102,86.89,500.0,0.005,2,500,1.0,0.005,-60.9166,-60.4335976276,1.0,1.0,1.0,100,-60.4335976276,,0.005,1350.82288134,2.1793e-19
1.0,-58.166805978,30.275,77.1438296691,-60.0,299.999969474,84.5,500.0,0.00333333,2,500,1.0,0.00333333,-60.0,-58.166805978,1.0,1.0,1.0,100,-58.166805978,,0.00333333,77.1438296691,5.43914e-20
1.0,-59.2714315714,26.4727,53.6365513798,-59.8179,400.0,86.6,500.0,0.0025,2,500,1.0,0.0025,-59.8179,-59.2714315714,1.0,1.0,1.0,100,-59.2714315714,,0.0025,53.6365513798,5.4346e-20
1.01479,-59.9076639509,18.5187,50.7513079068,-58.9714,349.101591165,87.24,,0.000675193,1,500,inf,0.002,-58.9714,-59.9076639509,0.342589,1.0,8.59587,100,-59.9076639509,0.446019,0.0169412,50.7513079068,1.73246e-06
1.0,-61.7710833269,36.353,1334.89017974,-61.7711,100.0,89.37,500.0,0.01,2,500,1.0,0.01,-61.7711,-61.7710833269,1.0,1.0,1.0,100,-61.7710833269,,0.01,1334.89017974,3.50449e-18
1.0,-62.559589771,36.4274,1345.51080926,-62.1653,200.000000102,90.04,500.0,0.005,2,500,1.0,0.005,-62.1653,-62.559589771,1.0,1.0,1.0,100,-62.559589771,,0.005,1345.51080926,2.1793e-19
1.0,-61.3738704538,36.4813,1351.85369918,-61.9015,299.999969474,88.13,500.0,0.00333333,2,500,1.0,0.00333333,-61.9015,-61.3738704538,1.0,1.0,1.0,100,-61.3738704538,,0.00333333,1351.85369918,5.43914e-20
1.0,-61.889031377,36.5343,1359.96026867,-61.8984,400.0,89.06,500.0,0.0025,2,500,1.0,0.0025,-61.8984,-61.889031377,1.0,1.0,1.0,100,-61.889031377,,0.0025,1359.96026867,5.4346e-20
2.33417e-33,-60.8524681795,,1352.21363658,-49.2454,inf,87.38,0.0656505197162,,1,500,7616.09,0.002,-49.2454,-60.8524681795,,1.0,1.16709e-30,100,-60.8524681795,,1.0,1352.21363658,0.002
1.0,-62.0658377267,36.3977,1338.17326809,-62.0658,100.0,89.64,500.0,0.01,2,500,1.0,0.01,-62.0658,-62.0658377267,1.0,1.0,1.0,100,-62.0658377267,,0.01,1338.17326809,3.50449e-18
1.0,-58.0878054015,26.3264,53.997486398,-60.0768,200.000000102,84.64,500.0,0.005,2,500,1.0,0.005,-60.0768,-58.0878054015,1.0,1.0,1.0,100,-58.0878054015,,0.005,53.997486398,2.1793e-19
1.0,-58.6177891962,21.9988,64.9121940295,-59.5905,299.999969474,85.29,500.0,0.00333333,2,500,1.0,0.00333333,-59.5905,-58.6177891962,1.0,1.0,1.0,100,-58.6177891962,,0.00333333,64.9121940295,5.43914e-20
1.0,-62.4995583703,26.3225,1326.57202235,-60.3177,400.0,89.62,500.0,0.0025,2,500,1.0,0.0025,-60.3177,-62.4995583703,1.0,1.0,1.0,100,-62.4995583703,,0.0025,1326.57202235,5.4346e-20
3.64048e-40,-57.9313888554,,51.9950635816,-48.6665,inf,84.32,3.51831242776e-07,,1,500,1.42114e+09,0.002,-48.6665,-57.9313888554,,1.0,1.82024e-37,100,-57.9313888554,,1.0,51.9950635816,0.002
1.0,-57.8653262471,7.37681,54.9670725976,-57.8653,100.0,84.3,500.0,0.01,2,500,1.0,0.01,-57.8653,-57.8653262471,1.0,1.0,1.0,100,-57.8653262471,,0.01,54.9670725976,3.50449e-18
1.0,-57.4228792757,7.33303,53.5671589161,-57.6441,200.000000102,83.4,500.0,0.005,2,500,1.0,0.005,-57.6441,-57.4228792757,1.0,1.0,1.0,100,-57.4228792757,,0.005,53.5671589161,2.1793e-19
1.0,-62.044181415,21.9681,1340.74787077,-59.1108,299.999969474,89.26,500.0,0.00333333,2,500,1.0,0.00333333,-59.1108,-62.044181415,1.0,1.0,1.0,100,-62.044181415,,0.00333333,1340.74787077,5.43914e-20
1.0,-64.9580304278,31.8229,2603.3826379,-60.5726,400.0,92.69,500.0,0.0025,2,500,1.0,0.0025,-60.5726,-64.9580304278,1.0,1.0,1.0,100,-64.9580304278,,0.0025,2603.3826379,5.4346e-20
13.2723,-58.5806925233,26.4047,65.4258325858,-51.1685,1.88232829053,85.64,0.236798511869,,1,500,2111.5,0.002,-51.1685,-58.5806925233,,1.0,4211.69,100,-58.5806925233,46708.8,0.634658,65.4258325858,0.00106063
1.0,-58.7515572596,7.91157,63.2252499854,-58.7516,100.0,85.68,500.0,0.01,2,500,1.0,0.01,-58.7516,-58.7515572596,1.0,1.0,1.0,100,-58.7515572596,,0.01,63.2252499854,3.50449e-18
1.0,-58.6471015526,7.73275,57.5682228274,-58.6993,200.000000102,85.75,500.0,0.005,2,500,1.0,0.005,-58.6993,-58.6471015526,1.0,1.0,1.0,100,-58.6471015526,,0.005,57.5682228274,2.1793e-19
1.0,-59.2280511214,7.50321,49.613427849,-58.8756,299.999969474,85.93,500.0,0.00333333,2,500,1.0,0.00333333,-58.8756,-59.2280511214,1.0,1.0,1.0,100,-59.2280511214,,0.00333333,49.613427849,5.43914e-20
1.0,-62.1654378299,19.3659,1336.50001946,-59.698,400.0,89.34,500.0,0.0025,2,500,1.0,0.0025,-59.698,-62.1654378299,1.0,1.0,1.0,100,-62.1654378299,,0.0025,1336.50001946,5.4346e-20
1.05847,-64.9865152603,22.8832,2613.88312307,-60.0997,296.707412382,92.32,3.02539371527,0.0013361,1,500,165.268,0.002,-60.0997,-64.9865152603,0.70711,1.0,12.2916,100,-64.9865152603,0.769167,0.0232252,2613.88312307,2.74613e-06
1.0,-60.0495212637,7.50191,56.8470843112,-60.0495,100.0,87.52,500.0,0.01,2,500,1.0,0.01,-60.0495,-60.0495212637,1.0,1.0,1.0,100,-60.0495212637,,0.01,56.8470843112,3.50449e-18
1.0,-61.9960660994,26.2287,1331.02340697,-61.0228,200.000000102,89.69,500.0,0.005,2,500,1.0,0.005,-61.0228,-61.9960660994,1.0,1.0,1.0,100,-61.9960660994,,0.005,1331.02340697,2.1793e-19
