EpsThisIter,AvgNormIw,J,BatchSize,VarVanillaIw,Bound,MaxVanillaIw,VarJ,IterType,VarDiscRet,MinVanillaIw,eRenyi2,MaxNormIw,MinNormIw,AvgEpLen,ESSClassic,VanillaAvgRet,AvgRet,VarRet,AvgVanillaIw,AvgDiscRet,VarNormIw,ESSRenyi,Delta
100,0.00333333,50.2636,500,,39.5376,1.0,23.1981,2,726.752882199,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,50.0500149888,50.0500149888,726.752882199,1.0,50.0500149888,5.43914e-20,500.0,0.2
100,0.0025,51.0386,500,,41.4568,1.0,22.5182,2,410.724020277,1.0,1.0,0.0025,0.0025,500.0,400.0,53.3636090332,53.3636090332,410.724020277,1.0,53.3636090332,5.4346e-20,500.0,0.2
100,0.002,86.6455,500,29728.3,68.5663,3856.18,60.2351,1,417.118230404,0.00294788,4.45021,0.886484,6.77678e-07,500.0,1.27231649593,52.8174059536,52.8174059536,417.118230404,8.69994,52.8174059536,0.00157108,112.354258105,0.2
100,0.01,57.6533,500,,38.5268,1.0,19.1836,2,371.726909481,1.0,1.0,0.01,0.01,500.0,100.0,57.6532585082,57.6532585082,371.726909481,1.0,57.6532585082,3.50449e-18,500.0,0.2
100,0.005,58.0222,500,,44.4978,1.0,19.2676,2,377.976307371,1.0,1.0,0.005,0.005,500.0,200.000000102,58.3912288798,58.3912288798,377.976307371,1.0,58.3912288798,2.1793e-19,500.0,0.2
100,0.00333333,58.5627,500,,47.52,1.0,19.1157,2,355.555267844,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,59.6434860072,59.6434860072,355.555267844,1.0,59.6434860072,5.43914e-20,500.0,0.2
100,0.0025,59.2643,500,,49.7011,1.0,19.2545,2,384.656987458,1.0,1.0,0.0025,0.0025,500.0,400.0,61.3692869097,61.3692869097,384.656987458,1.0,61.3692869097,5.4346e-20,500.0,0.2
100,0.002,85.4649,500,4152.34,66.8551,1441.21,98.0095,1,390.104717582,0.00173968,4.73352,0.719277,8.6824e-07,500.0,1.93013532947,61.1918221195,61.1918221195,390.104717582,4.00738,61.1918221195,0.00103427,105.629530043,0.2
100,0.01,62.8315,500,,44.0683,1.0,17.9637,2,325.954373324,1.0,1.0,0.01,0.01,500.0,100.0,62.831544735,62.831544735,325.954373324,1.0,62.831544735,3.50449e-18,500.0,0.2
100,0.005,65.2966,500,,51.8426,1.0,17.4055,2,273.792478091,1.0,1.0,0.005,0.005,500.0,200.000000102,67.7616696109,67.7616696109,273.792478091,1.0,67.7616696109,2.1793e-19,500.0,0.2
100,0.00333333,65.233,500,,54.2478,1.0,18.8747,2,467.510620974,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,65.1057224856,65.1057224856,467.510620974,1.0,65.1057224856,5.43914e-20,500.0,0.2
100,0.0025,65.2903,500,,55.7769,1.0,19.0392,2,385.020545089,1.0,1.0,0.0025,0.0025,500.0,400.0,65.4623409972,65.4623409972,385.020545089,1.0,65.4623409972,5.4346e-20,500.0,0.2
100,0.002,88.0846,500,1622.06,68.7749,897.738,80.9783,1,247.235061119,0.000956495,5.14977,0.628295,6.69417e-07,500.0,2.50968186,68.7010430698,68.7010430698,247.235061119,2.8577,68.7010430698,0.000794503,97.0918087675,0.2
100,0.01,72.5431,500,,53.3717,1.0,19.3049,2,376.442890073,1.0,1.0,0.01,0.01,500.0,100.0,72.543084951,72.543084951,376.442890073,1.0,72.543084951,3.50449e-18,500.0,0.2
100,0.005,73.2555,500,,59.3016,1.0,16.7321,2,188.111981286,1.0,1.0,0.005,0.005,500.0,200.000000102,73.9679556342,73.9679556342,188.111981286,1.0,73.9679556342,2.1793e-19,500.0,0.2
100,0.00333333,73.3343,500,,61.9409,1.0,16.0219,2,212.26271765,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,73.4916925734,73.4916925734,212.26271765,1.0,73.4916925734,5.43914e-20,500.0,0.2
100,0.0025,73.1011,500,,63.2342,1.0,15.8524,2,236.813790332,1.0,1.0,0.0025,0.0025,500.0,400.0,72.4018142383,72.4018142383,236.813790332,1.0,72.4018142383,5.4346e-20,500.0,0.2
100,0.002,88.9934,500,744.135,71.9646,608.401,79.8158,1,189.84264966,0.00278184,3.72319,0.536461,2.4529e-06,500.0,3.4399610338,74.252256226,74.252256226,189.84264966,2.2682,74.252256226,0.000578559,134.293620011,0.2
100,0.01,79.514,500,,60.0045,1.0,12.4562,2,156.723922879,1.0,1.0,0.01,0.01,500.0,100.0,79.5140272394,79.5140272394,156.723922879,1.0,79.5140272394,3.50449e-18,500.0,0.2
100,0.005,80.0246,500,,66.2293,1.0,11.5509,2,112.292029858,1.0,1.0,0.005,0.005,500.0,200.000000102,80.5351927252,80.5351927252,112.292029858,1.0,80.5351927252,2.1793e-19,500.0,0.2
100,0.00333333,79.9313,500,,68.6675,1.0,12.2307,2,183.710983062,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,79.7446974903,79.7446974903,183.710983062,1.0,79.7446974903,5.43914e-20,500.0,0.2
100,0.0025,79.3279,500,,69.5366,1.0,13.387,2,266.364822131,1.0,1.0,0.0025,0.0025,500.0,400.0,77.5177022088,77.5177022088,266.364822131,1.0,77.5177022088,5.4346e-20,500.0,0.2
100,0.002,83.966,500,0.687405,73.2515,5.67439,10.3628,1,112.112459931,0.0388451,1.48802,0.0109961,7.5276e-05,500.0,304.125972858,80.7421163915,80.7421163915,112.112459931,1.03207,80.7421163915,2.58139e-06,336.016678806,0.2
100,0.01,83.034,500,,63.4429,1.0,8.93367,2,80.6165357848,1.0,1.0,0.01,0.01,500.0,100.0,83.0340516205,83.0340516205,80.6165357848,1.0,83.0340516205,3.50449e-18,500.0,0.2
100,0.005,82.4286,500,,68.0946,1.0,9.77478,2,111.665677443,1.0,1.0,0.005,0.005,500.0,200.000000102,81.82310203,81.82310203,111.665677443,1.0,81.82310203,2.1793e-19,500.0,0.2
100,0.00333333,83.0944,500,,71.3908,1.0,9.24541,2,63.3129759209,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,84.4261965586,84.4261965586,63.3129759209,1.0,84.4261965586,5.43914e-20,500.0,0.2
100,0.0025,83.1661,500,,73.0305,1.0,9.30543,2,90.7777218622,1.0,1.0,0.0025,0.0025,500.0,400.0,83.3810459452,83.3810459452,90.7777218622,1.0,83.3810459452,5.4346e-20,500.0,0.2
100,0.002,95.733,500,22618.3,86.6674,3358.54,21.5816,1,187.923909716,6.72342e-06,1.0,0.844865,1.69132e-09,500.0,1.39621843789,82.1214522919,82.1214522919,187.923909716,7.95048,82.1214522919,0.0014313,499.99839068,0.2
100,0.01,84.2923,500,,64.7794,1.0,10.3681,2,108.583384909,1.0,1.0,0.01,0.01,500.0,100.0,84.2923114892,84.2923114892,108.583384909,1.0,84.2923114892,3.50449e-18,500.0,0.2
100,0.005,83.8795,500,,70.0818,1.0,12.562,2,209.869969218,1.0,1.0,0.005,0.005,500.0,200.000000102,83.4666650837,83.4666650837,209.869969218,1.0,83.4666650837,2.1793e-19,500.0,0.2
100,0.00333333,84.4342,500,,73.0406,1.0,12.2055,2,130.774039831,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,85.5435459579,85.5435459579,130.774039831,1.0,85.5435459579,5.43914e-20,500.0,0.2
100,0.0025,84.3151,500,,74.2477,1.0,12.2097,2,150.725370799,1.0,1.0,0.0025,0.0025,500.0,400.0,83.9579998921,83.9579998921,150.725370799,1.0,83.9579998921,5.4346e-20,500.0,0.2
100,0.002,87.4347,500,0.336604,77.2628,3.52183,7.37522,1,100.326964411,0.0609005,1.27607,0.00694261,0.000120054,500.0,376.971198623,84.4176233272,84.4176233272,100.326964411,1.01455,84.4176233272,1.30806e-06,391.829425864,0.2
100,0.01,87.3205,500,,67.4532,1.0,7.10262,2,50.9567786915,1.0,1.0,0.01,0.01,500.0,100.0,87.3204922569,87.3204922569,50.9567786915,1.0,87.3204922569,3.50449e-18,500.0,0.2
100,0.005,87.727,500,,73.6787,1.0,6.73051,2,40.2240533841,1.0,1.0,0.005,0.005,500.0,200.000000102,88.1334324523,88.1334324523,40.2240533841,1.0,88.1334324523,2.1793e-19,500.0,0.2
100,0.00333333,87.3104,500,,75.84,1.0,7.38695,2,72.7881781377,1.0,1.0,0.00333333,0.00333333,500.0,299.999969474,86.4772646138,86.4772646138,72.7881781377,1.0,86.4772646138,5.43914e-20,500.0,0.2
100,0.0025,87.2887,500,,77.355,1.0,7.44974,2,58.8767509833,1.0,1.0,0.0025,0.0025,500.0,400.0,87.2234411495,87.2234411495,58.8767509833,1.0,87.2234411495,5.4346e-20,500.0,0.2
