J,eRenyi2,ESSClassic,ESSRenyi,AvgEpLen,AvgRet,AvgVanillaIw,VarNormIw,Delta,Bound,EpsThisIter,VarRet,VarJ,VarVanillaIw,MinNormIw,VanillaAvgRet,BatchSize,MaxNormIw,IterType,VarDiscRet,MaxVanillaIw,AvgNormIw,MinVanillaIw,AvgDiscRet
643.428,13.3121,4.08583771767,22.5358844785,37.71,349.370856841,1.4164,0.000807406,0.3,379.972,100,12918.6566954,1454.5,145.783,2.60225e-11,349.370856841,300,0.465498,1,12918.6566954,197.8,0.00333333,1.10575e-08,349.370856841
360.839,1.0,100.0,300.0,38.96,360.838861588,1.0,3.50449e-18,0.3,247.635,100,8305.90062064,90.6799,,0.01,360.838861588,300,0.01,2,8305.90062064,1.0,0.01,1.0,360.838861588
371.877,1.0,200.000000102,300.0,41.31,382.914813617,1.0,2.1793e-19,0.3,275.186,100,14183.6949926,106.086,,0.005,382.914813617,300,0.005,2,14183.6949926,1.0,0.005,1.0,382.914813617
464.004,23.4406,1.39361751377,17.0643989125,37.71,349.370856841,358851.0,0.00238871,0.3,81.7763,100,12918.6566954,91.3502,2.76843e+13,4.69612e-11,349.370856841,400,0.840055,,17840.9729029,9.04363e+07,0.00333333,0.00505562,384.880311683
521.562,7.08349,6.04926698204,56.4693287005,36.09,334.327520715,1.67909,0.000408043,0.3,355.129,100,10638.3181803,1553.93,184.065,1.02225e-08,334.327520715,400,0.400035,1,10638.3181803,268.677,0.0025,6.8658e-06,334.327520715
350.686,1.0,100.0,400.0,37.83,350.686296129,1.0,3.50449e-18,0.3,237.014,100,8116.68104058,89.641,,0.01,350.686296129,400,0.01,2,8116.68104058,1.0,0.01,1.0,350.686296129
365.321,1.0,200.000000102,400.0,40.98,379.956629658,1.0,2.1793e-19,0.3,280.832,100,15214.339944,108.458,,0.005,379.956629658,400,0.005,2,15214.339944,1.0,0.005,1.0,379.956629658
379.225,1.0,299.999969474,400.0,43.92,407.033542438,1.0,5.43914e-20,0.3,287.228,100,17073.5301349,117.741,,0.00333333,407.033542438,400,0.00333333,2,17073.5301349,1.0,0.00333333,1.0,407.033542438
561.54,6.11972,10.4813613264,65.36244229,40.34,373.811504026,1.68838,0.000232851,0.3,355.797,100,17155.1265317,1250.86,106.204,2.66999e-08,373.811504026,400,0.292179,1,17155.1265317,197.324,0.0025,1.80318e-05,373.811504026
389.387,1.0,100.0,400.0,42.04,389.386891225,1.0,3.50449e-18,0.3,245.818,100,13168.5946555,114.179,,0.01,389.386891225,400,0.01,2,13168.5946555,1.0,0.01,1.0,389.386891225
405.596,1.0,200.000000102,400.0,45.49,421.804245344,1.0,2.1793e-19,0.3,289.338,100,17625.7273581,124.523,,0.005,421.804245344,400,0.005,2,17625.7273581,1.0,0.005,1.0,421.804245344
411.891,1.0,299.999969474,400.0,45.79,424.480974055,1.0,5.43914e-20,0.3,316.967,100,19016.6026266,129.198,,0.00333333,424.480974055,400,0.00333333,2,19016.6026266,1.0,0.00333333,1.0,424.480974055
882.483,10.7764,2.03716853844,37.1181155488,43.56,403.967611647,2.97125,0.001224,0.3,612.62,100,16456.0411797,2734.44,1728.95,2.36347e-11,403.967611647,400,0.699473,1,16456.0411797,831.324,0.0025,2.80898e-08,403.967611647
441.049,1.0,100.0,400.0,47.56,441.048892774,1.0,3.50449e-18,0.3,310.187,100,21235.2424071,144.993,,0.01,441.048892774,400,0.01,2,21235.2424071,1.0,0.01,1.0,441.048892774
434.389,1.0,200.000000102,400.0,46.13,427.728213952,1.0,2.1793e-19,0.3,335.27,100,15311.276773,134.666,,0.005,427.728213952,400,0.005,2,15311.276773,1.0,0.005,1.0,427.728213952
443.673,1.0,299.999969474,400.0,49.84,462.241965717,1.0,5.43914e-20,0.3,360.056,100,24066.4939767,142.142,,0.00333333,462.241965717,400,0.00333333,2,24066.4939767,1.0,0.00333333,1.0,462.241965717
798.809,8.33835,1.05103090175,59.9639338934,43.56,403.967611647,91260.1,0.00237831,0.3,557.68,100,16456.0411797,301.489,3.16921e+12,3.29525e-11,403.967611647,500,0.975238,,26547.5973948,3.56001e+07,0.0025,0.0012029,458.828151171
459.001,2.02799,236.434677828,246.549526705,45.01,417.21436999,1.05372,4.46793e-06,0.3,354.291,100,17655.4638785,292.129,1.24023,1.83188e-08,417.21436999,500,0.0222744,1,17655.4638785,11.7355,0.002,9.65151e-06,417.21436999
456.546,1.0,100.0,500.0,49.24,456.546151172,1.0,3.50449e-18,0.3,296.065,100,29273.1346394,170.236,,0.01,456.546151172,500,0.01,2,29273.1346394,1.0,0.01,1.0,456.546151172
448.759,1.0,200.000000102,500.0,47.56,440.972356546,1.0,2.1793e-19,0.3,335.282,100,24123.0349473,162.763,,0.005,440.972356546,500,0.005,2,24123.0349473,1.0,0.005,1.0,440.972356546
439.177,1.0,299.999969474,500.0,45.3,420.012693307,1.0,5.43914e-20,0.3,346.523,100,18996.2284232,155.285,,0.00333333,420.012693307,500,0.00333333,2,18996.2284232,1.0,0.00333333,1.0,420.012693307
443.446,1.0,400.0,500.0,49.19,456.254671785,1.0,5.4346e-20,0.3,360.264,100,34766.1269069,163.537,,0.0025,456.254671785,500,0.0025,2,34766.1269069,1.0,0.0025,1.0,456.254671785
707.817,7.59977,3.16665896776,65.7914847833,47.74,442.492620029,2.339,0.000628838,0.3,502.712,100,22331.0912252,1644.23,860.078,3.00349e-07,442.492620029,500,0.559934,1,22331.0912252,654.841,0.002,0.000351258,442.492620029
497.595,1.0,100.0,500.0,53.71,497.595237319,1.0,3.50449e-18,0.3,312.596,100,43058.9013489,206.466,,0.01,497.595237319,500,0.01,2,43058.9013489,1.0,0.01,1.0,497.595237319
504.224,1.0,200.000000102,500.0,55.11,510.853594145,1.0,2.1793e-19,0.3,373.41,100,33029.8481786,194.185,,0.005,510.853594145,500,0.005,2,33029.8481786,1.0,0.005,1.0,510.853594145
509.605,1.0,299.999969474,500.0,56.1,520.366961805,1.0,5.43914e-20,0.3,379.938,100,43133.7774031,198.572,,0.00333333,520.366961805,500,0.00333333,2,43133.7774031,1.0,0.00333333,1.0,520.366961805
511.486,1.0,400.0,500.0,55.84,517.126231624,1.0,5.4346e-20,0.3,399.19,100,40453.0922762,198.987,,0.0025,517.126231624,500,0.0025,2,40453.0922762,1.0,0.0025,1.0,517.126231624
771.811,5.59716,24.0402150545,89.3310428986,56.1,520.256114892,1.20744,7.93526e-05,0.3,534.187,100,41180.9501203,2899.49,28.9224,6.65334e-07,520.256114892,500,0.190287,1,41180.9501203,114.88,0.002,0.000401677,520.256114892
604.28,1.0,100.0,500.0,65.24,604.279537258,1.0,3.50449e-18,0.3,385.403,100,58390.53107,240.43,,0.01,604.279537258,500,0.01,2,58390.53107,1.0,0.01,1.0,604.279537258
579.157,1.0,200.000000102,500.0,59.82,554.03383862,1.0,2.1793e-19,0.3,424.114,100,44672.9588071,227.261,,0.005,554.03383862,500,0.005,2,44672.9588071,1.0,0.005,1.0,554.03383862
563.319,1.0,299.999969474,500.0,57.37,531.642963448,1.0,5.43914e-20,0.3,425.05,100,44018.8494711,222.395,,0.00333333,531.642963448,500,0.00333333,2,44018.8494711,1.0,0.00333333,1.0,531.642963448
564.225,1.0,400.0,500.0,61.2,566.944560238,1.0,5.4346e-20,0.3,444.481,100,51416.341356,223.21,,0.0025,566.944560238,500,0.0025,2,51416.341356,1.0,0.0025,1.0,566.944560238
970.333,9.24281,3.69300174973,54.0961013493,58.08,538.492268254,2.15098,0.000538643,0.3,644.719,100,44039.823463,2821.28,623.037,2.62388e-10,538.492268254,500,0.51524,1,44039.823463,554.136,0.002,2.82196e-07,538.492268254
692.381,1.0,100.0,500.0,74.69,692.380759031,1.0,3.50449e-18,0.3,451.887,100,78725.126082,279.174,,0.01,692.380759031,500,0.01,2,78725.126082,1.0,0.01,1.0,692.380759031
724.352,1.0,200.000000102,500.0,81.7,756.322756373,1.0,2.1793e-19,0.3,554.297,100,78981.0446595,281.224,,0.005,756.322756373,500,0.005,2,78981.0446595,1.0,0.005,1.0,756.322756373
714.403,1.0,299.999969474,500.0,75.03,694.505016895,1.0,5.43914e-20,0.3,567.769,100,85555.2117401,284.878,,0.00333333,694.505016895,500,0.00333333,2,85555.2117401,1.0,0.00333333,1.0,694.505016895
720.049,1.0,400.0,500.0,79.61,736.989542577,1.0,5.4346e-20,0.3,572.606,100,104972.562574,294.861,,0.0025,736.989542577,500,0.0025,2,104972.562574,1.0,0.0025,1.0,736.989542577
1219.77,7.21964,3.23627921521,69.2555786163,73.96,684.090926143,2.42641,0.000615224,0.3,844.391,100,91259.3489002,3991.35,905.527,1.40969e-08,684.090926143,500,0.553414,1,91259.3489002,671.404,0.002,1.71024e-05,684.090926143
782.549,1.0,100.0,500.0,84.63,782.548732385,1.0,3.50449e-18,0.3,501.394,100,107260.311069,325.865,,0.01,782.548732385,500,0.01,2,107260.311069,1.0,0.01,1.0,782.548732385
779.012,1.0,200.000000102,500.0,83.92,775.476120306,1.0,2.1793e-19,0.3,580.206,100,97094.3208122,318.069,,0.005,775.476120306,500,0.005,2,97094.3208122,1.0,0.005,1.0,775.476120306
802.114,1.0,299.999969474,500.0,91.77,848.315751496,1.0,5.43914e-20,0.3,639.789,100,110744.51169,324.127,,0.00333333,848.315751496,500,0.00333333,2,110744.51169,1.0,0.00333333,1.0,848.315751496
786.469,1.0,400.0,500.0,80.05,739.536185113,1.0,5.4346e-20,0.3,645.892,100,90493.3723633,319.257,,0.0025,739.536185113,500,0.0025,2,90493.3723633,1.0,0.0025,1.0,739.536185113
1112.1,5.88633,48.9941618549,84.9426028902,85.8,792.744985998,1.16941,3.6895e-05,0.3,807.045,100,96451.7828235,1639.92,12.6138,1.22224e-11,792.744985998,500,0.106283,1,96451.7828235,62.1443,0.002,7.14653e-09,792.744985998
1004.83,1.0,100.0,500.0,108.85,1004.82801515,1.0,3.50449e-18,0.3,692.872,100,104143.478537,321.095,,0.01,1004.82801515,500,0.01,2,104143.478537,1.0,0.01,1.0,1004.82801515
974.37,1.0,200.000000102,500.0,102.15,943.911172317,1.0,2.1793e-19,0.3,753.783,100,82154.1236797,305.197,,0.005,943.911172317,500,0.005,2,82154.1236797,1.0,0.005,1.0,943.911172317
965.135,1.0,299.999969474,500.0,102.63,946.665574652,1.0,5.43914e-20,0.3,764.153,100,93006.8698912,304.893,,0.00333333,946.665574652,500,0.00333333,2,93006.8698912,1.0,0.00333333,1.0,946.665574652
967.194,1.0,400.0,500.0,105.46,973.372883921,1.0,5.4346e-20,0.3,793.139,100,118082.945238,314.576,,0.0025,973.372883921,500,0.0025,2,118082.945238,1.0,0.0025,1.0,973.372883921
1055.48,1.67786,283.070920709,297.998912532,104.47,966.169930579,1.00412,3.07151e-06,0.3,853.82,100,99691.1771049,476.663,0.774215,1.20385e-05,966.169930579,500,0.0144494,1,99691.1771049,7.25444,0.002,0.00604405,966.169930579
1032.77,1.0,100.0,500.0,111.91,1032.76747832,1.0,3.50449e-18,0.3,721.485,100,116392.820286,339.454,,0.01,1032.76747832,500,0.01,2,116392.820286,1.0,0.01,1.0,1032.76747832
1023.64,1.0,200.000000102,500.0,109.83,1014.51855559,1.0,2.1793e-19,0.3,803.533,100,88063.5462004,318.26,,0.005,1014.51855559,500,0.005,2,88063.5462004,1.0,0.005,1.0,1014.51855559
1016.3,1.0,299.999969474,500.0,108.35,1001.60888962,1.0,5.43914e-20,0.3,809.149,100,133362.293451,334.131,,0.00333333,1001.60888962,500,0.00333333,2,133362.293451,1.0,0.00333333,1.0,1001.60888962
1023.51,1.0,400.0,500.0,113.0,1045.14843989,1.0,5.4346e-20,0.3,844.115,100,115326.757388,335.309,,0.0025,1045.14843989,500,0.0025,2,115326.757388,1.0,0.0025,1.0,1045.14843989
1162.32,2.22367,212.206866323,224.853169835,112.44,1037.33767833,0.962423,5.43564e-06,0.3,923.049,100,84997.9650497,648.127,1.2587,3.76563e-06,1037.33767833,500,0.0175335,1,84997.9650497,8.43734,0.002,0.00181206,1037.33767833
1127.48,1.0,100.0,500.0,122.3,1127.48104854,1.0,3.50449e-18,0.3,820.139,100,102938.210501,319.232,,0.01,1127.48104854,500,0.01,2,102938.210501,1.0,0.01,1.0,1127.48104854
1128.27,1.0,200.000000102,500.0,122.31,1129.06575312,1.0,2.1793e-19,0.3,865.323,100,112698.007182,326.712,,0.005,1129.06575312,500,0.005,2,112698.007182,1.0,0.005,1.0,1129.06575312
1106.49,1.0,299.999969474,500.0,115.1,1062.93317635,1.0,5.43914e-20,0.3,891.795,100,92200.1718183,320.211,,0.00333333,1062.93317635,500,0.00333333,2,92200.1718183,1.0,0.00333333,1.0,1062.93317635
1108.22,1.0,400.0,500.0,120.62,1113.3964168,1.0,5.4346e-20,0.3,922.285,100,74057.6781571,308.609,,0.0025,1113.3964168,500,0.0025,2,74057.6781571,1.0,0.0025,1.0,1113.3964168
1176.46,1.62223,297.054962477,308.217350527,116.09,1071.49319469,1.01339,2.73824e-06,0.3,964.647,100,109874.340246,464.33,0.703009,1.20047e-05,1071.49319469,500,0.0111314,1,109874.340246,5.64021,0.002,0.00608269,1071.49319469
1134.1,1.0,100.0,500.0,122.85,1134.09759223,1.0,3.50449e-18,0.3,811.089,100,112005.925632,332.995,,0.01,1134.09759223,500,0.01,2,112005.925632,1.0,0.01,1.0,1134.09759223
1116.39,1.0,200.000000102,500.0,119.05,1098.67818924,1.0,2.1793e-19,0.3,856.729,100,117933.108307,337.836,,0.005,1098.67818924,500,0.005,2,117933.108307,1.0,0.005,1.0,1098.67818924
1114.34,1.0,299.999969474,500.0,120.55,1110.23795102,1.0,5.43914e-20,0.3,902.327,100,103259.757734,331.923,,0.00333333,1110.23795102,500,0.00333333,2,103259.757734,1.0,0.00333333,1.0,1110.23795102
1123.07,1.0,400.0,500.0,124.71,1149.28257984,1.0,5.4346e-20,0.3,932.21,100,116549.602038,334.223,,0.0025,1149.28257984,500,0.0025,2,116549.602038,1.0,0.0025,1.0,1149.28257984
1507.39,3.64211,2.91970698045,137.283036352,125.76,1159.8270685,2.37989,0.000682365,0.3,1181.59,100,74605.2961002,2900.46,966.209,3.9193e-06,1159.8270685,500,0.584103,1,74605.2961002,695.051,0.002,0.00466375,1159.8270685
1115.92,1.0,100.0,500.0,121.14,1115.91753813,1.0,3.50449e-18,0.3,831.18,100,63138.7130022,250.015,,0.01,1115.91753813,500,0.01,2,63138.7130022,1.0,0.01,1.0,1115.91753813
1124.53,1.0,200.000000102,500.0,122.84,1133.13344068,1.0,2.1793e-19,0.3,900.694,100,71511.5782928,258.314,,0.005,1133.13344068,500,0.005,2,71511.5782928,1.0,0.005,1.0,1133.13344068
1123.78,1.0,299.999969474,500.0,121.55,1122.28145317,1.0,5.43914e-20,0.3,941.02,100,76238.1868101,263.901,,0.00333333,1122.28145317,500,0.00333333,2,76238.1868101,1.0,0.00333333,1.0,1122.28145317
1126.03,1.0,400.0,500.0,122.9,1132.78072469,1.0,5.4346e-20,0.3,967.756,100,86571.5758466,271.43,,0.0025,1132.78072469,500,0.0025,2,86571.5758466,1.0,0.0025,1.0,1132.78072469
1202.0,1.72891,279.18384472,289.199159797,124.4,1148.2946362,1.00016,3.17008e-06,0.3,1015.86,100,79329.2143237,398.248,0.792767,3.27795e-05,1148.2946362,500,0.0114208,1,79329.2143237,5.71128,0.002,0.0163923,1148.2946362
1202.96,1.0,100.0,500.0,130.58,1202.96241372,1.0,3.50449e-18,0.3,885.229,100,82972.2546421,286.605,,0.01,1202.96241372,500,0.01,2,82972.2546421,1.0,0.01,1.0,1202.96241372
1196.3,1.0,200.000000102,500.0,129.01,1189.64302018,1.0,2.1793e-19,0.3,964.243,100,73440.2222131,278.332,,0.005,1189.64302018,500,0.005,2,73440.2222131,1.0,0.005,1.0,1189.64302018
1198.12,1.0,299.999969474,500.0,130.3,1201.7616339,1.0,5.43914e-20,0.3,1008.65,100,63458.3552239,269.432,,0.00333333,1201.7616339,500,0.00333333,2,63458.3552239,1.0,0.00333333,1.0,1201.7616339
1198.6,1.0,400.0,500.0,129.9,1200.04743046,1.0,5.4346e-20,0.3,1034.51,100,58453.1136476,262.513,,0.0025,1200.04743046,500,0.0025,2,58453.1136476,1.0,0.0025,1.0,1200.04743046
1256.88,1.48695,328.779663052,336.258613998,128.64,1185.13792531,1.01511,2.08728e-06,0.3,1077.3,100,68557.9075321,351.692,0.537704,2.24666e-05,1185.13792531,500,0.00942098,1,68557.9075321,4.78165,0.002,0.011403,1185.13792531
1224.96,1.0,100.0,500.0,132.99,1224.96363693,1.0,3.50449e-18,0.3,842.775,100,60371.8411434,244.475,,0.01,1224.96363693,500,0.01,2,60371.8411434,1.0,0.01,1.0,1224.96363693
1225.92,1.0,200.000000102,500.0,132.98,1226.8726186,1.0,2.1793e-19,0.3,955.67,100,44733.2599428,228.096,,0.005,1226.8726186,500,0.005,2,44733.2599428,1.0,0.005,1.0,1226.8726186
1218.63,1.0,299.999969474,500.0,130.62,1204.06745604,1.0,5.43914e-20,0.3,997.692,100,91211.0125557,254.737,,0.00333333,1204.06745604,500,0.00333333,2,91211.0125557,1.0,0.00333333,1.0,1204.06745604
1224.23,1.0,400.0,500.0,134.42,1241.00058377,1.0,5.4346e-20,0.3,1032.88,100,67134.834837,255.691,,0.0025,1241.00058377,500,0.0025,2,67134.834837,1.0,0.0025,1.0,1241.00058377
1268.62,1.32297,370.458348341,377.936692713,131.8,1214.24922605,1.00297,1.40152e-06,0.3,1071.77,100,86094.7214704,354.013,0.352464,7.83414e-05,1214.24922605,500,0.00977094,1,86094.7214704,4.89998,0.002,0.039287,1214.24922605
1275.36,1.0,100.0,500.0,138.34,1275.35675428,1.0,3.50449e-18,0.3,924.116,100,83997.4231279,288.37,,0.01,1275.35675428,500,0.01,2,83997.4231279,1.0,0.01,1.0,1275.35675428
1251.02,1.0,200.000000102,500.0,133.33,1226.67432059,1.0,2.1793e-19,0.3,982.665,100,84532.2469793,289.853,,0.005,1226.67432059,500,0.005,2,84532.2469793,1.0,0.005,1.0,1226.67432059
1242.61,1.0,299.999969474,500.0,133.04,1225.7962639,1.0,5.43914e-20,0.3,1013.08,100,82849.6073132,288.949,,0.00333333,1225.7962639,500,0.00333333,2,82849.6073132,1.0,0.00333333,1.0,1225.7962639
1235.0,1.0,400.0,500.0,131.85,1212.16259604,1.0,5.4346e-20,0.3,1036.22,100,62109.5637955,279.579,,0.0025,1212.16259604,500,0.0025,2,62109.5637955,1.0,0.0025,1.0,1212.16259604
1332.39,1.63939,282.391403455,304.992113246,141.53,1304.0890352,1.00274,3.08854e-06,0.3,1104.75,100,84763.7407266,561.397,0.776375,6.05054e-05,1304.0890352,500,0.0154935,1,84763.7407266,7.768,0.002,0.0303356,1304.0890352
1256.47,1.0,100.0,500.0,136.47,1256.46543551,1.0,3.50449e-18,0.3,934.274,100,69863.3352492,262.992,,0.01,1256.46543551,500,0.01,2,69863.3352492,1.0,0.01,1.0,1256.46543551
1264.47,1.0,200.000000102,500.0,138.18,1272.47758836,1.0,2.1793e-19,0.3,986.195,100,98980.5205935,289.209,,0.005,1272.47758836,500,0.005,2,98980.5205935,1.0,0.005,1.0,1272.47758836
1254.72,1.0,299.999969474,500.0,134.18,1235.20406999,1.0,5.43914e-20,0.3,1027.5,100,65423.2302818,278.462,,0.00333333,1235.20406999,500,0.00333333,2,65423.2302818,1.0,0.00333333,1.0,1235.20406999
1260.38,1.0,400.0,500.0,138.77,1277.37059559,1.0,5.4346e-20,0.3,1063.61,100,89908.5640501,283.733,,0.0025,1277.37059559,500,0.0025,2,89908.5640501,1.0,0.0025,1.0,1277.37059559
1702.66,4.33947,3.43377538269,115.221357865,139.51,1284.83210848,2.19997,0.000579609,0.3,1336.03,100,88766.0114122,3301.25,701.308,8.44414e-07,1284.83210848,500,0.535983,1,88766.0114122,589.574,0.002,0.000928844,1284.83210848
1263.04,1.0,100.0,500.0,137.2,1263.04457278,1.0,3.50449e-18,0.3,847.835,100,108385.623597,327.569,,0.01,1263.04457278,500,0.01,2,108385.623597,1.0,0.01,1.0,1263.04457278
1301.56,1.0,200.000000102,500.0,144.97,1340.0817182,1.0,2.1793e-19,0.3,1007.97,100,109875.294455,330.942,,0.005,1340.0817182,500,0.005,2,109875.294455,1.0,0.005,1.0,1340.0817182
1301.25,1.0,299.999969474,500.0,140.8,1300.6294575,1.0,5.43914e-20,0.3,1061.53,100,87129.8799322,319.011,,0.00333333,1300.6294575,500,0.00333333,2,87129.8799322,1.0,0.00333333,1.0,1300.6294575
1298.19,1.0,400.0,500.0,139.59,1288.99827903,1.0,5.4346e-20,0.3,1085.42,100,121799.548915,326.343,,0.0025,1288.99827903,500,0.0025,2,121799.548915,1.0,0.0025,1.0,1288.99827903
1718.1,6.04821,3.70723665789,82.6690461433,134.57,1240.28949292,1.85003,0.000536559,0.3,1250.08,100,64260.2736328,4178.43,459.11,3.97259e-07,1240.28949292,500,0.517114,1,64260.2736328,478.339,0.002,0.000367472,1240.28949292
1320.83,1.0,100.0,500.0,142.73,1320.82565697,1.0,3.50449e-18,0.3,922.191,100,110314.47633,330.471,,0.01,1320.82565697,500,0.01,2,110314.47633,1.0,0.01,1.0,1320.82565697
1290.44,1.0,200.000000102,500.0,136.29,1260.05199546,1.0,2.1793e-19,0.3,1008.56,100,67251.3285708,298.024,,0.005,1260.05199546,500,0.005,2,67251.3285708,1.0,0.005,1.0,1260.05199546
1284.86,1.0,299.999969474,500.0,137.78,1273.70646881,1.0,5.43914e-20,0.3,1044.41,100,101594.331659,304.632,,0.00333333,1273.70646881,500,0.00333333,2,101594.331659,1.0,0.00333333,1.0,1273.70646881
1288.3,1.0,400.0,500.0,140.4,1298.62289868,1.0,5.4346e-20,0.3,1080.06,100,101695.163476,307.905,,0.0025,1298.62289868,500,0.0025,2,101695.163476,1.0,0.0025,1.0,1298.62289868
1353.42,1.40676,316.290896574,355.426208097,138.92,1284.53337126,0.967161,2.32795e-06,0.3,1097.24,100,113265.549023,770.824,0.544392,3.18258e-05,1284.53337126,500,0.0166655,1,113265.549023,8.05909,0.002,0.0153904,1284.53337126
1296.06,1.0,100.0,500.0,140.34,1296.06489262,1.0,3.50449e-18,0.3,915.11,100,96211.7031116,308.625,,0.01,1296.06489262,500,0.01,2,96211.7031116,1.0,0.01,1.0,1296.06489262
1273.35,1.0,200.000000102,500.0,135.57,1250.64326386,1.0,2.1793e-19,0.3,962.917,100,97650.7470848,310.609,,0.005,1250.64326386,500,0.005,2,97650.7470848,1.0,0.005,1.0,1250.64326386
1272.6,1.0,299.999969474,500.0,137.8,1271.07916473,1.0,5.43914e-20,0.3,1019.13,100,90292.3469925,306.783,,0.00333333,1271.07916473,500,0.00333333,2,90292.3469925,1.0,0.00333333,1.0,1271.07916473
1274.46,1.0,400.0,500.0,138.83,1280.05296964,1.0,5.4346e-20,0.3,1054.95,100,87675.2174388,303.804,,0.0025,1280.05296964,500,0.0025,2,87675.2174388,1.0,0.0025,1.0,1280.05296964
1318.58,1.17191,427.367769998,426.655729447,144.49,1335.39786589,1.0229,6.81169e-07,0.3,1106.03,100,127731.506403,372.538,0.17818,0.000111634,1335.39786589,500,0.00593168,1,127731.506403,3.03375,0.002,0.0570951,1335.39786589
1269.91,1.0,100.0,500.0,137.47,1269.90516724,1.0,3.50449e-18,0.3,875.486,100,77384.8003988,276.787,,0.01,1269.90516724,500,0.01,2,77384.8003988,1.0,0.01,1.0,1269.90516724
1280.58,1.0,200.000000102,500.0,139.75,1291.25848969,1.0,2.1793e-19,0.3,1001.69,100,91396.5915506,289.242,,0.005,1291.25848969,500,0.005,2,91396.5915506,1.0,0.005,1.0,1291.25848969
1270.65,1.0,299.999969474,500.0,135.65,1250.79018132,1.0,5.43914e-20,0.3,1042.93,100,74226.5531263,283.665,,0.00333333,1250.79018132,500,0.00333333,2,74226.5531263,1.0,0.00333333,1.0,1250.79018132
1277.57,1.0,400.0,500.0,140.49,1298.33217904,1.0,5.4346e-20,0.3,1080.36,100,119932.967276,300.294,,0.0025,1298.33217904,500,0.0025,2,119932.967276,1.0,0.0025,1.0,1298.33217904
1323.89,1.28855,377.270837439,388.033305906,138.25,1276.16637118,1.00253,1.30384e-06,0.3,1123.67,100,67335.7966914,409.665,0.327613,0.000103874,1276.16637118,500,0.0103226,1,67335.7966914,5.17437,0.002,0.0520686,1276.16637118
1331.52,1.0,100.0,500.0,144.22,1331.51741429,1.0,3.50449e-18,0.3,826.153,100,123485.873854,349.644,,0.01,1331.51741429,500,0.01,2,123485.873854,1.0,0.01,1.0,1331.51741429
1308.37,1.0,200.000000102,500.0,139.56,1285.2233963,1.0,2.1793e-19,0.3,951.024,100,95874.6111691,330.332,,0.005,1285.2233963,500,0.005,2,95874.6111691,1.0,0.005,1.0,1285.2233963
1321.38,1.0,299.999969474,500.0,146.1,1347.39742855,1.0,5.43914e-20,0.3,1029.61,100,136111.28402,343.513,,0.00333333,1347.39742855,500,0.00333333,2,136111.28402,1.0,0.00333333,1.0,1347.39742855
