ESSRenyi,MaxNormIw,MaxVanillaIw,AvgDiscRet,VarRet,ESSClassic,AvgEpLen,J,Bound,IterType,VarVanillaIw,AvgRet,VarDiscRet,VarJ,EpsThisIter,AvgNormIw,Delta,MinVanillaIw,VanillaAvgRet,eRenyi2,AvgVanillaIw,BatchSize,MinNormIw,VarNormIw
1.14484584934,0.0131794,13.2679,-58.6758893955,68.8639946878,108.070029319,85.65,-58.7733,-58.7733,1,14.7315,-58.6758893955,68.8639946878,15.3837,100,0.002,1.0,0.707107,-58.6758893955,436.74,2.01343,500,0.00070239,1.45356e-05
500.0,0.01,1.0,-58.1209756245,56.4175778728,100.0,84.92,-58.121,-58.121,2,,-58.1209756245,56.4175778728,7.47351,100,0.01,1.0,1.0,-58.1209756245,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-58.6885570145,42.7208604109,200.000000102,85.93,-58.4048,-58.4048,2,,-58.6885570145,42.7208604109,7.011,100,0.005,1.0,1.0,-58.6885570145,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-59.1657473241,61.5187249214,299.999969474,86.56,-58.6584,-58.6584,2,,-59.1657473241,61.5187249214,7.29378,100,0.00333333,1.0,1.0,-59.1657473241,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-58.580763294,64.282312097,400.0,85.93,-58.639,-58.639,2,,-58.580763294,64.282312097,7.47064,100,0.0025,1.0,1.0,-58.580763294,1.0,1.0,500,0.0025,5.4346e-20
53.0117329187,0.00250627,13.3197,-59.3743314506,42.4570958508,399.001657512,87.08,-58.5439,-58.5439,1,28.656,-59.3743314506,42.4570958508,8.09666,100,0.002,1.0,,-59.3743314506,9.43187,10.6292,500,,1.01456e-06
500.0,0.01,1.0,-63.3512245859,1353.10756821,100.0,91.91,-63.3512,-63.3512,2,,-63.3512245859,1353.10756821,36.6002,100,0.01,1.0,1.0,-63.3512245859,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-57.6951252083,51.7517397195,200.000000102,84.68,-60.5232,-60.5232,2,,-57.6951252083,51.7517397195,26.5218,100,0.005,1.0,1.0,-57.6951252083,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-58.7680633734,43.9816209479,299.999969474,85.97,-59.9381,-59.9381,2,,-58.7680633734,43.9816209479,22.003,100,0.00333333,1.0,1.0,-58.7680633734,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-58.5587325445,58.0920762904,400.0,85.39,-59.5933,-59.5933,2,,-58.5587325445,58.0920762904,19.438,100,0.0025,1.0,1.0,-58.5587325445,1.0,1.0,500,0.0025,5.4346e-20
500.0,0.002,1.0,-61.0241963242,1337.06846268,500.000006643,88.08,-59.8795,-59.8795,1,,-61.0241963242,1337.06846268,23.8188,100,0.002,1.0,1.0,-61.0241963242,1.0,1.0,500,0.002,5.43187e-20
500.0,0.01,1.0,-57.8032113121,43.6921418536,100.0,84.34,-57.8032,-57.8032,2,,-57.8032113121,43.6921418536,6.57687,100,0.01,1.0,1.0,-57.8032113121,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-58.8491712382,72.8702586054,200.000000102,85.95,-58.3262,-58.3262,2,,-58.8491712382,72.8702586054,7.61393,100,0.005,1.0,1.0,-58.8491712382,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-59.1284390996,58.0927219682,299.999969474,86.55,-58.5936,-58.5936,2,,-59.1284390996,58.0927219682,7.61325,100,0.00333333,1.0,1.0,-59.1284390996,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-64.9135560226,2598.52287098,400.0,92.83,-60.1736,-60.1736,2,,-64.9135560226,2598.52287098,26.3457,100,0.0025,1.0,1.0,-64.9135560226,1.0,1.0,500,0.0025,5.4346e-20
500.0,0.002,1.0,-68.8952939773,3842.34101212,500.000006643,97.42,-61.9179,-61.9179,1,,-68.8952939773,3842.34101212,36.4449,100,0.002,1.0,1.0,-68.8952939773,1.0,1.0,500,0.002,5.43187e-20
500.0,0.01,1.0,-61.6530819127,1343.379229,100.0,88.98,-61.6531,-61.6531,2,,-61.6530819127,1343.379229,36.4684,100,0.01,1.0,1.0,-61.6530819127,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-61.8428089748,1343.73636892,200.000000102,89.02,-61.7479,-61.7479,2,,-61.8428089748,1343.73636892,36.471,100,0.005,1.0,1.0,-61.8428089748,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-65.5116013925,2589.83295168,299.999969474,93.96,-63.0025,-63.0025,2,,-65.5116013925,2589.83295168,41.7678,100,0.00333333,1.0,1.0,-65.5116013925,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-62.4650512213,1342.98357219,400.0,90.39,-62.8681,-62.8681,2,,-62.4650512213,1342.98357219,40.5074,100,0.0025,1.0,1.0,-62.4650512213,1.0,1.0,500,0.0025,5.4346e-20
500.0,0.002,1.0,-62.1838463694,1324.04184689,500.000006643,89.6,-62.7313,-62.7313,1,,-62.1838463694,1324.04184689,39.6852,100,0.002,1.0,1.0,-62.1838463694,1.0,1.0,500,0.002,5.43187e-20
500.0,0.01,1.0,-63.0595562258,1340.99213693,100.0,91.23,-63.0596,-63.0596,2,,-63.0595562258,1340.99213693,36.436,100,0.01,1.0,1.0,-63.0595562258,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-58.1902924247,53.2849892651,200.000000102,85.13,-60.6249,-60.6249,2,,-58.1902924247,53.2849892651,26.3836,100,0.005,1.0,1.0,-58.1902924247,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-61.7404980497,1333.80424013,299.999969474,89.55,-60.9968,-60.9968,2,,-61.7404980497,1333.80424013,30.0748,100,0.00333333,1.0,1.0,-61.7404980497,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-64.780809505,2607.35049463,400.0,92.64,-61.9428,-61.9428,2,,-64.780809505,2607.35049463,36.4194,100,0.0025,1.0,1.0,-64.780809505,1.0,1.0,500,0.0025,5.4346e-20
500.0,0.002,1.0,-59.63152064,53.5904035212,500.000006643,87.1,-61.4805,-61.4805,1,,-59.63152064,53.5904035212,32.75,100,0.002,1.0,1.0,-59.63152064,1.0,1.0,500,0.002,5.43187e-20
500.0,0.01,1.0,-62.3788299717,1325.70864851,100.0,90.0,-62.3788,-62.3788,2,,-62.3788299717,1325.70864851,36.2278,100,0.01,1.0,1.0,-62.3788299717,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-57.0893192227,38.9068990057,200.000000102,83.15,-59.7341,-59.7341,2,,-57.0893192227,38.9068990057,26.1243,100,0.005,1.0,1.0,-57.0893192227,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-58.7250707319,61.3233050514,299.999969474,85.94,-59.3977,-59.3977,2,,-58.7250707319,61.3233050514,21.8048,100,0.00333333,1.0,1.0,-58.7250707319,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-64.9172139202,2601.95880976,400.0,92.54,-60.7776,-60.7776,2,,-64.9172139202,2601.95880976,31.722,100,0.0025,1.0,1.0,-64.9172139202,1.0,1.0,500,0.0025,5.4346e-20
500.0,0.002,1.0,-59.0210554828,40.0020697669,500.000006643,86.71,-60.4263,-60.4263,1,,-59.0210554828,40.0020697669,28.5209,100,0.002,1.0,1.0,-59.0210554828,1.0,1.0,500,0.002,5.43187e-20
500.0,0.01,1.0,-57.9933469291,48.6003841033,100.0,84.36,-57.9933,-57.9933,2,,-57.9933469291,48.6003841033,6.93645,100,0.01,1.0,1.0,-57.9933469291,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-60.4485168202,1344.32468797,200.000000102,86.99,-59.2209,-59.2209,2,,-60.4485168202,1344.32468797,26.287,100,0.005,1.0,1.0,-60.4485168202,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-58.5359012961,48.1010575672,299.999969474,85.37,-58.9926,-58.9926,2,,-58.5359012961,48.1010575672,21.8323,100,0.00333333,1.0,1.0,-58.5359012961,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-65.1494593197,2600.71465873,400.0,93.22,-60.5318,-60.5318,2,,-65.1494593197,2600.71465873,31.7533,100,0.0025,1.0,1.0,-65.1494593197,1.0,1.0,500,0.0025,5.4346e-20
500.0,0.002,1.0,-58.3934955201,52.8927938372,500.000006643,85.52,-60.1041,-60.1041,1,,-58.3934955201,52.8927938372,28.5976,100,0.002,1.0,1.0,-58.3934955201,1.0,1.0,500,0.002,5.43187e-20
500.0,0.01,1.0,-69.1506430927,3827.03808147,100.0,97.9,-69.1506,-69.1506,2,,-69.1506430927,3827.03808147,61.553,100,0.01,1.0,1.0,-69.1506430927,1.0,1.0,500,0.01,3.50449e-18
500.0,0.005,1.0,-57.6098004711,34.7839391134,200.000000102,84.25,-63.3802,-63.3802,2,,-57.6098004711,34.7839391134,44.101,100,0.005,1.0,1.0,-57.6098004711,1.0,1.0,500,0.005,2.1793e-19
500.0,0.00333333,1.0,-59.0510587612,57.3247292428,299.999969474,86.94,-61.9372,-61.9372,2,,-59.0510587612,57.3247292428,36.3274,100,0.00333333,1.0,1.0,-59.0510587612,1.0,1.0,500,0.00333333,5.43914e-20
500.0,0.0025,1.0,-65.302936296,2600.85288284,400.0,93.26,-62.7786,-62.7786,2,,-65.302936296,2600.85288284,40.4425,100,0.0025,1.0,1.0,-65.302936296,1.0,1.0,500,0.0025,5.4346e-20
500.0,0.002,1.0,-62.1848861015,1335.39694328,500.000006643,89.51,-62.6599,-62.6599,1,,-62.1848861015,1335.39694328,39.6603,100,0.002,1.0,1.0,-62.1848861015,1.0,1.0,500,0.002,5.43187e-20
