ESSRenyi,AvgVanillaIw,eRenyi2,MaxVanillaIw,IterType,VarDiscRet,AvgEpLen,VanillaAvgRet,AvgRet,VarRet,VarVanillaIw,MaxNormIw,ESSClassic,VarJ,MinVanillaIw,Bound,AvgNormIw,VarNormIw,BatchSize,EpsThisIter,Delta,J,AvgDiscRet,MinNormIw
500.0,1.0,1.0,1.0,2,2598.68078563,96.17,-67.3519676061,-67.3519676061,2598.68078563,,0.0025,400.0,44.2347,1.0,-65.2362,0.0025,5.4346e-20,500,100,1.0,-65.2362,-67.3519676061,0.0025
,0.994177,inf,13.6013,1,1352.54683063,90.84,-63.0758630377,-63.0758630377,1352.54683063,1.88194,0.027362,172.399211732,28.9875,0.408053,-63.1758,0.002,7.61621e-06,500,100,1.0,-63.1758,-63.0758630377,0.000820886
500.0,1.0,1.0,1.0,2,66.1754173789,87.23,-60.0026933113,-60.0026933113,66.1754173789,,0.01,100.0,8.09405,1.0,-60.0027,0.01,3.50449e-18,500,100,1.0,-60.0027,-60.0026933113,0.01
500.0,1.0,1.0,1.0,2,2594.98203999,94.92,-66.6137000334,-66.6137000334,2594.98203999,,0.005,200.000000102,36.4445,1.0,-63.3082,0.005,2.1793e-19,500,100,1.0,-63.3082,-66.6137000334,0.005
500.0,1.0,1.0,1.0,2,1341.91320698,89.6,-62.1341538253,-62.1341538253,1341.91320698,,0.00333333,299.999969474,36.45,1.0,-62.9169,0.00333333,5.43914e-20,500,100,1.0,-62.9169,-62.1341538253,0.00333333
500.0,1.0,1.0,1.0,2,97.447900921,88.26,-60.489102708,-60.489102708,97.447900921,,0.0025,400.0,31.9637,1.0,-62.3099,0.0025,5.4346e-20,500,100,1.0,-62.3099,-60.489102708,0.0025
0.0147732343157,1.04589e-15,33845.0,5.22947e-13,1,1344.81569512,91.86,-63.5411038083,-63.5411038083,1344.81569512,5.46946e-28,1.0,1.0,,,-48.5079,0.002,0.002,500,100,1.0,-48.5079,-63.5411038083,
500.0,1.0,1.0,1.0,2,2608.09926547,94.64,-66.3968863031,-66.3968863031,2608.09926547,,0.01,100.0,50.8136,1.0,-66.3969,0.01,3.50449e-18,500,100,1.0,-66.3969,-66.3968863031,0.01
500.0,1.0,1.0,1.0,2,64.7407837104,85.07,-58.2805320553,-58.2805320553,64.7407837104,,0.005,200.000000102,36.5995,1.0,-62.3387,0.005,2.1793e-19,500,100,1.0,-62.3387,-58.2805320553,0.005
500.0,1.0,1.0,1.0,2,63.2078092904,85.31,-58.4322765139,-58.4322765139,63.2078092904,,0.00333333,299.999969474,30.2864,1.0,-61.0366,0.00333333,5.43914e-20,500,100,1.0,-61.0366,-58.4322765139,0.00333333
500.0,1.0,1.0,1.0,2,67.4345029298,84.15,-57.770322594,-57.770322594,67.4345029298,,0.0025,400.0,26.5827,1.0,-60.22,0.0025,5.4346e-20,500,100,1.0,-60.22,-57.770322594,0.0025
,0.919216,inf,5.90736,1,2589.13743827,95.38,-66.497377197,-66.497377197,2589.13743827,0.25267,0.012853,385.079405727,26.8992,0.627276,-61.0658,0.002,1.19613e-06,500,100,1.0,-61.0658,-66.497377197,0.00136481
500.0,1.0,1.0,1.0,2,64.3371695204,85.41,-58.6551466437,-58.6551466437,64.3371695204,,0.01,100.0,7.98084,1.0,-58.6551,0.01,3.50449e-18,500,100,1.0,-58.6551,-58.6551466437,0.01
500.0,1.0,1.0,1.0,2,68.7992944258,87.46,-60.0635240041,-60.0635240041,68.7992944258,,0.005,200.000000102,8.14852,1.0,-59.3593,0.005,2.1793e-19,500,100,1.0,-59.3593,-60.0635240041,0.005
500.0,1.0,1.0,1.0,2,1343.33094058,91.58,-63.4063068004,-63.4063068004,1343.33094058,,0.00333333,299.999969474,22.1631,1.0,-60.7083,0.00333333,5.43914e-20,500,100,1.0,-60.7083,-63.4063068004,0.00333333
500.0,1.0,1.0,1.0,2,3819.255392,98.82,-70.0783347997,-70.0783347997,3819.255392,,0.0025,400.0,36.471,1.0,-63.0508,0.0025,5.4346e-20,500,100,1.0,-63.0508,-70.0783347997,0.0025
,1.17082,inf,75.2652,1,5044.87777274,102.66,-73.401172,-73.401172,5044.87777274,12.0087,0.128569,51.3203380621,28.3389,0.510375,-62.2931,0.002,3.5041e-05,500,100,1.0,-62.2931,-73.401172,0.000871827
500.0,1.0,1.0,1.0,2,2609.03023694,94.09,-66.0375338811,-66.0375338811,2609.03023694,,0.01,100.0,50.8226,1.0,-66.0375,0.01,3.50449e-18,500,100,1.0,-66.0375,-66.0375338811,0.01
500.0,1.0,1.0,1.0,2,1348.56696974,90.99,-63.1652780177,-63.1652780177,1348.56696974,,0.005,200.000000102,44.284,1.0,-64.6014,0.005,2.1793e-19,500,100,1.0,-64.6014,-63.1652780177,0.005
500.0,1.0,1.0,1.0,2,1339.29281332,90.54,-62.9026811366,-62.9026811366,1339.29281332,,0.00333333,299.999969474,41.8329,1.0,-64.0352,0.00333333,5.43914e-20,500,100,1.0,-64.0352,-62.9026811366,0.00333333
500.0,1.0,1.0,1.0,2,1329.40851205,91.6,-63.4609228575,-63.4609228575,1329.40851205,,0.0025,400.0,40.5164,1.0,-63.8916,0.0025,5.4346e-20,500,100,1.0,-63.8916,-63.4609228575,0.0025
,0.949082,inf,7.20067,1,3828.98414396,97.75,-69.3928782271,-69.3928782271,3828.98414396,0.502036,0.015174,321.288408912,35.5574,0.527569,-63.6165,0.002,2.2294e-06,500,100,1.0,-63.6165,-69.3928782271,0.00111175
500.0,1.0,1.0,1.0,2,2590.5003908,96.72,-67.9205920537,-67.9205920537,2590.5003908,,0.01,100.0,50.6418,1.0,-67.9206,0.01,3.50449e-18,500,100,1.0,-67.9206,-67.9205920537,0.01
500.0,1.0,1.0,1.0,2,1336.23300803,90.27,-62.6766147467,-62.6766147467,1336.23300803,,0.005,200.000000102,44.1657,1.0,-65.2986,0.005,2.1793e-19,500,100,1.0,-65.2986,-62.6766147467,0.005
500.0,1.0,1.0,1.0,2,1349.08073657,90.7,-63.1840843278,-63.1840843278,1349.08073657,,0.00333333,299.999969474,41.7923,1.0,-64.5938,0.00333333,5.43914e-20,500,100,1.0,-64.5938,-63.1840843278,0.00333333
500.0,1.0,1.0,1.0,2,2601.16170696,95.07,-66.974532201,-66.974532201,2601.16170696,,0.0025,400.0,44.2131,1.0,-65.189,0.0025,5.4346e-20,500,100,1.0,-65.189,-66.974532201,0.0025
,0.990771,inf,7.63716,1,57.1670189593,84.84,-58.3773561592,-58.3773561592,57.1670189593,0.420129,0.0154166,350.352070969,28.8392,0.587723,-62.6373,0.002,1.71197e-06,500,100,1.0,-62.6373,-58.3773561592,0.0011864
500.0,1.0,1.0,1.0,2,49.3955432508,87.47,-60.1225700767,-60.1225700767,49.3955432508,,0.01,100.0,6.99297,1.0,-60.1226,0.01,3.50449e-18,500,100,1.0,-60.1226,-60.1225700767,0.01
500.0,1.0,1.0,1.0,2,2608.77414461,93.23,-65.5807836786,-65.5807836786,2608.77414461,,0.005,200.000000102,36.3764,1.0,-62.8517,0.005,2.1793e-19,500,100,1.0,-62.8517,-65.5807836786,0.005
500.0,1.0,1.0,1.0,2,2604.09142204,92.47,-65.0524160179,-65.0524160179,2604.09142204,,0.00333333,299.999969474,41.7443,1.0,-63.5853,0.00333333,5.43914e-20,500,100,1.0,-63.5853,-65.0524160179,0.00333333
500.0,1.0,1.0,1.0,2,64.6722498796,85.85,-58.7053794493,-58.7053794493,64.6722498796,,0.0025,400.0,36.4337,1.0,-62.3653,0.0025,5.4346e-20,500,100,1.0,-62.3653,-58.7053794493,0.0025
0.00746674556528,1.14805e-31,66963.6,5.73998e-29,1,3795.59417373,101.91,-72.0682611303,-72.0682611303,3795.59417373,,0.999956,inf,0.000239088,,-48.8816,0.002,0.00199982,500,100,1.0,-48.8816,-72.0682611303,
500.0,1.0,1.0,1.0,2,68.4059394303,85.94,-58.9994518618,-58.9994518618,68.4059394303,,0.01,100.0,8.22933,1.0,-58.9994,0.01,3.50449e-18,500,100,1.0,-58.9994,-58.9994518618,0.01
500.0,1.0,1.0,1.0,2,2595.42729712,95.02,-66.5055438384,-66.5055438384,2595.42729712,,0.005,200.000000102,36.5059,1.0,-62.7525,0.005,2.1793e-19,500,100,1.0,-62.7525,-66.5055438384,0.005
500.0,1.0,1.0,1.0,2,1355.0332253,91.73,-63.5449348611,-63.5449348611,1355.0332253,,0.00333333,299.999969474,36.548,1.0,-63.0166,0.00333333,5.43914e-20,500,100,1.0,-63.0166,-63.5449348611,0.00333333
500.0,1.0,1.0,1.0,2,1341.7648562,90.33,-62.888129134,-62.888129134,1341.7648562,,0.0025,400.0,36.5227,1.0,-62.9845,0.0025,5.4346e-20,500,100,1.0,-62.9845,-62.888129134,0.0025
0.238146568515,1.16663,2099.55,39.7499,1,68.7706659232,84.92,-58.3877886888,-58.3877886888,68.7706659232,8.00583,0.0681447,72.7757842914,25.3694,0.0114748,-58.7924,0.002,2.35287e-05,500,100,1.0,-58.7924,-58.3877886888,1.96717e-05
500.0,1.0,1.0,1.0,2,2594.19174407,95.05,-67.0772286838,-67.0772286838,2594.19174407,,0.01,100.0,50.6779,1.0,-67.0772,0.01,3.50449e-18,500,100,1.0,-67.0772,-67.0772286838,0.01
500.0,1.0,1.0,1.0,2,1360.18064029,87.76,-61.2622558531,-61.2622558531,1360.18064029,,0.005,200.000000102,44.3381,1.0,-64.1697,0.005,2.1793e-19,500,100,1.0,-64.1697,-61.2622558531,0.005
500.0,1.0,1.0,1.0,2,44.7631856063,84.02,-57.7380271651,-57.7380271651,44.7631856063,,0.00333333,299.999969474,36.5314,1.0,-62.0258,0.00333333,5.43914e-20,500,100,1.0,-62.0258,-57.7380271651,0.00333333
500.0,1.0,1.0,1.0,2,1356.18858966,90.43,-62.6141790131,-62.6141790131,1356.18858966,,0.0025,400.0,36.5599,1.0,-62.1729,0.0025,5.4346e-20,500,100,1.0,-62.1729,-62.6141790131,0.0025
0.258595425311,23.0073,1933.52,3834.55,1,1336.92391462,90.42,-62.842515609,-62.842515609,1336.92391462,87869.0,0.333333,3.00000022107,8.04538,,-50.039,0.002,0.000663995,500,100,1.0,-50.039,-62.842515609,
500.0,1.0,1.0,1.0,2,2614.65602082,94.18,-66.3040339229,-66.3040339229,2614.65602082,,0.01,100.0,50.8774,1.0,-66.304,0.01,3.50449e-18,500,100,1.0,-66.304,-66.3040339229,0.01
500.0,1.0,1.0,1.0,2,1329.04784692,91.79,-63.5623055845,-63.5623055845,1329.04784692,,0.005,200.000000102,44.2042,1.0,-64.9332,0.005,2.1793e-19,500,100,1.0,-64.9332,-63.5623055845,0.005
500.0,1.0,1.0,1.0,2,1347.54788124,92.74,-64.3048664305,-64.3048664305,1347.54788124,,0.00333333,299.999969474,41.8026,1.0,-64.7237,0.00333333,5.43914e-20,500,100,1.0,-64.7237,-64.3048664305,0.00333333
