ReturnMeanIW,Weights,EpisodesSoFar,J_sample_variance,MinIW,TimestepsSoFar,InitialReturnMin,InitialReturnMean,InitialReturnStd,StdIW,InitialBound,Bound,EmpiricalD2,EpRewMean,TimeElapsed,InitialReturnMax,Iteration,MeanIW,EpLenMean,EpThisIter,MaxIW
41.67815,[-0.446 -2.109 -3.207 -1.638 -1.409],6500,1440.556,2.5018697e-05,167125,-14.449057,-1.2016296e-06,6.725958,1.1841396,36.694256,41.67815,6484.48,-107.72621487711181,615.9376149177551,19.002367,65,0.56652486,17.78,100,31.097847
231.06712,[-0.445 -2.091 -3.219 -1.658 -1.416],6600,4320335.0,3.7618094e-18,168884,-17.164614,2.4604797e-06,7.0229487,37.03917,36.90098,231.06712,2953252800000000.0,-107.68875898162281,623.0802912712097,19.104662,66,0.24634235,17.59,100,8014.189
40.26413,[-0.453 -2.109 -3.285 -1.704 -1.444],6700,3943.015,0.00082170055,170701,-16.383392,-1.9168854e-06,7.421646,3.3121746,35.805073,40.26413,50.23855,-108.03536838462713,632.1187682151794,19.19027,67,1.0795064,18.17,100,50.45616
54.715145,[-0.456 -2.131 -3.323 -1.718 -1.436],6800,23919.898,1.1589281e-07,172454,-16.201427,-9.3460085e-07,5.8819237,3.8168347,37.594387,54.715145,11558885000.0,-107.62759074990589,639.3041596412659,18.061367,68,0.7387462,17.53,100,176.9235
465.9424,[-0.51  -2.113 -3.34  -1.646 -1.423],6900,19769020.0,7.354099e-16,174177,-12.099789,9.918213e-07,5.8776016,36.63743,38.336514,465.9424,1.6301571e+18,-108.10869519302118,646.719920873642,16.994274,69,3.3367705,17.23,100,3370.9363
155.35257,[-0.436 -2.014 -3.202 -1.636 -1.426],7000,1896212.2,5.9090177e-34,175961,-14.863659,-1.5068055e-06,6.867622,12.999218,36.60211,155.35257,inf,-107.9687792028311,656.3413908481598,19.133512,70,0.09557759,17.84,100,2217.7627
45.88105,[-0.385 -1.954 -3.306 -1.614 -1.367],7100,7330.5024,3.2214576e-08,177707,-14.027134,9.3460085e-07,6.4072084,1.532477,37.96476,45.88105,1940575.5,-108.414353746059,664.9195318222046,18.524323,71,0.25193873,17.46,100,138.74341
66.84315,[-0.425 -1.989 -3.29  -1.613 -1.378],7200,50925.89,1.2985325e-29,179458,-15.379307,-7.05719e-07,6.2766776,3.846437,37.547817,66.84315,inf,-107.82818205892279,672.3420791625977,17.909088,72,0.053052157,17.51,100,727.71783
246.11128,[-0.389 -1.858 -3.282 -1.554 -1.411],7300,2721812.2,2.2940037e-09,181133,-14.610783,-1.2207031e-06,5.8684473,10.781035,39.4181,246.11128,189267460000000.0,-108.07050542590592,679.4604866504669,15.199507,73,0.43988672,16.75,100,1173.4817
151.62544,[-0.469 -1.851 -3.371 -1.53  -1.393],7400,2097873.0,,182865,-12.792269,4.7683716e-07,5.3510113,8.579436,38.586304,151.62544,inf,-108.46323608770724,688.3445453643799,15.656909,74,0.07987095,17.32,100,1738.9971
