EpLenMean,MeanD2w0t,StdIW,Bound,InitialReturnMax,EpisodesSoFar,InitialReturnStd,Iteration,EpThisIter,MeanIW,Weights,MinD2w0t,EpRewMean,ReturnMeanIW,TimestepsSoFar,MaxIW,InitialBound,InitialReturnMean,J_sample_variance,InitialReturnMin,EmpiricalD2,TimeElapsed,ReturnStepMaxmin,MinIW,MaxD2w0t,ReturnStepMax,StdD2w0t
41.94,0.087028906,0.2592273,-18.702877,7.778475,1100,5.9975867,11,100,0.9990064,[-0.849 -0.576 -0.383 -0.883  0.05 ],,-105.15739847756386,14.74978,42220,1.8350248,-18.797321,-2.3365021e-07,39.965168,-12.89802,1.0882864,122.41735219955444,93.98536,0.39203992,1.1369152,100.0,0.28775522
43.53,0.10012787,0.5541169,-19.5508,8.109049,1200,6.6963134,12,100,1.0134606,[-0.848 -0.581 -0.375 -0.878  0.051],,-104.74207102948772,14.138123,46573,3.7784064,-19.91475,-7.1525574e-07,48.05557,-19.92367,1.3592297,132.58273196220398,94.18759,0.15062898,1.7979621,100.0,0.32638735
41.62,0.09198218,0.4029999,-18.035599,7.608309,1300,6.519851,13,100,1.0155054,[-0.857 -0.593 -0.374 -0.865  0.067],,-103.91039391942097,15.454529,50735,3.1151013,-18.298822,1.1920929e-07,46.528847,-16.92356,1.2365341,142.42428183555603,94.006714,0.31141794,1.493176,100.0,0.30678603
46.25,0.09367039,0.13203837,-20.036564,7.796571,1400,5.8419538,14,100,1.0238882,[-0.879 -0.616 -0.373 -0.874  0.063],,-105.93489640866227,13.325405,55360,1.4827323,-20.110344,4.959106e-07,34.917347,-18.278748,1.0212933,155.98837327957153,94.41904,0.68610704,1.0484926,100.0,0.29342458
45.25,0.096513525,0.4213385,-20.382896,8.341231,1500,6.7283144,15,100,1.0775586,[-0.873 -0.619 -0.373 -0.87   0.053],,-106.57868445354232,13.118393,59885,3.343392,-20.562525,8.5830686e-07,55.15125,-16.489761,1.106116,166.2168800830841,94.289345,0.4026538,1.5140204,100.0,0.3064917
42.57,0.09971287,0.60026217,-18.755733,7.927962,1600,6.4445167,16,100,1.0957142,[-0.867 -0.603 -0.36  -0.875  0.047],,-104.64738541832536,14.951797,64142,5.265679,-19.206566,4.5776366e-07,62.43432,-16.488808,1.240983,177.45893716812134,94.08351,0.1392983,1.8763547,100.0,0.33053416
45.68,0.10206068,0.45277116,-19.602997,7.1039023,1700,6.7562275,17,100,0.94857216,[-0.862 -0.626 -0.379 -0.869  0.05 ],,-105.33334687174266,14.010291,68710,3.7545264,-20.074793,3.528595e-07,53.040634,-20.614084,1.2757826,189.0568618774414,94.388214,0.26967221,1.491627,100.0,0.3234093
40.4,0.11360771,0.909678,-18.080912,9.979108,1800,7.205011,18,100,1.0016683,[-0.874 -0.64  -0.369 -0.872  0.06 ],,-105.19189031133062,15.720324,72750,9.330266,-18.776392,-1.9073487e-07,72.64757,-18.23052,1.9804691,200.39748001098633,93.79248,0.04357604,4.707575,100.0,0.4092549
46.79,0.12556323,0.94103473,-19.817184,6.616646,1900,5.8113184,19,100,1.0914167,[-0.937 -0.681 -0.38  -0.889  0.054],,-104.15513143774899,14.040437,77429,10.224303,-20.398289,2.5749208e-07,53.319305,-17.947638,1.676485,214.2042646408081,94.54797,0.114380896,2.7654505,100.0,0.40384287
45.26,0.09886568,0.5802233,-19.678154,7.197978,2000,6.012193,20,100,1.097023,[-0.958 -0.715 -0.375 -0.908  0.019],,-104.02270429734521,13.813922,81955,4.4814987,-20.057087,,33.44291,-19.570278,1.2086251,226.50034475326538,94.40332,0.4048974,1.7203268,100.0,0.31453323
45.51,0.11276465,0.85603327,-20.022095,7.2258816,2100,5.995732,21,100,1.104449,[-0.972 -0.735 -0.377 -0.912  0.037],,-103.51100399571246,13.595055,86506,6.1380143,-20.417992,-3.4809113e-07,42.136604,-19.986515,1.557373,238.57193899154663,94.451065,0.11119204,2.2813318,100.0,0.36415887
44.8,0.124994315,0.91190565,-19.454382,7.120277,2200,6.2878194,22,100,1.069193,[-1.011 -0.761 -0.376 -0.921  0.043],,-104.58387866962326,14.462618,90986,5.947402,-20.129406,-1.4305115e-07,50.1612,-15.267492,2.0591063,251.0583474636078,94.331085,0.08392153,3.7972207,100.0,0.41717276
47.9,0.12164299,0.709113,-20.161896,6.120011,2300,5.7449484,23,100,0.97154164,[-1.029 -0.813 -0.379 -0.933  0.033],,-103.62168708840807,13.548852,95776,5.4022627,-20.921291,1.4305115e-07,32.961018,-16.402435,1.6372594,262.25753808021545,94.673416,0.05376929,2.8158927,100.0,0.38286182
49.37,0.1087934,0.48572665,-20.414143,5.1392603,2400,5.0311823,24,100,0.99686635,[-1.062 -0.836 -0.371 -0.942  0.039],,-104.17988049444322,13.085506,100713,4.1162386,-20.698933,1.8596648e-07,24.609325,-19.417309,1.227903,276.8196322917938,94.77963,0.22766645,1.5325963,100.0,0.32997078
51.32,0.1118458,0.45446306,-20.723053,5.557767,2500,4.477429,25,100,1.1169884,[-1.062 -0.854 -0.376 -0.935  0.039],,-102.60683242069261,12.797721,105845,2.7210727,-20.935978,-4.386902e-07,21.061535,-13.190511,1.2248365,289.81608605384827,95.0013,0.28563127,1.5104518,100.0,0.33171904
52.88,0.10718901,0.13017295,-21.219757,4.758467,2600,3.3436472,26,100,1.0179192,[-1.065 -0.862 -0.37  -0.925  0.038],,-102.50292455556712,12.146831,111133,1.5028944,-21.255447,-1.4305114e-08,11.587363,-11.452894,1.0201905,301.6494245529175,95.123184,0.7276137,1.0651208,100.0,0.31169388
51.43,0.11030754,0.4512401,-20.958633,4.864092,2700,4.479318,27,100,1.0363945,[-1.064 -0.86  -0.364 -0.929  0.044],,-102.70315379772369,12.499619,116276,3.331965,-21.2625,2.3365021e-07,18.84959,-14.415375,1.1557242,312.7031960487366,95.0061,0.36866647,1.3330264,100.0,0.32632005
54.55,0.11837093,0.39240095,-21.21165,4.653119,2800,3.4662235,28,100,1.0709686,[-1.081 -0.882 -0.369 -0.937  0.06 ],,-103.596056653327,12.3379755,121731,3.0190165,-21.448158,3.3855437e-07,17.034279,-17.087223,1.134603,327.19184732437134,95.2018,0.43069294,1.4520873,100.0,0.33900344
50.94,0.10282453,0.12788206,-20.7009,6.1655426,2900,3.9135723,29,100,1.0312496,[-1.078 -0.881 -0.384 -0.932  0.064],,-104.53485232058674,12.652327,126825,1.5362047,-20.759544,6.151199e-07,14.995718,-16.793335,1.0208565,338.22343134880066,94.89577,0.7128686,1.0371348,100.0,0.3052923
54.08,0.1102193,0.19850369,-21.436575,4.8994274,3000,3.5974724,30,100,0.9978523,[-1.083 -0.882 -0.386 -0.928  0.069],,-103.9406212700647,11.923136,132233,1.8632766,-21.510906,2.861023e-07,10.504483,-17.499153,1.0458714,350.2718884944916,95.15604,0.46128953,1.1175762,100.0,0.3165464
52.01,0.12066419,0.57362247,-20.865833,5.414333,3100,3.9117546,31,100,0.9940728,[-1.086 -0.893 -0.385 -0.928  0.07 ],,-103.45915289140439,12.885582,137434,3.9652648,-21.422974,3.8146972e-08,17.643097,-12.7883625,1.3669263,362.4145362377167,95.02156,0.24816549,1.9332265,100.0,0.35669842
52.02,0.11220937,0.41248876,-20.775145,5.4582396,3200,3.7621677,32,100,1.0167105,[-1.09  -0.899 -0.367 -0.923  0.068],,-103.96508157946802,12.744089,142636,3.436123,-21.00595,-2.3841858e-07,15.224276,-13.143037,1.1582894,375.06602454185486,95.002884,0.29973128,1.3349221,100.0,0.32980943
52.59,0.11186142,0.3645927,-21.014051,5.3093863,3300,3.6435294,33,100,1.0053478,[-1.095 -0.907 -0.359 -0.925  0.09 ],,-102.43235900606162,12.425386,147895,2.314876,-21.204584,6.6280364e-07,12.972401,-13.375965,1.1537038,386.6018068790436,95.10449,0.3604089,1.3507677,100.0,0.32677305
57.36,0.14239523,0.6368461,-21.68529,4.3010244,3400,2.7428768,34,100,1.0410597,[-1.102 -0.921 -0.358 -0.921  0.089],,-103.90926837565162,12.060301,153631,4.098368,-22.086985,1.5258789e-07,13.548605,-14.072662,1.6223165,399.291464805603,95.376945,0.17306274,2.558103,100.0,0.4021141
60.39,0.1266124,0.3575074,-22.834896,4.8247147,3500,2.8383422,35,100,0.98489094,[-1.104 -0.936 -0.347 -0.909  0.09 ],,-102.43159128608235,10.556695,159670,4.4339495,-22.956158,2.1457672e-07,8.310446,-14.589138,1.0991201,411.97889733314514,95.607666,0.34403723,1.3758103,100.0,0.3420106
62.07,0.14145286,0.5759774,-22.86243,3.1299338,3600,2.2130806,36,100,1.0930972,[-1.11  -0.953 -0.35  -0.91   0.087],,-104.12730879809247,10.719066,165877,3.7677557,-23.146261,1.9073487e-07,7.5727334,-10.143639,1.3311055,427.13207244873047,95.64484,0.28983814,2.092426,100.0,0.37838116
64.0,0.13690586,0.37134868,-24.05994,5.200858,3700,3.153901,37,100,1.0349741,[-1.112 -0.961 -0.339 -0.901  0.087],,-102.99328417204568,9.419351,172277,2.6438904,-24.32007,-2.861023e-07,11.327346,-15.731093,1.1409326,441.0272738933563,95.78146,0.42946565,1.4220781,100.0,0.35785663
62.59,0.12740722,0.15780504,-23.10824,3.2654026,3800,1.8686174,38,100,0.99310344,[-1.111 -0.969 -0.329 -0.901  0.083],,-104.63362530311801,10.257231,178536,1.6927115,-23.212072,6.6280364e-07,3.8429053,-5.2773514,1.0335845,454.4366407394409,95.65654,0.6991484,1.0923934,100.0,0.33685267
69.39,0.139665,0.082886085,-24.922222,4.288249,3900,2.0059,39,100,1.0011858,[-1.113 -0.976 -0.331 -0.9    0.094],,-104.1843566443425,8.4315605,185475,1.2214391,-24.944584,5.483627e-07,4.3352356,-10.2661705,1.0095462,469.04735493659973,95.99713,0.73681414,1.0215706,100.0,0.34793356
67.73,0.13840215,0.14720844,-24.167076,3.5355244,4000,1.5351622,40,100,1.0086486,[-1.119 -0.979 -0.336 -0.9    0.09 ],,-103.58240221519158,9.212055,192248,1.4553236,-24.21553,-3.671646e-07,2.4403863,-3.8851032,1.0344439,484.1357533931732,95.941315,0.68266964,1.103474,100.0,0.34971422
64.86,0.1342476,0.24171215,-23.679352,3.5887165,4100,1.8009366,41,100,1.0285972,[-1.12  -0.977 -0.328 -0.902  0.091],,-102.92774763564434,9.713346,198734,3.0368884,-23.739433,1.9073486e-08,3.5442924,-7.9235883,1.0550749,499.0150349140167,95.82616,0.5282254,1.1973742,100.0,0.34788734
69.8,0.1396,,-25.297245,3.9178798,4200,2.642967,42,100,1.0,[-1.122 -0.979 -0.334 -0.895  0.097],,-102.21481952192967,8.036091,205714,1.0,-25.297245,4.6014785e-07,7.055833,-12.691725,1.0,514.2852098941803,96.07121,1.0,1.0,100.0,0.3465707
68.63,0.14911209,0.44797513,-24.397476,3.8946645,4300,2.2835264,43,100,1.0379113,[-1.122 -0.979 -0.334 -0.895  0.097],,-102.24621245028315,9.045063,212577,3.595373,-24.578945,-5.340576e-07,4.2972784,-12.781309,1.1702981,528.5316236019135,96.02037,0.23237537,1.3491423,100.0,0.3747727
73.33,0.14747381,0.108366616,-25.901947,3.8317533,4400,2.3435926,44,100,1.0215944,[-1.131 -0.999 -0.329 -0.903  0.092],,-102.3810757492807,7.4411974,219910,1.4309298,-25.948082,-6.3419344e-07,5.440512,-9.032775,1.0092607,545.541093826294,96.20766,0.7626723,1.0264546,100.0,0.35572693
70.82,0.14415744,0.19140024,-25.182114,4.2871203,4500,2.5699236,45,100,0.9816253,[-1.13  -1.005 -0.329 -0.909  0.097],,-102.50683837976696,8.179206,226992,1.8325031,-25.217018,-6.67572e-08,6.179339,-12.079676,1.0375657,560.913060426712,96.10515,0.6416911,1.0741863,100.0,0.35490558
70.16,0.14175583,0.11379994,-24.624115,3.7882273,4600,1.9526423,46,100,1.030079,[-1.131 -1.007 -0.326 -0.905  0.104],,-103.46522326177158,8.740094,234008,1.3629533,-24.691042,-2.670288e-07,4.119207,-7.0322366,1.0176072,575.4292504787445,96.0506,0.6323206,1.0802083,100.0,0.35087717
73.09,0.1497636,0.19203383,-25.65594,3.6748,4700,2.1279867,47,100,0.982365,[-1.136 -1.017 -0.333 -0.911  0.101],,-102.89144695253643,7.721319,241317,1.8397132,-25.698719,-1.66893e-07,5.00638,-11.099884,1.0430733,592.3615727424622,96.184525,0.5925232,1.1647315,100.0,0.3620268
74.35,0.15434702,0.29674754,-25.414507,4.4471354,4800,1.8800828,48,100,1.0134387,[-1.137 -1.018 -0.326 -0.911  0.102],,-103.34728082053739,7.9857383,248752,2.5781531,-25.481024,-2.1457672e-07,3.8965688,-3.4044704,1.0831175,608.6875925064087,96.219986,0.4929657,1.1672523,100.0,0.36948252
74.62,0.15193263,0.13612187,-25.661797,4.063651,4900,1.7388655,49,100,1.015697,[-1.139 -1.02  -0.318 -0.908  0.104],,-102.99406681771046,7.697297,256214,1.3767269,-25.68828,1.8119812e-07,3.426813,-2.9882946,1.026754,623.486296415329,96.2395,0.6084853,1.0949531,100.0,0.36279082
78.24,0.16153073,0.20996623,-26.307753,3.511786,5000,1.8906683,50,100,1.0116448,[-1.142 -1.024 -0.314 -0.914  0.1  ],,-102.01525460212076,7.0658975,264038,1.753573,-26.401886,5.9604645e-08,3.8293948,-8.457595,1.0530877,640.2515454292297,96.39224,0.544354,1.2182683,100.0,0.3752425
76.42,0.16272666,0.32813573,-25.717176,3.5123906,5100,1.6059178,51,100,1.0243858,[-1.148 -1.024 -0.309 -0.914  0.091],,-103.09684392089784,7.68751,271680,2.57739,-25.779491,9.059906e-08,4.0054717,-3.5992837,1.1336162,656.5232405662537,96.301834,0.39700347,1.3136313,100.0,0.38374498
74.75,0.1495,8.4217745e-06,-25.794071,4.246722,5200,1.9698031,52,100,0.9999998,[-1.147 -1.018 -0.311 -0.922  0.094],,-104.45724999493467,7.539265,279155,1.0000293,-25.794075,-3.33786e-07,3.9193134,-8.888042,1.0,671.0963001251221,96.205154,0.9999809,1.0,100.0,0.35657072
72.63,0.15448768,0.3489823,-25.399078,4.11187,5300,2.328198,53,100,1.0220492,[-1.147 -1.018 -0.311 -0.922  0.094],,-102.40226465443443,8.045972,286418,2.3885465,-25.515896,1.2874604e-07,5.1168265,-13.879081,1.1258602,684.613162279129,96.18016,0.35319787,1.3897516,100.0,0.37536657
74.08,0.14816,,-25.47316,3.892548,5400,1.7751435,54,100,1.0,[-1.148 -1.02  -0.3   -0.92   0.092],,-103.2869938456356,7.860177,293826,1.0,-25.47316,-6.1035155e-07,3.1829643,-3.564272,1.0,700.6097388267517,96.21147,1.0,1.0,100.0,0.3552641
71.64,0.14992172,0.24377578,-25.078539,3.6028967,5500,1.6238973,55,100,1.0263562,[-1.148 -1.02  -0.3   -0.92   0.092],,-102.85111675229679,8.311335,300990,1.7880715,-25.163883,-4.2915346e-08,3.4379685,-3.0312333,1.0707916,715.0624520778656,96.12866,0.4132271,1.2616196,100.0,0.36695784
75.38,0.15310274,0.15809207,-26.05392,4.172366,5600,1.748772,56,100,1.0090183,[-1.152 -1.017 -0.296 -0.927  0.084],,-102.01553466633422,7.308026,308528,1.528732,-26.083565,-1.502037e-07,3.0026982,-5.577364,1.0288924,730.9876055717468,96.293304,0.6998718,1.0812198,100.0,0.36341202
71.67,0.14500302,0.114925936,-25.092766,3.547397,5700,1.6971407,57,100,1.0053585,[-1.152 -1.017 -0.29  -0.926  0.083],,-102.96076401982468,8.259168,315695,1.465056,-25.150402,6.294251e-07,3.2059948,-7.021325,1.0169731,745.5547518730164,96.126816,0.67742884,1.0363197,100.0,0.35448515
74.89,0.14978,,-25.526438,3.126922,5800,1.686104,58,100,1.0,[-1.154 -1.024 -0.288 -0.934  0.084],,-103.76985092051014,7.806898,323184,1.0,-25.526438,-2.7656554e-07,2.871663,-5.2626,1.0,761.8961968421936,96.228745,1.0,1.0,100.0,0.35686514
75.48,0.15096,,-25.708315,4.263111,5900,1.7994994,59,100,1.0,[-1.154 -1.024 -0.288 -0.934  0.084],,-103.44317751148861,7.6250205,330732,1.0,-25.708315,3.4332277e-07,3.2709064,-5.78951,1.0,777.0325911045074,96.25906,1.0,1.0,100.0,0.35800278
74.75,0.1547404,0.27149287,-25.4893,3.3253074,6000,1.592834,60,100,1.0231675,[-1.154 -1.024 -0.288 -0.934  0.084],,-103.76409577689448,7.8872004,338207,2.215846,-25.530039,-1.0061264e-06,2.7951994,-5.079075,1.0741408,792.0904362201691,96.22371,0.47646603,1.1594175,100.0,0.3692307
83.24,0.16921169,0.16920064,-27.146233,3.761712,6100,1.6059314,61,100,1.0053397,[-1.155 -1.028 -0.286 -0.927  0.083],,-102.39120334298298,6.211479,346531,1.5714381,-27.166203,-1.7166138e-07,2.8935044,-3.1641831,1.0319096,809.8802571296692,96.539856,0.4629908,1.0963916,100.0,0.37866184
73.06,0.15091535,0.22631861,-25.374342,4.3328514,6200,1.7729206,62,100,1.0071371,[-1.155 -1.025 -0.29  -0.93   0.083],,-103.77569197938132,7.9988885,353837,2.5504797,-25.410172,1.3828277e-07,3.5054388,-3.3092465,1.0545056,824.4274842739105,96.159164,0.54344064,1.1540356,100.0,0.36499143
78.71,0.15742,,-26.365168,3.500585,6300,1.7631286,63,100,1.0,[-1.154 -1.03  -0.293 -0.924  0.086],,-103.39718075296506,6.9681683,361708,1.0,-26.365168,-6.8664554e-07,3.1400223,-3.1602626,1.0,840.6611602306366,96.37271,1.0,1.0,100.0,0.36419648
77.45,0.15489998,8.734938e-06,-26.254425,4.274559,6400,1.6335603,64,100,1.0000002,[-1.154 -1.03  -0.293 -0.924  0.086],,-103.27995527556897,7.078906,369453,1.0000236,-26.254438,-1.2874604e-07,2.6954784,-2.5907984,0.9999988,857.2698059082031,96.33299,0.9999981,1.0,100.0,0.3618013
84.23,0.16846,7.706231e-07,-27.195415,3.8023398,6500,1.7823317,65,100,1.0000001,[-1.154 -1.03  -0.293 -0.924  0.086],,-102.16936478747968,6.1379204,377876,1.0000023,-27.195417,4.4345856e-07,3.2087948,-3.3096104,1.0,874.5773112773895,96.574036,1.0,1.0,100.0,0.374278
80.73,0.16572727,0.2419163,-26.540667,3.2421517,6600,1.4927357,66,100,1.0278682,[-1.154 -1.03  -0.293 -0.924  0.086],,-100.80065167978434,6.837976,385949,2.6027875,-26.588165,3.671646e-07,2.3369095,-2.4968944,1.0502379,889.6003658771515,96.50278,0.6474044,1.180688,100.0,0.37779891
80.84,0.16275117,0.084969625,-26.935524,3.9493194,6700,1.681869,67,100,1.0006393,[-1.155 -1.032 -0.287 -0.922  0.086],,-102.94053391316797,6.408665,394033,1.2546647,-26.945543,1.335144e-07,3.0349634,-3.045876,1.0095977,906.3397068977356,96.45323,0.7190529,1.0490631,100.0,0.37060738
79.83,0.16136254,0.13331877,-26.45575,4.0264316,6800,1.7942791,68,100,1.0077558,[-1.16  -1.029 -0.289 -0.922  0.081],,-103.26752146819015,6.892067,402016,1.7732425,-26.470821,8.773804e-07,3.2722633,-3.5109649,1.0218065,923.3048968315125,96.41281,0.71787345,1.0582701,100.0,0.37022063
79.25,0.16143617,0.15163481,-26.739515,3.892757,6900,1.7310839,69,100,1.0264658,[-1.16  -1.031 -0.287 -0.92   0.078],,-102.44100007781105,6.621596,409941,1.7651985,-26.769072,4.529953e-08,3.0686817,-3.7517114,1.0294152,940.136981010437,96.414734,0.7022168,1.0938574,100.0,0.37203306
82.14,0.16428,,-27.041359,3.5353715,7000,1.5877734,70,100,1.0,[-1.162 -1.031 -0.281 -0.921  0.078],,-103.3603679649969,6.291977,418155,1.0,-27.041359,-3.004074e-07,2.5464897,-2.9596,1.0,957.6269974708557,96.48331,1.0,1.0,100.0,0.37052143
86.19,0.17527317,0.14615914,-27.465492,3.5428002,7100,1.5955203,71,100,1.0191025,[-1.162 -1.031 -0.281 -0.921  0.078],,-104.45876361684718,5.891537,426774,1.5478489,-27.521973,5.722046e-07,2.7019403,-3.2771263,1.0248499,976.3701992034912,96.57608,0.6374167,1.0931463,100.0,0.38408783
75.97,0.15625119,0.19558755,-25.739645,3.3090324,7200,1.496676,72,100,1.0160308,[-1.161 -1.03  -0.284 -0.918  0.069],,-101.41413549678254,7.638082,434371,1.6749952,-25.800743,6.198883e-08,2.7999554,-3.15763,1.0504717,992.8810381889343,96.330154,0.46513927,1.1752899,100.0,0.36927062
87.79,0.17558,,-27.815233,3.7519274,7300,1.6852213,73,100,1.0,[-1.162 -1.025 -0.29  -0.918  0.063],,-102.26192680378954,5.518103,443150,1.0,-27.815233,-9.536743e-09,2.8686569,-3.276494,1.0,1012.5245416164398,96.6703,1.0,1.0,100.0,0.38045853
80.93,0.16185997,0.0002797352,-26.842125,3.2583137,7400,1.5598203,74,100,1.000013,[-1.162 -1.025 -0.29  -0.918  0.063],,-102.71847722287426,6.4912076,451243,1.0008155,-26.842196,-5.078316e-07,2.4580858,-3.7334118,0.9999989,1028.7925503253937,96.46155,0.9991079,1.0,100.0,0.36830923
81.62,0.17077875,0.36211595,-26.733913,4.2945194,7500,1.5008602,75,100,1.0804939,[-1.162 -1.025 -0.29  -0.918  0.063],,-102.46257201738905,6.6601443,459405,3.7830029,-26.783073,3.33786e-07,2.8049526,-3.2914667,1.0903363,1045.5498855113983,96.48928,0.56697714,1.25152,100.0,0.38698548
86.6,0.17546864,0.15758099,-27.53549,3.486309,7600,2.0242884,76,100,1.0120084,[-1.16  -1.028 -0.285 -0.912  0.064],,-100.99305631838088,5.819384,468065,1.5217749,-27.55768,-4.2438506e-07,5.027722,-11.028128,1.0248482,1064.2007818222046,96.6676,0.5360993,1.0672692,100.0,0.38339338
84.24,0.17259344,0.19341819,-27.143639,3.4210362,7700,1.4809562,77,100,1.0091856,[-1.16  -1.028 -0.29  -0.913  0.062],,-104.42283156584791,6.21814,476489,2.2473865,-27.170021,4.053116e-07,2.4832823,-3.5388207,1.0343738,1082.9498193264008,96.52083,0.46196947,1.1436881,100.0,0.38354164
79.73,0.16143905,0.14221041,-26.243881,2.847103,7800,1.4991531,78,100,1.0069044,[-1.161 -1.03  -0.295 -0.909  0.06 ],,-103.3853803906045,7.1051817,484462,1.6266645,-26.261555,-3.671646e-07,2.4115655,-3.3455882,1.0180744,1099.3053631782532,96.40662,0.6893073,1.0527431,100.0,0.37066904
81.94,0.16388,,-26.641485,3.4538016,7900,1.6257379,79,100,1.0,[-1.16  -1.029 -0.298 -0.905  0.059],,-103.54496861615813,6.6918507,492656,1.0,-26.641485,3.004074e-07,2.6697211,-3.320809,1.0,1116.5073099136353,96.472664,1.0,1.0,100.0,0.37016538
83.89,0.17026186,0.13535157,-27.147018,3.826457,8000,1.6521739,80,100,1.0048761,[-1.16  -1.029 -0.298 -0.905  0.059],,-103.22077659030802,6.210594,501045,1.4866996,-27.170969,3.0517577e-07,2.8841543,-5.0923433,1.0208558,1132.6088440418243,96.53914,0.6975209,1.081676,100.0,0.37924054
83.12,0.1683046,0.1296235,-27.164055,3.7214923,8100,1.7010132,81,100,1.0053174,[-1.161 -1.03  -0.303 -0.904  0.063],,-103.49146942237996,6.186474,509357,1.5643926,-27.18194,5.5789945e-07,3.1114767,-3.235126,1.0174538,1148.5412771701813,96.50983,0.67294884,1.0569643,100.0,0.37694165
84.4,0.17245996,0.20765704,-27.27894,4.3057413,8200,1.8389934,82,100,0.9992651,[-1.162 -1.033 -0.307 -0.902  0.063],,-104.48853943392132,6.0807896,517797,1.9220974,-27.312143,-1.9073486e-08,3.389105,-7.231763,1.0443511,1166.7576665878296,96.52397,0.60154945,1.1329858,100.0,0.382769
88.67,0.18023589,0.16995636,-27.881138,4.2622547,8300,1.9814377,83,100,1.0216411,[-1.162 -1.036 -0.303 -0.899  0.063],,-102.31426662750607,5.476136,526664,1.5815091,-27.933468,1.3828277e-07,3.9030328,-10.213463,1.0272051,1184.9239435195923,96.692245,0.5394079,1.0683553,100.0,0.38821724
86.03,0.1882787,0.45835438,-27.363728,4.0064373,8400,1.4707098,84,100,1.0116366,[-1.163 -1.038 -0.3   -0.9    0.055],,-105.23729125068907,6.0898657,535267,4.399082,-27.464895,3.7908555e-07,3.4036536,-2.945734,1.1957307,1204.938688993454,96.55348,0.31493753,1.5159302,100.0,0.41439915
