Iteration,TimeElapsed,InitialReturnMean,Weights,MinIW,MaxIW,EpisodesSoFar,StdIW,InitialReturnStd,EpThisIter,InitialReturnMin,J_sample_variance,EmpiricalD2,InitialReturnMax,EpRewMean,Bound,TimestepsSoFar,InitialBound,ReturnMeanIW,EpLenMean,MeanIW
52,1257.898980140686,-4.6253206e-07,[-0.521 -0.911 -0.641  0.259 -1.633],2.1450011e-33,381.88986,5200,3.5222158,1.3635007,100,-2.1485224,10896.969,inf,3.5768375,-137.42338288008506,25.644367,478328,16.7254,25.644367,55.36,0.117130056
53,1273.8948652744293,-4.6253206e-07,[-0.526 -0.925 -0.642  0.187 -1.655],2.0122962e-14,3583.4287,5300,47.415455,1.3264544,100,-2.1445937,365835.88,1.1299739e+16,3.1054049,-135.07505923899652,87.16968,483827,16.62196,87.16968,54.99,3.5543468
54,1289.0856983661652,7.6770783e-07,[-0.531 -0.916 -0.684  0.189 -1.654],4.7579572e-11,939.30164,5400,48.607212,1.2253088,100,-2.23845,10503.159,1948337300.0,3.238863,-133.91365098538782,21.791445,489058,17.403717,21.791445,52.31,5.982699
55,1304.7535321712494,3.4332277e-07,[-0.515 -0.941 -0.653  0.187 -1.663],9.745537e-08,264.458,5500,3.3030856,1.3267822,100,-1.6927166,2203.6904,752433.25,3.6997166,-135.98472008981173,21.503855,494483,16.92663,21.503855,54.25,0.34939617
56,1320.8020987510681,1.6212464e-07,[-0.534 -0.93  -0.683  0.188 -1.66 ],3.6816836e-25,485.716,5600,5.8276258,1.2771709,100,-1.8769608,65881.33,inf,3.3742542,-134.4358657575305,47.35751,499754,17.344643,47.35751,52.71,0.1976325
57,1334.9633677005768,5.6743625e-07,[-0.554 -0.908 -0.719  0.14  -1.655],3.0686596e-07,1074.9209,5700,14.196557,1.3961996,100,-2.0422878,1748.9886,1555473.9,3.193246,-129.6608531614466,22.960373,504702,18.322412,22.960373,49.48,1.6585329
58,1350.6130456924438,-3.1471254e-07,[-0.58  -0.889 -0.705  0.116 -1.632],5.8791866e-06,79.29232,5800,6.1862316,1.2357857,100,-1.9939966,392.42523,126672.87,3.632012,-130.31857106160157,20.230787,509755,17.758783,20.230787,50.53,0.9052016
59,1365.7095413208008,-1.2874604e-07,[-0.574 -0.883 -0.711  0.093 -1.629],7.6195327e-13,31576.982,5900,154.81152,1.3232409,100,-1.9806824,223963.73,3833855800000000.0,3.3345447,-128.4750622740383,62.405197,514854,17.410948,62.405197,50.99,2.0201757
60,1380.5580649375916,1.8119812e-07,[-0.545 -0.869 -0.721  0.064 -1.641],7.245798e-10,6382.2764,6000,47.30443,1.2998904,100,-2.222762,82934.32,5237414000.0,3.5288372,-127.38887490266019,51.043873,519646,18.617086,51.043873,47.92,0.8663095
61,1395.9139494895935,1.2397766e-07,[-0.577 -0.897 -0.712  0.062 -1.636],6.7966166e-09,75.35271,6100,1.2664866,1.2946765,100,-2.3354397,1398.1908,255690240.0,4.1383514,-128.67170557900158,24.096365,524621,17.82356,24.096365,49.75,0.24767204
62,1410.2813477516174,-3.1471254e-07,[-0.579 -0.906 -0.738  0.043 -1.649],0.0025892437,32.008934,6200,1.8268032,1.3333465,100,-2.0535445,59.488815,35.15086,3.6033683,-127.1823711198262,18.72345,529484,18.212038,18.72345,48.63,0.929033
63,1425.0728514194489,1.4305115e-07,[-0.585 -0.911 -0.748  0.059 -1.652],1.53084e-13,3678.7632,6300,17.432705,1.3323885,100,-2.0476847,66263.305,2.2549134e+30,3.6449442,-127.28587477974496,46.71942,534392,18.042744,46.71942,49.08,0.27624533
64,1440.9536800384521,-4.4345856e-07,[-0.57  -0.784 -0.659  0.076 -1.585],0.0009652648,14.730932,6400,1.2734351,1.310341,100,-2.3621502,150.5481,14.107534,3.7951856,-128.47094837745067,18.221703,539550,17.051008,18.221703,51.58,0.79792464
65,1455.9167001247406,4.7683717e-08,[-0.574 -0.807 -0.683  0.077 -1.597],1.00304444e-16,12384.335,6500,321.89175,1.4441268,100,-2.4379745,898236.94,156268050000.0,3.657331,-127.57626759889307,107.474335,544529,17.859457,107.474335,49.79,30.426373
66,1471.3674824237823,1.3017655e-06,[-0.57  -0.832 -0.723  0.115 -1.651],0.00016542524,39.755978,6600,3.452346,1.6886501,100,-6.0440464,1341.9343,61.816372,3.292861,-127.26102063346254,23.520878,549290,18.506521,23.520878,47.61,1.3996465
67,1484.4458792209625,6.580353e-07,[-0.594 -0.854 -0.761  0.124 -1.66 ],1.7123705e-25,2955.4902,6700,21.06474,2.1524365,100,-6.837473,554416.3,2.9498738e+31,3.7680025,-126.40293967091262,91.72671,553762,19.531622,91.72671,44.72,0.36514723
68,1498.9680726528168,3.194809e-07,[-0.617 -0.838 -0.763  0.18  -1.659],5.1752626e-23,5551.362,6800,30.463167,2.300587,100,-12.135533,252238.28,2.3408723e+32,3.9427285,-127.35424218197355,66.58887,558146,19.826517,66.58887,43.84,0.4634479
69,1513.0205154418945,-2.7179718e-07,[-0.62  -0.856 -0.768  0.123 -1.685],2.8251545e-22,4370.9067,6900,20.64698,1.4070756,100,-4.9565935,23562.322,2.0181768e+27,3.925612,-127.57950200043582,30.478071,562953,18.267714,30.478071,48.07,0.16875762
70,1525.498482465744,5.4359435e-07,[-0.633 -0.869 -0.737  0.077 -1.676],9.530501e-08,712.5762,7000,7.023522,1.4396635,100,-2.3796864,18880.998,12970916.0,4.4038696,-126.91525273110469,28.768778,567979,17.57757,28.768778,50.26,0.6400546
71,1539.6643850803375,-2.0980835e-07,[-0.651 -0.819 -0.744  0.091 -1.717],9.396672e-13,95.17365,7100,1.6758653,1.3736054,100,-2.1608992,2193.0354,53828090000.0,3.2390108,-126.28753872159048,26.479206,572945,17.74975,26.479206,49.66,0.25298944
72,1555.1856677532196,3.7193297e-07,[-0.649 -0.803 -0.709  0.103 -1.715],1.6942122e-15,1290.3013,7200,9.438592,1.3356062,100,-2.0817828,19082.412,3.0863392e+16,3.5925984,-127.90084838009916,27.537655,578202,16.593058,27.537655,52.57,0.13858923
73,1570.4712851047516,1.001358e-07,[-0.677 -0.854 -0.706  0.087 -1.738],1.5958132e-13,835.8294,7300,6.1190095,1.3382293,100,-1.9912691,10440.808,1735967000000000.0,3.8782434,-129.31286934917864,25.259272,583555,16.370956,25.259272,53.53,0.2380547
74,1585.9546296596527,-1.9073486e-08,[-0.675 -0.849 -0.719  0.057 -1.738],4.918436e-08,507.49866,7400,14.9767685,1.389389,100,-2.5908432,9790.545,5848642.5,3.1289244,-127.5559296686659,25.390211,588769,16.69718,25.390211,52.14,1.8819753
75,1601.2165985107422,2.4318695e-07,[-0.704 -0.827 -0.739  0.078 -1.769],1.688921e-11,2821.0845,7500,24.684284,1.2572287,100,-1.9469581,12427.729,85463110000.0,3.51096,-125.01230475984454,30.221916,593972,16.618908,30.221916,52.03,1.1096218
76,1618.1593825817108,1.5735627e-07,[-0.714 -0.829 -0.714  0.086 -1.781],,4373.8003,7600,19.585215,1.2118697,100,-1.8647299,131864.55,inf,3.604958,-127.4326134842675,39.73619,599397,15.911377,39.73619,54.25,0.10157071
77,1633.5246922969818,1.0967254e-06,[-0.662 -0.864 -0.771  0.238 -1.777],2.0368241e-05,113.58377,7700,11.623982,2.5431094,100,-12.080891,530.96576,10416.453,4.072213,-128.272785112739,22.063576,604109,18.422235,22.063576,47.12,2.2561517
78,1649.101089477539,7.0095064e-07,[-0.673 -0.885 -0.767  0.231 -1.781],0.00029961983,20.898643,7800,1.1223531,1.2850904,100,-4.681823,27.067616,35.79191,3.6505804,-130.7294784275913,17.438934,609365,16.733204,17.438934,52.56,0.5962511
79,1665.8532178401947,-5.722046e-07,[-0.69  -0.892 -0.768  0.236 -1.787],1.2671749e-22,12315.518,7900,56.589703,2.1270452,100,-12.016441,405648.7,3.1782597e+33,3.3417015,-131.19469894545807,76.205505,614673,16.539442,76.205505,53.08,0.4263729
80,1683.0344610214233,2.3365021e-07,[-0.691 -0.883 -0.726  0.186 -1.789],2.40917e-05,137.5446,8000,5.0103016,1.3323542,100,-2.2559404,195.30939,1943.0201,3.2469707,-131.3333881433289,17.274908,620176,16.190224,17.274908,55.03,1.0053381
81,1700.099977016449,-2.3841858e-08,[-0.694 -0.903 -0.721  0.179 -1.781],4.3878368e-05,32.174656,8100,2.4389732,1.42443,100,-2.1615348,323.6414,1036.8124,4.342165,-132.85661253446216,18.244373,625637,16.48295,18.244373,54.61,0.66706
82,1717.5226657390594,-2.6226044e-07,[-0.694 -0.894 -0.733  0.173 -1.777],7.7088066e-07,214.67532,8200,5.2165093,1.494421,100,-2.5698013,1248.3018,2104771.2,3.310511,-129.49258733641454,19.556873,631094,16.314104,19.556873,54.57,0.7814979
83,1734.2992360591888,-2.4318695e-07,[-0.703 -0.934 -0.75   0.158 -1.784],6.7807995e-11,995.75903,8300,9.043495,1.2705793,100,-2.1842422,22482.2,12246921000.0,4.191552,-130.28015166942697,29.173986,636450,16.630352,29.173986,53.56,0.29452795
84,1750.6897094249725,-4.2915343e-07,[-0.699 -0.934 -0.769  0.14  -1.793],5.0826246e-15,722.2578,8400,7.488786,1.353833,100,-2.0107698,37512.086,8026747000000000.0,3.6985223,-129.01642213969285,32.870075,641748,16.674427,32.870075,52.98,0.18039583
85,1767.9790513515472,-1.9550323e-07,[-0.702 -0.928 -0.75   0.167 -1.8  ],6.1442724e-13,953.2095,8500,9.615437,1.3107386,100,-2.162778,2941.1282,20392838000000.0,3.3770728,-131.79886107302298,21.71046,647199,16.279362,21.71046,54.51,0.7723804
86,1784.8300428390503,8.4400176e-07,[-0.664 -0.918 -0.758  0.155 -1.802],2.5710035e-18,1677.0471,8600,12.934679,1.265159,100,-1.6698651,28313.342,6.752946e+22,3.3790731,-130.03876076540197,35.356792,652443,16.937283,35.356792,52.44,0.94041765
87,1802.0218000411987,1.2397766e-07,[-0.654 -0.918 -0.734  0.187 -1.809],0.00029580118,46.262337,8700,1.8239999,1.4277501,100,-2.0797849,261.64438,547.12085,4.088839,-132.29235374114194,17.72503,657815,16.725433,17.72503,53.72,0.64666545
88,1818.742483139038,5.7220458e-08,[-0.653 -0.92  -0.751  0.19  -1.811],8.5286925e-12,256.37198,8800,2.7829459,1.3857334,100,-2.264336,1744.503,10786827000000.0,3.300478,-129.96811098322448,21.451359,663117,16.865303,21.451359,53.02,0.3746702
89,1835.2852880954742,5.76973e-07,[-0.652 -0.949 -0.763  0.163 -1.812],3.793008e-17,698.5758,8900,10.134505,1.3347546,100,-2.032085,39830.695,5.3698495e+22,3.2743478,-130.47966388872956,36.002335,668453,16.591116,36.002335,53.36,0.29324806
90,1852.8658380508423,1.66893e-07,[-0.687 -0.976 -0.77   0.202 -1.796],1.1341103e-08,586.09827,9000,18.842539,1.4195366,100,-2.1227407,4497.0947,9222308.0,3.639886,-132.74875776602585,21.620426,673851,16.622501,21.620426,53.98,2.0842168
91,1869.7974622249603,6.67572e-08,[-0.684 -1.028 -0.769  0.203 -1.8  ],2.9264098e-11,406.4328,9100,5.3896413,1.236404,100,-1.7525625,12676.444,4114457300000.0,3.3615446,-133.89349816743916,29.223063,679365,16.271557,29.223063,55.14,0.23858298
92,1886.840811252594,2.2411346e-07,[-0.677 -1.012 -0.732  0.212 -1.797],2.0386693e-19,796.6452,9200,5.4410596,1.3377112,100,-2.0849519,20182.566,1.2166253e+24,3.3882446,-135.60788414135098,26.63297,685097,15.80246,26.63297,57.32,0.15828067
93,1903.5661940574646,-4.6253206e-07,[-0.699 -1.027 -0.75   0.175 -1.799],2.9302738e-08,332.34793,9300,4.8855295,1.1958011,100,-1.7485228,8268.555,22345694.0,3.3423257,-135.55503600704006,28.599499,690698,16.166033,28.599499,56.01,0.590737
94,1920.6847155094147,-2.8610229e-08,[-0.727 -1.082 -0.796  0.17  -1.798],,457.37323,9400,4.2039976,1.4243803,100,-2.0534887,23434.879,inf,3.2143526,-133.29834155225706,29.794767,696214,16.2874,29.794767,55.16,0.09076078
95,1938.1284320354462,-9.059906e-08,[-0.713 -1.093 -0.76   0.095 -1.801],,5284.905,9500,23.879162,1.2771338,100,-2.2412271,72829.47,inf,3.358603,-133.40978674585523,38.64924,701872,15.7223835,38.64924,56.58,0.1584564
96,1955.2484738826752,1.3828277e-07,[-0.775 -1.146 -0.85   0.179 -1.872],3.287592e-05,75.34437,9600,2.3483765,1.1794311,100,-1.9106922,743.94916,143.56636,3.7056088,-132.46519184391371,18.263819,707350,16.208141,18.263819,54.78,1.0306818
97,1971.8960621356964,-2.861023e-07,[-0.798 -1.142 -0.869  0.177 -1.885],0.010068564,20.860716,9700,2.484608,1.3059202,100,-2.197132,44.01936,5.9189663,2.9052448,-130.77343192238405,17.245092,712718,16.576485,17.245092,53.68,1.0620986
98,1988.5125348567963,-7.152558e-08,[-0.8   -1.134 -0.86   0.178 -1.891],6.2281045e-13,1739.8506,9800,8.759253,1.2841734,100,-1.9864521,1159.5693,613174500000000.0,2.739665,-131.22956920371763,19.425678,718227,16.018822,19.425678,55.09,0.26737222
99,2004.9604206085205,-1.9550323e-07,[-0.822 -1.111 -0.85   0.203 -1.886],2.53964e-07,85.91387,9900,1.6642889,1.452826,100,-2.6426492,566.5416,472205.53,3.6128578,-131.47931799718927,17.726309,723820,15.963601,17.726309,55.93,0.40734634
100,2021.3626325130463,-3.1471254e-07,[-0.817 -1.123 -0.871  0.199 -1.872],1.0477915e-05,79.68918,10000,2.8234065,1.3283674,100,-2.074132,1903.9552,62817.16,3.8460345,-132.58320574488533,19.286043,729344,15.990267,19.286043,55.24,0.6414361
101,2037.9617748260498,-6.008148e-07,[-0.836 -1.157 -0.909  0.201 -1.886],1.16124964e-10,507.78308,10100,7.8284373,1.3918648,100,-1.8582149,5577.5566,504491000.0,3.919144,-130.3864152790286,24.740614,734791,16.192951,24.740614,54.47,0.7500107
