MinIW,StdIW,EpThisIter,Iteration,MeanIW,InitialReturnMean,TimeElapsed,EpisodesSoFar,InitialReturnMax,EpLenMean,InitialBound,Weights,Bound,J_sample_variance,MaxIW,ReturnMeanIW,EpRewMean,InitialReturnStd,InitialReturnMin,TimestepsSoFar,EmpiricalD2
0.895543,0.052830324,100,18,1.0071517,-8.392334e-07,176.57495760917664,1800,34.971527,47.6,-429815300000000.0,[-0.376 -0.683 -0.468 -0.256  0.003],-429815300000000.0,159.69614,1.2061149,172.5125,-120.8272291251064,8.967925,-16.731895,84040,1.0025277
0.8046886,0.07560101,100,19,1.0074042,-3.5476685e-06,186.66775631904602,1900,22.756016,47.28,-434223540000000.0,[-0.377 -0.684 -0.467 -0.255  0.002],-434223540000000.0,166.62372,1.2106762,174.4186,-121.06271036198072,9.128845,-17.225563,88768,1.0053322
0.9534458,0.024087487,100,20,1.007299,5.340576e-07,197.57207369804382,2000,28.555859,50.81,-434223540000000.0,[-0.376 -0.682 -0.469 -0.256  0.002],-434223540000000.0,101.23876,1.0953691,160.10994,-121.95946959966602,9.194712,-16.803856,93849,1.000676
0.9075504,0.04199538,100,21,1.0062145,-7.019043e-06,207.9250237941742,2100,22.905502,46.5,-475956730000000.0,[-0.377 -0.683 -0.468 -0.256  0.002],-475956730000000.0,95.52619,1.1058501,177.6073,-120.69269351748237,8.143774,-15.788475,98499,1.0018274
0.919099,0.04205313,100,22,1.0064608,-4.119873e-06,218.27380466461182,2200,30.463058,50.04,-471131140000000.0,[-0.376 -0.682 -0.469 -0.256  0.002],-471131140000000.0,121.003204,1.1450214,163.04941,-121.75789622755616,9.412977,-16.855316,103503,1.0020099
0.7557903,0.10517488,100,23,1.0068111,-3.967285e-06,227.87509894371033,2300,27.84734,47.08,-471131140000000.0,[-0.377 -0.683 -0.468 -0.256  0.002],-471131140000000.0,307.7291,1.2888536,174.39839,-120.39928770987888,9.369148,-18.219162,108211,1.0119087
0.80923975,0.07862608,100,24,1.0091977,3.929138e-06,237.40168285369873,2400,27.851135,47.83,-388085860000000.0,[-0.378 -0.681 -0.469 -0.26   0.001],-388085860000000.0,178.23761,1.2194699,172.04488,-121.17644994646326,8.202861,-18.0253,112994,1.0048549
0.93378884,0.027310755,100,25,1.0064559,1.0299683e-06,246.67897868156433,2500,23.580612,47.67,-480831120000000.0,[-0.377 -0.68  -0.47  -0.261  0.002],-480831120000000.0,74.40058,1.0774399,173.68498,-121.9216417833,7.8016295,-17.272598,117761,1.0008832
0.7694378,0.06994865,100,26,1.0071639,6.1035155e-07,256.7158751487732,2600,23.236618,47.32,-384138960000000.0,[-0.377 -0.679 -0.471 -0.262  0.002],-384138960000000.0,155.7481,1.1813076,175.73761,-122.15652499995089,8.457832,-17.267448,122493,1.0043592
0.8566084,0.07292294,100,27,1.0073847,1.1825562e-06,266.8236618041992,2700,23.267883,47.16,-443174150000000.0,[-0.377 -0.678 -0.472 -0.263  0.002],-443174150000000.0,211.29889,1.2345628,174.22455,-120.46542332354258,8.749144,-18.122437,127209,1.0051556
0.9255826,0.033341125,100,28,1.0057735,-1.1062622e-06,276.8215842247009,2800,29.959797,48.03,-461624200000000.0,[-0.377 -0.679 -0.47  -0.262  0.002],-461624200000000.0,104.12869,1.1127292,171.21637,-121.25469317669855,8.736651,-14.045189,132012,1.0016127
0.92538303,0.026319291,100,29,1.0065608,-1.3732911e-06,286.3075203895569,2900,31.686817,48.29,-456941940000000.0,[-0.378 -0.68  -0.469 -0.261  0.002],-456941940000000.0,128.29826,1.074189,169.54082,-120.9991761907506,9.701052,-17.378113,136841,1.0009873
0.89620256,0.043048967,100,30,1.0052837,-1.9836425e-06,297.0647494792938,3000,23.06467,47.44,-438676400000000.0,[-0.378 -0.68  -0.469 -0.263  0.002],-438676400000000.0,141.78642,1.1640611,173.60904,-121.15986389423642,8.995242,-17.223938,141585,1.0023342
0.8757887,0.047552064,100,31,1.0075095,-2.4795531e-06,306.70595026016235,3100,26.495472,48.09,-396099630000000.0,[-0.379 -0.68  -0.469 -0.265  0.001],-396099630000000.0,102.44801,1.1530626,169.30849,-120.10569060173526,8.921981,-19.493408,146394,1.002559
0.8124642,0.0661284,100,32,1.0079417,-5.0735475e-06,316.68640518188477,3200,22.351887,46.73,-466353820000000.0,[-0.379 -0.68  -0.47  -0.263  0.001],-466353820000000.0,171.30994,1.2311578,176.10004,-120.26830024186029,8.558847,-18.250328,151067,1.0039464
0.79780614,0.070226796,100,33,1.0068232,3.2043456e-06,326.19617557525635,3300,28.208626,48.64,-443174150000000.0,[-0.378 -0.68  -0.471 -0.264  0.002],-443174150000000.0,185.13914,1.2357526,167.23267,-120.31478052271906,8.773658,-18.364319,155931,1.0053148
0.894051,0.04181751,100,34,1.0062375,5.0735475e-06,335.99213099479675,3400,19.244633,47.51,-404276180000000.0,[-0.379 -0.679 -0.472 -0.267  0.003],-404276180000000.0,113.526474,1.1333954,175.98795,-123.10449871231069,8.311365,-15.884262,160682,1.0018961
0.87154156,0.043334734,100,35,1.0067637,8.392334e-07,346.52968859672546,3500,33.009655,46.66,-456941940000000.0,[-0.379 -0.679 -0.471 -0.265  0.003],-456941940000000.0,114.301285,1.1231868,175.51373,-119.76526264228966,8.800458,-14.956055,165348,1.0019163
0.8373218,0.06543263,100,36,1.0085089,3.8146973e-06,355.90881633758545,3600,27.773582,47.28,-408426460000000.0,[-0.38  -0.678 -0.472 -0.266  0.001],-408426460000000.0,143.73224,1.2470187,174.13518,-120.8505008372689,8.625116,-12.436676,170076,1.0043311
0.6876564,0.116488375,100,37,1.0083481,4.5776366e-07,366.05103302001953,3700,40.197437,48.72,-412618680000000.0,[-0.381 -0.68  -0.471 -0.265  0.002],-412618680000000.0,403.53973,1.3651196,167.7216,-121.05031915872321,10.251856,-18.003113,174948,1.011635
0.9033322,0.035934296,100,38,1.006768,-4.196167e-07,376.1609134674072,3800,31.277172,47.91,-461624200000000.0,[-0.383 -0.679 -0.475 -0.267  0.006],-461624200000000.0,113.73016,1.1256835,171.1326,-120.83114070981418,9.142074,-17.261185,179739,1.0015309
0.6536927,0.12898634,100,39,1.006485,2.2888185e-06,385.0489020347595,3900,32.4663,48.5,-404276180000000.0,[-0.383 -0.68  -0.474 -0.267  0.006],-404276180000000.0,421.9599,1.5722482,168.81769,-121.30410713459253,9.429901,-16.553207,184589,1.0214276
0.8319249,0.06910087,100,40,1.0058322,-1.0681152e-06,393.6882495880127,4000,23.074863,47.83,-485754660000000.0,[-0.384 -0.678 -0.471 -0.272  0.008],-485754660000000.0,185.23804,1.2339511,172.11415,-121.31950430580359,8.481924,-17.075043,189372,1.004838
0.83577234,0.0510737,100,41,1.0074747,9.536743e-07,403.45546865463257,4100,24.344955,47.73,-485754660000000.0,[-0.385 -0.677 -0.471 -0.275  0.009],-485754660000000.0,125.09689,1.1013931,172.48221,-121.20704278937623,9.257245,-17.44239,194145,1.0025101
0.8249074,0.077268645,100,42,1.0064999,6.4849854e-07,412.85607647895813,4200,43.653034,47.27,-404276180000000.0,[-0.384 -0.676 -0.473 -0.275  0.008],-404276180000000.0,165.34102,1.3093436,173.23946,-120.28837307580426,8.824342,-17.83667,198872,1.0074838
0.9076096,0.04091514,100,43,1.00627,9.613037e-06,421.2447588443756,4300,35.97379,43.51,-452306460000000.0,[-0.386 -0.673 -0.476 -0.273  0.009],-452306460000000.0,164.05988,1.1843553,190.43178,-118.77372694582034,8.707459,-15.084114,203223,1.0013847
0.87114346,0.037051577,100,44,1.005865,4.9591063e-06,431.69837856292725,4400,22.316982,46.97,-447717360000000.0,[-0.386 -0.674 -0.475 -0.273  0.008],-447717360000000.0,128.76605,1.1039827,175.17986,-120.60082462903247,8.449855,-18.35534,207920,1.0017109
0.8828528,0.050452072,100,45,1.0069358,-7.5912476e-06,440.7327706813812,4500,26.418137,47.22,-434223540000000.0,[-0.387 -0.674 -0.474 -0.274  0.007],-434223540000000.0,157.18634,1.2452196,174.28056,-120.84828630401802,8.97498,-13.979652,212642,1.0020552
0.8800467,0.0524111,100,46,1.0052433,8.392334e-07,450.256228685379,4600,17.41835,45.56,-495751530000000.0,[-0.388 -0.675 -0.472 -0.274  0.007],-495751530000000.0,161.29012,1.1800299,179.75323,-118.87279030595086,8.226778,-16.85466,217198,1.0038193
0.8819376,0.039228983,100,47,1.0068636,-3.0899048e-06,460.5208809375763,4700,25.931572,47.13,-447717360000000.0,[-0.388 -0.676 -0.47  -0.275  0.006],-447717360000000.0,86.27836,1.1286602,176.51088,-122.15377669130073,7.9518824,-14.720634,221911,1.001656
0.92628324,0.03286022,100,48,1.0060092,8.010864e-07,471.19020199775696,4800,42.92515,46.78,-412618680000000.0,[-0.389 -0.676 -0.47  -0.273  0.006],-412618680000000.0,129.31804,1.1339861,173.85396,-118.90817290660249,9.009486,-17.35711,226589,1.0014148
0.9007919,0.045477286,100,49,1.0059327,-4.272461e-06,481.7193515300751,4900,22.329502,48.74,-380231540000000.0,[-0.389 -0.678 -0.469 -0.275  0.005],-380231540000000.0,147.55356,1.1997612,167.70029,-121.10187773246342,9.438423,-19.044098,231463,1.001981
0.8890866,0.041989975,100,50,1.007818,3.5858154e-06,491.3252692222595,5000,23.767857,48.57,-475956730000000.0,[-0.389 -0.679 -0.467 -0.274  0.006],-475956730000000.0,88.13748,1.1404307,168.26154,-120.939789057264,8.592241,-17.182953,236320,1.0016418
0.80746776,0.097795375,100,51,1.006049,-3.5095215e-06,501.434693813324,5100,23.85534,49.24,-429815300000000.0,[-0.389 -0.678 -0.468 -0.275  0.006],-429815300000000.0,325.99594,1.2832692,165.15596,-120.74277683855611,9.599216,-17.28952,241244,1.0096235
0.8977427,0.05578968,100,52,1.00837,-6.1035155e-07,510.75859785079956,5200,23.372036,47.94,-376363200000000.0,[-0.39  -0.68  -0.465 -0.276  0.006],-376363200000000.0,132.93314,1.191907,171.84856,-121.50965996873296,8.6922,-14.360481,246038,1.0032848
0.8251451,0.07047819,100,53,1.0066935,1.8692017e-06,520.8897974491119,5300,30.660942,48.18,-443174150000000.0,[-0.39  -0.682 -0.465 -0.275  0.008],-443174150000000.0,184.27467,1.1996919,171.7613,-122.25230124369428,9.117075,-18.23365,250856,1.0054183
0.84934324,0.06403863,100,54,1.006597,-3.929138e-06,531.3819942474365,5400,27.712002,47.76,-421130570000000.0,[-0.39  -0.681 -0.466 -0.277  0.008],-421130570000000.0,137.7029,1.1975341,172.62555,-121.46615115078097,9.195804,-16.102882,255632,1.0044897
0.8336338,0.062460117,100,55,1.0044887,-3.0899048e-06,540.4447057247162,5500,22.836952,45.72,-447717360000000.0,[-0.39  -0.68  -0.469 -0.275  0.009],-447717360000000.0,130.96419,1.1766311,178.01259,-118.27608121173543,8.306323,-17.141708,260204,1.0047172
0.90571404,0.037752476,100,56,1.0081003,2.1362305e-06,549.6634409427643,5600,23.062912,47.99,-471131140000000.0,[-0.391 -0.68  -0.471 -0.277  0.008],-471131140000000.0,107.43608,1.1249413,170.97502,-120.93684498295922,9.213989,-16.166939,265003,1.001591
0.883995,0.057446007,100,57,1.0075067,3.1280517e-06,558.5029215812683,5700,22.815002,46.9,-466353820000000.0,[-0.391 -0.68  -0.471 -0.275  0.008],-466353820000000.0,128.95288,1.1500304,175.54808,-120.59905883604638,7.8560004,-14.955589,269693,1.0031701
0.9029576,0.046907485,100,58,1.0066998,-4.4631956e-06,568.7868814468384,5800,29.27678,50.17,-421130570000000.0,[-0.39  -0.68  -0.47  -0.273  0.009],-421130570000000.0,135.34782,1.1249719,163.28369,-122.50508695995997,8.827464,-17.618011,274710,1.0026656
0.7711842,0.084367916,100,59,1.0079143,2.1743774e-06,578.3723788261414,5900,37.226566,46.07,-443174150000000.0,[-0.391 -0.68  -0.468 -0.273  0.009],-443174150000000.0,195.68364,1.3114579,179.51392,-120.6078083269902,8.744064,-14.877754,279317,1.0076495
0.8009338,0.073067546,100,60,1.0083658,-1.5640259e-06,588.6466951370239,6000,35.510242,47.67,-438676400000000.0,[-0.39  -0.68  -0.471 -0.275  0.009],-438676400000000.0,142.12424,1.187839,170.12715,-119.27095111375776,10.101635,-16.000015,284084,1.0053506
0.90902376,0.03539297,100,61,1.0070157,-1.8692017e-06,598.5935432910919,6100,23.900608,48.2,-384138960000000.0,[-0.39  -0.679 -0.473 -0.275  0.009],-384138960000000.0,118.75058,1.0974962,168.76712,-120.01643599925735,9.914429,-19.15667,288904,1.0013471
0.82274806,0.058121666,100,62,1.0073749,-5.7983398e-06,608.8489339351654,6200,28.056889,45.51,-480831120000000.0,[-0.39  -0.678 -0.474 -0.274  0.009],-480831120000000.0,140.15462,1.1605952,179.99971,-118.94081049160025,9.457392,-18.172287,293455,1.0030513
0.6835312,0.11211849,100,63,1.0062666,-2.5177003e-06,617.9853196144104,6300,20.991776,46.61,-443174150000000.0,[-0.39  -0.678 -0.475 -0.276  0.008],-443174150000000.0,388.24097,1.3857512,176.92403,-120.70364456340381,8.125629,-15.427307,298116,1.0153056
0.8456007,0.0547743,100,64,1.0075502,4.7302246e-06,628.2524440288544,6400,24.003067,47.32,-485754660000000.0,[-0.391 -0.682 -0.473 -0.279  0.008],-485754660000000.0,97.9945,1.1981597,172.34836,-119.64588554332866,8.335536,-18.940514,302848,1.0035138
0.92305887,0.028120788,100,65,1.00656,-6.790161e-06,637.0944135189056,6500,21.781021,44.7,-461624200000000.0,[-0.391 -0.682 -0.474 -0.277  0.008],-461624200000000.0,84.84241,1.079032,183.47559,-118.47984903246397,8.808945,-16.18766,307318,1.0007358
0.92524713,0.03235272,100,66,1.0076711,-5.340576e-07,648.2081186771393,6600,22.51392,49.39,-425451140000000.0,[-0.391 -0.681 -0.475 -0.278  0.008],-425451140000000.0,98.695755,1.0949037,163.76387,-120.31148413597568,8.183883,-16.320572,312257,1.0007946
0.86671984,0.07317296,100,67,1.0081011,-2.3651123e-06,658.4025375843048,6700,18.371704,47.87,-429815300000000.0,[-0.391 -0.681 -0.474 -0.278  0.009],-429815300000000.0,206.63788,1.3549013,167.91325,-118.17880340912207,7.775404,-18.595917,317044,1.00416
0.84082437,0.06664347,100,68,1.0072012,-3.6239624e-06,667.6863632202148,6800,34.66331,46.85,-443174150000000.0,[-0.393 -0.682 -0.473 -0.279  0.009],-443174150000000.0,195.66592,1.2208972,176.45822,-121.1029932727716,10.018586,-17.035767,321729,1.0035368
0.7472968,0.09374841,100,69,1.006521,6.67572e-06,677.5346825122833,6900,20.095581,45.87,-443174150000000.0,[-0.394 -0.683 -0.471 -0.278  0.008],-443174150000000.0,326.916,1.2970588,179.68146,-119.88732800702134,8.031703,-14.10051,326316,1.0086654
0.9428299,0.031018248,100,70,1.0070524,-7.400513e-06,686.8969902992249,7000,29.58633,48.95,-447717360000000.0,[-0.396 -0.683 -0.468 -0.281  0.007],-447717360000000.0,123.07769,1.089481,166.13937,-120.63450964150037,9.252643,-17.269669,331211,1.0008476
0.7774342,0.07162037,100,71,1.0097767,3.5858154e-06,695.8038372993469,7100,43.0512,49.85,-372533520000000.0,[-0.396 -0.683 -0.468 -0.281  0.007],-372533520000000.0,165.1042,1.2169496,162.9128,-121.25516616848589,10.109063,-17.59652,336196,1.0062621
0.7836088,0.07739866,100,72,1.0082328,-1.1100769e-05,705.3170917034149,7200,26.267605,47.47,-443174150000000.0,[-0.399 -0.678 -0.467 -0.278  0.003],-443174150000000.0,132.15997,1.2158849,172.83545,-120.65029614418006,8.804584,-17.487053,340943,1.005643
0.9005604,0.0340842,100,73,1.0063585,-9.918213e-07,714.1016473770142,7300,30.997402,47.15,-466353820000000.0,[-0.399 -0.677 -0.469 -0.278  0.003],-466353820000000.0,96.220535,1.0746393,174.00526,-120.39420529129852,8.61812,-16.809425,345658,1.0013516
0.8596991,0.05903132,100,74,1.0058544,-4.348755e-06,723.8354616165161,7400,21.90393,47.33,-471131140000000.0,[-0.399 -0.676 -0.47  -0.279  0.003],-471131140000000.0,127.51445,1.1886462,173.78915,-120.76072637754966,7.2557015,-16.028358,350391,1.0038704
0.89184725,0.037644513,100,75,1.0075234,2.8991699e-06,734.160215139389,7500,50.178406,48.87,-392072600000000.0,[-0.4   -0.675 -0.47  -0.281  0.002],-392072600000000.0,115.538246,1.1166483,167.34091,-121.31622481033239,9.616823,-17.364265,355278,1.0016224
0.6954247,0.1343993,100,76,1.0096275,1.1825562e-06,743.5258996486664,7600,29.907997,47.07,-447717360000000.0,[-0.4   -0.676 -0.469 -0.28   0.002],-447717360000000.0,287.37787,1.4468522,174.11885,-120.21487821718625,8.87505,-16.762878,359985,1.0185282
0.8842055,0.050764132,100,77,1.0086241,4.310608e-06,752.0859184265137,7700,25.270172,46.75,-452306460000000.0,[-0.394 -0.677 -0.472 -0.283  0.003],-452306460000000.0,85.15065,1.1396759,175.86299,-120.3398951192755,8.0136385,-17.709885,364660,1.0026288
0.8468445,0.07060172,100,78,1.0078777,3.4713746e-06,762.4708425998688,7800,26.686325,47.61,-400167340000000.0,[-0.394 -0.676 -0.473 -0.282  0.002],-400167340000000.0,128.67674,1.1725458,171.39336,-120.00340290196958,9.137645,-18.261086,369421,1.0045475
0.84258974,0.064974196,100,79,1.0058342,3.0899048e-06,771.5480270385742,7900,27.277046,46.62,-471131140000000.0,[-0.393 -0.674 -0.475 -0.282  0.002],-471131140000000.0,214.2063,1.2193832,172.84187,-117.68823510962149,9.421974,-16.454071,374083,1.0052712
0.765535,0.07393775,100,80,1.0062866,2.9373168e-06,781.2559266090393,8000,21.502605,46.66,-485754660000000.0,[-0.395 -0.673 -0.472 -0.283  0.002],-485754660000000.0,177.01933,1.2368864,177.63206,-121.32688766437248,8.252425,-14.481354,378749,1.0060078
0.93371016,0.03330552,100,81,1.0074439,-3.0517579e-06,790.6520273685455,8100,21.954529,48.82,-471131140000000.0,[-3.956e-01 -6.719e-01 -4.732e-01 -2.856e-01 -2.215e-04],-471131140000000.0,103.219696,1.1310827,164.62769,-118.8388339085463,8.465218,-19.572174,383631,1.001146
0.80680674,0.09145923,100,82,1.0081784,-3.4332277e-07,800.9558641910553,8200,31.270794,48.26,-376363200000000.0,[-3.957e-01 -6.726e-01 -4.725e-01 -2.851e-01 -2.767e-04],-376363200000000.0,269.9286,1.3576338,168.36484,-119.96863817570653,10.575706,-17.28643,388457,1.0068247
0.8135971,0.07108349,100,83,1.0097561,3.0517579e-06,810.6478543281555,8300,40.829586,47.36,-421130570000000.0,[-0.397 -0.671 -0.472 -0.282 -0.002],-421130570000000.0,177.75444,1.3060839,170.87451,-118.83912113086807,10.709157,-18.582603,393193,1.0042537
0.89984024,0.035717335,100,84,1.0060902,-1.4495849e-06,820.5403070449829,8400,26.300648,46.74,-416853250000000.0,[-3.955e-01 -6.703e-01 -4.734e-01 -2.818e-01 -2.550e-04],-416853250000000.0,110.673416,1.1231058,173.05421,-118.31737569730336,9.656438,-16.768257,397867,1.0013559
0.77394915,0.0656242,100,85,1.0093035,-5.0735475e-06,829.6915202140808,8500,20.794617,46.7,-396099630000000.0,[-3.955e-01 -6.693e-01 -4.743e-01 -2.821e-01 -1.682e-04],-396099630000000.0,145.02141,1.1967831,174.43222,-119.06944345320015,8.302198,-17.39296,402537,1.0054238
0.7741971,0.07731816,100,86,1.008527,-2.5177003e-06,839.0110366344452,8600,19.301903,45.29,-485754660000000.0,[-0.394 -0.669 -0.476 -0.284 -0.001],-485754660000000.0,201.94283,1.2552588,182.62424,-119.93770321493413,8.846867,-17.086937,407066,1.005831
0.92276204,0.032838833,100,87,1.0072758,5.989075e-06,847.3974645137787,8700,24.489895,44.31,-456941940000000.0,[-0.394 -0.668 -0.476 -0.287 -0.001],-456941940000000.0,77.83146,1.087197,186.14304,-118.85409888129739,8.610769,-14.013214,411497,1.00092
0.8761577,0.053486805,100,88,1.0072854,-7.476807e-06,855.1528408527374,8800,20.60019,44.42,-447717360000000.0,[-0.393 -0.668 -0.477 -0.287 -0.001],-447717360000000.0,150.15149,1.1820052,188.66005,-120.90610591230656,8.11074,-14.87574,415939,1.0026859
0.7699958,0.095311485,100,89,1.0050714,-2.2888183e-07,865.8696942329407,8900,43.28466,48.41,-404276180000000.0,[-0.393 -0.669 -0.477 -0.286 -0.001],-404276180000000.0,258.1035,1.2592866,165.89105,-118.63752773064768,10.041246,-19.463394,420780,1.0106382
0.92305183,0.039978538,100,90,1.0058099,1.1444092e-06,875.2117154598236,9000,25.013092,48.68,-429815300000000.0,[-0.394 -0.671 -0.475 -0.283  0.001],-429815300000000.0,152.77231,1.1230541,167.42838,-120.63818870327219,9.581607,-18.413101,425648,1.0018407
0.89891803,0.038612127,100,91,1.0071174,-3.013611e-06,884.6334965229034,9100,29.95129,46.53,-425451140000000.0,[-0.394 -0.672 -0.474 -0.283  0.001],-425451140000000.0,73.29658,1.1278816,175.4172,-119.25820043980514,8.087297,-14.862167,430301,1.0015774
0.6246468,0.2069474,100,92,1.0015574,-1.9073487e-07,894.3506026268005,9200,30.26447,46.44,-408426460000000.0,[-0.393 -0.672 -0.474 -0.282  0.002],-408426460000000.0,863.9738,2.035263,172.69763,-117.26765046452441,8.832785,-18.338928,434945,1.0488968
0.7679858,0.07610238,100,93,1.0075953,1.9454956e-06,903.5649170875549,9300,23.739365,47.26,-466353820000000.0,[-0.395 -0.669 -0.465 -0.277  0.003],-466353820000000.0,155.03949,1.2251972,173.5893,-120.43151657033032,8.995409,-15.916344,439671,1.0071722
0.91156507,0.03939477,100,94,1.0074309,-3.2806397e-06,913.5226233005524,9400,22.690102,47.57,-490727960000000.0,[-0.394 -0.668 -0.468 -0.278  0.002],-490727960000000.0,104.98973,1.1640898,173.84125,-121.66920843949707,8.749272,-14.386772,444428,1.0017862
0.52086323,0.25324884,100,95,1.0076361,2.5558472e-06,922.1024432182312,9500,25.387573,47.01,-461624200000000.0,[-0.393 -0.668 -0.469 -0.277  0.002],-461624200000000.0,1195.7001,2.2022662,173.12172,-119.17388780839524,8.985892,-17.292969,449129,1.0635718
0.8953917,0.041610822,100,96,1.0076566,-2.0217894e-06,930.3587954044342,9600,23.32801,44.8,-500825800000000.0,[-0.4   -0.659 -0.476 -0.276 -0.007],-500825800000000.0,81.4035,1.1220511,184.27151,-119.30473489430155,8.438986,-16.267036,453609,1.00224
0.9031153,0.04225926,100,97,1.0069833,-5.1116945e-06,939.6923675537109,9700,20.569645,46.94,-485754660000000.0,[-0.398 -0.66  -0.478 -0.276 -0.008],-485754660000000.0,87.54649,1.1727563,174.63911,-120.02651934317072,8.280221,-17.254906,458303,1.0020525
0.90923387,0.038753446,100,98,1.0064814,-6.2942504e-06,949.7275824546814,9800,25.905468,45.9,-505951340000000.0,[-0.399 -0.66  -0.479 -0.274 -0.01 ],-505951340000000.0,105.26499,1.1065869,179.0218,-119.59081941400298,8.483696,-15.0110855,462893,1.0015677
