EpisodesSoFar,TimestepsSoFar,InitialBound,EpLenMean,Weights,InitialReturnStd,StdIW,MeanIW,Bound,InitialReturnMax,InitialReturnMean,EpThisIter,EmpiricalD2,InitialReturnMin,ReturnMeanIW,J_sample_variance,MinIW,TimeElapsed,Iteration,MaxIW,EpRewMean
4700,221911,-1484910600000000.0,47.13,[-0.388 -0.676 -0.47  -0.275  0.006],7.9518824,0.039228983,1.0068636,-1484910600000000.0,25.931572,-3.0899048e-06,100,1.001656,-14.720634,176.51088,86.27836,0.8819376,517.6998586654663,47,1.1286602,-122.15377669130073
4800,226589,-1368501400000000.0,46.78,[-0.389 -0.676 -0.47  -0.273  0.006],9.009486,0.03286022,1.0060092,-1368501400000000.0,42.92515,8.010864e-07,100,1.0014148,-17.35711,173.85396,129.31804,0.92628324,528.3298225402832,48,1.1339861,-118.90817290660249
4900,231463,-1261085300000000.0,48.74,[-0.389 -0.678 -0.469 -0.275  0.005],9.438423,0.045477286,1.0059327,-1261085300000000.0,22.329502,-4.272461e-06,100,1.001981,-19.044098,167.70029,147.55356,0.9007919,539.2217433452606,49,1.1997612,-121.10187773246342
5000,236320,-1578569900000000.0,48.57,[-0.389 -0.679 -0.467 -0.274  0.006],8.592241,0.041989975,1.007818,-1578569900000000.0,23.767857,3.5858154e-06,100,1.0016418,-17.182953,168.26154,88.13748,0.8890866,550.9330866336823,50,1.1404307,-120.939789057264
5100,241244,-1425536000000000.0,49.24,[-0.389 -0.678 -0.468 -0.275  0.006],9.599216,0.097795375,1.006049,-1425536000000000.0,23.85534,-3.5095215e-06,100,1.0096235,-17.28952,165.15596,325.99594,0.80746776,561.7924041748047,51,1.2832692,-120.74277683855611
5200,246038,-1248255500000000.0,47.94,[-0.39  -0.68  -0.465 -0.276  0.006],8.6922,0.05578968,1.00837,-1248255500000000.0,23.372036,-6.1035155e-07,100,1.0032848,-14.360481,171.84856,132.93314,0.8977427,572.502126455307,52,1.191907,-121.50965996873296
5300,250856,-1469842500000000.0,48.18,[-0.39  -0.682 -0.465 -0.275  0.008],9.117075,0.07047819,1.0066935,-1469842500000000.0,30.660942,1.8692017e-06,100,1.0054183,-18.23365,171.7613,184.27467,0.8251451,584.1680829524994,53,1.1996919,-122.25230124369428
5400,255632,-1396732200000000.0,47.76,[-0.39  -0.681 -0.466 -0.277  0.008],9.195804,0.06403863,1.006597,-1396732200000000.0,27.712002,-3.929138e-06,100,1.0044897,-16.102882,172.62555,137.7029,0.84934324,594.7180864810944,54,1.1975341,-121.46615115078097
5500,260204,-1484910600000000.0,45.72,[-0.39  -0.68  -0.469 -0.275  0.009],8.306323,0.062460117,1.0044887,-1484910600000000.0,22.836952,-3.0899048e-06,100,1.0047172,-17.141708,178.01259,130.96419,0.8336338,605.7641270160675,55,1.1766311,-118.27608121173543
5600,265003,-1562565200000000.0,47.99,[-0.391 -0.68  -0.471 -0.277  0.008],9.213989,0.037752476,1.0081003,-1562565200000000.0,23.062912,2.1362305e-06,100,1.001591,-16.166939,170.97502,107.43608,0.90571404,617.055273771286,56,1.1249413,-120.93684498295922
5700,269693,-1546720500000000.0,46.9,[-0.391 -0.68  -0.471 -0.275  0.008],7.8560004,0.057446007,1.0075067,-1546720500000000.0,22.815002,3.1280517e-06,100,1.0031701,-14.955589,175.54808,128.95288,0.883995,626.4157900810242,57,1.1500304,-120.59905883604638
5800,274710,-1396732200000000.0,50.17,[-0.39  -0.68  -0.47  -0.273  0.009],8.827464,0.046907485,1.0066998,-1396732200000000.0,29.27678,-4.4631956e-06,100,1.0026656,-17.618011,163.28369,135.34782,0.9029576,637.9977807998657,58,1.1249719,-122.50508695995997
5900,279317,-1469842500000000.0,46.07,[-0.391 -0.68  -0.468 -0.273  0.009],8.744064,0.084367916,1.0079143,-1469842500000000.0,37.226566,2.1743774e-06,100,1.0076495,-14.877754,179.51392,195.68364,0.7711842,648.5934205055237,59,1.3114579,-120.6078083269902
6000,284084,-1454925000000000.0,47.67,[-0.39  -0.68  -0.471 -0.275  0.009],10.101635,0.073067546,1.0083658,-1454925000000000.0,35.510242,-1.5640259e-06,100,1.0053506,-16.000015,170.12715,142.12424,0.8009338,660.1339881420135,60,1.187839,-119.27095111375776
6100,288904,-1274044700000000.0,48.2,[-0.39  -0.679 -0.473 -0.275  0.009],9.914429,0.03539297,1.0070157,-1274044700000000.0,23.900608,-1.8692017e-06,100,1.0013471,-19.15667,168.76712,118.75058,0.90902376,670.7031757831573,61,1.0974962,-120.01643599925735
6200,293455,-1594736400000000.0,45.51,[-0.39  -0.678 -0.474 -0.274  0.009],9.457392,0.058121666,1.0073749,-1594736400000000.0,28.056889,-5.7983398e-06,100,1.0030513,-18.172287,179.99971,140.15462,0.82274806,681.1734418869019,62,1.1605952,-118.94081049160025
6300,298116,-1469842500000000.0,46.61,[-0.39  -0.678 -0.475 -0.276  0.008],8.125629,0.11211849,1.0062666,-1469842500000000.0,20.991776,-2.5177003e-06,100,1.0153056,-15.427307,176.92403,388.24097,0.6835312,692.1910116672516,63,1.3857512,-120.70364456340381
6400,302848,-1611066000000000.0,47.32,[-0.391 -0.682 -0.473 -0.279  0.008],8.335536,0.0547743,1.0075502,-1611066000000000.0,24.003067,4.7302246e-06,100,1.0035138,-18.940514,172.34836,97.9945,0.8456007,701.2602050304413,64,1.1981597,-119.64588554332866
6500,307318,-1531034400000000.0,44.7,[-0.391 -0.682 -0.474 -0.277  0.008],8.808945,0.028120788,1.00656,-1531034400000000.0,21.781021,-6.790161e-06,100,1.0007358,-16.18766,183.47559,84.84241,0.92305887,710.8747777938843,65,1.079032,-118.47984903246397
6600,312257,-1411061800000000.0,49.39,[-0.391 -0.681 -0.475 -0.278  0.008],8.183883,0.03235272,1.0076711,-1411061800000000.0,22.51392,-5.340576e-07,100,1.0007946,-16.320572,163.76387,98.695755,0.92524713,722.27800822258,66,1.0949037,-120.31148413597568
6700,317044,-1425536000000000.0,47.87,[-0.391 -0.681 -0.474 -0.278  0.009],7.775404,0.07317296,1.0081011,-1425536000000000.0,18.371704,-2.3651123e-06,100,1.00416,-18.595917,167.91325,206.63788,0.86671984,732.9061739444733,67,1.3549013,-118.17880340912207
6800,321729,-1469842500000000.0,46.85,[-0.393 -0.682 -0.473 -0.279  0.009],10.018586,0.06664347,1.0072012,-1469842500000000.0,34.66331,-3.6239624e-06,100,1.0035368,-17.035767,176.45822,195.66592,0.84082437,743.7248055934906,68,1.2208972,-121.1029932727716
6900,326316,-1469842500000000.0,45.87,[-0.394 -0.683 -0.471 -0.278  0.008],8.031703,0.09374841,1.006521,-1469842500000000.0,20.095581,6.67572e-06,100,1.0086654,-14.10051,179.68146,326.916,0.7472968,754.3846633434296,69,1.2970588,-119.88732800702134
7000,331211,-1484910600000000.0,48.95,[-0.396 -0.683 -0.468 -0.281  0.007],9.252643,0.031018248,1.0070524,-1484910600000000.0,29.58633,-7.400513e-06,100,1.0008476,-17.269669,166.13937,123.07769,0.9428299,765.7845027446747,70,1.089481,-120.63450964150037
7100,336196,-1235554000000000.0,49.85,[-0.396 -0.683 -0.468 -0.281  0.007],10.109063,0.07162037,1.0097767,-1235554000000000.0,43.0512,3.5858154e-06,100,1.0062621,-17.59652,162.9128,165.1042,0.7774342,777.0546028614044,71,1.2169496,-121.25516616848589
7200,340943,-1469842500000000.0,47.47,[-0.399 -0.678 -0.467 -0.278  0.003],8.804584,0.07739866,1.0082328,-1469842500000000.0,26.267605,-1.1100769e-05,100,1.005643,-17.487053,172.83545,132.15997,0.7836088,787.6812763214111,72,1.2158849,-120.65029614418006
7300,345658,-1546720500000000.0,47.15,[-0.399 -0.677 -0.469 -0.278  0.003],8.61812,0.0340842,1.0063585,-1546720500000000.0,30.997402,-9.918213e-07,100,1.0013516,-16.809425,174.00526,96.220535,0.9005604,798.3513851165771,73,1.0746393,-120.39420529129852
7400,350391,-1562565200000000.0,47.33,[-0.399 -0.676 -0.47  -0.279  0.003],7.2557015,0.05903132,1.0058544,-1562565200000000.0,21.90393,-4.348755e-06,100,1.0038704,-16.028358,173.78915,127.51445,0.8596991,809.4392879009247,74,1.1886462,-120.76072637754966
7500,355278,-1300357700000000.0,48.87,[-0.4   -0.675 -0.47  -0.281  0.002],9.616823,0.037644513,1.0075234,-1300357700000000.0,50.178406,2.8991699e-06,100,1.0016224,-17.364265,167.34091,115.538246,0.89184725,819.9770519733429,75,1.1166483,-121.31622481033239
7600,359985,-1484910600000000.0,47.07,[-0.4   -0.676 -0.469 -0.28   0.002],8.87505,0.1343993,1.0096275,-1484910600000000.0,29.907997,1.1825562e-06,100,1.0185282,-16.762878,174.11885,287.37787,0.6954247,830.7489449977875,76,1.4468522,-120.21487821718625
7700,364660,-1500130900000000.0,46.75,[-0.394 -0.677 -0.472 -0.283  0.003],8.0136385,0.050764132,1.0086241,-1500130900000000.0,25.270172,4.310608e-06,100,1.0026288,-17.709885,175.86299,85.15065,0.8842055,842.4159274101257,77,1.1396759,-120.3398951192755
7800,369421,-1327205000000000.0,47.61,[-0.394 -0.676 -0.473 -0.282  0.002],9.137645,0.07060172,1.0078777,-1327205000000000.0,26.686325,3.4713746e-06,100,1.0045475,-18.261086,171.39336,128.67674,0.8468445,853.3703110218048,78,1.1725458,-120.00340290196958
7900,374083,-1562565200000000.0,46.62,[-0.393 -0.674 -0.475 -0.282  0.002],9.421974,0.064974196,1.0058342,-1562565200000000.0,27.277046,3.0899048e-06,100,1.0052712,-16.454071,172.84187,214.2063,0.84258974,864.7148671150208,79,1.2193832,-117.68823510962149
8000,378749,-1611066000000000.0,46.66,[-0.395 -0.673 -0.472 -0.283  0.002],8.252425,0.07393775,1.0062866,-1611066000000000.0,21.502605,2.9373168e-06,100,1.0060078,-14.481354,177.63206,177.01933,0.765535,875.6161558628082,80,1.2368864,-121.32688766437248
8100,383631,-1562565200000000.0,48.82,[-3.956e-01 -6.719e-01 -4.732e-01 -2.856e-01 -2.215e-04],8.465218,0.03330552,1.0074439,-1562565200000000.0,21.954529,-3.0517579e-06,100,1.001146,-19.572174,164.62769,103.219696,0.93371016,886.0207154750824,81,1.1310827,-118.8388339085463
8200,388457,-1248255500000000.0,48.26,[-3.957e-01 -6.726e-01 -4.725e-01 -2.851e-01 -2.767e-04],10.575706,0.09145923,1.0081784,-1248255500000000.0,31.270794,-3.4332277e-07,100,1.0068247,-17.28643,168.36484,269.9286,0.80680674,896.351015329361,82,1.3576338,-119.96863817570653
8300,393193,-1396732200000000.0,47.36,[-0.397 -0.671 -0.472 -0.282 -0.002],10.709157,0.07108349,1.0097561,-1396732200000000.0,40.829586,3.0517579e-06,100,1.0042537,-18.582603,170.87451,177.75444,0.8135971,906.3052380084991,83,1.3060839,-118.83912113086807
8400,397867,-1382545800000000.0,46.74,[-3.955e-01 -6.703e-01 -4.734e-01 -2.818e-01 -2.550e-04],9.656438,0.035717335,1.0060902,-1382545800000000.0,26.300648,-1.4495849e-06,100,1.0013559,-16.768257,173.05421,110.673416,0.89984024,916.7439374923706,84,1.1231058,-118.31737569730336
8500,402537,-1313714000000000.0,46.7,[-3.955e-01 -6.693e-01 -4.743e-01 -2.821e-01 -1.682e-04],8.302198,0.0656242,1.0093035,-1313714000000000.0,20.794617,-5.0735475e-06,100,1.0054238,-17.39296,174.43222,145.02141,0.77394915,927.6774048805237,85,1.1967831,-119.06944345320015
8600,407066,-1611066000000000.0,45.29,[-0.394 -0.669 -0.476 -0.284 -0.001],8.846867,0.07731816,1.008527,-1611066000000000.0,19.301903,-2.5177003e-06,100,1.005831,-17.086937,182.62424,201.94283,0.7741971,937.8992516994476,86,1.2552588,-119.93770321493413
8700,411497,-1515505100000000.0,44.31,[-0.394 -0.668 -0.476 -0.287 -0.001],8.610769,0.032838833,1.0072758,-1515505100000000.0,24.489895,5.989075e-06,100,1.00092,-14.013214,186.14304,77.83146,0.92276204,947.8876810073853,87,1.087197,-118.85409888129739
8800,415939,-1484910600000000.0,44.42,[-0.393 -0.668 -0.477 -0.287 -0.001],8.11074,0.053486805,1.0072854,-1484910600000000.0,20.60019,-7.476807e-06,100,1.0026859,-14.87574,188.66005,150.15149,0.8761577,958.3013429641724,88,1.1820052,-120.90610591230656
8900,420780,-1340832400000000.0,48.41,[-0.393 -0.669 -0.477 -0.286 -0.001],10.041246,0.095311485,1.0050714,-1340832400000000.0,43.28466,-2.2888183e-07,100,1.0106382,-19.463394,165.89105,258.1035,0.7699958,969.4134175777435,89,1.2592866,-118.63752773064768
9000,425648,-1425536000000000.0,48.68,[-0.394 -0.671 -0.475 -0.283  0.001],9.581607,0.039978538,1.0058099,-1425536000000000.0,25.013092,1.1444092e-06,100,1.0018407,-18.413101,167.42838,152.77231,0.92305183,980.3354203701019,90,1.1230541,-120.63818870327219
9100,430301,-1411061800000000.0,46.53,[-0.394 -0.672 -0.474 -0.283  0.001],8.087297,0.038612127,1.0071174,-1411061800000000.0,29.95129,-3.013611e-06,100,1.0015774,-14.862167,175.4172,73.29658,0.89891803,991.2047433853149,91,1.1278816,-119.25820043980514
9200,434945,-1354597400000000.0,46.44,[-0.393 -0.672 -0.474 -0.282  0.002],8.832785,0.2069474,1.0015574,-1354597400000000.0,30.26447,-1.9073487e-07,100,1.0488968,-18.338928,172.69763,863.9738,0.6246468,1001.0298345088959,92,2.035263,-117.26765046452441
9300,439671,-1546720500000000.0,47.26,[-0.395 -0.669 -0.465 -0.277  0.003],8.995409,0.07610238,1.0075953,-1546720500000000.0,23.739365,1.9454956e-06,100,1.0071722,-15.916344,173.5893,155.03949,0.7679858,1011.0778245925903,93,1.2251972,-120.43151657033032
9400,444428,-1627560700000000.0,47.57,[-0.394 -0.668 -0.468 -0.278  0.002],8.749272,0.03939477,1.0074309,-1627560700000000.0,22.690102,-3.2806397e-06,100,1.0017862,-14.386772,173.84125,104.98973,0.91156507,1021.9750363826752,94,1.1640898,-121.66920843949707
9500,449129,-1531034400000000.0,47.01,[-0.393 -0.668 -0.469 -0.277  0.002],8.985892,0.25324884,1.0076361,-1531034400000000.0,25.387573,2.5558472e-06,100,1.0635718,-17.292969,173.12172,1195.7001,0.52086323,1032.4751651287079,95,2.2022662,-119.17388780839524
9600,453609,-1661051400000000.0,44.8,[-0.4   -0.659 -0.476 -0.276 -0.007],8.438986,0.041610822,1.0076566,-1661051400000000.0,23.32801,-2.0217894e-06,100,1.00224,-16.267036,184.27151,81.4035,0.8953917,1042.8622162342072,96,1.1220511,-119.30473489430155
