Iteration,EmpiricalD2,TimeElapsed,EpLenMean,Bound,StdIW,EpThisIter,InitialReturnMax,MinIW,TimestepsSoFar,InitialReturnMin,EpisodesSoFar,MeanIW,EpRewMean,InitialReturnMean,Weights,MaxIW,InitialReturnStd,InitialBound,J_sample_variance,ReturnMeanIW
20,inf,1000.1156301498413,385.11,1.5696337,0.7554356,100,4.371854,,409768,-13.150809,2000,0.031034477,-404.71313617429047,-3.1471254e-07,[-0.113 -0.65  -0.026  1.169 -1.814],84.22327,4.221364,-0.9547412,11.631293,1.5696337
21,1.2214103e+22,1091.1119363307953,384.89,1.7125648,2.8090088,100,4.513748,2.8763915e-17,448257,-13.248543,2100,0.28746495,-403.5617746795982,-2.3841858e-07,[-0.177 -0.638 -0.075  1.2   -1.828],179.57222,4.7056594,-1.267754,5.6449885,1.7125648
22,1.0423463e+35,1174.985517024994,351.31,22.761377,170.37518,100,5.124453,2.78771e-27,483388,-14.060904,2200,4.2240186,-377.55427628721577,-8.773804e-07,[-0.162 -0.642 -0.081  1.272 -1.814],17254.164,5.270348,-1.919868,35365.6,22.761377
23,8.530548e+26,1267.9123623371124,389.82,1.4603732,46.51965,100,3.627657,2.705722e-23,522370,-13.358606,2300,2.368511,-407.8901116761666,4.1007996e-07,[-0.167 -0.592 -0.077  1.29  -1.829],2377.0452,4.5109615,-1.2330463,2.1377366,1.4603732
24,inf,1352.1909613609314,356.62,9.134263,6.8417625,100,5.2176085,,558032,-13.125667,2400,0.12314714,-381.9623929169552,-2.5749208e-07,[-0.143 -0.559 -0.08   1.299 -1.826],1153.0481,4.6667128,-1.3055261,6788.8247,9.134263
25,inf,1438.1315586566925,360.82,1.9164276,4.293266,100,5.6376348,,594114,-14.152561,2500,0.10170795,-385.33313283520823,-3.862381e-07,[-0.125 -0.64  -0.054  1.409 -1.83 ],502.15665,5.3124967,-1.7715052,21.67026,1.9164276
26,inf,1523.8170223236084,360.95,4.480018,2.2961566,100,4.9797325,,630209,-11.401064,2600,0.04352856,-385.96078768961496,-1.2683869e-06,[-0.136 -0.692 -0.029  1.367 -1.787],253.29395,4.92811,-1.6945024,1276.226,4.480018
27,inf,1614.0936579704285,413.76,8.110149,473.9768,100,3.5964289,,671585,-13.498175,2700,6.29458,-424.73173220196423,2.0980835e-07,[-0.177 -0.993 -0.046  1.518 -1.788],82209.34,3.872602,-0.58446574,4754.9824,8.110149
28,inf,1694.4040787220001,356.3,2.4804027,43.4736,100,4.365741,5.4494e-33,707215,-12.888565,2800,1.9405563,-380.1827588041648,-2.2888183e-07,[-0.16  -0.941 -0.018  1.57  -1.785],4241.388,4.8082356,-1.3781861,37.004704,2.4804027
29,inf,1789.9059617519379,413.53,2.705341,0.63783693,100,4.236185,,748568,-13.193802,2900,0.04287808,-425.2108591211677,-9.918213e-07,[-0.158 -1.051 -0.018  1.627 -1.75 ],91.80534,4.4566975,-0.8546269,154.39934,2.705341
30,16438284000000.0,1889.065174818039,437.44,1.3574628,0.81307364,100,3.7697926,9.274908e-10,792312,-13.959311,3000,0.35923594,-442.2059812791301,-2.5749208e-07,[-0.17  -1.157 -0.026  1.528 -1.858],17.967625,4.1274014,-0.37925276,1.7145296,1.3574628
31,inf,1984.8496856689453,423.12,1.4389563,1.1694667,100,4.042246,,834624,-12.392522,3100,0.11862325,-430.7763238403801,4.1007996e-07,[-0.18  -1.182 -0.025  1.511 -1.858],45.736565,4.0711203,-0.5030263,2.777468,1.4389563
32,inf,2085.1404020786285,442.34,1.2673162,6.9587326,100,4.258136,,878858,-12.263407,3200,0.10133451,-446.5372071347541,-7.8201293e-07,[-0.154 -1.131 -0.012  1.549 -1.858],1167.7318,3.5746794,-0.13279185,18.905027,1.2673162
33,inf,2182.0655550956726,423.27,2.0255144,2.2257462,100,3.9552221,,921185,-12.2341795,3300,0.11639056,-432.4434655993263,-7.1525574e-07,[-0.14  -1.149  0.034  1.562 -1.874],211.21683,3.77218,-0.32986176,36.834053,2.0255144
34,4.9867152e+25,2280.6092631816864,437.52,1.6278555,1.9293373,100,3.803156,1.1840542e-17,964937,-12.137762,3400,0.33650413,-442.56023470059404,4.7683717e-08,[-0.118 -1.18   0.004  1.575 -1.877],125.84957,3.8077583,-0.19026852,3.3802493,1.6278555
35,inf,2377.916243314743,428.09,0.8004693,0.73307496,100,3.65668,,1007746,-14.541621,3500,0.08597382,-435.86486950269597,3.6239624e-07,[-0.135 -1.143  0.008  1.596 -1.862],63.66892,3.8120694,-0.270108,7.5315504,0.8004693
36,inf,2467.718184709549,418.44,1.4008518,2.6116657,100,3.806468,,1049590,-12.315163,3600,0.07532982,-429.0219317129421,4.196167e-07,[-0.129 -1.128 -0.029  1.613 -1.861],398.9301,3.8611543,-0.59202725,12.67142,1.4008518
37,inf,2553.3786821365356,404.1,9.99863,8.192925,100,4.3487787,,1090000,-13.239523,3700,0.10208941,-417.2007389375111,-2.002716e-07,[-0.133 -1.136 -0.07   1.597 -1.861],1420.5225,4.1987376,-0.7528494,8172.053,9.99863
38,inf,2640.7336246967316,418.49,1.175855,13.47256,100,4.173485,,1131849,-12.227884,3800,0.26662612,-426.50408962748025,8.9645386e-07,[-0.172 -1.294 -0.113  1.666 -1.85 ],1285.5872,3.9006445,-0.55868775,4.1833816,1.175855
39,inf,2734.307456254959,427.95,1.7508744,8.817428,100,4.2870216,9.4488194e-26,1174644,-13.809074,3900,0.3542134,-432.39544694743665,7.1525574e-07,[-0.184 -1.298 -0.148  1.68  -1.846],551.2514,3.928555,-0.4712554,16.428904,1.7508744
40,inf,2833.028119802475,442.52,2.6652815,6.694099,100,3.7545767,,1218896,-11.668998,4000,0.1477324,-441.7604954657493,-1.14440915e-07,[-0.201 -1.321 -0.164  1.639 -1.851],885.8074,3.1804514,0.009117789,173.86093,2.6652815
41,inf,2926.679943561554,413.51,1.2747773,0.26792234,100,4.4642153,,1260247,-14.200941,4100,0.010974048,-421.97429933134276,2.3841858e-07,[-0.166 -1.255 -0.103  1.705 -1.868],30.274837,4.434148,-0.70016384,12.836788,1.2747773
42,inf,3015.1037197113037,388.45,1.6236604,1.2291819,100,4.8562965,,1299092,-12.654161,4200,0.090783514,-406.17649241916587,4.7683716e-07,[-0.176 -1.268 -0.158  1.708 -1.87 ],121.040985,4.408032,-0.7397036,2.04943,1.6236604
43,inf,3065.920532464981,232.44,9.129661,20.567863,100,5.1566367,,1322336,-13.920886,4300,0.23657836,-323.2871599043651,1.001358e-06,[-0.159 -1.24  -0.168  1.727 -1.869],3479.6133,4.8237166,2.4651926,1008.04614,9.129661
44,inf,3160.685508966446,447.12,2.5302312,57.747612,100,3.8904896,,1367048,-12.346171,4400,0.5694035,-448.04352480012,3.4332277e-07,[-0.176 -1.315 -0.131  1.703 -1.86 ],11976.484,3.5951085,-0.21583374,352.79086,2.5302312
45,inf,3238.058653116226,368.66,1.5292383,0.80225277,100,4.592495,5.0858867e-36,1403914,-13.416757,4500,0.110531785,-392.6287870870806,5.4359435e-07,[-0.186 -1.322 -0.169  1.708 -1.858],59.049965,4.23812,-0.31114033,7.0827723,1.5292383
46,5.6758466e+26,3330.8017299175262,456.84,1.1869235,100.98393,100,3.8396559,7.830532e-20,1449598,-12.7429,4600,5.0932164,-456.395961778723,7.6770783e-07,[-0.195 -1.331 -0.151  1.702 -1.858],5649.6562,2.940277,-0.059920974,2.6861572,1.1869235
47,inf,3423.5213537216187,432.76,3.8815227,12.642258,100,4.473803,,1492874,-14.294759,4700,0.21815926,-432.07821977082307,6.9618227e-07,[-0.227 -1.365 -0.161  1.714 -1.854],1682.9664,4.009077,-0.28477618,613.3834,3.8815227
48,inf,3523.6051280498505,432.95,2.872818,5.9106145,100,4.2248,,1536169,-14.188318,4800,0.06811348,-430.79766298736706,-4.2915343e-07,[-0.371 -1.33  -0.116  1.773 -1.805],1264.5206,3.359182,-0.3229229,570.65607,2.872818
49,inf,3632.9270939826965,476.08,1.2279621,1.794791,100,3.397749,,1583777,-8.825631,4900,0.051329102,-461.40538703502006,-1.8119812e-07,[-0.433 -1.478 -0.048  1.667 -1.88 ],224.20514,2.0485446,0.4991818,23.410418,1.2279621
50,inf,3747.3994987010956,490.4,4.4548116,11.871758,100,3.6368794,,1632817,-10.902395,5000,0.26880205,-463.1518107723099,-6.8664554e-07,[-0.465 -1.487 -0.091  1.628 -1.894],735.7702,1.8460937,0.69538665,1361.2793,4.4548116
51,3.887918e+19,3859.088666200638,485.58,2.1607642,10.140418,100,3.4549103,3.543386e-16,1681375,-11.697835,5100,0.80576736,-465.5933494802954,-5.4359435e-07,[-0.444 -1.453 -0.042  1.624 -1.897],661.0659,2.175145,0.62498766,43.5116,2.1607642
52,inf,3970.971480369568,495.19,19.371885,14.527124,100,3.331377,,1730894,-10.438523,5200,0.06939557,-475.9824981198476,-1.2874604e-07,[-0.437 -1.403 -0.031  1.56  -1.904],3247.9497,1.631007,0.7481116,36599.258,19.371885
53,inf,4083.29994392395,485.61,1.7146515,2.0863035,100,3.296566,,1779455,-9.809131,5300,0.06570877,-451.5162982076549,6.3419344e-07,[-0.495 -1.356 -0.125  1.466 -1.937],398.73364,2.0580008,0.54357666,61.105186,1.7146515
54,1.4281587e+25,4192.092375993729,475.96,0.6516035,7.974214,100,3.7372909,1.6491813e-29,1827051,-11.723164,5400,0.45997173,-450.1465133407975,-6.580353e-07,[-0.472 -1.38  -0.165  1.523 -1.941],599.0592,2.625566,0.10163668,1.4958552,0.6516035
55,190662890000.0,4297.38027882576,490.41,0.6277675,4.614871,100,2.8926363,9.148908e-15,1876092,-9.485842,5500,0.89726776,-461.033811116695,-3.0517577e-07,[-0.481 -1.389 -0.154  1.514 -1.942],158.36723,1.7062001,0.4199432,2.009444,0.6277675
56,inf,4403.182218551636,475.98,3.4541488,1.2772201,100,4.8198385,,1923690,-11.798351,5600,0.02472789,-452.36928762437236,-6.294251e-07,[-0.487 -1.398 -0.15   1.506 -1.942],196.58531,2.5070035,0.1489383,959.75757,3.4541488
57,4.7370205e+35,4513.106310844421,490.42,1.8555053,6.082219,100,3.5852232,2.6567226e-29,1972732,-8.35474,5700,0.28670958,-465.9250513314587,6.389618e-07,[-0.425 -1.4   -0.15   1.331 -1.926],762.0376,1.6751653,0.7030152,134.77715,1.8555053
58,inf,4621.678750276566,480.87,2.0156875,8.636011,100,3.3794055,,2020819,-9.496347,5800,0.10405723,-458.10947500717344,-4.2915343e-07,[-0.427 -1.415 -0.134  1.365 -1.932],1837.496,1.9019356,0.6530403,140.64627,2.0156875
