EmpiricalD2,EpThisIter,TimeElapsed,MeanIW,EpisodesSoFar,StdIW,InitialReturnMin,Bound,Weights,ReturnMeanIW,InitialReturnMean,InitialBound,Iteration,EpLenMean,MinIW,TimestepsSoFar,EpRewMean,J_sample_variance,MaxIW,InitialReturnMax,InitialReturnStd
1044848.94,100,371.0369770526886,0.16687456,2300,0.5210335,-13.334906,35.633125,[-2.496 -0.44   2.566  0.573 -1.433],35.633125,6.8664554e-07,31.164616,23,23.31,4.0856875e-07,150829,-113.11523527092965,815.53015,22.000158,13.139003,6.3931317
inf,100,378.7575044631958,14.496199,2400,3045.2297,-11.069775,16780.514,[-2.501 -0.396  2.553  0.616 -1.464],16780.514,1.859665e-06,31.951681,24,22.28,,153057,-112.21666471463816,28097245000.0,679776.06,14.862674,6.4303904
8.860702e+29,100,390.16722989082336,372.81287,2500,4309.0337,-13.988119,7849.8022,[-2.48  -0.33   2.472  0.436 -1.512],7849.8022,5.7220458e-08,29.086832,25,23.97,1.556371e-21,155454,-112.36066661932382,6119475700.0,322172.75,14.282133,7.4276304
20865802.0,100,400.52097749710083,0.48795518,2600,3.6975064,-14.960901,61.420254,[-2.492 -0.336  2.517  0.372 -1.509],61.420254,-9.250641e-07,28.21915,26,25.21,3.1671956e-09,157975,-112.57415782351704,71211.766,320.05695,13.000715,7.2668896
inf,100,409.8708829879761,0.25410116,2700,4.625882,-13.075844,65.49531,[-2.512 -0.333  2.52   0.332 -1.509],65.49531,2.2888183e-07,27.376537,27,25.7,2.4300689e-24,160545,-112.53030640798319,141863.38,298.13702,12.70263,7.314925
inf,100,419.469069480896,0.14881797,2800,8.04057,-12.39683,54.768757,[-2.526 -0.385  2.54   0.264 -1.507],54.768757,-1.707077e-06,26.425827,28,27.07,1.6322842e-27,163252,-112.59077551363733,181579.8,1457.7764,11.804382,7.278066
155472820000000.0,100,428.0221412181854,0.6221679,2900,13.152645,-15.657618,89.0918,[-2.536 -0.417  2.649  0.319 -1.542],89.0918,-2.9563904e-07,27.03872,29,25.86,1.0131498e-10,165838,-112.38691346949363,366573.28,1089.6199,12.836878,7.7962418
inf,100,438.3034143447876,2.6114047,3000,547.70276,-16.161308,1551.5017,[-2.614 -0.47   2.691  0.316 -1.533],1551.5017,-1.0681152e-06,26.779724,30,26.63,,168501,-112.74840763680794,236096600.0,122315.53,12.07988,7.6217484
inf,100,448.3947970867157,0.17259754,3100,9.124974,-12.786522,64.278786,[-2.601 -0.449  2.781  0.238 -1.608],64.278786,-1.9073487e-07,26.13563,31,26.39,2.1006728e-27,171140,-111.52332736696468,147113.86,1398.3053,13.10014,7.8898478
inf,100,456.6871736049652,0.07836867,3200,6.1520777,-13.757258,66.959885,[-2.572 -0.467  2.72   0.193 -1.609],66.959885,3.8146973e-07,25.091179,32,28.18,,173958,-112.15849581392057,160422.7,982.57745,10.992934,7.8294497
695618.75,100,466.0943548679352,0.80486935,3300,2.8221753,-12.319555,34.171387,[-2.633 -0.544  2.684  0.11  -1.59 ],34.171387,-1.3446808e-06,25.251116,33,28.43,1.4995584e-07,176801,-113.22512753943006,11552.556,128.03662,11.530325,7.327987
1.5114808e+17,100,474.3001620769501,0.14344983,3400,4.3975434,-11.679027,46.30801,[-2.602 -0.558  2.663  0.12  -1.597],46.30801,2.479553e-07,26.944118,34,26.61,1.1030476e-13,179462,-113.09675067387239,31659.258,448.72385,12.562588,7.000247
inf,100,482.45402574539185,0.34867042,3500,25.901802,-12.60422,288.25375,[-2.62  -0.595  2.639  0.119 -1.605],288.25375,5.1498415e-07,26.20365,35,28.24,5.8764994e-31,182286,-113.66635410036464,6630388.5,2828.8232,11.665944,6.3412733
25750686000000.0,100,492.39347410202026,0.10545337,3600,1.1044401,-12.3598175,34.47557,[-2.575 -0.483  2.557  0.114 -1.569],34.47557,-9.63211e-07,26.276363,36,27.81,1.6605491e-12,185067,-113.74055769827582,2632.542,135.47173,10.849064,6.704924
1.1692563e+33,100,502.21322989463806,0.16081832,3700,8.636049,-13.24257,85.91804,[-2.564 -0.455  2.582  0.14  -1.6  ],85.91804,-1.077652e-06,26.079128,37,28.08,1.796537e-23,187875,-113.55573319699201,327833.12,960.0367,11.095828,7.2059546
1839853.1,100,511.8787031173706,0.48086095,3800,3.9369986,-11.738189,33.978558,[-2.596 -0.457  2.547  0.069 -1.595],33.978558,1.8215179e-06,26.783834,38,27.36,8.375403e-08,190611,-114.3616953085517,3088.0596,307.21625,11.406452,6.6767435
396469730.0,100,520.7913641929626,0.13930593,3900,0.6445369,-12.739995,32.333447,[-2.611 -0.457  2.507  0.056 -1.598],32.333447,6.389618e-07,25.117373,39,29.16,2.797691e-09,193527,-114.49994045598696,2585.2358,31.024206,10.614162,6.9719725
65485073000000.0,100,530.2949302196503,1.2142459,4000,6.0745883,-11.71176,33.457073,[-2.611 -0.443  2.465  0.028 -1.611],33.457073,8.773804e-07,25.143188,40,29.33,7.533e-14,196460,-114.35015915853339,5602.1895,78.66986,10.374812,6.611535
1427279.6,100,539.9886536598206,0.23842527,4100,1.0502123,-11.599786,30.76658,[-2.611 -0.388  2.417  0.041 -1.617],30.76658,3.0517577e-07,24.806526,41,29.56,4.29661e-08,199416,-113.4055397057256,2283.8608,53.261337,10.867306,6.7554207
70640376.0,100,549.5791535377502,0.6079928,4200,3.8980455,-11.14496,32.905155,[-2.616 -0.387  2.375  0.028 -1.63 ],32.905155,5.912781e-07,26.456839,42,28.36,5.696428e-08,202252,-115.04657046537504,2594.5994,141.63756,10.883588,6.081649
1.3052135e+19,100,559.464066028595,0.71689767,4300,1.5412838,-10.32073,33.733517,[-2.658 -0.397  2.355  0.023 -1.631],33.733517,4.529953e-07,26.52159,43,28.37,6.9790216e-16,205089,-116.24201601690397,6522.4727,48.795334,10.999281,6.0449643
4.28983,100,568.8076176643372,0.8482363,4400,0.94064623,-10.311694,26.299868,[-2.578 -0.402  2.318  0.02  -1.645],26.299868,-4.5776366e-07,25.658503,44,29.27,0.0019300713,208016,-115.44689017327815,281.1911,8.442362,10.217541,6.203508
3463014.5,100,578.0657575130463,0.41734558,4500,0.8156558,-12.432208,27.2307,[-2.575 -0.394  2.3    0.014 -1.644],27.2307,-6.1035155e-07,24.913004,45,30.35,7.300598e-07,211051,-114.74330280210316,739.4574,28.8581,9.975365,6.3504333
6.700776e+23,100,588.138386964798,0.23411378,4600,29.828959,-12.402067,187.98634,[-2.591 -0.377  2.319  0.026 -1.662],187.98634,-4.6253206e-07,25.56231,46,29.87,1.3082161e-13,214038,-115.90252121773293,2912714.8,6277.554,9.753353,6.086765
6.134504e+30,100,598.731066942215,0.85658216,4700,116.26058,-12.9480915,232.08325,[-2.629 -0.393  2.363 -0.024 -1.663],232.08325,-2.002716e-07,23.623573,47,31.91,2.6106462e-24,217229,-114.85466855245657,4571392.5,25859.117,9.128245,6.7476954
1.4980124,100,608.5403063297272,0.9738964,4800,0.5458954,-12.292185,25.417177,[-2.599 -0.406  2.368  0.036 -1.683],25.417177,-5.245209e-07,24.78796,48,30.18,0.14427444,220247,-114.54348797831614,81.38212,4.399401,9.994156,6.62519
5.684415e+18,100,617.6618304252625,0.31422204,4900,3.3602684,-11.715234,40.729393,[-2.594 -0.4    2.363  0.033 -1.694],40.729393,-2.670288e-07,24.364864,49,30.51,1.6424055e-16,223298,-114.32638062141905,29620.342,566.2075,9.40746,6.7810493
7.697521e+26,100,626.7013611793518,0.25457042,5000,9.378255,-10.821566,118.30791,[-2.586 -0.435  2.381  0.063 -1.693],118.30791,7.6293946e-07,26.05707,50,28.67,8.457734e-17,226165,-114.9530602129424,711041.0,964.99805,9.99073,6.281646
7208.7793,100,636.0155122280121,1.0798868,5100,2.711074,-11.704207,30.04147,[-2.622 -0.449  2.396  0.005 -1.688],30.04147,-1.14440915e-07,25.413784,51,29.64,0.00023874521,229129,-115.13464731134398,3921.363,59.381203,10.487134,6.235338
40.616615,100,645.1199505329132,1.2496116,5200,2.3928921,-11.341862,29.079397,[-2.605 -0.461  2.387  0.021 -1.682],29.079397,1.14440915e-07,25.708496,52,29.45,0.0011167966,232074,-115.30314373813118,1275.466,28.90835,10.198259,6.2277555
8.879261e+23,100,654.1802883148193,1.0068297,5300,33.25033,-11.28265,367.1561,[-2.615 -0.474  2.418  0.024 -1.677],367.1561,-1.5354157e-06,26.33353,53,28.71,2.2093888e-17,234945,-114.75377832680628,12523801.0,2050.5916,10.226377,5.8611865
274610390000.0,100,665.1313192844391,0.9921003,5400,8.4074745,-11.372369,55.785038,[-2.584 -0.464  2.346  0.025 -1.683],55.785038,,25.458996,54,29.36,7.6338516e-08,237881,-114.81666583516333,100887.63,629.92426,10.077853,6.2463865
2334296.0,100,673.9066340923309,0.44568107,5500,2.7777522,-10.065124,34.59285,[-2.551 -0.431  2.329  0.016 -1.673],34.59285,1.5735626e-06,27.19153,55,27.28,2.6462418e-08,240609,-115.12731115639305,1924.1567,253.82376,11.42016,6.3428435
inf,100,683.569492816925,0.9970303,5600,81.02306,-10.978241,505.6063,[-2.577 -0.445  2.311  0.008 -1.686],505.6063,-3.8146972e-08,23.80876,56,31.63,,243772,-114.93868721011422,20552322.0,12749.85,9.7589445,6.614421
107.35853,100,695.2505087852478,0.8633207,5700,0.83577025,-10.32754,25.241814,[-2.559 -0.467  2.222 -0.026 -1.679],25.241814,1.3160706e-06,24.517826,57,30.97,0.004386105,246869,-116.24068594212628,90.257484,29.482243,9.077188,6.1259184
1.6489872e+18,100,706.1829178333282,0.61592203,5800,20.901764,-9.92381,51.461487,[-2.546 -0.483  2.225 -0.037 -1.678],51.461487,-1.0299683e-06,23.626709,58,33.09,2.7779106e-13,250178,-116.1420952225991,72510.44,3339.5876,8.742455,5.7901034
5.525376e+25,100,715.2464835643768,0.07823369,5900,3.5914168,-8.606306,37.05595,[-2.622 -0.443  2.215 -0.03  -1.665],37.05595,6.198883e-07,26.833044,59,29.3,3.1547388e-17,253108,-118.20389860816482,18498.365,390.078,9.64538,4.841841
inf,100,727.4041981697083,0.5620721,6000,1.44941,-9.333313,22.348349,[-2.686 -0.487  2.217 -0.034 -1.646],22.348349,-3.0517577e-07,17.365921,60,42.69,,257377,-122.38429837716953,2007.9574,55.208424,7.771526,5.78099
inf,100,742.6815316677094,0.058799647,6100,2.6623871,-7.928198,25.67791,[-2.707 -0.45   2.197 -0.043 -1.65 ],25.67791,-7.9154967e-07,11.154363,61,59.23,,263300,-138.55338109682106,29859.7,260.34482,10.045311,5.4956636
inf,100,762.2194192409515,0.08288925,6200,0.9153613,-7.692974,11.441674,[-2.725 -0.431  2.11  -0.054 -1.661],11.441674,2.3841858e-07,6.65357,62,87.27,,272027,-161.29529775642163,181.22931,55.64541,8.451033,4.8739023
inf,100,788.6130523681641,0.05174587,6300,0.86535627,-7.5533085,9.782685,[-2.765 -0.453  2.111 -0.076 -1.668],9.782685,1.3780594e-06,4.7667327,63,115.49,8.982358e-31,283576,-182.54810834918905,246.73029,76.073456,8.326849,4.6996346
inf,100,831.1023206710815,0.19573686,6400,22.584364,-8.083005,33.434578,[-2.809 -0.501  2.121 -0.099 -1.667],33.434578,2.9087067e-07,2.7160938,64,206.43,,304219,-253.2943742218097,107508.484,4619.936,6.5327096,4.201727
5.997459e+33,100,878.3936278820038,0.38714522,6500,5.1237736,-7.9133973,8.881732,[-2.856 -0.446  1.984 -0.17  -1.8  ],8.881732,-6.4849854e-07,3.7096303,65,236.08,2.3432732e-27,327827,-274.5657279956732,2403.9192,472.10315,4.609136,3.382938
inf,100,928.9886472225189,0.062140185,6600,5.58263,-8.305278,5.7393365,[-2.852 -0.489  2.001 -0.174 -1.8  ],5.7393365,2.002716e-07,3.107666,66,249.06,,352733,-285.3691447409563,977.5813,1051.993,5.4822216,3.3822944
3.253885e+34,100,961.6298687458038,2.0813234,6700,29.839218,-6.66273,61.987156,[-2.817 -0.408  2.01  -0.166 -1.869],61.987156,-1.4781952e-07,4.0302353,67,160.6,8.788364e-28,368793,-215.22972665135055,387534.2,2339.8477,6.6584973,4.111225
inf,100,981.8244483470917,0.08904666,6800,3.6776562,-7.2374363,21.007599,[-2.822 -0.406  2.032 -0.186 -1.874],21.007599,7.6293946e-07,7.709466,68,90.73,,377866,-161.4330638422718,16743.938,335.61823,6.5823307,4.0621943
inf,100,1001.2065861225128,5.4720974,6900,271.74997,-8.352659,549.3906,[-2.775 -0.401  2.095 -0.119 -1.871],549.3906,6.7710874e-07,9.354327,69,75.56,,385422,-149.40505015319397,29743678.0,23195.22,6.8652644,4.4736657
3.7996157e+17,100,1026.5665769577026,1.0499158,7000,7.9955473,-7.332548,19.722502,[-2.799 -0.423  2.158 -0.139 -1.888],19.722502,7.390976e-07,5.4759283,70,107.59,4.1686923e-12,396181,-175.09174510718796,18105.9,348.2239,7.4843073,4.880068
inf,100,1037.1862857341766,0.085913986,7100,2.4346778,-6.670946,38.822136,[-2.781 -0.399  2.136 -0.153 -1.894],38.822136,3.0517577e-07,21.48734,71,36.05,,399786,-119.62868331491542,16928.889,252.26434,8.661529,4.5303907
inf,100,1053.639262676239,1.5561382,7200,55.65413,-8.959276,83.84263,[-2.796 -0.456  2.128 -0.209 -1.899],83.84263,-4.7683717e-08,10.706833,72,69.16,,406702,-141.98198151297578,533326.9,7342.712,6.426297,4.4862857
2.1036779e+29,100,1064.767328262329,1.3797265,7300,11.126269,-9.597398,35.91511,[-2.801 -0.463  2.162 -0.231 -1.907],35.91511,-5.626678e-07,21.683533,73,36.85,3.3912678e-13,410387,-119.26660058885923,18900.463,462.0784,7.180335,4.5756216
182659630000.0,100,1075.068521976471,0.23346512,7400,1.3873122,-6.022664,24.672966,[-2.8   -0.416  2.135 -0.236 -1.915],24.672966,1.0967255e-07,18.192848,74,41.35,9.975047e-08,414522,-122.31098834273172,1103.9229,116.76305,7.7276726,4.2550173
inf,100,1085.010070323944,0.1305363,7500,10.155532,-7.081066,102.194786,[-2.824 -0.442  2.144 -0.248 -1.931],102.194786,3.2424927e-07,23.039753,75,34.63,,417985,-116.58852489754558,747622.3,1408.9807,7.716773,4.4919314
inf,100,1096.4646637439728,0.08728725,7600,3.480743,-7.0430193,34.326878,[-2.785 -0.49   2.183 -0.184 -1.939],34.326878,-3.4332277e-07,17.870546,76,44.09,,422394,-124.49012932958085,31333.018,474.13242,6.525672,4.615002
963699800000000.0,100,1115.4427971839905,0.21874975,7700,1.0277805,-8.0291605,12.205572,[-2.786 -0.492  2.209 -0.137 -1.942],12.205572,-5.7220458e-08,9.40982,77,76.02,2.3598957e-12,429996,-150.27242965964444,180.23033,66.95163,6.645667,4.667123
inf,100,1133.8790535926819,0.22739077,7800,11.296993,-8.428322,36.281918,[-2.801 -0.508  2.21  -0.165 -1.956],36.281918,8.869171e-07,8.439973,78,79.51,,437947,-153.56935247928385,63127.277,1276.3158,7.4720173,4.8336883
3.9048455e+32,100,1152.000139951706,0.3851342,7900,13.682363,-7.045328,18.903654,[-2.819 -0.532  2.187 -0.177 -1.961],18.903654,2.479553e-07,9.435988,79,76.79,2.0970912e-22,445626,-150.2375757969031,4505.1763,1305.5906,6.653315,4.326286
inf,100,1173.0253479480743,0.18319428,8000,2.9037151,-6.3340397,10.96018,[-2.822 -0.552  2.173 -0.193 -1.967],10.96018,4.7683717e-08,7.0632744,80,93.93,,455019,-165.88269475810125,146.3944,528.4134,7.1685658,4.1223583
inf,100,1209.0376589298248,0.08865549,8100,3.1649697,-8.245488,10.81117,[-2.876 -0.555  2.171 -0.2   -1.972],10.81117,-7.0095064e-07,4.129678,81,165.62,,471581,-220.52791784841324,2514.2434,387.58612,5.8596487,4.148821
inf,100,1239.3472402095795,0.077378534,8200,1.2534245,-7.979188,8.8351,[-2.871 -0.573  2.217 -0.189 -1.965],8.8351,-3.6239624e-07,4.6047173,82,136.72,,485253,-197.56444089956133,747.60315,93.71479,6.7082233,4.368174
inf,100,1263.8726592063904,0.57708126,8300,8.577585,-7.0673857,19.531439,[-2.866 -0.586  2.262 -0.179 -1.966],19.531439,2.861023e-07,5.440701,83,116.55,,496908,-183.6304602342958,21421.885,748.92834,7.4554205,4.220595
inf,100,1282.9893712997437,0.43010315,8400,43.779854,-6.5043697,20.430145,[-2.88  -0.635  2.307 -0.23  -1.994],20.430145,-1.2159347e-06,8.20081,84,84.18,,505326,-157.45743886661384,10777.999,6702.156,7.2490654,4.399176
inf,100,1303.0835480690002,0.07479212,8500,0.66902995,-6.822397,13.2325115,[-2.872 -0.638  2.273 -0.242 -1.999],13.2325115,-3.862381e-07,9.06897,85,81.68,,513494,-154.60125050531911,761.83563,41.639954,6.7324505,4.1529455
inf,100,1325.522877216339,0.10447045,8600,2.6266518,-6.6668253,25.293678,[-2.874 -0.637  2.244 -0.265 -1.999],25.293678,-7.9631803e-07,8.289965,86,91.79,,522673,-162.15744186445426,14890.792,323.269,5.9186106,4.074055
inf,100,1351.3910510540009,0.048679706,8700,1.1004409,-7.269231,11.367598,[-2.88  -0.634  2.199 -0.289 -1.999],11.367598,3.2424927e-07,6.405732,87,116.11,,534284,-180.1186612141893,1074.6526,103.96402,5.714496,3.875378
inf,100,1369.3420839309692,0.35527337,8800,16.892998,-7.303794,70.42486,[-2.833 -0.615  2.235 -0.247 -2.014],70.42486,9.536743e-09,11.080765,88,66.02,2.487657e-25,540886,-144.08887428384375,358279.4,1734.4597,6.9273996,3.9622567
inf,100,1385.1033430099487,0.09447141,8900,2.9318156,-7.036807,25.049679,[-2.82  -0.577  2.228 -0.207 -2.016],25.049679,-7.6293944e-08,11.841515,89,62.16,7.918052e-30,547102,-139.41942798777515,10301.849,321.9625,7.055673,4.342838
inf,100,1398.8905069828033,0.28610268,9000,42.22458,-7.32953,47.34684,[-2.8   -0.542  2.231 -0.184 -2.015],47.34684,2.1457672e-07,14.347124,90,51.63,,552265,-131.75203697936567,109771.805,9234.705,7.9580016,4.667046
inf,100,1427.3108549118042,0.07109914,9100,1.1425632,-9.2379,7.3807983,[-2.815 -0.539  2.19  -0.174 -1.999],7.3807983,7.4386594e-07,4.6302037,91,137.12,,565977,-197.5246645782416,328.97162,111.797806,6.3748283,4.5766478
inf,100,1454.4124393463135,0.0749024,9200,3.139934,-6.7211676,15.854082,[-2.834 -0.543  2.17  -0.174 -1.991],15.854082,-1.1920929e-06,4.854766,92,120.68,,578045,-187.06069734203308,4243.5967,409.59082,7.1099215,4.13433
inf,100,1475.5762085914612,0.2548383,9300,3.4565828,-8.1246395,14.89371,[-2.832 -0.526  2.218 -0.143 -1.972],14.89371,-1.9073487e-07,7.1231623,93,93.41,8.320334e-29,587386,-164.94131010640817,6140.927,322.85956,6.9665055,4.473233
3.0452893e+21,100,1506.1937441825867,0.2679433,9400,10.316591,-8.640256,8.965989,[-2.827 -0.523  2.196 -0.115 -1.971],8.965989,4.6253206e-07,3.9116216,94,139.26,1.9035517e-17,601312,-200.5287831867195,471.92117,1398.3159,7.04189,4.656702
inf,100,1537.1282105445862,0.10436896,9500,5.5872917,-9.445483,13.01428,[-2.814 -0.51   2.198 -0.085 -1.974],13.01428,-1.9073487e-07,3.5573337,95,159.42,,617254,-216.34864447031757,7570.7544,657.33954,6.7452197,4.669081
inf,100,1582.3573763370514,0.08532004,9600,1.2750949,-6.8563128,6.008121,[-2.845 -0.55   2.17  -0.12  -1.973],6.008121,1.1062622e-06,2.5792532,96,215.36,,638790,-260.77039656879117,63.47389,120.099495,6.4285135,4.2069235
3.4438454e+22,100,1620.4933207035065,46.30411,9700,4288.4565,-6.7600574,1526.245,[-2.877 -0.562  2.163 -0.134 -1.979],1526.245,-2.3841858e-07,2.997047,97,176.67,1.5118985e-19,656457,-231.32504359450616,232410500.0,869637.56,6.952,4.1047287
12670431.0,100,1681.1414024829865,0.6665271,9800,2.7980378,-8.410848,4.993247,[-2.867 -0.558  2.145 -0.105 -1.984],4.993247,-7.6293946e-07,2.1323333,98,288.93,1.0020696e-06,685350,-319.81191920482456,306.7371,103.54196,5.5958996,3.836763
216027200000000.0,100,1725.9856171607971,0.56762195,9900,2.7860813,-8.402906,6.0562263,[-2.851 -0.533  2.136 -0.111 -1.991],6.0562263,-1.4305115e-07,3.1332033,99,210.92,4.0104323e-11,706442,-254.95070496295946,73.19853,37.725647,5.745542,4.2963605
inf,100,1768.4896802902222,0.17159007,10000,7.726198,-7.5861263,24.524164,[-2.841 -0.504  2.129 -0.102 -1.992],24.524164,9.536743e-08,2.6985614,100,195.74,,726016,-245.15334576379337,48187.305,803.18787,6.536605,4.3096666
inf,100,1801.9930231571198,0.28100508,10100,16.884571,-6.5526676,41.87823,[-2.846 -0.511  2.176 -0.077 -1.999],41.87823,-7.343292e-07,3.3063033,101,152.52,,741268,-212.74798309978382,142809.75,2078.644,7.458952,4.09462
inf,100,1850.6584095954895,0.06021545,10200,2.4911513,-7.405964,8.685537,[-2.854 -0.517  2.12  -0.097 -2.006],8.685537,-3.33786e-08,2.4889874,102,233.76,,764644,-275.11079476541124,1557.843,428.67108,5.927933,4.165984
6509558000000000.0,100,1892.7177431583405,0.11560262,10300,1.4546437,-9.450043,6.058376,[-2.847 -0.519  2.151 -0.051 -2.006],6.058376,5.7220458e-08,2.9562886,103,201.49,1.58375e-14,784793,-247.84993893210842,105.381386,262.13586,6.714344,4.3839464
inf,100,1931.7780723571777,0.045543585,10400,0.7760521,-7.7858944,6.6938066,[-2.822 -0.492  2.139 -0.035 -2.008],6.6938066,3.7193297e-07,2.449235,104,180.87,,802880,-234.2269148142936,121.15328,131.37428,7.6139812,4.5626407
inf,100,1968.7175464630127,0.26375875,10500,6.790816,-8.4660425,8.006698,[-2.823 -0.491  2.163 -0.007 -2.007],8.006698,5.4359435e-07,2.745885,105,172.37,,820117,-227.59526790211342,1060.7141,529.1711,7.462576,4.6073337
