MaxIW,MeanD2w0t,MeanIW,EpisodesSoFar,Bound,EpRewMean,InitialBound,EmpiricalD2,MinIW,StdD2w0t,TimestepsSoFar,StdIW,EpLenMean,InitialReturnStd,Iteration,InitialReturnMax,Weights,MaxD2w0t,MinD2w0t,EpThisIter,InitialReturnMin,ReturnStepMax,ReturnMeanIW,TimeElapsed,J_sample_variance,ReturnStepMaxmin,InitialReturnMean
1.9520078,0.16226085,0.99194807,4200,-40.420513,-124.17855130870568,-40.445854,1.03143,0.5306256,0.37297097,258068,0.1739763,79.59,1.7077042,42,-2.8376875,[-0.585 -0.754 -0.453 -0.309 -0.054],1.0961068,,100,-10.1110325,100.0,-7.062302,637.8395929336548,2.8837786,99.000206,-7.112519
2.596313,0.16854453,1.0115267,4300,-40.233177,-121.00273093749621,-40.337643,1.0609579,0.40070298,0.38297826,266191,0.292511,81.23,1.6453307,43,-3.4925928,[-0.586 -0.753 -0.448 -0.312 -0.055],1.2785321,,100,-10.033374,100.0,-6.8563647,656.2762939929962,2.6201706,99.0,-7.0043054
1.3390644,0.16703859,0.97773564,4400,-40.524807,-122.06926599678789,-40.54383,1.0209321,0.5938289,0.37602773,274432,0.12873274,82.41,1.5394117,44,-3.1027272,[-0.591 -0.75  -0.446 -0.314 -0.069],1.043837,,100,-12.625847,100.0,-7.173084,676.0823059082031,2.5298538,99.00001,-7.210493
1.0,0.1595,1.0,4500,-40.342117,-121.82623552929537,-40.342117,1.0,1.0,0.36614951,282407,,79.75,1.4204817,45,-3.866149,[-0.593 -0.751 -0.45  -0.31  -0.069],1.0,,100,-9.995503,100.0,-7.008781,692.9606130123138,2.0381498,99.0412,-7.008781
2.256523,0.16090117,1.0013424,4600,-40.44584,-123.06171156680213,-40.528515,1.0617849,0.5174434,0.37647024,290140,0.28256026,77.33,1.7005548,46,-3.2899947,[-0.593 -0.751 -0.45  -0.31  -0.069],1.2232941,,100,-9.910677,100.0,-7.0762,709.5826077461243,2.7962604,99.000015,-7.195178
1.0,0.1606,1.0,4700,-40.027695,-120.28323661945404,-40.027695,1.0,1.0,0.36716917,298170,,80.3,1.7156905,47,-3.582364,[-0.596 -0.748 -0.445 -0.316 -0.074],1.0,,100,-10.325525,100.0,-6.694358,726.5564239025116,2.973327,99.00001,-6.694358
1.48736,0.15768255,0.98019016,4800,-40.316494,-123.40018860933829,-40.338734,1.0270182,0.68622017,0.36808494,305924,0.13706322,77.54,1.6773604,48,-3.067072,[-0.596 -0.748 -0.445 -0.316 -0.074],1.0943971,,100,-9.571329,100.0,-6.9605975,742.7832849025726,2.8351016,99.00021,-7.005397
1.5434437,0.17594677,0.9572777,4900,-40.181908,-121.8202286281234,-40.22641,1.045485,0.4171549,0.38670397,314502,0.19221385,85.78,1.7626028,49,-2.6997962,[-0.597 -0.749 -0.441 -0.319 -0.075],1.1299965,,100,-9.810236,100.0,-6.8051944,760.9206748008728,2.9379954,99.00002,-6.893075
1.259711,0.16617616,0.99283904,5000,-40.222748,-121.77043523122852,-40.241913,1.0140058,0.6235298,0.37417978,322739,0.10690555,82.37,1.6815772,50,-2.592207,[-0.597 -0.747 -0.447 -0.318 -0.077],1.0356644,,100,-10.043483,100.0,-6.870543,779.1833424568176,2.647112,99.000046,-6.9085755
2.4966352,0.17374511,0.9755725,5100,-40.556717,-122.41653052735326,-40.61708,1.0712197,0.35094798,0.38747725,331117,0.26531464,83.78,1.5882934,51,-3.3182476,[-0.6   -0.754 -0.452 -0.318 -0.082],1.1925818,,100,-10.198822,100.0,-7.1655345,798.4188044071198,2.568408,99.00001,-7.2837434
1.5836083,0.1575683,1.0218318,5200,-40.56224,-122.1359036599971,-40.596382,1.0190724,0.7384577,0.36680758,338907,0.14000928,77.9,1.7397816,52,-3.7772992,[-0.6   -0.751 -0.457 -0.322 -0.081],1.0476708,,100,-15.897018,100.0,-7.216263,815.9620323181152,2.8048065,99.0,-7.263045
1.6656932,0.15113246,0.98363936,5300,-40.304855,-121.14141014357949,-40.334816,1.0309448,0.69429696,0.36222297,346322,0.16599032,74.15,1.8350194,53,-2.6228707,[-0.604 -0.758 -0.457 -0.326 -0.084],1.0817558,,100,-9.99677,100.0,-6.941673,830.9251580238342,3.5106645,99.00025,-7.0014796
1.0,0.16118,1.0,5400,-40.438614,-120.38813446039107,-40.438614,1.0,1.0,0.36770523,354381,,80.59,1.5711194,54,-2.1542091,[-0.606 -0.759 -0.453 -0.328 -0.084],1.0,,100,-12.515892,100.0,-7.105279,849.4584558010101,2.49335,99.0,-7.105279
1.519217,0.15921663,0.9935264,5500,-40.307842,-119.45804194367756,-40.33722,1.016807,0.7671169,0.3677753,362273,0.11993967,78.92,1.3188407,55,-3.2281654,[-0.606 -0.759 -0.453 -0.328 -0.084],1.0424055,,100,-9.688984,100.0,-6.96418,866.2760725021362,1.7196118,99.00003,-7.0038824
