InitialReturnMin,ReturnMeanIW,MeanIW,EpisodesSoFar,InitialReturnMax,EpRewMean,EpThisIter,Bound,EmpiricalD2,EpLenMean,InitialReturnMean,J_sample_variance,Weights,TimeElapsed,InitialReturnStd,MaxIW,MinIW,InitialBound,Iteration,TimestepsSoFar,StdIW
-16.368195,221.1869,1.0061426,4000,47.27169,-106.88029649406124,100,-475956730000000.0,1.0006031,35.53,-1.3732911e-06,202.91069,[-0.819 -0.496 -0.468 -0.748  0.003],333.1586537361145,13.894921,1.0683832,0.9440714,-475956730000000.0,40,142413,0.022196911
-14.817192,224.93683,1.0041641,4100,57.821667,-108.52201810371567,100,-350346460000000.0,1.0036025,35.46,-3.5476685e-06,259.20462,[-0.819 -0.496 -0.469 -0.749  0.003],342.0017192363739,11.787743,1.2056108,0.8622407,-350346460000000.0,41,145959,0.055775855
-18.413147,195.37462,1.0083072,4200,40.68868,-107.7130962304438,100,-416853250000000.0,1.0139416,39.44,5.989075e-06,408.43896,[-0.818 -0.498 -0.467 -0.749  0.004],351.3141973018646,13.495695,1.3593973,0.7977675,-416853250000000.0,42,149903,0.10742178
-15.159294,231.65639,1.0050112,4300,52.12967,-107.59560842771555,100,-461624200000000.0,1.0044334,34.41,3.4713746e-06,291.21832,[-0.819 -0.495 -0.47  -0.751  0.005],359.3527407646179,12.30598,1.2599156,0.8581182,-461624200000000.0,43,153344,0.06485961
-16.764412,218.23956,1.005496,4400,40.915432,-108.12333532379762,100,-447717360000000.0,1.0002133,36.26,1.3732911e-06,149.09056,[-0.817 -0.497 -0.469 -0.749  0.006],366.87953186035156,11.728553,1.0523411,0.9681589,-447717360000000.0,44,156970,0.013749658
-17.051178,210.73112,1.0064206,4500,39.19809,-107.27406569060899,100,-384138960000000.0,1.0019431,37.06,-1.9454956e-06,209.69055,[-0.817 -0.497 -0.469 -0.748  0.006],376.1304278373718,12.516584,1.143417,0.8658321,-384138960000000.0,45,160676,0.048163604
-18.335808,205.34123,1.0044882,4600,53.401318,-106.51718999499286,100,-412618680000000.0,1.0022625,37.62,-3.4713746e-06,242.17815,[-0.817 -0.497 -0.47  -0.749  0.006],384.42308044433594,13.29774,1.1784732,0.8892961,-412618680000000.0,46,164438,0.04673096
-18.454185,200.0746,1.0059676,4700,50.229527,-107.89297939264064,100,-309791560000000.0,1.0086341,38.75,-2.632141e-06,414.7161,[-0.816 -0.497 -0.47  -0.748  0.007],392.7979588508606,13.327593,1.3670218,0.7626917,-309791560000000.0,47,168313,0.0942664
-18.182709,205.29886,1.005547,4800,68.143936,-106.5651042842369,100,-376363200000000.0,1.0009396,37.6,1.1825562e-06,288.22266,[-0.818 -0.499 -0.468 -0.746  0.007],400.8686046600342,15.077721,1.1256375,0.9427902,-376363200000000.0,48,172073,0.031454194
-14.589561,231.01701,1.005813,4900,27.5918,-107.65908412929646,100,-475956730000000.0,1.0017715,34.51,6.8664554e-07,148.97041,[-0.818 -0.499 -0.467 -0.746  0.007],408.6697165966034,10.888471,1.1257254,0.90934706,-475956730000000.0,49,175524,0.038251568
-14.616272,232.84668,1.004428,5000,27.999,-107.86965951135,100,-434223540000000.0,1.0007677,34.34,7.209778e-06,191.65173,[-0.817 -0.498 -0.467 -0.746  0.007],416.31335949897766,11.879168,1.066532,0.9402254,-434223540000000.0,50,178958,0.023534287
-16.316284,215.9334,1.0073731,5100,46.407055,-107.76562607760266,100,-434223540000000.0,1.0065827,36.49,3.0517577e-07,446.62836,[-0.818 -0.498 -0.467 -0.748  0.006],423.94236516952515,12.5966425,1.3645099,0.7773151,-434223540000000.0,51,182607,0.086992614
-16.538345,216.14246,1.0060719,5200,29.377445,-107.86053689324241,100,-447717360000000.0,1.0069249,36.46,6.8664554e-07,278.85254,[-0.82  -0.499 -0.468 -0.745  0.009],432.07097458839417,11.483807,1.274047,0.78603137,-447717360000000.0,52,186253,0.07933358
-15.694405,219.53427,1.0045848,5300,35.29037,-108.40046126605705,100,-404276180000000.0,1.0009959,36.13,-2.8991699e-06,200.61247,[-0.82  -0.498 -0.469 -0.748  0.009],440.13810205459595,11.209384,1.0947104,0.9232135,-404276180000000.0,53,189866,0.031534653
-17.239532,207.78168,1.0051109,5400,49.217896,-108.07086413779176,100,-461624200000000.0,1.0040852,37.69,-3.2806397e-06,240.24069,[-0.82  -0.498 -0.467 -0.748  0.009],449.10823583602905,12.215958,1.1710541,0.81527364,-461624200000000.0,54,193635,0.063120015
-17.024529,198.35374,1.0060558,5500,33.39451,-109.17781877051142,100,-372533520000000.0,1.0062486,39.41,1.3732911e-06,224.8689,[-0.822 -0.499 -0.466 -0.746  0.009],458.6389174461365,11.868824,1.2619705,0.828679,-372533520000000.0,55,197576,0.074665524
-14.522743,231.16605,1.0048571,5600,27.237206,-107.93989771144562,100,-452306460000000.0,1.0008849,34.57,2.632141e-06,152.94945,[-0.823 -0.499 -0.467 -0.75   0.009],466.12531900405884,11.036742,1.0896229,0.8874643,-452306460000000.0,56,201033,0.030586688
-14.318703,231.69696,1.0045379,5700,30.095959,-107.17928419585412,100,-396099630000000.0,1.0015668,34.32,-2.5558472e-06,202.90149,[-0.823 -0.5   -0.467 -0.749  0.009],474.4797885417938,11.121387,1.2148149,0.89394844,-396099630000000.0,57,204465,0.039066415
-13.96637,234.81873,1.0049521,5800,40.42257,-107.60536308130264,100,-425451140000000.0,1.0014348,34.04,4.196167e-06,193.09973,[-0.824 -0.5   -0.465 -0.751  0.01 ],482.45151591300964,11.491093,1.115528,0.8961256,-425451140000000.0,58,207869,0.035789564
-17.780106,194.74529,1.0068129,5900,43.248856,-107.74514019244396,100,-425451140000000.0,1.004679,39.58,-2.822876e-06,239.833,[-0.824 -0.499 -0.465 -0.752  0.01 ],490.9852457046509,12.644567,1.2026595,0.7953112,-425451140000000.0,59,211827,0.065861434
-15.112846,237.3447,1.0052824,6000,35.841125,-107.89725058638481,100,-475956730000000.0,1.0011567,33.82,-6.3705443e-06,214.19028,[-0.822 -0.499 -0.468 -0.75   0.008],499.26920914649963,12.156888,1.1522511,0.92263436,-475956730000000.0,60,215209,0.03522621
-16.92772,202.61388,1.0058595,6100,40.55455,-107.98379885837578,100,-392072600000000.0,1.0018653,38.4,-2.861023e-06,267.84576,[-0.822 -0.5   -0.467 -0.75   0.011],507.9300241470337,12.372122,1.1690644,0.9054642,-392072600000000.0,61,219049,0.04735194
-17.110565,201.68446,1.0044956,6200,31.79852,-107.77047103530607,100,-475956730000000.0,1.0011379,38.55,-2.7465821e-06,167.64095,[-0.823 -0.501 -0.466 -0.75   0.011],515.4459390640259,12.325001,1.0769384,0.8936551,-475956730000000.0,62,222904,0.033720735
-14.157059,218.68942,1.0060266,6300,42.3719,-109.0139383988181,100,-368742140000000.0,1.0020086,36.39,-2.2888183e-07,157.96692,[-0.823 -0.5   -0.467 -0.75   0.011],523.6472361087799,11.573591,1.1803381,0.8877437,-368742140000000.0,63,226543,0.039669376
-12.587486,245.85242,1.0050565,6400,34.623806,-108.16668125939057,100,-511128700000000.0,1.0006696,32.94,4.005432e-06,157.0999,[-0.823 -0.5   -0.469 -0.751  0.012],531.6611061096191,10.923699,1.0750021,0.9290542,-511128700000000.0,64,229837,0.027028155
-14.019417,227.40617,1.0049591,6500,49.558056,-107.54794324340926,100,-384138960000000.0,1.0023746,34.92,1.3732911e-06,168.33704,[-0.822 -0.5   -0.47  -0.75   0.012],539.3287761211395,11.659187,1.1780385,0.8485392,-384138960000000.0,65,233329,0.04889522
-17.058075,225.80482,1.0049917,6600,32.774338,-107.70618938916172,100,-456941940000000.0,1.0012844,35.18,-3.7002565e-06,207.15994,[-0.823 -0.499 -0.47  -0.752  0.012],547.7309303283691,11.684674,1.1152018,0.89877874,-456941940000000.0,66,236847,0.038466956
-17.317802,216.27805,1.0062869,6700,45.44537,-106.75539696491427,100,-466353820000000.0,1.0043671,36.16,1.6021728e-06,262.77036,[-0.822 -0.5   -0.47  -0.751  0.013],555.1328637599945,12.933588,1.1920931,0.7864293,-466353820000000.0,67,240463,0.06415577
-15.796516,235.36404,1.0056001,6800,35.209236,-107.6769573972787,100,-421130570000000.0,1.0018129,33.97,-7.171631e-06,167.98439,[-0.822 -0.498 -0.471 -0.752  0.013],562.8144383430481,11.925051,1.0983678,0.91856325,-421130570000000.0,68,243860,0.03690866
-18.674927,193.47209,1.0056965,6900,52.271694,-108.34748373536682,100,-412618680000000.0,1.0011795,39.96,-3.1661987e-06,252.92133,[-0.821 -0.497 -0.472 -0.752  0.014],572.2743952274323,13.537872,1.117129,0.92556924,-412618680000000.0,69,247856,0.036966853
-18.133224,208.76244,1.0054379,7000,26.775398,-107.76991405345261,100,-456941940000000.0,1.0004222,37.48,-7.743835e-06,155.09146,[-0.821 -0.496 -0.47  -0.753  0.015],581.2792534828186,11.401746,1.0596642,0.958712,-456941940000000.0,70,251604,0.018254256
-15.092583,218.07687,1.0058076,7100,33.168884,-108.14456713031898,100,-511128700000000.0,1.002498,36.29,-4.5776366e-07,192.25668,[-0.822 -0.497 -0.469 -0.753  0.015],588.9087874889374,11.0141115,1.1614218,0.8920321,-511128700000000.0,71,255233,0.04479826
-16.996086,206.16812,1.0068425,7200,42.814205,-108.17391310707563,100,-412618680000000.0,1.001071,37.93,4.959106e-07,227.79645,[-0.822 -0.496 -0.47  -0.755  0.016],596.4121541976929,12.513877,1.1270137,0.93513036,-412618680000000.0,72,259026,0.033202376
-16.026955,211.57558,1.0051851,7300,37.87574,-107.97978459553228,100,-384138960000000.0,1.0028049,37.09,4.8065185e-06,170.92621,[-0.822 -0.497 -0.469 -0.754  0.016],604.8545696735382,12.052156,1.1712718,0.85466605,-384138960000000.0,73,262735,0.05179871
-13.94001,231.1032,1.0051196,7400,28.293118,-107.83377894616042,100,-511128700000000.0,1.0006037,34.56,9.155273e-07,157.36923,[-0.821 -0.495 -0.469 -0.755  0.016],612.1596326828003,10.541178,1.1081492,0.95042586,-511128700000000.0,74,266191,0.025906926
-16.747826,193.54362,1.0060405,7500,41.803776,-109.12428830625963,100,-425451140000000.0,1.0017849,40.18,-1.6021728e-06,195.4732,[-0.821 -0.494 -0.469 -0.756  0.016],620.7356486320496,11.347183,1.1202272,0.9135587,-425451140000000.0,75,270209,0.040588602
-16.782188,221.3855,1.0045254,7600,39.499397,-108.00877456597948,100,-438676400000000.0,1.0027897,35.8,-5.340576e-06,331.43167,[-0.821 -0.495 -0.468 -0.756  0.016],628.653990983963,12.402868,1.1963342,0.89106154,-438676400000000.0,76,273789,0.051769875
-16.464645,222.81699,1.0051253,7700,58.69175,-107.07289850147454,100,-416853250000000.0,1.0016919,35.36,-4.615784e-06,301.13885,[-0.822 -0.496 -0.466 -0.756  0.016],635.6767647266388,13.442111,1.1385713,0.9310389,-416853250000000.0,77,277325,0.040467843
-16.683586,212.15804,1.005185,7800,46.02571,-107.69689962184293,100,-408426460000000.0,1.0008302,36.95,3.6621093e-06,237.5369,[-0.822 -0.497 -0.465 -0.755  0.016],644.2465252876282,12.544349,1.1736885,0.9192064,-408426460000000.0,78,281020,0.03144365
-16.518806,212.63702,1.0051117,7900,38.131985,-108.3082583096019,100,-376363200000000.0,1.0008969,37.03,-1.6784668e-06,172.67929,[-0.822 -0.497 -0.464 -0.757  0.016],652.7228507995605,11.938765,1.0699214,0.9425775,-376363200000000.0,79,284723,0.0256521
-17.00985,212.99675,1.0059687,8000,57.411194,-108.05653749919,100,-438676400000000.0,1.0054942,36.93,6.1416627e-06,318.23495,[-0.822 -0.497 -0.464 -0.756  0.016],661.3340594768524,12.842379,1.2705276,0.8353945,-438676400000000.0,80,288416,0.07492918
-15.779747,218.38113,1.0060757,8100,36.73316,-107.63334067133091,100,-380231540000000.0,1.0013993,36.08,1.2969971e-06,166.64061,[-0.823 -0.499 -0.463 -0.754  0.016],669.6395032405853,12.358571,1.1171445,0.90961033,-380231540000000.0,81,292024,0.035716295
-16.31604,227.31477,1.005165,8200,40.396454,-109.21907105813237,100,-388085860000000.0,1.0015098,35.34,9.155273e-07,213.2473,[-0.823 -0.498 -0.463 -0.755  0.016],678.0605821609497,11.758065,1.118172,0.88756657,-388085860000000.0,82,295558,0.035844103
-16.116158,214.28476,1.0069957,8300,45.41124,-107.59678545333021,100,-480831120000000.0,1.0030799,36.65,-1.0681152e-06,237.61401,[-0.822 -0.498 -0.463 -0.753  0.015],686.357458114624,12.025192,1.1469654,0.8932873,-480831120000000.0,83,299223,0.04681044
-19.749481,198.82687,1.005257,8400,52.315163,-106.91851051931593,100,-316215660000000.0,1.0011472,38.69,3.5858154e-06,203.69875,[-0.823 -0.499 -0.462 -0.752  0.014],693.9945240020752,13.371584,1.0993751,0.9196843,-316215660000000.0,84,303092,0.032339934
-14.650681,220.37766,1.0050482,8500,39.350338,-108.67019149139051,100,-416853250000000.0,1.0006963,36.1,-8.850097e-06,209.79955,[-0.823 -0.5   -0.461 -0.752  0.014],702.5850532054901,11.83276,1.104612,0.92621356,-416853250000000.0,85,306702,0.025743285
-17.35057,215.55247,1.0064597,8600,35.72478,-107.79531249309355,100,-396099630000000.0,1.0028374,36.52,-4.119873e-06,249.63516,[-0.823 -0.5   -0.46  -0.753  0.014],710.7344253063202,12.514111,1.160126,0.8489366,-396099630000000.0,86,310354,0.057760395
-14.618988,216.45564,1.0061247,8700,35.399487,-108.73718765222856,100,-392072600000000.0,1.0032551,36.6,1.1444092e-06,216.14963,[-0.824 -0.498 -0.46  -0.753  0.015],719.8087611198425,11.037436,1.1815932,0.8831636,-392072600000000.0,87,314014,0.054138668
-16.1279,212.50963,1.0069441,8800,47.012947,-106.95771312783178,100,-343243150000000.0,1.0043855,36.74,5.455017e-06,317.87134,[-0.824 -0.497 -0.46  -0.756  0.014],728.0852434635162,12.453791,1.2121195,0.8146763,-343243150000000.0,88,317688,0.076111786
-19.84224,200.72272,1.0055802,8900,51.544075,-107.65567891411376,100,-368742140000000.0,1.0055486,38.6,8.010864e-07,357.73657,[-0.823 -0.495 -0.461 -0.757  0.013],737.1549832820892,13.66892,1.2229472,0.8370372,-368742140000000.0,89,321548,0.07744504
-15.172577,219.8039,1.0048716,9000,43.75184,-107.84518799849862,100,-368742140000000.0,1.0039694,35.92,-5.569458e-06,326.68524,[-0.824 -0.496 -0.461 -0.754  0.014],745.4764542579651,12.471255,1.2124423,0.7511529,-368742140000000.0,90,325140,0.06590987
-16.24276,219.94049,1.0048072,9100,32.319546,-107.37355760515881,100,-466353820000000.0,1.0011361,35.82,-6.1035155e-07,200.84212,[-0.824 -0.496 -0.46  -0.752  0.014],753.589396238327,11.963334,1.133849,0.9005112,-466353820000000.0,91,328722,0.030851252
-16.184341,226.32439,1.0058216,9200,38.214718,-106.99690029221277,100,-485754660000000.0,1.0011879,34.93,-4.272461e-06,196.67973,[-0.825 -0.497 -0.459 -0.754  0.015],761.4313008785248,12.079439,1.116936,0.9131029,-485754660000000.0,92,332215,0.028948257
-14.542786,240.06334,1.004378,9300,38.84751,-108.35712506527757,100,-408426460000000.0,1.0004511,33.6,-3.8146972e-08,158.48976,[-0.826 -0.497 -0.459 -0.756  0.013],769.1416661739349,11.388736,1.0946281,0.94366765,-408426460000000.0,93,335575,0.020144708
-19.579567,199.60669,1.0025673,9400,57.17923,-106.81385036609248,100,-416853250000000.0,1.0090789,38.57,1.9836425e-06,506.7345,[-0.826 -0.498 -0.46  -0.755  0.013],777.8551054000854,14.088587,1.4164412,0.7647686,-416853250000000.0,94,339432,0.098443024
-18.254105,207.97342,1.0057924,9500,31.226795,-107.49082101475216,100,-443174150000000.0,1.0012364,37.49,3.1280517e-06,160.06532,[-0.826 -0.5   -0.459 -0.753  0.013],785.9287507534027,11.9811,1.1082513,0.84125745,-443174150000000.0,95,343181,0.03653786
-16.622696,198.40147,1.0068272,9600,45.043053,-107.82667102979076,100,-316215660000000.0,1.0013707,39.02,2.7465821e-06,215.77827,[-0.826 -0.501 -0.461 -0.752  0.014],794.479362487793,12.3741865,1.1274124,0.8900867,-316215660000000.0,96,347083,0.03806374
-14.981522,232.1372,1.0058645,9700,35.821198,-108.04865357896495,100,-490727960000000.0,1.0021228,34.46,6.027222e-06,187.2403,[-0.827 -0.501 -0.461 -0.754  0.014],802.0777833461761,11.697096,1.1141976,0.90128535,-490727960000000.0,97,350529,0.040017948
