EmpiricalD2,ReturnMeanIW,EpLenMean,StdIW,Iteration,Weights,InitialReturnStd,InitialReturnMax,TimeElapsed,MaxIW,EpThisIter,Bound,EpRewMean,J_sample_variance,InitialReturnMin,MeanIW,MinIW,InitialReturnMean,TimestepsSoFar,EpisodesSoFar,InitialBound
5.997459e+33,8.881732,236.08,5.1237736,65,[-2.856 -0.446  1.984 -0.17  -1.8  ],3.382938,4.609136,937.8532438278198,472.10315,100,8.881732,-274.5657279956732,2403.9192,-7.9133973,0.38714522,2.3432732e-27,-6.4849854e-07,327827,6500,3.7096303
inf,5.7393365,249.06,5.58263,66,[-2.852 -0.489  2.001 -0.174 -1.8  ],3.3822944,5.4822216,986.0037062168121,1051.993,100,5.7393365,-285.3691447409563,977.5813,-8.305278,0.062140185,,2.002716e-07,352733,6600,3.107666
3.253885e+34,61.987156,160.6,29.839218,67,[-2.817 -0.408  2.01  -0.166 -1.869],4.111225,6.6584973,1018.2263188362122,2339.8477,100,61.987156,-215.22972665135055,387534.2,-6.66273,2.0813234,8.788364e-28,-1.4781952e-07,368793,6700,4.0302353
inf,21.007599,90.73,3.6776562,68,[-2.822 -0.406  2.032 -0.186 -1.874],4.0621943,6.5823307,1040.9094126224518,335.61823,100,21.007599,-161.4330638422718,16743.938,-7.2374363,0.08904666,,7.6293946e-07,377866,6800,7.709466
inf,549.3906,75.56,271.74997,69,[-2.775 -0.401  2.095 -0.119 -1.871],4.4736657,6.8652644,1058.8580667972565,23195.22,100,549.3906,-149.40505015319397,29743678.0,-8.352659,5.4720974,,6.7710874e-07,385422,6900,9.354327
3.7996157e+17,19.722502,107.59,7.9955473,70,[-2.799 -0.423  2.158 -0.139 -1.888],4.880068,7.4843073,1084.4475638866425,348.2239,100,19.722502,-175.09174510718796,18105.9,-7.332548,1.0499158,4.1686923e-12,7.390976e-07,396181,7000,5.4759283
inf,38.822136,36.05,2.4346778,71,[-2.781 -0.399  2.136 -0.153 -1.894],4.5303907,8.661529,1095.2120866775513,252.26434,100,38.822136,-119.62868331491542,16928.889,-6.670946,0.085913986,,3.0517577e-07,399786,7100,21.48734
inf,83.84263,69.16,55.65413,72,[-2.796 -0.456  2.128 -0.209 -1.899],4.4862857,6.426297,1111.838185787201,7342.712,100,83.84263,-141.98198151297578,533326.9,-8.959276,1.5561382,,-4.7683717e-08,406702,7200,10.706833
2.1036779e+29,35.91511,36.85,11.126269,73,[-2.801 -0.463  2.162 -0.231 -1.907],4.5756216,7.180335,1124.2484948635101,462.0784,100,35.91511,-119.26660058885923,18900.463,-9.597398,1.3797265,3.3912678e-13,-5.626678e-07,410387,7300,21.683533
182659630000.0,24.672966,41.35,1.3873122,74,[-2.8   -0.416  2.135 -0.236 -1.915],4.2550173,7.7276726,1135.6036939620972,116.76305,100,24.672966,-122.31098834273172,1103.9229,-6.022664,0.23346512,9.975047e-08,1.0967255e-07,414522,7400,18.192848
inf,102.194786,34.63,10.155532,75,[-2.824 -0.442  2.144 -0.248 -1.931],4.4919314,7.716773,1146.5721752643585,1408.9807,100,102.194786,-116.58852489754558,747622.3,-7.081066,0.1305363,,3.2424927e-07,417985,7500,23.039753
inf,34.326878,44.09,3.480743,76,[-2.785 -0.49   2.183 -0.184 -1.939],4.615002,6.525672,1158.4278235435486,474.13242,100,34.326878,-124.49012932958085,31333.018,-7.0430193,0.08728725,,-3.4332277e-07,422394,7600,17.870546
963699800000000.0,12.205572,76.02,1.0277805,77,[-2.786 -0.492  2.209 -0.137 -1.942],4.667123,6.645667,1176.860524892807,66.95163,100,12.205572,-150.27242965964444,180.23033,-8.0291605,0.21874975,2.3598957e-12,-5.7220458e-08,429996,7700,9.40982
inf,36.281918,79.51,11.296993,78,[-2.801 -0.508  2.21  -0.165 -1.956],4.8336883,7.4720173,1194.9580626487732,1276.3158,100,36.281918,-153.56935247928385,63127.277,-8.428322,0.22739077,,8.869171e-07,437947,7800,8.439973
