EpLenMean,EpRewMean,InitialReturnMax,Iteration,ReturnMeanIW,InitialBound,EmpiricalD2,J_sample_variance,InitialReturnMin,EpisodesSoFar,TimeElapsed,Bound,InitialReturnMean,MinIW,EpThisIter,MeanIW,TimestepsSoFar,StdIW,InitialReturnStd,MaxIW,Weights
126.07,-107.22815676314887,3.1990538,61,2.6189983,-7.431429,1.0,2.2930238,-3.1701713,6100,1260.827639579773,-7.431429,6.4849854e-07,1.0,100,1.0,624381,,1.506683,1.0,[-0.701 -1.325 -0.38  -0.927 -0.129]
124.9,-108.40749088960501,3.9528239,62,2.6297083,-7.420746,1.0,3.1621666,-3.6811247,6200,1285.1240158081055,-7.420746,-2.9563904e-07,1.0,100,1.0,636871,,1.7693347,1.0,[-0.701 -1.325 -0.38  -0.927 -0.129]
127.34,-108.12610764158534,3.960446,63,2.3682275,-7.6822352,1.0,3.0142689,-3.4555883,6300,1309.0008809566498,-7.6822352,8.34465e-07,1.0,100,1.0,649605,,1.7274624,1.0,[-0.701 -1.325 -0.38  -0.927 -0.129]
121.85,-109.10287421818731,3.400072,64,2.7051506,-7.3453083,1.0,2.565972,-2.913046,6400,1333.6643574237823,-7.3453083,5.00679e-07,1.0,100,1.0,661790,,1.593836,1.0,[-0.701 -1.325 -0.38  -0.927 -0.129]
141.57,-108.23435281132652,3.06394,65,1.8263874,-8.22402,1.0,2.4364548,-3.6828299,6500,1363.0597257614136,-8.22402,-2.5749208e-07,1.0,100,1.0,675947,,1.5530907,1.0,[-0.701 -1.325 -0.38  -0.927 -0.129]
120.85,-108.77078947733303,4.0424967,66,2.823096,-7.227503,1.0,2.271915,-3.3591566,6600,1385.8418943881989,-7.227499,-4.9114226e-07,0.99994177,100,1.0000017,688032,1.5628459e-05,1.499729,1.0000503,[-0.701 -1.325 -0.38  -0.927 -0.129]
137.35,-111.74773011427504,3.768025,67,2.284101,-8.190937,73.69604,12.00009,-3.4172244,6700,1413.2754757404327,-8.043451,-3.4332277e-07,0.00076433155,100,0.7864628,701767,1.0955571,1.7028117,14.836589,[-0.701 -1.325 -0.38  -0.927 -0.129]
111.94,-107.31270923356479,3.8507564,68,3.6307802,-6.419654,1.0,2.9413676,-3.7473722,6800,1436.3497087955475,-6.419654,6.008148e-07,1.0,100,1.0,712961,,1.7064449,1.0,[-0.704 -1.313 -0.364 -0.951 -0.133]
119.87,-107.6275717453669,3.754336,69,3.11182,-7.0989075,1.6887137,3.3289459,-3.5351825,6900,1459.1623804569244,-7.0087404,-1.5735627e-07,0.028401118,100,1.029072,724948,0.6727878,1.582309,4.106404,[-0.704 -1.313 -0.364 -0.951 -0.133]
104.1,-102.46439010563199,3.7719002,70,4.1824393,-5.9914823,1.4578723,3.6465952,-4.7431135,7000,1479.4898059368134,-5.926041,-1.335144e-07,0.10545065,100,1.0220317,735358,0.53667456,1.7501535,3.5289605,[-0.703 -1.308 -0.371 -0.961 -0.131]
