EpLenMean,EpisodesSoFar,EmpiricalD2,MinIW,J_sample_variance,EpRewMean,InitialReturnMax,InitialReturnMean,TimestepsSoFar,EpThisIter,TimeElapsed,StdIW,Bound,Iteration,InitialBound,MaxIW,ReturnMeanIW,InitialReturnMin,InitialReturnStd,Weights,MeanIW
16.13,2600,1.2476238,0.17253727,52964.51,-107.90001093743896,6.7601624,-2.2888185e-06,162098,100,492.0481753349304,0.4327245,589.7779,26,571.0955,2.838547,589.7779,-4.3453903,2.690268,[-0.488 -0.803 -2.375 -0.033 -0.729],1.0313827
16.29,2700,853.012,4.9134624e-06,16556839.0,-108.2620646673071,9.303459,6.790161e-06,163727,100,498.90567207336426,7.729365,1094.5369,27,566.6104,114.929565,1094.5369,-3.594574,2.7222533,[-0.464 -0.801 -2.377 -0.013 -0.742],1.9677906
16.4,2800,24.038002,0.00079265924,2172611.5,-108.2677300230527,7.888176,-6.2561035e-06,165367,100,508.30180978775024,2.8728034,691.30475,28,562.2856,30.322905,691.30475,-4.362297,2.5853858,[-0.511 -0.794 -2.447 -0.031 -0.81 ],1.2465202
16.27,2900,37781.6,2.4868864e-06,25834542.0,-108.10986723834017,7.1957703,-6.790161e-06,166994,100,516.0079638957977,10.126482,939.9219,29,566.5817,83.87099,939.9219,-4.0477905,2.6829689,[-0.497 -0.796 -2.481 -0.053 -0.805],1.7430497
16.32,3000,7957956500000000.0,3.6545658e-10,705636000.0,-108.1785985846779,8.477821,5.4931643e-06,168626,100,524.6256852149963,50.896152,3453.3623,30,564.97546,530.86865,3453.3623,-3.5821457,2.66612,[-0.491 -0.805 -2.395 -0.115 -0.883],6.492616
16.86,3100,488455700.0,8.2508995e-09,8461669000.0,-108.60214657145953,7.357231,4.196167e-06,170312,100,534.9683976173401,156.20303,9537.852,31,546.45483,10533.84,9537.852,-4.0930023,2.695722,[-0.455 -0.73  -2.236 -0.17  -0.795],15.032613
15.87,3200,5.9026184,0.006317856,1244468.8,-107.82495641598642,8.675957,-5.8746336e-06,171899,100,544.1242949962616,2.0987754,650.68005,32,581.36255,19.476025,650.68005,-4.231735,2.2807546,[-0.518 -0.76  -2.248 -0.311 -0.809],1.1304479
16.42,3300,7949.7407,0.00045295534,20690708.0,-107.82261425451198,8.154457,-5.1116945e-06,173541,100,552.2537710666656,8.508486,1160.2664,33,559.2116,122.306946,1160.2664,-4.3943863,2.76352,[-0.553 -0.768 -2.27  -0.345 -0.772],2.1061459
16.54,3400,1.6719818,0.1681706,140727.56,-108.47626352367857,7.621933,-3.6621093e-06,175195,100,561.7508041858673,0.729033,590.7925,34,557.9234,4.386283,590.7925,-4.073311,2.715238,[-0.555 -0.883 -2.383 -0.412 -0.73 ],1.061816
16.24,3500,28437.97,1.0108414e-06,34439244.0,-107.65914030854758,9.200371,-3.0517579e-06,176819,100,569.6059596538544,11.703048,1020.0441,35,565.4192,105.10368,1020.0441,-4.1615524,2.7711413,[-0.535 -0.892 -2.362 -0.421 -0.699],1.9133575
16.22,3600,58.41921,0.0006980725,3963425.0,-108.12732973219232,7.552063,2.2125244e-06,178441,100,578.4678108692169,3.9544175,631.21387,36,568.6882,36.470154,631.21387,-4.1091003,2.4563112,[-0.603 -0.933 -2.357 -0.369 -0.752],1.1292608
16.82,3700,19572007000.0,4.9190276e-06,98209650.0,-108.19830800472626,7.0765076,-8.392334e-07,180123,100,586.6429278850555,21.266552,1372.989,37,545.9129,216.99208,1372.989,-4.5794983,2.834603,[-0.635 -0.965 -2.331 -0.398 -0.775],2.7723038
16.42,3800,541.9706,5.7717795e-09,345987070.0,-108.19502222343831,8.498764,2.2888183e-07,181765,100,596.1017065048218,37.035385,2549.7583,38,561.1413,376.66418,2549.7583,-4.164818,2.8187876,[-0.591 -0.971 -2.418 -0.315 -0.674],4.9066486
16.46,3900,40918524.0,6.409102e-08,137162480.0,-108.4543956212411,10.194847,-5.264282e-06,183411,100,604.5478570461273,22.311636,1719.9894,39,560.9108,473.91745,1719.9894,-3.906746,2.9254606,[-0.418 -1.062 -2.375 -0.435 -0.893],3.1771407
16.25,4000,45.225704,0.00038792827,3317933.0,-108.09846214204553,7.082039,6.866455e-06,185036,100,613.0676460266113,3.4298794,808.2046,40,567.32764,36.995293,808.2046,-4.446205,2.8269982,[-0.387 -1.071 -2.362 -0.338 -0.928],1.4388764
16.5,4100,4.2540417e+27,3.3960767e-17,147196560.0,-107.92273921688484,8.400627,6.6375733e-06,186686,100,621.5667424201965,22.695774,1354.9884,41,556.63776,494.7056,1354.9884,-4.0997925,2.7871172,[-0.424 -1.121 -2.419 -0.376 -0.91 ],2.4110456
16.76,4200,1.5657272,0.045891,156688.02,-108.42118158814459,9.538208,-1.0681152e-05,188362,100,630.3903288841248,0.72937137,594.56555,42,549.2595,5.108943,594.56555,-4.0518417,2.7745366,[-0.449 -1.168 -2.522 -0.506 -0.869],1.0838593
16.49,4300,79225.7,1.8634617e-05,123560580.0,-108.45263649841976,7.810364,6.6375733e-06,190011,100,638.2993156909943,22.843716,1837.3215,43,559.72345,263.1686,1837.3215,-3.8845215,2.5707886,[-0.442 -1.137 -2.485 -0.506 -0.878],3.5145214
16.25,4400,2654807.5,3.0433668e-08,130480680000.0,-107.66343296168789,8.191055,-9.918213e-07,191636,100,647.822518825531,765.90106,36266.297,44,565.045,7858.5957,36266.297,-4.4321747,2.6656508,[-0.46  -1.263 -2.546 -0.489 -0.848],75.68594
15.91,4500,14726106.0,1.1263884e-08,265615860.0,-107.89297491793924,8.196632,2.9754638e-06,193227,100,658.367036819458,31.49512,2062.732,45,580.0668,320.30914,2062.732,-3.7700882,2.3385727,[-0.427 -1.204 -2.588 -0.484 -0.878],3.8486059
16.07,4600,209211.16,8.514093e-09,956711800.0,-107.70911553043283,8.398735,1.0070801e-05,194834,100,667.6397483348846,62.185307,3573.4814,46,572.53235,636.49524,3573.4814,-4.372406,2.6090028,[-0.405 -1.171 -2.562 -0.366 -0.9  ],6.9896636
15.81,4700,7476.705,2.1392982e-06,67283416.0,-107.9137527467459,8.834343,5.569458e-06,196415,100,676.8106138706207,15.810156,1338.3716,47,584.37,158.43211,1338.3716,-4.091835,2.4146562,[-0.435 -1.172 -2.615 -0.423 -0.987],2.4418666
16.16,4800,21.079231,0.002757742,2671207.8,-108.04805142741647,8.906662,2.2125244e-06,198031,100,686.1588912010193,3.1369681,734.99445,48,570.66876,55.50287,734.99445,-3.8754578,2.6394224,[-0.349 -1.101 -2.534 -0.477 -1.06 ],1.3001078
16.04,4900,179432.36,5.0321767e-05,479242050.0,-108.49875245458303,8.345558,2.5939942e-06,199635,100,694.7369933128357,40.575855,2725.724,49,577.9295,474.25494,2725.724,-3.2990875,2.6720495,[-0.343 -1.133 -2.524 -0.479 -1.043],4.982195
16.13,5000,46.63796,7.581061e-05,7538085.0,-108.06906379090101,7.815483,-2.1362305e-06,201248,100,703.6997802257538,5.436583,847.35364,50,571.9827,49.167328,847.35364,-4.135025,2.7131999,[-0.316 -1.086 -2.433 -0.535 -1.068],1.5313628
16.45,5100,16.838682,0.0025196627,2363986.5,-108.35683262086368,7.3301544,3.1280517e-06,202893,100,712.4982812404633,3.0886643,740.6507,51,560.795,26.041483,740.6507,-4.3745575,2.5122395,[-0.255 -1.02  -2.366 -0.535 -1.168],1.3482175
16.17,5200,60999.33,4.0217463e-07,911788800.0,-107.88179606965372,7.5074615,5.340576e-06,204510,100,720.662398815155,60.11932,3605.1587,52,569.40674,612.3921,3605.1587,-4.0450363,2.5621529,[-0.259 -1.084 -2.401 -0.534 -1.194],7.020814
16.03,5300,4.767778,0.014992677,774488.9,-107.86920548245538,6.8348694,3.890991e-06,206113,100,729.5090939998627,1.6447593,646.6214,53,574.98975,14.753772,646.6214,-3.9089355,2.631629,[-0.207 -1.037 -2.407 -0.519 -1.203],1.1304138
16.15,5400,2.0131252,0.023921654,227012.36,-108.35342047834003,5.89196,-6.1035157e-06,207728,100,738.1040334701538,0.93088514,636.64374,54,572.6782,5.182923,636.64374,-3.797493,2.2291324,[-0.179 -1.022 -2.4   -0.488 -1.201],1.1179914
16.95,5500,12.195273,0.012672223,1652205.4,-108.10722870453596,5.967041,-5.1879883e-06,209423,100,746.0899789333344,2.5128477,706.75037,55,540.6784,34.65179,706.75037,-4.475418,2.985661,[-0.187 -1.033 -2.399 -0.484 -1.232],1.321348
16.18,5600,27.653187,0.0021781567,23903534.0,-107.94138043412464,8.668045,3.1280517e-06,211041,100,754.5089726448059,9.01305,1124.4934,56,569.3132,116.71167,1124.4934,-3.9350204,2.8446467,[-0.198 -1.016 -2.369 -0.469 -1.231],2.0173938
16.11,5700,278.6271,0.00022564872,9931237.0,-107.57889099768579,7.078003,-1.9836425e-06,212652,100,762.9413397312164,6.2883234,1079.9646,57,570.2128,41.05184,1079.9646,-4.425522,2.837317,[-0.143 -1.012 -2.334 -0.455 -1.23 ],2.0013967
16.26,5800,441.03806,2.514991e-05,3789497.2,-108.05846384404755,7.2826385,-3.8146973e-07,214278,100,771.4908866882324,3.7060463,808.90906,58,566.72235,157.54956,808.90906,-3.8803864,2.6939895,[-0.168 -1.026 -2.319 -0.508 -1.243],1.4540966
15.83,5900,4044380.5,5.9556687e-06,185108320.0,-108.11628192828277,4.9111633,-5.340576e-06,215861,100,780.5515067577362,23.964876,2387.1956,59,584.60236,294.10156,2387.1956,-3.6328735,2.009056,[-0.168 -1.024 -2.28  -0.547 -1.241],4.163245
16.07,6000,24915310000.0,6.229436e-07,128817530.0,-107.91911083689106,8.012321,1.487732e-05,217468,100,789.0978076457977,22.559189,1641.0162,60,573.63654,211.70224,1641.0162,-3.5278015,3.0217159,[-0.208 -1.076 -2.368 -0.498 -1.247],3.1384494
16.81,6100,1.1809086,0.25114292,34815.332,-107.73148553488929,6.1841354,-3.0517577e-07,219149,100,798.6017246246338,0.3804105,555.89996,61,543.95,2.850317,555.89996,-4.988434,2.7684095,[-0.218 -1.154 -2.404 -0.46  -1.18 ],1.024577
16.12,6200,6262.39,0.00012456682,33429814.0,-108.06567080281378,7.244957,-2.5939942e-06,220761,100,805.6926009654999,10.813971,996.72656,62,572.3762,151.01854,996.72656,-4.028511,2.49094,[-0.214 -1.164 -2.403 -0.472 -1.173],1.7957089
16.4,6300,122948.26,6.2849745e-07,16460940.0,-108.61488684428808,7.532654,-6.3323973e-06,222401,100,814.1616830825806,7.403746,1020.23285,63,564.1011,114.71789,1020.23285,-3.9110107,2.6991243,[-0.253 -1.097 -2.328 -0.442 -1.138],1.8331159
16.66,6400,1.705687,0.106093355,150898.02,-108.26475102218963,7.8792343,3.2806397e-06,224067,100,823.3108587265015,0.76096493,602.3881,64,552.2551,4.2354116,602.3881,-4.2502975,2.9345233,[-0.263 -1.125 -2.396 -0.391 -1.157],1.0963397
15.7,6500,2.4343917,0.05491114,345614.2,-107.94010551561243,7.0505066,8.392334e-07,225637,100,829.9057636260986,1.0616271,662.8341,65,589.1766,6.21006,662.8341,-3.8527374,2.404754,[-0.267 -1.127 -2.41  -0.399 -1.171],1.1266917
15.74,6600,588473.94,9.182471e-08,36662292.0,-108.12877317654565,6.9070053,-5.340576e-07,227211,100,837.7555103302002,11.54074,1104.4807,66,588.4817,114.44705,1104.4807,-3.6714478,2.3230157,[-0.261 -1.115 -2.381 -0.399 -1.183],1.9715625
15.98,6700,48.74607,0.001295025,4585138.0,-107.99060107461538,8.078522,2.3651123e-06,228809,100,846.1612210273743,4.039617,792.86285,67,577.69183,87.85804,792.86285,-3.8789444,2.5365372,[-0.275 -1.077 -2.4   -0.325 -1.214],1.3851937
16.13,6800,14.010763,0.003918589,4927069.5,-107.50819804905471,7.4902267,1.4495849e-06,230422,100,853.8624885082245,4.4709682,699.61194,68,569.02997,43.62677,699.61194,-4.239212,2.674106,[-0.22  -1.025 -2.353 -0.304 -1.206],1.2746807
15.95,6900,66796384000.0,3.470467e-08,1468228400.0,-107.79860272560266,6.394165,-7.6293944e-08,232017,100,862.3411140441895,79.948845,4085.544,69,577.9095,820.13763,4085.544,-4.3669586,2.4952543,[-0.2   -1.008 -2.331 -0.274 -1.202],8.222563
16.0,7000,46.74787,0.0051419334,5072985.0,-108.01388814129001,7.99308,4.8828124e-06,233617,100,871.5078313350677,4.351861,787.8589,70,577.01166,46.328278,787.8589,-3.801056,2.8631477,[-0.224 -1.023 -2.273 -0.33  -1.208],1.4051559
16.19,7100,16094884000.0,2.411558e-09,110771020000.0,-108.14148198898052,7.4112167,1.4495849e-06,235236,100,879.3696279525757,632.44446,33573.93,71,569.9389,6600.9673,33573.93,-3.9354248,2.4625738,[-0.229 -1.025 -2.282 -0.366 -1.199],63.50741
16.54,7200,2182.49,2.7359107e-05,3853776.2,-108.60676883833683,7.01075,-1.5258789e-06,236890,100,889.577131986618,3.776197,866.0643,72,558.5898,23.202248,866.0643,-3.6348495,2.5540886,[-0.254 -1.039 -2.274 -0.473 -1.187],1.5793191
16.05,7300,94.200905,0.00042246905,4036160.0,-107.64690636611094,7.104767,-2.3651123e-06,238495,100,898.2983622550964,3.8214312,776.7963,73,573.0015,47.086952,776.7963,-4.0764923,2.690636,[-0.26  -1.059 -2.298 -0.528 -1.218],1.3685019
16.17,7400,2.4292692e+16,9.935408e-14,17877168000.0,-107.73307115619264,6.9242783,9.231568e-06,240112,100,906.8134715557098,242.72397,14333.571,74,568.61475,3133.664,14333.571,-4.445198,2.5751357,[-0.208 -1.003 -2.24  -0.507 -1.227],26.037565
16.26,7500,15531260000.0,3.2046902e-08,542894460.0,-107.8729585588184,7.6237793,2.9754638e-06,241738,100,916.297598361969,47.34229,2670.881,75,565.7551,482.20602,2670.881,-4.3470993,2.602065,[-0.307 -1.127 -2.406 -0.478 -1.234],5.271529
15.85,7600,1.4572712,0.11387639,96939.14,-107.94251765165431,7.703087,-1.1367798e-05,243323,100,924.4137210845947,0.5764771,600.8902,76,582.84045,3.5826502,600.8902,-3.9062653,2.4219172,[-0.232 -1.028 -2.315 -0.498 -1.222],1.0310261
16.66,7700,3.5906108e+18,1.5519608e-09,287037230000.0,-108.5808994271487,7.9477234,2.4414062e-06,244989,100,931.4986526966095,1082.8049,53777.902,77,553.861,48980.25,53777.902,-3.9014893,2.6929188,[-0.244 -1.025 -2.311 -0.487 -1.223],106.32346
16.24,7800,2362279800000000.0,9.815395e-20,906959700.0,-107.69530872356125,6.3499985,-2.1362305e-06,246613,100,942.4566977024078,60.89578,3123.1145,78,565.62213,685.55493,3123.1145,-4.0107803,2.597792,[-0.278 -1.09  -2.447 -0.44  -1.166],6.1344905
16.19,7900,4.81371,0.056918092,627280.94,-108.03436002041718,7.1252594,7.5531007e-06,248232,100,952.2080514431,1.5178286,646.0158,79,569.3953,13.311989,646.0158,-4.18071,2.652231,[-0.308 -1.08  -2.524 -0.476 -1.176],1.1404212
16.57,8000,6.751393,0.0125211645,710503.7,-108.20630894503864,6.2121277,6.2561035e-06,249889,100,959.9052710533142,1.7163209,622.28796,80,555.3824,20.332611,622.28796,-4.308525,2.620616,[-0.298 -1.079 -2.541 -0.484 -1.171],1.1337849
16.06,8100,16526.502,4.754812e-06,18027322.0,-107.70461236468554,8.542503,5.0354006e-06,251495,100,966.9164817333221,7.496091,785.8931,81,572.9044,149.36058,785.8931,-4.101776,2.8588274,[-0.278 -1.062 -2.549 -0.469 -1.177],1.3352891
16.43,8200,671.6806,3.983438e-05,11757550.0,-108.06819565919254,6.1971054,1.7547608e-06,253138,100,975.3597037792206,6.7797365,871.34576,82,560.08246,74.111206,871.34576,-4.2948074,2.594349,[-0.08  -1.173 -2.537 -0.522 -1.185],1.5935822
16.19,8300,1773981900000.0,1.2420173e-13,1177881700.0,-107.87518302464217,7.663048,-7.019043e-06,254757,100,983.9092466831207,65.08008,3559.7139,83,568.55707,820.51196,3559.7139,-4.3281174,2.6522148,[-0.071 -1.204 -2.514 -0.561 -1.216],6.6434813
16.65,8400,3.207718,0.014711262,986841.0,-107.76057644811175,8.195877,3.8146973e-07,256422,100,994.1506412029266,1.8902482,670.76074,84,550.0703,20.2248,670.76074,-4.844162,2.8794966,[-0.098 -1.224 -2.602 -0.597 -1.253],1.2326783
16.37,8500,85.35125,7.4502575e-05,1967174.2,-107.96203753169583,7.5809937,1.5258789e-07,258059,100,1002.8651096820831,2.5742002,736.4608,85,561.8872,59.371746,736.4608,-4.5673065,2.8465788,[-0.123 -1.249 -2.636 -0.606 -1.265],1.3066881
15.94,8600,2.934089,0.07666443,332632.5,-108.3852637776333,6.637909,4.7302246e-06,259653,100,1012.0442023277283,1.0657762,666.21564,86,581.44904,8.847393,666.21564,-3.5460358,2.3472328,[-0.116 -1.268 -2.675 -0.572 -1.277],1.14796
16.26,8700,400.10034,0.0004691762,24341216.0,-108.37474782850761,7.793167,1.0986329e-05,261279,100,1019.566118478775,9.630809,1292.9734,87,568.3734,129.67412,1292.9734,-4.0299606,2.5512846,[-0.087 -1.242 -2.644 -0.587 -1.286],2.4000666
16.27,8800,29.493374,8.415464e-05,9644573.0,-107.86498477554674,7.926697,3.8146973e-06,262906,100,1027.8534889221191,6.0090704,993.9613,88,565.32043,56.58663,993.9613,-3.8912735,2.9822383,[-0.074 -1.206 -2.652 -0.566 -1.282],1.8149239
16.64,8900,2038.391,0.00017233966,89476070.0,-107.91811120926418,7.2734222,-2.3651123e-06,264570,100,1035.9080619812012,19.324253,1448.8262,89,551.2589,197.21869,1448.8262,-4.371643,2.733115,[-0.073 -1.197 -2.658 -0.517 -1.33 ],2.8224142
16.57,9000,8359.785,7.366684e-05,9563626.0,-108.40731077835937,7.8356094,-9.765625e-06,266227,100,1044.8258850574493,6.160227,744.81195,90,556.4174,56.168552,744.81195,-3.990715,2.7346687,[-0.043 -1.173 -2.633 -0.469 -1.353],1.3608375
16.46,9100,1.8590567e+17,1.0328895e-11,499951170.0,-108.25282975231183,8.644142,1.9836425e-06,267873,100,1052.9017839431763,46.896267,2487.5261,91,559.8678,479.37695,2487.5261,-4.180443,2.7673004,[-0.044 -1.177 -2.672 -0.486 -1.337],5.027725
16.14,9200,1052.7462,0.0002790432,33026384.0,-107.81255907783077,6.766678,5.7983398e-06,269487,100,1061.3270926475525,11.303154,1364.4103,92,570.23157,70.289444,1364.4103,-4.154175,2.5260859,[-0.008 -1.143 -2.719 -0.421 -1.329],2.5392182
16.21,9300,15.348095,0.0027773974,3043316.8,-107.89683159179846,6.467041,1.8310546e-06,271108,100,1070.4473786354065,3.2957246,759.3715,93,567.8764,35.69978,759.3715,-4.197792,2.5023859,[-0.025 -1.165 -2.696 -0.435 -1.359],1.3542047
16.17,9400,7.6152163,0.0090290615,1102948.9,-107.69008533891879,6.980606,-3.8146973e-06,272725,100,1078.724998474121,2.020715,680.6172,94,568.374,18.72702,680.6172,-4.1179504,2.7510045,[ 0.028 -1.173 -2.659 -0.461 -1.371],1.2118217
15.95,9500,2.6934052,0.06969075,410982.62,-107.85501409556453,7.0763855,7.6293944e-08,274320,100,1086.8530595302582,1.1773013,635.5595,95,578.20386,8.6303835,635.5595,-3.7630463,2.3064456,[ 0.018 -1.176 -2.665 -0.433 -1.381],1.1017089
16.41,9600,1.2261992,0.12991127,69089.49,-107.94997009237221,6.867882,-7.3242186e-06,275961,100,1094.8889899253845,0.5051836,565.4886,96,560.25446,4.840746,565.4886,-4.1428375,2.6158528,[ 0.012 -1.163 -2.641 -0.432 -1.387],1.010509
15.51,9700,3.9179153,0.010373454,580536.2,-107.40981661254591,7.3740463,-9.002685e-06,277512,100,1102.1132974624634,1.3799049,711.57,97,594.44794,15.156017,711.57,-4.1220703,2.3776796,[ 0.022 -1.161 -2.636 -0.442 -1.391],1.2153633
16.17,9800,336356740000000.0,1.3820554e-12,254658000.0,-107.72952618574807,6.7332916,-1.7547608e-06,279129,100,1110.217883348465,33.270435,1739.2457,98,568.5899,340.54892,1739.2457,-4.3423843,2.3950891,[ 0.027 -1.146 -2.634 -0.414 -1.386],3.43358
16.04,9900,9446.615,2.4824945e-05,39244108.0,-108.86929560386814,6.7338943,9.002685e-06,280733,100,1119.1875331401825,11.88841,1161.1433,99,579.88715,139.12805,1161.1433,-2.8486938,2.2868454,[ 0.076 -1.114 -2.665 -0.359 -1.394],2.0953414
15.85,10000,2820.2258,0.00013279659,3189215.8,-108.01208040178238,6.407959,-9.613037e-06,282318,100,1128.2651934623718,3.201043,826.6187,100,583.20233,25.9319,826.6187,-3.8399506,2.3818421,[ 0.082 -1.086 -2.649 -0.398 -1.422],1.4315147
16.34,10100,6217815.5,2.433195e-09,194584000.0,-108.34030340791728,6.362755,-6.1798096e-06,283952,100,1136.279542684555,28.692938,1842.243,101,565.03064,291.2329,1842.243,-3.9749832,2.6240995,[ 0.052 -1.127 -2.719 -0.388 -1.433],3.5926008
