Weights,EpRewMean,InitialReturnMax,Iteration,StdIW,InitialReturnMin,MinIW,TimestepsSoFar,MeanIW,MaxIW,EpThisIter,TimeElapsed,InitialBound,J_sample_variance,InitialReturnStd,EmpiricalD2,Bound,EpisodesSoFar,EpLenMean,ReturnMeanIW,InitialReturnMean
[-0.09  -0.707 -0.239 -0.208 -0.519],-140.84827499878057,20.103539,11,16.709677,-17.378975,3.5103493e-09,48707,2.4921305,155.39532,100,164.8001229763031,117.697914,994514.2,7.859792,3389.7798,214.94249,1100,70.42,214.94249,7.6293946e-07
[-0.099 -0.77  -0.224 -0.18  -0.616],-151.6427803276376,18.697823,12,242.70932,-18.14814,2.8404449e-11,56967,6.04543,17747.102,100,186.95365190505981,101.184326,411864100.0,8.73682,4.090126e+20,2067.9968,1200,82.6,2067.9968,1.6784668e-06
[-0.065 -0.854 -0.189 -0.278 -0.544],-150.88277184858217,16.623222,13,3.5652103,-15.875458,0.0012209988,66769,1.3530203,50.219135,100,213.26190495491028,79.59847,25555.129,7.75944,61.45102,106.68984,1300,98.02,106.68984,-7.133484e-06
[-0.089 -0.859 -0.176 -0.304 -0.563],-154.76475061347986,26.14497,14,179.45825,-27.028748,1.6124511e-17,78095,4.157935,13216.352,100,239.79366207122803,66.351585,105836390.0,9.775868,7449170000000000.0,1054.5732,1400,113.26,1054.5732,6.1035155e-07
[-0.241 -0.876 -0.223 -0.239 -0.594],-191.89431581199534,18.752052,15,588.90594,-23.159134,7.438764e-18,96066,13.754925,52181.387,100,278.93116211891174,40.516956,207002940.0,8.711465,5.8855658e+20,1454.7734,1500,179.71,1454.7734,-1.4877319e-06
[-0.239 -0.814 -0.162 -0.194 -0.745],-259.74440293681033,15.51395,16,2.3113926e-17,-23.918087,,145918,1.03885923e-19,5.168497e-15,100,380.68226051330566,-9.879093,6.2809286e-33,8.815823,inf,-8.001078e-18,1600,498.52,-8.001078e-18,1.1444092e-06
[-0.31  -0.557 -2.112 -0.198 -0.867],-108.120829052012,6.6655884,17,3.5321035,-4.111824,0.0006470372,147570,1.3355246,33.482944,100,388.12608647346497,556.86487,2870145.2,2.4197528,14.086198,723.7909,1700,16.52,723.7909,-6.5612794e-06
[-0.322 -0.546 -2.145 -0.203 -0.876],-107.75239942548531,7.028839,18,165.54024,-4.191742,0.0003849463,149198,17.74227,3210.909,100,396.9690508842468,564.32794,7456681500.0,2.4770734,2.7015405e+19,9332.75,1800,16.28,9332.75,-7.5531007e-06
[-0.283 -0.617 -2.138 -0.342 -0.647],-107.86837953296808,7.831398,19,4.8921747,-4.1934433,0.0010229476,150819,1.4394239,48.08217,100,409.45615792274475,567.73303,6088668.0,2.7626178,17.705025,795.31366,1900,16.21,795.31366,-5.569458e-06
[-0.313 -0.497 -2.074 -0.346 -0.684],-107.66758160629362,8.420029,20,12.148732,-4.3383713,3.0292158e-10,152462,1.6396545,169.34265,100,420.14771366119385,558.00916,36638930.0,2.5094826,938872.94,868.54047,2000,16.43,868.54047,-6.790161e-06
[-0.342 -0.518 -2.061 -0.251 -0.79 ],-107.73338917398641,5.934288,21,3.721302,-4.5674667,0.002171058,154073,1.3481209,32.529068,100,429.2996709346771,571.03827,3859508.0,2.47479,89.08212,752.1652,2100,16.11,752.1652,-2.1362305e-06
[-0.359 -0.57  -2.118 -0.193 -0.765],-107.98133997542804,6.6046677,22,1135.344,-3.4713745,1.5187741e-12,155667,113.3537,16072.853,100,438.07644748687744,579.2862,356008430000.0,2.4192755,635195060000000.0,59953.31,2200,15.94,59953.31,-1.7547608e-06
[-0.371 -0.663 -2.225 -0.024 -0.797],-108.05620814860983,9.666016,23,1.6030875,-3.5448837,0.010763975,157281,1.3073652,14.345584,100,449.57730984687805,571.53107,751664.8,2.6006603,5.870928,739.02527,2300,16.14,739.02527,-7.858276e-06
[-0.395 -0.737 -2.288 -0.027 -0.777],-107.93261190897634,7.669159,24,6.120534,-3.8229294,0.011898436,158857,1.4637653,62.42474,100,457.9733486175537,586.57904,9561156.0,2.5464873,30.816189,819.46075,2400,15.76,819.46075,3.3569336e-06
[-0.38  -0.743 -2.289  0.028 -0.72 ],-108.1597887029344,8.080742,25,7.7390113,-4.058876,4.805392e-07,160485,2.0201106,81.44925,100,467.6073830127716,566.45215,16885136.0,2.6108181,10889.96,1098.1504,2500,16.28,1098.1504,6.027222e-06
[-0.488 -0.803 -2.375 -0.033 -0.729],-107.90001093743896,6.7601624,26,0.4327245,-4.3453903,0.17253727,162098,1.0313827,2.838547,100,477.7052118778229,571.0955,52964.51,2.690268,1.2476238,589.7779,2600,16.13,589.7779,-2.2888185e-06
[-0.464 -0.801 -2.377 -0.013 -0.742],-108.2620646673071,9.303459,27,7.729365,-3.594574,4.9134624e-06,163727,1.9677906,114.929565,100,485.7443985939026,566.6104,16556839.0,2.7222533,853.012,1094.5369,2700,16.29,1094.5369,6.790161e-06
[-0.511 -0.794 -2.447 -0.031 -0.81 ],-108.2677300230527,7.888176,28,2.8728034,-4.362297,0.00079265924,165367,1.2465202,30.322905,100,495.7826108932495,562.2856,2172611.5,2.5853858,24.038002,691.30475,2800,16.4,691.30475,-6.2561035e-06
[-0.497 -0.796 -2.481 -0.053 -0.805],-108.10986723834017,7.1957703,29,10.126482,-4.0477905,2.4868864e-06,166994,1.7430497,83.87099,100,504.8815371990204,566.5817,25834542.0,2.6829689,37781.6,939.9219,2900,16.27,939.9219,-6.790161e-06
[-0.491 -0.805 -2.395 -0.115 -0.883],-108.1785985846779,8.477821,30,50.896152,-3.5821457,3.6545658e-10,168626,6.492616,530.86865,100,514.0747854709625,564.97546,705636000.0,2.66612,7957956500000000.0,3453.3623,3000,16.32,3453.3623,5.4931643e-06
[-0.455 -0.73  -2.236 -0.17  -0.795],-108.60214657145953,7.357231,31,156.20303,-4.0930023,8.2508995e-09,170312,15.032613,10533.84,100,524.9032208919525,546.45483,8461669000.0,2.695722,488455700.0,9537.852,3100,16.86,9537.852,4.196167e-06
[-0.518 -0.76  -2.248 -0.311 -0.809],-107.82495641598642,8.675957,32,2.0987754,-4.231735,0.006317856,171899,1.1304479,19.476025,100,536.5583589076996,581.36255,1244468.8,2.2807546,5.9026184,650.68005,3200,15.87,650.68005,-5.8746336e-06
[-0.553 -0.768 -2.27  -0.345 -0.772],-107.82261425451198,8.154457,33,8.508486,-4.3943863,0.00045295534,173541,2.1061459,122.306946,100,545.9337236881256,559.2116,20690708.0,2.76352,7949.7407,1160.2664,3300,16.42,1160.2664,-5.1116945e-06
[-0.555 -0.883 -2.383 -0.412 -0.73 ],-108.47626352367857,7.621933,34,0.729033,-4.073311,0.1681706,175195,1.061816,4.386283,100,556.2956531047821,557.9234,140727.56,2.715238,1.6719818,590.7925,3400,16.54,590.7925,-3.6621093e-06
[-0.535 -0.892 -2.362 -0.421 -0.699],-107.65914030854758,9.200371,35,11.703048,-4.1615524,1.0108414e-06,176819,1.9133575,105.10368,100,563.7091131210327,565.4192,34439244.0,2.7711413,28437.97,1020.0441,3500,16.24,1020.0441,-3.0517579e-06
[-0.603 -0.933 -2.357 -0.369 -0.752],-108.12732973219232,7.552063,36,3.9544175,-4.1091003,0.0006980725,178441,1.1292608,36.470154,100,572.4292523860931,568.6882,3963425.0,2.4563112,58.41921,631.21387,3600,16.22,631.21387,2.2125244e-06
[-0.635 -0.965 -2.331 -0.398 -0.775],-108.19830800472626,7.0765076,37,21.266552,-4.5794983,4.9190276e-06,180123,2.7723038,216.99208,100,580.6025681495667,545.9129,98209650.0,2.834603,19572007000.0,1372.989,3700,16.82,1372.989,-8.392334e-07
[-0.591 -0.971 -2.418 -0.315 -0.674],-108.19502222343831,8.498764,38,37.035385,-4.164818,5.7717795e-09,181765,4.9066486,376.66418,100,591.385978937149,561.1413,345987070.0,2.8187876,541.9706,2549.7583,3800,16.42,2549.7583,2.2888183e-07
[-0.418 -1.062 -2.375 -0.435 -0.893],-108.4543956212411,10.194847,39,22.311636,-3.906746,6.409102e-08,183411,3.1771407,473.91745,100,601.2963104248047,560.9108,137162480.0,2.9254606,40918524.0,1719.9894,3900,16.46,1719.9894,-5.264282e-06
[-0.387 -1.071 -2.362 -0.338 -0.928],-108.09846214204553,7.082039,40,3.4298794,-4.446205,0.00038792827,185036,1.4388764,36.995293,100,612.1142609119415,567.32764,3317933.0,2.8269982,45.225704,808.2046,4000,16.25,808.2046,6.866455e-06
[-0.424 -1.121 -2.419 -0.376 -0.91 ],-107.92273921688484,8.400627,41,22.695774,-4.0997925,3.3960767e-17,186686,2.4110456,494.7056,100,622.966420173645,556.63776,147196560.0,2.7871172,4.2540417e+27,1354.9884,4100,16.5,1354.9884,6.6375733e-06
[-0.449 -1.168 -2.522 -0.506 -0.869],-108.42118158814459,9.538208,42,0.72937137,-4.0518417,0.045891,188362,1.0838593,5.108943,100,632.0628042221069,549.2595,156688.02,2.7745366,1.5657272,594.56555,4200,16.76,594.56555,-1.0681152e-05
[-0.442 -1.137 -2.485 -0.506 -0.878],-108.45263649841976,7.810364,43,22.843716,-3.8845215,1.8634617e-05,190011,3.5145214,263.1686,100,640.3613610267639,559.72345,123560580.0,2.5707886,79225.7,1837.3215,4300,16.49,1837.3215,6.6375733e-06
[-0.46  -1.263 -2.546 -0.489 -0.848],-107.66343296168789,8.191055,44,765.90106,-4.4321747,3.0433668e-08,191636,75.68594,7858.5957,100,650.3108115196228,565.045,130480680000.0,2.6656508,2654807.5,36266.297,4400,16.25,36266.297,-9.918213e-07
[-0.427 -1.204 -2.588 -0.484 -0.878],-107.89297491793924,8.196632,45,31.49512,-3.7700882,1.1263884e-08,193227,3.8486059,320.30914,100,661.8861167430878,580.0668,265615860.0,2.3385727,14726106.0,2062.732,4500,15.91,2062.732,2.9754638e-06
[-0.405 -1.171 -2.562 -0.366 -0.9  ],-107.70911553043283,8.398735,46,62.185307,-4.372406,8.514093e-09,194834,6.9896636,636.49524,100,672.6004309654236,572.53235,956711800.0,2.6090028,209211.16,3573.4814,4600,16.07,3573.4814,1.0070801e-05
[-0.435 -1.172 -2.615 -0.423 -0.987],-107.9137527467459,8.834343,47,15.810156,-4.091835,2.1392982e-06,196415,2.4418666,158.43211,100,682.5338425636292,584.37,67283416.0,2.4146562,7476.705,1338.3716,4700,15.81,1338.3716,5.569458e-06
[-0.349 -1.101 -2.534 -0.477 -1.06 ],-108.04805142741647,8.906662,48,3.1369681,-3.8754578,0.002757742,198031,1.3001078,55.50287,100,692.2112529277802,570.66876,2671207.8,2.6394224,21.079231,734.99445,4800,16.16,734.99445,2.2125244e-06
[-0.343 -1.133 -2.524 -0.479 -1.043],-108.49875245458303,8.345558,49,40.575855,-3.2990875,5.0321767e-05,199635,4.982195,474.25494,100,700.8970639705658,577.9295,479242050.0,2.6720495,179432.36,2725.724,4900,16.04,2725.724,2.5939942e-06
[-0.316 -1.086 -2.433 -0.535 -1.068],-108.06906379090101,7.815483,50,5.436583,-4.135025,7.581061e-05,201248,1.5313628,49.167328,100,711.5818853378296,571.9827,7538085.0,2.7131999,46.63796,847.35364,5000,16.13,847.35364,-2.1362305e-06
[-0.255 -1.02  -2.366 -0.535 -1.168],-108.35683262086368,7.3301544,51,3.0886643,-4.3745575,0.0025196627,202893,1.3482175,26.041483,100,722.8650603294373,560.795,2363986.5,2.5122395,16.838682,740.6507,5100,16.45,740.6507,3.1280517e-06
[-0.259 -1.084 -2.401 -0.534 -1.194],-107.88179606965372,7.5074615,52,60.11932,-4.0450363,4.0217463e-07,204510,7.020814,612.3921,100,732.863831281662,569.40674,911788800.0,2.5621529,60999.33,3605.1587,5200,16.17,3605.1587,5.340576e-06
[-0.207 -1.037 -2.407 -0.519 -1.203],-107.86920548245538,6.8348694,53,1.6447593,-3.9089355,0.014992677,206113,1.1304138,14.753772,100,744.2570707798004,574.98975,774488.9,2.631629,4.767778,646.6214,5300,16.03,646.6214,3.890991e-06
[-0.179 -1.022 -2.4   -0.488 -1.201],-108.35342047834003,5.89196,54,0.93088514,-3.797493,0.023921654,207728,1.1179914,5.182923,100,753.1338973045349,572.6782,227012.36,2.2291324,2.0131252,636.64374,5400,16.15,636.64374,-6.1035157e-06
[-0.187 -1.033 -2.399 -0.484 -1.232],-108.10722870453596,5.967041,55,2.5128477,-4.475418,0.012672223,209423,1.321348,34.65179,100,761.9889822006226,540.6784,1652205.4,2.985661,12.195273,706.75037,5500,16.95,706.75037,-5.1879883e-06
[-0.198 -1.016 -2.369 -0.469 -1.231],-107.94138043412464,8.668045,56,9.01305,-3.9350204,0.0021781567,211041,2.0173938,116.71167,100,771.8799984455109,569.3132,23903534.0,2.8446467,27.653187,1124.4934,5600,16.18,1124.4934,3.1280517e-06
[-0.143 -1.012 -2.334 -0.455 -1.23 ],-107.57889099768579,7.078003,57,6.2883234,-4.425522,0.00022564872,212652,2.0013967,41.05184,100,782.874543428421,570.2128,9931237.0,2.837317,278.6271,1079.9646,5700,16.11,1079.9646,-1.9836425e-06
[-0.168 -1.026 -2.319 -0.508 -1.243],-108.05846384404755,7.2826385,58,3.7060463,-3.8803864,2.514991e-05,214278,1.4540966,157.54956,100,792.3778917789459,566.72235,3789497.2,2.6939895,441.03806,808.90906,5800,16.26,808.90906,-3.8146973e-07
[-0.168 -1.024 -2.28  -0.547 -1.241],-108.11628192828277,4.9111633,59,23.964876,-3.6328735,5.9556687e-06,215861,4.163245,294.10156,100,801.562625169754,584.60236,185108320.0,2.009056,4044380.5,2387.1956,5900,15.83,2387.1956,-5.340576e-06
[-0.208 -1.076 -2.368 -0.498 -1.247],-107.91911083689106,8.012321,60,22.559189,-3.5278015,6.229436e-07,217468,3.1384494,211.70224,100,812.6608877182007,573.63654,128817530.0,3.0217159,24915310000.0,1641.0162,6000,16.07,1641.0162,1.487732e-05
[-0.218 -1.154 -2.404 -0.46  -1.18 ],-107.73148553488929,6.1841354,61,0.3804105,-4.988434,0.25114292,219149,1.024577,2.850317,100,822.718062877655,543.95,34815.332,2.7684095,1.1809086,555.89996,6100,16.81,555.89996,-3.0517577e-07
[-0.214 -1.164 -2.403 -0.472 -1.173],-108.06567080281378,7.244957,62,10.813971,-4.028511,0.00012456682,220761,1.7957089,151.01854,100,829.9579391479492,572.3762,33429814.0,2.49094,6262.39,996.72656,6200,16.12,996.72656,-2.5939942e-06
[-0.253 -1.097 -2.328 -0.442 -1.138],-108.61488684428808,7.532654,63,7.403746,-3.9110107,6.2849745e-07,222401,1.8331159,114.71789,100,838.9864871501923,564.1011,16460940.0,2.6991243,122948.26,1020.23285,6300,16.4,1020.23285,-6.3323973e-06
[-0.263 -1.125 -2.396 -0.391 -1.157],-108.26475102218963,7.8792343,64,0.76096493,-4.2502975,0.106093355,224067,1.0963397,4.2354116,100,849.1059551239014,552.2551,150898.02,2.9345233,1.705687,602.3881,6400,16.66,602.3881,3.2806397e-06
[-0.267 -1.127 -2.41  -0.399 -1.171],-107.94010551561243,7.0505066,65,1.0616271,-3.8527374,0.05491114,225637,1.1266917,6.21006,100,856.7157297134399,589.1766,345614.2,2.404754,2.4343917,662.8341,6500,15.7,662.8341,8.392334e-07
[-0.261 -1.115 -2.381 -0.399 -1.183],-108.12877317654565,6.9070053,66,11.54074,-3.6714478,9.182471e-08,227211,1.9715625,114.44705,100,865.3771505355835,588.4817,36662292.0,2.3230157,588473.94,1104.4807,6600,15.74,1104.4807,-5.340576e-07
[-0.275 -1.077 -2.4   -0.325 -1.214],-107.99060107461538,8.078522,67,4.039617,-3.8789444,0.001295025,228809,1.3851937,87.85804,100,875.8264513015747,577.69183,4585138.0,2.5365372,48.74607,792.86285,6700,15.98,792.86285,2.3651123e-06
[-0.22  -1.025 -2.353 -0.304 -1.206],-107.50819804905471,7.4902267,68,4.4709682,-4.239212,0.003918589,230422,1.2746807,43.62677,100,885.0032796859741,569.02997,4927069.5,2.674106,14.010763,699.61194,6800,16.13,699.61194,1.4495849e-06
[-0.2   -1.008 -2.331 -0.274 -1.202],-107.79860272560266,6.394165,69,79.948845,-4.3669586,3.470467e-08,232017,8.222563,820.13763,100,895.3650398254395,577.9095,1468228400.0,2.4952543,66796384000.0,4085.544,6900,15.95,4085.544,-7.6293944e-08
[-0.224 -1.023 -2.273 -0.33  -1.208],-108.01388814129001,7.99308,70,4.351861,-3.801056,0.0051419334,233617,1.4051559,46.328278,100,906.8147482872009,577.01166,5072985.0,2.8631477,46.74787,787.8589,7000,16.0,787.8589,4.8828124e-06
[-0.229 -1.025 -2.282 -0.366 -1.199],-108.14148198898052,7.4112167,71,632.44446,-3.9354248,2.411558e-09,235236,63.50741,6600.9673,100,915.8520576953888,569.9389,110771020000.0,2.4625738,16094884000.0,33573.93,7100,16.19,33573.93,1.4495849e-06
[-0.254 -1.039 -2.274 -0.473 -1.187],-108.60676883833683,7.01075,72,3.776197,-3.6348495,2.7359107e-05,236890,1.5793191,23.202248,100,926.2139194011688,558.5898,3853776.2,2.5540886,2182.49,866.0643,7200,16.54,866.0643,-1.5258789e-06
[-0.26  -1.059 -2.298 -0.528 -1.218],-107.64690636611094,7.104767,73,3.8214312,-4.0764923,0.00042246905,238495,1.3685019,47.086952,100,936.0054512023926,573.0015,4036160.0,2.690636,94.200905,776.7963,7300,16.05,776.7963,-2.3651123e-06
[-0.208 -1.003 -2.24  -0.507 -1.227],-107.73307115619264,6.9242783,74,242.72397,-4.445198,9.935408e-14,240112,26.037565,3133.664,100,945.9289507865906,568.61475,17877168000.0,2.5751357,2.4292692e+16,14333.571,7400,16.17,14333.571,9.231568e-06
[-0.307 -1.127 -2.406 -0.478 -1.234],-107.8729585588184,7.6237793,75,47.34229,-4.3470993,3.2046902e-08,241738,5.271529,482.20602,100,957.3780384063721,565.7551,542894460.0,2.602065,15531260000.0,2670.881,7500,16.26,2670.881,2.9754638e-06
[-0.232 -1.028 -2.315 -0.498 -1.222],-107.94251765165431,7.703087,76,0.5764771,-3.9062653,0.11387639,243323,1.0310261,3.5826502,100,967.3792333602905,582.84045,96939.14,2.4219172,1.4572712,600.8902,7600,15.85,600.8902,-1.1367798e-05
[-0.244 -1.025 -2.311 -0.487 -1.223],-108.5808994271487,7.9477234,77,1082.8049,-3.9014893,1.5519608e-09,244989,106.32346,48980.25,100,974.3875348567963,553.861,287037230000.0,2.6929188,3.5906108e+18,53777.902,7700,16.66,53777.902,2.4414062e-06
[-0.278 -1.09  -2.447 -0.44  -1.166],-107.69530872356125,6.3499985,78,60.89578,-4.0107803,9.815395e-20,246613,6.1344905,685.55493,100,986.0080740451813,565.62213,906959700.0,2.597792,2362279800000000.0,3123.1145,7800,16.24,3123.1145,-2.1362305e-06
[-0.308 -1.08  -2.524 -0.476 -1.176],-108.03436002041718,7.1252594,79,1.5178286,-4.18071,0.056918092,248232,1.1404212,13.311989,100,996.6066854000092,569.3953,627280.94,2.652231,4.81371,646.0158,7900,16.19,646.0158,7.5531007e-06
[-0.298 -1.079 -2.541 -0.484 -1.171],-108.20630894503864,6.2121277,80,1.7163209,-4.308525,0.0125211645,249889,1.1337849,20.332611,100,1003.5716881752014,555.3824,710503.7,2.620616,6.751393,622.28796,8000,16.57,622.28796,6.2561035e-06
[-0.278 -1.062 -2.549 -0.469 -1.177],-107.70461236468554,8.542503,81,7.496091,-4.101776,4.754812e-06,251495,1.3352891,149.36058,100,1011.3362152576447,572.9044,18027322.0,2.8588274,16526.502,785.8931,8100,16.06,785.8931,5.0354006e-06
[-0.08  -1.173 -2.537 -0.522 -1.185],-108.06819565919254,6.1971054,82,6.7797365,-4.2948074,3.983438e-05,253138,1.5935822,74.111206,100,1020.1633522510529,560.08246,11757550.0,2.594349,671.6806,871.34576,8200,16.43,871.34576,1.7547608e-06
[-0.071 -1.204 -2.514 -0.561 -1.216],-107.87518302464217,7.663048,83,65.08008,-4.3281174,1.2420173e-13,254757,6.6434813,820.51196,100,1029.7837572097778,568.55707,1177881700.0,2.6522148,1773981900000.0,3559.7139,8300,16.19,3559.7139,-7.019043e-06
[-0.098 -1.224 -2.602 -0.597 -1.253],-107.76057644811175,8.195877,84,1.8902482,-4.844162,0.014711262,256422,1.2326783,20.2248,100,1041.133332490921,550.0703,986841.0,2.8794966,3.207718,670.76074,8400,16.65,670.76074,3.8146973e-07
[-0.123 -1.249 -2.636 -0.606 -1.265],-107.96203753169583,7.5809937,85,2.5742002,-4.5673065,7.4502575e-05,258059,1.3066881,59.371746,100,1051.4180023670197,561.8872,1967174.2,2.8465788,85.35125,736.4608,8500,16.37,736.4608,1.5258789e-07
[-0.116 -1.268 -2.675 -0.572 -1.277],-108.3852637776333,6.637909,86,1.0657762,-3.5460358,0.07666443,259653,1.14796,8.847393,100,1060.5770444869995,581.44904,332632.5,2.3472328,2.934089,666.21564,8600,15.94,666.21564,4.7302246e-06
[-0.087 -1.242 -2.644 -0.587 -1.286],-108.37474782850761,7.793167,87,9.630809,-4.0299606,0.0004691762,261279,2.4000666,129.67412,100,1068.6185686588287,568.3734,24341216.0,2.5512846,400.10034,1292.9734,8700,16.26,1292.9734,1.0986329e-05
[-0.074 -1.206 -2.652 -0.566 -1.282],-107.86498477554674,7.926697,88,6.0090704,-3.8912735,8.415464e-05,262906,1.8149239,56.58663,100,1078.5580441951752,565.32043,9644573.0,2.9822383,29.493374,993.9613,8800,16.27,993.9613,3.8146973e-06
[-0.073 -1.197 -2.658 -0.517 -1.33 ],-107.91811120926418,7.2734222,89,19.324253,-4.371643,0.00017233966,264570,2.8224142,197.21869,100,1087.8824834823608,551.2589,89476070.0,2.733115,2038.391,1448.8262,8900,16.64,1448.8262,-2.3651123e-06
[-0.043 -1.173 -2.633 -0.469 -1.353],-108.40731077835937,7.8356094,90,6.160227,-3.990715,7.366684e-05,266227,1.3608375,56.168552,100,1096.5292620658875,556.4174,9563626.0,2.7346687,8359.785,744.81195,9000,16.57,744.81195,-9.765625e-06
[-0.044 -1.177 -2.672 -0.486 -1.337],-108.25282975231183,8.644142,91,46.896267,-4.180443,1.0328895e-11,267873,5.027725,479.37695,100,1105.0260362625122,559.8678,499951170.0,2.7673004,1.8590567e+17,2487.5261,9100,16.46,2487.5261,1.9836425e-06
[-0.008 -1.143 -2.719 -0.421 -1.329],-107.81255907783077,6.766678,92,11.303154,-4.154175,0.0002790432,269487,2.5392182,70.289444,100,1115.0136704444885,570.23157,33026384.0,2.5260859,1052.7462,1364.4103,9200,16.14,1364.4103,5.7983398e-06
[-0.025 -1.165 -2.696 -0.435 -1.359],-107.89683159179846,6.467041,93,3.2957246,-4.197792,0.0027773974,271108,1.3542047,35.69978,100,1125.1853864192963,567.8764,3043316.8,2.5023859,15.348095,759.3715,9300,16.21,759.3715,1.8310546e-06
[ 0.028 -1.173 -2.659 -0.461 -1.371],-107.69008533891879,6.980606,94,2.020715,-4.1179504,0.0090290615,272725,1.2118217,18.72702,100,1133.6161005496979,568.374,1102948.9,2.7510045,7.6152163,680.6172,9400,16.17,680.6172,-3.8146973e-06
[ 0.018 -1.176 -2.665 -0.433 -1.381],-107.85501409556453,7.0763855,95,1.1773013,-3.7630463,0.06969075,274320,1.1017089,8.6303835,100,1142.3571479320526,578.20386,410982.62,2.3064456,2.6934052,635.5595,9500,15.95,635.5595,7.6293944e-08
[ 0.012 -1.163 -2.641 -0.432 -1.387],-107.94997009237221,6.867882,96,0.5051836,-4.1428375,0.12991127,275961,1.010509,4.840746,100,1151.3146331310272,560.25446,69089.49,2.6158528,1.2261992,565.4886,9600,16.41,565.4886,-7.3242186e-06
[ 0.022 -1.161 -2.636 -0.442 -1.391],-107.40981661254591,7.3740463,97,1.3799049,-4.1220703,0.010373454,277512,1.2153633,15.156017,100,1157.9063837528229,594.44794,580536.2,2.3776796,3.9179153,711.57,9700,15.51,711.57,-9.002685e-06
[ 0.027 -1.146 -2.634 -0.414 -1.386],-107.72952618574807,6.7332916,98,33.270435,-4.3423843,1.3820554e-12,279129,3.43358,340.54892,100,1167.307415485382,568.5899,254658000.0,2.3950891,336356740000000.0,1739.2457,9800,16.17,1739.2457,-1.7547608e-06
[ 0.076 -1.114 -2.665 -0.359 -1.394],-108.86929560386814,6.7338943,99,11.88841,-2.8486938,2.4824945e-05,280733,2.0953414,139.12805,100,1176.815126657486,579.88715,39244108.0,2.2868454,9446.615,1161.1433,9900,16.04,1161.1433,9.002685e-06
[ 0.082 -1.086 -2.649 -0.398 -1.422],-108.01208040178238,6.407959,100,3.201043,-3.8399506,0.00013279659,282318,1.4315147,25.9319,100,1186.3541617393494,583.20233,3189215.8,2.3818421,2820.2258,826.6187,10000,15.85,826.6187,-9.613037e-06
[ 0.052 -1.127 -2.719 -0.388 -1.433],-108.34030340791728,6.362755,101,28.692938,-3.9749832,2.433195e-09,283952,3.5926008,291.2329,100,1194.71244764328,565.03064,194584000.0,2.6240995,6217815.5,1842.243,10100,16.34,1842.243,-6.1798096e-06
