Weights,EpLenMean,EpRewMean,J_sample_variance,MeanIWNorm,MaxIWNorm,StdIWNorm,InitialReturnMax,EpisodesSoFar,MaxIW,MinIWNorm,EpThisIter,TimeElapsed,ESSClassic,Iteration,EmpiricalD2,InitialReturnMin,MeanIW,MinIW,TimestepsSoFar,StdIW,ReturnMeanIW,ESSRenyi,InitialReturnStd,InitialReturnMean,Bound,InitialBound
[-0.78  -0.782 -0.231 -0.968 -0.612],48.59,-101.42804424772253,702.12744,0.011739322,0.0855265,0.012620867,31.133991,3700,8.55265,5.3468586e-05,100,465.1350965499878,46.385933,37,2.2712426,-26.101654,1.1739322,0.005346859,168601,1.2620869,3.1566625,44.028763,10.806037,-4.15802e-06,1.5926316,-1.0378039
[-0.825 -0.771 -0.249 -0.955 -0.652],45.92,-101.3363409621537,223737650.0,1.521913,150.92223,15.015356,43.095284,3800,15092.224,2.9669663e-05,100,477.3280863761902,1.0168796,38,537.22955,-23.499527,152.1913,0.0029669665,173193,1501.5358,1496.5918,0.18614016,13.010638,-5.1879883e-06,1463.296,-1.4365145
[-0.738 -0.707 -0.213 -0.905 -0.647],49.74,-98.28637498338342,1085.5764,0.010413668,0.05065578,0.007408383,54.560066,3900,5.065578,0.0010173592,100,491.9591245651245,66.396484,39,1.6457381,-28.106411,1.0413668,0.10173592,178167,0.7408382,3.9132156,60.76301,13.695384,4.959106e-07,1.5801122,-1.8186687
[-0.708 -0.726 -0.209 -0.908 -0.661],49.14,-100.27959289720039,634.984,0.01102471,0.070868574,0.0118446,44.035965,4000,7.086858,0.0010052493,100,504.7848963737488,46.41948,40,2.1578493,-26.713615,1.102471,0.10052494,183081,1.18446,3.1041892,46.342438,13.834714,-3.967285e-06,0.9479506,-1.4678696
[-0.738 -0.735 -0.204 -0.914 -0.678],51.36,-99.66840526744026,410.34885,0.010283462,0.08090984,0.01067831,45.441017,4100,8.090984,0.0003897971,100,518.4333391189575,48.117016,41,1.8020036,-26.004436,1.0283462,0.03897971,188217,1.0678309,2.1822524,55.493786,13.065479,-1.9073487e-07,0.14893746,-1.5147009
[-0.745 -0.755 -0.208 -0.94  -0.701],47.19,-100.65984451690801,3595.6409,0.01138209,0.14855811,0.017403105,39.27113,4200,14.855812,0.00031689863,100,531.6090397834778,29.959751,42,2.9088738,-23.52256,1.138209,0.031689864,192936,1.7403107,4.28395,34.377567,10.803667,2.1743774e-06,2.051331,-1.3090354
[-0.792 -0.766 -0.219 -0.939 -0.712],44.13,-100.4372174925066,2542.2078,0.011271932,0.14436834,0.018514894,54.613052,4300,14.436834,0.0006919981,100,542.6873919963837,27.041468,43,3.7206345,-23.205162,1.1271932,0.069199815,197349,1.8514895,5.814009,26.877136,13.876258,1.9454956e-06,2.3025815,-1.8204333
[-0.796 -0.767 -0.202 -0.931 -0.697],53.84,-98.91264898682346,50971.348,0.0137450835,0.4371788,0.043509696,51.491188,4400,43.71788,0.0003875369,100,557.3898413181305,9.074227,44,5.1867204,-30.10783,1.3745084,0.03875369,202733,4.3509693,20.84413,19.280006,15.333604,-1.6403199e-06,16.935198,-1.7163744
[-0.816 -0.731 -0.193 -0.922 -0.697],49.68,-99.9163358158211,223.72432,0.009969782,0.012216219,0.0008679348,64.375404,4500,1.2216219,0.0071549257,100,570.567798614502,99.24782,45,1.0091581,-27.04889,0.9969783,0.7154926,207701,0.08679347,0.104332924,99.0925,14.863902,2.7465821e-06,-2.0513175,-2.1458442
[-0.819 -0.732 -0.196 -0.921 -0.696],51.42,-98.22897785630519,1374.9149,0.010369066,0.077654324,0.010619181,45.88524,4600,7.7654324,0.0006606209,100,582.9379127025604,48.80847,46,1.9746385,-29.288399,1.0369066,0.06606209,212843,1.0619181,4.0219755,50.64218,14.873724,-1.7929077e-06,1.8726828,-1.5295098
[-0.834 -0.754 -0.203 -0.927 -0.684],49.38,-100.9594808092587,763.14386,0.011315656,0.12585941,0.013823182,59.518383,4700,12.585941,0.00076216704,100,595.73291182518,40.123543,47,2.2032707,-23.974487,1.1315655,0.076216705,217781,1.3823183,2.591694,45.38707,14.359454,2.3269654e-06,-0.35316014,-1.9839439
[-0.848 -0.782 -0.201 -0.946 -0.671],49.08,-100.25815652782435,2060.2422,0.010239853,0.18643624,0.023842834,34.138325,4800,18.643623,0.0002354884,100,609.4097969532013,15.57242,48,5.365341,-25.401207,1.0239853,0.023548841,222689,2.3842833,4.335425,18.638144,11.866833,1.8310546e-06,1.6995811,-1.1379423
[-0.83  -0.799 -0.188 -0.938 -0.675],53.42,-99.71718691273443,92511.91,0.020690458,0.73187107,0.075294256,43.834938,4900,73.18711,1.7976512e-05,100,623.0318038463593,7.0210357,49,17.829466,-25.080559,2.0690455,0.0017976513,228031,7.529425,33.738266,5.608693,13.697165,-3.3187866e-06,27.568504,-1.461168
[-0.896 -0.809 -0.195 -0.934 -0.699],50.99,-100.68411390787016,297.4472,0.010815043,0.06119029,0.00949593,37.57747,5000,6.119029,0.0014504602,100,636.4594397544861,56.46731,50,1.732451,-26.537987,1.0815043,0.14504603,233130,0.94959295,1.2769156,57.72169,10.336509,4.15802e-06,-0.37176585,-1.2525781
[-0.908 -0.827 -0.209 -0.935 -0.697],51.43,-100.9858153514011,18289460.0,0.14527711,13.811264,1.373539,56.543312,5100,1381.1265,4.726071e-07,100,650.7305872440338,1.1063207,51,974.2925,-23.636116,14.527713,4.726071e-05,238273,137.35391,425.03195,0.10263858,12.101984,4.0817263e-06,366.20117,-1.8847733
[-0.942 -0.89  -0.245 -0.955 -0.717],50.99,-99.62391063113,504.9916,0.010771022,0.038696684,0.0062811393,58.1703,5200,3.8696685,0.0026782756,100,665.2562592029572,74.62321,52,1.3100853,-21.997967,1.0771023,0.26782757,243372,0.6281139,1.5535629,76.33091,11.906249,2.0217894e-06,-0.66580796,-1.939008
[-0.929 -0.885 -0.248 -0.945 -0.698],55.48,-100.6668149640802,112634.836,0.03348548,2.0222645,0.20619465,35.910255,5300,202.22646,5.433277e-05,100,679.3506860733032,2.5695255,53,89.205986,-23.370071,3.3485477,0.005433277,248920,20.619469,42.738308,1.121001,11.100591,1.335144e-06,31.432692,-1.1970073
[-0.89  -0.922 -0.269 -0.955 -0.685],55.96,-100.4612677393894,298.09793,0.010947274,0.03797651,0.0061104065,39.643295,5400,3.7976513,0.0022900521,100,695.0643355846405,76.245636,54,1.3515369,-27.850159,1.0947273,0.22900522,254516,0.61104065,1.7167304,73.989845,12.076423,-7.2479247e-07,0.18047857,-1.3214439
[-0.877 -0.918 -0.263 -0.943 -0.691],55.64,-100.41254706649853,32879.21,0.014469781,0.66397953,0.06637591,33.685974,5500,66.39796,9.376331e-06,100,708.7511370182037,4.536694,55,19.187817,-22.011627,1.4469783,0.00093763316,260080,6.6375923,23.211771,5.2116404,11.431928,-2.9373168e-06,18.29318,-1.1228689
[-0.842 -0.905 -0.246 -0.909 -0.701],55.52,-101.96169361735195,204.19794,0.009337336,0.08564081,0.010539578,31.010181,5600,8.564081,0.0006013635,100,723.0872097015381,43.97361,56,2.029349,-24.340977,0.9337336,0.06013635,265632,1.0539578,1.1741799,49.276886,9.721702,-1.335144e-06,-0.29834092,-1.0336742
[-0.83  -0.907 -0.237 -0.896 -0.705],58.5,-101.01099206810878,440.78275,0.011327424,0.09205774,0.013153293,31.71037,5700,9.205774,0.0007168941,100,739.4650275707245,42.582867,57,1.8666092,-21.404305,1.1327424,0.07168941,271482,1.3153293,1.9338396,53.57308,11.808102,-1.7166137e-06,0.48970807,-1.057014
[-0.833 -0.91  -0.224 -0.905 -0.737],56.51,-99.96179398477217,2112.7202,0.01276245,0.19134715,0.02409704,54.546318,5800,19.134716,0.0002547168,100,754.3472635746002,21.905815,58,5.032182,-25.874485,1.276245,0.025471682,277133,2.409704,4.8184776,19.872095,12.666173,-6.4849854e-07,0.73977184,-1.8182116
[-0.8   -0.898 -0.207 -0.915 -0.735],57.73,-100.12378142855121,240279.52,0.057229355,4.539098,0.4522575,53.256336,5900,453.9098,4.9691957e-05,100,769.251660823822,1.5760393,59,116.115036,-25.670506,5.7229366,0.004969196,282906,45.225758,49.48785,0.86121494,15.222772,-2.670288e-07,30.35876,-1.7752116
[-0.805 -0.923 -0.192 -0.917 -0.732],60.2,-99.49441331913229,1075562.4,0.038417067,2.2020497,0.24014607,45.607822,6000,220.20499,1.38321e-05,100,786.222983121872,2.495302,60,293.99802,-19.826115,3.8417077,0.0013832101,288926,24.01461,124.22869,0.34013835,13.454186,-3.1280517e-06,98.161736,-1.5202639
[-0.801 -0.904 -0.216 -0.873 -0.716],61.82,-101.25823762699665,194.52553,0.009892949,0.05928044,0.008290357,34.661545,6100,5.9280443,0.0006194458,100,803.4291756153107,58.745617,61,1.7083185,-17.886894,0.98929507,0.06194458,295108,0.8290357,1.4068224,58.537094,11.600021,-4.15802e-06,-0.10329628,-1.1553888
[-0.785 -0.903 -0.213 -0.861 -0.699],65.46,-101.45188549037294,340.11768,0.009673723,0.029366082,0.004763661,43.730087,6200,2.9366083,0.0015785394,100,819.339278459549,80.483536,62,1.3407234,-19.906528,0.9673724,0.15785395,301654,0.47636613,1.383688,74.5866,12.391686,-8.773804e-07,-0.304142,-1.4576707
[-0.802 -0.901 -0.212 -0.866 -0.684],62.83,-101.36084880376048,1376.3159,0.01004526,0.18281232,0.02004043,31.70747,6300,18.281233,0.000120269455,100,835.4627265930176,20.080002,63,5.2272215,-24.043652,1.004526,0.012026946,307937,2.004043,4.8886085,19.130623,10.61543,-5.41687e-06,2.4721696,-1.0569214
[-0.8   -0.863 -0.219 -0.851 -0.679],58.77,-102.17059682101352,780.8306,0.009135397,0.06128353,0.010209258,42.43893,6400,6.128353,5.4014214e-05,100,850.6944591999054,44.465862,64,2.986498,-19.059532,0.9135397,0.0054014213,313814,1.0209256,3.9805481,33.48403,11.177743,4.8828124e-06,1.5358553,-1.4146262
[-0.783 -0.894 -0.208 -0.862 -0.677],60.29,-101.56359385069568,291.75552,0.010372504,0.08680728,0.010061789,48.08204,6500,8.680728,0.0009678085,100,867.3905341625214,51.520203,65,1.7217908,-23.008022,1.0372504,0.09678085,319843,1.006179,1.7428597,58.079067,12.806802,-1.3732911e-06,-0.360201,-1.602736
[-0.774 -0.897 -0.198 -0.855 -0.686],64.9,-100.54860239430278,413.6036,0.010380754,0.036481794,0.0077444054,40.59207,6600,3.6481795,0.0006655868,100,884.2546002864838,64.24389,66,1.5715648,-20.807365,1.0380754,0.06655868,326333,0.7744406,2.205852,63.630848,12.621894,-1.6784668e-06,0.50961673,-1.3530707
[-0.79  -0.901 -0.212 -0.849 -0.709],65.75,-101.5942350391811,1000.2235,0.010455574,0.1430389,0.017872876,39.533234,6700,14.30389,0.00012933977,100,900.2230451107025,25.49663,67,3.5356348,-19.162613,1.0455574,0.012933977,332908,1.7872876,4.0730658,28.283464,12.686231,-1.2207031e-06,1.595217,-1.3177757
[-0.802 -0.875 -0.219 -0.814 -0.722],66.88,-101.91163156923112,318159.56,0.037094034,3.067319,0.3049334,26.74907,6800,306.7319,1.2234081e-07,100,916.5439217090607,1.4582051,68,271.536,-18.695251,3.709404,1.2234081e-05,339596,30.493345,53.881824,0.36827528,11.717195,-3.4332277e-07,39.18914,-0.8916361
[-0.792 -0.868 -0.251 -0.799 -0.714],61.71,-102.18319809105996,352.85278,0.008992178,0.06953654,0.010742755,31.0387,6900,6.953654,0.00020035378,100,933.3870801925659,41.1988,69,2.4898741,-19.832066,0.89921784,0.020035379,345767,1.0742756,2.9439938,40.162674,11.587868,2.0599366e-06,1.311427,-1.0346215
[-0.818 -0.862 -0.25  -0.784 -0.743],68.6,-102.64464205466307,508.6633,0.010705181,0.051619664,0.008550557,38.777977,7000,5.1619663,0.0009523734,100,950.5971810817719,61.051155,70,1.5235447,-20.426476,1.0705183,0.09523734,352627,0.8550557,1.2465703,65.636406,11.989201,1.8310546e-06,-0.3489101,-1.2925974
[-0.825 -0.879 -0.253 -0.804 -0.751],66.74,-102.24990238120895,4383.778,0.017145457,0.23042049,0.032252535,45.34606,7100,23.04205,7.079466e-05,100,967.6235892772675,22.033306,71,6.7595067,-17.026726,1.7145457,0.0070794662,359301,3.225253,6.3790994,14.793979,12.364731,2.2888183e-07,2.4492507,-1.5115353
[-0.812 -0.891 -0.259 -0.791 -0.759],70.68,-103.25760630014362,10039.961,0.020353371,1.3207576,0.13113269,35.158665,7200,132.07576,4.225283e-05,100,984.4804992675781,2.3524055,72,21.517756,-18.696678,2.035337,0.004225283,366369,13.113269,9.578497,4.647325,10.521594,-3.3569336e-06,4.1421194,-1.1719589
[-0.818 -0.885 -0.233 -0.796 -0.781],72.39,-102.83603478916828,10867.781,0.012102135,0.23731689,0.02669207,41.48563,7300,23.73169,0.0003129549,100,1001.5208210945129,17.05168,73,7.471464,-19.785252,1.2102137,0.03129549,373608,2.6692073,12.012544,13.384257,13.361026,3.0899048e-06,8.232653,-1.3828515
[-0.853 -0.881 -0.225 -0.798 -0.768],67.82,-103.17292954299599,362.88834,0.010723126,0.06861167,0.011428301,31.526648,7400,6.861167,0.0007702376,100,1017.7368531227112,46.8198,74,2.141906,-15.810825,1.0723127,0.07702376,380390,1.1428301,2.1029842,46.68739,10.636243,2.117157e-06,0.5649828,-1.0508863
[-0.848 -0.861 -0.232 -0.776 -0.766],73.13,-102.04539543762411,234.35933,0.009901462,0.023681661,0.0037431205,41.283283,7500,2.3681662,0.003459573,100,1036.1038637161255,87.4958,75,1.1049078,-20.049568,0.9901463,0.3459573,387703,0.37431207,0.4506227,90.505295,13.530461,-2.5939942e-06,-0.99586904,-1.3761123
[-0.844 -0.86  -0.231 -0.771 -0.781],71.57,-103.71989291482232,76574.555,0.022519229,1.6298574,0.16190864,44.813572,7600,162.98575,2.6203584e-06,100,1055.3734912872314,1.8977803,76,17.164331,-17.88575,2.2519233,0.00026203584,394860,16.190865,26.574137,5.826035,12.428076,2.9754638e-06,20.385403,-1.493783
[-0.891 -0.865 -0.242 -0.794 -0.826],64.17,-102.34214698315164,92940.8,0.029838335,1.344662,0.15926789,30.977222,7700,134.4662,1.7776776e-05,100,1072.110452413559,3.3908677,77,24.598291,-15.121029,2.9838336,0.0017776776,401277,15.92679,19.96461,4.065323,11.757714,-1.5640259e-06,14.843386,-1.032576
[-0.891 -0.878 -0.223 -0.792 -0.832],68.52,-103.84233493260976,2564.669,0.009749231,0.16090143,0.0175264,40.12027,7800,16.090143,0.0004626896,100,1089.1182808876038,23.6306,78,3.2909288,-15.101494,0.97492325,0.046268962,408129,1.7526401,4.6925387,30.386559,12.963056,-4.7683716e-07,2.266477,-1.3373427
[-0.902 -0.917 -0.234 -0.808 -0.848],71.51,-103.8999800038768,5629.011,0.014979044,0.19596694,0.028271142,33.90795,7900,19.596695,1.9602037e-05,100,1106.751785993576,21.919239,79,6.8775635,-17.926285,1.4979043,0.0019602038,415280,2.8271143,10.789544,14.540033,11.802668,4.6920777e-06,7.825412,-1.1302605
