Bound,TimeElapsed,EpThisIter,InitialReturnMean,InitialReturnStd,TimestepsSoFar,InitialReturnMin,Iteration,EpLenMean,J_sample_variance,StdIW,InitialReturnMax,ReturnMeanIW,MinIW,InitialBound,MeanIW,MaxIW,EpRewMean,Weights,EpisodesSoFar,EmpiricalD2
-8.103945,989.2138769626617,100,9.059906e-08,1.6163633,520105,-3.1921406,53,125.68,2.63902,,3.8248162,1.9465095,1.0,-8.103945,1.0,1.0,-99.66279128675218,[-0.914 -0.738 -0.306 -0.576 -0.279],5300,1.0
-8.0898485,1012.702810049057,100,1.4305115e-07,1.6888926,532643,-3.183339,54,125.38,2.881169,,3.5482063,1.960784,1.0,-8.0898485,1.0,1.0,-98.95513821481858,[-0.914 -0.738 -0.306 -0.576 -0.279],5400,1.0
-8.539995,1035.4268116950989,100,3.2901764e-07,1.7134453,545756,-3.2382946,55,131.13,2.96555,,3.647947,1.5106378,1.0,-8.539995,1.0,1.0,-99.57626585250125,[-0.914 -0.738 -0.306 -0.576 -0.279],5500,1.0
-7.972636,1058.971854686737,100,-5.2452087e-08,1.8192497,558141,-3.0580926,56,123.85,3.9542224,0.7319916,4.197726,2.1450129,0.10761907,-8.048655,1.0241668,8.806085,-101.81366573502761,[-0.914 -0.738 -0.306 -0.576 -0.279],5600,1.4851696
-9.769595,1085.9535119533539,100,4.9114226e-07,1.533626,573364,-3.387146,57,152.23,2.375766,,4.0484247,0.28086087,1.0,-9.769595,1.0,1.0,-96.60994074620717,[-0.919 -0.741 -0.296 -0.577 -0.281],5700,1.0
-9.446699,1113.9638962745667,100,2.670288e-07,1.5841126,588392,-3.4887567,58,150.28,2.5347602,,3.4343886,0.60380036,1.0,-9.446699,1.0,1.0,-97.08363880313733,[-0.919 -0.741 -0.296 -0.577 -0.281],5800,1.0
-8.798698,1140.7853562831879,100,3.004074e-07,1.5685105,601952,-3.2728066,59,135.6,2.485076,,3.8931572,1.2517122,1.0,-8.798698,1.0,1.0,-102.50013048086386,[-0.919 -0.741 -0.296 -0.577 -0.281],5900,1.0
-8.996053,1165.4851758480072,100,-5.102158e-07,1.7480266,615884,-3.5001736,60,139.32,3.0864615,,4.571907,1.0545104,1.0,-8.996053,1.0,1.0,-99.84985751039353,[-0.919 -0.741 -0.296 -0.577 -0.281],6000,1.0
-9.133894,1190.2469599246979,100,3.8146972e-08,1.7161388,629725,-3.1339478,61,138.41,2.9748812,,4.183604,0.91670483,1.0,-9.133894,1.0,1.0,-98.59882070535669,[-0.919 -0.741 -0.296 -0.577 -0.281],6100,1.0
-9.279553,1215.103786945343,100,-6.67572e-08,1.6641759,644000,-3.2119527,62,142.75,2.7974555,,4.261904,0.7708663,1.0,-9.279553,1.0,1.0,-95.24702011905266,[-0.919 -0.741 -0.296 -0.577 -0.281],6200,1.0
-9.088888,1240.2059330940247,100,-5.722046e-07,1.7320658,658002,-3.3931637,63,140.02,3.0303547,,3.6222098,0.96152365,1.0,-9.088888,1.0,1.0,-100.24371323195196,[-0.919 -0.741 -0.296 -0.577 -0.281],6300,1.0
-10.143766,1270.1851909160614,100,3.2424927e-07,1.6074753,673603,-3.3211236,64,156.01,2.779614,0.7087045,3.9819736,-0.044036273,0.25016788,-10.198034,1.1839728,5.4553895,-96.72753038831003,[-0.919 -0.741 -0.296 -0.577 -0.281],6400,1.4573739
-10.176483,1299.9933393001556,100,2.2888183e-07,1.8340578,690817,-3.7512617,65,172.14,3.3977454,,4.1061673,-0.1260587,1.0,-10.176483,1.0,1.0,-99.8047060767457,[-0.921 -0.745 -0.288 -0.575 -0.283],6500,1.0
-10.543548,1330.6923179626465,100,1.001358e-07,1.7129353,707985,-3.2095895,66,171.68,2.9637854,,3.2518106,-0.4931471,1.0,-10.543548,1.0,1.0,-96.63685405103809,[-0.921 -0.745 -0.288 -0.575 -0.283],6600,1.0
-10.132557,1359.4041652679443,100,9.012222e-07,1.6953369,723552,-3.1331573,67,155.67,2.9031994,,3.9789925,-0.082127795,1.0,-10.132557,1.0,1.0,-96.68600817604096,[-0.921 -0.745 -0.288 -0.575 -0.283],6700,1.0
-8.98072,1384.8111662864685,100,4.4822693e-07,1.5801483,737780,-3.2069106,68,142.28,2.5220897,,3.257255,1.0696881,1.0,-8.98072,1.0,1.0,-99.5477473261543,[-0.921 -0.745 -0.288 -0.575 -0.283],6800,1.0
-9.984728,1413.709540605545,100,-6.198883e-08,1.7660639,753269,-3.313078,69,154.89,3.1504865,,4.1462164,0.066032164,1.0,-9.984728,1.0,1.0,-96.8505134731367,[-0.921 -0.745 -0.288 -0.575 -0.283],6900,1.0
-10.059252,1442.1899523735046,100,-3.7670137e-07,1.6184921,769072,-3.2022262,70,158.03,2.6459763,,3.5562296,-0.008735981,1.0,-10.059252,1.0,1.0,-95.22698483267682,[-0.921 -0.745 -0.288 -0.575 -0.283],7000,1.0
-9.989843,1469.89377450943,100,-1.6927719e-07,1.6459953,785024,-2.837224,71,159.52,2.7366667,,3.884396,0.06055488,1.0,-9.989843,1.0,1.0,-99.79913689734153,[-0.921 -0.745 -0.288 -0.575 -0.283],7100,1.0
-9.345216,1495.8948032855988,100,-5.102158e-07,1.7485108,799492,-3.4087162,72,144.68,3.0881717,,3.7387788,0.70530164,1.0,-9.345216,1.0,1.0,-99.11392641268714,[-0.921 -0.745 -0.288 -0.575 -0.283],7200,1.0
-9.530976,1522.4963965415955,100,3.2424927e-07,1.6300237,814166,-3.7843199,73,146.74,2.6838157,,3.7393436,0.5196882,1.0,-9.530976,1.0,1.0,-100.22529284894551,[-0.921 -0.745 -0.288 -0.575 -0.283],7300,1.0
-10.19002,1551.991520166397,100,6.6041946e-07,1.650927,830275,-2.9953432,74,161.09,2.7530906,,3.82718,-0.13961738,1.0,-10.19002,1.0,1.0,-96.70694173094236,[-0.921 -0.745 -0.288 -0.575 -0.283],7400,1.0
-10.852836,1584.823293685913,100,1.1920929e-07,1.689325,847416,-4.8263683,75,171.41,2.8826451,,3.8165178,-0.8021219,1.0,-10.852836,1.0,1.0,-94.38220782851978,[-0.921 -0.745 -0.288 -0.575 -0.283],7500,1.0
-9.810632,1612.394508600235,100,3.33786e-08,1.8019333,862758,-3.38724,76,153.42,3.2797613,,4.4025865,0.239762,1.0,-9.810632,1.0,1.0,-98.65352835479473,[-0.921 -0.745 -0.288 -0.575 -0.283],7600,1.0
-10.476282,1641.5286734104156,100,-1.8596648e-07,1.6185682,879581,-2.9003654,77,168.23,2.6462252,,3.865684,-0.4257614,1.0,-10.476282,1.0,1.0,-97.66023392239077,[-0.921 -0.745 -0.288 -0.575 -0.283],7700,1.0
-9.40843,1666.6070363521576,100,-3.004074e-07,1.6533504,894051,-2.9644527,78,144.7,2.7611787,,3.7468646,0.64200455,1.0,-9.40843,1.0,1.0,-102.8147450659368,[-0.921 -0.745 -0.288 -0.575 -0.283],7800,1.0
-8.545786,1691.5125985145569,100,5.483627e-07,1.7565436,907505,-3.1796346,79,134.54,3.4696372,0.56100607,3.2845507,1.5526658,0.20435853,-8.595096,1.1318147,3.8559499,-103.31004736786937,[-0.921 -0.745 -0.288 -0.575 -0.283],7900,1.3033366
-9.757639,1720.0931403636932,100,1.66893e-07,1.7560995,922649,-3.3136592,80,151.44,3.1150355,,3.5757723,0.2929707,1.0,-9.757639,1.0,1.0,-95.677953348834,[-0.92  -0.743 -0.297 -0.576 -0.282],8000,1.0
-10.003437,1749.0800125598907,100,-6.1273573e-07,1.7389786,938404,-3.1936207,81,157.55,3.0545921,,4.584627,0.04714499,1.0,-10.003437,1.0,1.0,-98.24712578627313,[-0.92  -0.743 -0.297 -0.576 -0.282],8100,1.0
-9.081224,1775.1873834133148,100,-3.8146972e-08,1.5313044,952136,-3.3521352,82,137.32,2.3685787,,3.677472,0.96917,1.0,-9.081224,1.0,1.0,-99.57953923065261,[-0.92  -0.743 -0.297 -0.576 -0.282],8200,1.0
-9.050186,1800.3253989219666,100,-6.699562e-07,1.562358,966295,-3.4254532,83,141.59,2.4656186,,3.4906182,1.0003711,1.0,-9.050186,1.0,1.0,-98.97569019290144,[-0.92  -0.743 -0.297 -0.576 -0.282],8300,1.0
-9.240975,1827.2111937999725,100,7.05719e-07,1.733719,980906,-3.3233194,84,146.11,3.036142,,3.3647115,0.8094543,1.0,-9.240975,1.0,1.0,-99.39602056187357,[-0.92  -0.743 -0.297 -0.576 -0.282],8400,1.0
-8.407236,1853.4129989147186,100,-1.66893e-08,1.8008541,994701,-4.022233,85,137.95,3.2758336,,3.763741,1.6432568,1.0,-8.407236,1.0,1.0,-100.06896678408988,[-0.92  -0.743 -0.297 -0.576 -0.282],8500,1.0
-10.070328,1882.0006065368652,100,2.9087067e-07,1.5308247,1010784,-2.86158,86,160.83,2.3670952,,4.440327,-0.019932056,1.0,-10.070328,1.0,1.0,-101.88902462046482,[-0.92  -0.743 -0.297 -0.576 -0.282],8600,1.0
-9.122127,1907.9810976982117,100,7.176399e-07,1.5069679,1024621,-3.8738794,87,138.37,2.2938912,,3.588235,0.9287707,1.0,-9.122127,1.0,1.0,-99.96480474977356,[-0.92  -0.743 -0.297 -0.576 -0.282],8700,1.0
-9.7472925,1934.8870494365692,100,3.4332277e-07,1.6797445,1039343,-3.1527057,88,147.22,2.850042,,3.4270778,0.30311123,1.0,-9.7472925,1.0,1.0,-98.97146647859334,[-0.92  -0.743 -0.297 -0.576 -0.282],8800,1.0
-9.149433,1961.911943435669,100,-3.2424927e-07,1.6474223,1053530,-2.7905912,89,141.87,2.7414143,,3.1907916,0.9012885,1.0,-9.149433,1.0,1.0,-101.53105485421892,[-0.92  -0.743 -0.297 -0.576 -0.282],8900,1.0
-9.334415,1987.0026457309723,100,-9.059906e-08,1.7220721,1067663,-3.117354,90,141.33,2.9954875,,4.359169,0.71603924,1.0,-9.334415,1.0,1.0,-99.50356281908086,[-0.92  -0.743 -0.297 -0.576 -0.282],9000,1.0
-9.315724,2014.5447328090668,100,-4.386902e-07,1.6456391,1081944,-3.106022,91,142.81,2.7354822,,3.664375,0.7346826,1.0,-9.315724,1.0,1.0,-99.74627789361432,[-0.92  -0.743 -0.297 -0.576 -0.282],9100,1.0
-9.40767,2041.8562850952148,100,4.2915346e-08,1.696859,1096435,-3.2678123,92,144.91,2.908414,,3.4370885,0.64276695,1.0,-9.40767,1.0,1.0,-100.05695906244486,[-0.92  -0.743 -0.297 -0.576 -0.282],9200,1.0
-9.670094,2068.841707468033,100,5.865097e-07,1.6371694,1111240,-3.5478992,93,148.05,2.7073975,,3.7902458,0.3804846,1.0,-9.670094,1.0,1.0,-94.86927406520495,[-0.92  -0.743 -0.297 -0.576 -0.282],9300,1.0
-9.33496,2095.013003349304,100,-4.6253206e-07,1.7101705,1125394,-3.1738896,94,141.54,2.954225,,3.4306335,0.7156041,1.0,-9.33496,1.0,1.0,-99.66610533909623,[-0.92  -0.743 -0.297 -0.576 -0.282],9400,1.0
-8.087451,2117.417818069458,100,2.5749208e-07,1.6641872,1138039,-3.2590432,95,126.45,2.7974935,,3.9872851,1.9630946,1.0,-8.087451,1.0,1.0,-100.97446993599425,[-0.92  -0.743 -0.297 -0.576 -0.282],9500,1.0
-9.761367,2144.4968733787537,100,-4.959106e-07,1.5931622,1152968,-2.9683294,96,149.29,2.563804,,3.3666801,0.289068,1.0,-9.761367,1.0,1.0,-99.94473651076004,[-0.92  -0.743 -0.297 -0.576 -0.282],9600,1.0
-9.457797,2170.5076553821564,100,1.0967255e-07,1.693645,1167346,-3.5200696,97,143.78,2.8974073,,3.8822315,0.59260494,1.0,-9.457797,1.0,1.0,-97.42462896017265,[-0.92  -0.743 -0.297 -0.576 -0.282],9700,1.0
-10.271447,2199.044269800186,100,2.002716e-07,1.640037,1183736,-3.1401906,98,163.9,2.7168903,,4.250729,-0.22098452,1.0,-10.271447,1.0,1.0,-98.97624554754033,[-0.92  -0.743 -0.297 -0.576 -0.282],9800,1.0
-10.237585,2226.1510486602783,100,-6.008148e-07,1.5851963,1199283,-3.2099228,99,155.47,2.5382292,,3.7889676,-0.18693836,1.0,-10.237585,1.0,1.0,-95.01942952785475,[-0.92  -0.743 -0.297 -0.576 -0.282],9900,1.0
-10.383187,2257.39515209198,100,-1.7881393e-07,1.6675739,1215841,-3.2824736,100,165.58,2.8088908,,3.8760378,-0.3327762,1.0,-10.383187,1.0,1.0,-95.3395414070096,[-0.92  -0.743 -0.297 -0.576 -0.282],10000,1.0
-9.327262,2284.7253222465515,100,-7.8678134e-08,1.7447667,1230526,-3.1434956,101,146.85,3.0749605,,3.437355,0.7232223,1.0,-9.327262,1.0,1.0,-98.17712528364544,[-0.92  -0.743 -0.297 -0.576 -0.282],10100,1.0
-9.132774,2309.9734365940094,100,1.9073487e-07,1.8506253,1244808,-5.419969,102,142.82,3.4594073,,4.42811,0.9181623,1.0,-9.132774,1.0,1.0,-100.94065242983793,[-0.92  -0.743 -0.297 -0.576 -0.282],10200,1.0
-8.980139,2335.8589742183685,100,-7.1525574e-07,1.7585486,1258819,-3.4220414,103,140.11,3.1237307,,4.4463105,1.070439,1.0,-8.980139,1.0,1.0,-99.2540615323585,[-0.92  -0.743 -0.297 -0.576 -0.282],10300,1.0
-10.137687,2366.89848446846,100,2.3841858e-08,1.690816,1275488,-3.6245155,104,166.69,2.887736,,3.218323,-0.08726625,1.0,-10.137687,1.0,1.0,-95.98598167062809,[-0.92  -0.743 -0.297 -0.576 -0.282],10400,1.0
-9.090366,2391.7121965885162,100,3.671646e-07,1.7530454,1289769,-3.5648527,105,142.81,3.10421,,4.410072,0.96019816,1.0,-9.090366,1.0,1.0,-100.43121730116222,[-0.92  -0.743 -0.297 -0.576 -0.282],10500,1.0
