AvgDiscRet,Bound,VarVanillaIw,AvgRet,BatchSize,eRenyi2,AvgNormIw,VarJ,IterType,VarDiscRet,ESSRenyi,VarRet,MinVanillaIw,VarNormIw,MaxVanillaIw,MaxNormIw,MinNormIw,AvgVanillaIw,ESSClassic,VanillaAvgRet,J,EpsThisIter,Delta,AvgEpLen
273.597361404,233.111,,273.597361404,500,1.0,0.00333333,152.639,2,17574.5939895,500.0,17574.5939895,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,273.597361404,270.091,100,0.8,29.63
286.721860328,230.78,,286.721860328,500,1.0,0.0025,163.138,2,36719.6912693,500.0,36719.6912693,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,286.721860328,274.249,100,0.8,31.02
266.603839139,744.804,1966.94,266.603839139,500,43.7692,0.002,4374.63,1,22438.392609,11.4235602738,22438.392609,2.46331e-09,0.000959153,990.093,0.691392,1.72016e-12,2.86406,2.08065838113,266.603839139,1002.02,100,0.8,28.85
441.687654928,345.409,,441.687654928,500,1.0,0.01,294.468,2,87587.2006622,500.0,87587.2006622,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,441.687654928,441.688,100,0.8,47.7
401.13863879,353.334,,401.13863879,500,1.0,0.005,252.602,2,40486.5351094,500.0,40486.5351094,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,401.13863879,421.413,100,0.8,43.34
393.178612784,356.415,,393.178612784,500,1.0,0.00333333,237.68,2,41746.1474468,500.0,41746.1474468,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,393.178612784,412.002,100,0.8,42.49
369.374969295,353.206,,369.374969295,500,1.0,0.0025,223.861,2,29916.1947587,500.0,29916.1947587,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,369.374969295,401.345,100,0.8,39.87
410.4574742,883.969,807.645,410.4574742,500,47.297,0.002,1726.7,1,48215.2977502,10.571504202,48215.2977502,3.32771e-32,0.000851267,618.289,0.634766,3.4164e-35,1.94808,2.34311575737,410.4574742,1180.08,100,0.8,44.33
594.827711607,512.234,,594.827711607,500,1.0,0.01,288.731,2,84207.5277352,500.0,84207.5277352,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,594.827711607,594.828,100,0.8,64.42
627.380780956,532.579,,627.380780956,500,1.0,0.005,314.89,2,115572.156191,500.0,115572.156191,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,627.380780956,611.104,100,0.8,67.72
668.411820956,562.705,,668.411820956,500,1.0,0.00333333,341.025,2,149892.812906,500.0,149892.812906,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,668.411820956,630.207,100,0.8,72.43
625.988829093,563.491,,625.988829093,500,1.0,0.0025,346.95,2,133928.08284,500.0,133928.08284,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,625.988829093,629.152,100,0.8,67.76
630.648726279,1429.15,1619.73,630.648726279,500,31.6972,0.002,6894.09,1,80564.4215214,15.7742882664,80564.4215214,3.08117e-10,0.000880818,899.123,0.663042,2.27216e-13,2.71211,2.26486120418,630.648726279,1759.79,100,0.8,68.14
807.114320845,700.136,,807.114320845,500,1.0,0.01,379.159,2,145213.404616,500.0,145213.404616,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,807.114320845,807.114,100,0.8,87.34
907.533460571,730.987,,907.533460571,500,1.0,0.005,429.269,2,221959.856966,500.0,221959.856966,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,907.533460571,857.324,100,0.8,98.34
888.481842221,733.915,,888.481842221,500,1.0,0.00333333,465.286,2,283113.258009,500.0,283113.258009,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,888.481842221,867.71,100,0.8,96.11
876.014419523,753.916,,876.014419523,500,1.0,0.0025,447.047,2,151394.171984,500.0,151394.171984,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,876.014419523,869.786,100,0.8,94.69
901.622832741,1980.4,12820.2,901.622832741,500,33.9589,0.002,5513.79,1,140776.515104,14.7236771809,140776.515104,2.04298e-13,0.00132109,2530.32,0.812258,6.55816e-17,6.23034,1.51235065916,901.622832741,2584.34,100,0.8,97.48
1437.16190096,1203.75,,1437.16190096,500,1.0,0.01,891.041,2,801974.402581,500.0,801974.402581,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,1437.16190096,1437.16,100,0.8,155.91
1370.79377393,1238.93,,1370.79377393,500,1.0,0.005,794.806,2,471994.592142,500.0,471994.592142,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,1370.79377393,1403.98,100,0.8,148.7
1423.69846914,1275.79,,1423.69846914,500,1.0,0.00333333,781.811,2,575752.169041,500.0,575752.169041,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,1423.69846914,1410.55,100,0.8,154.33
1515.54470106,1320.1,,1515.54470106,500,1.0,0.0025,791.558,2,671011.660819,500.0,671011.660819,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,1515.54470106,1436.8,100,0.8,164.06
1396.26232956,3841.89,16676.5,1396.26232956,500,36.9981,0.002,3824.6,1,604339.345652,13.5142018102,604339.345652,5.16319e-18,0.00161551,2887.47,0.898709,1.60701e-21,6.42582,1.23741204559,1396.26232956,4476.81,100,0.8,151.33
3270.22098927,3036.54,,3270.22098927,500,1.0,0.01,1364.06,2,1879464.67096,500.0,1879464.67096,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,3270.22098927,3270.22,100,0.8,354.01
3091.14486517,3015.42,,3091.14486517,500,1.0,0.005,1396.16,2,2042235.37482,500.0,2042235.37482,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,3091.14486517,3180.68,100,0.8,334.86
3054.39050251,3003.64,,3054.39050251,500,1.0,0.00333333,1377.1,2,1798003.02549,500.0,1798003.02549,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,3054.39050251,3138.59,100,0.8,330.79
3021.96044109,2992.56,,3021.96044109,500,1.0,0.0025,1380.49,2,1943079.84826,500.0,1943079.84826,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,3021.96044109,3109.43,100,0.8,326.99
2836.63003073,4221.89,2392.34,2836.63003073,500,11.2676,0.002,1568.13,1,1746148.41628,44.3751308728,1746148.41628,7.84165e-14,0.000941629,1091.73,0.68493,4.91967e-17,3.18788,2.11921643278,2836.63003073,4573.08,100,0.8,307.23
3972.70569368,3738.81,,3972.70569368,500,1.0,0.01,1140.26,2,1313326.70164,500.0,1313326.70164,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,3972.70569368,3972.71,100,0.8,427.9
4003.34844632,3822.6,,4003.34844632,500,1.0,0.005,1135.19,2,1289547.44441,500.0,1289547.44441,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4003.34844632,3988.03,100,0.8,431.41
4009.84705416,3860.23,,4009.84705416,500,1.0,0.00333333,1126.6,2,1242460.12122,500.0,1242460.12122,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4009.84705416,3995.3,100,0.8,432.21
4171.38002387,3922.35,,4171.38002387,500,1.0,0.0025,1106.45,2,1076756.96519,500.0,1076756.96519,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4171.38002387,4039.32,100,0.8,448.73
3967.24833946,4416.18,2.36192,3967.24833946,500,3.45969,0.002,205.974,1,1414121.85288,144.521605103,1414121.85288,9.15777e-10,9.60319e-06,8.67827,0.0174988,1.84657e-12,0.99187,147.232304238,3967.24833946,4610.81,100,0.8,427.07
4541.66456093,4307.77,,4541.66456093,500,1.0,0.01,496.297,2,248798.690131,500.0,248798.690131,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4541.66456093,4541.66,100,0.8,488.11
4614.38654631,4412.64,,4614.38654631,500,1.0,0.005,402.286,2,75467.1038565,500.0,75467.1038565,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4614.38654631,4578.03,100,0.8,496.33
4601.76244502,4450.9,,4601.76244502,500,1.0,0.00333333,365.5,2,77503.702948,500.0,77503.702948,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4601.76244502,4585.94,100,0.8,494.76
4606.06736909,4474.01,,4606.06736909,500,1.0,0.0025,353.999,2,101198.417939,500.0,101198.417939,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4606.06736909,4590.97,100,0.8,495.21
4543.81107635,4524.52,0.284656,4543.81107635,500,1.26644,0.002,91.8351,1,209996.849726,394.808893494,209996.849726,0.00498755,1.20624e-06,2.4137,0.00496867,1.0267e-05,0.97157,384.332824225,4543.81107635,4642.24,100,0.8,488.65
4624.55615999,4390.62,,4624.55615999,500,1.0,0.01,268.308,2,72716.4816522,500.0,72716.4816522,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4624.55615999,4624.56,100,0.8,496.62
4577.6688048,4435.69,,4577.6688048,500,1.0,0.005,373.965,2,208698.322075,500.0,208698.322075,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4577.6688048,4601.11,100,0.8,491.54
4645.76670864,4480.93,,4645.76670864,500,1.0,0.00333333,307.927,2,3462.55610835,500.0,3462.55610835,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4645.76670864,4616.0,100,0.8,499.22
4650.99649817,4507.78,,4650.99649817,500,1.0,0.0025,267.724,2,1341.90303869,500.0,1341.90303869,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4650.99649817,4624.75,100,0.8,499.72
4602.18112244,4536.33,0.169594,4602.18112244,500,1.1592,0.002,67.9697,1,81449.2534333,431.331704387,81449.2534333,0.022418,6.94868e-07,2.00759,0.00406369,4.53777e-05,0.988063,426.123233379,4602.18112244,4648.97,100,0.8,493.93
4651.31371744,4417.35,,4651.31371744,500,1.0,0.01,91.0265,2,8369.51504934,500.0,8369.51504934,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4651.31371744,4651.31,100,0.8,499.1
4657.79535284,4489.11,,4657.79535284,500,1.0,0.005,65.4963,2,275.445708697,500.0,275.445708697,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4657.79535284,4654.55,100,0.8,500.0
4609.21877257,4504.36,,4609.21877257,500,1.0,0.00333333,187.046,2,95968.0513732,500.0,95968.0513732,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4609.21877257,4639.44,100,0.8,494.46
4635.72321047,4521.52,,4635.72321047,500,1.0,0.0025,191.717,2,42478.4748028,500.0,42478.4748028,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4635.72321047,4638.51,100,0.8,497.8
4659.51278011,4546.26,0.0715804,4659.51278011,500,1.07087,0.002,52.9413,1,142.648275457,466.909024684,142.648275457,0.150417,2.82214e-07,1.54785,0.00307341,0.000298669,1.00725,467.109646071,4659.51278011,4654.54,100,0.8,500.0
4644.33261844,4410.66,,4644.33261844,500,1.0,0.01,149.11,2,22458.2951769,500.0,22458.2951769,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4644.33261844,4644.33,100,0.8,498.4
4655.13681578,4484.32,,4655.13681578,500,1.0,0.005,106.733,2,496.867355688,500.0,496.867355688,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4655.13681578,4649.73,100,0.8,500.0
4623.49468496,4505.93,,4623.49468496,500,1.0,0.00333333,189.466,2,85302.1773897,500.0,85302.1773897,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4623.49468496,4640.99,100,0.8,496.95
4659.06368314,4528.54,,4659.06368314,500,1.0,0.0025,164.439,2,226.411772746,500.0,226.411772746,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4659.06368314,4645.51,100,0.8,500.0
4660.69098171,4549.26,0.0500986,4660.69098171,500,1.04587,0.002,41.3691,1,133.753843845,478.068896657,133.753843845,0.194211,2.0418e-07,1.51109,0.00305059,0.000392073,0.990687,475.763196139,4660.69098171,4656.25,100,0.8,500.0
4658.12414643,4424.16,,4658.12414643,500,1.0,0.01,15.6938,2,248.783460011,500.0,248.783460011,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4658.12414643,4658.12,100,0.8,500.0
4617.66403915,4472.45,,4617.66403915,500,1.0,0.005,211.143,2,88988.1598001,500.0,88988.1598001,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4617.66403915,4637.89,100,0.8,495.63
4658.14165131,4509.56,,4658.14165131,500,1.0,0.00333333,172.94,2,291.093006417,500.0,291.093006417,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4658.14165131,4644.64,100,0.8,500.0
4660.6739706,4531.67,,4660.6739706,500,1.0,0.0025,150.07,2,168.272945993,500.0,168.272945993,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4660.6739706,4648.65,100,0.8,500.0
4616.39797792,4548.91,0.0677536,4616.39797792,500,1.06927,0.002,41.9182,1,176376.15604,467.609726469,176376.15604,0.108524,2.74736e-07,1.59586,0.00321357,0.000218532,0.993204,467.925221945,4616.39797792,4657.1,100,0.8,495.5
4662.66750059,4428.92,,4662.66750059,500,1.0,0.01,7.61653,2,58.5972079595,500.0,58.5972079595,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4662.66750059,4662.67,100,0.8,500.0
4661.00801934,4496.41,,4661.00801934,500,1.0,0.005,10.6495,2,169.12439225,500.0,169.12439225,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4661.00801934,4661.84,100,0.8,500.0
4658.35996247,4525.61,,4658.35996247,500,1.0,0.00333333,12.0895,2,205.6419855,500.0,205.6419855,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4658.35996247,4660.68,100,0.8,500.0
4660.00030938,4543.53,,4660.00030938,500,1.0,0.0025,12.1301,2,151.257131509,500.0,151.257131509,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4660.00030938,4660.51,100,0.8,500.0
4661.33911074,4556.27,0.00482583,4661.33911074,500,1.00411,0.002,10.8907,1,124.753702427,497.954427057,124.753702427,0.720977,1.93241e-08,1.18226,0.00236579,0.00144273,0.999462,497.600768232,4661.33911074,4661.11,100,0.8,500.0
4648.56708734,4414.75,,4648.56708734,500,1.0,0.01,126.555,2,16177.9494736,500.0,16177.9494736,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4648.56708734,4648.57,100,0.8,498.81
4663.20464426,4490.55,,4663.20464426,500,1.0,0.005,90.065,2,101.110414045,500.0,101.110414045,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4663.20464426,4655.89,100,0.8,500.0
4661.12412262,4522.64,,4661.12412262,500,1.0,0.00333333,73.8827,2,135.598713922,500.0,135.598713922,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4661.12412262,4657.63,100,0.8,500.0
4660.62640676,4541.47,,4660.62640676,500,1.0,0.0025,64.1575,2,82.9365818396,500.0,82.9365818396,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4660.62640676,4658.38,100,0.8,500.0
4642.92456328,4553.91,0.0304738,4642.92456328,500,1.02896,0.002,33.3057,1,28511.6065126,485.927318235,28511.6065126,0.210373,1.18467e-07,1.39414,0.00274879,0.000414788,1.01437,485.645340041,4642.92456328,4659.98,100,0.8,498.23
4663.60118127,4429.68,,4663.60118127,500,1.0,0.01,7.01265,2,49.6738581524,500.0,49.6738581524,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4663.60118127,4663.6,100,0.8,500.0
4663.19040214,4497.99,,4663.19040214,500,1.0,0.005,8.10688,2,83.0110819337,500.0,83.0110819337,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4663.19040214,4663.4,100,0.8,500.0
4661.28660203,4527.64,,4661.28660203,500,1.0,0.00333333,9.56227,2,141.315596411,500.0,141.315596411,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4661.28660203,4662.69,100,0.8,500.0
4660.48809897,4545.18,,4660.48809897,500,1.0,0.0025,10.2312,2,142.176728352,500.0,142.176728352,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4660.48809897,4662.14,100,0.8,500.0
4656.37028731,4556.72,0.00550901,4656.37028731,500,1.00533,0.002,19.4558,1,3589.31692241,497.347022626,3589.31692241,0.63615,2.21093e-08,1.187,0.00237794,0.00127441,0.998342,497.256758725,4656.37028731,4661.61,100,0.8,499.42
4662.31194167,4428.48,,4662.31194167,500,1.0,0.01,11.8156,2,141.018439035,500.0,141.018439035,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4662.31194167,4662.31,100,0.8,500.0
4661.78129574,4496.7,,4661.78129574,500,1.0,0.005,11.3542,2,119.2782086,500.0,119.2782086,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4661.78129574,4662.05,100,0.8,500.0
4661.44837298,4526.79,,4661.44837298,500,1.0,0.00333333,11.289,2,125.508929067,500.0,125.508929067,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4661.44837298,4661.85,100,0.8,500.0
4661.30373009,4544.75,,4661.30373009,500,1.0,0.0025,10.8301,2,87.4900043769,500.0,87.4900043769,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4661.30373009,4661.71,100,0.8,500.0
4661.69830069,4557.21,0.0032842,4661.69830069,500,1.00262,0.002,10.6591,1,136.767201059,498.695626171,136.767201059,0.773291,1.33004e-08,1.12132,0.00225656,0.00155618,0.993832,498.345957059,4661.69830069,4661.99,100,0.8,500.0
4661.65170345,4427.95,,4661.65170345,500,1.0,0.01,11.1107,2,124.695170283,500.0,124.695170283,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4661.65170345,4661.65,100,0.8,500.0
4661.84891395,4496.47,,4661.84891395,500,1.0,0.005,11.0863,2,123.581314372,500.0,123.581314372,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4661.84891395,4661.75,100,0.8,500.0
4664.0274895,4527.47,,4664.0274895,500,1.0,0.00333333,10.3074,2,70.1601657537,500.0,70.1601657537,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4664.0274895,4662.51,100,0.8,500.0
4661.63472357,4545.35,,4661.63472357,500,1.0,0.0025,10.0199,2,83.119173222,500.0,83.119173222,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4661.63472357,4662.29,100,0.8,500.0
4660.94862593,4557.55,0.00254261,4660.94862593,500,1.00238,0.002,10.148,1,175.176473683,498.811573017,175.176473683,0.779527,1.01522e-08,1.11374,0.00222547,0.00155765,1.0009,498.736809205,4660.94862593,4662.28,100,0.8,500.0
4662.17022931,4428.42,,4662.17022931,500,1.0,0.01,10.0592,2,102.209654769,500.0,102.209654769,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4662.17022931,4662.17,100,0.8,500.0
4661.04700421,4496.32,,4661.04700421,500,1.0,0.005,10.3701,2,114.402021279,500.0,114.402021279,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4661.04700421,4661.61,100,0.8,500.0
4661.98433097,4526.75,,4661.98433097,500,1.0,0.00333333,10.3302,2,106.030629376,500.0,106.030629376,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4661.98433097,4661.73,100,0.8,500.0
4661.11707088,4544.68,,4661.11707088,500,1.0,0.0025,10.8163,2,149.029378582,500.0,149.029378582,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4661.11707088,4661.58,100,0.8,500.0
4663.53086497,4557.55,0.00290394,4663.53086497,500,1.00262,0.002,10.0846,1,92.5178317286,498.691949967,92.5178317286,0.730803,1.16969e-08,1.10147,0.00221062,0.0014667,0.996527,498.54511091,4663.53086497,4662.25,100,0.8,500.0
4660.99856964,4427.31,,4660.99856964,500,1.0,0.01,11.8836,2,142.64720195,500.0,142.64720195,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4660.99856964,4661.0,100,0.8,500.0
4663.55891832,4496.82,,4663.55891832,500,1.0,0.005,10.903,2,94.1936868273,500.0,94.1936868273,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4663.55891832,4662.28,100,0.8,500.0
4647.82715265,4522.36,,4647.82715265,500,1.0,0.00333333,85.9321,2,21995.9474405,500.0,21995.9474405,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4647.82715265,4657.46,100,0.8,498.44
4661.83362327,4541.56,,4661.83362327,500,1.0,0.0025,74.6605,2,130.748439572,500.0,130.748439572,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4661.83362327,4658.55,100,0.8,500.0
4661.58583683,4556.26,0.016665,4661.58583683,500,1.01558,0.002,20.7937,1,82.3957203405,492.329535917,82.3957203405,0.263621,6.6314e-08,1.21122,0.00241614,0.000525871,1.00261,491.861903373,4661.58583683,4661.72,100,0.8,500.0
4664.76318984,4431.02,,4664.76318984,500,1.0,0.01,7.9313,2,63.5404385495,500.0,63.5404385495,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4664.76318984,4664.76,100,0.8,500.0
4663.42299609,4498.79,,4663.42299609,500,1.0,0.005,8.35772,2,76.6662471007,500.0,76.6662471007,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4663.42299609,4664.09,100,0.8,500.0
4662.29741305,4528.53,,4662.29741305,500,1.0,0.00333333,11.3366,2,246.164901171,500.0,246.164901171,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4662.29741305,4663.5,100,0.8,500.0
4662.03501976,4546.25,,4662.03501976,500,1.0,0.0025,11.0777,2,104.752017656,500.0,104.752017656,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4662.03501976,4663.13,100,0.8,500.0
4663.25185525,4558.61,0.001512,4663.25185525,500,1.00162,0.002,10.2957,1,85.7087020527,499.193065409,85.7087020527,0.837067,6.03859e-09,1.09794,0.00219418,0.00167283,1.00078,499.248068079,4663.25185525,4663.32,100,0.8,500.0
4657.53827521,4423.83,,4657.53827521,500,1.0,0.01,46.9766,2,2229.08957071,500.0,2229.08957071,1.0,3.50449e-18,1.0,0.01,0.01,1.0,100.0,4657.53827521,4657.54,100,0.8,499.56
4659.38808095,4493.19,,4659.38808095,500,1.0,0.005,45.2887,2,1912.75339417,500.0,1912.75339417,1.0,2.1793e-19,1.0,0.005,0.005,1.0,200.000000102,4659.38808095,4658.46,100,0.8,499.59
4663.71477435,4525.19,,4663.71477435,500,1.0,0.00333333,37.5852,2,118.603199768,500.0,118.603199768,1.0,5.43914e-20,1.0,0.00333333,0.00333333,1.0,299.999969474,4663.71477435,4660.21,100,0.8,500.0
4661.43839307,4543.59,,4661.43839307,500,1.0,0.0025,33.1804,2,166.3648285,500.0,166.3648285,1.0,5.4346e-20,1.0,0.0025,0.0025,1.0,400.0,4661.43839307,4660.52,100,0.8,500.0
4662.76952108,4556.75,0.00559523,4662.76952108,500,1.00571,0.002,23.2134,1,118.259551315,497.163033475,118.259551315,0.731562,2.22811e-08,1.22917,0.00245284,0.00145986,1.00224,497.235656457,4662.76952108,4661.63,100,0.8,500.0
