EmpiricalD2,EpRewMean,InitialReturnMax,J_sample_variance,InitialReturnMin,Bound,EpLenMean,EpisodesSoFar,InitialReturnMean,Weights,TimestepsSoFar,ReturnMeanIW,EpThisIter,InitialBound,TimeElapsed,Iteration,InitialReturnStd
1.166831,-139.46133637884316,6.4548874,854.0301,-1.9474182,-192.5234,43.21,4500,-1.1367798e-05,[ 0.507 -0.488  0.227  0.381  0.013],191440,-92.26545,100,-195.49294,164.856374502182,45,1.8309839
1.0418307,-134.78948501218838,7.2362595,186.36942,-1.9304123,-193.3074,38.62,4600,2.2888185e-06,[ 0.534 -0.479  0.233  0.388  0.012],195302,-95.04072,100,-194.46747,168.44881200790405,46,1.7754732
1.034328,-133.945767792503,5.8024063,217.20628,-2.1897354,-192.66809,37.75,4700,3.2043456e-06,[ 0.532 -0.494  0.233  0.402  0.015],199077,-95.369286,100,-193.78436,172.07899498939514,47,1.6858687
1.0474254,-139.1366121634051,6.2061386,218.79825,-1.9435272,-192.19745,42.94,4800,-2.1362305e-06,[ 0.539 -0.484  0.233  0.396  0.027],203371,-95.03398,100,-193.76065,175.48745727539062,48,1.5702629
1.1428722,-137.90354996133334,6.0307007,628.1969,-1.9591675,-190.39453,41.55,4900,2.3651123e-06,[ 0.515 -0.484  0.231  0.39   0.023],207526,-93.54102,100,-192.35416,179.0018355846405,49,1.6188197
1.4132891,-142.25171470419392,7.181473,1369.7327,-1.8692856,-190.89337,45.96,5000,-1.1749267e-05,[ 0.506 -0.501  0.226  0.377  0.025],212122,-87.55751,100,-195.9267,182.6208357810974,50,1.7943448
1.3473029,-145.341320280554,5.008995,937.2513,-2.2541351,-190.83224,49.38,5100,-8.392334e-06,[ 0.479 -0.524  0.218  0.359  0.022],217060,-88.54067,100,-195.17981,186.81099128723145,51,1.9125487
1.2018135,-144.2738984902178,5.2663345,976.0401,-1.9205627,-191.46666,47.88,5200,-5.4931643e-06,[ 0.464 -0.555  0.213  0.367  0.022],221848,-89.424965,100,-196.17989,190.62997245788574,52,1.7026678
1.1788659,-147.02008705878893,6.126953,681.4667,-2.3535843,-192.08908,51.23,5300,3.8146973e-07,[ 0.447 -0.571  0.207  0.349  0.013],226971,-89.726845,100,-195.75002,194.8065836429596,53,1.9540642
1.0166278,-140.34543693325944,7.503273,133.36966,-2.1756516,-193.14674,44.2,5400,4.4250487e-06,[ 0.469 -0.564  0.212  0.365 -0.004],231391,-95.72533,100,-194.14964,198.70627069473267,54,1.7723094
1.0678644,-144.2938655855536,5.3098755,315.40906,-2.5838776,-192.54895,48.5,5500,-2.2888185e-06,[ 0.468 -0.559  0.212  0.356 -0.014],236241,-92.69822,100,-194.94398,202.6859428882599,55,2.1194336
1.1981336,-138.69572971257284,5.1745987,800.4071,-2.3079834,-189.30997,42.57,5600,-4.577637e-06,[ 0.478 -0.563  0.224  0.354 -0.015],240498,-92.26081,100,-191.818,206.3085696697235,56,1.6001838
1.2437541,-140.87116151101324,5.737694,1100.2582,-2.1850586,-189.69055,44.64,5700,-7.6293944e-08,[ 0.463 -0.586  0.223  0.35  -0.01 ],244962,-90.05383,100,-194.01949,210.15611100196838,57,1.761504
1.0181428,-141.1548401862793,5.987602,131.22876,-2.0050964,-192.24724,44.77,5800,1.3732911e-06,[ 0.487 -0.569  0.227  0.348 -0.002],249439,-96.0706,100,-193.27583,213.8501410484314,58,1.5514237
1.1654594,-136.16349191554428,9.3797455,686.7311,-2.2797928,-189.79678,40.15,5900,-1.3427734e-05,[ 0.5   -0.579  0.231  0.359 -0.006],253454,-91.32221,100,-192.93286,217.4717788696289,59,2.2354019
1.0531479,-141.06039414959875,6.619629,283.69287,-2.0404587,-193.74742,44.9,6000,1.2969971e-05,[ 0.485 -0.593  0.225  0.355  0.007],257944,-95.45464,100,-194.95975,221.08418154716492,60,1.6918905
1.0787244,-145.7943290584663,8.512604,341.04282,-2.3220139,-194.33997,50.03,6100,-3.8146973e-06,[ 0.501 -0.593  0.231  0.356  0.001],262947,-94.19887,100,-195.82053,224.8924880027771,61,2.2964377
1.0593538,-142.96620103379675,6.667862,292.8153,-2.4571686,-193.35056,47.21,6200,3.0517577e-07,[ 0.512 -0.584  0.235  0.348  0.01 ],267668,-94.77644,100,-194.79086,228.87094831466675,62,2.0310588
1.0176598,-140.85072384763743,7.6522675,80.409454,-1.9648438,-194.4939,44.67,6300,1.9836425e-06,[ 0.494 -0.582  0.229  0.338  0.009],272135,-94.745995,100,-196.27686,232.49432492256165,63,1.9760417
1.0344012,-139.21206621025212,6.6368103,156.53201,-1.7820358,-190.11098,42.66,6400,-4.196167e-06,[ 0.502 -0.601  0.235  0.335  0.017],276401,-94.45313,100,-192.10818,235.94477200508118,64,1.8474486
1.0124598,-134.5399239238569,7.441765,81.71827,-2.0455399,-190.7088,38.23,6500,-1.1444092e-06,[ 0.514 -0.622  0.243  0.352  0.023],280224,-96.39643,100,-191.34604,239.31930112838745,65,1.7454642
1.2681445,-134.38033050974275,4.926155,1050.9738,-1.8106384,-187.18188,37.78,6600,7.93457e-06,[ 0.516 -0.627  0.244  0.36   0.032],284002,-88.58328,100,-192.08185,242.68471503257751,66,1.4327406
1.0307121,-138.92523334183818,5.857147,205.9561,-2.1312027,-192.28925,42.9,6700,1.1444092e-06,[ 0.484 -0.635  0.235  0.343  0.031],288292,-93.450935,100,-194.5686,246.46540713310242,67,2.0435605
1.0988369,-149.70318703754853,6.2895813,433.44305,-2.2155914,-195.73764,53.75,6800,5.7983398e-06,[ 0.491 -0.646  0.235  0.358  0.022],293667,-94.68963,100,-197.08951,250.65240335464478,68,2.0278625
1.1065259,-143.56393809767772,7.70166,438.23462,-2.4606705,-191.52876,47.71,6900,3.2043456e-06,[ 0.48  -0.658  0.23   0.348  0.02 ],298438,-93.47329,100,-193.46333,254.67411351203918,69,2.105566
1.0082029,-146.54497020507083,6.9126816,68.27391,-2.259407,-196.02795,50.51,7000,2.2888183e-07,[ 0.464 -0.668  0.226  0.358  0.011],303489,-96.18961,100,-196.84958,259.11957812309265,70,2.1609674
1.2165939,-147.5584167257751,6.1863403,1024.3246,-2.270134,-191.2617,51.59,7100,-6.3323973e-06,[ 0.47  -0.679  0.231  0.366  0.01 ],308648,-89.08277,100,-196.32106,263.087739944458,71,2.1086738
1.1172981,-151.42990717599196,7.1984024,559.4478,-2.6823196,-192.586,55.86,7200,-7.93457e-06,[ 0.454 -0.696  0.225  0.36   0.022],314234,-90.02192,100,-196.5076,267.7062656879425,72,2.542177
1.1303127,-147.1111720496011,7.1237793,447.66544,-2.353691,-191.64557,51.19,7300,4.7302246e-06,[ 0.461 -0.689  0.232  0.367  0.002],319353,-92.87493,100,-194.26624,271.89986205101013,73,2.0185394
1.0424778,-141.6456138465861,7.0629425,190.43674,-2.3484955,-192.31554,45.66,7400,2.670288e-06,[ 0.488 -0.688  0.238  0.361  0.009],323919,-93.79285,100,-194.09251,275.7099447250366,74,2.1418178
1.515982,-145.5762273625106,8.338951,971.0388,-2.5267487,-190.68285,49.96,7500,1.2207031e-06,[ 0.481 -0.694  0.239  0.343  0.013],328915,-84.4832,100,-196.15756,279.6950755119324,75,2.1783097
1.0375702,-141.78779571421236,7.120407,172.66957,-1.8720703,-190.77708,45.38,7600,4.8828124e-06,[ 0.508 -0.669  0.246  0.359  0.025],333453,-95.27258,100,-192.20839,283.3486559391022,76,1.911765
1.1653864,-143.52293721504898,8.352921,591.89606,-2.3262634,-193.19974,47.58,7700,-1.5258789e-06,[ 0.522 -0.679  0.254  0.361  0.035],338211,-92.67069,100,-195.38275,287.36045694351196,77,2.1373737
1.0810852,-144.18725048160167,6.4379425,431.62442,-2.8206635,-192.5082,48.73,7800,-2.3651123e-06,[ 0.504 -0.698  0.251  0.366  0.026],343084,-94.165634,100,-193.98474,291.11981415748596,78,2.230994
1.21064,-143.3994990172423,10.137558,1075.6101,-2.31884,-189.26877,47.21,7900,-8.163453e-06,[ 0.512 -0.679  0.252  0.37   0.023],347805,-89.16173,100,-194.59192,295.18677496910095,79,2.1333196
1.0115322,-142.35186279003102,8.227074,90.77017,-2.2076416,-194.51065,46.12,8000,5.264282e-06,[ 0.485 -0.688  0.245  0.361  0.011],352417,-95.87408,100,-195.44418,298.97855377197266,80,2.101673
1.0562634,-144.00538352676415,5.0246735,314.95593,-2.1718063,-194.2771,47.8,8100,1.1367798e-05,[ 0.488 -0.694  0.248  0.35   0.013],357197,-94.05439,100,-196.17093,302.91959166526794,81,1.7107202
1.0985599,-144.03824562947312,7.2391586,524.27124,-2.3062057,-193.0655,48.02,8200,-5.1116945e-06,[ 0.479 -0.697  0.244  0.357 -0.001],361999,-93.53906,100,-195.26018,307.0832018852234,82,2.2471275
1.2278544,-140.78550686407942,6.040283,921.1457,-2.020607,-189.9928,44.5,8300,-6.408691e-06,[ 0.49  -0.691  0.251  0.365  0.006],366449,-89.81448,100,-194.47173,311.0804636478424,83,1.9014974
