EmpiricalD2,EpThisIter,EpRewMean,InitialReturnMax,TimeElapsed,Iteration,Bound,Weights,InitialReturnMean,InitialBound,InitialReturnStd,TimestepsSoFar,EpisodesSoFar,ReturnMeanIW,InitialReturnMin,EpLenMean,J_sample_variance
1.002437,100,-153.46788146880198,6.852936,266.83593130111694,57,-99.32579,[ 0.44  -0.587  0.169  0.331 -0.032],-4.119873e-06,-99.453766,2.3737197,248113,5700,0.19190717,-2.6024017,57.73,8.2571945
1.0044076,100,-151.7980658355239,7.435631,272.55366683006287,58,-98.32135,[ 0.435 -0.583  0.167  0.328 -0.033],1.5106201e-05,-98.474335,2.2126799,253708,5800,0.2667615,-2.3228836,55.95,7.622445
1.0036675,100,-151.34084426347582,6.9392395,279.3449146747589,59,-97.90077,[ 0.431 -0.58   0.165  0.326 -0.035],-6.8664554e-07,-98.08132,2.1727233,259230,5900,0.32944915,-2.314354,55.22,7.870452
1.0006162,100,-150.62204943656542,6.9545364,285.39916491508484,60,-98.71508,[ 0.427 -0.58   0.166  0.327 -0.039],3.5858154e-06,-98.75772,2.156734,264713,6000,0.07861667,-2.4950104,54.83,5.254474
1.0011369,100,-151.8313670614677,6.517517,289.80260372161865,61,-96.863594,[ 0.426 -0.581  0.167  0.327 -0.04 ],-1.9073486e-06,-96.92839,2.0507784,270318,6100,0.118312016,-2.3813477,56.05,5.6063952
1.0188965,100,-149.2150581940253,7.140007,294.417692899704,62,-98.67147,[ 0.424 -0.58   0.168  0.327 -0.042],2.4414062e-06,-98.98311,1.8505056,275633,6200,0.6461499,-2.1782913,53.15,21.070694
1.012549,100,-155.89603138716288,5.9460754,301.0172002315521,63,-99.16234,[ 0.416 -0.58   0.165  0.321 -0.043],-3.8146973e-06,-99.39982,2.106992,281673,6300,0.4695563,-2.6871872,60.4,15.738227
1.0027163,100,-152.67969058299605,4.805748,306.5285949707031,64,-99.57706,[ 0.409 -0.581  0.163  0.321 -0.048],1.0910034e-05,-99.66686,1.71932,287336,6400,0.14813003,-2.2046661,56.63,4.6428156
1.0033189,100,-150.9490313397077,7.637909,311.56041264533997,65,-98.55588,[ 0.41  -0.579  0.164  0.32  -0.046],8.392334e-06,-98.73453,2.0601165,292829,6500,0.33333763,-2.2030563,54.93,7.996458
1.004866,100,-151.75351014398817,8.014153,316.91878724098206,66,-97.80856,[ 0.408 -0.578  0.165  0.322 -0.042],9.918213e-07,-97.96683,2.0583081,298433,6600,0.26179057,-2.4071121,56.04,7.146535
1.0119492,100,-147.76580467462668,6.5577545,321.8334333896637,67,-98.54914,[ 0.408 -0.573  0.166  0.32  -0.045],-2.2888183e-07,-98.80252,1.9769572,303619,6700,0.46172667,-2.4348755,51.86,11.906872
1.0101013,100,-155.5229068236286,6.451416,328.4081726074219,68,-98.87946,[ 0.414 -0.573  0.168  0.322 -0.048],9.07898e-06,-99.03624,2.1795664,309575,6800,0.29480702,-2.3821106,59.56,12.08883
1.0502571,100,-153.85884328637724,4.9452515,333.5110945701599,69,-98.375786,[ 0.418 -0.568  0.168  0.319 -0.049],-7.3242186e-06,-99.28158,1.9492798,315382,6900,1.7253871,-2.3350525,58.07,50.40457
1.0165627,100,-149.27637094144197,8.671341,339.07996797561646,70,-98.45217,[ 0.415 -0.582  0.166  0.323 -0.051],1.5258789e-06,-98.68662,2.0774786,320722,7000,0.4654439,-2.3594513,53.4,22.479881
1.0044339,100,-156.29057116779515,6.060425,344.61211252212524,71,-98.969986,[ 0.407 -0.582  0.163  0.32  -0.051],9.002685e-06,-99.06984,2.1557536,326782,7100,0.17882995,-2.4413147,60.6,6.767454
1.017699,100,-149.48235068968177,5.5547714,350.3161551952362,72,-98.3017,[ 0.412 -0.581  0.163  0.318 -0.051],-1.4495849e-06,-98.5849,1.9408493,332124,7200,0.52905655,-2.1453552,53.42,16.72657
1.0133786,100,-158.7979012371972,6.67717,356.2844502925873,73,-97.94504,[ 0.404 -0.579  0.16   0.316 -0.049],6.866455e-06,-98.18902,2.1146572,338430,7300,0.42816666,-2.5025635,63.06,14.808409
1.0049282,100,-147.95231223342356,5.6200027,361.4125759601593,74,-97.905525,[ 0.407 -0.575  0.162  0.316 -0.052],-5.1879883e-06,-98.00582,1.9743062,343670,7400,0.1972203,-2.5093918,52.4,7.598586
1.0071924,100,-151.29330553413791,6.5860596,366.27086901664734,75,-97.39586,[ 0.406 -0.577  0.16   0.314 -0.053],2.670288e-06,-97.52882,2.0095704,349208,7500,0.23776372,-2.43956,55.38,9.887152
1.0184244,100,-150.10591764118274,6.911209,370.8598337173462,76,-97.65849,[ 0.402 -0.58   0.159  0.313 -0.05 ],4.196167e-06,-98.00574,2.502607,354654,7600,0.64982414,-2.6459274,54.46,16.111696
1.0160354,100,-153.63286524821285,7.619522,376.2638704776764,77,-99.087715,[ 0.407 -0.577  0.163  0.312 -0.051],1.6784668e-06,-99.3702,2.1156065,360427,7700,0.53475106,-2.406166,57.73,13.890734
1.0031149,100,-149.45615720973987,7.5011826,381.2612590789795,78,-98.623825,[ 0.402 -0.58   0.16   0.31  -0.054],1.9073486e-06,-98.7577,2.0257962,365755,7800,0.19552709,-2.1175613,53.28,5.9230776
1.0012857,100,-147.86469532454478,7.586258,386.88901925086975,79,-99.47693,[ 0.397 -0.579  0.16   0.309 -0.054],6.866455e-06,-99.5561,2.2216618,370989,7900,0.14101405,-2.7900085,52.34,5.4578295
1.0041165,100,-146.3967021239871,7.197159,391.3079228401184,80,-98.1844,[ 0.396 -0.58   0.16   0.311 -0.056],-6.1035155e-07,-98.25709,2.0611,376007,8000,0.13454588,-2.1689758,50.18,5.9569426
1.0027124,100,-160.139692336834,6.3879166,397.0911445617676,81,-99.59784,[ 0.399 -0.578  0.161  0.312 -0.055],8.7738035e-06,-99.695854,2.1903946,382460,8100,0.176249,-2.6335754,64.53,7.1373496
1.0017173,100,-151.0444047089469,6.6280594,401.66371607780457,82,-98.22839,[ 0.4   -0.577  0.162  0.311 -0.052],7.6293944e-08,-98.28997,2.0000675,387947,8200,0.10269779,-2.0436554,54.87,5.9079614
1.0032213,100,-150.1239985110946,6.3668823,406.50695180892944,83,-97.97088,[ 0.402 -0.575  0.161  0.309 -0.052],-7.5531007e-06,-98.11803,1.9514402,393349,8300,0.2965342,-2.1119766,54.02,6.1175327
1.0024673,100,-151.23091774320122,8.851555,411.2713632583618,84,-98.82427,[ 0.403 -0.575  0.159  0.308 -0.05 ],-1.2207031e-06,-99.00122,2.33531,398891,8400,0.27568766,-2.421692,55.42,8.603649
1.0043452,100,-148.13241923479487,8.19252,416.43187713623047,85,-97.46615,[ 0.409 -0.58   0.16   0.306 -0.048],-6.408691e-06,-97.62378,2.055327,404119,8500,0.2801452,-2.4940948,52.28,7.051379
1.0180683,100,-155.32973520896158,6.044441,421.8812692165375,86,-98.84953,[ 0.413 -0.579  0.16   0.308 -0.052],-3.8146973e-06,-99.10192,1.8680912,410020,8600,0.47051024,-1.9275131,59.01,16.914507
1.0037601,100,-151.62873223383022,7.486702,427.7916626930237,87,-98.602715,[ 0.403 -0.579  0.157  0.306 -0.05 ],3.0517579e-06,-98.734474,1.9839298,415614,8700,0.26765355,-2.5123596,55.94,8.509043
1.0085938,100,-149.34463361506087,6.057907,432.35743045806885,88,-99.138176,[ 0.4   -0.577  0.157  0.302 -0.047],6.866455e-06,-99.30507,1.7949536,420911,8800,0.30728775,-1.9101105,52.97,9.576131
1.0067563,100,-153.7095413119684,6.830551,437.27348732948303,89,-99.20026,[ 0.405 -0.573  0.157  0.3   -0.049],5.569458e-06,-99.40928,2.0320704,426705,8900,0.40139842,-2.479187,57.94,14.115282
1.0066735,100,-149.25668300718084,6.7801056,442.59093165397644,90,-97.28195,[ 0.4   -0.576  0.158  0.301 -0.049],-1.4495849e-06,-97.47982,1.770377,432023,9000,0.33934224,-2.162033,53.18,6.88601
1.000136,100,-147.3563653169331,6.8624573,448.15880393981934,91,-98.69965,[ 0.402 -0.573  0.159  0.301 -0.045],-8.31604e-06,-98.710884,2.2267141,437215,9100,0.014815178,-2.732582,51.92,5.302903
1.0025384,100,-156.80802937749922,7.4669724,453.31220173835754,92,-98.392654,[ 0.401 -0.574  0.159  0.302 -0.045],2.7465821e-06,-98.50275,2.0489123,443320,9200,0.21704456,-2.459488,61.05,9.178383
1.0045531,100,-150.79265315992052,7.415451,458.6162323951721,93,-99.35779,[ 0.403 -0.573  0.158  0.298 -0.045],-9.841919e-06,-99.44532,2.085361,448821,9300,0.17385995,-2.4024963,55.01,7.667556
1.0018616,100,-148.59956132188717,5.962906,464.05009150505066,94,-96.58851,[ 0.405 -0.57   0.158  0.295 -0.045],-3.0517577e-07,-96.67352,1.9519753,454119,9400,0.15404736,-2.5182953,52.98,5.75314
1.0021125,100,-154.8971943432269,7.1890182,470.4511914253235,95,-98.91901,[ 0.409 -0.572  0.158  0.295 -0.041],5.722046e-06,-99.018845,1.9718004,460001,9500,0.18576485,-2.1778946,58.82,4.36535
1.0065612,100,-149.88864701072083,5.1748962,475.2597668170929,96,-98.93667,[ 0.407 -0.571  0.157  0.296 -0.044],2.2888185e-06,-99.11753,1.8246893,465390,9600,0.3492696,-2.3485184,53.89,8.612159
