Iteration,EpThisIter,MaxIWNorm,InitialBound,MinIW,TimeElapsed,EmpiricalD2,ReturnMeanIW,StdIWNorm,EpRewMean,InitialReturnStd,Bound,ESSClassic,StdIW,MinIWNorm,InitialReturnMax,MaxIW,ESSRenyi,MeanIW,EpisodesSoFar,EpLenMean,Weights,MeanIWNorm,TimestepsSoFar,InitialReturnMean,J_sample_variance,InitialReturnMin
34,100,1.3343427,-0.9767926,0.00037695142,468.74055194854736,102.84805,24.797537,0.13477825,-121.72096711018929,10.585284,14.891511,3.083597,13.477824,3.769514e-06,23.941326,133.43428,0.97230816,2.4040856,3400,459.92,[-0.112 -0.663 -0.003 -0.331  0.177],0.024040854,809893,-1.926422e-06,50418.086,-29.303715
35,100,0.09890601,-1.4040776,0.010856191,489.8433516025543,3.183127,3.5585108,0.015085937,-113.76528472643186,11.501456,1.0534518,38.21631,1.5085938,0.00010856191,21.853397,9.890601,31.41565,1.1864781,3500,402.43,[-0.086 -0.648 -0.016 -0.353  0.155],0.011864781,850136,-4.959106e-07,526.42914,-42.122314
36,100,2.4113152,-0.9865974,0.00094976433,510.4050443172455,115.72851,24.437124,0.23964645,-108.6888773970832,12.542333,13.823609,1.9740239,23.964642,9.497643e-06,27.216051,241.13152,0.86409134,3.4007647,3600,374.96,[-0.1   -0.652 -0.022 -0.366  0.132],0.034007646,887632,-1.8310546e-06,55601.793,-29.597862
37,100,17.482817,-1.1481576,1.2836481e-06,527.5448067188263,1482.2979,161.92157,1.7392298,-101.4317297207887,15.040711,117.71684,1.0940149,173.92299,1.283648e-08,29.131845,1748.2817,0.067462824,18.291838,3700,318.0,[-0.083 -0.648 -0.003 -0.393  0.156],0.18291837,919432,-1.335144e-06,2431826.2,-34.444683
38,100,0.5621263,-1.3750678,0.005471297,550.5533299446106,26.399487,10.534159,0.057865433,-89.79306954143276,13.295514,3.4690075,6.5815015,5.7865434,5.471297e-05,26.801594,56.212627,3.7879524,1.5359081,3800,395.24,[-0.122 -0.664  0.005 -0.402  0.068],0.015359081,958956,-1.411438e-06,8301.348,-41.251995
39,100,0.040808458,-1.1426476,0.1551397,573.0897557735443,2.0768101,2.8592901,0.007859026,-95.75622757028636,10.802803,1.212606,61.97238,0.7859027,0.0015513969,25.964558,4.080846,48.15077,1.0032712,3900,408.71,[-0.202 -0.664  0.009 -0.397  0.065],0.010032711,999827,-9.155273e-07,177.88235,-34.279396
40,100,0.23226242,-1.2305694,0.024105664,596.6575257778168,5.400342,3.289342,0.02592977,-95.71253309646947,10.187081,0.4296639,16.7601,2.592977,0.00024105664,16.343483,23.226242,18.517345,1.1635128,4000,433.73,[-0.221 -0.691  0.007 -0.402  0.062],0.011635128,1043200,1.2016296e-06,553.11835,-36.917114
41,100,1.0201601,-1.1410885,0.0020135264,618.7908248901367,51.536434,22.838123,0.117880955,-96.97881044267329,10.79351,14.646376,5.335935,11.7880945,2.0135263e-05,20.240963,102.01601,1.9403749,2.7986999,4100,411.62,[-0.212 -0.691 -0.007 -0.404  0.081],0.027987001,1084362,2.479553e-07,23121.799,-34.23266
42,100,1.3682661,-1.129207,3.248723e-05,639.8702836036682,93.31476,26.321102,0.13703147,-90.60674971468076,11.638632,15.412998,2.6006868,13.703146,3.248723e-07,25.52985,136.82661,1.0716418,2.2391665,4200,376.07,[-0.205 -0.66  -0.026 -0.403  0.058],0.02239167,1121969,1.5640259e-06,64616.1,-33.87625
43,100,0.05070915,-1.3359559,0.11144728,658.3578073978424,1.379177,0.97329915,0.008181596,-88.93239788986767,15.53166,-0.5956261,63.67764,0.8181597,0.0011144727,31.285471,5.070915,72.50701,1.0832893,4300,333.81,[-0.219 -0.686 -0.044 -0.437  0.072],0.010832892,1155350,2.479553e-07,378.96387,-40.07869
44,100,0.0654797,-1.4335315,0.106850535,675.089741230011,2.2967157,2.2103338,0.009996776,-96.31328112979836,13.74473,0.037828445,49.642864,0.9996776,0.0010685053,27.211803,6.547971,43.540436,0.9925624,4400,322.96,[-0.211 -0.686 -0.045 -0.43   0.058],0.009925623,1187646,,451.91168,-43.005943
45,100,0.046595182,-1.2507071,0.066235825,692.508154630661,2.599396,2.871514,0.010181132,-97.77812905949052,14.792883,0.8550446,54.804043,1.0181133,0.00066235824,22.14395,4.6595182,38.470474,1.1211213,4500,309.72,[-0.223 -0.691 -0.049 -0.442  0.079],0.011211213,1218618,-5.722046e-07,335.10843,-37.521194
46,100,0.6251112,-1.10927,0.0033878845,712.3853089809418,13.598636,8.342308,0.06728047,-89.1931708137457,13.316192,4.2517295,5.8176494,6.7280474,3.3878845e-05,28.380089,62.511124,7.3536787,1.672161,4600,366.48,[-0.234 -0.684 -0.041 -0.428  0.093],0.016721608,1255266,-4.5776366e-07,5084.423,-33.278084
47,100,18.045944,-1.177492,2.5204967e-05,731.8684351444244,1848.172,287.41907,1.7948064,-97.19440419939086,11.861322,236.7982,1.1678792,179.48065,2.5204966e-07,35.32479,1804.5945,0.054107517,19.51046,4700,369.29,[-0.262 -0.707 -0.051 -0.417  0.06 ],0.19510458,1292195,1.1825562e-06,8276665.0,-28.619167
48,100,0.18153949,-1.1688488,0.009042629,751.8075702190399,7.6060376,4.6195445,0.026109397,-91.17405844994099,11.847223,1.3959658,15.424454,2.61094,9.0426285e-05,23.48358,18.15395,13.14745,1.1150116,4800,344.26,[-0.282 -0.635 -0.032 -0.407  0.015],0.011150117,1326621,2.0599366e-06,921.5522,-35.06552
49,100,0.61176074,-1.3524712,0.016533284,772.9376749992371,9.409176,6.3198085,0.061750017,-90.33975482709127,12.87251,2.171194,4.492037,6.175002,0.00016533284,24.314774,61.176075,10.627923,1.33918,4900,379.02,[-0.299 -0.624 -0.026 -0.387 -0.017],0.013391797,1364523,-2.2888185e-06,3836.468,-40.574062
50,100,0.044989433,-0.9270795,0.052036293,794.89089179039,1.8121774,1.807848,0.009223606,-91.89868605053445,10.459917,0.5598378,58.42822,0.92236066,0.0005203629,27.812435,4.4989433,55.182236,1.0934851,5000,426.75,[-0.283 -0.604 -0.02  -0.363 -0.04 ],0.010934851,1407198,1.9073486e-06,282.37225,-26.96044
51,100,0.7839436,-1.0701828,0.0006014006,817.6767730712891,51.756084,14.406777,0.08262052,-89.50063337192914,11.157444,6.7077055,4.113111,8.262053,6.014006e-06,26.722301,78.39436,1.93214,1.7111717,5100,449.93,[-0.315 -0.607 -0.028 -0.355 -0.041],0.017111715,1452191,-6.294251e-07,24039.508,-32.10546
52,100,0.052538037,-1.7404485,0.1409517,840.1188580989838,1.7017822,1.2438352,0.009500452,-82.3244760697118,13.331822,-1.0266182,56.4181,0.9500452,0.0014095169,24.070402,5.2538037,58.761925,1.080937,5200,425.36,[-0.33  -0.594 -0.013 -0.367 -0.036],0.010809371,1494727,-2.2315978e-06,271.77084,-52.213387
53,100,200.88422,-0.91482073,1.319049e-07,864.4798586368561,378731.28,3736.2825,19.987276,-80.27880000448344,9.562864,3173.2913,1.0046849,1998.7275,1.319049e-09,27.44462,20088.422,0.00026403944,201.35443,5300,462.49,[-0.328 -0.588 -0.004 -0.361 -0.039],2.013544,1540976,1.7166138e-07,1399748900.0,-27.204205
54,100,0.3076032,-1.1436774,0.01591999,886.1232748031616,10.368296,6.7563105,0.035346247,-84.41231775602857,13.603339,3.0736802,10.140414,3.5346248,0.0001591999,29.665268,30.760323,9.644787,1.1873779,5400,339.21,[-0.323 -0.517 -0.018 -0.358 -0.09 ],0.011873779,1574897,2.5939942e-06,2720.953,-34.310394
55,100,1.0173134,-1.2008551,0.002289063,908.1073949337006,88.68007,21.928064,0.1329839,-80.9699380897977,13.385106,10.619605,3.9517035,13.298389,2.289063e-05,21.89283,101.73134,1.1276491,2.6974063,5500,389.03,[-0.325 -0.536 -0.021 -0.35  -0.115],0.02697406,1613800,-4.863739e-07,28186.531,-36.025635
56,100,0.87343246,-1.3863628,0.00039211905,927.3431522846222,56.693512,17.36076,0.08680314,-82.3492725701635,14.92787,6.9221315,3.3884006,8.680313,3.9211905e-06,41.59087,87.34325,1.7638702,1.6256166,5600,365.7,[-0.341 -0.517 -0.032 -0.336 -0.059],0.016256165,1650370,-1.14440915e-07,38646.99,-33.76068
57,100,0.09756831,-1.3260123,0.07682131,945.1627962589264,2.275319,2.4527798,0.011707182,-88.49658486312042,15.867981,0.4526019,44.313004,1.1707182,0.0007682131,39.780357,9.756831,43.94988,1.044338,5700,311.48,[-0.348 -0.506 -0.05  -0.344 -0.082],0.01044338,1681518,-2.2888183e-07,461.7419,-36.126976
58,100,0.23624416,-1.1740389,0.010909184,964.2004518508911,7.3970714,6.099733,0.03094391,-85.64324588668887,14.9043455,2.9066448,14.870793,3.0943909,0.00010909184,25.474262,23.624416,13.518864,1.2933109,5800,307.27,[-0.34  -0.498 -0.052 -0.331 -0.103],0.01293311,1712245,-3.8146973e-06,1797.8733,-35.221046
59,100,3.475277,-1.2198232,7.3219206e-05,985.6576018333435,419.23495,69.57489,0.34763464,-80.67800395942646,13.419615,44.59874,1.8858777,34.76347,7.3219206e-07,25.637554,347.5277,0.23852973,4.819635,5900,380.39,[-0.357 -0.526 -0.049 -0.331 -0.103],0.048196346,1750284,-4.5776366e-07,656510.56,-36.59469
60,100,1.2161374,-1.4501247,6.365716e-05,1007.0910356044769,209.39195,53.805897,0.12279722,-81.4094706123103,15.908543,32.822044,3.4784377,12.279721,6.3657154e-07,43.503727,121.61374,0.47757328,2.3311405,6000,344.69,[-0.362 -0.49  -0.032 -0.337 -0.1  ],0.023311405,1784753,-4.005432e-07,281123.06,-41.25229
61,100,0.30495092,-1.239829,0.01609466,1023.909038066864,7.3381844,13.606773,0.041747663,-92.84863048251847,15.630714,10.248192,11.76661,4.1747665,0.0001609466,28.089827,30.495094,13.627349,1.524549,6100,240.74,[-0.368 -0.5   -0.034 -0.369 -0.094],0.015245492,1808827,-4.196167e-07,5801.162,-37.194855
62,100,0.12450151,-1.3083588,0.009666144,1041.4933061599731,3.0840943,2.6143851,0.016822748,-81.67403041523902,16.019407,0.31670046,29.796535,1.6822747,9.666144e-05,33.846973,12.450151,32.42443,1.0959747,6200,315.33,[-0.369 -0.493 -0.032 -0.345 -0.101],0.010959745,1840360,-8.773804e-07,391.2535,-39.25074
63,100,0.074307226,-1.1207569,0.051318735,1063.1337900161743,3.8543494,3.436885,0.013218856,-67.21002033619956,12.940082,1.2365603,33.811104,1.3218856,0.0005131873,20.863186,7.4307227,25.944715,0.94478065,6300,389.49,[-0.381 -0.492 -0.025 -0.334 -0.111],0.0094478065,1879309,-4.196167e-07,619.15784,-33.622692
64,100,0.08148573,-1.352915,0.12829703,1083.6393055915833,1.921709,2.1757483,0.011352759,-66.43946673072827,15.081318,0.3002602,50.13318,1.135276,0.0012829703,28.456127,8.148574,52.037018,1.138304,6400,398.51,[-0.403 -0.478 -0.017 -0.332 -0.103],0.01138304,1919160,-3.0517577e-07,320.31705,-40.58745
65,100,0.051353816,-1.4555877,0.0650749,1104.8399865627289,2.114444,3.3370192,0.008953102,-54.47083688551063,14.034215,1.2204278,53.755295,0.8953102,0.00065074896,26.70038,5.1353817,47.293755,0.9652798,6500,421.77,[-0.42  -0.471 -0.011 -0.33  -0.107],0.009652798,1961337,1.7738342e-06,438.0201,-43.667683
66,100,51.997307,-1.3784509,1.2266571e-05,1127.981204032898,12951.119,966.7973,5.173241,-54.30470919767198,14.791682,809.9254,1.0180807,517.32416,1.226657e-07,26.853304,5199.731,0.0077213403,52.465755,6600,408.86,[-0.418 -0.449 -0.004 -0.32  -0.104],0.5246576,2002223,4.5776366e-07,93973976.0,-41.353535
67,100,0.5879964,-1.2007086,0.00082806346,1152.7881846427917,30.242094,12.156106,0.067973405,-39.064223981143066,11.715931,5.5530763,5.7021923,6.7973404,8.280635e-06,21.523346,58.799644,3.3066494,1.6715106,6700,428.13,[-0.466 -0.421  0.013 -0.327 -0.108],0.016715106,2045036,-7.8201293e-07,10727.012,-36.021233
68,100,0.27253917,-1.305268,0.008112891,1173.9772505760193,7.347234,6.283158,0.034360364,-54.85542286456224,11.930681,2.745129,12.382723,3.4360366,8.112891e-05,31.040588,27.253918,13.610564,1.2917275,6800,420.61,[-0.419 -0.428  0.024 -0.323 -0.134],0.0129172765,2087097,-8.9645386e-07,1097.0715,-39.158012
69,100,0.12116487,-1.4443705,0.011055803,1197.060656785965,3.5728211,3.9298513,0.016865322,-49.338127385938506,14.216243,1.1997182,27.929764,1.6865323,0.00011055803,22.317505,12.1164875,27.989086,1.0499057,6900,407.57,[-0.429 -0.397  0.015 -0.312 -0.139],0.010499056,2127854,-1.2779236e-06,683.79913,-43.33107
70,100,2.118433,-1.645645,0.000702894,1219.6104564666748,78.99774,29.500217,0.21171309,-34.22412716954815,14.445248,14.873613,1.9954804,21.171309,7.0289398e-06,24.537756,211.8433,1.265859,3.0209837,7000,423.91,[-0.448 -0.39   0.021 -0.312 -0.12 ],0.03020983,2170245,3.0517577e-07,62240.86,-49.36935
71,100,0.09593723,-1.0422275,0.01509153,1242.88032746315,5.9071007,4.839484,0.01976304,-31.845334495296683,10.809653,2.306403,22.876154,1.976304,0.0001509153,21.327518,9.593723,16.92878,1.0763437,7100,457.9,[-0.463 -0.357  0.013 -0.278 -0.106],0.010763436,2216035,-1.2588501e-06,757.84045,-31.26678
72,100,0.14286153,-1.3236709,0.064521454,1266.2108192443848,2.4982595,2.6170213,0.016886532,-22.781107231524693,10.1950035,0.5248418,33.287304,1.6886533,0.0006452145,20.609274,14.286154,40.027866,1.1928219,7200,480.71,[-0.477 -0.371  0.004 -0.281 -0.082],0.011928217,2264106,4.7683716e-07,262.17432,-39.710136
73,100,0.17935555,-1.0675312,0.123766586,1289.957736492157,2.601347,2.4625456,0.021447662,-30.11909979219555,9.395641,0.7407577,25.259794,2.1447663,0.0012376659,19.427279,17.935555,38.441624,1.24686,7300,456.97,[-0.472 -0.348  0.005 -0.276 -0.091],0.012468602,2309803,-7.6293944e-08,294.6309,-32.025932
74,100,7.4598184,-1.0098006,0.00030914083,1311.3665800094604,1330.6536,107.31676,0.7473315,-33.01426564529376,10.726223,70.481186,1.694524,74.733154,3.0914082e-06,20.537107,745.9819,0.07515104,9.811791,7400,437.28,[-0.464 -0.33   0.011 -0.269 -0.106],0.098117895,2353531,-1.6975403e-06,858744.8,-30.293966
75,100,0.14208668,-1.3177778,0.009086743,1332.9916458129883,3.641125,3.7376132,0.021698726,-38.837789131603444,13.316144,1.2230623,20.826593,2.1698728,9.086743e-05,29.60402,14.208669,27.464039,1.1128937,7500,397.85,[-0.492 -0.286  0.022 -0.259 -0.073],0.011128937,2393316,1.0967254e-06,272.2243,-39.53337
76,100,0.6255042,-1.619988,0.005986788,1357.1703941822052,15.10519,7.4778566,0.06485514,-13.529115934182165,11.005457,1.1817102,6.438794,6.485515,5.9867878e-05,22.279242,62.550423,6.620241,1.7013702,7600,475.5,[-0.524 -0.298  0.019 -0.262 -0.085],0.0170137,2440866,-2.670288e-07,5185.11,-48.599632
77,100,14.44508,-0.8793621,4.4462706e-07,1380.9129621982574,3959.0674,175.85953,1.436988,-19.789487549775696,10.416786,120.52905,1.1364315,143.69882,4.4462705e-09,26.380875,1444.508,0.025258474,15.406595,7700,486.43,[-0.537 -0.28   0.01  -0.24  -0.068],0.15406597,2489509,6.8664554e-07,2920030.8,-25.351688
78,100,0.06409396,-1.4588454,0.07375032,1404.3982517719269,2.2385447,2.212321,0.010616555,-29.051211722808862,11.992373,0.029629469,50.150856,1.0616555,0.0007375032,30.897532,6.409396,44.67188,1.0648634,7800,462.29,[-0.589 -0.304  0.017 -0.268 -0.109],0.010648635,2535738,4.959106e-07,281.49948,-43.76538
79,100,0.14864531,-0.89263594,0.02377466,1428.173174381256,6.9970074,4.040729,0.022655273,-22.623786981604386,9.946004,1.679539,21.504112,2.2655275,0.00023774659,26.779102,14.8645315,14.291824,1.1857868,7900,479.14,[-0.586 -0.322  0.019 -0.283 -0.118],0.01185787,2583652,7.2479247e-07,1688.3729,-24.69339
