Iteration,EpThisIter,InitialReturnStd,EpRewMean,InitialReturnMean,InitialBound,TimestepsSoFar,EpLenMean,EmpiricalD2,Weights,ReturnMeanIW,InitialReturnMax,EpisodesSoFar,InitialReturnMin,Bound,J_sample_variance,TimeElapsed
47,100,2.524166,-107.88049834139001,4.043579e-06,-93.14146,282435,16.39,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.14146,7.592659,4700,-4.3322906,-93.14146,6.435767,156.73098468780518
48,100,2.538414,-107.73130066162783,9.460449e-06,-93.469734,284021,15.86,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.469734,8.025688,4800,-3.836609,-93.469734,6.508661,158.02930688858032
49,100,2.1059015,-107.50082707361193,1.0528564e-05,-93.517586,285578,15.57,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.517586,5.9291153,4900,-4.274658,-93.517586,4.4796357,159.32137823104858
50,100,2.2663438,-108.10440088533984,3.2806397e-06,-93.78734,287165,15.87,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.78734,6.546692,5000,-3.7980652,-93.78734,5.188196,160.6547384262085
51,100,2.6574433,-108.22685439308971,-8.850097e-06,-93.69908,288775,16.1,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.69908,9.218231,5100,-3.9615173,-93.69908,7.133339,161.9415237903595
52,100,2.7156398,-108.23483189387973,-1.2969971e-06,-93.4786,290411,16.36,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.4786,7.541443,5200,-4.294861,-93.4786,7.4491897,163.21327686309814
53,100,2.550729,-107.43778526726288,2.5939942e-06,-93.218765,291996,15.85,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.218765,7.5956726,5300,-4.3297043,-93.218765,6.5719647,164.48527026176453
54,100,2.9769554,-107.77957271508316,3.8146973e-06,-92.9434,293650,16.54,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.9434,8.15461,5400,-4.210327,-92.9434,8.951809,165.76675033569336
55,100,3.0587218,-108.22629770024457,-7.095337e-06,-93.32045,295306,16.56,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.32045,8.668854,5500,-4.081291,-93.32045,9.450283,167.15035939216614
56,100,2.7111156,-107.55474689438306,-5.1879883e-06,-93.07363,296919,16.13,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.07363,9.020927,5600,-4.6707077,-93.07363,7.4243693,168.42907333374023
57,100,2.3842616,-107.89596840167293,-4.4250487e-06,-93.68116,298496,15.77,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.68116,7.12442,5700,-3.9638443,-93.68116,5.742153,169.67284965515137
58,100,2.7307043,-107.64078694370131,6.790161e-06,-93.352936,300086,15.9,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.352936,7.7561493,5800,-4.2288437,-93.352936,7.5320334,170.82436513900757
59,100,2.41297,-108.48811760476622,6.2561035e-06,-93.865685,301704,16.18,5.9974923e+16,[ 118.62    18.198 1143.508  200.7     -9.842],-76.50447,9.223015,5900,-3.2546234,-76.50447,14368.181,172.1747601032257
60,100,2.4109964,-108.49080722288983,9.841919e-06,-93.893776,303317,16.13,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.893776,6.7168884,6000,-3.9231796,-93.893776,5.8716164,173.65114331245422
61,100,2.7843893,-107.9729172333427,-4.8065185e-06,-93.15267,304968,16.51,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.15267,7.903946,6100,-4.0816727,-93.15267,7.8311324,174.93508529663086
62,100,2.830778,-108.36712071416669,-9.918213e-07,-93.71441,306591,16.23,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.71441,9.785011,6200,-3.8415298,-93.71441,8.0942745,176.25487971305847
63,100,2.2867815,-108.3352370157571,-7.93457e-06,-93.83648,308196,16.05,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.83648,7.2071457,6300,-3.5861588,-93.83648,5.28222,177.54267740249634
64,100,2.7230165,-108.35419402591238,-7.400513e-06,-93.459755,309847,16.51,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.459755,7.958046,6400,-4.0496063,-93.459755,7.4897537,178.83803725242615
65,100,3.1664293,-107.91842117128188,-2.2888185e-06,-92.83506,311529,16.82,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.83506,7.2244644,6500,-4.6887665,-92.83506,10.127512,180.16530108451843
66,100,2.6080196,-107.74736154673597,-1.4495849e-06,-93.03718,313169,16.4,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.03718,8.906479,6600,-4.38739,-93.03718,6.8705044,181.42857885360718
67,100,2.723604,-107.75806628893419,3.2806397e-06,-93.28239,314780,16.11,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.28239,7.045784,6700,-4.1390533,-93.28239,7.492947,182.72523260116577
68,100,2.481181,-107.91609007158793,3.3569336e-06,-93.73805,316353,15.73,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.73805,9.2738495,6800,-3.5603485,-93.73805,6.2184715,184.06673002243042
69,100,2.3955739,-107.36020172657948,-8.163453e-06,-92.76454,317983,16.3,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.76454,8.7387085,6900,-4.3923416,-92.76454,5.7967677,185.23798203468323
70,100,2.6424277,-108.08150996104884,-3.2806397e-06,-93.600655,319589,16.06,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.600655,8.754372,7000,-4.0657806,-93.600655,7.0529914,186.25463891029358
71,100,2.7775738,-108.04636442722234,4.8065185e-06,-93.21011,321240,16.51,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.21011,7.3253784,7100,-4.209366,-93.21011,7.7928386,187.6414041519165
72,100,2.6162004,-108.35405117391117,-1.2512207e-05,-93.60863,322875,16.35,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.60863,7.9837646,7200,-3.5520859,-93.60863,6.913642,188.95104575157166
73,100,2.4926882,-108.15109072011819,-4.7302246e-06,-93.50955,324500,16.25,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.50955,7.9380646,7300,-4.0814285,-93.50955,6.276257,190.2040617465973
74,100,2.7976434,-108.4955383088498,-4.5776366e-07,-93.51693,326160,16.6,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.51693,8.092155,7400,-3.8728104,-93.51693,7.905821,191.5681083202362
75,100,2.9682949,-107.71878116614411,3.967285e-06,-93.16962,327780,16.2,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.16962,8.685539,7500,-4.168518,-93.16962,8.899809,192.89188313484192
76,100,2.6168184,-107.89831475794522,2.8991699e-06,-92.98893,329440,16.6,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.98893,7.0018005,7600,-4.132324,-92.98893,6.9169483,194.23793506622314
77,100,2.577788,-108.11114524389568,-1.6784668e-06,-93.136086,331106,16.66,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.136086,7.1483,7700,-3.9731216,-93.136086,6.7121477,195.53080439567566
78,100,2.5651207,-107.9730782145605,3.890991e-06,-93.49592,332713,16.07,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.49592,6.7103195,7800,-3.9115677,-93.49592,6.6462827,196.82789421081543
79,100,2.6416028,-107.72256786666804,-5.722046e-06,-93.26739,334322,16.09,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.26739,8.0091095,7900,-4.311432,-93.26739,7.048555,198.09994649887085
80,100,2.6247196,-108.33589356563647,1.701355e-05,-93.465416,335972,16.5,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.465416,8.147499,8000,-4.144394,-93.465416,6.958744,199.37246799468994
81,100,2.8686383,-108.25769330936048,-1.2207031e-06,-93.44887,337615,16.43,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.44887,8.793694,8100,-4.0327682,-93.44887,8.31221,200.64396357536316
82,100,2.422334,-107.71863447721117,2.9754638e-06,-93.272804,339224,16.09,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.272804,7.915962,8200,-3.8724365,-93.272804,5.9269743,201.8715591430664
83,100,2.9554472,-107.53359698265221,-3.8146973e-07,-92.73542,340876,16.52,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.73542,7.4056168,8300,-4.6709137,-92.73542,8.822921,203.34821796417236
84,100,2.478067,-108.13122903950412,-3.2043456e-06,-93.55874,342493,16.17,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.55874,6.28302,8400,-4.0476456,-93.55874,6.2028704,204.58914589881897
85,100,2.6623204,-108.55270553009417,,-93.74578,344131,16.38,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.74578,7.4430466,8500,-3.5066528,-93.74578,7.159548,205.88995814323425
86,100,2.6768036,-107.9628160677528,-2.9754638e-06,-93.6558,345717,15.86,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.6558,6.7440796,8600,-3.8103943,-93.6558,7.2376857,207.18288683891296
87,100,2.8741896,-107.71944066461013,8.31604e-06,-93.06968,347350,16.33,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.06968,8.848038,8700,-4.25663,-93.06968,8.344406,208.40470719337463
88,100,2.8792498,-108.19861142843163,-3.6621093e-06,-93.34519,348998,16.48,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.34519,7.449936,8800,-4.175308,-93.34519,8.373816,209.6694300174713
89,100,3.034337,-108.0289670160751,-5.1116945e-06,-93.08121,350661,16.63,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.08121,8.542648,8900,-4.250046,-93.08121,9.300159,211.0002682209015
90,100,2.546839,-107.77819495834487,-1.9836425e-06,-93.47867,352249,15.88,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.47867,7.977722,9000,-4.1421432,-93.47867,6.551911,212.3214888572693
91,100,3.0240374,-107.72688500724048,-9.9182125e-06,-93.227684,353865,16.16,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.227684,8.027008,9100,-4.170555,-93.227684,9.237211,213.58172082901
92,100,2.7015092,-107.44028092316843,-1.2207031e-06,-92.92289,355484,16.19,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.92289,7.3114243,9200,-4.705002,-92.92289,7.3718348,214.82066822052002
93,100,2.5435808,-107.75573569112179,-2.2888183e-07,-93.24911,357099,16.15,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.24911,7.0322037,9300,-4.4502945,-93.24911,6.5351863,215.96712565422058
94,100,3.0042331,-107.85575195732368,-1.2969971e-06,-93.169785,358733,16.34,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.169785,9.043144,9400,-4.65802,-93.169785,9.116575,217.0562698841095
95,100,2.407655,-108.63842310255421,-5.0354006e-06,-94.015915,360350,16.17,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-94.015915,8.646622,9500,-3.4749908,-94.015915,5.855363,218.56886339187622
96,100,2.4305332,-108.14416677672551,-1.7547608e-06,-93.49735,361975,16.25,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.49735,6.876114,9600,-4.0103226,-93.49735,5.9671574,219.9121642112732
97,100,2.4604723,-108.18439133218263,-8.544922e-06,-93.718796,363579,16.04,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.718796,7.4736404,9700,-3.633957,-93.718796,6.115077,221.1753590106964
98,100,2.6211424,-108.2359232166487,-3.967285e-06,-93.657104,365194,16.15,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.657104,7.2418747,9800,-3.9561386,-93.657104,6.9397454,222.56799507141113
99,100,2.9217367,-107.76605719233761,-1.3885498e-05,-93.193825,366815,16.21,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.193825,8.706474,9900,-4.155319,-93.193825,8.622774,223.8856132030487
100,100,2.652219,-107.33891419341192,-6.1798096e-06,-93.170616,368394,15.79,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.170616,7.637581,10000,-3.9723282,-93.170616,7.1052895,225.15346002578735
101,100,2.5463502,-107.7887923768022,1.6021728e-06,-93.39798,369995,16.01,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.39798,8.967766,10100,-3.9889984,-93.39798,6.549417,226.4538323879242
102,100,2.85181,-108.21547035575668,1.3046265e-05,-93.366264,371646,16.51,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.366264,7.4543457,10200,-3.956009,-93.366264,8.214997,227.8592188358307
103,100,2.5545108,-107.96859780802316,1.7547608e-06,-93.57238,373245,15.99,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.57238,7.1189346,10300,-4.033966,-93.57238,6.5914793,229.09429907798767
104,100,2.6552022,-107.84484833911904,6.8664554e-07,-93.165,374879,16.34,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.165,7.0694427,10400,-4.3064346,-93.165,7.121317,230.34398007392883
105,100,2.5783997,-107.5950441144826,-9.155273e-07,-92.96706,376509,16.3,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.96706,6.9880066,10500,-4.5991516,-92.96706,6.7153273,231.62100195884705
106,100,2.4723506,-107.8254888935863,2.2888185e-06,-93.04736,378154,16.45,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.04736,5.85009,10600,-4.551407,-93.04736,6.1742244,232.91916704177856
107,100,2.7423174,-108.4093580919224,1.5258789e-07,-93.5301,379805,16.51,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.5301,8.600578,10700,-4.0874557,-93.5301,7.596263,234.10151982307434
108,100,2.772989,-107.5661577599222,5.7983398e-06,-92.90462,381442,16.37,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.90462,6.7788696,10800,-4.420845,-92.90462,7.7671103,235.6112859249115
109,100,2.457447,-107.66447764900886,3.5095215e-06,-93.58444,383008,15.66,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.58444,7.9226913,10900,-3.7686615,-93.58444,6.100068,236.8583962917328
110,100,2.9511676,-108.19564691020949,-3.967285e-06,-93.60318,384624,16.16,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.60318,8.996178,11000,-3.797989,-93.60318,8.797415,238.13010716438293
111,100,2.7309897,-108.08719486329554,-4.9591063e-06,-93.41094,386254,16.3,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.41094,7.642723,11100,-4.000931,-93.41094,7.533643,239.349196434021
112,100,2.532449,-107.98532788854614,-1.9073486e-06,-93.53285,387859,16.05,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.53285,6.633301,11200,-3.863922,-93.53285,6.4781156,240.60193848609924
113,100,2.470808,-107.1787606725838,6.408691e-06,-92.94824,389449,15.9,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.94824,8.332916,11300,-4.1625366,-92.94824,6.166586,241.99184036254883
114,100,2.700057,-108.07282910951491,1.9836425e-06,-93.421364,391077,16.28,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.421364,6.6999283,11400,-3.8319244,-93.421364,7.3639774,243.2559416294098
115,100,2.8361921,-107.26541200771811,-2.2888185e-06,-92.99253,392670,15.93,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.99253,7.129242,11500,-4.8442993,-92.99253,8.125242,244.5152599811554
116,100,2.826746,-107.87879673501799,-6.8664554e-07,-92.98789,394329,16.59,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-92.98789,8.520996,11600,-4.481964,-92.98789,8.071219,245.9400463104248
117,100,2.8042724,-107.76447788202299,-2.822876e-06,-93.4666,395917,15.88,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.4666,7.110794,11700,-4.20533,-93.4666,7.943384,247.21649289131165
118,100,2.5926247,-108.17688204028127,-4.8828124e-06,-93.46873,397550,16.33,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.46873,8.08374,11800,-4.1445007,-93.46873,6.7895975,248.5481994152069
119,100,2.7453265,-107.7837197871611,-1.9836425e-06,-93.2669,399165,16.15,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.2669,7.1547165,11900,-4.392517,-93.2669,7.612986,249.75177335739136
120,100,2.6656919,-108.24826099285842,-8.239746e-06,-93.53412,400797,16.32,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.53412,7.923401,12000,-4.1071167,-93.53412,7.177697,251.0449197292328
121,100,2.4366474,-108.70238327729443,2.1362305e-06,-93.60067,402470,16.73,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.60067,7.46286,12100,-3.9258575,-93.60067,5.9972243,252.4369602203369
122,100,2.5588608,-108.09405006126227,6.790161e-06,-93.346756,404110,16.4,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.346756,7.075409,12200,-4.091118,-93.346756,6.6138735,253.73249101638794
123,100,2.327448,-108.04975276202038,7.171631e-06,-93.45739,405730,16.2,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.45739,7.1365967,12300,-3.8517838,-93.45739,5.471763,255.05711960792542
124,100,2.450904,-107.55029378947667,2.8991699e-06,-93.56677,407284,15.54,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.56677,8.081612,12400,-3.9775543,-93.56677,6.0676017,256.29656076431274
125,100,2.6245592,-107.88641522853763,-7.6293946e-07,-93.63384,408865,15.81,1.0,[ 118.62    18.198 1143.508  200.7     -9.842],-93.63384,8.559792,12500,-3.7663422,-93.63384,6.957913,257.5715823173523
